"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"74","67","        Nursing homes (52)","DNRSRG3",2.859,2.7,2.542,2.383,2.277,2.383,2.489,2.542,2.647,2.595,2.594,2.647,2.753,2.965,3.177,3.442,3.706,4.289,5.189,5.612,5.719,5.983,6.46,6.777,7.042,7.201,7.413,7.625,7.995,8.366,8.553,8.964,9.178,9.349,9.744,10.141,10.425,10.761,11.442,12.289,13.081
"75","68","    Transportation services","DTRSRG3",8.956,8.885,8.436,7.784,7.34,7.484,7.649,7.606,7.563,7.618,7.647,7.511,7.648,8.113,8.295,8.25,8.356,8.638,9.281,9.956,10.64,11.119,11.913,12.356,12.935,13.37,13.689,14.154,14.679,15.098,15.542,15.889,16.353,16.705,16.777,16.998,17.292,17.606,18.265,19.087,20.263
"76","69","      Motor vehicle services","DMVSRG3",9.879,9.566,9.003,7.875,7.067,7.294,7.531,7.529,7.545,7.542,7.528,7.506,7.832,8.495,8.543,8.649,8.714,9.021,9.754,10.32,10.614,10.829,11.607,11.981,12.646,13.068,13.325,13.789,14.285,14.571,14.901,15.139,15.496,15.68,15.85,16.025,16.324,16.564,17.204,18.018,19.062
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRG3",8.881,8.587,8.062,7.011,6.26,6.467,6.698,6.701,6.72,6.72,6.7,6.678,6.972,7.584,7.665,7.772,7.833,8.086,8.757,9.241,9.471,9.68,10.396,10.669,11.235,11.635,11.888,12.348,12.789,12.999,13.276,13.508,13.862,14.043,14.216,14.39,14.686,14.924,15.568,16.392,17.447
"78","71","        Other motor vehicle services (61)","DOVSRG3",15.719,15.414,14.834,13.621,12.704,13.013,13.105,13.032,12.986,12.935,13.03,13.034,13.518,14.362,13.908,13.92,13.982,14.862,15.823,17.155,18.202,18.279,19.305,20.767,22.269,22.681,22.806,22.987,23.856,24.959,25.758,25.889,26.008,26.092,26.088,26.156,26.283,26.383,26.568,26.77,27.09
"79","72","      Public transportation","DPUBRG3",9.276,9.307,8.871,8.368,8.055,8.168,8.308,8.242,8.165,8.253,8.307,8.095,8.132,8.541,8.772,8.687,8.813,9.105,9.742,10.554,11.636,12.421,13.302,13.868,14.383,14.871,15.31,15.811,16.424,17.12,17.817,18.413,19.134,19.891,19.73,20.074,20.367,20.876,21.607,22.487,24.022
"80","73","        Ground transportation (63)","DGRDRG3",5.542,5.565,5.303,5.003,4.815,4.886,4.97,4.929,4.883,4.941,4.97,4.845,4.867,5.109,5.246,5.192,5.274,5.461,5.841,6.317,6.986,7.487,8.047,8.409,8.75,9.092,9.411,9.763,10.202,10.588,11.018,11.292,11.656,12.074,12.251,12.566,12.803,13.262,13.974,14.717,15.636
"81","74","        Air transportation (64)","DAITRG3",34.342,23.829,23.752,20.973,20.922,17.77,18.721,18.737,18.753,16.534,17.808,16.749,16.933,18.532,19.35,20.409,19.05,17.866,19.428,22.222,22.597,22.222,22.434,22.7,22.675,22.338,22.027,22.009,22.012,23.529,24.497,26.213,27.921,29.36,27.242,27.119,27.239,27.304,27.339,27.921,30.05
"82","75","        Water transportation (65)","DWATRG3",25.064,24.51,24.64,24.496,24.32,24.83,24.45,24.892,24.892,23.709,24.099,23.897,24.732,25.276,25.997,27.037,27.021,27.028,26.98,28.513,27.509,27.221,27.221,27.221,26.621,26.826,26.621,26.836,26.836,26.836,27.787,28.895,29.525,29.941,30.698,31.044,32.009,33.261,34.288,35.861,38.275
"83","76","    Recreation services","DRCARG3",7.71,7.566,7.227,6.881,6.489,6.537,6.631,6.759,7.006,7.136,7.072,7.134,7.393,7.785,8.36,9.389,9.855,10.493,11.304,11.716,11.925,12.022,12.421,12.874,13.463,14.048,14.517,14.949,15.502,16.088,16.473,17.084,17.557,17.975,18.364,18.878,19.263,19.77,20.462,21.557,22.473
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRG3",6.259,6.179,5.914,5.635,5.277,5.298,5.367,5.488,5.684,5.788,5.743,5.812,6.017,6.315,6.822,7.768,8.189,8.619,9.148,9.352,9.514,9.591,9.889,10.116,10.542,11.044,11.488,11.804,12.247,12.711,13.032,13.725,14.278,14.755,15.227,15.863,16.377,17.018,17.776,18.861,19.956
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRG3",12.716,11.755,10.849,10.073,9.745,10.002,10.268,10.377,10.803,10.915,10.782,10.825,11.018,11.779,12.421,13.092,13.431,14.067,15.753,16.298,16.659,17.275,18.423,19.524,20.658,21.652,22.295,23.159,23.982,24.957,25.511,25.869,26.128,26.359,26.486,26.618,26.482,26.329,26.804,27.878,28.027
"86","79","      Gambling (91)","DGAMRG3",5.359,5.331,5.046,4.808,4.897,5.059,5.154,5.057,5.36,5.723,5.528,5.371,5.959,6.437,6.673,7.196,7.541,9.334,10.951,12.746,13.036,12.509,12.254,13.385,14.088,14.346,14.436,14.799,15.457,16.016,16.458,16.701,16.881,17.08,17.294,17.523,17.796,18.334,18.839,19.644,20.708
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRG3",9.735,9.59,9.557,9.438,9.279,9.415,9.472,9.606,9.813,9.755,9.807,9.832,9.953,10.402,10.772,11.419,11.688,12.241,13.143,13.861,13.802,13.838,14.47,14.863,15.171,15.322,15.436,15.859,16.125,16.457,16.571,16.881,17.033,17.303,17.517,17.98,18.519,19.254,19.985,21.312,22.401
"88","81","    Food services and accommodations","DFSARG3",7.206,6.763,5.834,4.925,4.763,5.126,5.512,5.521,5.717,5.45,5.339,5.401,5.889,6.883,7.722,8.054,8.322,9.257,10.333,10.804,10.514,10.699,11.503,11.76,11.658,11.789,11.762,11.896,12.288,12.6,13.05,13.403,13.673,14.012,14.315,14.537,14.824,15.396,16.25,17.098,18.122
"89","82","      Food services","DFSERG3",7.363,6.886,5.897,4.948,4.813,5.231,5.652,5.655,5.852,5.554,5.431,5.502,6.023,7.073,7.959,8.309,8.592,9.585,10.725,11.207,10.871,11.055,11.89,12.145,12.011,12.135,12.09,12.216,12.615,12.933,13.405,13.775,14.058,14.422,14.751,14.985,15.282,15.895,16.789,17.665,18.715
"90","83","        Purchased meals and beverages (102)","DPMBRG3",7.276,6.795,5.831,4.893,4.761,5.168,5.581,5.578,5.772,5.485,5.364,5.435,5.877,6.8,7.631,7.957,8.197,9.441,10.587,11.022,10.683,10.805,11.506,11.765,11.719,11.949,12.018,12.217,12.631,12.931,13.409,13.78,14.062,14.425,14.755,14.987,15.281,15.888,16.788,17.665,18.712
"91","84","        Food furnished to employees (including military) (103)","DFOORG3",7.682,7.31,6.102,5.115,4.955,5.471,5.954,6.04,6.246,5.824,5.697,5.762,7.284,9.562,10.914,11.443,11.984,11.372,12.472,13.556,13.269,14.275,16.793,17.017,15.877,14.751,13.299,12.473,12.675,13.263,13.647,14.01,14.313,14.693,15.037,15.29,15.634,16.363,17.194,18.084,19.197
"92","85","      Accommodations (104)","DACCRG3",7.076,6.938,6.566,5.995,5.384,5.073,5.069,5.168,5.415,5.559,5.609,5.54,5.624,5.936,6.185,6.277,6.356,6.5,6.843,7.25,7.563,7.812,8.327,8.689,9.081,9.365,9.615,9.912,10.287,10.566,10.816,11.005,11.145,11.24,11.272,11.4,11.606,11.809,12.342,12.979,13.832
"93","86","    Financial services and insurance","DIFSRG3",5.769,5.635,5.124,4.561,4.35,4.505,4.699,4.911,5.126,5.004,4.967,5.108,5.243,5.6,5.855,6.098,6.329,6.999,7.297,7.678,7.817,7.969,8.067,8.558,9.53,9.873,10.167,10.489,10.84,11.009,11.639,12.148,12.558,13.076,13.091,13.639,13.986,14.829,15.169,16.293,17.749
"94","87","      Financial services","DFNLRG3",6.076,5.919,5.341,4.757,4.499,4.47,4.907,5.174,5.394,5.27,5.209,5.455,5.592,5.87,6.172,6.563,6.713,7.667,8.293,8.699,9.081,9.479,9.838,10.137,11.715,12.166,13.145,14.315,14.64,14.355,15.364,16.244,16.729,17.749,17.657,18.626,18.747,20.182,20.51,21.802,24.763
"95","88","        Financial services furnished without payment (107)","DIMPRG3",4.879,4.525,3.742,3.002,2.736,2.695,3.106,3.368,3.556,3.33,3.276,3.493,3.62,3.869,4.189,4.604,4.806,5.776,6.246,6.517,6.842,7.408,7.804,8.096,9.928,10.346,11.534,12.739,12.918,12.352,13.447,14.105,14.496,14.876,13.714,15.003,15.656,16.969,17.804,17.87,21.32
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRG3",9.228,9.492,9.632,9.964,9.827,9.85,10.168,10.351,10.618,11.017,10.97,11.147,11.192,11.322,11.256,11.331,11.236,11.858,12.832,13.601,14.047,13.732,13.902,14.148,14.403,14.845,15.084,15.953,16.615,17.104,17.787,19.058,19.697,22.021,24.655,24.607,23.444,24.993,24.304,27.883,29.358
"97","90","      Insurance","DINSRG3",4.372,4.285,3.925,3.491,3.351,3.57,3.608,3.749,3.915,3.82,3.801,3.868,3.974,4.286,4.465,4.591,4.811,5.194,5.268,5.556,5.562,5.579,5.553,6,6.525,6.748,6.703,6.63,6.907,7.202,7.541,7.788,8.076,8.277,8.329,8.59,8.946,9.363,9.636,10.45,10.941
"98","91","        Life insurance (110)","DLIFRG3",4.195,4.069,3.776,3.314,3.105,3.273,3.315,3.44,3.608,3.482,3.44,3.524,3.65,3.944,4.195,4.447,4.573,4.909,5.118,5.496,5.748,6.041,6.461,6.671,7.006,7.174,7.342,7.677,7.971,8.265,8.66,9.028,9.295,9.61,9.833,10.205,10.464,10.84,11.217,11.866,12.455
"99","92","        Net household insurance (111)","DFINRG3",1.844,1.769,1.675,1.653,1.692,1.753,1.802,1.776,1.849,1.799,1.783,1.818,1.937,2.056,2.212,2.361,2.421,2.522,2.81,2.993,3.083,3.157,3.362,3.568,3.672,3.811,3.886,3.974,4.063,4.183,4.374,4.338,4.396,4.479,4.764,5.246,6.056,6.795,7.571,8.099,8.559
"100","93","        Net health insurance (112)","DHINRG3",4.786,4.84,3.824,3.281,3.629,4.407,4.576,5.022,5.366,5.444,5.486,5.482,5.458,6.029,6.309,6.144,6.836,7.33,6.975,6.771,5.736,5.334,4.394,4.92,5.691,6.208,5.884,5.311,5.588,5.655,5.908,6.052,6.524,6.732,6.514,6.653,7,7.38,7.457,8.938,9.179
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRG3",4.253,4.327,4.387,4.417,4.398,4.446,4.282,4.218,4.16,4.12,4.213,4.238,4.349,4.469,4.094,4.02,4.014,4.567,4.645,5.384,6.163,5.979,6.157,7.012,7.68,7.675,7.579,7.379,7.676,8.316,8.714,8.95,9.092,9.12,9.2,9.415,9.909,10.442,10.764,11.015,11.724
"102","95","    Other services","DOTSRG3",6.627,6.394,5.928,5.452,5.206,5.283,5.343,5.427,5.7,5.66,5.726,5.773,6.039,6.576,7.341,8.109,8.62,9.019,9.637,10.119,10.344,10.595,11.138,11.546,11.973,12.174,12.364,12.792,13.222,13.574,13.964,14.353,14.517,14.754,15.074,15.409,15.805,16.262,16.782,17.524,18.372
"103","96","      Communication","DCOMRG3",28.643,28.638,28.487,28.454,28.437,28.274,28.267,28.063,27.952,27.8,27.713,27.852,28.251,29.855,31.035,32.143,32.727,32.959,34.016,35.848,37.298,39.821,40.916,42.593,44.038,43.683,43.402,44.002,44.872,46.202,47.419,48.282,48.484,48.539,49.47,49.75,49.195,48.31,49.037,49.88,50.649
"104","97","        Telecommunication services (71)","DTCSRG3",36.841,37.106,37.244,37.312,37.132,36.607,36.392,36.191,35.702,35.702,35.654,35.72,35.903,37.88,39.099,40.242,40.913,40.911,41.543,43.669,45.542,49.01,50.034,51.896,53.713,52.874,52.29,52.947,53.97,55.575,56.875,57.772,57.97,57.965,57.982,58.061,57.238,55.978,56.718,56.721,57.469
"105","98","        Postal and delivery services (68)","DPSSRG3",4.682,4.494,4.243,4.166,4.265,4.439,4.572,4.498,4.705,4.556,4.502,4.597,4.889,5.21,5.619,6.003,6.155,6.411,7.144,7.621,7.835,8.016,8.532,9.063,9.314,9.654,9.85,10.06,10.286,10.586,11.065,11.444,11.552,11.658,13.379,13.813,13.922,14.033,14.412,16.345,16.833
"106","99","        Internet access (72)","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","100","      Education services","DTEDRG3",2.744,2.752,2.631,2.564,2.324,2.368,2.351,2.37,2.425,2.439,2.445,2.441,2.555,2.695,2.947,3.152,3.266,3.503,3.814,4.088,4.157,4.249,4.493,4.542,4.616,4.711,4.817,5.056,5.237,5.374,5.57,5.697,5.812,5.959,6.103,6.252,6.467,6.757,7.037,7.358,7.808
"108","101","        Higher education (97)","DHEDRG3",2.57,2.569,2.469,2.345,2.171,2.22,2.196,2.221,2.27,2.295,2.295,2.27,2.345,2.47,2.67,2.844,2.994,3.194,3.393,3.567,3.617,3.692,3.868,3.892,3.916,4.016,4.116,4.267,4.367,4.416,4.639,4.759,4.878,5.063,5.248,5.445,5.682,5.968,6.272,6.652,7.1
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRG3",2.106,2.055,1.951,2.08,1.769,1.795,1.795,1.795,1.847,1.847,1.847,1.873,2.003,2.106,2.287,2.493,2.621,2.825,3.156,3.511,3.587,3.714,3.99,4.091,4.242,4.342,4.467,4.667,4.866,5.04,5.156,5.289,5.419,5.486,5.549,5.581,5.71,5.931,6.093,6.254,6.641
"110","103","        Commercial and vocational schools (99)","DVEDRG3",5.641,5.798,5.528,5.155,4.778,4.843,4.812,4.858,4.949,4.955,5.018,5.013,5.256,5.574,6.247,6.603,6.51,7.02,7.84,8.41,8.568,8.642,9.151,9.18,9.285,9.343,9.423,10.226,10.782,11.281,11.552,11.67,11.667,11.826,11.981,12.247,12.559,13.042,13.501,13.92,14.497
"111","104","      Professional and other services (121)","DPRSRG3",3.388,3.28,3.017,2.75,2.584,2.614,2.69,2.77,2.89,2.859,2.88,2.914,3.091,3.273,3.464,3.823,4.105,4.2,4.646,4.897,5.063,5.209,5.542,5.852,6.107,6.331,6.588,6.924,7.267,7.53,7.723,7.919,8.076,8.218,8.391,8.693,9.011,9.242,9.62,10.001,10.659
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRG3",6.555,6.507,6.355,5.995,5.726,5.753,5.713,5.671,5.961,6.075,6.063,6.059,6.261,6.857,7.479,8.086,8.306,8.787,9.527,10.002,10.204,10.37,11.101,11.372,11.699,11.827,12.102,12.597,13.123,13.433,13.771,14.317,14.432,14.643,14.993,15.343,15.787,16.573,17.398,18.23,19.194
"113","106","      Social services and religious activities (120)","DSOCRG3",6.832,6.553,6.038,5.653,5.531,5.818,5.912,6.07,6.392,6.272,6.271,6.281,6.487,6.989,7.393,7.665,7.902,8.657,9.992,10.701,10.762,11.152,12.001,12.074,12.317,12.578,12.848,13.337,13.815,14.095,14.469,14.684,14.812,14.962,15.212,15.401,15.747,16.149,16.559,17.249,18.31
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRG3",4.558,4.236,3.717,3.22,3.017,3.097,3.174,3.298,3.618,3.434,3.514,3.609,3.875,4.475,5.666,6.845,7.715,8.241,8.64,8.908,8.956,9.014,9.501,10.137,10.583,10.78,10.847,11.101,11.482,11.829,12.31,12.944,13.115,13.43,13.668,14.066,14.65,15.379,15.954,17.302,18.511
"115","108","      Net foreign travel","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","109","        Foreign travel by U.S. residents (129)","DFTRRG3",13.826,12.792,10.668,8.812,9.032,9.469,9.899,10.286,10.581,10.8,11.586,11.582,11.369,11.27,11.439,12.116,15.072,15.804,15.435,16.497,16.933,16.775,16.398,16.174,17.318,17.954,17.809,18.274,18.333,18.471,19.129,18.747,18.892,19.414,19.893,20.294,21.11,21.886,21.729,22.684,23.192
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRG3",7.17,7.162,6.589,6.091,5.716,6.261,6.756,7.088,7.203,6.651,6.409,6.759,6.778,7.381,6.781,6.945,7.451,8.937,10.302,11.042,11.024,11.169,12.018,12.329,12.492,12.552,12.588,12.788,13.239,13.634,14.574,14.75,14.933,15.088,15.256,15.495,15.725,16.185,16.656,17.344,18.265
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",22.118,21.273,19.45,18.074,17.394,18.353,18.49,18.991,19.984,19.456,19.488,19.463,20.404,22.14,23.75,24.834,25.693,28.341,32.968,35.515,35.819,37.246,40.366,40.452,41.18,42.221,43.308,45.316,47.362,48.595,49.469,46.3,46.765,47.428,48.189,48.409,49.76,51.587,53.261,55.299,58.741
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.811,11.082,11.288,11.501,11.778,12.063,12.414,12.845,13.433,14.14,15.062
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.494,6.995,7.157,7.309,7.513,7.767,7.997,8.268,8.697,9.21,9.822
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
