"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"33","13","  Command-basis net national product \4\","C027RX1","4,091,830.0","4,095,836.0","4,118,328.0","4,092,652.0","4,079,607.0","4,084,419.0","4,114,501.0","4,060,722.0","4,186,670.0","4,208,686.0","4,234,305.0","4,243,380.0","4,324,115.0","4,427,922.0","4,471,155.0","4,553,262.0","4,673,741.0","4,712,019.0","4,690,650.0","4,740,206.0","4,659,829.0","4,639,247.0","4,571,769.0","4,542,362.0","4,475,242.0","4,508,426.0","4,599,348.0","4,672,206.0","4,782,822.0","4,819,323.0","4,836,827.0","4,880,483.0","4,934,059.0","5,020,227.0","5,096,003.0","5,107,214.0","5,118,298.0","5,320,656.0","5,371,263.0","5,462,099.0","5,456,008.0","5,455,451.0","5,481,526.0","5,463,025.0","5,436,860.0","5,284,612.0","5,261,918.0","5,357,365.0","5,474,426.0","5,419,585.0","5,504,394.0","5,432,639.0","5,321,395.0","5,363,182.0","5,326,063.0","5,325,773.0","5,406,803.0","5,545,874.0","5,667,100.0","5,805,257.0","5,920,614.0","6,024,769.0","6,087,256.0","6,131,990.0","6,183,234.0","6,234,476.0","6,317,485.0","6,355,615.0","6,406,149.0","6,436,976.0","6,490,321.0","6,497,996.0","6,527,675.0","6,593,012.0","6,642,687.0","6,767,321.0","6,804,254.0","6,888,895.0","6,930,857.0","7,018,848.0","7,084,818.0","7,125,768.0","7,192,257.0","7,205,477.0","7,265,881.0","7,309,139.0","7,276,598.0","7,192,324.0","7,160,208.0","7,213,472.0","7,245,535.0","7,279,926.0","7,352,125.0","7,432,606.0","7,499,590.0","7,591,017.0","7,611,706.0","7,647,821.0","7,698,318.0","7,789,783.0","7,877,640.0","7,977,952.0","8,013,299.0","8,103,376.0","8,126,220.0","8,129,391.0","8,185,714.0","8,256,651.0","8,319,293.0","8,461,218.0","8,513,327.0","8,608,670.0","8,677,146.0","8,819,805.0","8,930,354.0","8,986,289.0","9,096,630.0","9,175,851.0","9,286,674.0","9,451,338.0","9,543,685.0","9,591,645.0","9,692,923.0","9,859,382.0","9,847,386.0","10,053,619.0","10,032,428.0","10,105,093.0","10,042,725.0","10,137,063.0","10,085,842.0","10,211,092.0","10,254,622.0","10,262,620.0","10,325,529.0","10,331,531.0","10,323,656.0","10,448,964.0","10,635,068.0","10,758,420.0","10,834,394.0","10,876,900.0","10,956,173.0","10,999,512.0","11,148,197.0","11,163,929.0","11,231,617.0","11,231,220.0","11,393,376.0","11,419,358.0","11,399,764.0","11,514,489.0","11,523,736.0","11,621,230.0","11,742,057.0","11,778,791.0","11,665,336.0","11,622,523.0","11,519,950.0","11,318,197.0","11,244,920.0","11,215,982.0","11,277,009.0","11,353,375.0","11,455,417.0","11,562,836.0"
"34","14","  Net national product","A027RX1","3,991,047.0","3,997,554.0","4,018,850.0","3,992,702.0","3,981,316.0","3,986,138.0","4,022,028.0","3,970,558.0","4,092,187.0","4,115,201.0","4,143,975.0","4,154,784.0","4,234,754.0","4,340,777.0","4,383,881.0","4,456,961.0","4,581,289.0","4,635,499.0","4,609,146.0","4,651,623.0","4,609,938.0","4,614,008.0","4,552,774.0","4,520,397.0","4,446,771.0","4,480,501.0","4,563,901.0","4,634,329.0","4,746,227.0","4,783,228.0","4,804,633.0","4,839,206.0","4,903,355.0","5,004,411.0","5,096,920.0","5,082,124.0","5,102,662.0","5,309,221.0","5,363,855.0","5,442,720.0","5,445,403.0","5,450,057.0","5,499,228.0","5,506,941.0","5,519,910.0","5,378,630.0","5,354,959.0","5,444,848.0","5,569,619.0","5,508,181.0","5,579,800.0","5,501,064.0","5,385,966.0","5,419,799.0","5,376,674.0","5,372,491.0","5,442,186.0","5,579,121.0","5,698,225.0","5,826,383.0","5,940,178.0","6,046,857.0","6,102,025.0","6,139,343.0","6,180,192.0","6,230,710.0","6,320,696.0","6,369,117.0","6,422,986.0","6,430,767.0","6,494,407.0","6,509,060.0","6,542,229.0","6,617,283.0","6,671,586.0","6,794,183.0","6,832,968.0","6,919,163.0","6,946,211.0","7,044,641.0","7,108,690.0","7,157,298.0","7,214,294.0","7,230,717.0","7,303,076.0","7,327,944.0","7,312,312.0","7,264,118.0","7,200,385.0","7,232,874.0","7,255,632.0","7,291,006.0","7,373,448.0","7,454,747.0","7,531,526.0","7,617,284.0","7,632,472.0","7,668,416.0","7,711,724.0","7,796,762.0","7,881,946.0","7,988,135.0","8,032,501.0","8,121,200.0","8,144,130.0","8,154,959.0","8,201,907.0","8,267,509.0","8,325,459.0","8,462,910.0","8,527,307.0","8,623,398.0","8,672,430.0","8,810,413.0","8,908,314.0","8,959,572.0","9,046,657.0","9,115,811.0","9,215,958.0","9,377,698.0","9,464,221.0","9,531,926.0","9,643,197.0","9,828,223.0","9,831,040.0","10,028,159.0","10,010,971.0","10,086,002.0","10,014,350.0","10,082,058.0","10,011,966.0","10,109,203.0","10,151,021.0","10,180,951.0","10,242,939.0","10,253,645.0","10,275,401.0","10,373,821.0","10,559,933.0","10,682,669.0","10,773,434.0","10,821,353.0","10,909,563.0","10,976,417.0","11,121,765.0","11,150,526.0","11,241,325.0","11,262,974.0","11,419,102.0","11,444,518.0","11,418,765.0","11,507,825.0","11,517,205.0","11,614,823.0","11,735,638.0","11,865,791.0","11,821,400.0","11,810,891.0","11,687,093.0","11,377,157.0","11,206,290.0","11,187,625.0","11,269,700.0","11,422,315.0","11,558,796.0","11,605,445.0"
"35","15","  Trading gains index \5\","W368RG3","102.420","102.406","102.441","102.429","102.363","102.410","102.261","102.222","102.247","102.239","102.142","102.094","102.165","102.058","101.988","101.989","101.980","101.766","101.835","101.683","101.098","100.481","100.517","100.681","100.798","100.745","100.876","100.908","100.899","100.868","100.771","100.838","100.638","100.526","100.384","100.351","100.371","100.369","100.366","100.489","100.391","100.277","99.808","99.356","98.816","98.597","98.604","98.766","98.758","98.746","99.029","99.044","99.134","99.299","99.358","99.396","99.631","99.672","99.715","99.861","99.863","99.874","99.998","100.057","100.243","100.188","100.137","99.956","99.915","100.210","100.134","100.094","99.893","99.749","99.693","99.678","99.641","99.648","99.895","99.810","99.748","99.663","99.797","99.723","99.585","99.814","99.615","99.188","99.565","99.811","99.910","99.885","99.827","99.798","99.667","99.732","99.804","99.792","99.881","99.924","99.982","99.924","99.795","99.823","99.846","99.763","99.818","99.881","99.894","99.926","99.978","99.877","99.948","100.209","100.264","100.321","100.526","100.629","100.716","100.693","100.722","100.599","100.474","100.346","100.183","100.265","100.216","100.175","100.267","100.512","100.683","100.894","100.913","100.713","100.721","100.681","100.425","100.650","100.632","100.644","100.497","100.457","100.392","100.187","100.216","100.112","99.929","99.751","99.800","99.813","99.858","100.072","100.065","100.066","100.053","99.346","98.861","98.551","98.680","99.484","100.277","100.210","100.052","99.481","99.207","99.660"
"36","16","  Terms of trade index \6\","W369RG3","147.186","146.796","147.734","147.318","145.653","146.816","143.009","142.108","142.650","142.506","140.130","138.928","140.655","138.183","136.512","136.578","136.435","132.147","133.444","130.412","120.412","111.735","112.272","114.343","115.727","115.091","117.360","117.895","117.683","117.174","115.781","116.654","113.987","112.558","110.538","109.943","110.249","110.323","110.296","111.950","110.915","109.725","104.500","99.811","94.841","92.778","92.798","94.290","94.225","94.075","96.745","96.854","97.721","99.392","99.865","100.051","102.631","103.001","103.380","105.059","104.877","104.965","105.779","105.942","107.353","106.480","105.461","103.278","102.548","105.432","104.317","103.959","101.789","100.610","99.946","100.073","99.817","100.118","102.492","101.460","100.833","99.882","100.978","100.150","98.743","100.796","98.901","95.099","98.410","100.666","101.565","101.296","100.699","100.399","99.119","99.698","100.350","100.217","100.997","101.327","101.842","101.275","100.119","100.381","100.644","99.998","100.383","100.824","100.845","101.033","101.331","100.351","100.867","102.962","103.381","103.776","105.340","106.098","106.639","106.313","106.412","105.325","104.293","103.319","102.095","102.729","102.313","101.922","102.380","103.906","105.027","106.428","106.407","104.789","104.940","104.495","102.602","104.325","104.073","104.247","103.264","103.089","102.538","101.245","101.497","100.805","99.483","98.314","98.630","98.853","99.309","100.528","100.406","100.500","100.452","96.492","94.047","92.814","93.608","96.794","101.662","101.265","100.314","96.585","94.985","98.008"
"37","17","    Terms of trade, goods \7\","W370RG3","165.654","164.540","165.889","164.931","164.014","165.826","159.483","157.791","159.711","159.909","156.501","155.702","154.002","150.530","148.512","149.514","150.910","146.747","149.721","146.214","132.852","121.707","122.449","125.669","127.599","126.712","129.667","130.585","129.743","128.811","127.081","128.305","124.998","123.099","120.396","119.560","119.904","120.192","120.544","123.041","122.177","120.935","114.447","108.495","102.473","99.624","99.838","101.557","101.132","100.619","103.707","103.763","104.641","105.921","105.571","105.359","108.144","108.508","108.879","111.137","111.334","111.146","110.984","110.020","111.233","110.515","109.702","107.148","106.684","110.310","108.721","108.281","105.017","103.837","103.105","103.595","103.849","104.587","107.579","106.135","104.833","103.298","104.475","103.414","101.606","104.354","101.892","97.107","101.058","103.317","104.075","103.636","102.858","102.396","101.057","101.320","102.062","101.975","102.741","103.129","103.842","103.094","101.943","102.428","102.530","102.101","102.567","102.918","102.590","102.887","102.974","101.448","102.033","104.370","104.630","104.793","106.228","107.166","107.707","107.460","107.411","106.135","105.014","103.887","102.060","102.508","101.851","101.355","101.938","103.710","105.109","106.774","106.816","104.960","105.456","104.837","102.697","105.418","104.863","105.144","104.049","103.989","103.326","101.717","101.906","101.124","99.364","97.749","98.208","98.560","99.115","100.741","100.386","100.621","100.632","96.013","93.265","92.439","93.257","95.703","101.063","101.231","100.203","95.863","93.945","97.537"
"38","18","    Terms of trade, nonpetroleum goods \8\","W371RG3","118.359","117.528","118.311","117.330","116.702","117.895","113.257","112.211","113.619","114.031","111.767","111.097","109.654","107.141","105.530","106.168","107.147","103.888","106.826","107.499","111.348","105.981","104.638","105.713","106.411","105.253","108.529","110.338","110.375","109.162","107.214","108.627","106.048","104.086","101.271","100.537","99.898","99.199","99.051","100.696","100.238","102.672","103.871","100.537","98.745","98.221","97.990","100.200","101.892","102.656","104.288","103.373","103.938","104.277","104.999","104.681","104.905","105.352","106.372","108.329","108.416","108.316","108.083","107.192","108.316","107.777","106.124","103.499","99.764","97.936","95.170","95.682","94.535","94.316","94.051","93.677","92.542","92.958","95.098","92.900","93.183","93.481","93.768","93.330","92.744","93.037","93.059","92.831","92.308","92.843","92.983","92.570","91.511","92.033","91.014","90.524","91.479","91.228","90.922","90.509","91.012","90.915","90.560","90.410","91.176","91.008","90.864","91.177","91.814","92.908","93.223","92.839","93.420","94.014","94.062","94.136","94.344","94.502","94.538","94.230","94.102","94.617","94.916","95.182","95.249","95.369","95.174","95.190","94.834","95.793","96.689","96.798","97.101","97.110","97.810","97.859","97.738","98.204","97.973","98.756","98.863","99.435","99.440","99.653","99.839","100.061","100.465","99.640","100.841","102.144","102.729","102.679","102.866","103.463","103.761","104.161","104.335","104.534","105.095","99.851","99.092","100.788","101.876","101.816","101.993","103.020"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
