"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"179","14","     Personal interest income","A064RC1","897,243.0","898,316.0","899,008.0","898,432.0","898,433.0","897,300.0","892,269.0","886,127.0","878,725.0","878,500.0","877,389.0","875,615.0","863,238.0","855,007.0","848,486.0","848,599.0","849,826.0","852,539.0","855,606.0","857,862.0","860,437.0","865,242.0","875,783.0","889,873.0","912,796.0","928,545.0","941,975.0","955,145.0","970,632.0","985,954.0","994,816.0","1,003,251.0","1,011,245.0","1,028,378.0","1,046,431.0","1,064,663.0","1,063,908.0","1,066,650.0","1,071,042.0","1,103,583.0","1,129,353.0","1,153,275.0","1,152,728.0","1,156,635.0","1,161,157.0","1,159,464.0","1,157,127.0","1,154,853.0","1,181,632.0","1,205,463.0","1,229,021.0","1,238,545.0","1,248,584.0","1,258,492.0","1,274,470.0","1,291,448.0","1,308,880.0","1,312,680.0","1,315,163.0","1,317,280.0","1,358,795.0","1,373,101.0","1,384,149.0","1,397,438.0","1,404,194.0","1,406,317.0","1,418,448.0","1,422,196.0","1,419,432.0","1,372,285.0","1,333,292.0","1,294,311.0","1,222,767.0","1,175,763.0","1,133,855.0","1,120,987.0","1,108,165.0","1,097,137.0","1,074,768.0","1,055,667.0","1,039,068.0","1,026,738.0","1,028,035.0","1,036,372.0","1,034,842.0","1,030,896.0","1,027,070.0","1,027,104.0","1,027,074.0","1,027,109.0","1,014,874.0","1,000,871.0","986,228.0","996,389.0","1,007,662.0","1,018,998.0","1,017,397.0","1,017,401.0","1,017,651.0","1,021,064.0","1,025,143.0","1,029,661.0","1,017,115.0","1,004,351.0","991,728.0","990,248.0","988,102.0","985,761.0","988,800.0","991,840.0","994,880.0","1,004,200.0","1,013,520.0","1,022,839.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","15","     Personal dividend income","B703RC1","400,756.0","400,585.0","401,686.0","404,057.0","407,700.0","412,614.0","418,799.0","426,255.0","434,982.0","444,980.0","456,249.0","468,790.0","482,601.0","494,939.0","505,803.0","515,193.0","523,109.0","529,551.0","534,519.0","538,014.0","540,035.0","540,582.0","539,655.0","835,406.0","533,380.0","531,307.0","531,036.0","532,567.0","535,899.0","541,034.0","547,970.0","556,708.0","567,247.0","579,589.0","593,732.0","609,677.0","627,423.0","644,212.0","660,042.0","674,914.0","688,828.0","701,784.0","713,782.0","724,822.0","734,903.0","744,026.0","752,191.0","759,398.0","742,734.0","746,632.0","772,072.0","799,162.0","811,574.0","794,728.0","803,238.0","806,518.0","811,523.0","810,057.0","801,258.0","803,080.0","828,203.0","838,543.0","832,082.0","809,852.0","797,253.0","794,229.0","788,922.0","779,422.0","764,055.0","746,875.0","724,528.0","696,846.0","674,354.0","634,554.0","602,982.0","549,047.0","523,533.0","504,269.0","486,425.0","478,945.0","478,532.0","478,280.0","484,574.0","503,434.0","525,318.0","542,670.0","544,954.0","555,515.0","568,003.0","578,490.0","587,826.0","597,454.0","606,708.0","611,096.0","619,385.0","642,853.0","654,490.0","663,899.0","652,189.0","659,975.0","667,277.0","674,183.0","681,452.0","685,162.0","687,365.0","692,823.0","694,961.0","702,014.0","701,344.0","703,981.0","708,346.0","717,805.0","728,285.0","738,222.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","16","   Personal current transfer receipts","A577RC1","1,313,515.0","1,315,761.0","1,325,096.0","1,327,391.0","1,332,054.0","1,341,637.0","1,348,851.0","1,355,104.0","1,362,824.0","1,352,396.0","1,356,562.0","1,369,797.0","1,381,778.0","1,395,182.0","1,400,411.0","1,405,254.0","1,412,250.0","1,415,589.0","1,404,920.0","1,426,646.0","1,423,934.0","1,431,820.0","1,437,618.0","1,450,802.0","1,471,298.0","1,483,663.0","1,489,008.0","1,504,090.0","1,508,278.0","1,506,889.0","1,501,326.0","1,521,427.0","1,527,476.0","1,528,746.0","1,531,585.0","1,529,156.0","1,565,087.0","1,566,227.0","1,575,716.0","1,582,115.0","1,597,454.0","1,614,068.0","1,609,301.0","1,628,450.0","1,624,397.0","1,619,983.0","1,623,500.0","1,653,723.0","1,694,794.0","1,703,713.0","1,706,374.0","1,697,803.0","1,700,244.0","1,697,684.0","1,709,049.0","1,716,052.0","1,734,251.0","1,741,578.0","1,748,641.0","1,771,319.0","1,792,419.0","1,794,381.0","1,809,961.0","1,822,204.0","2,003,692.0","1,982,365.0","1,854,006.0","1,873,106.0","1,889,460.0","1,891,572.0","1,900,997.0","1,936,658.0","2,006,949.0","2,029,274.0","2,064,597.0","2,097,023.0","2,264,112.0","2,152,416.0","2,156,082.0","2,167,374.0","2,185,427.0","2,168,715.0","2,182,330.0","2,207,248.0","2,249,303.0","2,256,584.0","2,264,759.0","2,262,813.0","2,265,501.0","2,270,224.0","2,274,217.0","2,311,737.0","2,307,599.0","2,311,737.0","2,314,944.0","2,322,064.0","2,324,394.0","2,319,927.0","2,323,124.0","2,323,689.0","2,323,001.0","2,313,016.0","2,315,830.0","2,314,962.0","2,313,311.0","2,318,416.0","2,314,828.0","2,326,428.0","2,341,261.0","2,346,515.0","2,356,245.0","2,355,420.0","2,355,334.0","2,358,478.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","17","     Government social benefits to persons","A063RC1","1,283,940.0","1,286,976.0","1,297,032.0","1,299,912.0","1,305,168.0","1,315,464.0","1,323,420.0","1,330,308.0","1,338,864.0","1,329,096.0","1,334,004.0","1,348,392.0","1,363,224.0","1,377,792.0","1,383,588.0","1,388,796.0","1,396,068.0","1,399,584.0","1,389,036.0","1,410,624.0","1,407,564.0","1,414,944.0","1,419,984.0","1,431,696.0","1,449,217.0","1,459,684.0","1,463,743.0","1,478,155.0","1,481,777.0","1,479,972.0","1,474,046.0","1,494,029.0","1,500,161.0","1,502,031.0","1,505,668.0","1,504,421.0","1,542,273.0","1,544,616.0","1,555,119.0","1,562,118.0","1,577,654.0","1,594,324.0","1,589,207.0","1,607,857.0","1,603,152.0","1,597,709.0","1,600,278.0","1,629,241.0","1,668,593.0","1,677,142.0","1,679,019.0","1,669,255.0","1,670,650.0","1,667,158.0","1,677,826.0","1,684,073.0","1,701,579.0","1,708,247.0","1,714,699.0","1,736,814.0","1,755,857.0","1,757,462.0","1,772,992.0","1,785,492.0","1,967,126.0","1,945,835.0","1,817,403.0","1,836,416.0","1,852,670.0","1,854,669.0","1,863,925.0","1,899,362.0","1,970,370.0","1,992,329.0","2,027,220.0","2,059,146.0","2,225,690.0","2,113,405.0","2,116,436.0","2,127,056.0","2,144,398.0","2,126,939.0","2,139,711.0","2,163,694.0","2,204,719.0","2,211,136.0","2,218,611.0","2,216,132.0","2,218,178.0","2,222,370.0","2,226,033.0","2,263,649.0","2,259,811.0","2,261,800.0","2,266,084.0","2,273,919.0","2,276,690.0","2,274,051.0","2,277,271.0","2,278,132.0","2,277,857.0","2,268,278.0","2,271,087.0","2,270,770.0","2,269,379.0","2,274,346.0","2,270,930.0","2,282,833.0","2,296,023.0","2,301,229.0","2,310,893.0","2,309,664.0","2,309,640.0","2,312,640.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","18","       Social security \1\","W823RC1","456,384.0","457,620.0","460,428.0","460,212.0","465,072.0","463,956.0","462,756.0","466,068.0","465,468.0","465,660.0","466,176.0","472,572.0","474,180.0","482,244.0","482,628.0","484,056.0","484,836.0","485,508.0","479,484.0","492,840.0","486,228.0","488,196.0","488,976.0","496,968.0","501,060.0","510,204.0","508,188.0","513,168.0","511,800.0","513,648.0","513,072.0","515,052.0","514,008.0","515,388.0","514,404.0","522,744.0","538,284.0","535,104.0","540,720.0","542,052.0","542,892.0","546,048.0","544,716.0","544,824.0","548,784.0","545,676.0","545,748.0","554,304.0","565,056.0","567,588.0","572,160.0","570,696.0","577,848.0","576,516.0","573,792.0","577,464.0","583,404.0","576,348.0","577,716.0","589,188.0","593,976.0","594,540.0","603,456.0","599,616.0","604,668.0","604,284.0","608,724.0","608,388.0","609,516.0","609,336.0","611,316.0","618,684.0","648,060.0","651,936.0","655,620.0","661,860.0","657,444.0","667,968.0","665,124.0","662,004.0","676,668.0","672,972.0","671,496.0","682,488.0","676,968.0","678,156.0","680,892.0","687,936.0","688,788.0","688,104.0","693,132.0","691,284.0","697,308.0","697,248.0","696,600.0","705,672.0","702,876.0","701,616.0","704,916.0","712,812.0","711,624.0","711,660.0","714,792.0","715,740.0","717,492.0","718,128.0","718,920.0","728,736.0","749,244.0","752,064.0","758,196.0","756,780.0","756,756.0","764,616.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","19","       Medicare \2\","W824RC1","267,252.0","268,644.0","270,144.0","271,740.0","273,456.0","275,268.0","277,200.0","279,228.0","281,376.0","283,620.0","285,972.0","288,444.0","291,024.0","293,556.0","296,052.0","298,500.0","300,912.0","303,420.0","306,192.0","308,736.0","311,700.0","313,272.0","315,156.0","317,388.0","320,184.0","322,476.0","324,744.0","326,280.0","328,356.0","330,528.0","332,616.0","334,896.0","337,200.0","339,516.0","341,904.0","344,388.0","370,092.0","382,500.0","385,920.0","389,088.0","396,588.0","408,132.0","395,388.0","409,920.0","408,348.0","410,712.0","412,452.0","421,176.0","420,396.0","420,708.0","421,308.0","422,196.0","423,396.0","424,908.0","426,696.0","428,808.0","431,208.0","433,908.0","436,920.0","440,220.0","451,980.0","452,292.0","452,940.0","455,904.0","457,188.0","458,796.0","461,724.0","463,968.0","466,536.0","469,440.0","472,644.0","476,196.0","479,904.0","483,348.0","486,564.0","489,528.0","492,276.0","494,772.0","497,052.0","499,080.0","500,880.0","502,428.0","503,748.0","504,828.0","505,656.0","506,712.0","507,960.0","509,436.0","511,104.0","512,988.0","515,088.0","517,380.0","519,900.0","522,612.0","525,552.0","528,708.0","532,032.0","535,164.0","538,056.0","540,744.0","543,192.0","545,412.0","547,404.0","549,180.0","550,728.0","552,048.0","553,164.0","554,028.0","554,136.0","555,708.0","557,856.0","556,176.0","557,424.0","557,220.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","20","       Medicaid","W729RC1","260,304.0","259,536.0","259,440.0","258,108.0","258,636.0","261,516.0","270,648.0","272,184.0","273,084.0","265,512.0","266,316.0","269,412.0","279,048.0","283,236.0","287,100.0","291,756.0","293,076.0","292,716.0","287,328.0","287,124.0","287,640.0","293,172.0","296,436.0","297,444.0","297,889.0","299,248.0","304,483.0","313,111.0","313,409.0","310,284.0","301,646.0","297,809.0","298,085.0","306,663.0","307,120.0","302,945.0","294,021.0","288,480.0","289,047.0","290,718.0","296,162.0","301,324.0","308,075.0","310,225.0","305,580.0","297,329.0","298,902.0","308,653.0","328,475.0","333,870.0","333,475.0","318,494.0","312,714.0","310,060.0","314,660.0","318,063.0","323,581.0","329,435.0","332,675.0","333,266.0","330,593.0","330,314.0","333,148.0","335,436.0","339,410.0","340,427.0","341,919.0","340,880.0","339,986.0","339,069.0","340,645.0","346,970.0","353,173.0","356,019.0","361,772.0","364,095.0","367,704.0","373,209.0","381,716.0","383,552.0","379,389.0","371,075.0","368,355.0","370,102.0","378,439.0","382,588.0","383,749.0","382,953.0","383,509.0","389,174.0","399,780.0","406,217.0","410,131.0","411,965.0","413,632.0","416,535.0","418,058.0","419,151.0","419,059.0","412,730.0","409,142.0","404,168.0","399,666.0","394,906.0","393,860.0","391,918.0","391,932.0","392,125.0","394,828.0","397,742.0","400,338.0","402,372.0","406,188.0","406,368.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","21","       Unemployment insurance","W825RC1","49,656.0","49,956.0","54,108.0","55,032.0","52,056.0","57,636.0","54,780.0","53,292.0","56,088.0","51,756.0","51,588.0","52,140.0","46,800.0","43,668.0","39,672.0","35,256.0","36,936.0","35,436.0","33,408.0","35,736.0","32,088.0","33,300.0","33,420.0","31,368.0","35,808.0","32,328.0","31,320.0","31,056.0","32,424.0","29,772.0","31,116.0","31,236.0","29,868.0","34,812.0","30,984.0","30,564.0","30,876.0","30,012.0","29,352.0","30,396.0","30,156.0","29,040.0","31,320.0","31,176.0","30,024.0","31,308.0","29,964.0","30,780.0","33,036.0","32,796.0","29,340.0","32,316.0","31,344.0","29,232.0","34,224.0","31,092.0","34,284.0","35,076.0","33,168.0","36,960.0","36,432.0","35,868.0","37,944.0","38,256.0","36,132.0","39,060.0","44,856.0","61,764.0","67,320.0","62,016.0","67,308.0","84,252.0","90,240.0","101,172.0","115,056.0","119,412.0","130,248.0","140,724.0","139,680.0","148,188.0","147,984.0","139,332.0","148,992.0","153,480.0","159,468.0","155,280.0","152,304.0","143,160.0","140,856.0","134,880.0","121,404.0","145,944.0","132,144.0","130,044.0","128,004.0","122,760.0","124,464.0","118,416.0","114,504.0","110,484.0","111,492.0","104,436.0","104,976.0","104,412.0","99,696.0","104,736.0","99,492.0","98,472.0","97,452.0","94,140.0","91,020.0","89,460.0","83,592.0","78,924.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","22","       Veterans' benefits","W826RC1","31,188.0","31,104.0","31,788.0","31,536.0","31,800.0","31,956.0","32,124.0","31,800.0","32,448.0","32,028.0","32,028.0","32,184.0","33,048.0","33,564.0","33,852.0","33,876.0","33,540.0","33,840.0","33,756.0","34,788.0","34,284.0","34,344.0","34,656.0","35,004.0","36,024.0","35,964.0","36,360.0","35,844.0","36,336.0","36,624.0","36,228.0","36,684.0","36,480.0","36,540.0","36,480.0","36,876.0","38,580.0","38,436.0","38,256.0","38,736.0","38,652.0","38,880.0","38,568.0","39,396.0","39,108.0","39,216.0","39,300.0","39,384.0","40,752.0","40,668.0","40,320.0","42,324.0","41,556.0","41,232.0","41,967.0","42,060.0","41,592.0","42,696.0","42,216.0","42,720.0","44,076.0","44,460.0","43,896.0","44,520.0","44,316.0","45,324.0","45,792.0","44,844.0","45,588.0","45,720.0","45,456.0","46,092.0","49,992.0","49,308.0","50,388.0","50,100.0","49,968.0","50,892.0","51,216.0","51,804.0","52,524.0","52,920.0","54,216.0","54,312.0","54,744.0","56,520.0","56,664.0","56,724.0","57,696.0","57,804.0","58,416.0","59,292.0","59,196.0","59,340.0","59,064.0","59,652.0","60,564.0","60,840.0","62,052.0","62,532.0","61,368.0","63,204.0","63,840.0","65,088.0","65,652.0","65,184.0","63,720.0","65,112.0","67,344.0","68,472.0","70,704.0","71,148.0","71,904.0","71,592.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","23","       Other","W827RC1","219,156.0","220,116.0","221,124.0","223,284.0","224,148.0","225,132.0","225,912.0","227,736.0","230,400.0","230,520.0","231,924.0","233,640.0","239,124.0","241,524.0","244,284.0","245,352.0","246,768.0","248,664.0","248,868.0","251,400.0","255,624.0","252,660.0","251,340.0","253,524.0","258,252.0","259,464.0","258,648.0","258,696.0","259,452.0","259,116.0","259,368.0","278,352.0","284,520.0","269,112.0","274,776.0","266,904.0","270,420.0","270,084.0","271,824.0","271,128.0","273,204.0","270,900.0","271,140.0","272,316.0","271,308.0","273,468.0","273,912.0","274,944.0","280,878.0","281,512.0","282,416.0","283,229.0","283,792.0","285,210.0","286,487.0","286,586.0","287,510.0","290,784.0","292,004.0","294,460.0","298,800.0","299,988.0","301,608.0","311,760.0","485,412.0","457,944.0","314,388.0","316,572.0","323,724.0","329,088.0","326,556.0","327,168.0","349,001.0","350,546.0","357,820.0","374,151.0","528,050.0","385,840.0","381,648.0","382,428.0","386,954.0","388,212.0","392,904.0","398,484.0","429,444.0","431,880.0","437,043.0","435,923.0","436,225.0","439,420.0","438,213.0","443,532.0","441,132.0","440,590.0","443,232.0","440,592.0","438,696.0","438,864.0","438,684.0","438,830.0","441,039.0","439,398.0","440,409.0","441,444.0","441,952.0","442,332.0","443,701.0","444,360.0","433,019.0","433,103.0","432,779.0","433,728.0","433,776.0","433,920.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","24","     Other current transfer receipts, from business (net)","B931RC1","29,575.0","28,785.0","28,064.0","27,479.0","26,886.0","26,173.0","25,431.0","24,796.0","23,960.0","23,300.0","22,558.0","21,405.0","18,554.0","17,390.0","16,823.0","16,458.0","16,182.0","16,005.0","15,884.0","16,022.0","16,370.0","16,876.0","17,634.0","19,106.0","22,081.0","23,979.0","25,265.0","25,935.0","26,501.0","26,917.0","27,280.0","27,398.0","27,315.0","26,715.0","25,917.0","24,735.0","22,814.0","21,611.0","20,597.0","19,997.0","19,800.0","19,744.0","20,094.0","20,593.0","21,245.0","22,274.0","23,222.0","24,482.0","26,201.0","26,571.0","27,355.0","28,548.0","29,594.0","30,526.0","31,223.0","31,979.0","32,672.0","33,331.0","33,942.0","34,505.0","36,562.0","36,918.0","36,969.0","36,713.0","36,567.0","36,530.0","36,603.0","36,690.0","36,790.0","36,903.0","37,072.0","37,296.0","36,579.0","36,944.0","37,377.0","37,877.0","38,422.0","39,011.0","39,646.0","40,318.0","41,029.0","41,777.0","42,618.0","43,554.0","44,583.0","45,448.0","46,147.0","46,682.0","47,323.0","47,853.0","48,184.0","48,088.0","47,788.0","49,937.0","48,860.0","48,146.0","47,704.0","45,876.0","45,852.0","45,557.0","45,144.0","44,738.0","44,742.0","44,192.0","43,931.0","44,070.0","43,898.0","43,594.0","45,238.0","45,286.0","45,352.0","45,756.0","45,694.0","45,838.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","25","   Less: Contributions for government social insurance, domestic","A061RC1","764,040.0","766,260.0","769,668.0","770,844.0","775,836.0","777,924.0","778,776.0","781,716.0","784,896.0","789,108.0","794,316.0","793,620.0","809,976.0","812,700.0","814,296.0","817,440.0","823,236.0","824,112.0","829,416.0","832,608.0","837,228.0","840,120.0","841,344.0","845,220.0","859,848.0","861,864.0","861,432.0","864,144.0","864,960.0","868,296.0","876,564.0","878,892.0","881,544.0","883,896.0","884,496.0","886,668.0","910,164.0","917,136.0","918,852.0","920,424.0","915,228.0","916,488.0","919,380.0","920,016.0","922,956.0","928,740.0","932,604.0","939,960.0","949,956.0","954,396.0","955,872.0","954,528.0","953,124.0","954,960.0","957,192.0","956,256.0","962,712.0","964,992.0","971,484.0","978,324.0","986,628.0","989,808.0","992,892.0","987,084.0","986,088.0","986,484.0","986,712.0","989,472.0","989,868.0","990,444.0","985,908.0","976,104.0","971,652.0","964,188.0","960,396.0","964,596.0","966,972.0","965,892.0","961,956.0","961,116.0","959,568.0","959,556.0","961,740.0","960,024.0","975,816.0","972,648.0","975,624.0","980,028.0","985,284.0","983,556.0","986,136.0","988,224.0","987,072.0","989,124.0","986,988.0","988,536.0","912,300.0","914,148.0","917,064.0","918,948.0","918,444.0","920,088.0","921,708.0","920,160.0","920,604.0","925,872.0","921,060.0","921,576.0","936,504.0","942,036.0","945,912.0","945,624.0","946,356.0","949,908.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
