"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160"
"54","46","    Farm product raw material wholesalers","KP42250",9253,9614,8728,8785,8972,8874,8521,8734,9349,10213,9341,9221,9485,8553,8541,8618,8617,8374,8253,9098,9471,9133,9119,9780,8756,9171,9291,8860,9697,9760,10054,9027,9672,9766,9660,9293,9219,8849,8952,9434,9227,9779,10295,10450,9823,9397,9030,9445,9148,9931,10022,9604,9687,8932,9117,9227,9033,8806,8855,8601,9041,8900,8867,9471,9166,9297,8858,8321,7951,8094,9100,9451,9421,8701,8569,8439,8349,9117,8725,8989,8704,9151,9154,9130,8901,8826,8821,8904,8366,8516,8527,9385,9358,9692,9878,10060,9801,10100,9106,10062,9821,9880,9795,9557,10383,10172,10277,9854,10025,10459,11138,10783,10772,10809,10472,10309,10380,9017,7923,8479,9124,8813,9222,9826,10122,9700,9989,10549,10651,9203,9576,9106,9949,9567,10098,9436,9754,9661,9744,9882,9372,10465,10566,10686,10436,10953,11037,11639,10371,10315,11154,10259,10961,10370,13681,12317,13025
"55","47","    Chemical and allied products wholesalers","KP42260",5915,6040,6151,6237,6152,6387,6450,6319,6381,6279,6234,6219,6347,6373,6179,6215,6329,6222,6239,6354,6372,6505,6522,6435,6497,6146,6467,6398,6517,6802,6584,6641,6506,6575,6647,6625,6599,6307,6605,6708,6606,6729,6607,6744,6762,6871,6741,6967,6662,6801,6750,6678,6785,6698,7030,6872,6832,6909,7046,7100,7259,7374,7028,7315,7551,7344,7236,7338,7424,7229,7089,6975,7135,6852,7001,7026,7048,6972,7060,6889,7005,7065,7072,7051,6980,6991,7149,7031,6975,7100,7109,7143,6974,6972,7147,7141,7392,7411,7186,7522,7494,7614,7456,7548,7310,7079,7192,7110,6764,6895,6934,6811,6761,6775,6792,6752,6763,6782,6834,7013,7169,6933,7090,7023,6929,6659,6679,6790,6982,7177,6851,6852,6682,6767,6515,6532,6449,6514,6426,6499,6115,6484,6609,6417,6108,5796,5597,5735,5894,5758,5771,5868,5732,5587,5690,5972,6105
"56","48","    Petroleum and petroleum products wholesalers","KP42270",26076,25797,26718,25134,27233,28064,28050,28435,27715,26423,27226,27031,27340,28104,30514,30378,31379,32901,32711,32872,33999,33079,33809,35647,33344,33859,34413,30667,31650,32303,30757,30275,29038,29485,28881,26614,27385,26789,25880,27517,27824,28220,28636,28921,29742,29843,28857,30511,31076,29536,28739,29103,29564,28090,29755,29054,30193,29899,30583,31764,31501,29608,29648,31213,31995,30950,30953,31461,30782,30998,32098,32006,32432,30535,29441,29726,30636,29528,29594,29311,29177,30373,29741,30483,30132,31203,31911,30161,31031,31175,29353,29103,30178,28780,28809,29199,30124,29152,29445,29347,29057,28556,29187,30148,28718,28276,29136,29113,28868,29279,30666,30021,29858,29937,31081,30276,31058,31147,30981,31402,30267,31666,30522,31606,32053,32248,31574,31556,32146,33099,30685,32434,33663,33397,32522,32727,32588,35319,32147,32567,30428,32414,31446,34796,31721,29706,31631,30838,29996,27358,30298,27108,27449,27855,27323,28723,26638
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",5451,5526,5613,5398,5659,5568,5741,5743,5891,5801,5771,6086,5730,5781,5927,5975,5984,5790,6029,5950,6437,6216,6112,6216,6287,6255,6282,6389,6406,6450,6376,6526,6718,6764,6766,6607,6649,6565,6686,6715,6587,6723,6548,6697,6846,6825,6813,6734,7001,6938,6480,6795,6716,6800,6885,6754,6650,6674,6893,7064,6855,7084,7252,7116,7093,7118,7142,7111,7142,6934,7054,7327,7114,7260,7249,7178,7126,7119,7518,7425,7315,7443,7364,7274,7335,7133,7021,7195,7482,7324,7430,7261,7474,7507,7476,7637,7470,7464,7489,7541,7616,7636,7459,7650,7537,7568,7588,7383,7683,7811,7606,7780,7736,7913,7858,8169,8230,8141,8422,8171,8127,7954,8305,8119,8319,8350,8336,8307,8416,8462,8412,8487,8334,8022,8373,8311,8407,8407,8405,8359,8652,8311,8212,8247,8434,8342,8269,8477,8386,8257,8397,8382,8359,7937,8157,8155,8039
"58","50","    Miscellaneous nondurable goods wholesalers","KP42290",15107,15851,16085,15355,15869,15278,14734,14748,15115,14833,14653,14961,15223,15096,15588,16193,16425,15475,15527,15330,16022,15683,16526,16351,15010,15279,15165,15320,15486,16249,15857,15957,15455,16120,16455,16413,17066,16213,16972,16783,16568,17084,16262,15940,16627,16317,16296,16678,16052,15992,15656,15132,15316,15344,15921,15970,16248,15788,15048,14990,14981,14861,14497,14364,14538,14539,15036,15121,14821,14734,15060,14817,15147,15230,14701,14623,13704,14250,14537,14687,14560,14966,14998,15494,15247,15489,15939,15881,15624,15994,16031,16854,16470,16157,16461,17054,17063,17411,17012,16602,16521,16010,16108,16009,16211,16852,16306,16210,16946,16744,16014,16887,16348,16374,16521,16432,16441,15978,16369,16471,15880,15670,16453,16162,16705,17224,16160,15917,16321,16870,17346,16593,15938,15519,15607,15511,15464,15328,14767,14288,13931,13527,13566,13884,14758,15241,14631,14546,14610,14999,14904,14411,14345,14320,14286,14484,14752
"59","51","Retail trade industries","KP440",223661,225295,226244,224474,223199,226791,229651,230487,230354,230175,232220,232647,233720,234533,237059,239912,241280,242865,240808,239591,242753,246510,248618,250900,251792,254917,255964,254812,258047,257972,259074,261340,261535,261854,265015,269498,267421,270189,270693,267457,267746,268037,267573,269153,271884,271392,269659,269914,271703,271756,270074,273989,273549,271982,272739,275011,269357,290345,284113,281716,281621,283473,280942,283336,279859,282547,285666,287588,282801,283768,285953,288508,289318,283193,288002,289823,292975,296334,298539,301863,298869,298898,302910,301550,301713,302852,308002,304166,307875,302854,307000,307742,312370,312247,312498,316288,315375,316978,315977,319172,317297,324867,327292,319886,314907,316969,323277,323694,331600,329171,330254,330599,327938,328121,329558,328424,329258,333126,334998,337524,336501,336777,338158,335403,339104,335103,336452,337901,340407,340979,343147,338939,337796,334738,335345,336195,335503,331381,327228,326045,320241,313351,315342,310085,314162,313182,309984,309015,310350,309322,309832,316554,309055,312798,318487,317383,316340
"60","52","  Motor vehicle and parts dealers","KP4410",57050,57528,57160,56695,55073,57016,58189,58883,58317,57642,58761,59086,58797,58222,59676,61057,61997,62884,59808,58594,60549,62836,63196,63690,64087,64778,64970,65485,67007,66520,67725,68832,68126,67773,69107,69076,71299,72381,71525,69162,68416,69035,68404,68249,70118,69162,67307,66067,68124,68558,68055,69286,68983,68919,67942,68478,66771,83101,74653,70599,69846,70874,69211,70793,67446,69872,72582,74819,70234,69570,70345,72309,72920,69705,71856,72834,73103,73898,74659,77094,75180,74475,76493,74826,73938,75386,76444,73855,76753,72421,75413,75644,78753,77958,76843,78828,76386,76830,76271,77474,75535,80435,84817,75960,72503,70416,74850,75402,78772,75545,76262,76430,74744,75245,77250,75583,75641,76916,77504,78401,76978,77447,77373,77099,77848,75682,75962,77570,78845,79696,77876,76612,75746,74397,74002,72223,71055,68358,66023,67566,64058,60635,59972,59055,60596,58719,57322,57254,57843,58460,59590,65386,55896,59658,60424,59973,58980
"61","53","  Furniture, furnishings, electronics, and appliance stores","KP44230",8253,8443,8456,8646,8611,8678,8812,8940,8971,8982,9143,9207,9344,9405,9364,9335,9412,9622,9695,9847,9811,9890,10141,10218,10120,10323,10495,10473,10704,10867,10918,11143,11403,11411,11392,11597,11816,11969,11974,12171,12049,11947,12015,12157,12202,12175,12065,11751,12296,12168,12208,12161,12266,12448,12587,12679,12421,12722,13134,13441,13358,13588,13620,13588,13701,13650,13550,13649,13767,13819,14012,14190,13975,13659,14095,14263,14785,14978,15183,15469,15661,15796,16040,16237,16120,16255,16609,16671,16682,16988,17410,17333,17412,17605,17681,18015,17978,18426,18326,18449,18402,18846,18864,19187,19550,19772,19735,19644,20686,20358,20491,20497,20534,20911,20872,20988,21469,21176,21528,21944,22201,21896,21910,21915,21978,21779,22145,22512,22644,22723,23334,22899,22786,22504,22552,22866,23203,22809,22805,22358,22018,21770,22041,21239,22085,22276,21072,20957,20852,20981,21159,21433,21869,21874,22381,22386,22636
"62","54","  Building material and garden equipment and supplies dealers","KP4440",16617,16902,17099,16963,16983,17183,17274,17347,17591,17738,17672,17805,17977,18070,18176,18451,18670,18719,18846,18769,19188,19610,19779,20148,20085,20326,20063,20090,20128,20024,19961,20184,20206,20848,21193,21270,21578,21303,22314,21026,21236,21187,21307,21525,21498,21573,21421,22231,22100,22598,22361,23144,22873,22557,22658,22491,22141,22840,22916,22845,23407,23600,23144,23976,23736,23750,23683,23719,23882,23840,24209,23578,24587,23135,24479,24287,24518,25383,25685,25853,25542,25914,25867,25791,25497,25261,27512,26760,26398,26835,26746,26631,26982,27084,27574,28234,28293,27813,28078,28820,28674,28652,28519,28683,29037,29462,29980,29593,31539,31452,31504,30861,29696,29478,29441,29708,29191,29734,29509,29931,29839,29569,30073,28921,29903,29062,28970,28953,28925,28568,29587,28664,28621,28583,28081,28406,28073,28217,28019,27262,26977,26757,26279,25816,25867,25875,25778,25397,25479,25347,24883,24572,24644,24324,24837,24819,24485
"63","55","  Food and beverage stores","KP4450",42258,42022,42257,42060,42027,42041,42199,42281,42277,42269,42255,42149,41956,41966,42185,42030,42119,42298,42275,42251,42382,42257,42400,42648,42325,42669,42628,42812,42899,42663,42752,42809,43018,42663,42779,44283,42069,42409,42729,43141,42668,43066,42735,42705,42654,42943,42843,43161,42877,42949,42888,43039,43128,43015,42964,43098,43138,43170,43191,43556,42959,42915,42901,41963,42433,42394,42486,42298,42201,42419,42705,42563,43002,42777,42707,42838,42361,42736,43044,42975,42883,42791,42607,42418,43265,42792,43210,43071,42934,42986,42905,43090,43507,43286,43404,43556,43906,43957,43998,43795,43861,43988,43889,44166,44319,44359,44280,44344,44148,44619,44358,44575,44903,44805,44795,45033,44574,45610,45359,45645,45542,45572,45240,45121,45288,45189,45469,45091,45360,45589,45716,45864,45632,45512,45740,45733,45387,45535,45114,45195,44860,44669,44741,43659,44320,44087,44243,44219,44553,44464,44494,44665,45023,44884,45335,44862,45142
"64","56","  Clothing and clothing accessories stores","KP4480",10704,10716,10789,10427,10552,10755,10888,11119,11107,11148,11223,11388,11484,11595,11650,11873,11732,11909,11981,11765,11642,12012,12115,12225,12458,12520,12736,12705,12906,12918,12865,12967,12915,13002,13049,13116,12921,13221,13509,13484,13756,13624,13537,13873,14162,13946,13979,13815,13740,13800,13475,13880,13811,13616,13772,14030,13257,13877,13950,14175,14302,14459,14473,14476,14351,14549,14467,14533,14225,14956,14815,15137,15052,14640,15112,15113,15397,15594,15780,15764,15893,15773,16062,16345,16358,16521,16836,16361,16481,16279,16413,16522,16714,16971,16914,17121,17134,17680,17240,17799,17567,17944,17635,17837,17530,18384,18281,18436,18565,18692,18591,18674,18472,18562,18778,18554,19269,19186,18878,19409,19467,19086,19707,19226,19603,19350,19499,19495,19661,19586,19690,19295,19450,19193,19643,19528,19513,19404,19239,19191,18463,18250,18255,17547,18347,18714,18158,18034,18163,17795,17861,18171,18280,18309,18220,18027,18355
"65","57","  General merchandise stores","KP4520",28343,28389,28484,28165,28354,28426,29055,29242,29045,29378,29375,29259,29750,30065,30122,30462,30413,30644,30444,30461,31035,31127,31477,31537,32102,32529,33034,32449,32684,33078,33049,33273,33537,33488,33705,34543,33787,34106,34487,34315,34873,34864,34983,35241,35560,35646,35738,36093,36938,35732,35339,36488,36529,36320,36884,37096,37023,37417,37897,38432,38146,38270,38420,38652,38423,38846,38608,38668,38631,39503,39441,39574,39672,40065,40520,40403,40856,41128,41670,42300,42291,41912,42200,42456,42861,42834,43373,42872,43497,42909,43456,43618,43878,44283,44385,44974,44867,45486,45301,45900,45646,46522,46333,46569,46731,47728,47582,47380,48223,48451,48089,48848,48297,48355,48463,48648,49406,49450,49474,50426,51025,50179,51256,50501,50604,50638,51045,51440,51469,51579,51881,52327,51965,52111,52350,52521,53098,53222,52711,52266,51783,51622,52427,51511,52143,52499,52047,51667,51395,51327,51471,52071,52534,53100,53697,53276,53925
"66","58","    Department stores","KP45210",17836,17889,17990,17695,17809,17885,18169,18371,18186,18366,18402,18242,18300,18517,18427,18520,18514,18494,18344,18274,18547,18589,18681,18807,18985,19296,19481,19041,19041,19195,19165,19146,19282,19188,19153,19229,19221,19174,19200,19216,19500,19251,19143,19255,19405,19341,19522,19720,19871,19057,18538,19068,19095,18928,19171,19182,18925,19047,19252,19193,19086,18974,19061,19062,18712,18826,18596,18531,18390,18933,18470,18436,18421,18339,18500,18425,18733,18750,18966,19049,19059,18739,18643,18714,18710,18732,19007,18589,18715,18484,18759,18838,18878,18941,18886,19189,18967,19164,18891,19156,18826,19309,18980,18967,18677,19253,19298,19067,19344,19327,19092,19230,18960,18999,18819,18813,19102,19025,19027,19187,19488,18999,19226,18914,19010,18741,18954,19054,18950,18940,18971,18844,18580,18573,18500,18491,18550,18617,18430,18033,17710,17598,18216,17585,17428,17482,17388,17250,17029,16918,16865,17098,17140,17298,17475,17443,17468
"67","59","    Other general merchandise stores","KP45290",10095,10083,10071,10064,10138,10128,10479,10451,10450,10601,10559,10614,11073,11164,11327,11584,11539,11806,11763,11858,12162,12212,12481,12404,12803,12909,13236,13106,13354,13598,13600,13856,13984,14036,14302,15096,14313,14697,15068,14870,15142,15403,15644,15790,15959,16117,16017,16173,16886,16513,16663,17281,17296,17257,17580,17786,17984,18259,18535,19146,18966,19211,19273,19510,19642,19954,19953,20082,20191,20513,20932,21102,21218,21701,21996,21954,22095,22353,22679,23231,23212,23156,23546,23731,24143,24093,24356,24277,24778,24421,24693,24774,24996,25338,25496,25781,25898,26320,26410,26744,26821,27214,27354,27603,28053,28476,28285,28314,28879,29123,28995,29615,29333,29352,29639,29829,30298,30416,30439,31229,31526,31166,32013,31570,31577,31872,32069,32361,32491,32609,32876,33439,33337,33488,33792,33969,34478,34537,34213,34153,33985,33933,34139,33835,34602,34899,34546,34303,34245,34283,34474,34842,35256,35661,36078,35695,36308
"68","60","  Other retail stores","KP44X0",62764,63563,64383,63811,63935,65028,65439,64600,65055,64997,65738,65599,66204,67079,67841,68643,68875,68482,69760,69963,70131,70591,71250,72274,72365,73562,73666,72266,73092,73188,73013,73198,73360,73731,74956,77000,74844,75651,74938,74985,75605,75197,75477,76271,76452,76818,77282,78030,76426,76909,76744,76883,76824,75875,76737,77963,75310,77333,78849,79260,80427,80470,79842,80558,80580,80099,80902,80319,80501,80175,80978,81586,80539,79649,79567,80400,82289,82953,82759,82512,81463,82364,83789,83593,83803,83911,84054,84707,85252,84536,84712,84970,85173,85080,85724,85560,86850,86783,86766,86916,87631,88468,87207,87467,85279,86848,88557,88883,89699,90070,90962,90735,91274,90788,90025,89974,89817,91109,92791,91863,91565,93073,92689,92680,93924,93407,93419,93006,93676,93444,95255,93494,93760,92619,93125,94916,95209,93832,93243,92201,91795,89316,91242,90891,90500,90771,90877,90967,91485,90408,89886,89886,90378,90292,93233,93694,92585
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2005) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2005 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
