"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"96","78","  Nonprofit institution current transfer payments","W419RC1","23,153.0","26,237.0","28,567.0","28,671.0","33,488.0","36,717.0","43,655.0","48,765.0","51,652.0","58,716.0","61,902.0","65,594.0","69,777.0","77,077.0","80,119.0","87,279.0","92,165.0","94,377.0","103,799.0","106,037.0","109,092.0"
"97","79","    To government \6\","W420RC1","187.0","203.0","188.0","279.0","369.0","502.0","523.0","730.0","625.0","305.0","234.0","328.0","469.0","624.0","796.0","890.0","289.0","221.0","412.0","419.0","434.0"
"98","80","    To the rest of the world (net)","W421RC1","1,746.0","2,241.0","2,407.0","2,542.0","3,076.0","3,952.0","5,921.0","6,511.0","6,909.0","7,211.0","7,461.0","8,051.0","7,807.0","9,798.0","9,748.0","12,962.0","17,860.0","19,712.0","24,963.0","24,777.0","23,857.0"
"99","81","    To households \2\","W386RC1","21,220.0","23,793.0","25,972.0","25,850.0","30,043.0","32,263.0","37,211.0","41,524.0","44,118.0","51,200.0","54,208.0","57,215.0","61,501.0","66,655.0","69,575.0","73,427.0","74,016.0","74,444.0","78,424.0","80,841.0","84,801.0"
"100","82","Equals: Nonprofit institution saving","W422RC1","22,261.0","18,673.0","16,155.0","15,969.0","22,823.0","46,280.0","31,320.0","38,842.0","44,345.0","9,874.0","-12,832.0","-23,427.0","-2,662.0","14,835.0","-9,902.0","-12,477.0","-66,658.0","-94,344.0","-79,753.0","-82,868.0","-81,403.0"
"101","83","    Nonprofit institution saving as a percentage of nonprofit income and receipts from sales","W423RC1","5.0","4.0","3.3","3.2","4.2","7.9","5.1","5.9","6.2","1.3","-1.6","-2.9","-0.3","1.5","-1.0","-1.2","-6.3","-8.8","-7.1","-7.1","-6.7"
"102",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","84","  Nonprofit institution income included in personal income \7\","W424RC1","47,393.0","47,898.0","51,061.0","55,409.0","57,526.0","62,534.0","60,297.0","67,460.0","73,240.0","70,216.0","64,717.0","62,366.0","65,183.0","74,122.0","77,668.0","79,231.0","69,178.0","71,631.0","73,529.0","76,064.0","77,613.0"
"104","85","  Transfer payments between nonprofit institutions \8\","W426RC1","25,439.0","26,898.0","26,315.0","27,970.0","32,466.0","34,436.0","42,169.0","47,494.0","55,075.0","59,263.0","60,290.0","62,597.0","63,892.0","68,833.0","78,516.0","90,305.0","92,437.0","83,748.0","89,664.0","92,427.0","96,955.0"
"105","86","  Nonprofit institution income and receipts from sales","W442RC1","441,804.0","463,657.0","484,799.0","503,184.0","539,446.0","585,621.0","617,496.0","663,926.0","717,637.0","745,031.0","786,130.0","816,810.0","886,109.0","960,368.0","1,002,443.0","1,057,943.0","1,066,418.0","1,072,597.0","1,129,939.0","1,164,760.0","1,221,815.0"
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2. Includes benefits paid to members, specific assistance to individuals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","and grants and allocations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","4. Includes individual contributions and bequests from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","5. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","government, and the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","6. Consists of excise taxes paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","7. Consists of rental income of nonprofit institutions (line 48), income receipts on assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","(line 49), transfer receipts from government (line 53), and transfer receipts from business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","(line 54).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","8. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","households through the support of other nonprofit institutions, plus their payments to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Note. Estimates in this table exclude nonprofit institutions serving business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
