"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"43","23","Plus: Personal income receipts on assets","W210RC1","93,683.0","96,920.0","100,243.0","103,899.0","107,424.0","110,846.0","115,011.0","117,318.0","120,034.0","121,399.0","123,306.0","124,620.0","128,090.0","131,035.0","135,027.0","139,042.0","142,336.0","146,867.0","153,792.0","159,557.0","165,350.0","172,385.0","178,581.0","185,157.0","190,842.0","192,936.0","196,815.0","200,544.0","204,156.0","209,997.0","215,023.0","221,289.0","226,291.0","238,451.0","249,331.0","259,615.0","266,868.0","273,683.0","281,279.0","290,091.0","300,235.0","310,310.0","321,681.0","341,150.0","367,744.0","380,537.0","385,602.0","410,078.0","429,443.0","457,358.0","495,152.0","509,483.0","526,780.0","542,865.0","545,491.0","549,926.0","560,813.0","569,992.0","593,313.0","613,040.0","628,610.0","654,997.0","683,347.0","693,438.0","703,915.0","710,137.0","710,938.0","726,253.0","749,464.0","757,358.0","757,618.0","756,939.0","759,241.0","769,358.0","785,824.0","804,987.0","812,636.0","821,912.0","847,863.0","875,062.0","921,565.0","949,159.0","963,216.0","973,851.0","986,398.0","989,521.0","995,721.0","993,113.0","986,308.0","985,734.0","987,806.0","982,021.0","979,532.0","984,418.0","980,954.0","983,689.0","991,011.0","988,780.0","986,683.0","987,938.0","994,073.0","1,016,080.0","1,038,121.0","1,069,334.0","1,092,552.0","1,108,054.0","1,120,380.0","1,135,127.0","1,145,018.0","1,164,497.0","1,186,744.0","1,209,613.0","1,227,255.0","1,248,037.0","1,267,414.0","1,291,107.0","1,324,430.0","1,350,677.0","1,357,317.0","1,337,767.0","1,310,445.0","1,316,180.0","1,329,289.0","1,362,761.0","1,417,007.0","1,450,143.0","1,472,404.0","1,474,493.0","1,463,672.0","1,451,855.0","1,434,744.0","1,414,993.0","1,392,042.0","1,390,411.0","1,383,694.0","1,395,549.0","1,407,508.0","1,411,299.0","1,421,084.0","1,442,058.0","1,451,666.0","1,468,205.0","1,484,626.0","1,610,464.0","1,577,627.0","1,641,863.0","1,684,217.0","1,762,101.0","1,847,628.0","1,917,518.0","1,969,009.0","2,019,450.0","2,069,177.0","2,168,866.0","2,213,427.0","2,215,124.0","2,228,015.0","2,185,712.0","2,174,939.0","2,079,550.0","1,949,298.0","1,833,816.0","1,752,974.0","1,711,036.0","1,710,663.0","1,722,836.0","1,738,025.0","1,787,044.0","1,850,383.0","1,883,400.0","1,899,255.0","1,905,364.0","1,909,143.0","1,935,330.0","1,926,903.0","2,062,789.0","1,935,817.0","1,993,961.0","2,030,719.0"
"44","24","Plus: Personal current transfer receipts","A577RC1","60,444.0","61,536.0","62,896.0","64,340.0","66,104.0","76,080.0","76,348.0","80,120.0","82,024.0","89,584.0","89,568.0","91,256.0","94,348.0","94,896.0","96,040.0","106,396.0","109,056.0","111,452.0","113,296.0","116,468.0","121,876.0","129,888.0","137,120.0","144,292.0","155,904.0","171,544.0","174,824.0","177,640.0","181,404.0","179,668.0","186,368.0","188,456.0","190,604.0","191,060.0","196,204.0","198,980.0","203,092.0","204,876.0","213,640.0","216,944.0","222,476.0","227,140.0","242,744.0","248,888.0","258,748.0","263,896.0","295,908.0","299,332.0","305,860.0","309,320.0","327,856.0","330,440.0","335,664.0","344,896.0","361,512.0","377,256.0","380,180.0","386,356.0","381,936.0","386,492.0","393,388.0","397,760.0","400,496.0","408,884.0","419,568.0","422,148.0","427,464.0","430,412.0","442,648.0","448,485.0","455,488.0","457,244.0","462,606.0","467,564.0","468,649.0","471,628.0","488,928.0","492,526.0","498,610.0","505,771.0","529,807.0","537,163.0","546,237.0","557,200.0","577,532.0","588,503.0","598,044.0","615,549.0","639,362.0","659,124.0","668,502.0","696,478.0","724,729.0","743,320.0","755,327.0","759,688.0","779,400.0","783,821.0","797,727.0","802,120.0","815,576.0","820,288.0","824,309.0","845,405.0","869,445.0","878,953.0","885,880.0","881,509.0","910,910.0","931,258.0","926,658.0","927,479.0","944,560.0","944,327.0","950,505.0","957,393.0","968,692.0","975,075.0","978,514.0","989,387.0","1,009,962.0","1,013,246.0","1,026,335.0","1,036,795.0","1,052,429.0","1,079,426.0","1,093,717.0","1,106,478.0","1,151,154.0","1,182,902.0","1,187,708.0","1,230,663.0","1,255,587.0","1,277,315.0","1,287,217.0","1,301,270.0","1,319,205.0","1,335,972.0","1,357,168.0","1,359,101.0","1,394,042.0","1,411,659.0","1,419,915.0","1,441,122.0","1,484,529.0","1,508,273.0","1,522,738.0","1,532,488.0","1,584,443.0","1,599,524.0","1,624,153.0","1,630,458.0","1,701,393.0","1,703,077.0","1,727,555.0","1,759,067.0","1,797,710.0","1,940,040.0","1,879,892.0","1,918,244.0","2,032,520.0","2,170,287.0","2,170,954.0","2,187,065.0","2,253,314.0","2,260,861.0","2,288,383.0","2,305,078.0","2,309,603.0","2,309,013.0","2,300,546.0","2,308,523.0","2,328,500.0","2,352,184.0","2,364,405.0","2,387,971.0","2,426,015.0","2,430,919.0","2,457,969.0"
"45","25","Equals: Personal income","A065RC1","771,323.0","790,426.0","811,989.0","827,298.0","841,762.0","859,643.0","874,036.0","882,948.0","902,962.0","926,385.0","940,504.0","958,692.0","985,963.0","1,003,459.0","1,029,201.0","1,075,679.0","1,093,301.0","1,122,589.0","1,150,048.0","1,188,172.0","1,204,389.0","1,230,371.0","1,266,611.0","1,296,044.0","1,315,921.0","1,347,545.0","1,384,085.0","1,420,029.0","1,452,596.0","1,477,029.0","1,513,457.0","1,549,263.0","1,579,602.0","1,627,926.0","1,674,669.0","1,734,651.0","1,774,620.0","1,833,687.0","1,887,075.0","1,942,484.0","1,999,109.0","2,039,605.0","2,105,115.0","2,167,964.0","2,230,144.0","2,256,131.0","2,336,551.0","2,444,399.0","2,503,295.0","2,550,814.0","2,647,136.0","2,682,309.0","2,714,475.0","2,757,934.0","2,799,129.0","2,843,875.0","2,881,250.0","2,931,388.0","2,990,504.0","3,075,753.0","3,166,929.0","3,250,662.0","3,326,526.0","3,381,070.0","3,445,947.0","3,486,094.0","3,533,291.0","3,598,111.0","3,657,889.0","3,700,070.0","3,750,045.0","3,792,395.0","3,850,611.0","3,910,622.0","3,982,168.0","4,077,944.0","4,152,770.0","4,226,765.0","4,317,943.0","4,403,891.0","4,531,058.0","4,585,993.0","4,641,390.0","4,714,501.0","4,811,270.0","4,886,974.0","4,948,679.0","4,970,928.0","4,981,520.0","5,040,703.0","5,091,402.0","5,170,812.0","5,287,898.0","5,386,842.0","5,447,320.0","5,521,074.0","5,555,410.0","5,624,263.0","5,664,643.0","5,742,742.0","5,794,179.0","5,901,493.0","5,967,340.0","6,075,858.0","6,170,273.0","6,235,733.0","6,312,531.0","6,387,326.0","6,503,788.0","6,634,228.0","6,709,518.0","6,800,059.0","6,924,179.0","7,004,791.0","7,118,105.0","7,252,930.0","7,414,552.0","7,542,078.0","7,649,369.0","7,744,789.0","7,833,546.0","7,903,683.0","8,010,889.0","8,187,158.0","8,440,969.0","8,570,986.0","8,720,599.0","8,798,474.0","8,956,687.0","8,993,439.0","8,986,228.0","9,012,044.0","9,053,393.0","9,135,532.0","9,169,606.0","9,239,564.0","9,296,916.0","9,420,823.0","9,546,760.0","9,685,797.0","9,803,713.0","9,967,746.0","10,106,783.0","10,318,562.0","10,355,311.0","10,514,819.0","10,694,306.0","10,876,639.0","11,206,415.0","11,326,170.0","11,435,997.0","11,590,780.0","11,816,159.0","11,944,268.0","12,042,869.0","12,179,670.0","12,361,720.0","12,512,523.0","12,474,159.0","12,373,863.0","12,038,546.0","12,098,710.0","12,056,672.0","12,134,445.0","12,194,329.0","12,374,336.0","12,502,087.0","12,670,010.0","13,029,912.0","13,148,508.0","13,283,603.0","13,303,237.0","13,548,572.0","13,651,838.0","13,701,550.0","14,073,121.0","13,925,920.0","14,086,196.0","14,226,159.0"
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","26","  Gross domestic income","A261RC1","989,849.0","1,009,426.0","1,031,186.0","1,042,612.0","1,049,816.0","1,064,391.0","1,081,973.0","1,085,965.0","1,124,544.0","1,146,843.0","1,168,515.0","1,193,239.0","1,229,187.0","1,252,557.0","1,284,886.0","1,334,631.0","1,374,259.0","1,402,855.0","1,434,376.0","1,478,278.0","1,494,724.0","1,524,136.0","1,560,019.0","1,586,830.0","1,604,274.0","1,642,094.0","1,705,102.0","1,751,289.0","1,806,322.0","1,836,090.0","1,873,548.0","1,912,555.0","1,960,983.0","2,039,308.0","2,104,092.0","2,162,401.0","2,208,176.0","2,315,265.0","2,369,410.0","2,440,819.0","2,507,654.0","2,554,592.0","2,611,966.0","2,675,204.0","2,732,785.0","2,740,675.0","2,824,435.0","2,976,411.0","3,074,534.0","3,132,456.0","3,233,318.0","3,256,654.0","3,275,494.0","3,328,217.0","3,362,970.0","3,386,260.0","3,451,680.0","3,534,177.0","3,620,048.0","3,730,009.0","3,874,318.0","3,970,031.0","4,046,270.0","4,117,630.0","4,201,820.0","4,258,648.0","4,335,843.0","4,385,614.0","4,451,878.0","4,481,534.0","4,529,526.0","4,590,703.0","4,670,621.0","4,776,541.0","4,883,208.0","4,988,272.0","5,088,251.0","5,197,311.0","5,305,278.0","5,421,561.0","5,517,202.0","5,563,303.0","5,625,041.0","5,668,522.0","5,790,947.0","5,883,925.0","5,930,862.0","5,947,206.0","5,998,662.0","6,055,565.0","6,116,196.0","6,172,223.0","6,307,059.0","6,399,120.0","6,450,039.0","6,557,367.0","6,567,654.0","6,688,954.0","6,740,767.0","6,908,165.0","6,979,068.0","7,124,379.0","7,230,427.0","7,353,881.0","7,430,915.0","7,506,751.0","7,634,931.0","7,721,404.0","7,847,667.0","7,995,993.0","8,094,138.0","8,236,720.0","8,382,733.0","8,504,449.0","8,677,560.0","8,820,143.0","8,928,914.0","9,075,842.0","9,239,152.0","9,353,397.0","9,516,676.0","9,607,814.0","9,731,793.0","9,936,236.0","10,216,595.0","10,331,418.0","10,475,701.0","10,513,287.0","10,701,802.0","10,757,808.0","10,754,640.0","10,732,975.0","10,906,585.0","11,014,435.0","11,077,913.0","11,202,222.0","11,289,079.0","11,430,674.0","11,604,030.0","11,773,426.0","11,966,630.0","12,195,788.0","12,410,728.0","12,560,890.0","12,800,770.0","12,986,117.0","13,222,995.0","13,506,934.0","13,870,993.0","14,003,732.0","14,157,218.0","14,260,718.0","14,384,602.0","14,485,835.0","14,456,401.0","14,513,723.0","14,621,924.0","14,683,244.0","14,722,067.0","14,457,758.0","14,269,691.0","14,243,700.0","14,310,137.0","14,559,272.0","14,627,415.0","14,793,735.0","15,050,501.0","15,188,980.0","15,326,241.0","15,513,595.0","15,694,876.0","15,815,261.0","16,104,551.0","16,150,303.0","16,269,602.0","16,522,044.0","16,690,909.0","16,847,771.0","17,005,574.0"
"48","27","  Gross national income","A023RC1","996,183.0","1,015,587.0","1,037,134.0","1,048,629.0","1,056,103.0","1,071,028.0","1,088,557.0","1,092,029.0","1,131,958.0","1,154,818.0","1,175,775.0","1,200,967.0","1,237,362.0","1,260,673.0","1,293,805.0","1,343,654.0","1,384,929.0","1,414,481.0","1,448,253.0","1,492,580.0","1,511,791.0","1,540,533.0","1,575,296.0","1,600,169.0","1,615,670.0","1,653,750.0","1,718,100.0","1,767,255.0","1,822,068.0","1,852,735.0","1,890,667.0","1,930,432.0","1,981,748.0","2,060,057.0","2,124,977.0","2,181,170.0","2,230,269.0","2,334,014.0","2,390,300.0","2,465,410.0","2,533,334.0","2,584,043.0","2,648,060.0","2,711,702.0","2,770,774.0","2,776,486.0","2,858,849.0","3,004,937.0","3,105,937.0","3,162,469.0","3,266,012.0","3,294,283.0","3,311,486.0","3,369,145.0","3,397,997.0","3,420,353.0","3,485,731.0","3,570,918.0","3,657,915.0","3,769,689.0","3,911,358.0","4,007,570.0","4,083,626.0","4,150,854.0","4,227,511.0","4,286,317.0","4,358,337.0","4,411,218.0","4,474,037.0","4,497,028.0","4,547,704.0","4,602,699.0","4,684,989.0","4,794,674.0","4,900,973.0","5,007,956.0","5,113,240.0","5,220,127.0","5,325,440.0","5,444,224.0","5,539,598.0","5,584,969.0","5,649,337.0","5,699,321.0","5,820,466.0","5,915,549.0","5,957,999.0","5,997,693.0","6,038,119.0","6,084,123.0","6,141,306.0","6,205,444.0","6,339,792.0","6,431,176.0","6,479,249.0","6,587,676.0","6,605,667.0","6,720,434.0","6,777,781.0","6,929,649.0","7,007,329.0","7,148,153.0","7,252,617.0","7,375,116.0","7,461,565.0","7,540,178.0","7,654,569.0","7,752,719.0","7,885,828.0","8,025,921.0","8,120,885.0","8,269,012.0","8,406,673.0","8,535,919.0","8,701,417.0","8,837,284.0","8,955,092.0","9,099,169.0","9,249,541.0","9,366,441.0","9,538,763.0","9,635,200.0","9,756,331.0","9,970,752.0","10,247,369.0","10,365,240.0","10,504,989.0","10,567,431.0","10,742,305.0","10,807,518.0","10,781,467.0","10,823,150.0","10,957,772.0","11,046,980.0","11,124,743.0","11,266,055.0","11,340,102.0","11,495,489.0","11,668,942.0","11,864,856.0","12,076,514.0","12,280,652.0","12,506,337.0","12,630,881.0","12,904,630.0","13,078,856.0","13,326,300.0","13,581,143.0","13,947,318.0","14,074,990.0","14,215,144.0","14,328,994.0","14,454,117.0","14,577,562.0","14,605,294.0","14,709,431.0","14,803,652.0","14,868,526.0","14,925,024.0","14,579,602.0","14,392,222.0","14,363,308.0","14,476,651.0","14,739,336.0","14,830,855.0","14,998,913.0","15,250,236.0","15,404,501.0","15,574,579.0","15,763,806.0","15,967,083.0","16,087,572.0","16,352,581.0","16,409,044.0","16,517,220.0","16,779,054.0","16,928,318.0","17,094,608.0","17,268,515.0"
"49","28","  Gross national factor income \2\","X023RC1","915,205.0","932,327.0","951,780.0","961,722.0","968,433.0","982,144.0","997,836.0","1,000,128.0","1,036,881.0","1,058,004.0","1,076,214.0","1,099,311.0","1,135,954.0","1,156,651.0","1,188,368.0","1,234,860.0","1,272,294.0","1,300,115.0","1,331,349.0","1,374,381.0","1,390,947.0","1,414,921.0","1,447,130.0","1,471,990.0","1,486,665.0","1,520,075.0","1,579,758.0","1,626,360.0","1,678,715.0","1,706,059.0","1,741,626.0","1,778,729.0","1,827,527.0","1,903,144.0","1,965,436.0","2,022,601.0","2,066,331.0","2,162,473.0","2,220,007.0","2,293,227.0","2,355,744.0","2,404,566.0","2,465,449.0","2,526,940.0","2,581,428.0","2,580,590.0","2,656,010.0","2,795,114.0","2,875,859.0","2,925,719.0","3,027,639.0","3,055,834.0","3,073,264.0","3,129,056.0","3,153,611.0","3,177,300.0","3,237,653.0","3,312,848.0","3,392,879.0","3,495,490.0","3,626,372.0","3,713,782.0","3,783,485.0","3,843,808.0","3,915,152.0","3,961,920.0","4,033,189.0","4,084,562.0","4,135,708.0","4,165,273.0","4,211,798.0","4,263,079.0","4,340,759.0","4,444,148.0","4,545,425.0","4,647,367.0","4,745,713.0","4,839,783.0","4,937,831.0","5,048,676.0","5,132,679.0","5,170,598.0","5,226,835.0","5,277,603.0","5,384,206.0","5,480,773.0","5,516,338.0","5,548,752.0","5,575,698.0","5,613,110.0","5,660,945.0","5,713,918.0","5,844,087.0","5,930,779.0","5,974,129.0","6,077,157.0","6,102,013.0","6,209,416.0","6,260,732.0","6,394,954.0","6,456,115.0","6,584,543.0","6,681,387.0","6,800,099.0","6,881,368.0","6,960,784.0","7,069,152.0","7,163,031.0","7,287,275.0","7,418,785.0","7,508,367.0","7,626,983.0","7,781,138.0","7,893,892.0","8,047,485.0","8,177,499.0","8,284,438.0","8,421,574.0","8,564,151.0","8,666,298.0","8,841,158.0","8,930,117.0","9,039,740.0","9,240,586.0","9,500,584.0","9,607,336.0","9,742,896.0","9,799,178.0","9,969,213.0","10,041,008.0","10,018,335.0","10,032,782.0","10,163,350.0","10,243,998.0","10,307,002.0","10,445,732.0","10,512,681.0","10,671,012.0","10,822,179.0","11,007,141.0","11,199,936.0","11,390,298.0","11,607,077.0","11,708,647.0","11,963,169.0","12,118,386.0","12,358,131.0","12,606,721.0","12,952,488.0","13,067,267.0","13,194,571.0","13,297,094.0","13,395,841.0","13,520,713.0","13,538,429.0","13,643,038.0","13,725,014.0","13,783,066.0","13,839,154.0","13,491,220.0","13,324,286.0","13,283,525.0","13,415,368.0","13,651,017.0","13,735,373.0","13,896,284.0","14,135,744.0","14,289,795.0","14,429,259.0","14,621,347.0","14,827,112.0","14,943,271.0","15,194,748.0","15,260,591.0","15,380,410.0","15,642,764.0","15,759,230.0","15,927,866.0","16,099,919.0"
"50","29","  Net domestic product","A362RC1","874,962.0","887,899.0","905,728.0","911,496.0","921,346.0","934,897.0","950,168.0","950,019.0","993,243.0","1,011,827.0","1,030,000.0","1,040,533.0","1,077,680.0","1,111,100.0","1,131,449.0","1,165,974.0","1,210,438.0","1,242,518.0","1,256,383.0","1,292,500.0","1,301,028.0","1,332,614.0","1,353,049.0","1,383,914.0","1,391,873.0","1,421,485.0","1,472,717.0","1,519,458.0","1,573,738.0","1,601,139.0","1,628,781.0","1,669,869.0","1,716,358.0","1,776,064.0","1,830,201.0","1,867,845.0","1,898,763.0","2,016,877.0","2,068,883.0","2,141,500.0","2,179,362.0","2,231,434.0","2,293,051.0","2,340,187.0","2,392,307.0","2,381,470.0","2,426,858.0","2,545,361.0","2,668,473.0","2,688,985.0","2,768,801.0","2,777,322.0","2,754,251.0","2,800,208.0","2,827,073.0","2,861,151.0","2,929,007.0","3,027,232.0","3,128,870.0","3,225,227.0","3,332,751.0","3,425,741.0","3,488,396.0","3,538,501.0","3,616,925.0","3,671,400.0","3,752,419.0","3,799,582.0","3,851,381.0","3,878,637.0","3,931,796.0","3,970,103.0","4,026,405.0","4,100,220.0","4,166,800.0","4,275,592.0","4,329,018.0","4,432,066.0","4,510,109.0","4,609,722.0","4,710,929.0","4,798,680.0","4,868,748.0","4,907,912.0","5,022,569.0","5,093,893.0","5,136,211.0","5,118,261.0","5,137,610.0","5,215,822.0","5,281,801.0","5,336,370.0","5,433,344.0","5,537,691.0","5,623,506.0","5,723,651.0","5,762,372.0","5,831,824.0","5,894,896.0","6,011,243.0","6,103,062.0","6,223,052.0","6,289,794.0","6,396,707.0","6,445,744.0","6,488,815.0","6,575,240.0","6,655,182.0","6,737,100.0","6,893,153.0","6,976,670.0","7,089,657.0","7,187,784.0","7,320,246.0","7,443,253.0","7,522,828.0","7,607,750.0","7,694,560.0","7,827,144.0","7,985,961.0","8,090,149.0","8,176,383.0","8,305,941.0","8,486,861.0","8,554,963.0","8,774,784.0","8,835,669.0","8,936,604.0","8,941,691.0","9,042,834.0","9,028,349.0","9,072,230.0","9,197,109.0","9,285,486.0","9,370,540.0","9,419,362.0","9,528,791.0","9,654,884.0","9,893,371.0","10,063,034.0","10,208,176.0","10,370,334.0","10,523,321.0","10,679,524.0","10,894,126.0","11,016,335.0","11,205,616.0","11,337,785.0","11,567,626.0","11,683,833.0","11,757,723.0","11,878,328.0","12,007,512.0","12,170,826.0","12,295,386.0","12,390,128.0","12,345,162.0","12,464,100.0","12,464,613.0","12,153,670.0","11,995,586.0","11,975,117.0","12,029,202.0","12,198,347.0","12,302,660.0","12,504,217.0","12,667,292.0","12,832,554.0","12,825,023.0","13,018,541.0","13,146,755.0","13,334,768.0","13,533,970.0","13,626,735.0","13,800,901.0","13,845,295.0","13,931,495.0","14,029,144.0","14,253,313.0"
"51","30","  Net domestic income","W256RC1","869,392.0","885,964.0","904,898.0","913,367.0","917,634.0","929,178.0","943,680.0","944,522.0","979,975.0","999,315.0","1,018,202.0","1,040,187.0","1,073,060.0","1,093,535.0","1,122,498.0","1,168,582.0","1,204,017.0","1,227,778.0","1,253,946.0","1,291,709.0","1,301,098.0","1,322,530.0","1,349,672.0","1,367,740.0","1,376,594.0","1,407,131.0","1,464,007.0","1,504,880.0","1,555,551.0","1,580,285.0","1,611,829.0","1,644,011.0","1,684,807.0","1,755,207.0","1,811,906.0","1,861,530.0","1,898,251.0","1,995,579.0","2,039,427.0","2,100,160.0","2,155,460.0","2,190,116.0","2,234,628.0","2,284,685.0","2,328,569.0","2,322,207.0","2,391,250.0","2,528,247.0","2,611,215.0","2,654,196.0","2,740,922.0","2,750,447.0","2,755,943.0","2,797,150.0","2,822,977.0","2,839,608.0","2,900,372.0","2,977,571.0","3,056,668.0","3,159,120.0","3,294,303.0","3,380,781.0","3,447,297.0","3,508,532.0","3,581,744.0","3,627,760.0","3,693,708.0","3,732,100.0","3,786,925.0","3,804,936.0","3,841,708.0","3,891,420.0","3,960,805.0","4,055,312.0","4,149,511.0","4,241,206.0","4,326,668.0","4,421,684.0","4,515,916.0","4,618,585.0","4,700,796.0","4,733,571.0","4,782,251.0","4,813,009.0","4,922,703.0","5,003,174.0","5,037,590.0","5,042,158.0","5,081,426.0","5,127,799.0","5,179,597.0","5,229,323.0","5,359,630.0","5,444,539.0","5,487,024.0","5,583,493.0","5,581,871.0","5,691,213.0","5,731,470.0","5,886,593.0","5,945,899.0","6,077,613.0","6,167,995.0","6,273,958.0","6,331,394.0","6,390,673.0","6,503,672.0","6,577,127.0","6,691,654.0","6,827,648.0","6,911,801.0","7,039,336.0","7,168,493.0","7,272,791.0","7,429,094.0","7,554,689.0","7,646,967.0","7,775,700.0","7,919,809.0","8,013,745.0","8,156,479.0","8,222,731.0","8,319,019.0","8,490,845.0","8,735,424.0","8,822,500.0","8,947,561.0","8,974,557.0","9,130,992.0","9,159,083.0","9,138,687.0","9,102,548.0","9,266,417.0","9,361,923.0","9,408,637.0","9,515,903.0","9,587,115.0","9,714,185.0","9,869,025.0","10,018,003.0","10,183,375.0","10,382,618.0","10,564,647.0","10,676,600.0","10,878,745.0","11,026,787.0","11,222,067.0","11,461,392.0","11,788,780.0","11,884,662.0","12,004,466.0","12,070,677.0","12,157,163.0","12,232,169.0","12,179,931.0","12,213,897.0","12,294,180.0","12,330,242.0","12,342,368.0","12,064,709.0","11,884,054.0","11,876,750.0","11,954,971.0","12,193,500.0","12,257,587.0","12,418,789.0","12,668,038.0","12,789,852.0","12,908,359.0","13,070,201.0","13,229,792.0","13,331,330.0","13,596,940.0","13,616,597.0","13,714,468.0","13,947,037.0","14,087,083.0","14,215,895.0","14,345,951.0"
"52","31","  Net national factor income \3\","X032RC1","794,748.0","808,865.0","825,492.0","832,477.0","836,251.0","846,931.0","859,543.0","858,685.0","892,312.0","910,476.0","925,901.0","946,259.0","979,827.0","997,629.0","1,025,980.0","1,068,811.0","1,102,052.0","1,125,038.0","1,150,919.0","1,187,812.0","1,197,321.0","1,213,315.0","1,236,783.0","1,252,900.0","1,258,985.0","1,285,112.0","1,338,663.0","1,379,951.0","1,427,944.0","1,450,254.0","1,479,907.0","1,510,185.0","1,551,351.0","1,619,043.0","1,673,250.0","1,721,730.0","1,756,406.0","1,842,787.0","1,890,024.0","1,952,568.0","2,003,550.0","2,040,090.0","2,088,111.0","2,136,421.0","2,177,212.0","2,162,122.0","2,222,825.0","2,346,950.0","2,412,540.0","2,447,459.0","2,535,243.0","2,549,627.0","2,553,713.0","2,597,989.0","2,613,618.0","2,630,648.0","2,686,345.0","2,756,242.0","2,829,499.0","2,924,601.0","3,046,357.0","3,124,532.0","3,184,512.0","3,234,710.0","3,295,076.0","3,331,032.0","3,391,054.0","3,431,048.0","3,470,755.0","3,488,675.0","3,523,980.0","3,563,796.0","3,630,943.0","3,722,919.0","3,811,728.0","3,900,301.0","3,984,130.0","4,064,156.0","4,148,469.0","4,245,700.0","4,316,273.0","4,340,866.0","4,384,045.0","4,422,090.0","4,515,962.0","4,600,022.0","4,623,066.0","4,643,704.0","4,658,462.0","4,685,344.0","4,724,346.0","4,771,018.0","4,896,658.0","4,976,198.0","5,011,114.0","5,103,283.0","5,116,230.0","5,211,675.0","5,251,435.0","5,373,382.0","5,422,946.0","5,537,777.0","5,618,955.0","5,720,176.0","5,781,847.0","5,844,706.0","5,937,893.0","6,018,754.0","6,131,262.0","6,250,440.0","6,326,030.0","6,429,599.0","6,566,898.0","6,662,234.0","6,799,019.0","6,912,045.0","7,002,491.0","7,121,432.0","7,244,808.0","7,326,646.0","7,480,961.0","7,545,034.0","7,626,966.0","7,795,195.0","8,019,413.0","8,098,418.0","8,214,756.0","8,260,448.0","8,398,403.0","8,442,283.0","8,402,382.0","8,402,355.0","8,523,182.0","8,591,486.0","8,637,726.0","8,759,413.0","8,810,717.0","8,954,523.0","9,087,174.0","9,251,718.0","9,416,681.0","9,577,128.0","9,760,996.0","9,824,357.0","10,041,144.0","10,159,056.0","10,357,203.0","10,561,179.0","10,870,275.0","10,948,197.0","11,041,819.0","11,107,053.0","11,168,402.0","11,267,047.0","11,261,959.0","11,343,212.0","11,397,270.0","11,430,064.0","11,459,455.0","11,098,171.0","10,938,649.0","10,916,575.0","11,060,202.0","11,285,245.0","11,365,545.0","11,521,338.0","11,753,281.0","11,890,667.0","12,011,377.0","12,177,953.0","12,362,028.0","12,459,340.0","12,687,137.0","12,726,885.0","12,825,276.0","13,067,757.0","13,155,404.0","13,295,990.0","13,440,296.0"
