"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"63","43","      Profits before tax (without IVA and CCAdj)","A053RC1","10,911.0","4,559.0","562.0","-1,346.0","1,832.0","3,215.0","4,371.0","7,107.0","7,629.0","4,603.0","7,778.0","10,636.0","18,762.0","22,476.0","25,846.0","24,786.0","20,393.0","25,563.0","32,636.0","36,502.0","30,042.0","43,781.0","45,380.0","41,282.0","43,149.0","40,793.0","51,441.0","52,625.0","51,194.0","45,030.0","55,954.0","53,853.0","53,904.0","59,204.0","64,416.0","71,446.0","83,110.0","90,384.0","87,604.0","97,906.0","96,652.0"
"64","44","        Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"65","45","        Profits after tax (without IVA and CCAdj)","A055RC1","9,542.0","3,717.0","64.0","-1,731.0","1,311.0","2,471.0","3,420.0","5,698.0","6,127.0","3,574.0","6,337.0","7,802.0","11,152.0","11,061.0","11,772.0","11,837.0","9,704.0","16,459.0","21,368.0","24,081.0","19,839.0","25,856.0","22,821.0","21,883.0","22,862.0","23,169.0","29,400.0","30,632.0","29,771.0","26,066.0","32,227.0","31,071.0","31,014.0","35,109.0","38,045.0","43,291.0","52,045.0","56,503.0","54,705.0","58,278.0","56,675.0"
"66","46","          Net dividends","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"67","47","          Undistributed profits (without IVA and CCAdj)","B057RC1","3,741.0","-1,751.0","-4,002.0","-4,275.0","-727.0","-96.0","576.0","1,175.0","1,467.0","409.0","2,571.0","3,786.0","6,721.0","6,807.0","7,326.0","7,220.0","5,104.0","10,885.0","15,047.0","17,045.0","12,601.0","17,018.0","14,251.0","13,323.0","13,976.0","13,887.0","18,922.0","19,352.0","18,029.0","14,500.0","19,657.0","17,705.0","17,113.0","20,082.0","21,809.0","25,097.0","31,840.0","35,833.0","33,195.0","34,743.0","32,436.0"
"68","48","      Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"69","49","    Capital consumption adjustment","A059RC1","-550.0","-321.0","-25.0","109.0","136.0","-73.0","-126.0","-139.0","-546.0","-558.0","-472.0","-564.0","-598.0","-483.0","-173.0","473.0","623.0","-2,057.0","-2,573.0","-2,957.0","-2,840.0","-2,757.0","-2,983.0","-2,598.0","-1,858.0","-1,015.0","463.0","-286.0","-515.0","-918.0","-163.0","1,000.0","1,770.0","4,813.0","6,038.0","6,756.0","7,424.0","7,845.0","7,816.0","7,492.0","7,634.0"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Includes actual employer contributions and actuarially imputed employer contributions to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","reflect benefits accrued by defined benefit pension plan participants through service to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","employers in the current period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
