"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"43","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Line",NA,NA,"1986","1986","1986","1986","1986","1986","1986","1986","1986","1986","1986","1986","1987","1987","1987","1987","1987","1987","1987","1987","1987","1987","1987","1987","1988","1988","1988","1988","1988","1988","1988","1988","1988","1988","1988","1988","1989","1989","1989","1989","1989","1989","1989","1989","1989","1989","1989","1989","1990","1990","1990","1990","1990","1990","1990","1990","1990","1990","1990","1990","1991","1991","1991","1991","1991","1991","1991","1991","1991","1991","1991","1991","1992","1992","1992","1992","1992","1992","1992","1992","1992","1992","1992","1992","1993","1993","1993","1993","1993","1993","1993","1993","1993","1993","1993","1993","1994","1994","1994","1994","1994","1994","1994","1994","1994","1994","1994","1994","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1996","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1997","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1998","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","1999","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002"
"54",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"55","1","    Personal consumption expenditures (PCE)","DPCERC1","2,838,297.0","2,831,221.0","2,834,676.0","2,846,499.0","2,869,049.0","2,873,548.0","2,893,429.0","2,911,132.0","2,984,643.0","2,945,912.0","2,941,694.0","3,010,779.0","2,949,877.0","3,016,492.0","3,028,384.0","3,054,091.0","3,063,864.0","3,088,447.0","3,110,698.0","3,146,982.0","3,142,902.0","3,151,080.0","3,160,872.0","3,190,913.0","3,230,681.0","3,238,518.0","3,277,782.0","3,280,371.0","3,310,969.0","3,335,579.0","3,359,283.0","3,384,311.0","3,391,398.0","3,430,406.0","3,447,040.0","3,476,349.0","3,499,903.0","3,503,868.0","3,514,460.0","3,558,648.0","3,567,516.0","3,582,402.0","3,601,714.0","3,636,805.0","3,638,141.0","3,649,956.0","3,659,716.0","3,700,650.0","3,747,190.0","3,744,775.0","3,771,526.0","3,786,691.0","3,792,528.0","3,821,269.0","3,838,466.0","3,864,998.0","3,886,740.0","3,887,105.0","3,888,399.0","3,877,840.0","3,857,568.0","3,883,346.0","3,929,743.0","3,923,916.0","3,950,021.0","3,957,136.0","3,982,356.0","3,985,402.0","4,001,160.0","3,992,850.0","4,020,647.0","4,037,713.0","4,101,890.0","4,116,778.0","4,134,335.0","4,149,016.0","4,176,066.0","4,194,989.0","4,223,015.0","4,239,305.0","4,273,904.0","4,303,537.0","4,319,460.0","4,355,570.0","4,359,727.0","4,374,318.0","4,371,420.0","4,412,355.0","4,441,252.0","4,458,757.0","4,487,702.0","4,499,900.0","4,530,492.0","4,551,969.0","4,573,430.0","4,590,667.0","4,604,824.0","4,652,289.0","4,665,446.0","4,690,699.0","4,689,177.0","4,728,766.0","4,740,791.0","4,783,023.0","4,795,523.0","4,833,299.0","4,846,046.0","4,862,329.0","4,871,889.0","4,871,711.0","4,906,454.0","4,911,469.0","4,954,404.0","4,998,997.0","4,991,815.0","5,027,118.0","5,042,456.0","5,035,858.0","5,077,823.0","5,120,127.0","5,108,871.0","5,156,058.0","5,196,442.0","5,231,555.0","5,247,157.0","5,253,692.0","5,275,833.0","5,299,026.0","5,319,996.0","5,351,473.0","5,375,032.0","5,401,696.0","5,434,862.0","5,457,749.0","5,477,568.0","5,482,798.0","5,484,273.0","5,518,159.0","5,573,020.0","5,611,804.0","5,625,556.0","5,661,180.0","5,685,238.0","5,716,423.0","5,714,357.0","5,748,383.0","5,775,036.0","5,812,926.0","5,863,317.0","5,897,249.0","5,915,635.0","5,951,013.0","5,991,795.0","6,025,757.0","6,042,722.0","6,098,156.0","6,102,906.0","6,133,242.0","6,167,862.0","6,232,270.0","6,263,730.0","6,293,241.0","6,323,859.0","6,369,245.0","6,421,000.0","6,441,504.0","6,477,667.0","6,576,224.0","6,573,863.0","6,658,922.0","6,725,583.0","6,709,090.0","6,745,088.0","6,781,610.0","6,804,292.0","6,837,937.0","6,921,747.0","6,928,935.0","6,943,591.0","6,988,832.0","7,017,162.0","7,033,714.0","7,024,935.0","7,041,449.0","7,089,801.0","7,102,789.0","7,113,531.0","7,151,947.0","7,056,499.0","7,250,899.0","7,209,387.0","7,190,293.0","7,220,089.0","7,260,578.0","7,278,921.0","7,347,129.0","7,325,052.0","7,371,543.0","7,429,848.0","7,453,399.0","7,429,205.0","7,465,460.0","7,493,422.0","7,548,901.0"
"56","2","Goods","DGDSRC1","1,185,808.0","1,166,034.0","1,160,789.0","1,165,398.0","1,182,809.0","1,176,019.0","1,187,497.0","1,202,844.0","1,259,906.0","1,213,207.0","1,195,202.0","1,252,009.0","1,182,623.0","1,232,752.0","1,232,263.0","1,246,606.0","1,246,370.0","1,261,171.0","1,269,696.0","1,291,372.0","1,282,524.0","1,267,227.0","1,273,586.0","1,289,378.0","1,302,472.0","1,301,340.0","1,322,667.0","1,316,911.0","1,329,043.0","1,334,334.0","1,337,030.0","1,341,772.0","1,344,697.0","1,361,730.0","1,369,811.0","1,385,908.0","1,398,761.0","1,381,753.0","1,386,415.0","1,420,999.0","1,417,817.0","1,424,462.0","1,429,987.0","1,453,728.0","1,442,062.0","1,436,891.0","1,438,704.0","1,454,074.0","1,501,718.0","1,481,661.0","1,485,322.0","1,482,177.0","1,472,724.0","1,482,881.0","1,487,404.0","1,493,482.0","1,509,143.0","1,502,454.0","1,506,188.0","1,490,465.0","1,465,662.0","1,477,844.0","1,514,016.0","1,491,650.0","1,500,287.0","1,499,103.0","1,510,538.0","1,506,149.0","1,509,497.0","1,492,584.0","1,499,959.0","1,501,920.0","1,535,562.0","1,539,879.0","1,526,104.0","1,533,312.0","1,550,356.0","1,560,953.0","1,563,463.0","1,573,180.0","1,582,781.0","1,596,604.0","1,585,588.0","1,611,430.0","1,616,634.0","1,605,619.0","1,598,690.0","1,625,424.0","1,643,649.0","1,633,433.0","1,650,457.0","1,641,929.0","1,655,111.0","1,669,024.0","1,681,375.0","1,686,816.0","1,689,568.0","1,711,062.0","1,716,375.0","1,733,097.0","1,712,820.0","1,734,527.0","1,741,363.0","1,766,968.0","1,768,343.0","1,790,736.0","1,794,237.0","1,799,548.0","1,796,513.0","1,774,037.0","1,793,769.0","1,781,527.0","1,803,279.0","1,826,889.0","1,813,899.0","1,823,930.0","1,840,873.0","1,819,607.0","1,842,121.0","1,869,952.0","1,845,969.0","1,872,548.0","1,894,477.0","1,917,020.0","1,918,106.0","1,912,492.0","1,917,190.0","1,927,880.0","1,932,590.0","1,952,011.0","1,958,719.0","1,963,047.0","1,975,438.0","1,985,169.0","1,999,473.0","1,976,221.0","1,963,463.0","1,983,899.0","2,007,151.0","2,030,692.0","2,023,565.0","2,028,965.0","2,053,859.0","2,053,281.0","2,042,856.0","2,046,282.0","2,045,170.0","2,072,065.0","2,096,362.0","2,100,093.0","2,103,814.0","2,118,319.0","2,138,256.0","2,164,464.0","2,172,006.0","2,204,916.0","2,188,322.0","2,208,793.0","2,217,276.0","2,255,309.0","2,275,746.0","2,287,067.0","2,286,745.0","2,310,882.0","2,335,150.0","2,329,814.0","2,338,630.0","2,407,477.0","2,371,900.0","2,415,741.0","2,450,517.0","2,428,542.0","2,438,728.0","2,443,072.0","2,444,798.0","2,454,909.0","2,506,762.0","2,492,873.0","2,485,556.0","2,500,836.0","2,498,195.0","2,513,479.0","2,484,975.0","2,490,017.0","2,518,555.0","2,520,487.0","2,516,636.0","2,532,338.0","2,495,701.0","2,626,773.0","2,577,290.0","2,528,409.0","2,547,255.0","2,564,265.0","2,567,123.0","2,606,628.0","2,562,206.0","2,594,655.0","2,623,087.0","2,640,948.0","2,596,427.0","2,604,163.0","2,621,468.0","2,654,736.0"
"57","3","  Durable goods","DDURRC1","401,416.0","389,362.0","384,098.0","404,020.0","414,173.0","403,679.0","415,927.0","434,383.0","486,811.0","434,902.0","420,002.0","468,495.0","399,744.0","426,955.0","428,793.0","437,584.0","433,996.0","445,723.0","452,400.0","468,892.0","460,332.0","443,069.0","447,359.0","459,420.0","470,251.0","468,671.0","472,395.0","467,753.0","474,662.0","477,253.0","472,352.0","470,143.0","468,671.0","477,859.0","481,776.0","498,851.0","496,183.0","481,276.0","481,895.0","500,427.0","487,630.0","491,975.0","497,396.0","518,683.0","500,834.0","493,929.0","490,096.0","491,631.0","536,412.0","505,922.0","503,848.0","505,671.0","495,280.0","494,270.0","496,322.0","489,313.0","495,076.0","486,124.0","482,735.0","473,982.0","452,701.0","466,975.0","495,396.0","474,416.0","473,542.0","477,787.0","485,355.0","479,764.0","487,889.0","474,135.0","477,336.0","480,896.0","495,581.0","501,260.0","491,699.0","490,006.0","501,940.0","511,021.0","507,248.0","511,889.0","517,140.0","522,696.0","514,089.0","532,408.0","538,135.0","524,197.0","521,225.0","542,978.0","551,989.0","548,560.0","558,589.0","551,506.0","559,819.0","568,851.0","574,189.0","578,349.0","579,642.0","593,267.0","593,563.0","606,989.0","588,862.0","600,311.0","602,087.0","612,008.0","613,836.0","629,639.0","635,145.0","630,706.0","623,560.0","613,010.0","627,186.0","613,173.0","624,811.0","642,759.0","630,976.0","645,330.0","651,324.0","638,070.0","650,609.0","668,047.0","645,840.0","663,218.0","670,418.0","679,506.0","680,094.0","669,396.0","672,857.0","681,653.0","683,636.0","688,842.0","692,234.0","687,847.0","703,285.0","701,986.0","711,501.0","697,484.0","690,225.0","702,052.0","715,724.0","732,611.0","720,003.0","724,657.0","740,758.0","746,068.0","733,022.0","739,406.0","740,680.0","758,094.0","778,296.0","771,324.0","769,397.0","784,874.0","800,861.0","819,438.0","817,882.0","838,247.0","808,365.0","824,121.0","827,357.0","841,321.0","855,368.0","867,725.0","865,238.0","871,930.0","876,406.0","867,977.0","871,201.0","889,811.0","908,629.0","930,674.0","923,323.0","900,602.0","906,968.0","898,224.0","897,288.0","906,436.0","931,250.0","920,566.0","913,394.0","913,508.0","916,450.0","938,897.0","925,087.0","908,345.0","915,982.0","934,110.0","924,998.0","942,543.0","904,124.0","1,035,051.0","996,981.0","955,613.0","969,471.0","980,839.0","974,519.0","1,000,844.0","961,059.0","977,082.0","1,006,329.0","1,024,883.0","979,394.0","968,886.0","975,026.0","1,006,084.0"
