"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"33","14","          Farm tenant-occupied housing","W278RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","          Farms owned by nonoperator landlords","B2609C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","16","          Nonfarm nonresidential properties","B2610C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","17","        Proprietors' income","B1619C1","393.0","399.0","405.0","411.0","418.0","426.0","435.0","444.0","454.0","464.0","472.0","479.0","484.0","491.0","498.0","506.0","515.0","526.0","540.0","556.0","574.0","597.0","623.0","654.0","689.0","720.0","746.0","769.0","788.0","810.0","835.0","863.0","895.0","924.0","952.0","977.0","1,001.0","1,026.0","1,053.0","1,080.0","1,109.0","1,143.0","1,181.0","1,223.0","1,270.0","1,313.0","1,353.0","1,388.0","1,420.0","1,449.0","1,476.0","1,499.0","1,519.0","1,535.0","1,545.0","1,550.0","1,549.0","1,546.0","1,539.0","1,530.0","1,517.0","1,512.0","1,517.0","1,530.0","1,552.0","1,578.0","1,608.0","1,642.0","1,680.0","1,711.0","1,736.0","1,753.0","1,764.0","1,776.0","1,790.0","1,806.0","1,824.0","1,842.0","1,860.0","1,878.0","1,896.0","1,915.0","1,936.0","1,957.0","1,979.0","1,998.0","2,013.0","2,025.0","2,034.0","2,042.0","2,050.0","2,058.0","2,065.0","2,075.0","2,089.0","2,107.0","2,128.0","2,148.0","2,166.0","2,182.0","2,196.0","2,211.0","2,226.0","2,242.0","2,258.0","2,269.0","2,276.0","2,278.0","2,275.0","2,275.0","2,278.0","2,284.0","2,293.0","2,297.0","2,298.0","2,296.0","2,289.0","2,281.0","2,272.0","2,261.0","2,250.0","2,243.0","2,243.0","2,248.0","2,259.0","2,268.0","2,273.0","2,276.0","2,270.0","2,262.0","2,247.0","2,241.0","2,227.0","2,214.0","2,206.0","2,197.0","2,179.0","2,168.0","2,162.0","2,159.0","2,169.0","2,188.0","2,207.0","2,232.0","2,252.0","2,273.0","2,282.0","2,301.0","2,329.0","2,355.0","2,387.0","2,417.0","2,445.0","2,459.0","2,474.0","2,490.0","2,519.0","2,539.0","2,579.0","2,596.0","2,582.0","2,551.0","2,522.0","2,521.0","2,531.0","2,547.0","2,561.0","2,576.0","2,589.0","2,611.0","2,635.0","2,656.0","2,676.0","2,695.0","2,708.0","2,717.0","2,728.0","2,741.0","2,753.0"
"37","18","  Households and institutions","W279RC1","14,683.0","15,089.0","15,438.0","15,730.0","15,966.0","16,261.0","16,616.0","17,030.0","17,503.0","17,981.0","18,463.0","18,949.0","19,439.0","19,995.0","20,618.0","21,308.0","22,065.0","22,870.0","23,724.0","24,626.0","25,577.0","26,544.0","27,529.0","28,530.0","29,549.0","30,489.0","31,353.0","32,138.0","32,847.0","33,720.0","34,754.0","35,951.0","37,312.0","38,778.0","40,349.0","42,025.0","43,807.0","45,632.0","47,502.0","49,415.0","51,374.0","53,354.0","55,356.0","57,380.0","59,426.0","61,352.0","63,156.0","64,839.0","66,402.0","67,852.0","69,192.0","70,419.0","71,534.0","72,516.0","73,362.0","74,076.0","74,654.0","75,429.0","76,401.0","77,567.0","78,932.0","80,251.0","81,526.0","82,755.0","83,942.0","85,301.0","86,835.0","88,543.0","90,424.0","92,382.0","94,413.0","96,521.0","98,703.0","100,823.0","102,881.0","104,877.0","106,810.0","108,813.0","110,886.0","113,028.0","115,240.0","117,324.0","119,279.0","121,105.0","122,803.0","124,412.0","125,930.0","127,360.0","128,699.0","129,994.0","131,241.0","132,442.0","133,597.0","135,127.0","137,033.0","139,315.0","141,971.0","144,537.0","147,010.0","149,394.0","151,685.0","154,041.0","156,462.0","158,948.0","161,499.0","163,848.0","165,997.0","167,944.0","169,690.0","171,584.0","173,626.0","175,816.0","178,154.0","180,682.0","183,397.0","186,303.0","189,398.0","192,689.0","196,178.0","199,863.0","203,744.0","208,174.0","213,152.0","218,676.0","224,749.0","229,304.0","232,340.0","233,858.0","241,199.0","248,105.0","254,069.0","257,343.0","259,580.0","263,883.0","268,246.0","274,767.0","282,332.0","287,032.0","292,938.0","300,835.0","309,485.0","318,402.0","328,133.0","337,479.0","346,202.0","355,331.0","368,090.0","378,717.0","387,213.0","393,957.0","399,326.0","404,311.0","409,821.0","412,575.0","415,415.0","417,152.0","417,311.0","416,707.0","414,004.0","410,237.0","406,669.0","403,022.0","400,463.0","402,919.0","402,277.0","399,512.0","399,260.0","400,891.0","401,483.0","402,473.0","403,196.0","404,365.0","404,778.0","407,234.0","411,376.0","416,152.0","422,715.0","429,587.0","437,701.0"
"38","19","    Owner-occupied housing","B2607C1","11,172.0","11,478.0","11,729.0","11,925.0","12,066.0","12,261.0","12,511.0","12,814.0","13,171.0","13,527.0","13,881.0","14,233.0","14,583.0","14,991.0","15,457.0","15,981.0","16,564.0","17,171.0","17,803.0","18,459.0","19,141.0","19,826.0","20,515.0","21,207.0","21,903.0","22,562.0","23,186.0","23,773.0","24,325.0","25,020.0","25,857.0","26,838.0","27,962.0","29,169.0","30,458.0","31,831.0","33,286.0","34,775.0","36,299.0","37,856.0","39,449.0","41,038.0","42,626.0","44,211.0","45,794.0","47,266.0","48,626.0","49,874.0","51,012.0","52,049.0","52,987.0","53,825.0","54,563.0","55,204.0","55,746.0","56,191.0","56,538.0","57,059.0","57,755.0","58,624.0","59,669.0","60,683.0","61,667.0","62,621.0","63,546.0","64,625.0","65,860.0","67,250.0","68,795.0","70,396.0","72,051.0","73,762.0","75,528.0","77,217.0","78,830.0","80,365.0","81,823.0","83,328.0","84,881.0","86,480.0","88,127.0","89,638.0","91,014.0","92,253.0","93,357.0","94,381.0","95,324.0","96,187.0","96,969.0","97,723.0","98,447.0","99,141.0","99,807.0","100,829.0","102,209.0","103,947.0","106,041.0","108,100.0","110,123.0","112,112.0","114,064.0","116,023.0","117,990.0","119,963.0","121,943.0","123,814.0","125,577.0","127,230.0","128,775.0","130,388.0","132,067.0","133,814.0","135,628.0","137,559.0","139,606.0","141,771.0","144,053.0","146,491.0","149,086.0","151,838.0","154,745.0","158,055.0","161,767.0","165,880.0","170,396.0","173,783.0","176,040.0","177,169.0","182,917.0","188,418.0","193,341.0","195,616.0","197,087.0","200,307.0","203,443.0","208,683.0","214,892.0","218,465.0","223,180.0","229,740.0","236,803.0","244,157.0","252,201.0","259,795.0","266,813.0","274,346.0","285,361.0","294,236.0","301,109.0","306,109.0","309,803.0","312,907.0","316,446.0","317,666.0","319,047.0","319,205.0","317,820.0","315,354.0","310,811.0","305,542.0","301,134.0","297,380.0","294,785.0","296,233.0","295,092.0","292,027.0","291,260.0","291,925.0","291,456.0","291,089.0","290,464.0","290,288.0","289,371.0","290,399.0","293,388.0","297,179.0","302,544.0","308,109.0","314,969.0"
"39","20","    Nonprofit institutions serving households","B1621C1","3,511.0","3,611.0","3,709.0","3,805.0","3,900.0","4,000.0","4,105.0","4,216.0","4,332.0","4,454.0","4,582.0","4,716.0","4,856.0","5,004.0","5,161.0","5,327.0","5,501.0","5,699.0","5,921.0","6,167.0","6,436.0","6,718.0","7,014.0","7,323.0","7,646.0","7,927.0","8,167.0","8,365.0","8,522.0","8,700.0","8,897.0","9,113.0","9,350.0","9,609.0","9,891.0","10,194.0","10,521.0","10,857.0","11,203.0","11,559.0","11,925.0","12,316.0","12,730.0","13,169.0","13,632.0","14,086.0","14,530.0","14,965.0","15,390.0","15,803.0","16,205.0","16,594.0","16,971.0","17,312.0","17,616.0","17,885.0","18,116.0","18,370.0","18,646.0","18,943.0","19,263.0","19,568.0","19,859.0","20,134.0","20,396.0","20,676.0","20,975.0","21,293.0","21,629.0","21,986.0","22,362.0","22,759.0","23,175.0","23,606.0","24,051.0","24,512.0","24,987.0","25,485.0","26,005.0","26,548.0","27,113.0","27,686.0","28,265.0","28,852.0","29,446.0","30,031.0","30,606.0","31,173.0","31,730.0","32,271.0","32,794.0","33,301.0","33,790.0","34,298.0","34,824.0","35,368.0","35,930.0","36,437.0","36,887.0","37,282.0","37,621.0","38,018.0","38,472.0","38,985.0","39,556.0","40,034.0","40,420.0","40,714.0","40,915.0","41,196.0","41,559.0","42,002.0","42,526.0","43,123.0","43,791.0","44,532.0","45,345.0","46,198.0","47,092.0","48,025.0","48,999.0","50,119.0","51,385.0","52,796.0","54,353.0","55,521.0","56,300.0","56,689.0","58,282.0","59,687.0","60,728.0","61,727.0","62,493.0","63,576.0","64,803.0","66,084.0","67,440.0","68,567.0","69,758.0","71,095.0","72,682.0","74,245.0","75,932.0","77,684.0","79,389.0","80,985.0","82,729.0","84,481.0","86,104.0","87,848.0","89,523.0","91,404.0","93,375.0","94,909.0","96,368.0","97,947.0","99,491.0","101,353.0","103,193.0","104,695.0","105,535.0","105,642.0","105,678.0","106,686.0","107,185.0","107,485.0","108,000.0","108,966.0","110,027.0","111,384.0","112,732.0","114,077.0","115,407.0","116,835.0","117,988.0","118,973.0","120,171.0","121,478.0","122,732.0"
"40","21","Government","A264RC1","34,389.0","35,120.0","35,717.0","36,493.0","37,296.0","38,124.0","38,934.0","39,745.0","40,465.0","41,049.0","41,491.0","41,918.0","42,714.0","43,066.0","43,626.0","44,218.0","45,079.0","46,051.0","47,009.0","48,224.0","49,824.0","51,879.0","54,228.0","56,109.0","57,369.0","58,329.0","59,141.0","60,145.0","61,200.0","62,136.0","63,158.0","64,296.0","65,451.0","66,626.0","67,688.0","69,075.0","70,558.0","72,192.0","73,805.0","75,239.0","76,977.0","79,134.0","81,545.0","83,950.0","86,545.0","89,434.0","92,528.0","95,624.0","98,632.0","101,818.0","104,587.0","107,425.0","110,184.0","113,057.0","115,280.0","117,175.0","119,011.0","120,585.0","122,732.0","124,711.0","127,405.0","129,704.0","131,988.0","134,169.0","136,702.0","138,920.0","141,427.0","143,920.0","146,325.0","149,179.0","151,850.0","155,008.0","157,476.0","160,077.0","162,984.0","166,044.0","169,505.0","172,636.0","175,605.0","178,598.0","181,549.0","184,594.0","187,566.0","190,400.0","193,437.0","196,395.0","199,517.0","202,034.0","205,110.0","207,904.0","210,377.0","211,694.0","212,615.0","214,587.0","216,266.0","218,798.0","220,806.0","222,808.0","224,352.0","226,560.0","228,035.0","229,907.0","232,243.0","234,804.0","237,868.0","239,440.0","241,185.0","242,318.0","243,717.0","244,420.0","245,487.0","246,315.0","247,658.0","249,475.0","250,594.0","251,806.0","252,434.0","254,112.0","256,144.0","258,630.0","260,701.0","263,631.0","265,881.0","269,576.0","272,950.0","276,396.0","279,414.0","281,903.0","283,784.0","285,555.0","287,006.0","288,791.0","290,826.0","292,893.0","295,193.0","297,304.0","300,354.0","303,248.0","306,410.0","309,392.0","313,158.0","318,721.0","325,422.0","332,301.0","337,089.0","343,326.0","350,133.0","356,085.0","360,861.0","367,988.0","373,780.0","381,410.0","389,933.0","396,215.0","402,503.0","408,854.0","416,044.0","422,684.0","430,097.0","437,180.0","441,200.0","442,120.0","442,535.0","445,060.0","450,166.0","456,002.0","460,530.0","465,535.0","470,588.0","476,246.0","481,030.0","484,665.0","488,927.0","492,748.0","495,342.0","497,439.0","500,519.0","503,377.0","506,146.0"
"41","22","  General government","A265RC1","32,277.0","32,953.0","33,494.0","34,196.0","34,938.0","35,692.0","36,427.0","37,166.0","37,809.0","38,306.0","38,661.0","38,997.0","39,706.0","39,994.0","40,473.0","40,986.0","41,738.0","42,598.0","43,449.0","44,551.0","45,972.0","47,783.0","49,800.0","51,437.0","52,493.0","53,322.0","54,015.0","54,890.0","55,851.0","56,653.0","57,586.0","58,619.0","59,660.0","60,711.0","61,595.0","62,859.0","64,216.0","65,637.0","67,038.0","68,284.0","69,821.0","71,717.0","73,834.0","75,934.0","78,246.0","80,838.0","83,581.0","86,359.0","89,073.0","91,978.0","94,440.0","97,095.0","99,695.0","102,290.0","104,257.0","106,019.0","107,713.0","109,148.0","111,155.0","113,033.0","115,557.0","117,638.0","119,717.0","121,710.0","124,019.0","126,074.0","128,450.0","130,725.0","132,924.0","135,522.0","137,976.0","140,881.0","143,195.0","145,583.0","148,243.0","151,107.0","154,338.0","157,155.0","159,825.0","162,555.0","165,290.0","168,021.0","170,654.0","173,263.0","176,052.0","178,654.0","181,433.0","183,775.0","186,645.0","189,188.0","191,378.0","192,551.0","193,314.0","194,961.0","196,333.0","198,532.0","200,143.0","201,767.0","203,138.0","205,004.0","206,066.0","207,654.0","209,716.0","212,009.0","214,740.0","215,993.0","217,414.0","218,199.0","219,410.0","219,921.0","220,748.0","221,321.0","222,706.0","224,250.0","225,172.0","226,146.0","226,541.0","227,945.0","229,612.0","231,678.0","233,340.0","235,824.0","237,697.0","240,855.0","243,755.0","246,614.0","249,186.0","251,252.0","252,814.0","254,295.0","255,450.0","256,906.0","258,531.0","260,198.0","262,132.0","263,917.0","266,442.0","268,901.0","271,640.0","274,122.0","277,286.0","281,826.0","287,364.0","293,125.0","297,410.0","302,739.0","308,546.0","313,778.0","317,956.0","323,935.0","328,950.0","335,466.0","343,156.0","348,682.0","354,174.0","359,685.0","366,141.0","372,182.0","378,819.0","385,050.0","388,776.0","389,869.0","390,133.0","392,237.0","396,904.0","402,053.0","405,848.0","410,211.0","414,741.0","419,663.0","423,656.0","426,566.0","430,268.0","433,524.0","435,622.0","437,283.0","439,231.0","441,523.0","443,825.0"
"42","23","    Federal","B995RC1","24,872.0","25,268.0","25,652.0","26,076.0","26,564.0","27,016.0","27,468.0","27,860.0","28,264.0","28,540.0","28,728.0","28,840.0","29,348.0","29,472.0","29,708.0","29,936.0","30,384.0","30,908.0","31,424.0","32,060.0","32,704.0","33,492.0","34,504.0","35,388.0","36,044.0","36,716.0","37,276.0","37,948.0","38,680.0","39,272.0","40,096.0","40,952.0","41,644.0","42,428.0","43,028.0","43,976.0","44,992.0","45,988.0","46,944.0","47,732.0","48,684.0","49,872.0","51,244.0","52,556.0","54,000.0","55,664.0","57,408.0","59,208.0","60,940.0","62,960.0","64,680.0","66,516.0","68,408.0","70,368.0","71,876.0","73,364.0","74,868.0","76,216.0","78,048.0","79,712.0","81,964.0","83,736.0","85,460.0","87,108.0","88,892.0","90,448.0","92,260.0","93,924.0","95,528.0","97,364.0","99,040.0","101,044.0","102,644.0","104,276.0","106,204.0","108,416.0","110,864.0","113,072.0","115,024.0","117,004.0","118,916.0","120,760.0","122,540.0","124,180.0","125,948.0","127,552.0","129,208.0","130,640.0","132,676.0","134,352.0","135,872.0","136,444.0","136,720.0","137,608.0","138,392.0","139,828.0","140,508.0","141,296.0","141,932.0","143,060.0","143,204.0","143,944.0","144,868.0","146,132.0","147,628.0","147,840.0","148,352.0","148,204.0","148,536.0","148,416.0","148,336.0","148,068.0","148,396.0","148,992.0","149,156.0","148,880.0","148,444.0","148,932.0","149,248.0","150,072.0","150,604.0","151,556.0","152,144.0","153,672.0","154,936.0","155,884.0","156,852.0","157,504.0","157,632.0","157,952.0","158,056.0","158,300.0","158,792.0","159,244.0","160,124.0","160,992.0","162,420.0","164,136.0","166,052.0","167,772.0","169,796.0","172,084.0","174,312.0","176,988.0","179,672.0","182,368.0","185,008.0","188,036.0","190,860.0","193,536.0","196,100.0","198,896.0","202,224.0","205,220.0","208,340.0","211,128.0","214,948.0","218,528.0","222,144.0","224,616.0","226,304.0","227,568.0","228,456.0","230,224.0","233,732.0","237,612.0","240,424.0","243,596.0","246,608.0","249,400.0","251,176.0","251,796.0","253,580.0","255,036.0","255,996.0","256,728.0","258,540.0","259,724.0","260,688.0"
"43","24","    State and local","B986RC1","7,405.0","7,685.0","7,842.0","8,120.0","8,374.0","8,676.0","8,959.0","9,306.0","9,545.0","9,766.0","9,933.0","10,157.0","10,358.0","10,522.0","10,765.0","11,050.0","11,354.0","11,690.0","12,025.0","12,491.0","13,268.0","14,291.0","15,296.0","16,049.0","16,449.0","16,606.0","16,739.0","16,942.0","17,171.0","17,381.0","17,490.0","17,667.0","18,016.0","18,283.0","18,567.0","18,883.0","19,224.0","19,649.0","20,094.0","20,552.0","21,137.0","21,845.0","22,590.0","23,378.0","24,246.0","25,174.0","26,173.0","27,151.0","28,133.0","29,018.0","29,760.0","30,579.0","31,287.0","31,922.0","32,381.0","32,655.0","32,845.0","32,932.0","33,107.0","33,321.0","33,593.0","33,902.0","34,257.0","34,602.0","35,127.0","35,626.0","36,190.0","36,801.0","37,396.0","38,158.0","38,936.0","39,837.0","40,551.0","41,307.0","42,039.0","42,691.0","43,474.0","44,083.0","44,801.0","45,551.0","46,374.0","47,261.0","48,114.0","49,083.0","50,104.0","51,102.0","52,225.0","53,135.0","53,969.0","54,836.0","55,506.0","56,107.0","56,594.0","57,353.0","57,941.0","58,704.0","59,635.0","60,471.0","61,206.0","61,944.0","62,862.0","63,710.0","64,848.0","65,877.0","67,112.0","68,153.0","69,062.0","69,995.0","70,874.0","71,505.0","72,412.0","73,253.0","74,310.0","75,258.0","76,016.0","77,266.0","78,097.0","79,013.0","80,364.0","81,606.0","82,736.0","84,268.0","85,553.0","87,183.0","88,819.0","90,730.0","92,334.0","93,748.0","95,182.0","96,343.0","97,394.0","98,606.0","99,739.0","100,954.0","102,008.0","102,925.0","104,022.0","104,765.0","105,588.0","106,350.0","107,490.0","109,742.0","113,052.0","116,137.0","117,738.0","120,371.0","123,538.0","125,742.0","127,096.0","130,399.0","132,850.0","136,570.0","140,932.0","143,462.0","145,834.0","148,557.0","151,193.0","153,654.0","156,675.0","160,434.0","162,472.0","162,301.0","161,677.0","162,013.0","163,172.0","164,441.0","165,424.0","166,615.0","168,133.0","170,263.0","172,480.0","174,770.0","176,688.0","178,488.0","179,626.0","180,555.0","180,691.0","181,799.0","183,137.0"
"44","25","  Government enterprises","A266RC1","2,112.0","2,167.0","2,223.0","2,297.0","2,358.0","2,432.0","2,507.0","2,579.0","2,656.0","2,743.0","2,830.0","2,921.0","3,008.0","3,072.0","3,153.0","3,232.0","3,341.0","3,453.0","3,560.0","3,673.0","3,852.0","4,096.0","4,428.0","4,672.0","4,876.0","5,007.0","5,126.0","5,255.0","5,349.0","5,483.0","5,572.0","5,677.0","5,791.0","5,915.0","6,093.0","6,216.0","6,342.0","6,555.0","6,767.0","6,955.0","7,156.0","7,417.0","7,711.0","8,016.0","8,299.0","8,596.0","8,947.0","9,265.0","9,559.0","9,840.0","10,147.0","10,330.0","10,489.0","10,767.0","11,023.0","11,156.0","11,298.0","11,437.0","11,577.0","11,678.0","11,848.0","12,066.0","12,271.0","12,459.0","12,683.0","12,846.0","12,977.0","13,195.0","13,401.0","13,657.0","13,874.0","14,127.0","14,281.0","14,494.0","14,741.0","14,937.0","15,167.0","15,481.0","15,780.0","16,043.0","16,259.0","16,573.0","16,912.0","17,137.0","17,385.0","17,741.0","18,084.0","18,259.0","18,465.0","18,716.0","18,999.0","19,143.0","19,301.0","19,626.0","19,933.0","20,266.0","20,663.0","21,041.0","21,214.0","21,556.0","21,969.0","22,253.0","22,527.0","22,795.0","23,128.0","23,447.0","23,771.0","24,119.0","24,307.0","24,499.0","24,739.0","24,994.0","24,952.0","25,225.0","25,422.0","25,660.0","25,893.0","26,167.0","26,532.0","26,952.0","27,361.0","27,807.0","28,184.0","28,721.0","29,195.0","29,782.0","30,228.0","30,651.0","30,970.0","31,260.0","31,556.0","31,885.0","32,295.0","32,695.0","33,061.0","33,387.0","33,912.0","34,347.0","34,770.0","35,270.0","35,872.0","36,895.0","38,058.0","39,176.0","39,679.0","40,587.0","41,587.0","42,307.0","42,905.0","44,053.0","44,830.0","45,944.0","46,777.0","47,533.0","48,329.0","49,169.0","49,903.0","50,502.0","51,278.0","52,130.0","52,424.0","52,251.0","52,402.0","52,823.0","53,262.0","53,949.0","54,682.0","55,324.0","55,847.0","56,583.0","57,374.0","58,099.0","58,659.0","59,224.0","59,720.0","60,156.0","61,288.0","61,854.0","62,321.0"
"45","26","    Federal","B833RC1","300.0","304.0","308.0","324.0","332.0","344.0","360.0","368.0","384.0","396.0","416.0","424.0","444.0","452.0","476.0","484.0","508.0","532.0","552.0","572.0","604.0","628.0","672.0","716.0","752.0","776.0","800.0","828.0","844.0","872.0","892.0","908.0","928.0","948.0","968.0","992.0","1,008.0","1,032.0","1,056.0","1,080.0","1,112.0","1,148.0","1,180.0","1,224.0","1,260.0","1,304.0","1,340.0","1,384.0","1,428.0","1,476.0","1,536.0","1,572.0","1,616.0","1,652.0","1,676.0","1,712.0","1,740.0","1,760.0","1,748.0","1,756.0","1,796.0","1,816.0","1,844.0","1,888.0","1,920.0","1,960.0","1,976.0","2,016.0","2,032.0","2,048.0","2,080.0","2,120.0","2,124.0","2,140.0","2,160.0","2,204.0","2,232.0","2,284.0","2,328.0","2,404.0","2,472.0","2,532.0","2,592.0","2,652.0","2,716.0","2,772.0","2,836.0","2,920.0","2,988.0","3,040.0","3,096.0","3,148.0","3,200.0","3,256.0","3,308.0","3,392.0","3,488.0","3,560.0","3,624.0","3,668.0","3,720.0","3,760.0","3,788.0","3,820.0","3,856.0","3,884.0","3,924.0","3,980.0","4,008.0","4,032.0","4,076.0","4,136.0","4,112.0","4,144.0","4,188.0","4,244.0","4,276.0","4,364.0","4,440.0","4,532.0","4,640.0","4,768.0","4,860.0","4,952.0","5,072.0","5,156.0","5,244.0","5,304.0","5,300.0","5,324.0","5,312.0","5,308.0","5,280.0","5,244.0","5,228.0","5,220.0","5,236.0","5,228.0","5,220.0","5,196.0","5,244.0","5,296.0","5,348.0","5,420.0","5,500.0","5,560.0","5,616.0","5,688.0","5,752.0","5,832.0","5,900.0","5,944.0","6,000.0","6,044.0","6,096.0","6,152.0","6,204.0","6,252.0","6,304.0","6,392.0","6,428.0","6,424.0","6,376.0","6,388.0","6,420.0","6,460.0","6,512.0","6,544.0","6,616.0","6,684.0","6,752.0","6,804.0","6,852.0","6,904.0","6,948.0","6,988.0","7,040.0","7,096.0","7,144.0"
