"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"78","69","      Imputations (-191)","Y514RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9
"79","70","      Excluding imputations (68-69)","Y679RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,1,0.9,0.8,0.9,1.3,1.3,1.3,0.9,0.8,1.1,0.9
"80","71","  Consumption of fixed capital","A262RC1",10.4,10.2,9.5,8.3,8,8.4,8.5,8.8,9.7,10,10.1,10.6,12.1,14.9,18,21.4,23.2,25.8,29.2,31.4,32.3,33.4,37.8,40.6,43.5,46,48.9,54.1,58.9,62.4,65.4,67.9,70.6,74.1,78,82.4,88,95.3,103.5,113.3,124.9
"81","72","    Imputations (164+167+212)","A2092C1",2.1,2.1,1.9,1.6,1.7,1.9,2,2.1,2.3,2.4,2.5,2.6,3.2,4.9,7.8,10.8,12.3,13.4,13.9,13.4,12.8,12.4,13.8,15.2,16.6,17.7,19,20.9,22.6,23.7,25.2,26.6,27.9,29.7,31.6,33.3,35.3,37.7,40.5,44,48
"82","73","    Excluding imputations (71-72)","A2093C1",8.3,8.1,7.6,6.7,6.3,6.5,6.5,6.7,7.4,7.6,7.6,8,8.8,10,10.2,10.6,10.9,12.4,15.3,18,19.6,21,23.9,25.4,26.9,28.3,29.9,33.2,36.3,38.7,40.3,41.3,42.7,44.4,46.4,49.1,52.7,57.6,63,69.3,76.8
"83",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","74","Personal income","A065RC1",85.3,76.5,65.6,50.3,47.2,54.1,60.8,69.2,74.7,69.1,73.6,79.4,97.9,126.7,156.2,169.7,175.8,182.7,194.6,213.7,211.2,233.9,264.5,282.7,299.6,302.6,324.6,348.4,368.5,379.5,403.2,422.5,441.1,469.1,492.8,528.4,570.8,620.6,665.7,730.7,800.3
"85","75","  Imputations (163-158+170+181+188+195+196-197+198+199+203+204+205+206+211)","A2106C1",5.8,5.3,4.6,3.8,3.3,3.1,3.6,3.8,4.1,4.2,4.3,4.6,6.1,8.8,11,12.2,13.1,12.1,11.5,13,13.8,15.7,19,21.4,23.3,24.7,25.9,27.5,29.7,31.6,33.7,36.2,38.8,40.9,42.8,45.6,48.6,52.5,56.2,65.9,74.1
"86","76","  Excluding imputations (74-75)","A2107C1",79.4,71.2,61,46.5,43.9,51,57.3,65.4,70.6,64.9,69.3,74.8,91.8,117.9,145.2,157.5,162.7,170.6,183.2,200.7,197.5,218.2,245.4,261.2,276.2,277.9,298.7,320.9,338.7,347.9,369.5,386.3,402.3,428.2,450.1,482.8,522.3,568.1,609.5,664.9,726.2
"87","77","  Compensation of employees","W209RC1",51.4,47.2,40.1,31.4,29.8,34.6,37.7,43.3,48.4,45.5,48.6,52.8,66.2,88.1,112.8,124.4,126.4,122.6,132.5,144.5,144.5,158.5,185.9,201.3,215.5,214.4,230.9,249.6,263,265.1,286.3,301.9,311.1,332.9,351.2,376.8,406.3,450.3,482.9,532.1,586
"88","78","    Imputations (188+202)","Y506RC1",0.8,0.8,0.7,0.6,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1.1,2.1,4,5.1,5.8,6.3,6.1,4.5,4.9,5.1,5.6,7.8,8.7,9,9.1,9.1,9.4,10.2,10.9,11.2,11.7,12.5,13.1,13.8,14.7,16.4,18.2,19.4,21.3,23.6
"89","79","    Excluding imputations (77-78)","W519RC1",50.7,46.5,39.4,30.8,29.3,34,37,42.6,47.6,44.6,47.8,51.7,64.2,84.2,107.6,118.6,120.1,116.5,128,139.6,139.4,152.8,178.2,192.6,206.5,205.4,221.8,240.2,252.7,254.3,275.2,290.2,298.5,319.8,337.4,362.1,390,432.1,463.6,510.8,562.4
"90","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14,10.9,8.3,5,5.3,7,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43,42,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77
"91","81","    Imputations (199+211)","A2101C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.9,1.6,1.5,1.6,1.5,1.4,1.3,1.1,1,1,1,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8
"92","82","    Excluding imputations (80-81)","A2102C1",12.8,9.8,7.4,4.3,4.6,6.3,9.2,9.5,11.5,9.8,10.4,11.5,15.7,22.2,26.7,27.9,29.3,33.9,32.9,37.4,33.1,36,41,41.5,40.6,41,43.2,44.8,46.8,49.2,49.5,49.8,52.4,54.5,55.6,58.4,62.9,67.2,68.7,73.1,76.3
"93","83","  Rental income of persons with capital consumption adjustment","A048RC1",6.1,5.4,4.4,3.6,2.9,2.5,2.6,2.7,3,3.5,3.7,3.8,4.4,5.5,6,6.3,6.6,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18,18.7,18.8,19.3,19.9,20.3,20.1,20.4
"94","84","    Imputations (163)","B1156C1",2.8,2.4,2.1,1.7,1.3,1.1,1.1,1.2,1.3,1.5,1.5,1.6,1.7,2.1,2.4,2.7,2.9,2.9,2.8,3,3.4,4,4.6,5.6,6.7,7.6,8,8.2,8.6,9.2,10.1,11,11.7,12.5,12.9,13.1,13.4,13.9,14.4,14.1,14.4
"95","85","    Excluding imputations (83-84)","A2103C1",3.3,2.9,2.3,1.9,1.5,1.4,1.5,1.5,1.7,2,2.2,2.3,2.7,3.4,3.6,3.7,3.7,4,4.1,4.5,4.4,4.8,5.1,5.2,5.3,5.4,5.4,5.5,5.4,5.6,5.5,5.5,5.5,5.6,5.8,5.8,5.9,6,5.9,6,6
"96","86","  Personal income receipts on assets","W210RC1",12.6,11.9,10.5,8.6,7.6,8.3,8.5,10,10.4,8.8,9.4,9.7,10.2,10,10.4,10.9,11.7,13.6,15.4,16.8,17.9,20.7,21.4,22.5,24.6,26.6,29.4,32.4,35.6,37.3,40.6,44.3,47.2,51.6,56,62.5,68.7,74.2,79.8,87.3,98.7
"97","87","    Imputations (170+181+195+196)","Y507RC1",1.1,1,0.9,0.8,0.7,0.7,0.8,0.9,1,1,1,1.1,1.2,1.4,1.7,1.9,2.1,2.6,2.9,3.1,3.4,3.8,4.1,4.6,5.5,6.1,6.9,7.8,8.7,9.4,10.4,11.5,12.5,13.4,14,15.6,16.7,18.4,20.4,23.9,28.7
"98","88","    Excluding imputations (86-87)","Y508RC1",11.5,10.9,9.6,7.8,6.9,7.5,7.7,9.1,9.3,7.8,8.4,8.6,9,8.6,8.8,8.9,9.5,11,12.5,13.7,14.5,16.9,17.3,17.9,19.1,20.5,22.5,24.6,26.8,27.9,30.1,32.9,34.7,38.3,41.9,46.9,52,55.7,59.5,63.4,70
"99","89","  Personal current transfer receipts","A577RC1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,2,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3
"100","90","    Imputations (-158-197+198)","A2111C1",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.2,0.3,0.5,0.7,0.8,0.9,1,0.8,0.7,0.8,1.1,1.3,1.4,1.4,1.5,1.5,1.4,1.5,1.6,1.5,1.4,1.6,6.2,7
"101","91","    Excluding imputations (89-90)","A2112C1",1.2,1.2,2.3,1.7,1.7,1.8,2,3.1,1.9,2.3,2.4,2.6,2.6,2.5,2.2,2.8,5.3,10.3,10.5,9.7,10.5,13.2,10.5,10.9,11.7,13.6,14.8,15.7,18.2,22.1,22.8,24.3,28,29,30.8,31.9,34.7,38.3,46.4,49.9,55.3
"102","92","  Less: Contributions for government social insurance, domestic","A061RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1
"103","93","    Imputations (207)","A1676C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,0.8,0.4,0.4,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.4,0.4
"104","94","    Excluding imputations (92-93)","W531RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.2,5.1,4.8,4.2,4.5,5.4,6.6,6.9,7,7.9,8.9,9.9,11.3,11.2,13.6,16.3,16.8,18.9,21.5,22.2,23.2,31.2,34.6,38.3,43.7
"105","95","Personal current taxes","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5
"106","96","  Imputations (-157)","A2115C1",-1.1,-1.1,-1.1,-1,-0.9,-0.9,-0.9,-0.9,-0.9,-1,-0.9,-1,-1,-1,-1.1,-1.1,-1.2,-1.2,-1.3,-1.4,-1.6,-1.8,-2,-2.2,-2.5,-2.7,-3.1,-3.6,-4,-4.5,-4.8,-5.3,-5.9,-6.4,-7,-7.7,-8.3,-9,-10.1,-11.4,-12.7
"107","97","  Excluding imputations (95-96)","A2116C1",2.8,2.7,2.1,1.8,1.7,1.8,2,2.2,2.9,2.8,2.4,2.6,3.3,5.9,17.8,18.8,20.6,18.4,21.1,20.6,18.4,20.7,29,34.2,35.7,32.9,36,40.2,42.9,43,47.1,51.4,53.1,57.9,61.6,59.7,66,75.4,83,98.4,117.2
"108","98","Disposable personal income","A067RC1",83.5,74.9,64.6,49.5,46.4,53.2,59.8,67.9,72.8,67.2,72.1,77.7,95.6,121.8,139.4,152,156.3,165.5,174.8,194.5,194.5,215,237.4,250.7,266.3,272.4,291.7,311.8,329.6,340.9,360.9,376.5,393.8,417.5,438.3,476.3,513.2,554.2,592.8,643.8,695.8
"109","99","  Imputations (75-96)","A2117C1",6.9,6.4,5.7,4.8,4.2,4,4.5,4.7,5.1,5.1,5.2,5.5,7,9.8,12.1,13.3,14.3,13.2,12.8,14.4,15.4,17.4,21,23.6,25.8,27.4,29,31.1,33.8,36.1,38.6,41.5,44.7,47.3,49.8,53.2,56.9,61.5,66.3,77.3,86.8
"110","100","  Excluding imputations (98-99)","A2118C1",76.6,68.5,58.9,44.7,42.2,49.1,55.3,63.2,67.7,62.1,66.9,72.2,88.5,112,127.4,138.8,142.1,152.2,162.1,180,179.1,197.6,216.4,227,240.5,245,262.7,280.8,295.8,304.9,322.3,334.9,349.2,370.3,388.5,423.1,456.3,492.7,526.5,566.5,609
"111","101","Personal outlays","A068RC1",79.6,71.6,61.8,49.7,46.8,52.3,56.8,63.1,67.9,65.3,68.2,72.4,82.3,90,100.8,109.7,121.2,145.9,163.8,177.2,180.9,195,211.5,222.8,237.1,244.2,263.5,277.1,292.7,302,323.8,338.6,349.5,371.2,391.6,421.4,454.9,492.8,520.6,571.7,620.7
"112","102","  Imputations (5-162+227)","A2119C1",4.9,5.1,4.8,4.4,4,3.7,3.8,3.7,3.9,3.8,3.3,3.1,3.3,5.9,8,9.2,9.6,3.4,0.1,-1.6,-0.3,-4.5,-0.7,1.2,2.5,2.2,0.3,3.1,6.1,8.4,5.5,9.3,12.2,13,12.8,13.8,15.5,20.1,23.4,24.4,28.9
"113","103","  Excluding imputations (101-102)","A2120C1",74.7,66.5,57.1,45.2,42.7,48.6,52.9,59.4,64,61.5,64.9,69.3,79,84.1,92.8,100.5,111.6,142.4,163.7,178.9,181.2,199.5,212.1,221.6,234.6,242,263.2,274,286.6,293.7,318.2,329.4,337.2,358.1,378.8,407.6,439.4,472.8,497.1,547.3,591.8
"114","104","Personal saving","A071RC1",3.9,3.3,2.8,-0.1,-0.4,0.9,3,4.8,4.9,2,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11,17.2,13.6,20,25.9,27.8,29.2,28.2,28.2,34.7,36.9,38.9,37.1,37.8,44.4,46.4,46.7,54.8,58.3,61.4,72.2,72.1,75
"115","105","  Imputations (198+208-164-167)","A2121C1",2,1.3,0.9,0.4,0.2,0.3,0.7,1,1.2,1.3,1.9,2.5,3.8,4,4.1,4.1,4.7,9.8,12.6,16.1,15.7,22,21.7,22.5,23.3,25.2,28.8,27.9,27.7,27.7,33.1,32.3,32.4,34.2,37,39.4,41.4,41.5,42.9,52.9,57.9
"116","106","  Excluding imputations (104-105)","A2122C1",1.9,2,1.9,-0.5,-0.6,0.6,2.3,3.8,3.7,0.6,2,2.8,9.5,27.9,34.6,38.2,30.5,9.8,-1.6,1.2,-2.1,-1.9,4.3,5.4,6,3,-0.6,6.8,9.3,11.2,4.1,5.5,11.9,12.1,9.7,15.4,16.9,19.9,29.3,19.2,17.1
"117",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","107","Government current receipts","W021RC1",10.5,10,8.7,8.2,8.6,9.7,10.5,11.9,14.3,13.9,14.2,16.6,23.8,31.2,47.6,49.4,51.4,50.4,55.4,56.8,53.6,66.1,81.9,86.4,90.8,85.9,96.7,104.1,109.8,108.2,122.5,133.9,138.5,150,161.6,166,179.7,202.1,216.9,251.2,282.5
"119","108","  Imputations (171+182+207-191)","W568RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0,0.1,0.3,0.4,1.7,0.8,0.5,0.5,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.6,0.7,0.9
"120","109","  Excluding imputations (107-108)","W514RC1",10.4,9.9,8.6,8.1,8.5,9.6,10.4,11.8,14.2,13.8,14.1,16.6,23.7,31.2,47.5,49.2,50.9,48.7,54.6,56.2,53.1,66,81.9,86.4,90.7,85.8,96.5,103.9,109.6,107.9,122.2,133.6,138.2,149.7,161.2,165.5,179.3,201.8,216.4,250.6,281.6
"121","110","Government current expenditures","W022RC1",8.4,8.8,10.3,9.3,9.6,11.2,11.8,13.4,12.7,14,15.1,16,21.6,41.5,63.6,77.8,82.3,57.8,52.9,55.8,61.6,63.9,75.9,86.7,92.7,91.9,95,99.8,109.8,119.1,124.2,131.2,141,152,160,168.6,181,203.9,231.7,260.7,283.5
"122","111","  Imputations (171+182+190+194+207+212-213)","A2047C1",-1.5,-1.8,-1.7,-0.9,-0.6,-1.1,-1.2,-2.4,-2,-2.2,-2.4,-2,-7.1,-22.2,-29.6,-24.7,-10.2,12.4,10.1,6.3,2.9,2.5,-3.3,-6.4,-6.9,-4.4,-2.2,-3.1,-4,-4.8,-6.6,-5.2,-7.1,-7.9,-7.4,-7.3,-6.4,-9.1,-10.1,-7.1,-2.1
"123","112","  Excluding imputations (110-111)","A2114C1",9.9,10.6,11.9,10.2,10.2,12.3,12.9,15.8,14.6,16.1,17.4,18,28.6,63.7,93.2,102.5,92.6,45.3,42.8,49.5,58.7,61.5,79.2,93.1,99.5,96.3,97.2,102.9,113.7,123.9,130.9,136.3,148.1,159.9,167.4,175.9,187.4,213,241.8,267.8,285.6
"124","113","Net government saving","A922RC1",2.1,1.1,-1.6,-1.1,-0.9,-1.5,-1.3,-1.5,1.6,-0.1,-0.8,0.6,2.2,-10.3,-16,-28.3,-31,-7.4,2.5,1,-8,2.2,6,-0.3,-1.9,-6,1.6,4.4,0,-10.9,-1.7,2.8,-2.5,-1.9,1.6,-2.6,-1.4,-1.8,-14.8,-9.5,-1
"125","114","  Imputations (213-190-191-194-212)","A2010C1",1.6,1.9,1.7,1,0.7,1.2,1.3,2.5,2,2.3,2.5,2,7.1,22.2,29.7,25,10.7,-10.8,-9.3,-5.8,-2.4,-2.4,3.3,6.4,7,4.5,2.4,3.4,4.2,5.1,7,5.5,7.4,8.3,7.9,7.9,6.8,9.4,10.7,7.7,3
"126","115","  Excluding imputations (113-114)","A2011C1",0.5,-0.8,-3.3,-2.1,-1.7,-2.7,-2.6,-4,-0.4,-2.4,-3.3,-1.4,-4.9,-32.5,-45.7,-53.3,-41.6,3.4,11.8,6.7,-5.6,4.5,2.7,-6.7,-8.8,-10.5,-0.7,1,-4.1,-16,-8.7,-2.8,-9.9,-10.2,-6.3,-10.4,-8.2,-11.2,-25.4,-17.2,-4
"127",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","116","Current receipts from the rest of the world","A120RC1",7.1,5.5,3.7,2.5,2.4,3,3.3,3.6,4.8,4.5,4.7,5.5,6.2,5.1,4.7,5.6,7.5,15.2,20.3,17.6,16.4,14.5,19.9,19.3,18.2,18.9,21.2,25.2,28.3,24.4,27,31.9,32.9,35,37.6,42.3,45,49,52.1,58,63.7
"129","117","  Imputations (173+185+186)","W522RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"130","118","  Excluding imputations (116-117)","W523RC1",7,5.4,3.6,2.5,2.4,3,3.3,3.5,4.7,4.4,4.6,5.4,6.1,5,4.6,5.5,7.4,15.1,20.2,17.5,16.3,14.4,19.7,19.1,18,18.7,21,25,28.1,24.2,26.8,31.7,32.7,34.8,37.4,42,44.8,48.8,51.9,57.7,63.3
"131","119","  Exports of goods and services","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9
"132","120","    Imputations (173+179+185)","W512RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5
"133","121","    Excluding imputations (119-120)","W513RC1",5.9,4.4,2.9,1.9,2,2.5,2.7,3,4,3.8,3.9,4.8,5.4,4.3,3.9,4.7,6.6,14,18.6,15.4,14.4,12.2,16.9,16.2,15.1,15.6,17.5,21.1,23.8,20.3,22.4,26.8,27.3,28.7,30.8,34.7,36.7,40.5,43,47.5,51.4
"134","122","  Income receipts from the rest of the world","B645RC1",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.8,3,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8
"135","123","    Imputations (-179+186)","W526RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2
"136","124","    Excluding imputations (122-123)","W527RC1",1.1,1,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2,1.9,2.2,2.8,2.9,2.9,3.1,3.5,4,4.3,3.9,4.3,5,5.4,6.1,6.6,7.4,8.1,8.3,8.9,10.3,11.9
"137","125","Current payments to the rest of the world","W163RC1",6.3,4.8,3.5,2.3,2.3,2.6,3.3,3.7,4.6,3.3,3.6,4,4.9,5.1,6.8,7.6,8.9,10.3,11,15.2,15.5,16.4,19,18.7,19.5,18.7,20.8,22.5,23.6,23.6,28.3,28.8,28.7,31.2,32.7,34.8,38.9,45.2,48.7,56.5,62.1
"138","126","  Imputations (173+185+186)","W522RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"139","127","  Excluding imputations (125-126)","W529RC1",6.3,4.8,3.4,2.3,2.3,2.5,3.3,3.6,4.5,3.2,3.5,3.9,4.8,5,6.7,7.4,8.7,10.2,10.9,15,15.4,16.2,18.8,18.5,19.3,18.5,20.6,22.4,23.4,23.4,28.1,28.6,28.5,31,32.5,34.6,38.6,44.9,48.4,56.2,61.7
"140","128","  Imports of goods and services","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5
"141","129","    Imputations (186)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","130","    Excluding imputations (128-129)","W515RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5
"143","131","  Income payments to the rest of the world","A655RC1",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3,3.3,4,5.7
"144","132","    Imputations (173+185)","W532RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4
"145","133","    Excluding imputations (131-132)","W533RC1",0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1,1.3,1.6,1.6,1.6,1.9,2.1,2.4,2.8,3,3.7,5.3
"146","134","  Current taxes and transfer payments to the rest of the world (net)","A123RC1",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,2.9,2.6,4.5,5.6,4,3.5,2.6,2.5,2.3,2.6,2.5,2.4,2.4,4.4,4.1,4.2,4.4,4.5,4.4,4.7,5.1,5.5,5.9,5.9
"147",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","135","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1",20.8,15.4,9.8,4.2,4.5,7.4,10.2,13.5,17.1,13.4,15.9,20.6,31.5,40.7,45.2,45.4,36.4,42.8,52.1,61.3,51.3,66.1,83.2,82.5,85.7,83.6,98.5,107.5,111.5,104.4,120.2,125.6,130.7,143.4,152.7,166,183.7,201.6,203.8,217.7,234.7
"149","136","  Imputations (208+213)","W558RC1",5.6,5.2,4.5,2.9,2.5,3.4,3.8,5.5,5.4,5.9,6.7,6.9,13.8,30.7,41.1,39.4,27,11.9,16.6,22.9,25.1,30.8,37.5,42.6,45.4,46,48.5,50.2,52.1,53.9,62.3,61.2,64.4,68.5,72.5,76.2,78.9,83.6,88.2,93.7,96.3
"150","137","  Excluding imputations (135-136)","W559RC1",15.3,10.2,5.3,1.3,1.9,4,6.3,8,11.7,7.5,9.2,13.7,17.6,10,4.1,6,9.3,30.8,35.5,38.4,26.2,35.3,45.7,39.9,40.4,37.7,50,57.3,59.4,50.4,57.9,64.5,66.3,74.8,80.1,89.8,104.8,118,115.6,124,138.4
"151","138","Net saving","W201RC1",9.7,5.6,-0.4,-4.3,-4.1,-1.4,1.9,3.6,7.4,2.7,4.5,8.9,19.1,26.7,29,21.5,9.4,15.8,20.1,30.1,17.2,31.5,42,39.3,38.5,34.8,47.5,55.4,52.9,41.3,54.7,59.1,61.1,69.4,76.2,83.6,94.9,101.1,96.9,101.2,108.2
"152","139","  Imputations (208+213-164-167-212)","W534RC1",3.5,3.1,2.6,1.3,0.8,1.5,1.9,3.4,3.1,3.4,4.2,4.3,10.6,25.8,33.3,28.6,14.7,-1.4,2.7,9.5,12.3,18.4,23.7,27.4,28.8,28.3,29.5,29.3,29.5,30.2,37.2,34.6,36.4,38.9,41,42.9,43.6,45.9,47.7,49.7,48.3
"153","140","  Excluding imputations (138-139)","W535RC1",6.2,2.5,-3,-5.7,-4.9,-2.8,0.1,0.2,4.3,-0.8,0.3,4.7,8.5,0.9,-4.3,-7.1,-5.4,17.2,17.3,20.7,4.9,13.1,18.4,11.9,9.7,6.5,18,26.2,23.4,11.1,17.5,24.5,24.6,30.5,35.2,40.8,51.3,55.3,49.2,51.5,59.9
"154","141","  Personal saving","A071RC1",3.9,3.3,2.8,-0.1,-0.4,0.9,3,4.8,4.9,2,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11,17.2,13.6,20,25.9,27.8,29.2,28.2,28.2,34.7,36.9,38.9,37.1,37.8,44.4,46.4,46.7,54.8,58.3,61.4,72.2,72.1,75
