"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"28","20","    Financial services and insurance","DIFSRG3",22.405,22.83,23.178,23.568,23.804,24.017,24.256,24.627,24.937,25.385,25.898,26.28,26.827,27.095,27.366,27.494,27.232,27.626,28.02,28.472,29.151,29.738,30.378,31.005,31.557,32.14,32.424,33.051,33.295,33.067,33.787,34.237,34.449,35.526,36.874,37.862,39.476,40.834,41.267,42.232,40.66,43.628,44.209,44.235,44.648,45.577,46.788,49.081,50.477,50.311,49.79,49.582,50.632,51.669,53.748,55.663,57.243,55.73,59.857,59.291,59.222,61.462,63.068,63.046,66.461,66.411,68.072,66.578,69.299,68.431,67.093,66.712,64.381,64.353,64.554,65.319,66.094,67.081,68.656,69.142,69.385,69.895,69.635,69.913,70.218,70.641,70.886,71.083,70.062,69.61,70.666,70.874,71.617,72.331,72.656,73.974,74.838,76.298,77.362,77.489,77.232,77.94,78.027,78.586,78.791,79.257,79.832,80.684,81.002,81.784,82.899,83.771,84.486,85.566,86.008,86.501,86.385,85.572,85.532,85.236,85.132,84.724,84.81,85.506,86.592,85.541,85.639,85.828,86.012,85.947,84.426,85.932,85.897,87.226,88.222,89.35,89.852,91.31,92.153,92.718,93.671,94.574,95.705,96.081,96.695,97.469,98.291,99.334,99.727,100.322,100.656,101.597,102.573,102.585,103.801,105.023,105.474,105.855,104.611,102.534,99.412,99.427,99.532,101.629,102.648,103.885,104.46,104.98,105.179,106.232,106.904,107.727,108.988,109.935,111.119,111.818,112.14,112.781,114.002,114.996,115.404,116.424
"29","21","    Other services","DOTSRG3",15.96,16.155,16.35,16.524,16.681,16.924,17.122,17.395,17.651,17.885,18.178,18.426,18.661,18.871,19.038,19.263,19.374,19.768,20.367,20.782,21.387,22.095,22.603,22.89,23.197,23.553,24.162,24.442,24.772,25.133,25.593,25.814,26.237,26.518,26.778,26.985,27.294,27.782,28.325,28.706,29.186,29.763,30.377,30.918,31.774,32.299,33.197,33.897,34.742,35.649,36.589,37.616,38.182,38.743,39.148,39.778,40.45,40.931,41.395,41.873,42.879,43.237,43.358,43.552,43.879,44.523,45.193,45.737,46.375,47.021,47.484,47.857,47.816,48.13,48.455,48.91,49.444,50.178,50.599,51.204,51.62,52.088,52.461,52.825,53.408,54.159,54.582,55.228,56.052,56.614,57.239,57.928,58.638,59.149,59.737,60.024,60.562,61.2,61.727,62.278,62.917,63.364,64.052,64.606,65.097,65.739,66.067,66.346,66.822,67.316,67.991,68.719,69.033,69.608,69.842,69.952,70.201,70.867,71.231,71.818,72.313,72.557,72.846,73.365,73.794,73.968,74.204,74.696,75.373,75.936,76.944,77.687,78.312,78.851,80.061,80.419,81.285,82.172,82.719,83.295,84.002,84.638,85.529,86.098,87.088,88.122,88.593,89.05,90.009,90.865,91.636,92.173,92.572,93.455,94.095,94.817,95.867,97.345,98.145,98.821,99.24,99.659,100.183,100.919,101.535,102.269,102.774,102.992,103.332,103.9,104.562,105.126,105.772,106.471,106.501,107.087,108.162,108.685,108.84,109.592,110.197,110.772
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",63.696,64.877,65.899,66.709,67.234,67.699,68.211,69.428,70.707,71.48,72.545,73.076,73.826,74.232,75.258,76.385,76.109,78.24,81.587,83.082,86.601,91.275,92.782,94.536,97.242,98.215,101.429,101.853,104.515,104.124,104.217,106.564,110.136,109.893,113.378,114.735,116.249,117.848,121.319,122.132,125.048,128.231,133.903,137.086,139.874,144.862,143.024,145.266,147.629,152.985,151.222,149.613,146.116,143.155,141.983,138.838,134.043,133.991,131.076,128.175,127.562,127.46,125.647,123.702,123.367,122.355,122.83,124.708,122.346,119.217,118.086,117.404,117.232,116.505,117.126,117.011,116.828,116.18,115.255,114.202,112.467,109.767,106.694,103.314,102.711,100.014,97.331,95.888,93.355,92.952,90.882,88.951,85.97,83.827,82.541,80.375,79.14,79.22,78.25,78.335,78.082,78.184,78.649,79.407,78.186,78.422,78.821,78.584,78.753,79.719,80.135,80.85,81.934,81.994,83.537,85.537,87.147,88.894,89.75,89.806,89.995,91.217,92.743,94.416,94.762,97.352,97.507,99.059,101.076,101.876,102.376,101.515,102.418,102.982,102.01,101.193,100.631,99.489,99.304,99.012,97.564,98.236,98.595,98.096,99.156,99.747,100.67,101.039,101.199,101.305,100.873,100.979,102.319,102.321,102.99,102.037,102.776,103.447,103.745,102.527,100.743,100.159,100.049,99.049,98.794,98.44,99.021,99.527,99.81,99.951,99.918,100.058,99.983,99.813,98.947,100.151,99.879,102.043,101.995,101.943,103.341,103.814
"31","23","    Gross output of nonprofit institutions \2\","DNPERG3",13.367,13.615,13.845,14.084,14.325,14.538,14.722,14.932,15.081,15.242,15.432,15.583,15.777,15.903,16.184,16.379,16.456,16.812,17.395,17.697,18.258,18.962,19.44,19.897,20.365,20.726,21.414,21.749,22.188,22.48,22.882,23.253,23.831,24.187,24.645,24.928,25.445,25.908,26.557,27.104,27.832,28.399,29.229,30.085,31.082,31.961,32.653,33.645,34.624,35.431,36.239,37.172,37.826,38.223,39.035,39.588,40.036,40.524,40.998,41.477,42.033,42.585,42.961,43.347,43.776,44.227,44.639,45.165,45.531,45.724,46.119,46.653,47.131,47.681,48.341,48.947,49.691,50.494,51.245,51.995,52.754,53.389,53.981,54.509,55.212,55.805,56.494,57.299,57.855,58.585,59.121,59.695,60.166,60.676,61.245,61.712,62.143,62.665,63.038,63.474,63.863,64.296,64.927,65.479,65.838,66.253,66.65,67.127,67.556,68.115,68.495,68.988,69.408,69.773,70.226,70.731,71.32,72.012,72.443,72.748,73.173,73.745,74.38,75.11,75.716,76.643,77.45,78.218,79.049,79.795,80.399,80.643,81.295,81.986,82.602,83.148,83.826,84.354,84.978,85.699,86.201,87.064,87.727,88.119,89.134,89.82,90.648,91.63,92.273,93.045,93.67,94.246,95.263,95.802,96.46,97.192,97.825,98.522,99.077,99.157,99.302,99.657,100.26,100.781,101.204,101.576,102.066,102.473,103.026,103.695,104.169,104.611,104.981,105.559,105.867,106.534,107.133,107.79,108.18,108.675,109.315,109.942
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",8.328,8.482,8.629,8.794,8.976,9.137,9.27,9.39,9.454,9.554,9.664,9.768,9.898,9.986,10.176,10.288,10.368,10.568,10.903,11.089,11.399,11.776,12.109,12.414,12.684,12.943,13.375,13.636,13.884,14.147,14.479,14.684,15.008,15.315,15.544,15.72,16.084,16.398,16.787,17.206,17.685,18.016,18.46,19.032,19.738,20.251,20.913,21.645,22.361,22.794,23.555,24.427,25.167,25.667,26.442,27.11,27.794,28.236,28.849,29.482,30.04,30.56,31.047,31.564,31.997,32.505,32.858,33.209,33.747,34.198,34.682,35.267,35.752,36.359,36.952,37.56,38.317,39.184,40.035,40.904,41.862,42.811,43.785,44.755,45.576,46.563,47.686,48.779,49.773,50.641,51.561,52.515,53.553,54.523,55.424,56.395,57.145,57.74,58.374,58.873,59.392,59.888,60.543,61.037,61.741,62.187,62.576,63.209,63.695,64.147,64.512,64.942,65.206,65.624,65.835,66.012,66.367,66.811,67.137,67.494,67.968,68.379,68.793,69.288,69.944,70.45,71.407,71.965,72.482,73.206,73.83,74.361,74.938,75.655,76.699,77.623,78.649,79.654,80.507,81.517,82.586,83.5,84.248,84.89,85.89,86.598,87.393,88.539,89.317,90.285,91.237,91.957,92.87,93.574,94.229,95.496,96.1,96.807,97.448,97.989,98.815,99.486,100.327,101.371,102.033,102.661,103.119,103.493,104.137,104.983,105.629,106.175,106.694,107.526,108.238,108.717,109.626,109.753,110.297,110.987,111.352,112.035
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRG3",21.846,22.11,22.366,22.63,22.876,23.135,23.393,23.721,24.022,24.296,24.525,24.666,24.903,25.073,25.262,25.421,25.599,25.949,26.294,26.661,27.118,27.792,28.588,29.287,29.862,30.319,30.775,31.276,31.752,32.132,32.634,33.143,33.695,34.211,34.782,35.293,35.854,36.477,37.105,37.771,38.283,39.122,39.841,40.669,41.659,42.589,43.534,44.592,45.581,46.437,47.287,48.122,48.818,49.474,50.264,50.969,51.663,52.064,52.857,53.281,53.817,54.448,54.961,55.356,56.122,56.63,57.22,57.622,58.248,58.634,59.023,59.495,59.866,60.437,60.972,61.601,62.186,62.94,63.665,64.368,65.049,65.628,66.1,66.7,67.451,68.197,68.875,69.446,70.036,70.564,71.196,71.749,72.288,72.797,73.228,73.77,74.277,74.843,75.263,75.649,75.988,76.498,76.922,77.313,77.709,78.155,78.52,78.914,79.229,79.599,79.963,80.414,80.729,81.145,81.328,81.582,81.808,82.056,82.342,82.594,82.861,83.118,83.403,83.782,84.244,84.52,84.906,85.315,85.798,86.132,86.378,86.817,87.065,87.574,88.027,88.333,88.548,88.869,89.229,89.541,90.026,90.572,90.989,91.415,91.999,92.489,92.874,93.481,93.957,94.59,95.097,95.498,96.177,96.516,96.99,97.645,98.208,98.703,99.149,99.248,99.366,99.85,100.131,100.653,100.91,101.177,101.425,101.63,101.974,102.593,103.11,103.522,104.063,104.546,104.871,105.23,105.606,105.875,106.252,106.603,106.922,107.442
"35","26","  Energy goods and services \5\","DNRGRG3",12.575,12.765,12.785,12.819,12.824,13.014,13.023,13.297,13.39,13.322,13.57,13.722,13.68,13.671,13.905,14.148,14.375,14.758,14.988,16.061,18.333,19.751,20.177,20.205,20.627,21.029,21.994,22.551,22.596,22.628,23.03,23.728,24.448,24.803,25,25.504,25.686,25.977,26.374,27.336,28.397,31.116,34.784,37.1,40.992,42.97,43.506,44.2,47.697,48.634,48.862,49.56,49.544,48.389,49.908,50.313,49.037,50.038,50.536,50.395,50.612,50.819,50.448,50.65,50.666,51.521,51.171,51.308,49.612,44.581,43.083,42.056,44.355,44.88,46.093,45.989,45.404,45.434,45.961,45.904,46.583,49.842,48.777,48.296,50.395,49.874,52.313,57.277,54.007,52.177,51.974,52.628,52.097,52.538,53.247,53.887,53.825,53.461,52.887,53.522,53.165,52.707,54.197,54.46,54.335,54.274,53.986,53.622,55.223,57.059,56.375,57.683,58.775,56.34,56.677,56.922,53.689,52.417,52.03,51.272,50.559,53.533,55.956,57.844,61.903,63.466,65.463,66.871,68.279,69.551,66.143,60.167,58.529,62.194,63.029,65.029,71.688,67.485,70.436,70.572,74.495,75.865,78.148,83.469,83.056,85.075,97.344,100.337,100.1,103.469,107.083,96.643,100.511,107.591,108.646,115.126,120.183,129.263,138.654,105.667,93.199,95.161,103.572,108.068,109.827,107.026,108.433,115.002,122.168,129.939,129.94,128.756,129.834,127.807,128.863,131.467,129.686,126.916,128.972,128.101,129.351,131.002
"36","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.279,58.865,59.432,59.948,60.44,61.095,61.796,62.438,63.211,64.14,64.605,65.189,66.205,66.868,67.82,68.794,69.289,69.74,70.236,70.799,71.282,71.769,72.232,72.763,73.165,73.591,73.881,74.282,74.525,74.939,75.449,75.732,76.163,76.581,76.876,77.181,77.573,78.079,78.331,78.785,79.122,79.269,79.443,79.61,79.601,79.698,79.94,80.152,80.339,80.805,81.166,81.602,82.294,82.609,83.145,83.592,84.135,84.534,84.691,84.606,84.727,85.282,85.674,86.08,86.76,86.733,87.277,87.617,88.302,88.871,89.323,90.082,90.505,91.055,92.088,92.796,93.23,93.982,94.699,94.427,95.262,96.095,96.576,97.627,98.544,99.633,100.877,99.465,99.134,99.643,100.315,100.909,101.195,101.237,101.512,102.043,102.856,103.931,104.496,104.853,105.401,105.72,106.073,106.475,106.746,106.779,107.226,107.42,107.754,108.361
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.353,59.962,60.508,61.137,61.763,62.504,63.152,63.889,64.651,65.297,65.905,66.613,67.444,68.292,69.087,69.719,70.535,71.188,71.875,72.512,73.128,73.664,74.103,74.682,75.167,75.666,76.065,76.419,76.748,77.274,77.654,77.965,78.452,78.888,79.25,79.613,79.863,80.205,80.476,80.825,81.124,81.516,81.661,81.82,82.075,82.284,82.577,82.847,83.096,83.37,83.555,83.864,84.302,84.489,84.881,85.265,85.717,86.036,86.421,86.749,86.969,87.336,87.745,88.05,88.287,88.526,88.873,89.161,89.632,90.101,90.422,90.862,91.407,91.814,92.138,92.708,93.193,93.847,94.377,94.736,95.322,95.681,96.066,96.76,97.368,97.842,98.461,98.845,99.339,99.903,100.183,100.576,100.752,100.957,101.169,101.311,101.647,102.243,102.77,103.186,103.719,104.185,104.517,104.78,105.165,105.35,105.72,105.995,106.269,106.757
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
