"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41"
"66","48","  Police","W616RC1","402.0","461.0","564.0","769.0","865.0","913.0","1,093.0","1,225.0","1,352.0","1,442.0","1,566.0","1,730.0","1,807.0","1,909.0","2,443.0","2,751.0","3,031.0","3,173.0","3,645.0","4,449.0","4,805.0","5,064.0","5,409.0","6,255.0","8,665.0","8,744.0","8,602.0","9,923.0","11,056.0","11,857.0","12,759.0","14,545.0","15,327.0","18,467.0","21,742.0","25,109.0","26,683.0","28,546.0"
"67","49","  Fire","W617RC1","0.0","0.0","0.0","0.0","0.0","0.0","6.0","9.0","17.0","14.0","35.0","49.0","21.0","20.0","33.0","31.0","37.0","34.0","27.0","42.0","40.0","51.0","74.0","38.0","9.0","26.0","87.0","106.0","101.0","83.0","49.0","108.0","207.0","433.0","814.0","274.0","236.0","825.0"
"68","50","  Law courts","W618RC1","189.0","226.0","269.0","313.0","346.0","414.0","530.0","656.0","737.0","841.0","1,006.0","1,174.0","1,272.0","1,312.0","1,424.0","1,601.0","1,777.0","1,913.0","2,193.0","2,596.0","2,940.0","3,306.0","3,953.0","4,289.0","4,822.0","4,968.0","5,562.0","6,144.0","6,110.0","6,710.0","7,319.0","7,973.0","8,725.0","8,461.0","7,327.0","7,359.0","7,854.0","8,240.0"
"69","51","  Prisons","W619RC1","94.0","127.0","117.0","148.0","176.0","283.0","309.0","331.0","377.0","411.0","450.0","456.0","449.0","501.0","522.0","598.0","557.0","777.0","849.0","1,106.0","1,334.0","1,423.0","2,110.0","2,310.0","2,695.0","2,984.0","3,380.0","3,591.0","3,637.0","3,449.0","4,110.0","4,705.0","5,122.0","5,376.0","5,367.0","5,522.0","5,617.0","5,866.0"
"70","52","Economic affairs","W620RC1","14,188.0","14,084.0","15,309.0","16,346.0","16,361.0","17,688.0","21,019.0","22,409.0","25,570.0","29,892.0","32,062.0","37,518.0","44,097.0","43,170.0","47,762.0","45,038.0","50,381.0","53,773.0","51,930.0","46,212.0","54,386.0","61,385.0","63,458.0","70,151.0","71,045.0","70,874.0","70,851.0","72,756.0","74,812.0","74,641.0","79,145.0","84,105.0","84,063.0","94,316.0","97,573.0","100,433.0","102,864.0","108,374.0"
"71","53","  Transportation","W625RC1","2,173.0","2,588.0","2,796.0","3,159.0","3,429.0","3,871.0","4,252.0","4,498.0","5,115.0","5,633.0","6,266.0","7,040.0","7,474.0","7,750.0","9,052.0","9,558.0","9,958.0","10,033.0","10,548.0","11,200.0","11,834.0","12,880.0","14,511.0","15,318.0","16,267.0","17,494.0","16,512.0","17,290.0","17,687.0","18,739.0","18,790.0","19,320.0","20,959.0","26,019.0","29,592.0","28,874.0","30,137.0","31,961.0"
"72","54","    Highways","W626RC1","93.0","151.0","116.0","176.0","180.0","245.0","285.0","300.0","269.0","275.0","294.0","311.0","342.0","307.0","262.0","324.0","282.0","313.0","378.0","348.0","316.0","420.0","492.0","507.0","1,353.0","1,486.0","1,034.0","1,036.0","1,190.0","1,223.0","1,154.0","1,222.0","1,299.0","1,483.0","1,490.0","1,650.0","1,955.0","2,007.0"
"73","55","    Air","W627RC1","1,013.0","1,293.0","1,441.0","1,548.0","1,660.0","1,812.0","1,961.0","2,114.0","2,326.0","2,469.0","2,567.0","2,901.0","3,006.0","3,000.0","3,821.0","4,043.0","4,579.0","4,915.0","5,121.0","5,510.0","6,092.0","6,579.0","7,365.0","7,932.0","8,379.0","8,807.0","8,657.0","9,101.0","9,135.0","9,603.0","9,802.0","9,782.0","10,904.0","15,670.0","18,311.0","17,206.0","17,481.0","18,691.0"
"74","56","    Water","W628RC1","1,032.0","1,091.0","1,159.0","1,293.0","1,404.0","1,679.0","1,829.0","1,906.0","2,201.0","2,468.0","2,927.0","3,329.0","3,581.0","3,913.0","4,566.0","4,773.0","4,803.0","4,578.0","4,862.0","5,171.0","5,280.0","5,756.0","6,443.0","6,499.0","6,411.0","6,606.0","6,462.0","6,602.0","6,643.0","7,329.0","7,610.0","8,056.0","8,446.0","8,354.0","9,314.0","9,539.0","10,225.0","10,790.0"
"75","57","    Transit and railroad","W629RC1","35.0","53.0","80.0","142.0","185.0","135.0","177.0","178.0","319.0","421.0","478.0","499.0","545.0","530.0","403.0","418.0","294.0","227.0","187.0","171.0","146.0","125.0","211.0","380.0","124.0","595.0","359.0","551.0","719.0","584.0","224.0","260.0","310.0","512.0","477.0","479.0","476.0","473.0"
"76","58","  Space","W631RC1","4,651.0","4,439.0","4,349.0","4,185.0","3,877.0","4,323.0","4,753.0","4,825.0","5,036.0","5,194.0","5,618.0","6,592.0","7,297.0","7,572.0","8,540.0","8,778.0","9,307.0","9,094.0","9,988.0","11,413.0","13,595.0","15,657.0","16,435.0","16,586.0","16,571.0","15,871.0","15,965.0","17,055.0","17,199.0","16,259.0","15,849.0","16,119.0","16,615.0","16,375.0","16,941.0","18,160.0","18,350.0","18,168.0"
"77","59","  Other economic affairs","W632RC1","7,364.0","7,057.0","8,164.0","9,002.0","9,055.0","9,494.0","12,014.0","13,086.0","15,419.0","19,065.0","20,178.0","23,886.0","29,326.0","27,848.0","30,170.0","26,702.0","31,116.0","34,646.0","31,394.0","23,599.0","28,957.0","32,848.0","32,512.0","38,247.0","38,207.0","37,509.0","38,374.0","38,411.0","39,926.0","39,643.0","44,506.0","48,666.0","46,489.0","51,922.0","51,040.0","53,399.0","54,377.0","58,245.0"
"78","60","    General economic and labor affairs","W621RC1","1,352.0","1,514.0","2,103.0","2,444.0","2,628.0","1,581.0","1,464.0","1,713.0","2,124.0","2,435.0","2,930.0","3,926.0","3,532.0","3,252.0","2,938.0","3,148.0","3,882.0","3,841.0","4,056.0","4,345.0","5,785.0","8,784.0","5,150.0","6,211.0","6,555.0","6,359.0","7,079.0","7,829.0","8,030.0","8,400.0","9,377.0","12,680.0","9,189.0","9,480.0","8,918.0","9,608.0","9,733.0","9,178.0"
"79","61","    Agriculture","W622RC1","2,591.0","1,612.0","1,680.0","1,504.0","1,497.0","1,567.0","2,403.0","2,380.0","2,639.0","3,116.0","3,399.0","5,391.0","5,406.0","7,573.0","9,332.0","5,674.0","9,530.0","14,279.0","9,068.0","1,592.0","5,674.0","5,118.0","6,931.0","8,127.0","7,249.0","6,619.0","6,071.0","6,078.0","7,727.0","6,737.0","8,163.0","8,264.0","9,441.0","10,312.0","9,462.0","9,383.0","9,122.0","11,561.0"
"80","62","    Energy","W623RC1","1,679.0","1,756.0","1,808.0","1,982.0","1,946.0","2,938.0","4,150.0","4,794.0","6,196.0","8,477.0","7,738.0","7,807.0","12,580.0","9,251.0","9,119.0","9,019.0","8,341.0","7,349.0","7,837.0","7,373.0","7,262.0","7,665.0","7,827.0","10,674.0","12,176.0","10,796.0","11,951.0","9,579.0","9,061.0","8,018.0","9,601.0","8,637.0","8,930.0","12,017.0","14,004.0","14,602.0","13,270.0","13,686.0"
"81","63","    Natural resources","W624RC1","1,460.0","1,896.0","2,187.0","2,479.0","2,389.0","2,762.0","3,398.0","3,404.0","3,854.0","4,376.0","5,379.0","5,930.0","6,862.0","6,783.0","7,654.0","7,345.0","7,901.0","7,635.0","8,038.0","8,306.0","8,267.0","8,767.0","9,646.0","10,129.0","9,701.0","11,196.0","10,584.0","11,577.0","11,238.0","12,277.0","12,513.0","14,549.0","14,989.0","17,348.0","16,142.0","16,772.0","18,552.0","19,773.0"
"82","64","    Postal service","W630RC1","282.0","279.0","386.0","593.0","595.0","646.0","599.0","795.0","606.0","661.0","732.0","832.0","946.0","989.0","1,127.0","1,516.0","1,462.0","1,542.0","2,395.0","1,983.0","1,969.0","2,514.0","2,958.0","3,106.0","2,526.0","2,539.0","2,689.0","3,348.0","3,870.0","4,211.0","4,852.0","4,536.0","3,940.0","2,765.0","2,514.0","3,034.0","3,700.0","4,047.0"
"83","65","Housing and community services","W633RC1","193.0","382.0","694.0","625.0","710.0","647.0","600.0","611.0","587.0","514.0","439.0","577.0","728.0","616.0","713.0","732.0","736.0","1,017.0","786.0","719.0","790.0","799.0","762.0","726.0","1,875.0","901.0","667.0","746.0","915.0","1,489.0","1,553.0","-108.0","782.0","1,055.0","1,242.0","799.0","1,496.0","1,140.0"
"84","66","Health","W634RC1","3,307.0","3,868.0","4,149.0","5,399.0","6,319.0","6,959.0","8,354.0","9,102.0","9,854.0","11,141.0","11,824.0","14,026.0","15,295.0","15,587.0","17,945.0","19,815.0","20,764.0","21,772.0","23,277.0","25,019.0","26,873.0","29,264.0","32,102.0","34,339.0","36,847.0","39,208.0","40,458.0","41,495.0","43,181.0","44,857.0","45,100.0","49,707.0","53,935.0","58,654.0","65,034.0","65,566.0","67,075.0","68,803.0"
"85","67","Recreation and culture","W635RC1","400.0","404.0","438.0","524.0","571.0","740.0","869.0","947.0","1,074.0","1,166.0","1,187.0","1,233.0","1,306.0","1,269.0","1,168.0","1,245.0","1,277.0","1,297.0","1,349.0","1,461.0","1,550.0","1,636.0","1,901.0","2,090.0","2,360.0","2,458.0","2,517.0","2,626.0","3,033.0","3,249.0","3,003.0","3,479.0","3,574.0","4,041.0","4,201.0","4,388.0","4,529.0","4,447.0"
"86","68","Education","W636RC1","720.0","897.0","985.0","981.0","1,016.0","844.0","1,084.0","1,070.0","1,146.0","1,166.0","1,282.0","1,466.0","1,660.0","1,655.0","1,871.0","2,147.0","2,058.0","2,178.0","2,311.0","2,328.0","2,536.0","2,724.0","3,084.0","3,167.0","3,418.0","3,926.0","4,280.0","4,506.0","4,544.0","4,908.0","5,406.0","5,839.0","6,653.0","7,235.0","7,288.0","7,614.0","7,769.0","6,859.0"
"87","69","  Elementary and secondary","W637RC1","34.0","22.0","84.0","96.0","88.0","221.0","286.0","307.0","327.0","302.0","332.0","399.0","354.0","353.0","380.0","435.0","356.0","351.0","447.0","429.0","497.0","564.0","574.0","437.0","527.0","514.0","477.0","485.0","446.0","611.0","726.0","627.0","595.0","848.0","1,371.0","1,523.0","1,587.0","1,447.0"
"88","70","  Higher","W638RC1","188.0","253.0","231.0","153.0","221.0","71.0","166.0","167.0","174.0","185.0","225.0","244.0","242.0","241.0","248.0","272.0","303.0","308.0","326.0","296.0","293.0","297.0","423.0","511.0","544.0","681.0","914.0","952.0","979.0","993.0","1,110.0","1,230.0","1,313.0","1,371.0","1,374.0","1,511.0","1,449.0","621.0"
"89","71","  Other","W639RC1","498.0","622.0","670.0","732.0","707.0","552.0","632.0","596.0","645.0","679.0","725.0","823.0","1,064.0","1,061.0","1,243.0","1,440.0","1,399.0","1,519.0","1,538.0","1,603.0","1,746.0","1,863.0","2,087.0","2,219.0","2,347.0","2,731.0","2,889.0","3,069.0","3,119.0","3,304.0","3,570.0","3,982.0","4,745.0","5,016.0","4,543.0","4,580.0","4,733.0","4,791.0"
"90","72","Income security","W640RC1","913.0","1,001.0","1,066.0","1,473.0","1,485.0","2,465.0","2,492.0","2,895.0","3,659.0","3,678.0","3,985.0","4,706.0","4,475.0","4,470.0","4,365.0","4,654.0","4,534.0","4,128.0","4,401.0","4,290.0","4,689.0","5,061.0","5,529.0","7,086.0","6,776.0","7,301.0","7,376.0","7,268.0","7,723.0","8,568.0","8,334.0","8,916.0","9,182.0","11,622.0","12,560.0","13,060.0","17,510.0","25,047.0"
"91","73","  Disability","W641RC1","98.0","111.0","156.0","205.0","138.0","232.0","251.0","251.0","353.0","294.0","343.0","355.0","385.0","453.0","586.0","646.0","648.0","368.0","490.0","325.0","372.0","376.0","416.0","511.0","385.0","455.0","511.0","467.0","527.0","639.0","410.0","600.0","572.0","681.0","290.0","320.0","448.0","616.0"
"92","74","  Retirement \1\","W642RC1","440.0","433.0","470.0","623.0","599.0","725.0","771.0","791.0","862.0","939.0","957.0","988.0","1,019.0","1,181.0","1,103.0","1,140.0","1,042.0","1,019.0","1,133.0","1,103.0","1,054.0","1,036.0","1,144.0","1,225.0","1,240.0","1,213.0","1,282.0","1,099.0","1,241.0","1,517.0","984.0","1,540.0","1,431.0","1,765.0","1,871.0","1,874.0","2,007.0","2,152.0"
"93","75","  Welfare and social services","W643RC1","265.0","250.0","298.0","448.0","401.0","1,040.0","1,069.0","1,431.0","1,819.0","1,892.0","2,039.0","2,452.0","2,259.0","2,098.0","1,930.0","2,072.0","2,028.0","1,959.0","2,052.0","2,052.0","2,394.0","2,783.0","2,927.0","3,259.0","3,432.0","3,262.0","3,469.0","3,378.0","3,676.0","3,975.0","4,518.0","4,384.0","4,177.0","5,994.0","6,627.0","6,816.0","8,117.0","8,188.0"
"94","76","  Unemployment","W644RC1","36.0","55.0","46.0","59.0","41.0","43.0","36.0","52.0","46.0","57.0","52.0","52.0","54.0","53.0","46.0","69.0","94.0","97.0","37.0","24.0","183.0","129.0","135.0","146.0","154.0","87.0","113.0","134.0","126.0","108.0","55.0","107.0","360.0","330.0","195.0","294.0","131.0","244.0"
"95","77","  Other","W645RC1","74.0","152.0","96.0","138.0","306.0","425.0","365.0","370.0","579.0","496.0","594.0","859.0","758.0","685.0","700.0","727.0","722.0","685.0","689.0","786.0","686.0","737.0","907.0","1,945.0","1,565.0","2,284.0","2,001.0","2,190.0","2,153.0","2,329.0","2,367.0","2,285.0","2,642.0","2,852.0","3,577.0","3,756.0","6,807.0","13,847.0"
"96","78","      State and local","A829RC1","108,150.0","120,284.0","132,783.0","143,791.0","159,206.0","183,374.0","208,684.0","223,297.0","238,658.0","262,651.0","290,172.0","322,404.0","347,299.0","369,682.0","390,529.0","422,645.0","466,140.0","510,891.0","539,856.0","577,326.0","619,160.0","674,222.0","709,529.0","740,551.0","769,822.0","811,212.0","855,253.0","893,970.0","943,475.0","995,032.0","1,076,344.0","1,154,874.0","1,234,731.0","1,302,706.0","1,356,071.0","1,408,175.0","1,493,582.0","1,586,705.0"
"97","79","General public service","W646RC1","9,787.0","10,498.0","11,622.0","13,260.0","15,446.0","18,514.0","22,581.0","24,152.0","26,726.0","28,933.0","31,150.0","34,621.0","37,012.0","39,822.0","44,127.0","47,425.0","55,484.0","67,146.0","67,151.0","70,108.0","73,565.0","78,952.0","82,341.0","88,935.0","92,643.0","96,283.0","99,108.0","102,161.0","107,808.0","117,754.0","128,032.0","136,102.0","142,628.0","155,084.0","158,350.0","163,372.0","172,867.0","181,579.0"
"98","80","  Executive and legislative","W647RC1","1,423.0","1,601.0","1,800.0","2,012.0","2,357.0","2,740.0","3,179.0","3,536.0","3,877.0","3,674.0","4,094.0","4,658.0","5,217.0","5,889.0","6,060.0","6,334.0","6,972.0","7,584.0","8,186.0","8,905.0","9,594.0","10,808.0","11,493.0","11,804.0","12,107.0","12,892.0","13,590.0","14,292.0","15,169.0","16,397.0","17,925.0","18,970.0","20,426.0","22,120.0","24,160.0","25,991.0","28,025.0","30,355.0"
"99","81","  Tax collection and financial management","W648RC1","3,086.0","3,381.0","3,415.0","3,651.0","3,833.0","4,438.0","5,506.0","5,503.0","6,315.0","6,830.0","7,055.0","7,327.0","7,643.0","8,969.0","10,955.0","11,504.0","16,684.0","24,675.0","20,571.0","21,825.0","20,837.0","21,248.0","21,942.0","24,365.0","26,035.0","26,142.0","26,528.0","25,929.0","26,844.0","28,959.0","31,629.0","31,631.0","30,922.0","34,017.0","35,784.0","36,386.0","37,561.0","36,333.0"
"100","82","  Other \3\","W649RC1","5,278.0","5,516.0","6,407.0","7,597.0","9,256.0","11,336.0","13,896.0","15,112.0","16,534.0","18,429.0","20,000.0","22,636.0","24,152.0","24,965.0","27,113.0","29,588.0","31,828.0","34,887.0","38,395.0","39,378.0","43,134.0","46,896.0","48,906.0","52,766.0","54,501.0","57,249.0","58,990.0","61,940.0","65,795.0","72,398.0","78,478.0","85,501.0","91,280.0","98,947.0","98,406.0","100,995.0","107,280.0","114,892.0"
"101","83","Public order and safety","W650RC1","9,533.0","10,829.0","12,372.0","13,758.0","15,422.0","17,577.0","20,114.0","22,125.0","24,244.0","27,860.0","30,950.0","34,695.0","38,998.0","43,717.0","47,405.0","51,432.0","57,138.0","62,577.0","67,541.0","73,930.0","81,842.0","90,732.0","97,642.0","103,728.0","110,013.0","118,530.0","127,090.0","134,620.0","142,244.0","150,866.0","163,256.0","174,219.0","187,154.0","197,522.0","203,783.0","212,320.0","225,876.0","239,087.0"
"102","84","  Police","W651RC1","4,629.0","5,204.0","5,959.0","6,639.0","7,446.0","8,429.0","9,597.0","10,439.0","11,428.0","12,772.0","13,994.0","15,437.0","17,243.0","19,042.0","20,317.0","21,709.0","23,873.0","25,725.0","27,115.0","29,121.0","31,453.0","34,291.0","36,983.0","39,363.0","41,185.0","44,115.0","47,729.0","50,857.0","53,482.0","56,400.0","60,676.0","63,766.0","68,779.0","73,293.0","76,555.0","79,836.0","85,171.0","89,949.0"
"103","85","  Fire","W652RC1","2,092.0","2,391.0","2,708.0","2,930.0","3,201.0","3,608.0","4,098.0","4,499.0","4,825.0","5,454.0","5,977.0","6,606.0","7,402.0","8,174.0","8,774.0","9,389.0","10,261.0","11,275.0","12,077.0","12,634.0","13,751.0","14,774.0","15,576.0","16,854.0","17,298.0","18,268.0","19,045.0","20,124.0","20,950.0","21,987.0","23,726.0","25,529.0","26,893.0","29,041.0","30,532.0","32,418.0","35,510.0","37,987.0"
"104","86","  Law courts","W653RC1","1,266.0","1,447.0","1,640.0","1,833.0","2,123.0","2,375.0","2,665.0","2,887.0","3,133.0","4,243.0","4,846.0","5,585.0","6,247.0","6,986.0","7,436.0","7,921.0","8,520.0","9,159.0","9,789.0","11,242.0","12,678.0","14,152.0","15,303.0","16,243.0","18,443.0","19,762.0","21,134.0","22,388.0","23,883.0","25,732.0","28,006.0","30,167.0","32,858.0","34,719.0","35,540.0","36,824.0","38,749.0","40,569.0"
"105","87","  Prisons","W654RC1","1,547.0","1,788.0","2,064.0","2,356.0","2,652.0","3,164.0","3,754.0","4,300.0","4,858.0","5,391.0","6,133.0","7,067.0","8,107.0","9,515.0","10,878.0","12,413.0","14,484.0","16,418.0","18,560.0","20,933.0","23,960.0","27,515.0","29,780.0","31,268.0","33,087.0","36,385.0","39,182.0","41,251.0","43,929.0","46,747.0","50,848.0","54,757.0","58,624.0","60,469.0","61,156.0","63,242.0","66,445.0","70,583.0"
"106","88","Economic affairs","W655RC1","25,310.0","27,415.0","29,224.0","30,502.0","32,519.0","38,430.0","42,154.0","43,112.0","44,772.0","50,470.0","57,417.0","64,178.0","69,501.0","72,437.0","75,390.0","81,075.0","88,680.0","94,427.0","98,228.0","102,882.0","106,505.0","115,621.0","119,668.0","123,541.0","129,271.0","136,059.0","140,483.0","145,188.0","153,997.0","160,326.0","174,918.0","189,964.0","205,278.0","214,356.0","220,990.0","227,518.0","240,087.0","256,200.0"
"107","89","  Transportation","W660RC1","20,326.0","22,009.0","23,430.0","24,252.0","25,726.0","30,441.0","33,424.0","33,343.0","34,128.0","37,824.0","43,352.0","48,578.0","51,966.0","54,324.0","56,917.0","62,148.0","67,241.0","72,119.0","75,797.0","79,726.0","82,224.0","89,678.0","92,808.0","95,153.0","100,196.0","106,231.0","109,476.0","113,849.0","121,328.0","126,917.0","138,265.0","150,034.0","161,878.0","168,263.0","172,852.0","178,422.0","188,563.0","200,977.0"
"108","90","    Highways","W661RC1","18,837.0","20,530.0","22,156.0","22,598.0","23,931.0","28,197.0","31,039.0","30,804.0","31,687.0","35,045.0","39,953.0","44,157.0","47,155.0","49,103.0","51,158.0","56,088.0","60,957.0","65,291.0","68,561.0","72,178.0","73,667.0","79,852.0","82,507.0","84,385.0","88,187.0","93,954.0","97,476.0","101,328.0","107,913.0","112,878.0","122,296.0","130,620.0","141,040.0","144,160.0","146,825.0","152,956.0","164,583.0","180,324.0"
"109","91","    Air","W662RC1","550.0","646.0","547.0","586.0","593.0","763.0","727.0","645.0","621.0","814.0","1,096.0","1,376.0","1,319.0","1,302.0","1,500.0","1,686.0","1,825.0","2,173.0","2,475.0","2,606.0","2,898.0","3,430.0","3,872.0","4,484.0","4,836.0","4,061.0","3,346.0","3,816.0","4,530.0","5,146.0","5,919.0","7,131.0","7,843.0","8,292.0","8,499.0","8,932.0","8,596.0","7,299.0"
"110","92","    Water","W663RC1","275.0","252.0","194.0","214.0","237.0","272.0","349.0","335.0","303.0","419.0","562.0","731.0","732.0","665.0","629.0","613.0","727.0","761.0","754.0","810.0","844.0","883.0","786.0","746.0","964.0","982.0","1,030.0","1,172.0","1,168.0","1,221.0","1,351.0","2,838.0","2,886.0","2,542.0","2,477.0","1,586.0","1,564.0","1,548.0"
"111","93","    Transit and railroad","W664RC1","664.0","581.0","533.0","854.0","965.0","1,209.0","1,309.0","1,559.0","1,517.0","1,546.0","1,741.0","2,314.0","2,760.0","3,254.0","3,630.0","3,761.0","3,732.0","3,894.0","4,007.0","4,132.0","4,815.0","5,513.0","5,643.0","5,538.0","6,209.0","7,234.0","7,624.0","7,533.0","7,717.0","7,672.0","8,699.0","9,445.0","10,109.0","13,269.0","15,051.0","14,948.0","13,821.0","11,806.0"
"112","94","  Other economic affairs","W665RC1","4,984.0","5,406.0","5,794.0","6,250.0","6,793.0","7,989.0","8,730.0","9,770.0","10,644.0","12,646.0","14,065.0","15,600.0","17,535.0","18,113.0","18,473.0","18,928.0","21,438.0","22,307.0","22,431.0","23,156.0","24,281.0","25,944.0","26,860.0","28,387.0","29,075.0","29,828.0","31,007.0","31,339.0","32,669.0","33,409.0","36,653.0","39,930.0","43,400.0","46,094.0","48,137.0","49,096.0","51,524.0","55,223.0"
"113","95","    General economic and labor affairs","W656RC1","1,603.0","1,840.0","2,112.0","2,361.0","2,562.0","2,851.0","3,240.0","3,539.0","3,911.0","4,414.0","4,874.0","5,402.0","5,782.0","6,061.0","6,000.0","6,219.0","6,622.0","7,213.0","7,976.0","8,267.0","9,114.0","9,919.0","10,405.0","11,308.0","11,660.0","11,994.0","12,231.0","12,543.0","13,044.0","13,577.0","14,552.0","15,349.0","17,543.0","18,985.0","18,413.0","18,750.0","19,782.0","20,482.0"
"114","96","    Agriculture","W657RC1","765.0","853.0","936.0","977.0","1,052.0","1,179.0","1,356.0","1,443.0","1,466.0","1,530.0","1,671.0","1,892.0","2,081.0","2,258.0","2,465.0","2,641.0","2,856.0","3,048.0","3,152.0","3,272.0","3,526.0","3,830.0","3,945.0","4,021.0","4,090.0","4,139.0","4,224.0","4,353.0","4,564.0","4,824.0","5,504.0","6,104.0","6,266.0","6,289.0","6,247.0","6,199.0","6,169.0","6,176.0"
"115","97","    Energy","W658RC1","1,039.0","1,116.0","1,175.0","1,286.0","1,410.0","1,788.0","1,685.0","2,249.0","2,734.0","3,977.0","4,339.0","4,630.0","5,684.0","5,403.0","5,272.0","4,887.0","6,186.0","5,775.0","4,696.0","4,619.0","4,070.0","4,168.0","4,168.0","4,530.0","4,608.0","4,052.0","4,022.0","3,547.0","3,810.0","3,329.0","4,113.0","4,753.0","4,989.0","5,541.0","7,897.0","7,143.0","7,902.0","9,541.0"
"116","98","    Natural resources","W659RC1","1,489.0","1,530.0","1,524.0","1,545.0","1,664.0","2,015.0","2,284.0","2,396.0","2,418.0","2,595.0","3,048.0","3,524.0","3,838.0","4,209.0","4,556.0","4,958.0","5,486.0","5,933.0","6,262.0","6,656.0","7,243.0","7,696.0","8,000.0","8,255.0","8,582.0","9,496.0","10,260.0","10,629.0","11,011.0","11,345.0","12,123.0","13,369.0","14,171.0","14,855.0","15,187.0","16,541.0","17,141.0","18,524.0"
"117","99","    Other","W686RC1","88.0","68.0","47.0","81.0","104.0","157.0","166.0","143.0","115.0","130.0","133.0","152.0","150.0","183.0","180.0","223.0","289.0","338.0","345.0","342.0","328.0","331.0","342.0","273.0","135.0","147.0","270.0","267.0","240.0","334.0","361.0","355.0","431.0","424.0","393.0","463.0","529.0","500.0"
"118","100","Housing and community services","W666RC1","4,911.0","5,135.0","5,504.0","5,572.0","6,274.0","7,679.0","8,891.0","9,370.0","9,279.0","11,325.0","12,662.0","15,146.0","14,921.0","14,714.0","14,024.0","15,670.0","17,071.0","19,056.0","21,306.0","22,420.0","23,306.0","25,597.0","26,659.0","26,929.0","25,570.0","25,257.0","26,560.0","28,776.0","30,087.0","30,044.0","32,135.0","32,625.0","36,416.0","40,043.0","42,078.0","44,208.0","46,893.0","55,131.0"
"119","101","  Water","W667RC1","1,431.0","1,188.0","1,110.0","1,217.0","1,226.0","1,555.0","2,136.0","2,106.0","1,890.0","2,484.0","2,840.0","3,567.0","3,406.0","3,578.0","3,187.0","3,827.0","4,490.0","5,384.0","6,052.0","6,041.0","6,307.0","7,082.0","7,352.0","6,758.0","6,320.0","6,723.0","6,933.0","7,846.0","8,595.0","9,041.0","10,013.0","10,123.0","11,375.0","12,527.0","12,983.0","13,926.0","14,675.0","18,815.0"
"120","102","  Sewerage","W668RC1","1,374.0","1,576.0","1,874.0","2,050.0","2,491.0","3,464.0","3,730.0","4,249.0","4,064.0","5,135.0","5,580.0","6,618.0","5,823.0","5,521.0","4,966.0","5,804.0","5,947.0","6,619.0","7,808.0","8,053.0","7,872.0","8,488.0","8,787.0","9,288.0","8,522.0","7,681.0","8,217.0","8,980.0","9,052.0","8,678.0","9,159.0","8,911.0","10,229.0","11,779.0","12,450.0","13,490.0","14,573.0","19,518.0"
"121","103","  Sanitation","W669RC1","1,009.0","1,145.0","1,263.0","1,341.0","1,513.0","1,664.0","1,811.0","1,918.0","2,007.0","2,391.0","2,536.0","2,892.0","3,150.0","3,195.0","3,181.0","3,396.0","3,739.0","4,060.0","4,333.0","5,122.0","5,817.0","6,299.0","6,593.0","6,573.0","6,664.0","7,157.0","6,993.0","7,291.0","7,466.0","7,322.0","7,814.0","8,547.0","9,136.0","9,316.0","9,643.0","9,906.0","10,733.0","11,215.0"
"122","104","  Housing and other","W670RC1","1,097.0","1,225.0","1,256.0","964.0","1,045.0","996.0","1,215.0","1,096.0","1,317.0","1,315.0","1,706.0","2,069.0","2,542.0","2,420.0","2,690.0","2,643.0","2,895.0","2,993.0","3,114.0","3,204.0","3,310.0","3,728.0","3,927.0","4,310.0","4,064.0","3,696.0","4,417.0","4,659.0","4,974.0","5,003.0","5,149.0","5,044.0","5,676.0","6,421.0","7,002.0","6,886.0","6,912.0","5,584.0"
"123","105","Health","W671RC1","6,463.0","7,468.0","8,588.0","8,924.0","9,666.0","11,449.0","12,656.0","13,117.0","14,410.0","15,348.0","16,310.0","18,585.0","19,570.0","20,261.0","19,672.0","20,923.0","22,701.0","23,601.0","25,421.0","27,744.0","29,675.0","32,588.0","33,119.0","32,307.0","31,129.0","31,189.0","30,636.0","30,481.0","29,317.0","29,901.0","35,091.0","36,343.0","35,757.0","41,798.0","44,376.0","47,219.0","58,098.0","58,766.0"
"124","106","Recreation and culture","W672RC1","1,774.0","1,995.0","2,191.0","2,311.0","2,636.0","3,183.0","3,877.0","4,031.0","4,171.0","4,797.0","5,307.0","5,805.0","6,181.0","6,706.0","7,128.0","7,655.0","8,623.0","9,405.0","9,905.0","10,626.0","11,743.0","13,118.0","13,691.0","14,049.0","14,223.0","15,055.0","16,265.0","17,434.0","18,542.0","19,485.0","20,904.0","23,328.0","25,543.0","27,153.0","26,975.0","27,859.0","29,982.0","31,198.0"
"125","107","Education","W673RC1","47,879.0","53,918.0","59,672.0","65,180.0","72,160.0","80,653.0","91,705.0","99,801.0","106,567.0","114,614.0","126,145.0","138,208.0","148,834.0","158,963.0","167,811.0","182,277.0","198,790.0","215,806.0","230,267.0","247,842.0","268,438.0","290,570.0","306,844.0","319,060.0","332,862.0","351,452.0","375,751.0","394,774.0","418,162.0","439,844.0","471,227.0","507,354.0","541,367.0","560,838.0","592,876.0","619,590.0","652,329.0","695,254.0"
