"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"52","33","          Software \4\","B985RC1","1,516.0","1,679.0","1,885.0","2,080.0","2,257.0","2,369.0","2,366.0","2,292.0","2,245.0","2,342.0","2,451.0","2,602.0","2,683.0","2,759.0","2,840.0","2,831.0","2,979.0","3,130.0","3,294.0","3,478.0","3,578.0","3,695.0","4,001.0","4,374.0","4,803.0","4,827.0","4,749.0","4,741.0","4,818.0","5,088.0","5,330.0","5,580.0","5,454.0","5,483.0","5,454.0","5,512.0","5,726.0","6,103.0","6,520.0","7,032.0","7,452.0","7,906.0","8,351.0","8,831.0","9,142.0","9,544.0","10,055.0","10,603.0","11,087.0","11,485.0","12,038.0","12,770.0","13,739.0","14,136.0","14,193.0","14,091.0","14,828.0","15,770.0","17,018.0","17,920.0","18,726.0","19,658.0","20,872.0","22,192.0","23,002.0","23,742.0","23,850.0","24,453.0","24,755.0","25,488.0","25,821.0","26,393.0","27,307.0","28,403.0","29,579.0","30,690.0","31,949.0","33,346.0","34,902.0","36,515.0","38,445.0","40,710.0","43,158.0","45,164.0","46,331.0","47,559.0","46,978.0","49,660.0","51,999.0","53,318.0","54,040.0","55,522.0","55,652.0","56,931.0","58,356.0","60,482.0","62,500.0","63,671.0","65,050.0","65,875.0","66,800.0","67,710.0","68,828.0","69,710.0","71,038.0","73,329.0","75,794.0","78,379.0","80,997.0","83,675.0","86,495.0","90,728.0","99,544.0","104,523.0","110,069.0","115,796.0","118,546.0","122,250.0","128,105.0","135,071.0","142,821.0","154,028.0","163,396.0","169,083.0","176,293.0","183,119.0","186,223.0","192,185.0","192,984.0","189,342.0","184,662.0","179,372.0","180,319.0","182,761.0","187,109.0","181,983.0","184,378.0","186,247.0","195,083.0","199,380.0","201,126.0","201,770.0","208,018.0","211,810.0","213,500.0","218,847.0","219,716.0","219,953.0","223,319.0","227,515.0","232,073.0","236,233.0","242,758.0","243,282.0","245,275.0","248,709.0","257,711.0","260,224.0","261,940.0","259,105.0","253,649.0","257,741.0","260,046.0","269,420.0","274,662.0","279,165.0"
"53","34","          Other","A937RC1","9,419.0","10,084.0","10,778.0","11,243.0","11,324.0","11,672.0","11,564.0","11,818.0","11,656.0","12,164.0","12,231.0","12,554.0","12,711.0","12,862.0","13,160.0","14,077.0","15,158.0","15,935.0","16,666.0","17,522.0","18,111.0","18,746.0","19,458.0","20,492.0","20,199.0","20,091.0","20,201.0","20,185.0","20,928.0","22,134.0","23,815.0","25,562.0","26,163.0","27,465.0","28,430.0","30,039.0","31,697.0","34,331.0","35,890.0","37,195.0","38,790.0","38,980.0","40,596.0","42,379.0","45,313.0","45,325.0","47,140.0","47,868.0","50,035.0","52,119.0","53,637.0","54,171.0","55,685.0","55,275.0","55,825.0","54,605.0","55,970.0","58,305.0","59,120.0","65,775.0","65,641.0","69,427.0","70,341.0","72,863.0","72,537.0","72,607.0","72,427.0","73,840.0","74,581.0","76,631.0","78,124.0","81,614.0","75,345.0","75,464.0","77,696.0","77,214.0","80,306.0","83,188.0","83,370.0","84,336.0","85,430.0","87,281.0","88,866.0","88,921.0","91,162.0","90,572.0","91,069.0","90,890.0","89,261.0","91,252.0","92,913.0","92,573.0","94,361.0","95,870.0","101,343.0","100,641.0","101,121.0","102,936.0","107,814.0","109,701.0","111,921.0","113,298.0","115,256.0","117,826.0","122,192.0","123,299.0","120,894.0","122,645.0","127,995.0","130,702.0","134,193.0","134,608.0","135,392.0","138,312.0","145,560.0","146,414.0","150,849.0","151,672.0","151,126.0","155,226.0","156,271.0","162,282.0","166,652.0","164,905.0","181,895.0","188,623.0","192,593.0","199,358.0","191,682.0","179,753.0","173,901.0","168,158.0","159,278.0","158,462.0","157,340.0","152,964.0","156,197.0","158,226.0","164,384.0","169,150.0","168,180.0","171,344.0","169,771.0","168,375.0","175,367.0","176,315.0","181,558.0","180,265.0","191,406.0","188,941.0","191,369.0","190,524.0","200,568.0","204,189.0","203,491.0","210,005.0","206,615.0","208,125.0","202,089.0","189,428.0","182,783.0","184,782.0","194,725.0","199,460.0","202,773.0","206,084.0"
"54","35","        Industrial equipment","A680RC1","18,349.0","18,799.0","19,511.0","19,545.0","20,296.0","20,281.0","20,523.0","20,035.0","19,235.0","19,126.0","19,401.0","20,072.0","20,009.0","21,019.0","21,930.0","22,681.0","23,671.0","25,444.0","26,661.0","28,318.0","29,323.0","30,405.0","31,232.0","31,674.0","30,544.0","30,935.0","31,726.0","32,110.0","33,291.0","33,805.0","34,262.0","35,124.0","36,848.0","37,775.0","40,415.0","42,733.0","44,284.0","46,855.0","49,293.0","50,488.0","54,135.0","54,875.0","56,195.0","59,415.0","60,259.0","59,837.0","60,107.0","62,765.0","63,986.0","65,062.0","66,247.0","66,645.0","64,590.0","63,914.0","62,375.0","59,799.0","56,892.0","57,264.0","59,828.0","61,535.0","65,361.0","67,301.0","68,943.0","70,949.0","70,446.0","72,612.0","71,896.0","74,919.0","74,659.0","74,397.0","76,304.0","76,301.0","75,889.0","75,644.0","77,336.0","77,977.0","79,058.0","83,443.0","86,210.0","88,016.0","91,709.0","92,828.0","95,235.0","93,529.0","94,326.0","90,976.0","92,417.0","90,852.0","90,594.0","88,940.0","89,238.0","88,484.0","88,758.0","91,020.0","94,282.0","97,784.0","98,896.0","99,970.0","101,685.0","108,375.0","109,448.0","110,993.0","114,864.0","119,171.0","125,276.0","129,099.0","130,964.0","130,502.0","134,310.0","137,112.0","136,303.0","138,358.0","137,861.0","140,475.0","141,406.0","141,931.0","149,316.0","148,249.0","145,543.0","146,315.0","146,403.0","148,352.0","150,518.0","151,231.0","158,626.0","163,002.0","166,242.0","163,774.0","164,713.0","153,332.0","146,776.0","142,696.0","143,609.0","139,871.0","142,039.0","141,411.0","140,921.0","146,599.0","143,130.0","139,590.0","134,918.0","139,355.0","144,810.0","149,039.0","154,292.0","154,154.0","161,193.0","168,931.0","167,966.0","180,654.0","181,388.0","183,671.0","182,724.0","197,763.0","199,651.0","191,939.0","195,314.0","197,231.0","196,495.0","185,667.0","157,097.0","150,832.0","147,070.0","146,408.0","146,815.0","163,028.0"
"55","36","        Transportation equipment","A681RC1","19,393.0","19,136.0","18,969.0","18,058.0","16,758.0","16,535.0","17,081.0","14,603.0","17,653.0","18,280.0","18,169.0","19,549.0","20,961.0","21,248.0","21,023.0","24,165.0","25,197.0","26,928.0","27,079.0","27,036.0","26,758.0","26,786.0","27,409.0","24,164.0","23,963.0","23,856.0","25,849.0","27,003.0","28,346.0","29,007.0","30,168.0","32,435.0","36,855.0","38,357.0","39,283.0","42,613.0","43,087.0","48,364.0","48,262.0","49,574.0","54,114.0","52,482.0","55,354.0","52,606.0","51,703.0","45,633.0","48,128.0","48,075.0","50,469.0","49,995.0","51,999.0","49,761.0","49,515.0","46,818.0","43,885.0","47,066.0","47,193.0","49,349.0","54,767.0","62,734.0","60,397.0","64,428.0","66,083.0","66,724.0","66,421.0","68,924.0","70,504.0","69,967.0","67,352.0","70,913.0","72,222.0","71,392.0","65,569.0","71,215.0","69,966.0","65,511.0","71,850.0","72,439.0","71,507.0","75,647.0","68,936.0","68,895.0","69,437.0","64,402.0","68,716.0","65,852.0","73,212.0","72,055.0","72,990.0","70,311.0","72,862.0","69,958.0","66,806.0","78,142.0","72,759.0","81,151.0","80,893.0","92,476.0","85,913.0","98,421.0","105,236.0","102,381.0","105,123.0","118,190.0","124,621.0","112,902.0","111,602.0","115,187.0","113,497.0","118,270.0","130,372.0","130,466.0","130,812.0","134,373.0","143,075.0","133,864.0","135,113.0","140,659.0","148,544.0","164,270.0","167,654.0","173,103.0","181,469.0","175,212.0","174,631.0","177,049.0","170,855.0","160,605.0","154,068.0","154,947.0","151,080.0","156,771.0","150,005.0","142,641.0","138,214.0","135,404.0","122,225.0","130,952.0","136,062.0","142,334.0","141,224.0","156,552.0","167,374.0","179,317.0","174,819.0","181,135.0","188,148.0","182,762.0","203,782.0","195,536.0","195,347.0","198,175.0","199,026.0","188,831.0","186,187.0","186,632.0","184,853.0","161,337.0","141,629.0","100,918.0","70,912.0","79,755.0","75,993.0","78,759.0","96,986.0","107,953.0"
"56","37","        Other equipment","A862RC1","14,433.0","14,264.0","14,300.0","14,608.0","14,910.0","15,310.0","16,064.0","15,982.0","15,827.0","16,326.0","16,546.0","16,347.0","17,483.0","18,370.0","19,326.0","20,626.0","22,351.0","22,924.0","23,046.0","22,155.0","22,385.0","23,251.0","24,560.0","27,038.0","25,723.0","27,164.0","27,477.0","29,089.0","28,784.0","28,978.0","30,342.0","30,376.0","33,924.0","35,415.0","36,730.0","38,953.0","39,271.0","42,789.0","44,076.0","46,826.0","47,091.0","48,022.0","49,561.0","46,974.0","51,399.0","46,436.0","46,389.0","49,078.0","52,073.0","55,283.0","57,476.0","55,938.0","52,233.0","51,309.0","51,869.0","49,200.0","45,724.0","49,369.0","50,930.0","55,555.0","56,518.0","57,668.0","59,033.0","59,387.0","59,895.0","60,356.0","58,861.0","60,479.0","60,523.0","61,235.0","59,625.0","61,265.0","60,835.0","62,779.0","65,753.0","66,439.0","67,780.0","68,033.0","69,477.0","70,782.0","76,284.0","78,879.0","83,236.0","82,402.0","81,254.0","79,718.0","80,372.0","79,551.0","72,096.0","71,135.0","69,996.0","69,979.0","69,986.0","70,003.0","73,309.0","74,523.0","77,980.0","79,412.0","80,334.0","82,895.0","85,121.0","87,333.0","88,882.0","90,935.0","94,106.0","94,255.0","94,342.0","96,185.0","97,747.0","99,312.0","102,626.0","104,192.0","106,911.0","108,814.0","115,508.0","117,226.0","122,718.0","126,653.0","126,783.0","125,472.0","130,246.0","128,543.0","130,002.0","132,735.0","136,703.0","140,387.0","138,504.0","138,790.0","141,576.0","138,044.0","140,820.0","137,528.0","135,947.0","140,510.0","140,839.0","141,127.0","143,328.0","144,142.0","150,296.0","152,053.0","149,885.0","155,152.0","161,041.0","165,622.0","170,874.0","180,115.0","181,505.0","183,279.0","189,998.0","189,991.0","188,223.0","190,963.0","186,975.0","193,875.0","194,428.0","195,839.0","191,270.0","191,793.0","197,563.0","187,690.0","168,297.0","154,371.0","150,455.0","148,574.0","157,733.0","161,493.0"
"57","38","    Residential","A011RC1","43,226.0","43,396.0","43,207.0","40,652.0","40,699.0","39,399.0","40,380.0","44,982.0","48,610.0","54,582.0","58,335.0","61,529.0","66,591.0","68,228.0","69,555.0","74,286.0","77,852.0","75,752.0","75,041.0","72,739.0","68,955.0","67,494.0","67,357.0","60,042.0","57,686.0","59,908.0","64,649.0","68,677.0","76,156.0","80,654.0","80,617.0","92,505.0","97,571.0","111,684.0","115,017.0","116,917.0","120,964.0","130,583.0","135,847.0","139,002.0","138,501.0","140,631.0","143,457.0","141,383.0","133,961.0","111,744.0","116,268.0","130,791.0","131,308.0","128,869.0","120,422.0","109,646.0","104,791.0","102,946.0","103,456.0","111,527.0","131,153.0","147,046.0","162,416.0","170,798.0","176,639.0","181,373.0","181,377.0","182,951.0","183,299.0","185,148.0","188,763.0","195,479.0","206,268.0","219,801.0","226,067.0","228,318.0","230,137.0","232,925.0","234,218.0","237,463.0","234,402.0","238,394.0","240,024.0","244,406.0","244,578.0","240,221.0","238,415.0","234,827.0","239,185.0","230,917.0","218,806.0","207,016.0","195,231.0","200,722.0","210,318.0","214,174.0","224,358.0","235,092.0","237,301.0","248,581.0","252,571.0","257,929.0","269,264.0","284,093.0","293,511.0","305,003.0","304,949.0","304,911.0","301,800.0","293,471.0","303,781.0","312,367.0","321,768.0","336,904.0","339,702.0","337,862.0","340,731.0","346,693.0","351,277.0","357,508.0","364,881.0","378,391.0","393,622.0","406,818.0","413,277.0","422,291.0","429,441.0","438,148.0","449,227.0","450,480.0","446,044.0","450,159.0","458,268.0","470,389.0","480,865.0","480,070.0","491,855.0","506,585.0","511,463.0","528,075.0","545,164.0","557,863.0","590,105.0","617,430.0","637,587.0","675,596.0","696,593.0","712,648.0","734,819.0","764,476.0","792,649.0","807,855.0","813,336.0","784,440.0","741,676.0","708,109.0","680,736.0","657,183.0","613,335.0","563,287.0","517,115.0","496,634.0","462,545.0","413,676.0","367,033.0","342,230.0","348,014.0","350,977.0","340,171.0","358,457.0"
"58","39","  Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,348.0","15,672.0","-7,001.0","-12,736.0","27,977.0","16,510.0","1,015.0","63,094.0","17,001.0","19,680.0","18,175.0","19,073.0","48,171.0","36,042.0","9,955.0","16,605.0","13,925.0","33,713.0","21,876.0","-11,330.0","-15,528.0","-18,026.0","845.0","31,131.0","244.0","23,197.0","20,508.0","21,362.0","35,929.0","24,106.0","6,596.0","16,622.0","45,333.0","81,414.0","53,209.0","75,183.0","61,149.0","33,733.0","11,297.0","18,450.0","6,850.0","30,468.0","51,108.0","34,641.0","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-13,723.0","-23,283.0","-29,426.0","-98,028.0","-141,854.0","-179,543.0","-143,279.0","-44,215.0","49,985.0","85,915.0"
"59","40","    Farm","B018RC1","1,753.0","1,378.0","-1,166.0","-1,893.0","1,607.0","377.0","-1,849.0","-3,488.0","2,530.0","4,155.0","2,268.0","-2,311.0","-457.0","2,042.0","991.0","-1,417.0","-4,230.0","4,986.0","2,569.0","2,781.0","-3,337.0","1,032.0","-98.0","-8,722.0","7,096.0","3,118.0","768.0","2,460.0","-503.0","-1,840.0","2,027.0","-3,034.0","-1,310.0","5,313.0","4,372.0","9,757.0","-599.0","373.0","7,194.0","-1,485.0","4,232.0","3,129.0","6,627.0","285.0","-601.0","-5,230.0","-12,495.0","-6,130.0","6,823.0","9,865.0","11,824.0","6,527.0","5,054.0","4,330.0","9,018.0","4,616.0","-7,308.0","-12,952.0","-32,384.0","-8,776.0","5,502.0","5,573.0","6,822.0","5,015.0","7,898.0","4,214.0","6,563.0","4,343.0","2,540.0","-3,460.0","-3,109.0","-1,772.0","-7,651.0","-10,722.0","-3,973.0","-3,326.0","-4,403.0","-12,184.0","-11,241.0","-19,680.0","7,221.0","2,874.0","-5,523.0","-4,627.0","1,803.0","-1,542.0","4,015.0","5,242.0","42.0","-690.0","-10,860.0","6,407.0","8,019.0","9,411.0","5,127.0","2,491.0","-5,621.0","-4,863.0","-12,512.0","-1,709.0","16,533.0","17,141.0","10,744.0","3,716.0","-5,838.0","-13,653.0","-20,367.0","-4,394.0","1,066.0","11,848.0","17,106.0","4,472.0","-521.0","783.0","8,335.0","4,724.0","5,597.0","-4,938.0","557.0","3,850.0","4,032.0","-255.0","-9,052.0","-5,646.0","-17,838.0","5,902.0","-1,119.0","7,461.0","5,580.0","-3,031.0","1,830.0","-4,233.0","3,321.0","-10,319.0","-2,290.0","-702.0","2,851.0","-1,376.0","997.0","-2,104.0","4,448.0","18,422.0","7,697.0","4,662.0","-6,534.0","338.0","4,380.0","2,283.0","3,656.0","-8,144.0","-6,304.0","-3,620.0","5,244.0","-4,979.0","-2,266.0","-824.0","-7,318.0","5,015.0","2,305.0","6,516.0","2,393.0","6,605.0","-695.0","7,056.0","9,309.0","11,839.0"
"60","41","    Nonfarm","A015RC1","9,736.0","7,844.0","11,360.0","7,680.0","216.0","4,704.0","6,932.0","-496.0","9,724.0","6,720.0","7,920.0","2,016.0","3,684.0","9,956.0","12,724.0","8,908.0","14,780.0","13,220.0","7,192.0","22,212.0","15,856.0","16,384.0","5,676.0","29,168.0","-17,124.0","-17,072.0","-2,156.0","-2,112.0","15,196.0","24,288.0","18,780.0","13,552.0","16,132.0","14,156.0","26,512.0","14,364.0","26,052.0","23,884.0","17,772.0","29,972.0","19,620.0","24,272.0","5,504.0","8,268.0","10,500.0","12,980.0","-21,360.0","-2,988.0","31,932.0","1,848.0","32,136.0","18,280.0","-26,520.0","-8,496.0","-3,220.0","-44,436.0","-27,752.0","5,280.0","28,180.0","32,708.0","67,480.0","63,748.0","64,516.0","42,964.0","8,332.0","17,432.0","9,740.0","28,776.0","27,808.0","19,132.0","-3,892.0","-10,964.0","35,628.0","27,232.0","4,988.0","66,420.0","21,404.0","31,864.0","29,416.0","38,753.0","40,950.0","33,168.0","15,478.0","21,232.0","12,122.0","35,255.0","17,861.0","-16,572.0","-15,570.0","-17,336.0","11,705.0","24,724.0","-7,775.0","13,786.0","15,381.0","18,871.0","41,550.0","28,969.0","19,108.0","18,331.0","28,800.0","64,273.0","42,465.0","71,467.0","66,987.0","47,386.0","31,664.0","22,844.0","5,784.0","18,620.0","34,002.0","30,169.0","50,349.0","87,628.0","59,648.0","73,051.0","99,478.0","42,246.0","51,891.0","56,197.0","79,285.0","35,308.0","49,617.0","89,974.0","33,897.0","84,500.0","58,361.0","47,012.0","-36,245.0","-8,565.0","-31,921.0","-76,551.0","-16,687.0","23,538.0","20,572.0","30,670.0","25,793.0","-1,748.0","3,188.0","37,899.0","46,940.0","57,601.0","53,071.0","66,801.0","97,246.0","15,538.0","6,660.0","79,899.0","62,306.0","80,567.0","75,408.0","35,951.0","11,777.0","52,492.0","41,645.0","13,401.0","-6,405.0","-28,298.0","-31,731.0","-104,544.0","-144,247.0","-186,148.0","-142,584.0","-51,271.0","40,676.0","74,076.0"
"61","42","Net exports of goods and services","A019RC1","171.0","1,244.0","976.0","3,333.0","3,396.0","5,385.0","3,843.0","3,169.0","4,422.0","-192.0","-89.0","-1,657.0","-3,534.0","-4,257.0","-2,638.0","-3,061.0","-1,401.0","2,454.0","6,438.0","8,951.0","6,395.0","-2,714.0","-6,972.0","33.0","16,481.0","21,582.0","12,043.0","13,801.0","4,650.0","-495.0","-4,073.0","-6,603.0","-21,079.0","-21,135.0","-20,578.0","-29,584.0","-38,683.0","-22,624.0","-23,760.0","-16,401.0","-18,157.0","-22,190.0","-23,028.0","-26,800.0","-35,804.0","-15,209.0","5,471.0","-6,683.0","-14,263.0","-13,515.0","-7,566.0","-14,760.0","-16,282.0","-4,393.0","-29,654.0","-29,592.0","-24,555.0","-45,441.0","-65,207.0","-71,388.0","-95,013.0","-104,307.0","-103,854.0","-107,763.0","-91,903.0","-115,443.0","-118,606.0","-134,882.0","-127,441.0","-129,794.0","-139,278.0","-133,623.0","-141,024.0","-147,349.0","-145,738.0","-145,688.0","-124,362.0","-107,163.0","-100,188.0","-108,726.0","-102,146.0","-89,540.0","-76,269.0","-83,605.0","-89,164.0","-68,364.0","-74,392.0","-78,501.0","-45,592.0","-21,577.0","-19,507.0","-21,162.0","-18,502.0","-31,056.0","-36,451.0","-45,318.0","-54,323.0","-62,003.0","-67,869.0","-73,359.0","-80,661.0","-91,274.0","-96,676.0","-102,295.0","-106,206.0","-110,602.0","-75,374.0","-70,586.0","-89,113.0","-93,761.0","-114,047.0","-88,280.0","-108,084.0","-84,651.0","-96,220.0","-116,465.0","-134,481.0","-161,789.0","-173,902.0","-177,143.0","-211,962.0","-250,940.0","-282,912.0","-302,493.0","-357,893.0","-364,393.0","-395,949.0","-409,975.0","-395,405.0","-363,753.0","-367,029.0","-357,765.0","-374,884.0","-418,078.0","-435,849.0","-479,886.0","-503,555.0","-504,285.0","-499,482.0","-509,134.0","-546,278.0","-606,081.0","-635,907.0","-686,499.0","-677,437.0","-690,195.0","-733,976.0","-789,323.0","-775,802.0","-781,414.0","-805,724.0","-714,315.0","-725,073.0","-730,687.0","-704,440.0","-695,674.0","-738,478.0","-751,856.0","-763,120.0","-588,352.0","-375,691.0","-335,150.0","-408,317.0","-426,430.0","-479,851.0","-518,164.0"
"62","43","  Exports","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,670.0","220,907.0","234,279.0","253,666.0","268,508.0","277,389.0","284,672.0","292,517.0","305,461.0","308,448.0","302,331.0","304,687.0","293,195.0","294,722.0","279,628.0","265,268.0","270,695.0","272,509.0","278,174.0","286,583.0","292,965.0","302,192.0","305,736.0","308,598.0","305,405.0","303,128.0","295,561.0","303,986.0","311,977.0","314,196.0","320,156.0","335,003.0","336,662.0","354,989.0","371,580.0","391,825.0","418,351.0","438,935.0","452,661.0","465,588.0","484,008.0","505,849.0","508,158.0","514,547.0","537,603.0","546,395.0","555,710.0","568,781.0","574,725.0","592,344.0","602,162.0","617,108.0","627,321.0","627,895.0","641,402.0","643,218.0","644,987.0","654,278.0","651,382.0","671,690.0","681,166.0","706,286.0","737,075.0","758,264.0","780,693.0","797,741.0","830,469.0","838,615.0","847,622.0","858,990.0","859,710.0","904,340.0","919,129.0","955,000.0","974,668.0","968,879.0","963,755.0","947,833.0","935,999.0","967,857.0","958,672.0","971,224.0","998,819.0","1,028,537.0","1,052,836.0","1,089,225.0","1,119,079.0","1,111,813.0","1,097,072.0","1,056,553.0","997,148.0","960,121.0","973,431.0","1,005,933.0","1,020,562.0","1,012,176.0","1,012,543.0","1,011,569.0","1,041,366.0","1,098,644.0","1,138,785.0","1,170,805.0","1,185,411.0","1,225,898.0","1,262,355.0","1,298,455.0","1,308,157.0","1,351,264.0","1,414,004.0","1,456,011.0","1,475,956.0","1,538,155.0","1,575,529.0","1,619,136.0","1,690,269.0","1,761,848.0","1,819,924.0","1,925,309.0","1,927,250.0","1,700,933.0","1,521,202.0","1,520,154.0","1,582,144.0","1,689,903.0","1,757,772.0","1,823,705.0"
"63","44","    Goods","A253RC1","31,640.0","39,948.0","39,484.0","41,972.0","43,024.0","45,028.0","44,764.0","45,364.0","45,868.0","45,724.0","48,448.0","42,188.0","49,696.0","48,868.0","51,824.0","56,788.0","64,360.0","70,936.0","75,616.0","84,784.0","93,052.0","100,612.0","101,248.0","109,012.0","112,036.0","105,944.0","107,148.0","113,388.0","113,516.0","116,268.0","118,984.0","122,312.0","121,328.0","126,176.0","126,132.0","120,972.0","125,027.0","146,103.0","149,271.0","161,194.0","166,992.0","175,724.0","188,039.0","205,414.0","217,823.0","224,192.0","226,896.0","234,207.0","242,192.0","242,001.0","234,176.0","238,017.0","224,851.0","225,952.0","211,598.0","197,604.0","200,709.0","202,794.0","207,397.0","218,280.0","218,267.0","224,630.0","228,365.0","231,235.0","225,665.0","223,501.0","217,395.0","222,408.0","220,524.0","223,040.0","224,503.0","235,937.0","234,320.0","248,650.0","264,168.0","283,049.0","304,585.0","321,435.0","331,647.0","345,472.0","354,804.0","374,778.0","372,371.0","375,455.0","390,704.0","394,585.0","398,173.0","403,082.0","414,480.0","421,289.0","425,922.0","432,562.0","440,930.0","441,565.0","452,738.0","456,567.0","452,190.0","458,460.0","454,363.0","474,716.0","477,592.0","496,429.0","524,037.0","542,189.0","562,222.0","575,619.0","595,591.0","599,678.0","608,166.0","611,943.0","615,444.0","637,769.0","658,267.0","687,046.0","704,663.0","700,792.0","694,450.0","672,834.0","666,751.0","689,398.0","673,516.0","680,510.0","703,885.0","730,856.0","749,526.0","777,073.0","810,853.0","799,917.0","788,930.0","749,776.0","704,452.0","681,747.0","679,476.0","706,271.0","715,597.0","699,904.0","709,046.0","710,600.0","723,499.0","764,181.0","787,089.0","811,313.0","824,123.0","845,401.0","871,626.0","906,012.0","907,353.0","939,352.0","985,093.0","1,016,461.0","1,030,628.0","1,065,376.0","1,105,367.0","1,138,345.0","1,179,276.0","1,225,140.0","1,279,425.0","1,364,901.0","1,367,613.0","1,168,294.0","1,014,453.0","1,011,660.0","1,068,554.0","1,157,602.0","1,212,983.0","1,270,440.0"
