"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"53","34","  Total receipts","W066RC1","287,148.0","290,443.0","307,933.0","352,197.0","395,142.0","436,297.0","447,391.0","512,603.0","576,297.0","652,845.0","736,357.0","808,107.0","927,923.0","950,647.0","1,009,965.0","1,122,809.0","1,225,405.0","1,302,296.0","1,416,637.0","1,517,660.0","1,643,854.0","1,728,606.0","1,778,915.0","1,864,023.0","1,969,966.0","2,116,754.0","2,242,792.0","2,410,499.0","2,591,970.0","2,770,089.0","2,944,772.0","3,173,815.0","3,160,635.0","3,004,512.0","3,075,918.0","3,300,525.0","3,701,305.0","4,040,779.0","4,240,288.0","4,151,410.0","3,724,450.0","3,956,241.0","4,146,533.0","4,333,902.0","4,853,622.0","5,019,209.0","5,249,094.0"
"54","35","    Current receipts","W021RC1","282,523.0","285,679.0","302,136.0","345,393.0","388,541.0","429,999.0","440,943.0","505,367.0","567,021.0","645,656.0","728,816.0","799,329.0","918,661.0","940,544.0","1,001,675.0","1,114,449.0","1,216,471.0","1,292,277.0","1,406,061.0","1,506,546.0","1,631,419.0","1,712,851.0","1,763,318.0","1,848,228.0","1,952,329.0","2,096,526.0","2,222,753.0","2,387,389.0","2,564,996.0","2,737,696.0","2,908,067.0","3,138,175.0","3,123,213.0","2,971,863.0","3,047,952.0","3,270,267.0","3,668,950.0","4,007,851.0","4,208,779.0","4,117,547.0","3,699,533.0","3,936,516.0","4,132,154.0","4,312,254.0","4,827,640.0","4,995,418.0","5,224,252.0"
"55","36","    Capital transfer receipts","W067RC1","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","12,435.0","15,755.0","15,597.0","15,795.0","17,637.0","20,228.0","20,039.0","23,110.0","26,974.0","32,393.0","36,705.0","35,640.0","37,422.0","32,649.0","27,966.0","30,258.0","32,355.0","32,928.0","31,509.0","33,863.0","24,917.0","19,725.0","14,379.0","21,648.0","25,982.0","23,791.0","24,841.0"
"56","37","  Total expenditures","W068RC1","308,800.0","339,706.0","370,999.0","404,312.0","434,348.0","487,941.0","570,944.0","608,975.0","656,794.0","726,047.0","804,332.0","923,635.0","1,041,613.0","1,152,132.0","1,252,225.0","1,346,935.0","1,473,461.0","1,572,761.0","1,654,013.0","1,735,531.0","1,869,534.0","2,025,064.0","2,131,240.0","2,305,211.0","2,376,478.0","2,447,626.0","2,561,902.0","2,654,749.0","2,731,578.0","2,807,451.0","2,947,609.0","3,092,680.0","3,310,350.0","3,527,878.0","3,760,271.0","3,976,049.0","4,257,616.0","4,470,579.0","4,775,415.0","5,206,368.0","5,571,507.0","5,775,206.0","5,813,261.0","5,780,914.0","5,761,609.0","5,892,435.0","6,027,230.0"
"57","38","    Current expenditures","W022RC1","283,525.0","317,479.0","352,376.0","385,861.0","416,587.0","468,327.0","543,484.0","582,423.0","630,485.0","692,037.0","765,134.0","880,202.0","1,000,341.0","1,110,273.0","1,205,407.0","1,285,863.0","1,391,824.0","1,484,508.0","1,557,152.0","1,646,903.0","1,780,635.0","1,920,222.0","2,034,622.0","2,218,393.0","2,301,356.0","2,377,176.0","2,495,139.0","2,578,347.0","2,654,483.0","2,719,573.0","2,832,201.0","2,971,757.0","3,174,048.0","3,363,273.0","3,572,239.0","3,777,851.0","4,040,285.0","4,274,288.0","4,547,156.0","4,916,593.0","5,220,294.0","5,502,530.0","5,592,219.0","5,623,086.0","5,655,682.0","5,794,599.0","5,951,391.0"
"58","39","    Gross government investment","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","614,436.0","592,278.0","595,840.0","611,411.0"
"59","40","    Capital transfer payments","W069RC1","79.0","130.0","155.0","224.0","194.0","259.0","298.0","249.0","225.0","251.0","351.0","404.0","324.0","312.0","139.0","106.0","147.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","4,153.0","17,123.0","21,624.0","42,334.0","18,374.0","25,133.0","88,238.0","143,488.0","69,323.0","54,397.0","32,471.0","12,707.0","11,577.0","7,765.0"
"60","41","    Net purchases of nonproduced assets","AD07RC1","1,085.0","829.0","1,189.0","942.0","-1,482.0","-3,797.0","1,511.0","-641.0","137.0","1,143.0","-851.0","-1,890.0","-3,281.0","-1,478.0","-2,726.0","-1,396.0","1,861.0","650.0","3,728.0","4,185.0","4,148.0","4,949.0","5,997.0","6,039.0","6,040.0","6,281.0","-1,355.0","1,235.0","-2,957.0","1,561.0","7,411.0","7,965.0","8,668.0","10,933.0","10,505.0","10,513.0","8,013.0","-3,422.0","10,298.0","-6,588.0","3,426.0","9,594.0","8,343.0","7,152.0","7,153.0","7,218.0","-21,181.0"
"61","42","    Less: Consumption of fixed capital","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","496,231.0","506,210.0","516,798.0","522,156.0"
"62","43","  Net lending or net borrowing (-)","AD01RC1","-21,652.0","-49,263.0","-63,066.0","-52,115.0","-39,206.0","-51,644.0","-123,553.0","-96,371.0","-80,497.0","-73,202.0","-67,975.0","-115,528.0","-113,691.0","-201,485.0","-242,260.0","-224,126.0","-248,056.0","-270,465.0","-237,375.0","-217,871.0","-225,680.0","-296,458.0","-352,325.0","-441,188.0","-406,512.0","-330,872.0","-319,110.0","-244,251.0","-139,607.0","-37,362.0","-2,837.0","81,135.0","-149,715.0","-523,366.0","-684,352.0","-675,525.0","-556,311.0","-429,800.0","-535,126.0","-1,054,959.0","-1,847,057.0","-1,818,964.0","-1,666,728.0","-1,447,011.0","-907,987.0","-873,226.0","-778,137.0"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Consists primarily of contributions by residents of the U.S. territories and the Commonwealths of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Prior to 1960, interest payments to persons (line 28) and interest receipts on line 12 are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","separately, but are included in interest payments (line 27), which is shown net of interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Interest payments to persons and business includes interest accrued on the actuarial liabilities of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","defined benefit pension plans for government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Prior to 1999, current transfer payments to the rest of the world (line 26) are displayed net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","current transfer receipts from the rest of the world (line 18).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Prior to 1959, subsidies (line 30) and the current surplus of government enterprises (line 19) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","5. Prior to 1960, government social benefits to the rest of the world are included in line 26, 'Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","current transfer payments to the rest of the world.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
