"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"43","24","    Other current transfer receipts, from business (net)","B931RC1","1,248.0","1,284.0","1,284.0","1,308.0","1,320.0","1,332.0","1,332.0","1,344.0","1,344.0","1,356.0","1,356.0","1,356.0","1,344.0","1,332.0","1,320.0","1,320.0","1,296.0","1,308.0","1,296.0","1,296.0","1,308.0","1,308.0","1,308.0","1,308.0","1,320.0","1,320.0","1,320.0","1,320.0","1,344.0","1,356.0","1,344.0","1,368.0","1,392.0","1,404.0","1,404.0","1,440.0","1,464.0","1,476.0","1,500.0","1,524.0","1,536.0","1,536.0","1,560.0","1,572.0","1,584.0","1,596.0","1,620.0","1,620.0","1,788.0","1,788.0","1,812.0","1,824.0","1,836.0","1,848.0","1,860.0","1,884.0","1,908.0","1,920.0","1,956.0","1,992.0","2,028.0","2,076.0","2,112.0","2,136.0","2,184.0","2,196.0","2,220.0","2,244.0","2,256.0","2,256.0","2,268.0","2,268.0","2,340.0","2,328.0","2,328.0","2,316.0","2,292.0","2,292.0","2,268.0","2,244.0","2,220.0","2,208.0","2,196.0","2,148.0","2,172.0","2,148.0","2,136.0","2,124.0","2,100.0","2,100.0","2,088.0","2,088.0","2,088.0","2,100.0","2,100.0","2,112.0","2,136.0","2,160.0","2,172.0","2,196.0","2,220.0","2,232.0","2,268.0","2,292.0","2,328.0","2,364.0","2,376.0","2,400.0","2,436.0","2,508.0","2,568.0","2,640.0","2,712.0","2,808.0","2,832.0","2,892.0","2,940.0","2,988.0","3,036.0","3,096.0","3,216.0","3,264.0","3,300.0","3,324.0","3,360.0","3,384.0","3,360.0","3,384.0","3,360.0","3,360.0","3,336.0","3,324.0"
"44","25","  Less: Contributions for government social insurance, domestic","A061RC1","13,596.0","13,632.0","13,740.0","13,800.0","13,884.0","14,028.0","14,016.0","13,800.0","13,764.0","13,788.0","13,872.0","14,088.0","16,404.0","16,428.0","16,440.0","16,452.0","16,428.0","16,488.0","16,524.0","16,500.0","16,500.0","16,524.0","16,392.0","16,248.0","16,752.0","16,752.0","16,716.0","16,848.0","16,884.0","16,980.0","17,040.0","17,100.0","17,052.0","17,196.0","17,352.0","17,388.0","18,792.0","18,828.0","19,044.0","19,104.0","19,080.0","19,140.0","19,164.0","19,152.0","19,260.0","19,212.0","19,284.0","19,344.0","21,288.0","21,288.0","21,432.0","21,456.0","21,492.0","21,696.0","21,684.0","21,720.0","21,864.0","21,972.0","21,972.0","22,164.0","21,888.0","22,104.0","22,116.0","22,224.0","22,296.0","22,296.0","22,404.0","22,548.0","22,596.0","22,512.0","22,764.0","22,896.0","22,788.0","22,884.0","22,992.0","23,052.0","23,256.0","23,280.0","23,376.0","23,556.0","23,724.0","23,868.0","24,024.0","24,192.0","30,192.0","30,396.0","30,540.0","30,708.0","30,804.0","31,008.0","31,824.0","31,944.0","32,004.0","32,112.0","32,220.0","32,280.0","33,600.0","33,564.0","33,732.0","34,440.0","34,500.0","34,800.0","34,980.0","35,304.0","35,436.0","35,592.0","35,988.0","36,468.0","37,284.0","37,620.0","37,860.0","38,160.0","38,472.0","38,640.0","38,916.0","39,060.0","39,240.0","39,384.0","39,756.0","39,948.0","42,672.0","42,852.0","43,200.0","43,404.0","43,692.0","43,980.0","44,376.0","44,628.0","44,868.0","45,120.0","45,324.0","45,408.0"
"45","26","Less: Personal current taxes","W055RC1","40,229.0","40,750.0","41,295.0","41,664.0","42,060.0","42,234.0","42,656.0","42,559.0","42,822.0","43,172.0","43,665.0","44,362.0","44,861.0","45,322.0","45,693.0","45,870.0","46,102.0","46,112.0","46,344.0","46,600.0","46,640.0","46,564.0","46,464.0","46,244.0","46,409.0","46,495.0","46,629.0","46,737.0","46,984.0","47,111.0","47,140.0","47,412.0","47,654.0","47,851.0","48,160.0","48,418.0","49,086.0","49,300.0","49,820.0","50,410.0","50,875.0","51,487.0","51,914.0","52,345.0","52,698.0","53,081.0","53,696.0","53,948.0","53,963.0","54,013.0","54,327.0","53,896.0","54,406.0","54,631.0","54,544.0","54,591.0","54,644.0","54,937.0","55,121.0","55,551.0","55,997.0","56,740.0","48,528.0","49,161.0","49,824.0","50,184.0","50,857.0","51,741.0","52,127.0","52,594.0","53,158.0","53,917.0","56,461.0","56,681.0","57,750.0","59,609.0","57,284.0","58,352.0","56,908.0","56,765.0","57,342.0","57,407.0","58,125.0","59,284.0","60,451.0","61,429.0","62,698.0","64,467.0","65,672.0","66,562.0","67,284.0","67,807.0","68,471.0","69,461.0","70,889.0","71,345.0","71,469.0","71,209.0","70,847.0","70,620.0","70,776.0","71,430.0","72,735.0","73,963.0","74,801.0","74,980.0","75,886.0","76,816.0","77,674.0","78,816.0","79,202.0","80,457.0","81,904.0","82,634.0","88,669.0","91,598.0","95,316.0","94,688.0","95,952.0","96,934.0","99,213.0","102,920.0","105,673.0","109,009.0","104,801.0","103,170.0","103,159.0","104,149.0","105,109.0","105,299.0","105,327.0","106,243.0"
"46","27","Equals: Disposable personal income","A067RC1","351,899.0","353,388.0","355,611.0","358,471.0","360,685.0","362,962.0","363,086.0","361,504.0","362,459.0","363,809.0","366,627.0","370,358.0","371,429.0","371,685.0","372,317.0","375,097.0","376,377.0","376,817.0","377,800.0","377,985.0","378,851.0","380,656.0","380,212.0","378,358.0","382,366.0","384,359.0","385,687.0","386,402.0","389,568.0","393,902.0","396,112.0","396,356.0","397,229.0","401,292.0","405,139.0","407,582.0","407,199.0","410,312.0","413,469.0","415,643.0","415,992.0","416,691.0","418,052.0","418,947.0","421,093.0","422,491.0","424,383.0","426,105.0","430,187.0","427,995.0","429,334.0","431,244.0","433,365.0","436,776.0","438,001.0","440,455.0","443,527.0","447,149.0","448,590.0","452,815.0","455,555.0","457,574.0","468,519.0","471,488.0","474,071.0","476,449.0","478,722.0","481,956.0","484,568.0","484,773.0","488,186.0","493,582.0","495,308.0","495,541.0","497,689.0","499,299.0","505,785.0","507,885.0","513,497.0","516,155.0","530,541.0","527,604.0","532,396.0","536,480.0","537,884.0","541,981.0","544,962.0","545,232.0","546,762.0","550,456.0","553,535.0","558,421.0","563,253.0","566,880.0","570,201.0","570,744.0","576,844.0","578,446.0","583,129.0","583,884.0","586,160.0","590,188.0","594,722.0","598,479.0","599,992.0","601,526.0","606,949.0","613,105.0","616,857.0","623,759.0","631,617.0","636,198.0","640,958.0","645,665.0","646,367.0","649,550.0","651,511.0","656,730.0","661,177.0","664,625.0","666,235.0","667,846.0","672,077.0","675,054.0","685,568.0","693,678.0","702,030.0","708,603.0","712,915.0","717,621.0","721,512.0","725,889.0"
"47","28","Less: Personal outlays","A068RC1","312,382.0","315,896.0","319,090.0","318,632.0","322,620.0","324,745.0","324,431.0","326,881.0","331,024.0","329,672.0","329,812.0","329,893.0","330,648.0","332,452.0","337,341.0","343,779.0","337,413.0","337,542.0","338,889.0","339,197.0","341,038.0","343,121.0","343,136.0","339,119.0","340,022.0","341,590.0","345,563.0","345,512.0","347,765.0","348,777.0","348,537.0","350,077.0","352,416.0","354,626.0","358,048.0","360,601.0","361,390.0","362,224.0","365,681.0","367,435.0","370,476.0","368,962.0","370,024.0","371,622.0","377,568.0","375,428.0","380,615.0","382,584.0","383,484.0","382,520.0","384,199.0","385,596.0","386,559.0","391,148.0","394,053.0","396,042.0","395,344.0","395,971.0","399,480.0","404,816.0","406,988.0","410,463.0","412,198.0","413,356.0","419,068.0","422,106.0","425,840.0","428,772.0","427,746.0","430,817.0","427,639.0","432,335.0","435,744.0","442,773.0","444,778.0","448,823.0","449,510.0","447,232.0","453,095.0","456,514.0","464,211.0","470,720.0","471,362.0","474,054.0","477,550.0","482,703.0","487,612.0","489,702.0","485,942.0","488,450.0","493,546.0","496,207.0","502,293.0","501,486.0","503,333.0","505,206.0","507,740.0","506,547.0","509,429.0","515,433.0","516,382.0","520,977.0","520,531.0","523,681.0","529,526.0","526,077.0","531,320.0","539,106.0","544,944.0","547,712.0","558,540.0","558,398.0","564,325.0","570,943.0","578,120.0","582,122.0","583,475.0","586,978.0","592,269.0","592,272.0","599,466.0","604,880.0","605,261.0","610,641.0","617,205.0","617,959.0","619,889.0","627,281.0","630,735.0","636,248.0","638,341.0","640,742.0"
"48","29","  Personal consumption expenditures","DPCERC1","306,512.0","309,972.0","313,110.0","312,583.0","316,505.0","318,559.0","318,147.0","320,518.0","324,582.0","323,148.0","323,215.0","323,229.0","323,963.0","325,702.0","330,520.0","336,857.0","330,423.0","330,491.0","331,764.0","332,020.0","333,812.0","335,822.0","335,797.0","331,748.0","332,626.0","334,174.0","338,131.0","338,114.0","340,354.0","341,349.0","341,060.0","342,573.0","344,877.0","347,008.0","350,398.0","352,928.0","353,717.0","354,519.0","357,923.0","359,569.0","362,535.0","360,941.0","361,905.0","363,426.0","369,301.0","367,099.0","372,223.0","374,131.0","374,878.0","373,843.0","375,439.0","376,783.0","377,643.0","382,125.0","384,851.0","386,733.0","385,935.0","386,466.0","389,894.0","395,159.0","397,299.0","400,700.0","402,351.0","403,369.0","408,979.0","411,907.0","415,470.0","418,303.0","417,190.0","420,184.0","416,944.0","421,586.0","425,015.0","431,972.0","433,876.0","437,648.0","438,221.0","435,846.0","441,642.0","444,991.0","452,628.0","459,108.0","459,689.0","462,313.0","465,802.0","470,869.0","475,686.0","477,608.0","473,762.0","476,198.0","481,245.0","483,840.0","489,850.0","488,975.0","490,747.0","492,555.0","494,943.0","493,706.0","496,554.0","502,063.0","502,983.0","507,547.0","507,432.0","510,539.0","516,336.0","512,920.0","518,097.0","525,804.0","531,525.0","534,183.0","544,883.0","544,572.0","550,358.0","556,840.0","563,753.0","567,613.0","568,817.0","572,262.0","577,390.0","577,226.0","584,245.0","589,487.0","589,697.0","594,698.0","601,100.0","601,703.0","603,543.0","610,794.0","614,111.0","619,409.0","621,380.0","623,672.0"
"49","30","  Personal interest payments \4\","B069RC1","5,078.0","5,132.0","5,192.0","5,253.0","5,323.0","5,399.0","5,490.0","5,571.0","5,650.0","5,732.0","5,804.0","5,872.0","5,927.0","5,992.0","6,057.0","6,134.0","6,194.0","6,248.0","6,293.0","6,337.0","6,378.0","6,423.0","6,451.0","6,470.0","6,471.0","6,478.0","6,481.0","6,471.0","6,475.0","6,482.0","6,485.0","6,504.0","6,531.0","6,590.0","6,616.0","6,633.0","6,600.0","6,628.0","6,676.0","6,766.0","6,839.0","6,917.0","7,011.0","7,089.0","7,161.0","7,223.0","7,290.0","7,356.0","7,407.0","7,483.0","7,569.0","7,672.0","7,774.0","7,880.0","8,010.0","8,114.0","8,209.0","8,303.0","8,377.0","8,436.0","8,441.0","8,502.0","8,579.0","8,684.0","8,784.0","8,891.0","9,033.0","9,133.0","9,219.0","9,276.0","9,344.0","9,407.0","9,429.0","9,511.0","9,617.0","9,801.0","9,911.0","10,003.0","10,066.0","10,128.0","10,177.0","10,192.0","10,235.0","10,282.0","10,328.0","10,389.0","10,460.0","10,573.0","10,639.0","10,691.0","10,695.0","10,742.0","10,798.0","10,890.0","10,947.0","10,994.0","11,032.0","11,060.0","11,077.0","11,064.0","11,078.0","11,099.0","11,126.0","11,158.0","11,196.0","11,226.0","11,286.0","11,362.0","11,454.0","11,562.0","11,685.0","11,849.0","11,985.0","12,116.0","12,229.0","12,365.0","12,508.0","12,664.0","12,821.0","12,983.0","13,160.0","13,326.0","13,491.0","13,664.0","13,818.0","13,963.0","14,090.0","14,223.0","14,352.0","14,493.0","14,606.0","14,705.0"
"50","31","  Personal current transfer payments","W211RC1","792.0","792.0","789.0","796.0","792.0","788.0","794.0","793.0","792.0","792.0","792.0","792.0","757.0","759.0","764.0","788.0","795.0","802.0","832.0","840.0","848.0","877.0","888.0","902.0","924.0","938.0","952.0","926.0","936.0","946.0","992.0","1,000.0","1,008.0","1,028.0","1,034.0","1,040.0","1,073.0","1,077.0","1,081.0","1,100.0","1,102.0","1,104.0","1,108.0","1,107.0","1,106.0","1,106.0","1,103.0","1,097.0","1,199.0","1,195.0","1,191.0","1,141.0","1,142.0","1,143.0","1,192.0","1,196.0","1,200.0","1,201.0","1,210.0","1,222.0","1,248.0","1,261.0","1,268.0","1,304.0","1,306.0","1,308.0","1,337.0","1,337.0","1,337.0","1,357.0","1,351.0","1,342.0","1,299.0","1,289.0","1,285.0","1,374.0","1,377.0","1,383.0","1,386.0","1,396.0","1,406.0","1,420.0","1,438.0","1,459.0","1,420.0","1,444.0","1,465.0","1,521.0","1,541.0","1,561.0","1,606.0","1,625.0","1,644.0","1,621.0","1,639.0","1,657.0","1,765.0","1,781.0","1,797.0","2,306.0","2,320.0","2,331.0","1,974.0","1,984.0","1,994.0","1,930.0","1,937.0","1,941.0","1,964.0","1,968.0","1,972.0","1,977.0","1,982.0","1,987.0","2,139.0","2,144.0","2,149.0","2,053.0","2,058.0","2,063.0","2,061.0","2,067.0","2,073.0","2,279.0","2,286.0","2,293.0","2,256.0","2,264.0","2,272.0","2,345.0","2,355.0","2,365.0"
"51","32","    To government","W062RC1","336.0","336.0","333.0","324.0","320.0","316.0","314.0","313.0","312.0","312.0","312.0","312.0","309.0","311.0","316.0","320.0","327.0","334.0","344.0","352.0","360.0","365.0","376.0","390.0","416.0","430.0","444.0","454.0","464.0","474.0","484.0","492.0","500.0","512.0","518.0","524.0","533.0","537.0","541.0","544.0","546.0","548.0","548.0","547.0","546.0","546.0","543.0","537.0","523.0","519.0","515.0","521.0","522.0","523.0","528.0","532.0","536.0","537.0","546.0","558.0","588.0","601.0","608.0","604.0","606.0","608.0","605.0","605.0","605.0","605.0","599.0","590.0","563.0","553.0","549.0","554.0","557.0","563.0","570.0","580.0","590.0","600.0","618.0","639.0","668.0","692.0","713.0","729.0","749.0","769.0","790.0","809.0","828.0","845.0","863.0","881.0","905.0","921.0","937.0","954.0","968.0","979.0","994.0","1,004.0","1,014.0","1,030.0","1,037.0","1,041.0","1,028.0","1,032.0","1,036.0","1,033.0","1,038.0","1,043.0","1,035.0","1,040.0","1,045.0","1,041.0","1,046.0","1,051.0","1,069.0","1,075.0","1,081.0","1,099.0","1,106.0","1,113.0","1,136.0","1,144.0","1,152.0","1,177.0","1,187.0","1,197.0"
"52","33","    To the rest of the world (net)","B070RC1","456.0","456.0","456.0","472.0","472.0","472.0","480.0","480.0","480.0","480.0","480.0","480.0","448.0","448.0","448.0","468.0","468.0","468.0","488.0","488.0","488.0","512.0","512.0","512.0","508.0","508.0","508.0","472.0","472.0","472.0","508.0","508.0","508.0","516.0","516.0","516.0","540.0","540.0","540.0","556.0","556.0","556.0","560.0","560.0","560.0","560.0","560.0","560.0","676.0","676.0","676.0","620.0","620.0","620.0","664.0","664.0","664.0","664.0","664.0","664.0","660.0","660.0","660.0","700.0","700.0","700.0","732.0","732.0","732.0","752.0","752.0","752.0","736.0","736.0","736.0","820.0","820.0","820.0","816.0","816.0","816.0","820.0","820.0","820.0","752.0","752.0","752.0","792.0","792.0","792.0","816.0","816.0","816.0","776.0","776.0","776.0","860.0","860.0","860.0","1,352.0","1,352.0","1,352.0","980.0","980.0","980.0","900.0","900.0","900.0","936.0","936.0","936.0","944.0","944.0","944.0","1,104.0","1,104.0","1,104.0","1,012.0","1,012.0","1,012.0","992.0","992.0","992.0","1,180.0","1,180.0","1,180.0","1,120.0","1,120.0","1,120.0","1,168.0","1,168.0","1,168.0"
"53","34","Equals: Personal saving","A071RC1","39,517.0","37,492.0","36,521.0","39,839.0","38,065.0","38,216.0","38,655.0","34,623.0","31,435.0","34,138.0","36,816.0","40,465.0","40,781.0","39,232.0","34,976.0","31,318.0","38,964.0","39,276.0","38,910.0","38,788.0","37,813.0","37,535.0","37,076.0","39,239.0","42,345.0","42,769.0","40,124.0","40,890.0","41,803.0","45,125.0","47,575.0","46,279.0","44,813.0","46,665.0","47,091.0","46,981.0","45,809.0","48,088.0","47,788.0","48,208.0","45,516.0","47,729.0","48,028.0","47,326.0","43,525.0","47,063.0","43,768.0","43,522.0","46,703.0","45,475.0","45,135.0","45,648.0","46,806.0","45,628.0","43,948.0","44,412.0","48,183.0","51,178.0","49,110.0","47,999.0","48,567.0","47,111.0","56,321.0","58,131.0","55,003.0","54,344.0","52,882.0","53,184.0","56,822.0","53,956.0","60,547.0","61,247.0","59,565.0","52,768.0","52,912.0","50,476.0","56,276.0","60,653.0","60,403.0","59,641.0","66,329.0","56,883.0","61,034.0","62,426.0","60,334.0","59,278.0","57,351.0","55,530.0","60,820.0","62,006.0","59,989.0","62,214.0","60,961.0","65,394.0","66,868.0","65,538.0","69,103.0","71,899.0","73,701.0","68,451.0","69,778.0","69,211.0","74,191.0","74,798.0","70,465.0","75,450.0","75,629.0","73,999.0","71,913.0","76,046.0","73,077.0","77,800.0","76,633.0","74,723.0","68,247.0","67,429.0","68,036.0","69,752.0","68,907.0","72,353.0","66,769.0","62,966.0","66,816.0","64,412.0","68,364.0","75,719.0","82,141.0","81,322.0","82,180.0","81,373.0","83,171.0","85,147.0"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","11.2","10.6","10.3","11.1","10.6","10.5","10.6","9.6","8.7","9.4","10.0","10.9","11.0","10.6","9.4","8.3","10.4","10.4","10.3","10.3","10.0","9.9","9.8","10.4","11.1","11.1","10.4","10.6","10.7","11.5","12.0","11.7","11.3","11.6","11.6","11.5","11.2","11.7","11.6","11.6","10.9","11.5","11.5","11.3","10.3","11.1","10.3","10.2","10.9","10.6","10.5","10.6","10.8","10.4","10.0","10.1","10.9","11.4","10.9","10.6","10.7","10.3","12.0","12.3","11.6","11.4","11.0","11.0","11.7","11.1","12.4","12.4","12.0","10.6","10.6","10.1","11.1","11.9","11.8","11.6","12.5","10.8","11.5","11.6","11.2","10.9","10.5","10.2","11.1","11.3","10.8","11.1","10.8","11.5","11.7","11.5","12.0","12.4","12.6","11.7","11.9","11.7","12.5","12.5","11.7","12.5","12.5","12.1","11.7","12.2","11.6","12.2","12.0","11.6","10.6","10.4","10.4","10.6","10.4","10.9","10.0","9.4","9.9","9.5","10.0","10.9","11.7","11.5","11.5","11.3","11.5","11.7"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Personal income excluding current transfer receipts, millions of chained (2009) dollars \5\","W875RX1","2,151,847.0","2,160,423.0","2,176,169.0","2,190,664.0","2,205,745.0","2,212,782.0","2,210,705.0","2,198,213.0","2,197,386.0","2,201,168.0","2,215,714.0","2,239,573.0","2,252,523.0","2,253,615.0","2,255,469.0","2,263,634.0","2,269,403.0","2,268,400.0","2,270,914.0","2,267,431.0","2,268,639.0","2,275,609.0","2,261,679.0","2,247,318.0","2,268,638.0","2,268,984.0","2,279,758.0","2,288,422.0","2,300,933.0","2,320,096.0","2,325,790.0","2,335,050.0","2,339,918.0","2,364,435.0","2,386,687.0","2,398,987.0","2,394,726.0","2,407,327.0","2,422,922.0","2,437,267.0","2,439,914.0","2,445,063.0","2,455,546.0","2,457,844.0","2,460,575.0","2,467,604.0","2,481,602.0","2,494,268.0","2,488,011.0","2,494,067.0","2,504,770.0","2,512,836.0","2,522,368.0","2,536,941.0","2,537,922.0","2,547,530.0","2,564,559.0","2,579,746.0","2,585,111.0","2,602,946.0","2,604,196.0","2,627,083.0","2,639,427.0","2,655,849.0","2,672,769.0","2,683,883.0","2,695,084.0","2,715,372.0","2,726,507.0","2,728,439.0","2,746,371.0","2,772,840.0","2,779,180.0","2,793,884.0","2,806,824.0","2,818,778.0","2,835,911.0","2,843,920.0","2,862,791.0","2,877,841.0","2,900,198.0","2,929,817.0","2,951,253.0","2,966,851.0","2,975,374.0","2,988,375.0","3,002,393.0","3,003,483.0","3,013,545.0","3,031,378.0","3,045,339.0","3,053,299.0","3,060,035.0","3,074,975.0","3,086,654.0","3,081,976.0","3,109,714.0","3,108,221.0","3,120,235.0","3,121,085.0","3,125,725.0","3,137,970.0","3,153,188.0","3,165,626.0","3,169,044.0","3,164,873.0","3,183,772.0","3,213,028.0","3,217,139.0","3,243,031.0","3,258,602.0","3,270,658.0","3,289,703.0","3,304,547.0","3,324,891.0","3,335,878.0","3,351,291.0","3,356,360.0","3,370,556.0","3,383,015.0","3,384,632.0","3,397,426.0","3,413,523.0","3,426,809.0","3,440,798.0","3,453,905.0","3,474,761.0","3,497,854.0","3,506,048.0","3,513,870.0","3,515,544.0","3,520,617.0"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2009) dollars \5\","A067RX1","2,056,514.0","2,063,458.0","2,075,139.0","2,087,740.0","2,099,617.0","2,106,922.0","2,103,278.0","2,091,112.0","2,091,150.0","2,093,894.0","2,108,734.0","2,127,741.0","2,134,923.0","2,134,286.0","2,136,656.0","2,144,759.0","2,149,779.0","2,151,337.0","2,153,005.0","2,150,375.0","2,153,979.0","2,161,753.0","2,151,921.0","2,140,990.0","2,163,421.0","2,172,602.0","2,181,362.0","2,186,620.0","2,203,328.0","2,226,734.0","2,234,389.0","2,233,878.0","2,236,189.0","2,259,242.0","2,280,675.0","2,293,755.0","2,287,169.0","2,298,433.0","2,313,215.0","2,322,680.0","2,323,225.0","2,325,663.0","2,334,690.0","2,336,442.0","2,337,026.0","2,347,323.0","2,356,083.0","2,366,584.0","2,383,293.0","2,368,872.0","2,378,317.0","2,389,117.0","2,397,110.0","2,410,756.0","2,412,801.0","2,423,055.0","2,440,469.0","2,455,626.0","2,460,053.0","2,479,354.0","2,489,155.0","2,496,476.0","2,554,602.0","2,568,704.0","2,582,473.0","2,591,675.0","2,600,645.0","2,616,060.0","2,626,164.0","2,625,564.0","2,640,373.0","2,665,752.0","2,672,260.0","2,672,415.0","2,680,554.0","2,685,020.0","2,713,831.0","2,717,244.0","2,745,244.0","2,758,819.0","2,834,465.0","2,817,765.0","2,838,623.0","2,850,032.0","2,854,121.0","2,863,933.0","2,872,653.0","2,863,991.0","2,868,382.0","2,880,578.0","2,891,049.0","2,905,422.0","2,921,232.0","2,932,278.0","2,944,979.0","2,941,724.0","2,972,837.0","2,977,666.0","3,000,147.0","2,999,126.0","3,005,070.0","3,016,078.0","3,029,169.0","3,038,795.0","3,037,382.0","3,036,768.0","3,054,170.0","3,080,346.0","3,085,063.0","3,107,020.0","3,136,055.0","3,149,033.0","3,160,884.0","3,174,037.0","3,167,725.0","3,170,336.0","3,168,772.0","3,180,219.0","3,190,851.0","3,200,699.0","3,195,704.0","3,195,238.0","3,200,294.0","3,200,275.0","3,236,954.0","3,259,445.0","3,284,236.0","3,305,682.0","3,311,990.0","3,322,415.0","3,326,047.0","3,330,927.0"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","2,001","2,007","2,017","2,031","2,041","2,051","2,049","2,037","2,039","2,044","2,057","2,075","2,069","2,068","2,070","2,083","2,087","2,087","2,090","2,087","2,089","2,095","2,090","2,077","2,096","2,105","2,109","2,110","2,125","2,146","2,155","2,153","2,154","2,173","2,191","2,202","2,197","2,211","2,226","2,235","2,234","2,235","2,240","2,241","2,250","2,254","2,261","2,268","2,287","2,273","2,278","2,286","2,294","2,309","2,313","2,323","2,336","2,352","2,356","2,376","2,388","2,396","2,451","2,464","2,475","2,484","2,493","2,507","2,517","2,515","2,530","2,556","2,562","2,561","2,570","2,576","2,607","2,615","2,641","2,652","2,722","2,704","2,726","2,745","2,750","2,769","2,782","2,781","2,786","2,802","2,815","2,836","2,858","2,873","2,887","2,888","2,916","2,922","2,943","2,945","2,954","2,971","2,991","3,007","3,012","3,017","3,041","3,070","3,086","3,119","3,156","3,176","3,198","3,218","3,219","3,232","3,238","3,261","3,281","3,295","3,301","3,307","3,326","3,338","3,387","3,424","3,462","3,491","3,509","3,528","3,544","3,562"
"61","39","      Chained (2009) dollars","A229RX0","11,697","11,721","11,772","11,828","11,881","11,907","11,869","11,782","11,764","11,762","11,829","11,920","11,894","11,877","11,877","11,908","11,921","11,915","11,908","11,874","11,875","11,900","11,829","11,753","11,861","11,896","11,929","11,942","12,018","12,130","12,155","12,134","12,128","12,235","12,335","12,390","12,340","12,387","12,453","12,489","12,477","12,475","12,507","12,499","12,485","12,522","12,553","12,595","12,669","12,580","12,618","12,662","12,690","12,747","12,741","12,778","12,852","12,914","12,923","13,010","13,048","13,074","13,365","13,424","13,481","13,514","13,544","13,607","13,642","13,622","13,685","13,803","13,824","13,813","13,844","13,855","13,990","13,992","14,120","14,174","14,545","14,443","14,536","14,581","14,591","14,630","14,663","14,606","14,614","14,662","14,701","14,758","14,821","14,862","14,912","14,883","15,028","15,041","15,143","15,125","15,143","15,185","15,236","15,269","15,247","15,229","15,303","15,422","15,436","15,536","15,670","15,723","15,769","15,821","15,775","15,773","15,750","15,792","15,832","15,869","15,834","15,822","15,836","15,824","15,991","16,089","16,196","16,285","16,299","16,334","16,337","16,347"
