"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1","8,854.0","8,833.0","9,409.0","10,323.0","11,435.0","11,597.0","11,962.0","12,988.0","14,242.0","16,235.0","18,147.0","19,727.0","21,788.0","21,804.0","23,107.0","24,472.0","25,861.0","27,674.0","29,560.0","31,333.0","34,190.0","35,268.0","35,136.0","36,813.0","38,166.0","40,164.0","41,151.0","43,162.0","44,256.0","46,676.0","49,189.0","50,808.0","50,652.0","50,828.0","52,630.0","55,165.0","59,274.0","63,205.0","64,972.0","64,817.0","62,149.0","65,230.0","69,071.0","72,743.0","75,620.0","76,980.0"
"54","36","    Gasoline and other energy goods","DGOERC1","24,968.0","26,286.0","27,647.0","29,393.0","34,325.0","43,849.0","48,020.0","53,013.0","57,817.0","61,453.0","80,388.0","101,898.0","113,443.0","108,350.0","106,456.0","108,200.0","110,532.0","91,191.0","96,369.0","99,850.0","110,439.0","124,199.0","121,129.0","125,007.0","126,882.0","129,231.0","133,405.0","144,745.0","147,662.0","132,355.0","146,545.0","184,516.0","177,985.0","167,900.0","196,412.0","232,733.0","283,770.0","319,650.0","345,546.0","389,148.0","284,500.0","333,415.0","409,558.0","416,885.0","412,991.0","401,139.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1","20,460.0","21,921.0","23,150.0","24,406.0","28,131.0","36,130.0","39,703.0","43,046.0","46,934.0","50,102.0","66,243.0","86,689.0","97,919.0","94,125.0","93,081.0","94,568.0","97,205.0","80,052.0","85,355.0","88,395.0","98,716.0","111,440.0","108,852.0","112,864.0","114,518.0","116,492.0","120,410.0","130,494.0","134,428.0","120,787.0","134,190.0","168,609.0","162,485.0","153,611.0","178,977.0","213,376.0","261,430.0","295,926.0","319,919.0","358,327.0","260,229.0","307,265.0","380,408.0","390,494.0","385,562.0","372,754.0"
"56","38","      Fuel oil and other fuels (29)","DFULRC1","4,508.0","4,365.0","4,497.0","4,987.0","6,194.0","7,719.0","8,317.0","9,967.0","10,883.0","11,351.0","14,145.0","15,209.0","15,524.0","14,225.0","13,375.0","13,632.0","13,327.0","11,139.0","11,014.0","11,455.0","11,723.0","12,759.0","12,277.0","12,143.0","12,364.0","12,739.0","12,995.0","14,251.0","13,234.0","11,568.0","12,355.0","15,907.0","15,500.0","14,289.0","17,435.0","19,357.0","22,340.0","23,724.0","25,627.0","30,821.0","24,271.0","26,150.0","29,150.0","26,392.0","27,429.0","28,384.0"
"57","39","    Other nondurable goods","DONGRC1","49,525.0","53,564.0","55,851.0","60,015.0","65,826.0","72,052.0","77,716.0","85,180.0","91,528.0","103,336.0","116,469.0","129,335.0","143,473.0","154,024.0","168,814.0","184,621.0","196,913.0","209,382.0","225,868.0","241,386.0","263,251.0","283,602.0","297,070.0","314,481.0","331,407.0","350,608.0","371,397.0","395,210.0","421,300.0","451,827.0","498,027.0","534,356.0","563,866.0","591,426.0","622,690.0","657,610.0","690,404.0","739,559.0","770,371.0","791,881.0","814,169.0","849,247.0","893,484.0","927,257.0","957,461.0","1,011,677.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1","6,294.0","7,282.0","7,720.0","8,413.0","9,095.0","9,868.0","10,680.0","11,652.0","12,371.0","14,218.0","16,509.0","18,740.0","21,286.0","23,496.0","26,872.0","30,318.0","33,510.0","37,207.0","41,265.0","45,903.0","51,906.0","59,118.0","65,101.0","69,561.0","73,991.0","79,060.0","85,109.0","93,241.0","103,671.0","119,792.0","140,041.0","159,000.0","181,006.0","200,165.0","220,174.0","236,326.0","248,543.0","276,217.0","293,399.0","305,204.0","320,866.0","334,124.0","353,351.0","369,514.0","389,129.0","428,355.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1","7,616.0","8,195.0","8,746.0","9,618.0","10,898.0","12,211.0","13,142.0","14,699.0","15,732.0","17,673.0","19,899.0","21,977.0","24,800.0","26,639.0","28,852.0","31,499.0","33,762.0","35,443.0","39,136.0","42,606.0","47,175.0","50,928.0","53,584.0","57,273.0","60,712.0","65,212.0","68,896.0","72,833.0","76,347.0","80,893.0","86,654.0","91,868.0","94,713.0","98,357.0","100,795.0","105,729.0","112,648.0","118,993.0","124,493.0","127,471.0","123,833.0","127,695.0","133,193.0","138,790.0","143,692.0","150,712.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURC1","11,024.0","11,496.0","11,651.0","12,386.0","13,849.0","15,443.0","16,793.0","18,132.0","19,715.0","22,472.0","25,921.0","29,124.0","32,216.0","34,329.0","36,760.0","39,971.0","42,051.0","44,665.0","46,404.0","49,369.0","51,937.0","54,231.0","55,592.0","58,536.0","62,079.0","66,776.0","70,402.0","74,372.0","77,865.0","79,684.0","83,906.0","86,702.0","88,954.0","90,767.0","93,999.0","97,597.0","102,002.0","105,875.0","106,509.0","107,790.0","105,169.0","108,291.0","113,198.0","116,085.0","118,602.0","120,579.0"
"61","43","      Personal care products (part of 118)","DOPCRC1","6,717.0","7,140.0","7,477.0","8,044.0","8,968.0","10,028.0","11,080.0","12,205.0","13,829.0","15,399.0","17,137.0","18,704.0","20,457.0","21,555.0","23,720.0","26,256.0","28,251.0","30,363.0","32,644.0","34,602.0","36,925.0","39,250.0","40,244.0","41,370.0","43,945.0","47,112.0","50,173.0","53,449.0","56,406.0","59,913.0","64,449.0","68,508.0","71,042.0","73,159.0","77,507.0","82,786.0","88,003.0","93,833.0","98,953.0","101,311.0","100,088.0","104,729.0","110,260.0","114,371.0","117,943.0","122,332.0"
"62","44","      Tobacco (127)","DTOBRC1","9,794.0","10,792.0","11,338.0","12,193.0","13,241.0","14,099.0","15,068.0","16,787.0","16,980.0","18,281.0","19,185.0","20,860.0","22,830.0","24,303.0","27,515.0","29,243.0","30,811.0","32,157.0","34,546.0","34,745.0","38,611.0","40,991.0","42,409.0","48,008.0","48,701.0","47,328.0","49,205.0","51,419.0","53,848.0","56,416.0","65,536.0","68,492.0","69,706.0","70,142.0","70,459.0","73,664.0","76,676.0","81,000.0","84,261.0","86,409.0","99,520.0","106,262.0","108,274.0","108,941.0","106,146.0","104,164.0"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1","6,426.0","6,896.0","7,053.0","7,661.0","8,424.0","9,195.0","9,895.0","10,787.0","11,893.0","14,055.0","16,404.0","18,136.0","19,832.0","21,038.0","22,390.0","24,513.0","25,368.0","26,569.0","28,798.0","31,662.0","33,997.0","36,492.0","37,791.0","38,773.0","40,863.0","43,785.0","46,058.0","48,192.0","50,205.0","51,888.0","54,312.0","56,567.0","55,042.0","54,802.0","55,126.0","56,790.0","58,006.0","59,073.0","57,724.0","58,351.0","58,174.0","62,805.0","68,064.0","72,985.0","76,233.0","79,844.0"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1","1,654.0","1,763.0","1,866.0","1,700.0","1,351.0","1,208.0","1,058.0","918.0","1,008.0","1,238.0","1,414.0","1,794.0","2,052.0","2,664.0","2,705.0","2,821.0","3,160.0","2,978.0","3,075.0","2,499.0","2,700.0","2,592.0","2,349.0","960.0","1,116.0","1,335.0","1,554.0","1,704.0","2,958.0","3,241.0","3,129.0","3,219.0","3,403.0","4,034.0","4,630.0","4,718.0","4,526.0","4,568.0","5,032.0","5,345.0","6,519.0","5,341.0","7,144.0","6,570.0","5,717.0","5,691.0"
"65","47","Services","DSERRC1","299,809.0","328,894.0","358,874.0","395,616.0","434,507.0","480,460.0","541,421.0","603,867.0","676,290.0","762,606.0","851,558.0","954,824.0","1,068,139.0","1,174,621.0","1,312,739.0","1,434,455.0","1,585,068.0","1,702,782.0","1,835,754.0","2,009,581.0","2,169,011.0","2,334,328.0","2,462,716.0","2,652,385.0","2,828,655.0","2,994,464.0","3,168,646.0","3,350,398.0","3,553,956.0","3,794,314.0","4,020,253.0","4,339,542.0","4,577,867.0","4,785,472.0","5,043,973.0","5,359,763.0","5,713,831.0","6,068,195.0","6,388,932.0","6,637,946.0","6,648,524.0","6,839,380.0","7,092,838.0","7,311,548.0","7,555,536.0","7,917,511.0"
"66","48","  Household consumption expenditures (for services)","DHCERC1","290,366.0","318,420.0","347,170.0","382,802.0","420,752.0","464,963.0","524,408.0","584,885.0","655,655.0","739,588.0","825,438.0","924,791.0","1,033,999.0","1,136,657.0","1,271,983.0","1,389,072.0","1,537,161.0","1,650,172.0","1,780,057.0","1,946,288.0","2,100,974.0","2,258,467.0","2,382,589.0","2,564,451.0","2,738,590.0","2,896,702.0","3,066,318.0","3,240,354.0","3,448,368.0","3,670,507.0","3,882,024.0","4,181,501.0","4,398,785.0","4,587,130.0","4,838,461.0","5,153,391.0","5,503,563.0","5,829,010.0","6,140,152.0","6,355,802.0","6,372,507.0","6,564,030.0","6,817,839.0","7,018,678.0","7,251,623.0","7,595,165.0"
"67","49","    Housing and utilities","DHUTRC1","100,982.0","109,421.0","119,981.0","131,185.0","143,486.0","158,579.0","176,527.0","194,663.0","217,806.0","244,279.0","273,403.0","312,453.0","352,071.0","387,499.0","421,227.0","457,510.0","500,609.0","536,976.0","571,559.0","614,437.0","655,168.0","696,539.0","735,247.0","771,112.0","814,940.0","863,343.0","913,679.0","962,439.0","1,009,822.0","1,065,472.0","1,123,133.0","1,198,556.0","1,287,492.0","1,333,584.0","1,394,121.0","1,469,083.0","1,583,621.0","1,682,374.0","1,758,184.0","1,839,073.0","1,880,993.0","1,908,992.0","1,959,856.0","1,995,376.0","2,057,402.0","2,142,565.0"
"68","50","      Housing","DHSGRC1","84,207.0","91,040.0","99,725.0","108,730.0","118,990.0","130,045.0","142,420.0","156,034.0","173,353.0","194,495.0","218,026.0","246,551.0","277,949.0","303,011.0","327,228.0","357,682.0","394,623.0","430,519.0","461,501.0","497,330.0","531,037.0","570,621.0","601,495.0","634,457.0","666,385.0","709,460.0","756,072.0","795,427.0","839,196.0","894,167.0","948,579.0","1,010,487.0","1,085,509.0","1,133,336.0","1,177,145.0","1,242,248.0","1,332,487.0","1,416,172.0","1,480,001.0","1,543,692.0","1,591,571.0","1,609,675.0","1,660,152.0","1,704,709.0","1,752,520.0","1,824,830.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","62,468.0","71,097.0","78,908.0","85,696.0","94,548.0","108,430.0","119,848.0","126,866.0","133,874.0","140,120.0","150,832.0","157,682.0","164,023.0","169,140.0","176,092.0","186,587.0","192,003.0","199,248.0","208,954.0","218,167.0","227,926.0","242,254.0","249,635.0","248,669.0","256,024.0","268,346.0","286,759.0","315,958.0","336,427.0","359,679.0","372,623.0","402,129.0","417,699.0","424,321.0","448,713.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,387.0","200,995.0","218,426.0","235,901.0","257,440.0","280,603.0","305,241.0","329,147.0","357,477.0","384,442.0","412,808.0","436,345.0","462,602.0","488,510.0","523,673.0","559,360.0","592,870.0","629,509.0","674,320.0","718,919.0","768,887.0","829,184.0","869,184.0","913,250.0","968,464.0","1,044,314.0","1,108,796.0","1,142,269.0","1,185,472.0","1,209,860.0","1,214,483.0","1,234,121.0","1,265,538.0","1,303,730.0","1,350,954.0"
"71","53","        Rental value of farm dwellings (22)","DFARRC1","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","19,539.0","20,567.0","20,526.0","20,713.0","21,225.0","22,444.0","19,787.0","22,698.0","23,269.0"
"72","54","        Group housing (23)","DGRHRC1","492.0","510.0","511.0","510.0","530.0","590.0","661.0","680.0","632.0","571.0","555.0","526.0","512.0","529.0","460.0","493.0","476.0","447.0","447.0","505.0","568.0","640.0","694.0","625.0","668.0","674.0","721.0","795.0","803.0","870.0","902.0","928.0","929.0","877.0","940.0","967.0","998.0","1,078.0","1,207.0","1,267.0","1,319.0","1,344.0","1,458.0","1,684.0","1,771.0","1,893.0"
"73","55","      Household utilities","DUTLRC1","16,775.0","18,381.0","20,256.0","22,455.0","24,496.0","28,534.0","34,107.0","38,629.0","44,453.0","49,784.0","55,377.0","65,902.0","74,122.0","84,488.0","93,999.0","99,828.0","105,986.0","106,457.0","110,058.0","117,107.0","124,131.0","125,918.0","133,752.0","136,655.0","148,555.0","153,883.0","157,607.0","167,012.0","170,626.0","171,305.0","174,554.0","188,069.0","201,983.0","200,248.0","216,976.0","226,835.0","251,134.0","266,202.0","278,183.0","295,381.0","289,422.0","299,317.0","299,704.0","290,667.0","304,882.0","317,735.0"
"74","56","        Water supply and sanitation (25)","DWRSRC1","2,758.0","3,162.0","3,559.0","4,011.0","4,438.0","4,920.0","5,460.0","6,005.0","6,669.0","7,531.0","8,409.0","9,398.0","10,476.0","11,657.0","13,107.0","14,938.0","16,978.0","19,078.0","21,074.0","22,881.0","25,260.0","27,149.0","28,819.0","30,294.0","33,498.0","36,733.0","39,337.0","42,069.0","44,058.0","46,214.0","48,740.0","50,440.0","52,379.0","54,609.0","56,608.0","58,735.0","61,266.0","65,491.0","68,003.0","71,866.0","74,289.0","77,961.0","80,899.0","83,112.0","84,958.0","86,586.0"
"75","57","        Electricity and gas","DELGRC1","14,017.0","15,219.0","16,697.0","18,444.0","20,058.0","23,614.0","28,647.0","32,624.0","37,784.0","42,253.0","46,968.0","56,504.0","63,646.0","72,831.0","80,892.0","84,890.0","89,008.0","87,379.0","88,984.0","94,226.0","98,871.0","98,769.0","104,933.0","106,361.0","115,057.0","117,150.0","118,270.0","124,943.0","126,568.0","125,091.0","125,814.0","137,629.0","149,604.0","145,639.0","160,368.0","168,100.0","189,868.0","200,711.0","210,180.0","223,515.0","215,133.0","221,356.0","218,805.0","207,555.0","219,924.0","231,149.0"
"76","58","          Electricity (27)","DELCRC1","8,772.0","9,604.0","10,622.0","11,803.0","13,303.0","16,101.0","19,388.0","21,633.0","25,174.0","28,042.0","30,741.0","37,187.0","42,472.0","47,018.0","51,576.0","55,321.0","59,254.0","60,621.0","63,253.0","66,834.0","69,681.0","71,809.0","76,636.0","76,774.0","82,749.0","84,505.0","87,581.0","90,491.0","90,704.0","93,408.0","93,578.0","98,359.0","103,368.0","107,106.0","111,476.0","115,754.0","128,524.0","140,654.0","148,295.0","155,433.0","157,008.0","166,782.0","166,714.0","163,280.0","169,113.0","175,404.0"
"77","59","          Natural gas (28)","DGHERC1","5,245.0","5,615.0","6,075.0","6,641.0","6,755.0","7,513.0","9,259.0","10,991.0","12,610.0","14,211.0","16,227.0","19,317.0","21,174.0","25,813.0","29,316.0","29,569.0","29,754.0","26,758.0","25,731.0","27,392.0","29,190.0","26,960.0","28,297.0","29,587.0","32,308.0","32,645.0","30,689.0","34,452.0","35,864.0","31,683.0","32,236.0","39,270.0","46,236.0","38,533.0","48,892.0","52,346.0","61,344.0","60,057.0","61,885.0","68,082.0","58,125.0","54,574.0","52,091.0","44,275.0","50,811.0","55,745.0"
"78","60","    Health care","DHLCRC1","42,059.0","47,663.0","53,725.0","59,842.0","67,175.0","76,083.0","89,000.0","101,849.0","115,691.0","131,202.0","148,840.0","171,661.0","201,914.0","225,182.0","253,125.0","276,478.0","302,195.0","330,160.0","366,011.0","410,051.0","451,209.0","506,202.0","555,759.0","612,785.0","648,809.0","680,461.0","719,886.0","752,067.0","790,949.0","832,046.0","863,590.0","918,425.0","996,564.0","1,082,873.0","1,154,646.0","1,240,115.0","1,322,285.0","1,394,226.0","1,481,787.0","1,556,486.0","1,627,380.0","1,690,701.0","1,764,711.0","1,835,856.0","1,880,713.0","1,953,980.0"
"79","61","      Outpatient services","DOUTRC1","19,946.0","22,305.0","24,093.0","26,305.0","29,855.0","33,157.0","38,494.0","43,353.0","49,497.0","54,731.0","61,534.0","70,635.0","83,585.0","90,693.0","103,303.0","115,770.0","129,444.0","143,356.0","164,431.0","186,187.0","204,641.0","232,126.0","253,768.0","282,638.0","297,450.0","314,563.0","336,597.0","351,312.0","369,147.0","390,430.0","407,136.0","436,625.0","475,796.0","514,722.0","550,551.0","590,492.0","626,165.0","653,000.0","689,892.0","725,646.0","744,742.0","767,927.0","797,902.0","826,944.0","844,514.0","874,708.0"
"80","62","        Physician services (44)","DPHYRC1","12,431.0","14,012.0","15,344.0","16,657.0","18,452.0","20,398.0","23,571.0","25,893.0","29,728.0","32,714.0","37,171.0","43,271.0","50,993.0","55,822.0","62,858.0","69,928.0","77,489.0","85,370.0","99,137.0","112,466.0","121,895.0","134,774.0","144,894.0","158,661.0","162,051.0","168,259.0","177,849.0","183,405.0","190,873.0","202,021.0","212,102.0","229,244.0","249,300.0","269,306.0","291,452.0","314,240.0","333,931.0","348,465.0","365,689.0","383,714.0","392,838.0","402,797.0","418,356.0","432,265.0","437,039.0","451,112.0"
"81","63","        Dental services (45)","DDENRC1","4,326.0","4,872.0","5,139.0","5,644.0","6,592.0","7,253.0","8,218.0","9,250.0","10,274.0","11,335.0","12,281.0","13,730.0","16,121.0","17,370.0","18,868.0","20,601.0","22,569.0","24,217.0","26,767.0","28,414.0","30,328.0","32,421.0","34,082.0","37,636.0","39,573.0","42,224.0","45,389.0","47,800.0","50,931.0","54,627.0","58,491.0","63,573.0","69,324.0","75,568.0","77,817.0","83,278.0","87,873.0","91,505.0","96,992.0","101,962.0","102,080.0","104,483.0","106,716.0","108,436.0","110,163.0","114,014.0"
"82","64","        Paramedical services (46)","DPMSRC1","3,189.0","3,421.0","3,610.0","4,004.0","4,811.0","5,506.0","6,705.0","8,210.0","9,495.0","10,682.0","12,082.0","13,634.0","16,471.0","17,501.0","21,577.0","25,241.0","29,386.0","33,769.0","38,527.0","45,307.0","52,418.0","64,931.0","74,792.0","86,341.0","95,826.0","104,080.0","113,359.0","120,107.0","127,343.0","133,782.0","136,543.0","143,808.0","157,172.0","169,848.0","181,282.0","192,974.0","204,361.0","213,030.0","227,211.0","239,970.0","249,824.0","260,647.0","272,830.0","286,243.0","297,312.0","309,582.0"
"83","65","      Hospital and nursing home services","DHPNRC1","22,113.0","25,358.0","29,632.0","33,537.0","37,320.0","42,926.0","50,506.0","58,496.0","66,194.0","76,471.0","87,306.0","101,026.0","118,329.0","134,489.0","149,822.0","160,708.0","172,751.0","186,804.0","201,580.0","223,864.0","246,568.0","274,076.0","301,991.0","330,147.0","351,359.0","365,898.0","383,289.0","400,755.0","421,802.0","441,616.0","456,454.0","481,800.0","520,768.0","568,151.0","604,095.0","649,623.0","696,120.0","741,226.0","791,895.0","830,840.0","882,638.0","922,774.0","966,809.0","1,008,912.0","1,036,199.0","1,079,273.0"
"84","66","        Hospitals (51)","DHSPRC1","18,303.0","20,901.0","24,314.0","27,580.0","30,628.0","35,260.0","41,685.0","48,625.0","55,141.0","63,623.0","72,948.0","84,662.0","100,035.0","115,176.0","127,394.0","135,803.0","145,777.0","157,413.0","170,922.0","188,785.0","207,699.0","228,784.0","253,293.0","277,619.0","295,473.0","307,246.0","318,444.0","330,073.0","345,494.0","360,080.0","373,236.0","393,892.0","427,107.0","469,536.0","498,438.0","537,865.0","577,152.0","617,043.0","658,084.0","690,052.0","736,583.0","770,481.0","808,314.0","847,295.0","872,433.0","908,873.0"
"85","67","        Nursing homes (52)","DNRSRC1","3,810.0","4,457.0","5,318.0","5,957.0","6,692.0","7,666.0","8,821.0","9,871.0","11,053.0","12,848.0","14,358.0","16,364.0","18,294.0","19,313.0","22,428.0","24,905.0","26,974.0","29,391.0","30,658.0","35,079.0","38,869.0","45,292.0","48,698.0","52,528.0","55,886.0","58,652.0","64,845.0","70,682.0","76,308.0","81,536.0","83,218.0","87,908.0","93,661.0","98,615.0","105,657.0","111,758.0","118,968.0","124,183.0","133,811.0","140,788.0","146,055.0","152,293.0","158,495.0","161,617.0","163,766.0","170,399.0"
"86","68","    Transportation services","DTRSRC1","17,977.0","20,043.0","22,359.0","24,544.0","26,078.0","28,472.0","32,045.0","36,155.0","41,395.0","45,200.0","50,705.0","55,366.0","59,790.0","61,729.0","68,899.0","80,016.0","90,145.0","95,009.0","103,098.0","114,150.0","121,848.0","126,372.0","123,674.0","133,622.0","146,099.0","161,896.0","177,946.0","194,955.0","214,308.0","227,631.0","244,091.0","263,548.0","264,704.0","258,159.0","265,464.0","276,562.0","289,385.0","302,056.0","312,216.0","311,715.0","289,694.0","292,922.0","308,124.0","319,486.0","333,852.0","354,543.0"
"87","69","      Motor vehicle services","DMVSRC1","11,487.0","12,981.0","14,565.0","15,831.0","16,645.0","17,745.0","20,624.0","23,000.0","26,637.0","29,487.0","33,200.0","35,126.0","38,409.0","39,809.0","45,019.0","52,972.0","62,038.0","65,799.0","71,804.0","79,521.0","84,778.0","87,203.0","84,378.0","93,132.0","102,619.0","115,903.0","129,137.0","142,756.0","157,235.0","165,235.0","177,652.0","189,290.0","194,784.0","191,783.0","195,093.0","201,451.0","211,800.0","220,606.0","228,507.0","226,730.0","210,421.0","211,939.0","222,806.0","229,222.0","239,377.0","254,841.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRC1","10,110.0","11,449.0","12,862.0","13,975.0","14,685.0","15,710.0","18,327.0","20,468.0","23,785.0","26,438.0","29,818.0","31,190.0","33,861.0","35,109.0","39,861.0","45,869.0","53,365.0","56,247.0","61,515.0","68,261.0","72,452.0","73,905.0","69,368.0","73,722.0","78,866.0","86,470.0","93,475.0","100,134.0","106,305.0","112,771.0","119,890.0","127,418.0","133,841.0","136,837.0","143,466.0","148,481.0","155,091.0","157,329.0","162,378.0","158,903.0","149,221.0","152,364.0","161,746.0","165,199.0","169,174.0","177,411.0"
"89","71","        Other motor vehicle services (61)","DOVSRC1","1,377.0","1,532.0","1,703.0","1,856.0","1,960.0","2,035.0","2,297.0","2,532.0","2,852.0","3,049.0","3,382.0","3,936.0","4,548.0","4,700.0","5,158.0","7,103.0","8,673.0","9,552.0","10,289.0","11,260.0","12,326.0","13,298.0","15,010.0","19,410.0","23,753.0","29,433.0","35,662.0","42,622.0","50,930.0","52,464.0","57,762.0","61,872.0","60,943.0","54,946.0","51,627.0","52,970.0","56,709.0","63,277.0","66,129.0","67,827.0","61,200.0","59,575.0","61,060.0","64,023.0","70,203.0","77,431.0"
"90","72","      Public transportation","DPUBRC1","6,490.0","7,062.0","7,794.0","8,713.0","9,433.0","10,727.0","11,421.0","13,155.0","14,758.0","15,713.0","17,505.0","20,240.0","21,381.0","21,920.0","23,880.0","27,044.0","28,107.0","29,210.0","31,294.0","34,629.0","37,070.0","39,169.0","39,296.0","40,490.0","43,480.0","45,993.0","48,809.0","52,199.0","57,073.0","62,396.0","66,439.0","74,258.0","69,920.0","66,376.0","70,371.0","75,111.0","77,585.0","81,450.0","83,709.0","84,985.0","79,273.0","80,983.0","85,318.0","90,265.0","94,475.0","99,701.0"
"91","73","        Ground transportation (63)","DGRDRC1","3,639.0","3,982.0","4,308.0","4,578.0","4,712.0","5,173.0","5,519.0","6,013.0","6,450.0","6,598.0","7,098.0","7,445.0","7,973.0","8,405.0","8,743.0","9,349.0","9,777.0","9,874.0","9,969.0","11,191.0","11,796.0","12,938.0","14,015.0","14,764.0","15,435.0","16,135.0","16,679.0","17,436.0","18,050.0","20,126.0","21,313.0","22,874.0","24,746.0","24,562.0","25,324.0","27,865.0","29,590.0","32,486.0","33,362.0","34,767.0","34,538.0","35,601.0","38,152.0","40,278.0","42,389.0","44,089.0"
"92","74","        Air transportation (64)","DAITRC1","2,846.0","3,075.0","3,480.0","4,128.0","4,712.0","5,543.0","5,890.0","7,128.0","8,291.0","9,096.0","10,384.0","12,768.0","13,377.0","13,480.0","15,066.0","17,552.0","18,088.0","18,987.0","20,935.0","22,987.0","24,840.0","25,891.0","25,069.0","25,581.0","27,742.0","29,226.0","31,072.0","33,269.0","37,216.0","40,269.0","43,042.0","49,166.0","42,873.0","39,515.0","42,678.0","44,734.0","45,446.0","46,318.0","47,572.0","47,413.0","42,196.0","42,652.0","44,311.0","46,862.0","48,799.0","52,144.0"
"93","75","        Water transportation (65)","DWATRC1","5.0","5.0","6.0","7.0","9.0","11.0","12.0","14.0","17.0","19.0","23.0","27.0","31.0","35.0","71.0","143.0","242.0","349.0","390.0","451.0","434.0","340.0","212.0","145.0","303.0","632.0","1,058.0","1,494.0","1,807.0","2,001.0","2,084.0","2,218.0","2,301.0","2,299.0","2,369.0","2,512.0","2,549.0","2,646.0","2,775.0","2,805.0","2,539.0","2,730.0","2,855.0","3,125.0","3,287.0","3,468.0"
"94","76","    Recreation services","DRCARC1","12,925.0","14,001.0","15,118.0","16,329.0","18,348.0","20,948.0","23,653.0","26,535.0","29,562.0","32,850.0","36,725.0","40,837.0","47,125.0","52,473.0","59,430.0","66,117.0","73,958.0","80,369.0","87,276.0","99,233.0","110,665.0","121,766.0","127,181.0","139,799.0","153,375.0","164,661.0","181,092.0","195,583.0","208,318.0","220,205.0","238,056.0","254,392.0","262,290.0","271,404.0","289,178.0","312,103.0","328,899.0","351,945.0","375,845.0","384,491.0","375,999.0","385,051.0","400,558.0","419,776.0","434,672.0","455,499.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRC1","6,926.0","7,575.0","8,091.0","8,628.0","9,364.0","10,775.0","12,106.0","13,211.0","14,961.0","16,623.0","18,282.0","20,149.0","22,611.0","24,641.0","27,214.0","29,383.0","31,994.0","33,921.0","35,799.0","40,016.0","45,305.0","49,733.0","52,106.0","57,425.0","61,233.0","64,206.0","69,535.0","74,607.0","78,995.0","83,320.0","87,287.0","91,930.0","94,315.0","97,513.0","103,805.0","110,303.0","117,938.0","127,219.0","137,296.0","140,466.0","137,923.0","141,760.0","148,379.0","154,861.0","160,492.0","168,826.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRC1","3,538.0","3,800.0","4,116.0","4,300.0","4,981.0","5,689.0","6,464.0","7,497.0","8,051.0","8,622.0","9,653.0","10,733.0","12,350.0","14,012.0","16,608.0","18,967.0","21,928.0","24,482.0","27,161.0","31,144.0","34,656.0","37,875.0","39,388.0","42,597.0","45,979.0","46,500.0","49,994.0","52,772.0","55,540.0","60,011.0","65,508.0","70,138.0","72,652.0","73,441.0","76,101.0","81,308.0","81,497.0","84,419.0","89,293.0","92,658.0","93,555.0","96,050.0","99,147.0","104,826.0","107,984.0","110,976.0"
"97","79","      Gambling (91)","DGAMRC1","1,518.0","1,667.0","1,869.0","2,177.0","2,654.0","3,037.0","3,447.0","3,930.0","4,411.0","5,182.0","5,865.0","6,702.0","8,427.0","9,678.0","11,053.0","12,564.0","14,253.0","15,516.0","16,938.0","19,686.0","21,255.0","23,660.0","24,664.0","28,080.0","33,277.0","39,608.0","45,418.0","50,291.0","54,513.0","55,881.0","62,341.0","67,556.0","69,990.0","74,057.0","81,251.0","90,109.0","96,477.0","104,657.0","109,967.0","110,153.0","105,010.0","105,559.0","109,882.0","114,252.0","118,096.0","123,282.0"
