"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"45","26","    Interest","B1869C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","83,005.0","82,658.0","80,492.0","83,577.0","83,699.0","90,137.0","93,028.0","103,285.0","103,225.0","106,362.0","117,390.0","125,026.0","136,605.0","144,096.0","142,976.0","145,229.0","143,898.0","143,070.0","146,315.0","150,098.0","145,475.0","135,129.0","130,779.0","123,479.0","117,367.0","112,497.0","107,961.0","106,080.0","105,666.0","103,299.0","104,617.0","112,189.0","111,112.0","123,522.0","133,169.0","144,839.0","151,853.0","159,503.0","164,595.0","165,606.0","162,203.0","166,019.0","172,960.0","182,533.0","189,886.0","198,491.0","204,304.0","212,746.0","215,144.0","216,433.0","221,117.0","217,390.0","215,107.0","217,525.0","229,881.0","247,821.0","255,385.0","276,043.0","287,645.0","292,389.0","278,099.0","261,427.0","242,103.0","213,970.0","203,354.0","212,480.0","210,651.0","206,771.0","190,845.0","191,633.0","193,589.0","194,621.0","197,145.0","213,429.0","233,158.0","257,024.0","281,023.0","305,227.0","335,371.0","369,159.0","406,685.0","451,948.0","481,078.0","510,706.0","540,257.0","586,738.0","595,735.0","586,490.0","526,562.0","498,018.0","496,142.0","449,514.0","381,548.0","343,667.0","324,673.0","320,237.0","311,554.0","310,302.0","306,824.0","313,960.0","304,210.0","310,182.0","313,945.0","309,241.0","309,858.0","307,586.0","308,137.0","310,682.0","311,941.0","307,220.0","302,015.0","303,110.0","299,862.0","298,079.0","304,900.0","308,243.0","316,511.0","327,787.0","331,246.0","334,834.0","....."
"46","27","    Dividends","B3376C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,352.0","9,032.0","10,164.0","11,412.0","10,196.0","11,072.0","10,304.0","13,256.0","10,900.0","16,980.0","13,244.0","11,812.0","23,276.0","12,984.0","14,476.0","14,376.0","18,832.0","17,396.0","16,760.0","21,748.0","17,720.0","17,804.0","14,672.0","18,280.0","16,084.0","16,832.0","15,432.0","18,248.0","22,000.0","19,976.0","16,036.0","17,528.0","24,328.0","19,524.0","17,984.0","24,108.0","23,220.0","23,636.0","30,896.0","25,396.0","26,708.0","26,024.0","29,600.0","32,400.0","27,696.0","31,596.0","30,788.0","41,040.0","35,512.0","36,760.0","42,892.0","48,744.0","66,156.0","54,608.0","41,356.0","41,728.0","49,136.0","62,664.0","62,384.0","53,484.0","47,160.0","31,396.0","54,872.0","52,728.0","43,160.0","42,600.0","38,184.0","55,056.0","40,040.0","107,988.0","59,392.0","68,256.0","81,006.0","64,976.0","47,001.0","100,319.0","95,395.0","68,439.0","125,820.0","120,260.0","72,669.0","75,181.0","97,527.0","187,077.0","82,518.0","110,812.0","108,655.0","132,221.0","121,168.0","115,362.0","116,943.0","189,941.0","154,378.0","130,587.0","91,747.0","99,354.0","130,517.0","112,222.0","120,279.0","143,292.0","134,306.0","140,960.0","147,523.0","151,944.0","151,102.0","147,454.0","150,582.0","160,010.0","169,625.0","145,774.0","191,709.0","169,039.0","191,516.0","167,630.0","172,375.0","160,252.0","203,087.0","194,606.0","195,527.0","177,894.0","....."
"47","28","    Reinvested earnings on foreign direct investment in the United States","B3476C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-845.0","2,224.0","-2,206.0","-2,161.0","1,537.0","-499.0","2,621.0","-4,836.0","4,446.0","-1,598.0","943.0","1,655.0","-12,910.0","-1,200.0","-5,388.0","-12,099.0","-11,773.0","-10,944.0","-8,971.0","-23,724.0","-19,486.0","-17,430.0","-13,130.0","-22,346.0","-16,109.0","-9,043.0","-8,410.0","-12,083.0","-18,577.0","-5,454.0","-5,399.0","1,957.0","-4,069.0","3,322.0","11,617.0","9,421.0","9,314.0","8,881.0","8,488.0","7,837.0","7,412.0","11,009.0","10,171.0","6,229.0","22,222.0","14,849.0","20,426.0","3,145.0","6,267.0","9,913.0","670.0","-4,659.0","-19,335.0","-1.0","23,398.0","13,250.0","17,283.0","2,587.0","-10,609.0","-9,501.0","-16,010.0","-16,115.0","-25,369.0","-77,119.0","-10,221.0","13,762.0","22,494.0","-18,942.0","40,216.0","-30,725.0","27,603.0","20,892.0","20,481.0","60,915.0","70,485.0","47,399.0","43,684.0","72,877.0","5,492.0","46,483.0","90,957.0","105,539.0","92,669.0","-11,197.0","96,265.0","64,910.0","43,663.0","-10,865.0","60,221.0","84,886.0","44,367.0","-31,717.0","-43,688.0","9,038.0","44,924.0","77,244.0","37,587.0","70,176.0","79,283.0","64,350.0","84,731.0","94,902.0","80,051.0","55,278.0","83,091.0","84,722.0","93,836.0","88,905.0","87,116.0","109,637.0","59,564.0","83,133.0","74,045.0","111,205.0","104,090.0","107,117.0","53,294.0","75,215.0","93,818.0","95,468.0","....."
"48","29","Current taxes and transfer payments to the rest of the world \2\","A123RC1","4,900.0","6,760.0","5,472.0","6,636.0","5,892.0","6,796.0","6,936.0","6,848.0","7,496.0","7,712.0","7,516.0","8,892.0","9,672.0","8,612.0","9,880.0","8,744.0","7,064.0","8,672.0","7,840.0","7,896.0","6,944.0","11,020.0","7,996.0","8,980.0","9,988.0","11,784.0","6,652.0","8,144.0","7,244.0","7,156.0","10,640.0","7,448.0","7,708.0","8,456.0","8,164.0","8,120.0","8,420.0","8,980.0","8,516.0","9,452.0","9,332.0","9,960.0","10,632.0","12,284.0","12,852.0","10,756.0","11,728.0","15,136.0","15,477.0","16,333.0","18,061.0","18,285.0","19,064.0","19,105.0","19,414.0","21,762.0","17,400.0","18,944.0","20,572.0","25,063.0","20,572.0","21,165.0","23,946.0","28,885.0","23,803.0","24,588.0","26,873.0","27,343.0","24,469.0","28,485.0","29,434.0","28,662.0","24,066.0","25,539.0","26,347.0","31,286.0","27,878.0","26,144.0","27,351.0","34,577.0","28,131.0","27,081.0","30,873.0","35,514.0","31,022.0","35,654.0","34,560.0","25,699.0","-54,252.0","-9,401.0","17,058.0","26,955.0","33,985.0","38,655.0","43,425.0","51,580.0","38,826.0","41,959.0","45,207.0","55,427.0","39,731.0","41,474.0","46,134.0","56,974.0","43,713.0","42,523.0","44,198.0","45,765.0","51,397.0","44,640.0","45,155.0","56,859.0","46,234.0","47,352.0","49,032.0","63,078.0","55,004.0","56,235.0","59,533.0","69,360.0","88,360.0","91,186.0","92,224.0","103,151.0","94,440.0","99,236.0","105,330.0","124,063.0","110,452.0","113,682.0","118,171.0","124,425.0","133,548.0","122,681.0","126,230.0","134,302.0","141,333.0","144,546.0","146,216.0","147,686.0","166,079.0","155,221.0","154,906.0","168,815.0","185,133.0","167,830.0","176,664.0","184,994.0","165,846.0","175,699.0","179,730.0","176,944.0","205,331.0","186,883.0","199,219.0","213,250.0","235,401.0","229,369.0","227,367.0","235,996.0","224,327.0","238,954.0","236,065.0","224,501.0","239,483.0","230,596.0","236,889.0","238,807.0","255,370.0","255,785.0","249,804.0","252,613.0","251,575.0","253,782.0","256,279.0","255,462.0","262,137.0","267,151.0","275,746.0","272,828.0","272,371.0","276,877.0","280,717.0","287,473.0","289,447.0","283,143.0","294,498.0","287,067.0","300,145.0"
"49","30","  From persons","LA0000021","992.0","1,180.0","1,120.0","1,168.0","1,260.0","1,340.0","1,284.0","1,260.0","1,268.0","1,296.0","1,408.0","1,432.0","1,352.0","1,388.0","1,360.0","1,420.0","1,184.0","1,248.0","1,272.0","2,512.0","1,372.0","1,368.0","1,364.0","1,348.0","1,348.0","1,196.0","1,460.0","1,348.0","1,444.0","1,304.0","1,340.0","1,416.0","1,404.0","1,412.0","1,356.0","1,328.0","1,384.0","1,600.0","1,560.0","1,756.0","1,548.0","1,516.0","1,704.0","2,088.0","1,888.0","1,860.0","1,960.0","2,100.0","5,229.0","5,381.0","5,669.0","6,033.0","6,404.0","6,757.0","6,874.0","6,918.0","6,436.0","6,868.0","7,284.0","7,403.0","7,636.0","7,905.0","7,814.0","8,241.0","8,411.0","8,164.0","8,537.0","8,195.0","8,881.0","8,869.0","9,166.0","9,658.0","9,470.0","9,955.0","10,395.0","10,290.0","10,722.0","10,712.0","10,527.0","11,197.0","11,147.0","11,429.0","11,397.0","12,234.0","12,050.0","11,802.0","12,540.0","12,487.0","13,756.0","13,835.0","14,054.0","14,683.0","11,535.0","12,603.0","19,302.0","14,526.0","16,269.0","16,697.0","17,314.0","17,998.0","18,493.0","18,866.0","19,086.0","19,276.0","18,908.0","18,941.0","20,163.0","23,007.0","21,425.0","22,657.0","22,940.0","23,520.0","25,103.0","25,128.0","25,584.0","26,837.0","26,879.0","28,743.0","30,381.0","32,661.0","57,959.0","60,085.0","61,053.0","61,468.0","61,043.0","62,573.0","64,480.0","67,032.0","70,629.0","72,428.0","75,018.0","74,941.0","79,783.0","81,972.0","85,758.0","89,353.0","88,948.0","91,694.0","92,647.0","93,759.0","90,515.0","87,632.0","87,284.0","89,818.0","93,981.0","93,179.0","93,685.0","94,779.0","99,714.0","99,900.0","99,290.0","99,082.0","102,094.0","105,281.0","113,188.0","125,857.0","135,734.0","135,022.0","137,689.0","140,259.0","137,893.0","143,686.0","137,964.0","138,981.0","146,024.0","145,332.0","147,260.0","151,426.0","175,625.0","161,655.0","160,293.0","160,355.0","155,484.0","156,198.0","158,688.0","163,155.0","174,765.0","173,500.0","173,567.0","176,264.0","176,509.0","176,859.0","176,817.0","181,498.0","177,457.0","178,394.0","179,398.0","180,499.0","181,309.0"
"50","31","  From government","B088RC1","3,632.0","5,288.0","4,044.0","5,132.0","4,264.0","5,060.0","5,244.0","5,156.0","5,804.0","5,996.0","5,680.0","7,032.0","7,932.0","6,816.0","8,096.0","6,616.0","5,188.0","6,816.0","6,028.0","4,484.0","4,668.0","8,916.0","5,896.0","6,044.0","7,920.0","9,988.0","4,528.0","5,820.0","4,520.0","5,056.0","8,468.0","4,640.0","4,900.0","5,724.0","5,692.0","5,044.0","5,804.0","5,948.0","5,876.0","6,032.0","6,188.0","6,656.0","6,780.0","7,648.0","8,648.0","6,552.0","7,528.0","10,316.0","7,460.0","7,748.0","9,100.0","8,752.0","9,672.0","8,616.0","9,132.0","11,300.0","7,780.0","8,664.0","10,008.0","13,908.0","9,384.0","9,776.0","12,708.0","17,128.0","12,580.0","13,572.0","15,344.0","16,228.0","12,140.0","16,692.0","17,200.0","15,692.0","11,768.0","12,248.0","12,240.0","17,464.0","12,524.0","10,700.0","12,772.0","18,908.0","12,512.0","11,372.0","14,920.0","18,128.0","14,688.0","18,956.0","16,816.0","8,324.0","-72,884.0","-28,344.0","-2,012.0","7,220.0","17,276.0","20,576.0","18,488.0","31,664.0","17,260.0","20,012.0","22,536.0","31,912.0","15,580.0","17,260.0","21,072.0","30,664.0","16,124.0","15,024.0","15,392.0","15,672.0","23,308.0","15,176.0","15,520.0","26,032.0","13,556.0","13,672.0","14,088.0","25,468.0","14,484.0","13,572.0","15,792.0","25,724.0","23,362.0","25,514.0","24,834.0","35,289.0","25,404.0","26,847.0","29,497.0","42,407.0","25,054.0","25,324.0","27,541.0","32,857.0","41,373.0","28,961.0","28,633.0","33,003.0","40,017.0","40,467.0","38,748.0","35,568.0","48,652.0","37,532.0","38,165.0","41,273.0","56,306.0","42,734.0","49,801.0","59,509.0","42,516.0","49,370.0","51,463.0","46,312.0","63,832.0","45,047.0","50,797.0","62,781.0","64,090.0","59,953.0","57,509.0","60,534.0","59,937.0","73,082.0","78,381.0","63,283.0","73,891.0","64,837.0","69,520.0","71,808.0","72,106.0","81,561.0","72,211.0","72,911.0","74,597.0","73,159.0","74,570.0","70,765.0","71,232.0","72,581.0","76,597.0","70,429.0","72,518.0","70,271.0","71,601.0","72,785.0","78,200.0","67,250.0","76,615.0","68,733.0","79,945.0"
"51","32","  From business","W164RC1","276.0","292.0","308.0","336.0","368.0","396.0","408.0","432.0","424.0","420.0","428.0","428.0","388.0","408.0","424.0","708.0","692.0","608.0","540.0","900.0","904.0","736.0","736.0","1,588.0","720.0","600.0","664.0","976.0","1,280.0","796.0","832.0","1,392.0","1,404.0","1,320.0","1,116.0","1,748.0","1,232.0","1,432.0","1,080.0","1,664.0","1,596.0","1,788.0","2,148.0","2,548.0","2,316.0","2,344.0","2,240.0","2,720.0","2,788.0","3,204.0","3,292.0","3,500.0","2,988.0","3,732.0","3,408.0","3,544.0","3,184.0","3,412.0","3,280.0","3,752.0","3,552.0","3,484.0","3,424.0","3,516.0","2,812.0","2,852.0","2,992.0","2,920.0","3,448.0","2,924.0","3,068.0","3,312.0","2,828.0","3,336.0","3,712.0","3,532.0","4,632.0","4,732.0","4,052.0","4,472.0","4,472.0","4,280.0","4,556.0","5,152.0","4,284.0","4,896.0","5,204.0","4,888.0","4,876.0","5,108.0","5,016.0","5,052.0","5,174.0","5,476.0","5,635.0","5,390.0","5,297.0","5,250.0","5,357.0","5,517.0","5,658.0","5,348.0","5,976.0","7,034.0","8,681.0","8,557.0","8,642.0","7,087.0","6,665.0","6,807.0","6,695.0","7,307.0","7,575.0","8,552.0","9,360.0","10,773.0","13,641.0","13,920.0","13,360.0","10,975.0","7,039.0","5,587.0","6,336.0","6,394.0","7,993.0","9,815.0","11,354.0","14,624.0","14,769.0","15,929.0","15,612.0","16,627.0","12,391.0","11,748.0","11,839.0","11,946.0","12,368.0","12,385.0","14,820.0","18,359.0","26,912.0","30,058.0","29,457.0","37,724.0","34,846.0","31,917.0","33,178.0","30,706.0","23,616.0","26,428.0","28,977.0","31,550.0","39,406.0","36,555.0","35,234.0","24,612.0","35,577.0","34,393.0","32,169.0","35,203.0","26,497.0","22,186.0","19,721.0","22,237.0","19,567.0","20,428.0","20,109.0","15,573.0","7,639.0","12,569.0","17,300.0","19,346.0","21,493.0","24,425.0","23,022.0","21,542.0","16,140.0","21,069.0","25,582.0","26,134.0","23,344.0","29,747.0","32,299.0","33,190.0","33,791.0","37,499.0","38,485.0","37,835.0","38,891.0"
"52","33","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,810.0","-2,700.0","2,433.0","-2,587.0","-10,667.0","9,846.0","28,158.0","6,707.0","1,670.0","171.0","7,073.0","4,591.0","652.0","17,438.0","-14,037.0","-17,251.0","-7,896.0","-27,637.0","-47,909.0","-56,768.0","-78,537.0","-87,923.0","-90,436.0","-103,420.0","-89,413.0","-111,362.0","-121,275.0","-135,167.0","-128,322.0","-141,860.0","-150,218.0","-150,295.0","-150,932.0","-154,383.0","-154,049.0","-157,009.0","-126,872.0","-109,954.0","-106,454.0","-119,615.0","-106,700.0","-93,573.0","-81,653.0","-87,480.0","-90,034.0","-72,862.0","-82,377.0","-54,313.0","46,571.0","14,772.0","-13,026.0","-16,793.0","-21,792.0","-39,387.0","-52,703.0","-68,410.0","-56,520.0","-73,666.0","-76,547.0","-107,392.0","-92,066.0","-108,272.0","-120,812.0","-137,649.0","-118,389.0","-118,587.0","-99,003.0","-84,230.0","-102,032.0","-108,417.0","-132,588.0","-113,390.0","-131,133.0","-101,083.0","-122,006.0","-162,947.0","-164,041.0","-195,235.0","-223,782.0","-234,976.0","-240,887.0","-273,378.0","-306,293.0","-325,838.0","-376,099.0","-386,009.0","-423,587.0","-429,204.0","-418,965.0","-379,673.0","-412,552.0","-343,887.0","-406,492.0","-451,352.0","-452,709.0","-492,499.0","-532,787.0","-513,828.0","-514,226.0","-501,937.0","-540,117.0","-617,456.0","-635,439.0","-715,068.0","-677,626.0","-705,214.0","-735,472.0","-832,430.0","-787,342.0","-813,006.0","-858,727.0","-749,558.0","-799,241.0","-757,806.0","-685,471.0","-629,962.0","-731,952.0","-717,714.0","-708,441.0","-608,415.0","-392,687.0","-360,902.0","-372,886.0","-401,131.0","-435,295.0","-449,888.0","-474,635.0","-423,905.0","-487,032.0","-505,122.0","-460,702.0","-473,209.0","-511,985.0","-495,573.0","-436,153.0","-428,937.0","-441,280.0","-421,973.0","-392,167.0","-327,643.0","-402,741.0","-373,777.0","-392,666.0","-435,336.0","-474,693.0","-425,590.0","-487,225.0","-472,447.0","....."
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","34","  Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,906.0","-2,808.0","2,325.0","-2,707.0","-10,787.0","9,718.0","28,026.0","6,575.0","1,542.0","51.0","6,953.0","4,471.0","532.0","17,322.0","-14,145.0","-17,359.0","-8,004.0","-27,741.0","-48,005.0","-56,864.0","-78,625.0","-88,015.0","-90,536.0","-103,532.0","-89,549.0","-111,510.0","-121,427.0","-135,303.0","-128,442.0","-141,968.0","-150,326.0","-150,403.0","-151,060.0","-154,519.0","-154,193.0","-157,153.0","-127,008.0","-110,086.0","-106,590.0","-119,747.0","-106,832.0","-93,717.0","-81,797.0","-88,452.0","-90,866.0","-73,014.0","-82,533.0","-82,665.0","42,131.0","14,204.0","-29,038.0","-16,969.0","-22,016.0","-39,807.0","-46,759.0","-68,602.0","-59,160.0","-73,878.0","-76,995.0","-107,592.0","-92,238.0","-111,884.0","-121,880.0","-137,877.0","-118,625.0","-118,319.0","-100,979.0","-83,962.0","-102,248.0","-108,621.0","-132,792.0","-113,602.0","-131,417.0","-101,659.0","-122,686.0","-163,311.0","-164,257.0","-195,431.0","-224,054.0","-235,212.0","-241,169.0","-273,650.0","-306,598.0","-342,853.0","-376,483.0","-386,380.0","-424,022.0","-429,381.0","-419,194.0","-379,883.0","-360,030.0","-344,210.0","-406,857.0","-451,722.0","-453,347.0","-493,126.0","-533,400.0","-519,196.0","-516,496.0","-502,187.0","-540,608.0","-617,693.0","-623,039.0","-715,589.0","-686,524.0","-705,817.0","-674,285.0","-832,702.0","-792,499.0","-815,232.0","-859,015.0","-750,150.0","-799,501.0","-756,305.0","-685,992.0","-630,320.0","-732,331.0","-718,159.0","-684,636.0","-609,753.0","-393,133.0","-361,397.0","-373,475.0","-401,858.0","-435,800.0","-450,445.0","-475,763.0","-424,449.0","-487,639.0","-509,001.0","-462,337.0","-473,624.0","-512,607.0","-496,941.0","-438,429.0","-398,686.0","-441,887.0","-423,275.0","-393,190.0","-328,068.0","-403,322.0","-374,207.0","-393,084.0","-435,732.0","-475,096.0","-426,084.0","-487,638.0","-472,760.0","....."
"55","35","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,810.0","-2,700.0","2,433.0","-2,587.0","-10,667.0","9,846.0","28,158.0","6,707.0","1,670.0","171.0","7,073.0","4,591.0","652.0","17,438.0","-14,037.0","-17,251.0","-7,896.0","-27,637.0","-47,909.0","-56,768.0","-78,537.0","-87,923.0","-90,436.0","-103,420.0","-89,413.0","-111,362.0","-121,275.0","-135,167.0","-128,322.0","-141,860.0","-150,218.0","-150,295.0","-150,932.0","-154,383.0","-154,049.0","-157,009.0","-126,872.0","-109,954.0","-106,454.0","-119,615.0","-106,700.0","-93,573.0","-81,653.0","-87,480.0","-90,034.0","-72,862.0","-82,377.0","-54,313.0","46,571.0","14,772.0","-13,026.0","-16,793.0","-21,792.0","-39,387.0","-52,703.0","-68,410.0","-56,520.0","-73,666.0","-76,547.0","-107,392.0","-92,066.0","-108,272.0","-120,812.0","-137,649.0","-118,389.0","-118,587.0","-99,003.0","-84,230.0","-102,032.0","-108,417.0","-132,588.0","-113,390.0","-131,133.0","-101,083.0","-122,006.0","-162,947.0","-164,041.0","-195,235.0","-223,782.0","-234,976.0","-240,887.0","-273,378.0","-306,293.0","-325,838.0","-376,099.0","-386,009.0","-423,587.0","-429,204.0","-418,965.0","-379,673.0","-412,552.0","-343,887.0","-406,492.0","-451,352.0","-452,709.0","-492,499.0","-532,787.0","-513,828.0","-514,226.0","-501,937.0","-540,117.0","-617,456.0","-635,439.0","-715,068.0","-677,626.0","-705,214.0","-735,472.0","-832,430.0","-787,342.0","-813,006.0","-858,727.0","-749,558.0","-799,241.0","-757,806.0","-685,471.0","-629,962.0","-731,952.0","-717,714.0","-708,441.0","-608,415.0","-392,687.0","-360,902.0","-372,886.0","-401,131.0","-435,295.0","-449,888.0","-474,635.0","-423,905.0","-487,032.0","-505,122.0","-460,702.0","-473,209.0","-511,985.0","-495,573.0","-436,153.0","-428,937.0","-441,280.0","-421,973.0","-392,167.0","-327,643.0","-402,741.0","-373,777.0","-392,666.0","-435,336.0","-474,693.0","-425,590.0","-487,225.0","-472,447.0","....."
"56","36","    Less: Capital account transactions (net) \3\","W167RC1","4.0","0.0","4.0","0.0","0.0","4.0","4.0","12.0","12.0","12.0","16.0","24.0","24.0","24.0","36.0","36.0","36.0","36.0","40.0","36.0","36.0","36.0","36.0","36.0","48.0","60.0","60.0","60.0","60.0","48.0","48.0","48.0","52.0","60.0","72.0","72.0","84.0","84.0","84.0","96.0","96.0","108.0","108.0","120.0","120.0","128.0","132.0","132.0","128.0","120.0","120.0","120.0","120.0","116.0","108.0","108.0","108.0","104.0","96.0","96.0","88.0","92.0","100.0","112.0","136.0","148.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","224.0","420.0","-5,944.0","192.0","2,640.0","212.0","448.0","200.0","172.0","3,612.0","1,068.0","228.0","236.0","-268.0","1,976.0","-268.0","216.0","204.0","204.0","212.0","284.0","576.0","680.0","364.0","216.0","196.0","272.0","236.0","280.0","272.0","304.0","17,012.0","384.0","372.0","436.0","180.0","228.0","208.0","-52,520.0","324.0","364.0","368.0","640.0","628.0","612.0","5,371.0","2,271.0","249.0","491.0","240.0","-12,406.0","522.0","8,897.0","604.0","-61,190.0","272.0","5,157.0","2,226.0","288.0","592.0","260.0","-1,501.0","520.0","358.0","379.0","445.0","-23,801.0","1,338.0","447.0","495.0","588.0","727.0","504.0","558.0","1,128.0","542.0","605.0","3,878.0","1,635.0","425.0","622.0","1,368.0","2,276.0","-30,251.0","607.0","1,301.0","1,022.0","426.0","581.0","430.0","419.0","395.0","403.0","494.0","412.0","313.0","....."
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
