"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"55","36","Net lending or net borrowing (-), NIPAs","W162RC1","9,397.0","9,869.0","10,077.0","7,797.0","4,908.0","3,016.0","932.0","796.0","2,184.0","1,700.0","648.0","-1,032.0","-965.0","-1,253.0","-2,689.0","-2,489.0","-1,718.0","342.0","2,182.0","2,678.0","3,514.0","1,118.0","-1,062.0","-1,234.0","-1,355.0","-1,835.0","-1,187.0","-935.0","-496.0","328.0","-84.0","904.0","475.0","-237.0","799.0","419.0","931.0","2,223.0","3,015.0","4,523.0","5,540.0","4,798.0","4,902.0","3,586.0","1,461.0","809.0","1,037.0","-151.0","-1,524.0","-2,108.0","-580.0","-876.0","1,724.0","2,487.0","3,697.0","4,778.0","5,333.0","4,017.0","3,759.0","3,745.0","3,051.0","4,768.0","4,130.0","3,247.0","3,879.0","5,318.0","4,625.0","5,964.0","8,242.0","6,742.0","7,560.0","7,326.0","5,747.0","7,037.0","5,950.0","5,896.0","4,682.0","3,916.0","2,721.0","3,915.0","4,372.0","3,556.0","3,177.0","2,827.0","1,656.0","2,218.0","1,472.0","782.0","1,601.0"
"56","37","  Private","W994RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,109.0","1,937.0","6,106.0","10,823.0","13,726.0","13,083.0","11,617.0","10,615.0","12,053.0","13,238.0","11,794.0","11,302.0","9,095.0","8,015.0","9,030.0","9,968.0","15,361.0","18,679.0","15,409.0","12,154.0","6,114.0","7,977.0","15,672.0","15,538.0","9,770.0","8,892.0","11,695.0","16,950.0","26,573.0","25,033.0","25,143.0","21,942.0","16,975.0","19,424.0","9,880.0","8,320.0","-2,273.0"
"57","38","    Domestic business","W995RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-7,962.0","-3,403.0","-1,864.0","3,681.0","2,767.0","1,287.0","-2,701.0","-3,792.0","-2,274.0","-219.0","-1,138.0","46.0","-2,297.0","-2,025.0","-221.0","-2,499.0","3,103.0","933.0","-802.0","-7,994.0","-9,495.0","-7,749.0","-5,660.0","-3,179.0","-7,078.0","-9,478.0","-9,411.0","-10,781.0","-7,030.0","-3,799.0","-6,061.0","-9,466.0","-12,786.0","-11,835.0","-12,123.0","-14,130.0","-17,790.0"
"58","39","    Households and institutions","W996RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,853.0","5,340.0","7,970.0","7,142.0","10,959.0","11,796.0","14,318.0","14,407.0","14,327.0","13,457.0","12,932.0","11,256.0","11,392.0","10,040.0","9,251.0","12,467.0","12,258.0","17,746.0","16,211.0","20,148.0","15,609.0","15,726.0","21,332.0","18,717.0","16,848.0","18,370.0","21,106.0","27,731.0","33,603.0","28,832.0","31,204.0","31,408.0","29,761.0","31,259.0","22,003.0","22,450.0","15,517.0"
"59","40","  Government","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,834.0","550.0","-2,409.0","-6,045.0","-8,395.0","-9,067.0","-7,859.0","-6,872.0","-9,002.0","-8,469.0","-7,662.0","-8,054.0","-5,216.0","-2,697.0","-4,405.0","-4,002.0","-7,118.0","-11,937.0","-7,847.0","-4,828.0","-366.0","-941.0","-9,722.0","-9,642.0","-5,088.0","-4,978.0","-8,974.0","-13,036.0","-22,199.0","-21,476.0","-21,965.0","-19,114.0","-15,320.0","-17,206.0","-8,408.0","-7,538.0","3,874.0"
"60","41","    Federal","AD02RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,608.0","3,484.0","732.0","-2,656.0","-4,464.0","-5,588.0","-4,424.0","-2,572.0","-5,604.0","-5,380.0","-4,544.0","-5,056.0","-1,580.0","644.0","-1,068.0","-488.0","-3,844.0","-8,160.0","-4,672.0","-1,480.0","3,284.0","3,268.0","-4,364.0","-4,360.0","-764.0","-856.0","-4,760.0","-6,860.0","-15,324.0","-13,332.0","-15,040.0","-12,692.0","-9,200.0","-10,672.0","-1,960.0","-916.0","10,260.0"
"61","42","    State and local","AD03RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-2,774.0","-2,934.0","-3,141.0","-3,389.0","-3,931.0","-3,479.0","-3,435.0","-4,300.0","-3,398.0","-3,089.0","-3,118.0","-2,998.0","-3,636.0","-3,341.0","-3,337.0","-3,514.0","-3,274.0","-3,777.0","-3,175.0","-3,348.0","-3,650.0","-4,209.0","-5,358.0","-5,282.0","-4,324.0","-4,122.0","-4,214.0","-6,176.0","-6,875.0","-8,144.0","-6,925.0","-6,422.0","-6,120.0","-6,534.0","-6,448.0","-6,622.0","-6,386.0"
"62","43","    Statistical discrepancy","A030RC1","788.0","2,555.0","2,421.0","3,303.0","730.0","-1,306.0","-350.0","-1,051.0","586.0","1,200.0","2,277.0","3,209.0","3,696.0","1,292.0","617.0","-129.0","2,493.0","3,933.0","4,995.0","2,882.0","3,509.0","2,173.0","2,143.0","3,176.0","3,422.0","3,502.0","3,282.0","5,646.0","2,942.0","2,738.0","3,684.0","3,096.0","4,007.0","1,690.0","2,413.0","1,408.0","-978.0","-1,770.0","-1,865.0","-2,468.0","-497.0","-1,358.0","911.0","646.0","-1,742.0","390.0","2,821.0","2,351.0","580.0","-1,505.0","2,291.0","555.0","277.0","-1,068.0","369.0","-3,395.0","-1,202.0","-431.0","251.0","-975.0","1,048.0","1,463.0","1,514.0","-2,760.0","-1,127.0","-2,754.0","904.0","-328.0","3,101.0","1,675.0","1,206.0","-2,885.0","-1,489.0","-1,032.0","3,339.0","5,186.0","7,549.0","5,478.0","5,801.0","5,851.0","9,031.0","4,930.0","2,979.0","1,083.0","5,820.0","7,716.0","2,661.0","1,074.0","6,640.0"
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","44","  Gross private saving","A126RC1","27,960.0","26,521.0","31,427.0","31,041.0","36,679.0","43,151.0","46,414.0","47,890.0","43,718.0","40,296.0","42,410.0","37,887.0","48,168.0","45,362.0","39,901.0","49,977.0","42,477.0","56,400.0","59,097.0","58,863.0","58,201.0","55,650.0","59,023.0","58,780.0","59,654.0","60,361.0","59,793.0","57,866.0","60,912.0","59,655.0","59,773.0","62,493.0","63,699.0","66,562.0","68,640.0","69,416.0","71,486.0","73,860.0","76,183.0","77,288.0","77,827.0","79,890.0","79,766.0","76,830.0","75,830.0","76,490.0","80,962.0","84,725.0","84,186.0","88,088.0","81,418.0","84,659.0","87,492.0","83,464.0","85,064.0","83,432.0","86,331.0","90,001.0","94,534.0","96,758.0","101,065.0","100,527.0","100,486.0","100,988.0","101,881.0","103,917.0","104,189.0","108,910.0","113,812.0","118,650.0","117,750.0","121,863.0","124,922.0","126,737.0","133,716.0","133,913.0","135,445.0","136,044.0","137,714.0","145,784.0","149,336.0","146,723.0","152,390.0","157,551.0","152,562.0","158,481.0","150,499.0","154,366.0","150,145.0"
"65","45","    Domestic business","W997RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53,245.0","51,385.0","51,351.0","50,323.0","49,722.0","52,725.0","53,646.0","55,199.0","59,337.0","58,746.0","59,464.0","61,789.0","61,854.0","63,614.0","64,408.0","65,272.0","69,020.0","68,834.0","69,550.0","69,308.0","76,190.0","77,490.0","78,367.0","80,721.0","83,777.0","84,055.0","84,060.0","87,524.0","85,550.0","85,165.0","86,888.0","90,225.0","86,740.0","90,258.0","91,040.0","92,698.0","93,447.0"
"66","46","    Households and institutions","W998RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","34,247.0","32,079.0","33,713.0","33,109.0","36,609.0","37,276.0","40,888.0","41,559.0","41,728.0","41,781.0","41,022.0","39,199.0","40,027.0","40,303.0","39,781.0","43,638.0","44,792.0","49,816.0","48,200.0","52,555.0","48,732.0","49,247.0","55,349.0","53,192.0","51,668.0","51,989.0","53,654.0","58,260.0","63,786.0","61,558.0","65,502.0","67,326.0","65,822.0","68,223.0","59,459.0","61,668.0","56,698.0"
"67","47","  Gross government saving","A927RC1","18,622.0","17,458.0","13,659.0","19,606.0","18,719.0","15,969.0","12,246.0","11,042.0","7,381.0","3,770.0","3,610.0","3,405.0","572.0","11,294.0","23,155.0","24,145.0","28,339.0","21,087.0","16,464.0","17,595.0","18,856.0","15,141.0","14,127.0","16,893.0","17,381.0","17,069.0","17,424.0","10,995.0","10,976.0","12,375.0","12,831.0","14,499.0","18,004.0","21,488.0","20,463.0","23,714.0","25,170.0","23,806.0","25,083.0","24,634.0","24,226.0","22,091.0","22,075.0","15,759.0","13,001.0","7,909.0","10,057.0","14,240.0","20,421.0","23,039.0","21,499.0","21,018.0","30,722.0","27,315.0","25,932.0","21,715.0","21,858.0","20,167.0","22,518.0","24,999.0","23,350.0","23,337.0","25,155.0","24,711.0","26,575.0","29,148.0","29,360.0","28,695.0","26,205.0","21,606.0","25,810.0","27,818.0","32,232.0","31,954.0","25,040.0","25,299.0","32,080.0","31,253.0","29,635.0","26,968.0","18,769.0","17,630.0","19,463.0","20,344.0","23,599.0","23,461.0","31,866.0","33,271.0","45,894.0"
"68","48","    Federal","A926RC1","15,256.0","14,056.0","10,676.0","16,344.0","15,696.0","12,712.0","8,880.0","7,408.0","3,720.0","236.0","-124.0","-20.0","-2,456.0","8,520.0","19,260.0","20,080.0","23,212.0","16,044.0","11,464.0","12,236.0","13,332.0","10,040.0","8,040.0","10,708.0","11,668.0","10,236.0","11,084.0","4,580.0","4,632.0","6,200.0","6,920.0","8,452.0","12,048.0","15,224.0","13,492.0","16,552.0","17,512.0","15,824.0","16,976.0","16,600.0","15,656.0","13,928.0","14,104.0","8,280.0","6,440.0","1,360.0","3,380.0","6,460.0","13,164.0","15,248.0","13,080.0","12,412.0","22,076.0","18,716.0","17,180.0","12,824.0","13,184.0","11,536.0","13,348.0","15,620.0","13,548.0","13,356.0","14,560.0","14,084.0","15,980.0","18,320.0","17,904.0","17,308.0","14,184.0","9,636.0","13,536.0","15,552.0","19,980.0","19,232.0","12,172.0","12,060.0","17,748.0","16,400.0","14,688.0","12,556.0","3,948.0","3,364.0","5,504.0","5,348.0","8,376.0","7,044.0","16,128.0","17,412.0","29,560.0"
"69","49","    State and local","A925RC1","3,366.0","3,402.0","2,983.0","3,262.0","3,023.0","3,257.0","3,366.0","3,634.0","3,661.0","3,534.0","3,734.0","3,425.0","3,028.0","2,774.0","3,895.0","4,065.0","5,127.0","5,043.0","5,000.0","5,359.0","5,524.0","5,101.0","6,087.0","6,185.0","5,713.0","6,833.0","6,340.0","6,415.0","6,344.0","6,175.0","5,911.0","6,047.0","5,956.0","6,264.0","6,971.0","7,162.0","7,658.0","7,982.0","8,107.0","8,034.0","8,570.0","8,163.0","7,971.0","7,479.0","6,561.0","6,549.0","6,677.0","7,780.0","7,257.0","7,791.0","8,419.0","8,606.0","8,646.0","8,599.0","8,752.0","8,891.0","8,674.0","8,631.0","9,170.0","9,379.0","9,802.0","9,981.0","10,595.0","10,627.0","10,595.0","10,828.0","11,456.0","11,387.0","12,021.0","11,970.0","12,274.0","12,266.0","12,252.0","12,722.0","12,868.0","13,239.0","14,332.0","14,853.0","14,947.0","14,412.0","14,821.0","14,266.0","13,959.0","14,996.0","15,223.0","16,417.0","15,738.0","15,859.0","16,334.0"
"70","50","  Net domestic investment","W171RC1","12,381.0","10,402.0","10,338.0","18,504.0","23,288.0","26,541.0","28,648.0","28,143.0","20,258.0","14,369.0","18,527.0","16,375.0","24,303.0","29,826.0","36,283.0","45,265.0","42,528.0","47,616.0","44,104.0","41,725.0","41,687.0","35,910.0","39,730.0","42,871.0","43,946.0","44,284.0","42,812.0","36,122.0","35,534.0","34,056.0","35,526.0","37,823.0","43,573.0","47,794.0","47,591.0","49,947.0","49,261.0","47,047.0","48,715.0","46,297.0","46,371.0","45,328.0","46,561.0","37,704.0","33,357.0","31,089.0","39,188.0","47,224.0","51,908.0","56,473.0","50,141.0","51,161.0","60,612.0","50,814.0","50,971.0","39,900.0","44,179.0","47,798.0","55,146.0","58,102.0","62,821.0","60,442.0","62,156.0","58,035.0","61,154.0","61,989.0","66,163.0","66,951.0","69,785.0","69,309.0","70,456.0","71,726.0","81,086.0","80,568.0","84,805.0","85,851.0","96,325.0","93,164.0","93,195.0","95,869.0","92,386.0","83,742.0","87,882.0","90,549.0","92,776.0","98,067.0","92,257.0","94,474.0","105,436.0"
"71","51","    Private","A557RC1","19,127.0","16,710.0","16,125.0","23,640.0","26,935.0","29,478.0","31,100.0","29,481.0","20,929.0","13,682.0","16,656.0","14,203.0","23,190.0","28,239.0","33,887.0","42,826.0","37,947.0","39,909.0","33,805.0","28,335.0","28,927.0","23,319.0","26,998.0","29,894.0","30,218.0","30,102.0","28,986.0","23,620.0","22,520.0","21,912.0","25,079.0","27,882.0","34,037.0","37,426.0","38,686.0","41,768.0","39,932.0","37,477.0","37,698.0","35,629.0","35,482.0","34,946.0","35,656.0","26,753.0","21,853.0","19,559.0","25,834.0","33,149.0","35,650.0","41,345.0","35,308.0","37,988.0","47,728.0","38,217.0","37,050.0","26,240.0","28,138.0","33,297.0","39,567.0","41,114.0","45,890.0","44,038.0","45,017.0","41,267.0","45,343.0","46,561.0","48,869.0","50,741.0","53,417.0","52,675.0","53,826.0","55,130.0","65,353.0","64,545.0","67,308.0","68,321.0","77,071.0","74,815.0","73,073.0","74,337.0","69,755.0","62,824.0","66,291.0","69,283.0","72,136.0","76,835.0","71,537.0","74,503.0","84,135.0"
"72","52","      Domestic business","W790RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","27,561.0","19,996.0","19,771.0","9,196.0","11,422.0","16,627.0","22,030.0","22,993.0","27,474.0","25,063.0","26,260.0","22,832.0","26,324.0","26,097.0","28,350.0","29,427.0","30,981.0","31,212.0","32,648.0","33,742.0","43,519.0","42,301.0","44,918.0","45,820.0","54,517.0","53,647.0","53,021.0","56,417.0","52,579.0","43,174.0","45,556.0","46,861.0","49,538.0","53,957.0","48,676.0","50,457.0","58,766.0"
"73","53","      Households and institutions","W791RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20,167.0","18,221.0","17,279.0","17,044.0","16,716.0","16,670.0","17,537.0","18,121.0","18,416.0","18,975.0","18,757.0","18,435.0","19,019.0","20,464.0","20,519.0","21,314.0","22,436.0","21,463.0","21,178.0","21,388.0","21,834.0","22,244.0","22,390.0","22,501.0","22,554.0","21,168.0","20,052.0","17,920.0","17,176.0","19,650.0","20,735.0","22,422.0","22,598.0","22,878.0","22,861.0","24,046.0","25,369.0"
"74","54","    Government","A889RC1","-6,746.0","-6,308.0","-5,787.0","-5,136.0","-3,647.0","-2,937.0","-2,452.0","-1,338.0","-671.0","687.0","1,871.0","2,172.0","1,113.0","1,587.0","2,396.0","2,439.0","4,581.0","7,707.0","10,299.0","13,390.0","12,760.0","12,591.0","12,732.0","12,977.0","13,728.0","14,182.0","13,826.0","12,502.0","13,014.0","12,144.0","10,447.0","9,941.0","9,536.0","10,368.0","8,905.0","8,179.0","9,329.0","9,570.0","11,017.0","10,668.0","10,889.0","10,382.0","10,905.0","10,951.0","11,504.0","11,530.0","13,354.0","14,075.0","16,258.0","15,128.0","14,833.0","13,173.0","12,884.0","12,597.0","13,921.0","13,660.0","16,041.0","14,501.0","15,579.0","16,988.0","16,931.0","16,404.0","17,139.0","16,768.0","15,811.0","15,428.0","17,294.0","16,210.0","16,368.0","16,634.0","16,630.0","16,596.0","15,733.0","16,023.0","17,497.0","17,530.0","19,254.0","18,349.0","20,122.0","21,532.0","22,631.0","20,918.0","21,591.0","21,266.0","20,640.0","21,232.0","20,720.0","19,971.0","21,301.0"
"75","55","      Federal","A890RC1","-7,648.0","-7,208.0","-6,828.0","-6,360.0","-5,060.0","-4,760.0","-4,580.0","-3,688.0","-3,252.0","-2,496.0","-1,656.0","-1,384.0","-2,392.0","-2,040.0","-1,416.0","-1,548.0","516.0","3,196.0","5,712.0","8,936.0","8,128.0","8,032.0","8,252.0","8,308.0","8,848.0","9,376.0","8,748.0","6,948.0","6,944.0","5,932.0","3,968.0","3,480.0","2,752.0","3,356.0","1,908.0","1,156.0","1,776.0","1,804.0","3,260.0","2,876.0","2,312.0","1,756.0","2,328.0","2,068.0","2,352.0","2,340.0","3,676.0","4,012.0","5,960.0","5,096.0","5,256.0","4,352.0","3,864.0","3,220.0","4,124.0","3,864.0","5,460.0","4,848.0","5,492.0","5,836.0","6,196.0","5,744.0","6,200.0","5,672.0","4,056.0","3,732.0","4,840.0","3,516.0","3,628.0","3,192.0","3,160.0","3,280.0","2,352.0","1,840.0","2,216.0","1,952.0","3,476.0","2,436.0","4,072.0","4,312.0","4,476.0","3,040.0","4,364.0","3,376.0","2,132.0","1,680.0","1,112.0","240.0","1,652.0"
"76","56","      State and local","A893RC1","902.0","900.0","1,041.0","1,224.0","1,413.0","1,823.0","2,128.0","2,350.0","2,581.0","3,183.0","3,527.0","3,556.0","3,505.0","3,627.0","3,812.0","3,987.0","4,065.0","4,511.0","4,587.0","4,454.0","4,632.0","4,559.0","4,480.0","4,669.0","4,880.0","4,806.0","5,078.0","5,554.0","6,070.0","6,212.0","6,479.0","6,461.0","6,784.0","7,012.0","6,997.0","7,023.0","7,553.0","7,766.0","7,757.0","7,792.0","8,577.0","8,626.0","8,577.0","8,883.0","9,152.0","9,190.0","9,678.0","10,063.0","10,299.0","10,030.0","9,576.0","8,819.0","9,020.0","9,380.0","9,798.0","9,795.0","10,580.0","9,654.0","10,089.0","11,152.0","10,735.0","10,661.0","10,939.0","11,096.0","11,755.0","11,695.0","12,454.0","12,694.0","12,740.0","13,442.0","13,470.0","13,316.0","13,381.0","14,183.0","15,281.0","15,578.0","15,777.0","15,913.0","16,050.0","17,220.0","18,154.0","17,878.0","17,227.0","17,890.0","18,508.0","19,552.0","19,608.0","19,732.0","19,649.0"
"77","57","  Gross saving as a percentage of gross national income","W206RC1","19.6","18.4","18.5","20.1","21.2","21.9","21.3","21.2","18.9","16.5","17.3","15.7","17.9","19.9","20.8","23.5","21.6","23.2","22.2","22.0","22.0","20.1","20.4","20.4","20.4","20.3","20.3","18.5","19.2","19.2","19.1","19.8","20.4","21.4","21.2","21.8","22.4","22.3","22.8","22.5","22.1","22.0","21.7","20.0","19.4","18.3","19.3","20.4","21.0","21.7","20.2","20.5","22.3","20.9","20.9","19.8","20.3","20.3","21.2","21.5","21.5","21.1","21.2","20.9","21.1","21.5","21.3","21.6","21.5","21.2","21.3","21.9","22.4","22.2","21.8","21.3","21.8","21.5","21.1","21.4","20.7","20.0","20.5","20.8","20.0","20.2","19.8","19.9","20.4"
"78","58","  Net saving as a percentage of gross national income","W207RC1","8.8","7.4","7.4","9.1","10.5","11.4","10.9","10.8","8.1","5.6","6.3","4.6","7.2","9.6","10.9","13.6","11.7","13.2","12.1","12.0","11.9","9.9","10.2","10.4","10.4","10.2","10.1","7.9","8.6","8.4","8.4","9.2","10.0","11.1","11.0","11.5","11.8","11.6","12.1","11.8","11.4","11.1","10.8","8.8","8.0","6.8","7.9","9.2","10.0","10.9","9.3","9.6","11.7","10.3","10.2","9.1","9.5","9.6","10.6","11.1","11.2","10.9","10.9","10.7","10.9","11.3","11.1","11.5","11.5","11.2","11.4","12.0","12.6","12.4","12.0","11.6","12.2","11.8","11.4","11.6","10.8","10.0","10.5","10.8","10.1","10.3","9.9","10.0","10.5"
"79","59","  Disaster losses \2\","W771RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"80","60","    Private","W772RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"81","61","      Domestic business","W773RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"82","62","      Households and institutions","W774RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"83","63","    Government","W775RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"84","64","      Federal","W776RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"85","65","      State and local","W777RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
