"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"104","82","        Owner-occupied housing","W307RC1","-77.0","-108.0","-137.0","-149.0","-169.0","-208.0","-226.0","-253.0","-273.0","-307.0","-348.0","-365.0","-378.0","-422.0","-443.0","-432.0","-455.0","-485.0","-508.0","-558.0","-640.0","-661.0","-775.0","-795.0"
"105","83","        Persons","W308RC1","-60.0","-108.0","-153.0","-188.0","-237.0","-285.0","-314.0","-389.0","-405.0","-465.0","-540.0","-597.0","-587.0","-669.0","-772.0","-827.0","-886.0","-942.0","-1,031.0","-1,179.0","-1,354.0","-1,390.0","-1,663.0","-1,723.0"
"106","84","      Nonprofit institutions","W309RC1","-4.0","-6.0","-8.0","-9.0","-10.0","-12.0","-13.0","-13.0","-14.0","-16.0","-18.0","-19.0","-21.0","-24.0","-27.0","-28.0","-32.0","-35.0","-39.0","-45.0","-54.0","-57.0","-70.0","-73.0"
"107","85","    Government","W310RC1","-63.0","-52.0","-52.0","-50.0","-49.0","-45.0","-36.0","-25.0","-29.0","-16.0","-4.0","0.0","-28.0","0.0","0.0","-9.0","-33.0","-1.0","0.0","-1.0","-11.0","-53.0","-36.0","-462.0"
"108","86","      Federal","W311RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","87","      State and local","W312RC1","-63.0","-52.0","-52.0","-50.0","-49.0","-45.0","-36.0","-25.0","-29.0","-16.0","-4.0","0.0","-28.0","0.0","0.0","-9.0","-33.0","-1.0","0.0","-1.0","-11.0","-53.0","-36.0","-462.0"
"110","88","    Rest of the world","W313RC1","0.0","0.0","0.0","0.0","0.0","0.0","-24.0","-21.0","-23.0","-34.0","-42.0","-53.0","-67.0","-76.0","-81.0","-90.0","-113.0","-111.0","-138.0","-179.0","-183.0","-174.0","-179.0","-159.0"
"111","89","  Imputed interest received","W360RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0"
"112","90","    Domestic corporate business, financial","W361RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0"
"113","91","      Banks, credit agencies, and investment companies","W362RC1","-590.0","-813.0","-1,032.0","-1,137.0","-1,303.0","-1,587.0","-1,737.0","-1,914.0","-1,951.0","-2,134.0","-2,467.0","-2,669.0","-2,769.0","-3,056.0","-3,372.0","-3,437.0","-3,706.0","-3,908.0","-4,182.0","-4,790.0","-5,636.0","-5,918.0","-6,979.0","-7,769.0"
"114",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","92","  Net interest (93+97+98+99)","B060RC1","1,794.0","2,329.0","2,442.0","2,687.0","2,968.0","3,436.0","3,821.0","4,465.0","5,306.0","5,927.0","6,540.0","7,677.0","9,165.0","9,303.0","10,244.0","12,036.0","13,728.0","14,682.0","16,891.0","19,081.0","21,740.0","24,714.0","26,168.0","31,759.0"
"116","93","    Domestic business (2+44+71-26-50-90)","A1626C1","823.0","1,146.0","1,014.0","1,109.0","1,190.0","1,328.0","1,451.0","1,795.0","2,155.0","2,393.0","2,502.0","2,984.0","3,670.0","3,205.0","3,448.0","4,331.0","5,044.0","5,254.0","6,450.0","7,618.0","9,451.0","11,581.0","12,139.0","17,178.0"
"117","94","      Corporate (3+44+72-27-51-90)","W499RC1","-27.0","190.0","-127.0","-208.0","-325.0","-442.0","-487.0","-289.0","-134.0","-145.0","-287.0","-168.0","179.0","-512.0","-529.0","-9.0","238.0","-113.0","269.0","677.0","1,658.0","3,219.0","2,991.0","6,799.0"
"118","95","      Sole proprietorships and partnerships (8+75-30-54)","B1649C1","281.0","366.0","454.0","516.0","584.0","713.0","753.0","761.0","811.0","902.0","1,011.0","1,133.0","1,266.0","1,318.0","1,373.0","1,495.0","1,748.0","2,015.0","2,485.0","2,918.0","3,450.0","3,782.0","4,211.0","5,058.0"
"119","96","      Other private business (11+78-31-57)","B1657C1","569.0","589.0","687.0","801.0","931.0","1,057.0","1,185.0","1,323.0","1,479.0","1,636.0","1,778.0","2,020.0","2,225.0","2,399.0","2,604.0","2,845.0","3,059.0","3,352.0","3,696.0","4,023.0","4,343.0","4,579.0","4,937.0","5,321.0"
"120","97","    Owner-occupied housing (16+82-60)","W318RC1","915.0","1,071.0","1,262.0","1,419.0","1,620.0","1,909.0","2,206.0","2,491.0","2,887.0","3,293.0","3,904.0","4,573.0","5,238.0","5,887.0","6,568.0","7,246.0","8,141.0","8,830.0","9,752.0","10,664.0","11,468.0","12,154.0","13,122.0","14,516.0"
"121","98","    Nonprofit institutions (18+84)","B1131C1","55.0","57.0","57.0","62.0","65.0","65.0","69.0","71.0","74.0","76.0","77.0","80.0","81.0","86.0","98.0","112.0","123.0","140.0","184.0","230.0","302.0","390.0","470.0","567.0"
"122","99","    Rest of the world (22+48+88-38-69)","A1627C1","1.0","55.0","109.0","97.0","93.0","134.0","95.0","108.0","190.0","165.0","57.0","41.0","177.0","124.0","130.0","347.0","420.0","458.0","505.0","569.0","519.0","589.0","437.0","-502.0"
"123","100","  Net interest paid by government (19+85-35-66)","A085RC1","4,233.0","4,316.0","4,353.0","4,543.0","4,710.0","4,844.0","4,915.0","5,046.0","5,246.0","5,284.0","5,821.0","6,308.0","6,143.0","7,273.0","8,031.0","7,678.0","8,367.0","9,039.0","9,725.0","10,149.0","10,985.0","11,657.0","13,271.0","14,147.0"
"124","101","  Personal interest payments (17+83)","B069RC1","672.0","943.0","1,275.0","1,566.0","2,038.0","2,229.0","2,555.0","3,187.0","3,410.0","3,983.0","4,563.0","4,867.0","4,991.0","5,457.0","6,242.0","6,517.0","6,963.0","7,935.0","8,941.0","9,945.0","10,679.0","11,147.0","12,184.0","13,990.0"
"125","102","  Personal interest income (92+100+101) or (32+61+65)","A064RC1","6,699.0","7,588.0","8,070.0","8,796.0","9,716.0","10,509.0","11,291.0","12,698.0","13,962.0","15,193.0","16,924.0","18,853.0","20,299.0","22,033.0","24,517.0","26,231.0","29,058.0","31,656.0","35,557.0","39,175.0","43,404.0","47,518.0","51,623.0","59,896.0"
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","1. Excludes interest paid or received by government enterprises, which is included in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","government sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2. Consists of interest paid on the deposit liabilities of commercial and mutual savings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","banks, savings and loan associations, and credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","3. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","4. Interest received by nonfinancial sole proprietorships and partnerships is considered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","interest received by persons and is included in line 32.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","5. Beginning with October 2002, includes the Uniformed Services Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","6. Includes nonprofit institutions primarily serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Note. In this table, imputed interest paid (line 41) is the sum of (1) premium supplements paid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","to property and casualty insurance carriers by households and institutions, governments,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","domestic business, and the rest of the world as a measure of imputed services provided to these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","sectors by the property and casualty insurance providers, (2) the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","property income received by financial intermediaries from the investment of depositors' or",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","beneficiaries' funds and the interest paid by them to business, households and institutions,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","governments, and the rest of the world, and (3) the imputed services provided to these sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","in the role of borrowers of financial services; these services are included as negative amounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","paid by the borrowers and received by the financial intermediaries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
