"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"49","30","          Nondurable goods","A725RC1","7,832.0","7,916.0","7,556.0","7,132.0","5,952.0","4,984.0","4,920.0","5,552.0","4,948.0","4,588.0","4,176.0","4,044.0","4,992.0","5,036.0","4,496.0","4,280.0","4,404.0","4,492.0","3,848.0","4,312.0","4,596.0","5,368.0","5,196.0","5,656.0","5,572.0","5,452.0","4,212.0","5,100.0","4,596.0","4,340.0","4,612.0","4,092.0","4,308.0","4,016.0","4,972.0","4,748.0","4,476.0","4,716.0","5,452.0","4,780.0","5,068.0","5,680.0","6,688.0","7,520.0","9,416.0","9,600.0","10,388.0","10,468.0","10,848.0","12,220.0","11,828.0","12,356.0","11,392.0","11,528.0","11,392.0","11,560.0","10,432.0","12,236.0","11,864.0","10,724.0","9,508.0","10,636.0","10,612.0","10,960.0","10,836.0","9,596.0","9,900.0","9,452.0","11,004.0","10,828.0","9,252.0","9,636.0","8,764.0","9,660.0","10,808.0","11,744.0","10,604.0","11,100.0","10,012.0","10,604.0","11,064.0","11,236.0","11,000.0","10,080.0","10,044.0","10,172.0","9,420.0","14,560.0","13,184.0","9,856.0","9,892.0","9,776.0","8,688.0","10,220.0","10,036.0","8,752.0","8,456.0","8,748.0","8,800.0","7,856.0","7,128.0","7,084.0","7,588.0","8,452.0","6,332.0","6,584.0","6,480.0","5,904.0","7,204.0","7,868.0","7,964.0","7,548.0","8,188.0","7,156.0","7,492.0","7,488.0","6,968.0","6,648.0","7,396.0","6,936.0","6,492.0","7,612.0","9,752.0","8,744.0","11,120.0","10,616.0","9,760.0","10,196.0","9,896.0","10,748.0","10,056.0","10,348.0","10,108.0","11,588.0","11,280.0","12,968.0","14,696.0","14,028.0","11,408.0","13,548.0","15,948.0","16,676.0","19,332.0","16,472.0","18,036.0","20,984.0","22,784.0","21,908.0","21,708.0","21,836.0","23,760.0","21,996.0","23,024.0","22,996.0","23,868.0","25,436.0","29,412.0","32,492.0","33,272.0","26,772.0","21,712.0","23,508.0","26,696.0","25,880.0","26,524.0","27,364.0","26,024.0","27,352.0","31,308.0","33,204.0","34,012.0","33,812.0","33,496.0","31,832.0","31,352.0","30,972.0","29,536.0","26,844.0","27,604.0","25,476.0","25,752.0","25,568.0","28,548.0"
"50","31","          Services","A489RC1","9,152.0","10,892.0","10,132.0","11,932.0","10,744.0","9,140.0","9,756.0","8,804.0","10,836.0","10,428.0","9,928.0","11,148.0","9,964.0","11,332.0","8,372.0","8,136.0","8,716.0","10,028.0","9,232.0","9,184.0","10,420.0","11,120.0","10,844.0","10,272.0","10,940.0","11,120.0","11,152.0","10,340.0","11,084.0","12,240.0","11,516.0","11,848.0","11,984.0","12,892.0","13,940.0","11,984.0","12,880.0","13,276.0","13,508.0","13,620.0","15,220.0","16,040.0","13,352.0","14,960.0","16,596.0","18,952.0","18,464.0","20,684.0","21,484.0","21,408.0","22,684.0","22,604.0","27,124.0","26,428.0","29,212.0","29,720.0","28,424.0","28,924.0","27,852.0","30,444.0","30,540.0","30,128.0","32,216.0","29,864.0","30,868.0","33,020.0","36,400.0","38,652.0","36,772.0","39,252.0","42,380.0","34,612.0","40,640.0","42,232.0","39,876.0","40,804.0","44,080.0","44,428.0","44,444.0","48,484.0","40,284.0","47,684.0","47,328.0","50,884.0","53,300.0","52,332.0","49,056.0","52,680.0","57,940.0","60,500.0","59,168.0","54,636.0","53,756.0","54,052.0","62,128.0","60,468.0","55,500.0","51,380.0","62,408.0","63,072.0","55,976.0","59,796.0","66,152.0","59,400.0","57,916.0","63,292.0","59,412.0","59,784.0","56,860.0","63,096.0","62,724.0","68,960.0","58,140.0","69,188.0","64,300.0","68,400.0","54,116.0","64,904.0","65,800.0","67,376.0","65,204.0","64,820.0","70,988.0","84,372.0","62,432.0","78,124.0","72,620.0","74,188.0","83,024.0","82,004.0","84,564.0","88,864.0","95,292.0","96,988.0","102,024.0","110,188.0","106,484.0","131,188.0","124,308.0","135,728.0","134,748.0","137,592.0","144,800.0","137,972.0","143,536.0","142,512.0","152,544.0","137,992.0","151,428.0","151,936.0","147,000.0","156,036.0","146,504.0","153,064.0","162,856.0","163,596.0","169,324.0","167,696.0","188,368.0","190,888.0","181,052.0","192,476.0","197,612.0","200,200.0","200,032.0","205,184.0","217,252.0","204,732.0","196,304.0","207,716.0","211,784.0","186,720.0","189,924.0","188,280.0","212,848.0","178,292.0","174,216.0","173,984.0","181,380.0","164,104.0","171,060.0","170,788.0","199,364.0"
"51","32","      Less: Own-account investment \4\","W088RC1","2,032.0","2,108.0","2,168.0","2,196.0","2,236.0","2,260.0","2,280.0","2,328.0","2,356.0","2,400.0","2,452.0","2,512.0","2,576.0","2,640.0","2,696.0","2,776.0","2,772.0","2,804.0","2,836.0","2,884.0","2,864.0","2,904.0","2,932.0","2,952.0","3,000.0","3,000.0","3,032.0","3,088.0","3,120.0","3,120.0","3,136.0","3,184.0","3,196.0","3,228.0","3,228.0","3,280.0","3,340.0","3,420.0","3,488.0","3,556.0","3,660.0","3,736.0","3,812.0","3,872.0","3,952.0","4,048.0","4,180.0","4,308.0","4,424.0","4,544.0","4,708.0","4,848.0","5,028.0","5,248.0","5,496.0","5,732.0","5,964.0","6,232.0","6,480.0","6,696.0","6,940.0","7,208.0","7,480.0","7,700.0","7,944.0","8,200.0","8,512.0","8,728.0","8,944.0","9,084.0","9,196.0","9,240.0","9,236.0","9,296.0","9,376.0","9,460.0","9,584.0","9,700.0","9,796.0","9,872.0","9,996.0","10,200.0","10,380.0","10,604.0","10,700.0","10,524.0","10,632.0","10,564.0","10,468.0","10,464.0","10,424.0","10,324.0","10,416.0","10,300.0","10,276.0","10,076.0","10,184.0","10,212.0","10,220.0","10,060.0","9,936.0","9,924.0","10,032.0","9,976.0","10,140.0","10,048.0","10,072.0","9,884.0","9,840.0","9,792.0","9,844.0","9,768.0","9,956.0","9,860.0","9,680.0","9,560.0","9,732.0","9,896.0","9,736.0","9,400.0","9,124.0","9,900.0","9,924.0","9,940.0","9,892.0","10,188.0","10,544.0","10,952.0","11,648.0","11,908.0","12,292.0","12,852.0","13,368.0","13,652.0","13,904.0","14,200.0","14,388.0","14,576.0","14,584.0","14,716.0","14,492.0","14,656.0","14,824.0","15,072.0","15,248.0","15,556.0","15,856.0","16,128.0","16,308.0","16,652.0","17,060.0","17,552.0","18,052.0","18,456.0","18,768.0","18,956.0","19,196.0","19,292.0","19,328.0","19,340.0","19,328.0","19,376.0","19,488.0","19,640.0","19,760.0","19,684.0","19,928.0","20,260.0","21,004.0","21,748.0","22,440.0","23,136.0","23,840.0","24,292.0","24,436.0","24,280.0","23,816.0","23,344.0","22,864.0","22,388.0","21,924.0","21,636.0","21,532.0"
"52","33","      Less: Sales to other sectors","W089RC1","152.0","216.0","156.0","124.0","224.0","176.0","140.0","88.0","96.0","100.0","232.0","116.0","428.0","676.0","480.0","588.0","572.0","1,148.0","1,164.0","812.0","1,352.0","1,520.0","1,424.0","1,328.0","1,900.0","1,448.0","248.0","360.0","328.0","408.0","408.0","260.0","480.0","812.0","652.0","296.0","444.0","488.0","660.0","852.0","692.0","516.0","464.0","768.0","716.0","640.0","1,024.0","1,176.0","1,336.0","776.0","1,464.0","912.0","1,444.0","1,136.0","736.0","1,824.0","744.0","584.0","332.0","848.0","788.0","676.0","1,488.0","596.0","540.0","816.0","1,116.0","820.0","452.0","872.0","1,040.0","1,020.0","1,080.0","1,004.0","1,288.0","644.0","980.0","1,120.0","1,936.0","792.0","1,164.0","1,080.0","1,132.0","768.0","1,152.0","1,152.0","2,108.0","3,032.0","1,696.0","2,032.0","2,356.0","1,096.0","2,200.0","3,152.0","2,868.0","1,456.0","2,584.0","2,704.0","3,660.0","1,736.0","4,152.0","5,244.0","3,260.0","5,240.0","2,680.0","1,848.0","1,704.0","2,492.0","2,128.0","2,552.0","3,160.0","2,756.0","1,860.0","2,424.0","2,080.0","1,996.0","2,380.0","696.0","2,896.0","1,124.0","872.0","1,640.0","2,840.0","1,780.0","3,296.0","1,420.0","2,264.0","1,112.0","3,172.0","1,516.0","1,804.0","1,992.0","1,756.0","1,392.0","4,008.0","1,940.0","2,748.0","2,564.0","2,476.0","2,444.0","2,452.0","2,552.0","2,692.0","2,932.0","3,032.0","3,304.0","3,632.0","3,984.0","4,388.0","4,536.0","4,480.0","4,208.0","3,632.0","3,324.0","3,152.0","3,308.0","3,588.0","3,788.0","3,872.0","3,924.0","3,928.0","3,768.0","3,828.0","3,664.0","3,620.0","3,588.0","3,648.0","3,768.0","3,844.0","3,900.0","3,956.0","3,956.0","3,908.0","3,912.0","3,912.0","3,876.0","3,848.0","3,680.0","3,764.0","3,756.0","3,672.0","3,612.0","3,608.0"
"53","34","    Nondefense consumption expenditures \1\","A542RC1","17,004.0","17,500.0","18,664.0","18,044.0","19,420.0","20,532.0","20,824.0","21,236.0","22,036.0","24,332.0","25,732.0","24,992.0","27,076.0","27,740.0","28,000.0","28,424.0","29,048.0","29,300.0","29,932.0","30,264.0","32,268.0","30,676.0","34,780.0","36,800.0","37,112.0","38,336.0","38,804.0","40,112.0","40,528.0","40,120.0","40,356.0","42,324.0","42,964.0","44,008.0","44,372.0","47,352.0","47,256.0","48,652.0","48,472.0","51,548.0","52,028.0","52,248.0","52,828.0","55,092.0","57,448.0","63,728.0","60,800.0","63,312.0","65,820.0","69,192.0","68,392.0","70,028.0","70,280.0","68,128.0","70,272.0","75,560.0","78,372.0","79,452.0","87,044.0","68,236.0","71,232.0","79,844.0","80,868.0","81,768.0","84,708.0","86,996.0","87,124.0","86,000.0","86,436.0","88,824.0","92,660.0","94,924.0","90,784.0","88,140.0","84,124.0","91,320.0","86,132.0","84,788.0","85,176.0","90,584.0","94,016.0","96,592.0","97,236.0","98,916.0","102,556.0","106,072.0","108,292.0","108,612.0","112,576.0","112,940.0","113,136.0","114,544.0","119,724.0","120,848.0","122,676.0","127,412.0","125,228.0","125,464.0","127,428.0","129,304.0","132,352.0","131,520.0","131,828.0","135,456.0","136,908.0","136,852.0","137,480.0","135,040.0","137,156.0","136,348.0","135,580.0","138,408.0","143,440.0","146,092.0","147,808.0","147,572.0","148,244.0","149,192.0","142,404.0","152,052.0","154,032.0","152,288.0","153,936.0","157,120.0","163,708.0","168,240.0","168,328.0","166,764.0","174,044.0","180,016.0","181,944.0","185,324.0","195,468.0","202,136.0","204,508.0","206,804.0","215,568.0","218,556.0","221,452.0","222,548.0","231,668.0","234,300.0","233,532.0","238,828.0","245,532.0","243,976.0","248,092.0","252,492.0","265,636.0","262,312.0","265,588.0","260,948.0","267,020.0","270,020.0","273,536.0","278,536.0","289,616.0","295,584.0","297,720.0","305,220.0","314,896.0","321,884.0","320,880.0","323,996.0","341,344.0","354,856.0","353,160.0","353,408.0","350,236.0","346,680.0","332,288.0","345,936.0","351,992.0","352,220.0","353,476.0","354,884.0","349,924.0","346,360.0","344,604.0","345,588.0","346,668.0","345,108.0","346,812.0"
"54","35","      Gross output of general government","W128RC1","19,748.0","20,384.0","21,584.0","20,964.0","22,368.0","23,472.0","23,728.0","24,308.0","25,116.0","27,528.0","28,980.0","28,348.0","30,740.0","31,384.0","31,672.0","32,364.0","32,968.0","33,304.0","33,696.0","34,280.0","36,444.0","34,992.0","38,840.0","41,056.0","41,276.0","42,744.0","43,224.0","44,736.0","45,016.0","45,528.0","46,108.0","46,860.0","48,472.0","49,624.0","50,836.0","53,160.0","53,360.0","55,348.0","55,788.0","58,616.0","59,248.0","59,808.0","60,660.0","64,528.0","65,488.0","72,528.0","69,792.0","71,820.0","74,136.0","77,808.0","77,584.0","78,260.0","78,540.0","76,320.0","78,932.0","83,692.0","86,732.0","87,752.0","96,568.0","77,564.0","80,112.0","89,004.0","90,108.0","90,984.0","94,188.0","96,320.0","96,592.0","95,720.0","96,060.0","98,404.0","102,004.0","104,852.0","100,996.0","98,472.0","94,812.0","102,380.0","97,296.0","96,472.0","97,004.0","102,028.0","105,892.0","109,304.0","110,276.0","111,368.0","115,376.0","118,556.0","121,408.0","122,652.0","127,584.0","125,964.0","128,656.0","129,428.0","134,828.0","134,736.0","137,572.0","140,532.0","139,616.0","140,292.0","141,504.0","143,068.0","146,856.0","147,984.0","146,228.0","149,836.0","152,028.0","151,256.0","152,204.0","150,820.0","151,628.0","151,144.0","151,680.0","153,564.0","157,776.0","159,996.0","160,988.0","160,988.0","161,876.0","162,876.0","162,976.0","164,888.0","166,876.0","167,272.0","168,232.0","171,144.0","178,184.0","183,352.0","183,428.0","185,384.0","188,644.0","195,280.0","197,128.0","201,476.0","211,536.0","217,080.0","219,692.0","222,096.0","231,072.0","235,512.0","237,852.0","239,148.0","247,952.0","250,760.0","251,360.0","257,256.0","265,392.0","262,084.0","268,600.0","274,052.0","284,516.0","281,192.0","284,616.0","279,144.0","284,768.0","288,636.0","292,068.0","296,876.0","308,288.0","314,484.0","319,564.0","324,640.0","335,176.0","342,800.0","342,316.0","345,780.0","363,460.0","378,256.0","377,260.0","374,744.0","370,456.0","368,268.0","367,152.0","367,792.0","372,696.0","374,184.0","373,616.0","374,404.0","369,560.0","365,912.0","363,920.0","364,352.0","365,236.0","366,172.0","366,500.0"
"55","36","        Value added","W129RC1","15,944.0","16,196.0","16,904.0","17,284.0","18,548.0","18,984.0","19,392.0","19,880.0","21,352.0","21,960.0","22,408.0","22,752.0","23,740.0","24,096.0","24,392.0","25,188.0","25,912.0","26,276.0","26,644.0","27,636.0","28,472.0","29,064.0","29,608.0","30,820.0","31,716.0","32,576.0","33,140.0","34,384.0","35,240.0","35,780.0","36,464.0","37,872.0","38,616.0","39,264.0","39,892.0","41,304.0","42,384.0","43,212.0","43,912.0","45,376.0","46,004.0","46,592.0","47,164.0","48,784.0","50,212.0","52,180.0","52,848.0","54,592.0","55,620.0","56,256.0","57,264.0","58,408.0","59,124.0","59,644.0","60,892.0","61,988.0","62,096.0","62,896.0","63,804.0","63,940.0","65,756.0","66,608.0","67,672.0","68,008.0","69,856.0","70,324.0","70,356.0","70,544.0","70,868.0","71,468.0","72,020.0","72,464.0","72,660.0","72,744.0","73,700.0","75,708.0","78,168.0","79,164.0","80,868.0","82,524.0","84,188.0","84,184.0","84,700.0","85,600.0","88,492.0","90,596.0","91,424.0","93,104.0","96,760.0","97,420.0","98,532.0","100,004.0","101,620.0","102,036.0","102,932.0","104,932.0","107,472.0","108,528.0","109,792.0","110,348.0","112,348.0","112,768.0","112,052.0","112,636.0","114,932.0","115,508.0","115,784.0","115,404.0","117,600.0","117,868.0","117,848.0","118,212.0","120,512.0","121,508.0","121,816.0","121,944.0","123,944.0","125,540.0","126,204.0","128,612.0","131,916.0","131,836.0","132,296.0","134,616.0","140,152.0","144,344.0","142,468.0","142,724.0","144,456.0","146,420.0","147,920.0","149,128.0","156,056.0","157,552.0","158,556.0","159,200.0","168,128.0","169,884.0","170,300.0","169,956.0","176,744.0","177,836.0","178,280.0","179,392.0","185,484.0","186,156.0","187,604.0","188,728.0","193,244.0","194,676.0","195,724.0","195,916.0","202,940.0","204,260.0","205,672.0","206,840.0","213,772.0","215,864.0","217,716.0","220,092.0","226,544.0","231,252.0","230,672.0","232,240.0","240,300.0","250,796.0","249,052.0","249,684.0","252,672.0","254,492.0","255,252.0","255,724.0","257,572.0","257,816.0","257,596.0","258,268.0","259,384.0","259,280.0","259,772.0","260,528.0","262,500.0","263,712.0","265,044.0"
"56","37","          Compensation of general government employees","W130RC1","11,096.0","11,164.0","11,692.0","11,868.0","12,940.0","13,172.0","13,376.0","13,676.0","14,956.0","15,384.0","15,656.0","15,828.0","16,660.0","16,852.0","16,984.0","17,600.0","18,128.0","18,264.0","18,388.0","18,988.0","19,624.0","19,872.0","20,068.0","20,908.0","21,492.0","22,024.0","22,336.0","23,352.0","23,872.0","24,268.0","24,704.0","25,832.0","26,280.0","26,644.0","26,952.0","28,008.0","28,760.0","29,228.0","29,528.0","30,556.0","30,728.0","30,796.0","30,844.0","31,916.0","32,712.0","34,056.0","34,116.0","35,192.0","35,588.0","35,536.0","35,960.0","36,436.0","36,576.0","36,536.0","37,440.0","38,132.0","37,896.0","38,360.0","38,880.0","38,628.0","39,988.0","40,464.0","41,132.0","41,152.0","42,632.0","42,788.0","42,488.0","42,424.0","42,476.0","42,796.0","43,056.0","43,196.0","43,136.0","42,896.0","43,476.0","44,972.0","46,860.0","47,316.0","48,536.0","49,676.0","50,824.0","50,324.0","50,364.0","50,792.0","53,204.0","54,792.0","55,040.0","56,168.0","59,100.0","59,168.0","59,776.0","60,892.0","62,248.0","62,228.0","62,676.0","64,112.0","66,192.0","66,752.0","67,648.0","67,636.0","69,340.0","69,300.0","68,100.0","68,080.0","69,532.0","69,524.0","69,232.0","68,524.0","70,364.0","70,364.0","69,968.0","69,948.0","71,816.0","72,256.0","72,124.0","71,972.0","73,736.0","74,824.0","74,996.0","76,744.0","79,412.0","78,580.0","78,376.0","79,732.0","84,392.0","87,788.0","85,120.0","84,744.0","86,112.0","87,604.0","88,720.0","89,472.0","95,880.0","96,980.0","97,472.0","97,684.0","105,928.0","107,044.0","106,784.0","105,816.0","111,884.0","112,228.0","111,936.0","112,168.0","117,416.0","117,236.0","117,808.0","118,008.0","121,584.0","122,112.0","122,280.0","121,532.0","127,504.0","127,860.0","128,328.0","128,532.0","134,308.0","135,340.0","136,092.0","137,700.0","143,576.0","147,928.0","147,108.0","148,128.0","154,800.0","163,708.0","160,488.0","159,952.0","161,748.0","162,536.0","162,460.0","162,312.0","163,592.0","163,240.0","162,480.0","162,672.0","163,100.0","162,212.0","161,916.0","161,720.0","163,112.0","163,368.0","163,784.0"
"57","38","          Consumption of general government fixed capital \2\","B546RC1","4,848.0","5,032.0","5,212.0","5,416.0","5,608.0","5,812.0","6,016.0","6,204.0","6,396.0","6,576.0","6,752.0","6,924.0","7,080.0","7,244.0","7,408.0","7,588.0","7,784.0","8,012.0","8,256.0","8,648.0","8,848.0","9,192.0","9,540.0","9,912.0","10,224.0","10,552.0","10,804.0","11,032.0","11,368.0","11,512.0","11,760.0","12,040.0","12,336.0","12,620.0","12,940.0","13,296.0","13,624.0","13,984.0","14,384.0","14,820.0","15,276.0","15,796.0","16,320.0","16,868.0","17,500.0","18,124.0","18,732.0","19,400.0","20,032.0","20,720.0","21,304.0","21,972.0","22,548.0","23,108.0","23,452.0","23,856.0","24,200.0","24,536.0","24,924.0","25,312.0","25,768.0","26,144.0","26,540.0","26,856.0","27,224.0","27,536.0","27,868.0","28,120.0","28,392.0","28,672.0","28,964.0","29,268.0","29,524.0","29,848.0","30,224.0","30,736.0","31,308.0","31,848.0","32,332.0","32,848.0","33,364.0","33,860.0","34,336.0","34,808.0","35,288.0","35,804.0","36,384.0","36,936.0","37,660.0","38,252.0","38,756.0","39,112.0","39,372.0","39,808.0","40,256.0","40,820.0","41,280.0","41,776.0","42,144.0","42,712.0","43,008.0","43,468.0","43,952.0","44,556.0","45,400.0","45,984.0","46,552.0","46,880.0","47,236.0","47,504.0","47,880.0","48,264.0","48,696.0","49,252.0","49,692.0","49,972.0","50,208.0","50,716.0","51,208.0","51,868.0","52,504.0","53,256.0","53,920.0","54,884.0","55,760.0","56,556.0","57,348.0","57,980.0","58,344.0","58,816.0","59,200.0","59,656.0","60,176.0","60,572.0","61,084.0","61,516.0","62,200.0","62,840.0","63,516.0","64,140.0","64,860.0","65,608.0","66,344.0","67,224.0","68,068.0","68,920.0","69,796.0","70,720.0","71,660.0","72,564.0","73,444.0","74,384.0","75,436.0","76,400.0","77,344.0","78,308.0","79,464.0","80,524.0","81,624.0","82,392.0","82,968.0","83,324.0","83,564.0","84,112.0","85,500.0","87,088.0","88,564.0","89,732.0","90,924.0","91,956.0","92,792.0","93,412.0","93,980.0","94,576.0","95,116.0","95,596.0","96,284.0","97,068.0","97,856.0","98,808.0","99,388.0","100,344.0","101,260.0"
"58","39","        Intermediate goods and services purchased \3\","W131RC1","3,804.0","4,188.0","4,680.0","3,680.0","3,820.0","4,488.0","4,336.0","4,428.0","3,764.0","5,568.0","6,572.0","5,596.0","7,000.0","7,288.0","7,280.0","7,176.0","7,056.0","7,028.0","7,052.0","6,644.0","7,972.0","5,928.0","9,232.0","10,236.0","9,560.0","10,168.0","10,084.0","10,352.0","9,776.0","9,748.0","9,644.0","8,988.0","9,856.0","10,360.0","10,944.0","11,856.0","10,976.0","12,136.0","11,876.0","13,240.0","13,244.0","13,216.0","13,496.0","15,744.0","15,276.0","20,348.0","16,944.0","17,228.0","18,516.0","21,552.0","20,320.0","19,852.0","19,416.0","16,676.0","18,040.0","21,704.0","24,636.0","24,856.0","32,764.0","13,624.0","14,356.0","22,396.0","22,436.0","22,976.0","24,332.0","25,996.0","26,236.0","25,176.0","25,192.0","26,936.0","29,984.0","32,388.0","28,336.0","25,728.0","21,112.0","26,672.0","19,128.0","17,308.0","16,136.0","19,504.0","21,704.0","25,120.0","25,576.0","25,768.0","26,884.0","27,960.0","29,984.0","29,548.0","30,824.0","28,544.0","30,124.0","29,424.0","33,208.0","32,700.0","34,640.0","35,600.0","32,144.0","31,764.0","31,712.0","32,720.0","34,508.0","35,216.0","34,176.0","37,200.0","37,096.0","35,748.0","36,420.0","35,416.0","34,028.0","33,276.0","33,832.0","35,352.0","37,264.0","38,488.0","39,172.0","39,044.0","37,932.0","37,336.0","36,772.0","36,276.0","34,960.0","35,436.0","35,936.0","36,528.0","38,032.0","39,008.0","40,960.0","42,660.0","44,188.0","48,860.0","49,208.0","52,348.0","55,480.0","59,528.0","61,136.0","62,896.0","62,944.0","65,628.0","67,552.0","69,192.0","71,208.0","72,924.0","73,080.0","77,864.0","79,908.0","75,928.0","80,996.0","85,324.0","91,272.0","86,516.0","88,892.0","83,228.0","81,828.0","84,376.0","86,396.0","90,036.0","94,516.0","98,620.0","101,848.0","104,548.0","108,632.0","111,548.0","111,644.0","113,540.0","123,160.0","127,460.0","128,208.0","125,060.0","117,784.0","113,776.0","111,900.0","112,068.0","115,124.0","116,368.0","116,020.0","116,136.0","110,176.0","106,632.0","104,148.0","103,824.0","102,736.0","102,460.0","101,456.0"
"59","40","          Durable goods","A543RC1","100.0","100.0","84.0","88.0","92.0","108.0","116.0","124.0","124.0","152.0","164.0","136.0","220.0","224.0","244.0","232.0","224.0","240.0","212.0","188.0","224.0","228.0","256.0","288.0","264.0","264.0","300.0","340.0","296.0","316.0","352.0","344.0","384.0","420.0","452.0","484.0","492.0","512.0","508.0","520.0","592.0","596.0","636.0","692.0","724.0","780.0","796.0","724.0","752.0","816.0","756.0","752.0","1,044.0","612.0","664.0","688.0","780.0","776.0","808.0","824.0","804.0","868.0","892.0","876.0","888.0","868.0","900.0","876.0","824.0","824.0","860.0","964.0","924.0","972.0","1,008.0","1,028.0","1,032.0","1,056.0","1,068.0","1,088.0","1,128.0","1,200.0","1,264.0","1,308.0","1,376.0","1,412.0","1,452.0","1,460.0","1,480.0","1,476.0","1,496.0","1,564.0","1,632.0","1,584.0","1,664.0","1,620.0","1,632.0","1,620.0","1,528.0","1,552.0","1,508.0","1,476.0","1,504.0","1,444.0","1,448.0","1,384.0","1,436.0","1,460.0","1,508.0","1,504.0","1,576.0","1,604.0","1,576.0","1,592.0","1,624.0","1,576.0","1,572.0","1,572.0","1,484.0","1,472.0","1,596.0","1,668.0","1,684.0","1,668.0","1,696.0","1,752.0","1,812.0","1,888.0","1,784.0","1,852.0","1,896.0","1,944.0","2,164.0","2,188.0","2,252.0","2,288.0","2,252.0","2,220.0","2,296.0","2,272.0","2,328.0","2,504.0","2,508.0","2,584.0","2,596.0","2,660.0","2,748.0","2,808.0","3,100.0","2,960.0","3,028.0","2,860.0","2,840.0","2,916.0","3,032.0","3,104.0","3,208.0","3,284.0","3,300.0","3,384.0","3,420.0","3,460.0","3,548.0","3,564.0","3,796.0","3,908.0","3,944.0","3,876.0","3,728.0","3,636.0","3,588.0","3,580.0","3,628.0","3,652.0","3,640.0","3,596.0","3,472.0","3,388.0","3,344.0","3,340.0","3,308.0","3,308.0","3,264.0"
"60","41","          Nondurable goods","A729RC1","1,156.0","1,364.0","2,296.0","868.0","744.0","688.0","504.0","208.0","-216.0","768.0","1,652.0","1,264.0","1,420.0","1,364.0","888.0","1,008.0","816.0","452.0","1,212.0","1,404.0","1,676.0","-432.0","2,092.0","2,232.0","2,224.0","2,464.0","1,960.0","1,912.0","2,480.0","2,368.0","1,840.0","1,812.0","2,104.0","2,272.0","2,556.0","3,036.0","2,384.0","2,932.0","3,204.0","4,116.0","3,520.0","3,004.0","3,028.0","3,784.0","3,648.0","7,660.0","4,380.0","6,232.0","7,112.0","10,268.0","8,880.0","8,728.0","7,916.0","7,180.0","7,012.0","8,060.0","9,468.0","11,232.0","19,584.0","-36.0","-104.0","7,868.0","7,956.0","7,600.0","7,848.0","9,780.0","8,800.0","9,160.0","8,664.0","10,596.0","13,144.0","14,368.0","9,660.0","7,340.0","420.0","7,220.0","572.0","-1,368.0","-2,960.0","672.0","3,540.0","5,952.0","6,168.0","4,928.0","4,220.0","4,216.0","5,620.0","5,976.0","8,020.0","6,304.0","5,316.0","4,040.0","5,136.0","6,576.0","6,936.0","7,284.0","8,084.0","7,616.0","7,648.0","7,032.0","6,336.0","6,572.0","5,240.0","6,416.0","8,168.0","6,848.0","7,612.0","7,320.0","6,692.0","6,328.0","6,492.0","6,948.0","8,256.0","8,448.0","8,628.0","8,712.0","9,436.0","9,396.0","9,380.0","9,324.0","6,912.0","7,292.0","7,352.0","7,180.0","8,572.0","8,696.0","9,656.0","10,452.0","11,184.0","13,656.0","11,716.0","12,244.0","11,628.0","13,296.0","12,908.0","12,988.0","13,792.0","15,520.0","16,296.0","16,636.0","16,808.0","17,188.0","16,148.0","18,812.0","21,096.0","16,472.0","18,600.0","20,088.0","21,036.0","20,280.0","20,200.0","19,112.0","18,692.0","19,628.0","20,280.0","21,544.0","22,676.0","23,652.0","24,236.0","24,336.0","26,324.0","27,464.0","25,812.0","26,052.0","27,676.0","28,556.0","29,004.0","28,392.0","25,148.0","24,504.0","24,064.0","24,324.0","23,760.0","24,104.0","23,952.0","25,312.0","23,468.0","22,360.0","21,688.0","21,696.0","21,412.0","20,884.0","21,072.0"
