"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"38","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","35,511.0","33,040.0","31,326.0","25,888.0","22,935.0","25,909.0","25,155.0","22,062.0","30,074.0","32,482.0","34,484.0","40,118.0","40,062.0","41,582.0","44,315.0","47,621.0","49,296.0","44,001.0","44,172.0","44,177.0","39,037.0","33,425.0","25,903.0","29,622.0","33,362.0","42,791.0","52,326.0","56,230.0","66,475.0","61,275.0","62,067.0","59,972.0","64,419.0","78,871.0","89,075.0","81,794.0","77,750.0","96,971.0","94,944.0","95,265.0","89,492.0","86,110.0","80,912.0","74,981.0","59,270.0","38,594.0","51,185.0","65,258.0","69,550.0","73,576.0","83,618.0","73,916.0","58,244.0","80,368.0","74,498.0","64,651.0","76,506.0","92,512.0","96,510.0","105,446.0","120,100.0","120,397.0","125,222.0","135,348.0","132,488.0","124,142.0","146,673.0","121,799.0","106,516.0","89,725.0","82,959.0","68,511.0","71,956.0","89,271.0","106,961.0","99,511.0","126,673.0","121,308.0","99,847.0","125,129.0","75,392.0","80,480.0","78,736.0","64,066.0","54,949.0","72,179.0","43,130.0","35,956.0","78,502.0","82,781.0","85,249.0","73,794.0","96,168.0","93,581.0","87,028.0","91,263.0","60,854.0","86,028.0","97,207.0","113,093.0","141,789.0","143,564.0","162,464.0","164,184.0","145,864.0","162,107.0","179,313.0","176,929.0","197,675.0","195,203.0","184,993.0","180,040.0","212,283.0","217,354.0","234,396.0","218,171.0","140,859.0","135,704.0","152,455.0","123,708.0","164,834.0","155,572.0","150,431.0","101,451.0","53,318.0","17,746.0","3,300.0","-16,413.0","29,496.0","74,179.0","59,634.0","38,426.0","168,153.0","191,739.0","220,910.0","234,378.0","264,226.0","215,283.0","262,385.0","234,514.0","277,285.0","305,196.0","324,340.0","174,970.0","331,492.0","411,052.0","568,826.0","715,032.0","337,030.0","326,385.0","290,081.0","122,017.0","107,737.0","139,325.0","15,275.0","-55,942.0","-31,193.0","-41,159.0","-9,639.0","-153,354.0","118,462.0","243,506.0","423,245.0","470,167.0","497,095.0","509,279.0","579,159.0","567,004.0","357,919.0","461,325.0","483,412.0","564,801.0","520,106.0","540,840.0","567,439.0","315,226.0","480,860.0","314,808.0","446,928.0","368,768.0","241,859.0","390,063.0","435,438.0"
"39","20","  Current surplus of government enterprises \1\","A108RC1","13.0","-4.0","-32.0","42.0","-677.0","-1,294.0","-1,276.0","-1,549.0","-1,942.0","-1,425.0","-1,754.0","-1,671.0","-1,589.0","-1,256.0","-1,124.0","-654.0","-1,597.0","-2,004.0","-2,423.0","-2,792.0","-2,704.0","-2,134.0","-2,688.0","-3,205.0","-3,952.0","-4,169.0","-4,569.0","-4,729.0","-2,734.0","-2,738.0","-2,634.0","-2,717.0","-2,955.0","-3,082.0","-3,604.0","-3,695.0","-3,646.0","-3,184.0","-1,861.0","-2,698.0","-2,781.0","-2,939.0","-3,117.0","-4,011.0","-4,126.0","-4,768.0","-5,092.0","-6,218.0","-6,649.0","-4,601.0","-5,078.0","-4,358.0","-3,823.0","-3,720.0","-3,871.0","-3,764.0","-2,986.0","-2,490.0","-2,145.0","-1,628.0","-2,118.0","-1,611.0","-1,291.0","-483.0","228.0","1,544.0","1,843.0","1,613.0","1,888.0","1,950.0","1,953.0","2,062.0","2,463.0","2,248.0","1,994.0","1,961.0","1,687.0","5,925.0","6,046.0","6,503.0","6,544.0","6,724.0","6,624.0","6,799.0","4,648.0","3,255.0","2,841.0","2,190.0","5,535.0","7,969.0","8,216.0","9,635.0","9,409.0","10,193.0","10,724.0","9,387.0","9,113.0","11,329.0","11,050.0","11,592.0","12,172.0","12,111.0","11,742.0","11,292.0","15,663.0","15,434.0","15,564.0","15,812.0","16,486.0","16,658.0","17,155.0","17,260.0","17,364.0","18,058.0","17,306.0","17,086.0","16,399.0","16,662.0","16,569.0","15,416.0","17,320.0","16,664.0","16,158.0","14,542.0","14,212.0","12,796.0","9,396.0","6,507.0","5,767.0","3,961.0","8,767.0","2,151.0","4,326.0","4,806.0","9,777.0","9,061.0","6,082.0","4,493.0","2,980.0","2,000.0","107.0","-937.0","-2,706.0","-3,652.0","-4,932.0","-5,729.0","-7,341.0","-7,591.0","-5,923.0","-8,107.0","-10,395.0","-12,825.0","-15,682.0","-15,749.0","-15,587.0","-18,750.0","-20,217.0","-21,204.0","-21,458.0","-21,948.0","-21,830.0","-20,415.0","-19,531.0","-20,743.0","-21,179.0","-22,587.0","-23,466.0","-24,313.0","-24,461.0","-24,094.0","-24,641.0","-24,851.0","-23,873.0","-24,530.0","-25,432.0","-27,318.0","-27,785.0","-29,644.0","-30,121.0","-30,985.0","-31,064.0","-33,606.0","-36,393.0"
"40","21","Consumption of fixed capital","A262RC1","120,457.0","123,462.0","126,288.0","129,245.0","132,182.0","135,213.0","138,293.0","141,443.0","144,569.0","147,528.0","150,313.0","153,052.0","156,127.0","159,022.0","162,388.0","166,049.0","170,242.0","175,077.0","180,430.0","186,569.0","193,626.0","201,606.0","210,347.0","219,090.0","227,680.0","234,963.0","241,095.0","246,409.0","250,771.0","255,805.0","261,719.0","268,544.0","276,176.0","284,101.0","292,186.0","300,871.0","309,925.0","319,686.0","329,983.0","340,659.0","352,194.0","364,476.0","377,338.0","390,519.0","404,216.0","418,468.0","433,185.0","448,164.0","463,319.0","478,260.0","492,396.0","506,207.0","519,551.0","531,067.0","539,993.0","546,652.0","551,308.0","556,606.0","563,380.0","570,889.0","580,015.0","589,250.0","598,973.0","609,098.0","620,076.0","630,888.0","642,135.0","653,514.0","664,953.0","676,598.0","687,818.0","699,283.0","709,816.0","721,229.0","733,697.0","747,066.0","761,583.0","775,627.0","789,362.0","802,976.0","816,406.0","829,732.0","842,790.0","855,513.0","868,244.0","880,751.0","893,272.0","905,048.0","917,236.0","927,766.0","936,599.0","942,900.0","947,429.0","954,581.0","963,015.0","973,874.0","985,783.0","997,741.0","1,009,297.0","1,021,572.0","1,033,169.0","1,046,766.0","1,062,432.0","1,079,923.0","1,099,521.0","1,116,078.0","1,131,259.0","1,144,277.0","1,156,013.0","1,168,345.0","1,182,337.0","1,197,384.0","1,214,240.0","1,231,658.0","1,248,466.0","1,265,454.0","1,281,947.0","1,300,142.0","1,319,343.0","1,339,652.0","1,360,197.0","1,385,083.0","1,412,774.0","1,445,391.0","1,481,171.0","1,508,918.0","1,528,140.0","1,538,730.0","1,570,810.0","1,598,725.0","1,615,953.0","1,630,427.0","1,640,168.0","1,652,512.0","1,669,276.0","1,686,319.0","1,701,964.0","1,716,489.0","1,735,005.0","1,755,423.0","1,783,255.0","1,813,170.0","1,846,081.0","1,884,290.0","1,922,025.0","1,959,330.0","2,000,928.0","2,045,542.0","2,082,213.0","2,119,070.0","2,152,752.0","2,190,041.0","2,227,439.0","2,253,666.0","2,276,470.0","2,299,826.0","2,327,744.0","2,353,002.0","2,379,699.0","2,393,049.0","2,385,637.0","2,366,950.0","2,355,166.0","2,365,772.0","2,369,828.0","2,374,946.0","2,382,463.0","2,399,128.0","2,419,384.0","2,442,911.0","2,462,550.0","2,477,727.0","2,499,722.0","2,521,737.0","2,540,924.0","2,558,357.0","2,585,447.0","2,612,745.0","2,640,248.0","2,670,519.0","2,698,714.0","2,722,258.0","2,749,556.0"
"41","22","  Private","A024RC1","86,068.0","88,342.0","90,571.0","92,752.0","94,886.0","97,089.0","99,359.0","101,698.0","104,104.0","106,479.0","108,822.0","111,134.0","113,413.0","115,956.0","118,762.0","121,831.0","125,163.0","129,026.0","133,421.0","138,345.0","143,802.0","149,727.0","156,119.0","162,981.0","170,311.0","176,634.0","181,954.0","186,264.0","189,571.0","193,669.0","198,561.0","204,248.0","210,725.0","217,475.0","224,498.0","231,796.0","239,367.0","247,494.0","256,178.0","265,420.0","275,217.0","285,342.0","295,793.0","306,569.0","317,671.0","329,034.0","340,657.0","352,540.0","364,687.0","376,442.0","387,809.0","398,782.0","409,367.0","418,010.0","424,713.0","429,477.0","432,297.0","436,021.0","440,648.0","446,178.0","452,610.0","459,546.0","466,985.0","474,929.0","483,374.0","491,968.0","500,708.0","509,594.0","518,628.0","527,419.0","535,968.0","544,275.0","552,340.0","561,152.0","570,713.0","581,022.0","592,078.0","602,991.0","613,757.0","624,378.0","634,857.0","645,138.0","655,224.0","665,113.0","674,807.0","684,356.0","693,755.0","703,014.0","712,126.0","719,862.0","726,222.0","731,206.0","734,814.0","739,994.0","746,749.0","755,076.0","764,977.0","774,933.0","784,945.0","795,012.0","805,134.0","816,859.0","830,189.0","845,119.0","861,653.0","876,638.0","890,074.0","901,959.0","912,296.0","923,925.0","936,850.0","951,069.0","966,582.0","982,183.0","997,872.0","1,013,648.0","1,029,513.0","1,046,030.0","1,063,199.0","1,081,022.0","1,099,496.0","1,121,452.0","1,146,893.0","1,175,815.0","1,208,221.0","1,232,522.0","1,248,726.0","1,256,827.0","1,287,026.0","1,313,170.0","1,328,947.0","1,341,636.0","1,349,342.0","1,359,619.0","1,374,083.0","1,389,015.0","1,401,610.0","1,413,241.0","1,428,595.0","1,446,031.0","1,470,097.0","1,494,449.0","1,520,659.0","1,551,989.0","1,584,936.0","1,616,004.0","1,650,795.0","1,689,457.0","1,721,352.0","1,751,082.0","1,778,972.0","1,808,631.0","1,837,506.0","1,857,451.0","1,873,967.0","1,890,972.0","1,911,700.0","1,930,318.0","1,949,602.0","1,955,869.0","1,944,437.0","1,924,830.0","1,912,631.0","1,920,712.0","1,919,662.0","1,918,944.0","1,921,933.0","1,933,593.0","1,947,803.0","1,965,511.0","1,979,807.0","1,991,136.0","2,008,207.0","2,026,618.0","2,042,915.0","2,059,160.0","2,083,910.0","2,108,204.0","2,132,485.0","2,158,708.0","2,183,546.0","2,203,806.0","2,227,765.0"
"42","23","  Government","A264RC1","34,389.0","35,120.0","35,717.0","36,493.0","37,296.0","38,124.0","38,934.0","39,745.0","40,465.0","41,049.0","41,491.0","41,918.0","42,714.0","43,066.0","43,626.0","44,218.0","45,079.0","46,051.0","47,009.0","48,224.0","49,824.0","51,879.0","54,228.0","56,109.0","57,369.0","58,329.0","59,141.0","60,145.0","61,200.0","62,136.0","63,158.0","64,296.0","65,451.0","66,626.0","67,688.0","69,075.0","70,558.0","72,192.0","73,805.0","75,239.0","76,977.0","79,134.0","81,545.0","83,950.0","86,545.0","89,434.0","92,528.0","95,624.0","98,632.0","101,818.0","104,587.0","107,425.0","110,184.0","113,057.0","115,280.0","117,175.0","119,011.0","120,585.0","122,732.0","124,711.0","127,405.0","129,704.0","131,988.0","134,169.0","136,702.0","138,920.0","141,427.0","143,920.0","146,325.0","149,179.0","151,850.0","155,008.0","157,476.0","160,077.0","162,984.0","166,044.0","169,505.0","172,636.0","175,605.0","178,598.0","181,549.0","184,594.0","187,566.0","190,400.0","193,437.0","196,395.0","199,517.0","202,034.0","205,110.0","207,904.0","210,377.0","211,694.0","212,615.0","214,587.0","216,266.0","218,798.0","220,806.0","222,808.0","224,352.0","226,560.0","228,035.0","229,907.0","232,243.0","234,804.0","237,868.0","239,440.0","241,185.0","242,318.0","243,717.0","244,420.0","245,487.0","246,315.0","247,658.0","249,475.0","250,594.0","251,806.0","252,434.0","254,112.0","256,144.0","258,630.0","260,701.0","263,631.0","265,881.0","269,576.0","272,950.0","276,396.0","279,414.0","281,903.0","283,784.0","285,555.0","287,006.0","288,791.0","290,826.0","292,893.0","295,193.0","297,304.0","300,354.0","303,248.0","306,410.0","309,392.0","313,158.0","318,721.0","325,422.0","332,301.0","337,089.0","343,326.0","350,133.0","356,085.0","360,861.0","367,988.0","373,780.0","381,410.0","389,933.0","396,215.0","402,503.0","408,854.0","416,044.0","422,684.0","430,097.0","437,180.0","441,200.0","442,120.0","442,535.0","445,060.0","450,166.0","456,002.0","460,530.0","465,535.0","471,581.0","477,400.0","482,743.0","486,591.0","491,515.0","495,119.0","498,009.0","499,197.0","501,537.0","504,541.0","507,763.0","511,811.0","515,168.0","518,452.0","521,791.0"
"43",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","24","  Statistical discrepancy","A030RC1","5,570.0","1,935.0","830.0","-1,871.0","3,712.0","5,719.0","6,488.0","5,497.0","13,268.0","12,512.0","11,798.0","346.0","4,620.0","17,565.0","8,951.0","-2,608.0","6,421.0","14,740.0","2,437.0","791.0","-70.0","10,084.0","3,377.0","16,174.0","15,279.0","14,354.0","8,710.0","14,578.0","18,187.0","20,854.0","16,952.0","25,858.0","31,551.0","20,857.0","18,295.0","6,315.0","512.0","21,298.0","29,456.0","41,340.0","23,901.0","41,317.0","58,422.0","55,501.0","63,738.0","59,263.0","35,609.0","17,114.0","57,265.0","34,795.0","27,885.0","26,882.0","-1,685.0","3,064.0","4,102.0","21,550.0","28,641.0","49,667.0","72,209.0","66,112.0","38,456.0","44,969.0","41,108.0","29,976.0","35,190.0","43,649.0","58,720.0","67,491.0","64,466.0","73,711.0","90,101.0","78,693.0","65,610.0","44,918.0","17,301.0","34,398.0","2,364.0","10,396.0","-5,792.0","-8,848.0","10,150.0","65,126.0","86,515.0","94,922.0","99,888.0","90,740.0","98,642.0","76,126.0","56,205.0","88,047.0","102,229.0","107,073.0","73,739.0","93,179.0","136,509.0","140,186.0","180,528.0","140,640.0","163,455.0","124,679.0","157,191.0","145,468.0","121,828.0","122,780.0","114,381.0","98,172.0","71,600.0","78,089.0","45,479.0","65,542.0","64,905.0","50,358.0","19,327.0","47,491.0","14,196.0","-31,823.0","-39,182.0","-81,104.0","-92,631.0","-27,747.0","-69,573.0","-50,809.0","-19,513.0","-10,135.0","-185,564.0","-53,078.0","-118,256.0","-41,002.0","-193,681.0","-119,424.0","-115,154.0","-31,658.0","-72,140.0","-79,683.0","-40,856.0","-98,388.0","-58,998.0","-60,014.0","21,096.0","43,397.0","21,767.0","-14,400.0","-42,984.0","1,271.0","12,966.0","-12,037.0","-17,548.0","-125,315.0","-222,094.0","-203,943.0","-248,721.0","-194,352.0","-151,384.0","-63,535.0","113,281.0","171,606.0","46,512.0","129,612.0","124,242.0","97,255.0","117,260.0","96,185.0","74,243.0","13,614.0","57,814.0","98,178.0","6,118.0","34,772.0","-44,086.0","-6,777.0","-74,696.0","-27,749.0","-219,143.0","-181,673.0","-134,578.0","-301,322.0","-250,337.0","-290,163.0","-187,647.0","-119,532.0","-177,461.0","-153,465.0","-180,351.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
