"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"34","15","    To persons","B087RU1","11,369.0","11,484.0","11,307.0","11,596.0","12,475.0","14,550.0","13,882.0","14,729.0","15,801.0","17,178.0","16,322.0","16,779.0","18,197.0","17,805.0","16,878.0","19,975.0","21,104.0","21,053.0","20,689.0","21,698.0","24,222.0","25,334.0","26,029.0","27,695.0","31,305.0","33,561.0","33,306.0","34,160.0","36,561.0","34,961.0","35,228.0","36,392.0","38,611.0","37,160.0","37,536.0","38,776.0","40,704.0","39,765.0","40,528.0","41,411.0","44,392.0","44,153.0","46,494.0","47,732.0","52,020.0","52,096.0","57,509.0","58,015.0","61,624.0","60,317.0","63,431.0","64,732.0","67,764.0","68,280.0","70,440.0","74,765.0","77,305.0","77,237.0","73,964.0","74,533.0","77,691.0","77,239.0","76,267.0","78,039.0","81,598.0","81,394.0","80,849.0","81,537.0","85,352.0","84,921.0","86,412.0","86,989.0","88,905.0","89,446.0","89,636.0","88,671.0","94,974.0","95,271.0","93,395.0","93,722.0","103,202.0","103,074.0","101,048.0","102,759.0","111,383.0","111,492.0","110,900.0","111,284.0","122,044.0","122,877.0","121,302.0","125,491.0","138,856.0","136,801.0","136,160.0","137,666.0","147,793.0","145,292.0","143,026.0","145,392.0","157,096.0","149,836.0","149,099.0","150,402.0","163,252.0","163,879.0","157,440.0","158,012.0","176,503.0","168,650.0","164,724.0","167,066.0","183,908.0","174,974.0","170,273.0","173,037.0","189,619.0","177,217.0","173,096.0","176,211.0","194,328.0","181,790.0","177,914.0","181,231.0","205,805.0","189,778.0","182,667.0","190,895.0","220,932.0","203,596.0","203,321.0","208,419.0","239,225.0","225,169.0","221,926.0","226,797.0","251,951.0","234,939.0","229,811.0","246,334.0","271,998.0","249,141.0","244,487.0","249,268.0","292,024.0","264,700.0","260,894.0","262,057.0","321,068.0","290,027.0","284,671.0","288,480.0","343,271.0","307,578.0","302,043.0","306,003.0","364,295.0","358,834.0","333,220.0","335,600.0","422,011.0","398,651.0","393,586.0","394,635.0","484,932.0","413,014.0","407,761.0","404,425.0","492,137.0","417,361.0","410,255.0","407,557.0","496,058.0","426,275.0","422,827.0","421,861.0","504,837.0","437,627.0","433,849.0","430,437.0"
"35","16","    To the rest of the world \3\","W016RU1","139.0","144.0","149.0","153.0","159.0","184.0","189.0","189.0","190.0","208.0","205.0","208.0","229.0","237.0","225.0","274.0","283.0","286.0","292.0","297.0","238.0","330.0","366.0","388.0","452.0","487.0","510.0","538.0","592.0","615.0","640.0","643.0","627.0","627.0","662.0","663.0","664.0","674.0","691.0","713.0","712.0","748.0","785.0","804.0","815.0","853.0","916.0","959.0","1,014.0","1,047.0","1,111.0","1,116.0","1,005.0","1,060.0","1,034.0","1,004.0","927.0","909.0","893.0","896.0","883.0","920.0","914.0","956.0","994.0","993.0","1,016.0","1,025.0","1,081.0","1,073.0","1,037.0","1,207.0","1,058.0","1,054.0","1,081.0","1,087.0","1,119.0","1,137.0","1,152.0","1,172.0","1,214.0","1,221.0","1,327.0","1,370.0","1,488.0","1,555.0","1,578.0","1,543.0","1,528.0","1,496.0","1,483.0","1,765.0","1,422.0","1,739.0","1,579.0","1,485.0","1,413.0","1,584.0","1,596.0","1,606.0","1,660.0","1,681.0","1,703.0","1,782.0","1,529.0","1,745.0","1,750.0","1,769.0","1,908.0","1,873.0","1,900.0","1,893.0","1,946.0","1,991.0","1,944.0","1,969.0","2,047.0","2,072.0","2,033.0","2,056.0","2,109.0","2,123.0","2,146.0","2,150.0","2,126.0","2,172.0","2,184.0","2,186.0","2,342.0","2,335.0","2,376.0","2,385.0","2,390.0","2,414.0","2,425.0","2,424.0","2,491.0","2,516.0","2,529.0","2,554.0","2,633.0","2,642.0","2,648.0","2,729.0","3,259.0","2,911.0","2,501.0","2,564.0","3,066.0","3,571.0","3,386.0","2,404.0","3,552.0","3,391.0","3,933.0","2,440.0","3,828.0","4,953.0","4,095.0","2,600.0","4,171.0","4,594.0","3,517.0","3,734.0","4,405.0","4,507.0","3,710.0","3,895.0","4,557.0","4,815.0","3,696.0","4,010.0","4,861.0","4,886.0","3,861.0","4,464.0","5,321.0","5,363.0","3,697.0","4,511.0"
"36","17","  Other current transfer payments","W010RU1","3,892.0","4,969.0","4,435.0","4,910.0","5,126.0","6,231.0","5,879.0","5,924.0","6,418.0","7,546.0","6,729.0","7,461.0","7,911.0","10,450.0","8,242.0","11,087.0","9,621.0","10,542.0","9,577.0","9,140.0","9,314.0","11,186.0","10,164.0","10,239.0","11,351.0","13,891.0","11,858.0","12,661.0","12,642.0","13,003.0","14,032.0","13,934.0","13,507.0","14,668.0","15,338.0","15,494.0","16,546.0","17,382.0","16,827.0","17,719.0","16,622.0","17,101.0","17,615.0","18,488.0","19,090.0","18,630.0","18,823.0","20,477.0","20,251.0","19,162.0","18,148.0","18,511.0","18,714.0","18,537.0","17,298.0","19,853.0","18,599.0","19,082.0","18,243.0","20,947.0","20,335.0","20,077.0","19,503.0","23,640.0","21,857.0","21,671.0","21,889.0","24,519.0","23,139.0","24,523.0","24,866.0","24,095.0","22,604.0","22,667.0","21,610.0","24,216.0","24,630.0","23,956.0","23,548.0","26,797.0","26,063.0","25,162.0","25,838.0","28,325.0","28,998.0","30,382.0","28,875.0","29,631.0","10,988.0","23,060.0","29,232.0","35,117.0","38,587.0","39,793.0","38,671.0","45,181.0","41,350.0","42,964.0","42,249.0","50,842.0","44,371.0","45,646.0","44,276.0","52,503.0","48,380.0","47,942.0","45,493.0","48,041.0","50,402.0","50,628.0","47,398.0","53,407.0","50,044.0","49,716.0","47,998.0","57,340.0","53,527.0","53,100.0","51,898.0","60,241.0","58,006.0","57,793.0","57,097.0","64,875.0","60,582.0","62,361.0","61,659.0","70,135.0","67,794.0","71,017.0","65,108.0","75,053.0","77,176.0","78,716.0","72,568.0","81,557.0","82,306.0","92,033.0","84,017.0","91,302.0","91,561.0","93,628.0","83,075.0","94,143.0","96,283.0","97,285.0","89,513.0","100,435.0","92,316.0","97,630.0","90,051.0","94,705.0","101,611.0","101,015.0","92,318.0","105,266.0","103,119.0","105,523.0","95,465.0","108,754.0","113,580.0","136,709.0","124,685.0","132,498.0","138,939.0","136,736.0","133,935.0","145,425.0","137,294.0","144,349.0","120,793.0","125,589.0","122,451.0","127,200.0","119,206.0","124,326.0","119,982.0","129,121.0","123,813.0","123,415.0"
"37","18","    Grants-in-aid to state and local governments","B089RU1","2,972.0","3,627.0","3,432.0","3,629.0","4,057.0","4,992.0","4,620.0","4,673.0","4,996.0","6,073.0","5,341.0","5,732.0","5,975.0","8,774.0","6,240.0","9,524.0","8,407.0","8,867.0","8,111.0","8,104.0","8,187.0","9,006.0","8,770.0","8,945.0","9,621.0","11,593.0","10,985.0","11,427.0","11,824.0","11,995.0","12,162.0","13,096.0","12,514.0","13,513.0","14,227.0","14,506.0","15,323.0","16,119.0","15,623.0","16,417.0","15,349.0","15,776.0","16,036.0","16,819.0","17,129.0","17,193.0","17,186.0","18,182.0","18,696.0","17,624.0","16,406.0","16,684.0","16,723.0","16,923.0","15,401.0","17,214.0","17,036.0","17,309.0","16,120.0","17,475.0","18,275.0","18,000.0","16,674.0","19,390.0","19,055.0","18,561.0","18,243.0","20,310.0","20,513.0","20,676.0","20,858.0","20,378.0","19,944.0","19,872.0","18,803.0","19,763.0","21,801.0","21,344.0","20,576.0","22,016.0","23,013.0","22,621.0","22,402.0","23,805.0","25,753.0","26,141.0","25,061.0","27,402.0","29,660.0","30,657.0","30,167.0","33,538.0","34,685.0","35,393.0","34,577.0","37,026.0","37,507.0","38,371.0","37,230.0","42,605.0","40,927.0","41,830.0","39,577.0","44,515.0","44,359.0","44,492.0","41,738.0","43,888.0","44,788.0","47,166.0","43,264.0","46,239.0","46,602.0","46,533.0","44,519.0","50,488.0","50,050.0","49,909.0","48,052.0","52,788.0","54,447.0","53,756.0","53,211.0","57,741.0","56,907.0","58,099.0","56,832.0","61,268.0","64,205.0","67,474.0","61,042.0","68,537.0","69,281.0","74,046.0","68,077.0","75,775.0","74,942.0","84,699.0","77,002.0","85,068.0","82,138.0","87,072.0","76,428.0","86,563.0","85,677.0","89,779.0","79,762.0","88,135.0","85,013.0","89,282.0","80,915.0","85,573.0","89,487.0","93,413.0","83,974.0","92,096.0","91,484.0","95,844.0","86,339.0","97,338.0","104,610.0","123,117.0","109,299.0","121,034.0","123,948.0","127,381.0","122,267.0","131,696.0","124,005.0","129,883.0","106,694.0","111,868.0","109,406.0","114,945.0","105,818.0","114,193.0","109,239.0","117,360.0","109,979.0","113,383.0"
"38","19","    To the rest of the world (net) \3\","W017RU1","920.0","1,342.0","1,003.0","1,281.0","1,069.0","1,239.0","1,259.0","1,251.0","1,422.0","1,473.0","1,388.0","1,729.0","1,936.0","1,676.0","2,002.0","1,563.0","1,214.0","1,675.0","1,466.0","1,036.0","1,127.0","2,180.0","1,394.0","1,294.0","1,730.0","2,298.0","873.0","1,234.0","818.0","1,008.0","1,870.0","838.0","993.0","1,155.0","1,111.0","988.0","1,223.0","1,263.0","1,204.0","1,302.0","1,273.0","1,325.0","1,579.0","1,669.0","1,961.0","1,437.0","1,637.0","2,295.0","1,555.0","1,538.0","1,742.0","1,827.0","1,991.0","1,614.0","1,897.0","2,639.0","1,563.0","1,773.0","2,123.0","3,472.0","2,060.0","2,077.0","2,829.0","4,250.0","2,802.0","3,110.0","3,646.0","4,209.0","2,626.0","3,847.0","4,008.0","3,717.0","2,660.0","2,795.0","2,807.0","4,453.0","2,829.0","2,612.0","2,972.0","4,781.0","3,050.0","2,541.0","3,436.0","4,520.0","3,245.0","4,241.0","3,814.0","2,229.0","-18,672.0","-7,597.0","-935.0","1,579.0","3,902.0","4,400.0","4,094.0","8,155.0","3,843.0","4,593.0","5,019.0","8,237.0","3,444.0","3,816.0","4,699.0","7,988.0","4,021.0","3,450.0","3,755.0","4,153.0","5,614.0","3,462.0","4,134.0","7,168.0","3,442.0","3,183.0","3,479.0","6,852.0","3,477.0","3,191.0","3,846.0","7,453.0","3,559.0","4,037.0","3,886.0","7,134.0","3,675.0","4,262.0","4,827.0","8,867.0","3,589.0","3,543.0","4,066.0","6,516.0","7,895.0","4,670.0","4,491.0","5,782.0","7,364.0","7,334.0","7,015.0","6,234.0","9,423.0","6,556.0","6,647.0","7,580.0","10,606.0","7,506.0","9,751.0","12,300.0","7,303.0","8,348.0","9,136.0","9,132.0","12,124.0","7,602.0","8,344.0","13,170.0","11,635.0","9,679.0","9,126.0","11,416.0","8,970.0","13,592.0","15,386.0","11,464.0","14,991.0","9,355.0","11,668.0","13,729.0","13,289.0","14,466.0","14,099.0","13,721.0","13,045.0","12,255.0","13,388.0","10,133.0","10,743.0","11,761.0","13,834.0","10,032.0"
"39","20","Interest payments \1\","A091RU1","6,415.0","6,666.0","6,956.0","7,427.0","7,881.0","8,220.0","8,568.0","8,661.0","8,686.0","8,689.0","8,852.0","9,008.0","9,132.0","9,296.0","9,473.0","9,729.0","10,236.0","10,661.0","11,049.0","11,345.0","11,546.0","11,844.0","12,215.0","12,379.0","12,573.0","12,867.0","13,259.0","13,768.0","14,218.0","14,523.0","14,860.0","15,295.0","15,511.0","15,944.0","16,445.0","17,361.0","18,490.0","19,335.0","20,236.0","21,051.0","21,891.0","22,478.0","23,069.0","24,018.0","25,563.0","26,816.0","27,017.0","28,133.0","31,508.0","32,384.0","33,936.0","35,601.0","36,700.0","37,727.0","38,983.0","39,271.0","39,722.0","40,784.0","42,513.0","43,952.0","45,700.0","47,103.0","49,697.0","51,327.0","52,065.0","53,286.0","53,630.0","54,761.0","55,642.0","56,069.0","56,177.0","56,316.0","56,747.0","57,284.0","58,288.0","59,996.0","61,031.0","61,152.0","62,215.0","63,517.0","65,809.0","67,315.0","67,847.0","68,689.0","70,079.0","71,254.0","73,303.0","74,410.0","75,221.0","76,031.0","76,095.0","77,011.0","76,609.0","76,978.0","76,919.0","76,381.0","77,691.0","77,963.0","78,126.0","77,659.0","77,309.0","79,156.0","80,998.0","83,377.0","86,089.0","88,010.0","88,908.0","89,319.0","89,781.0","89,304.0","90,293.0","90,610.0","90,546.0","91,192.0","91,769.0","92,093.0","92,086.0","91,910.0","91,551.0","90,022.0","88,297.0","88,184.0","87,487.0","88,216.0","88,757.0","88,975.0","88,273.0","87,723.0","86,641.0","84,090.0","81,569.0","78,925.0","75,667.0","76,565.0","75,360.0","75,078.0","73,212.0","72,848.0","72,797.0","73,746.0","74,900.0","74,900.0","77,458.0","78,816.0","80,336.0","85,538.0","85,806.0","92,749.0","88,747.0","93,840.0","97,538.0","92,221.0","97,701.0","107,511.0","102,918.0","100,086.0","100,155.0","100,483.0","103,407.0","83,919.0","76,261.0","93,010.0","93,164.0","91,181.0","90,196.0","96,298.0","95,311.0","98,770.0","102,328.0","114,142.0","105,238.0","103,963.0","102,491.0","113,327.0","98,530.0","109,403.0","97,251.0","110,336.0","106,442.0","103,366.0"
"40","21","  To persons and business \1\","B092RU1","6,230.0","6,474.0","6,768.0","7,215.0","7,698.0","7,993.0","8,327.0","8,363.0","8,401.0","8,331.0","8,367.0","8,384.0","8,571.0","8,709.0","8,814.0","8,985.0","9,476.0","9,759.0","10,075.0","10,330.0","10,654.0","10,846.0","11,168.0","11,269.0","11,477.0","11,824.0","12,154.0","12,679.0","13,228.0","13,532.0","13,735.0","14,131.0","14,396.0","14,758.0","15,136.0","15,734.0","16,659.0","17,382.0","18,221.0","18,617.0","19,271.0","19,931.0","20,477.0","21,219.0","22,677.0","24,055.0","24,173.0","24,758.0","27,708.0","28,274.0","29,768.0","31,403.0","32,282.0","33,442.0","34,354.0","34,612.0","35,244.0","36,323.0","38,011.0","39,333.0","40,992.0","42,263.0","44,539.0","45,866.0","46,557.0","47,798.0","48,056.0","49,177.0","49,776.0","50,294.0","50,304.0","50,486.0","50,731.0","51,245.0","52,415.0","53,820.0","54,492.0","54,113.0","54,743.0","55,812.0","57,408.0","58,754.0","59,040.0","59,917.0","61,217.0","62,316.0","64,264.0","65,183.0","65,960.0","66,981.0","67,038.0","68,310.0","68,015.0","68,385.0","68,342.0","67,873.0","69,198.0","69,505.0","69,462.0","69,110.0","68,794.0","70,463.0","71,937.0","73,291.0","75,930.0","76,518.0","76,421.0","76,370.0","76,430.0","75,546.0","76,172.0","75,076.0","74,042.0","73,952.0","74,012.0","73,902.0","73,995.0","73,711.0","73,603.0","72,176.0","70,841.0","71,292.0","71,130.0","72,174.0","72,766.0","72,570.0","72,222.0","71,785.0","71,185.0","69,267.0","67,898.0","65,791.0","63,141.0","64,287.0","63,226.0","62,699.0","61,074.0","61,273.0","60,976.0","61,855.0","62,587.0","61,282.0","63,324.0","64,064.0","64,528.0","68,952.0","68,648.0","74,309.0","69,087.0","72,548.0","75,652.0","69,186.0","73,529.0","82,222.0","78,269.0","75,154.0","75,570.0","75,912.0","79,731.0","59,700.0","52,488.0","70,845.0","71,745.0","69,694.0","68,178.0","73,760.0","71,609.0","74,448.0","78,069.0","89,762.0","80,631.0","79,744.0","78,967.0","90,181.0","74,358.0","84,355.0","71,364.0","84,182.0","80,240.0","76,690.0"
"41","22","  To the rest of the world","B093RU1","185.0","192.0","188.0","212.0","183.0","227.0","241.0","298.0","285.0","358.0","485.0","624.0","561.0","587.0","659.0","744.0","760.0","902.0","974.0","1,015.0","892.0","998.0","1,047.0","1,110.0","1,096.0","1,043.0","1,105.0","1,089.0","990.0","991.0","1,125.0","1,164.0","1,115.0","1,186.0","1,309.0","1,627.0","1,831.0","1,953.0","2,015.0","2,434.0","2,620.0","2,547.0","2,592.0","2,799.0","2,886.0","2,761.0","2,844.0","3,375.0","3,800.0","4,110.0","4,168.0","4,198.0","4,418.0","4,285.0","4,629.0","4,659.0","4,478.0","4,461.0","4,502.0","4,619.0","4,708.0","4,840.0","5,158.0","5,461.0","5,508.0","5,488.0","5,574.0","5,584.0","5,866.0","5,775.0","5,873.0","5,830.0","6,016.0","6,039.0","5,873.0","6,176.0","6,539.0","7,039.0","7,472.0","7,705.0","8,401.0","8,561.0","8,807.0","8,772.0","8,862.0","8,938.0","9,039.0","9,227.0","9,261.0","9,050.0","9,057.0","8,701.0","8,594.0","8,593.0","8,577.0","8,508.0","8,493.0","8,458.0","8,664.0","8,549.0","8,515.0","8,693.0","9,061.0","10,086.0","10,159.0","11,492.0","12,487.0","12,949.0","13,351.0","13,758.0","14,121.0","15,534.0","16,504.0","17,240.0","17,757.0","18,191.0","18,091.0","18,199.0","17,948.0","17,846.0","17,456.0","16,892.0","16,357.0","16,042.0","15,991.0","16,405.0","16,051.0","15,938.0","15,456.0","14,823.0","13,671.0","13,134.0","12,526.0","12,278.0","12,134.0","12,379.0","12,138.0","11,575.0","11,821.0","11,891.0","12,313.0","13,618.0","14,134.0","14,752.0","15,808.0","16,586.0","17,158.0","18,440.0","19,660.0","21,292.0","21,886.0","23,035.0","24,172.0","25,289.0","24,649.0","24,932.0","24,585.0","24,571.0","23,676.0","24,219.0","23,773.0","22,165.0","21,419.0","21,487.0","22,018.0","22,538.0","23,702.0","24,322.0","24,259.0","24,380.0","24,607.0","24,219.0","23,524.0","23,146.0","24,172.0","25,048.0","25,887.0","26,154.0","26,202.0","26,676.0"
"42","23","Subsidies \2\","B096RU1","561.0","339.0","3,008.0","601.0","302.0","389.0","3,646.0","416.0","450.0","575.0","2,940.0","676.0","632.0","849.0","4,229.0","873.0","825.0","1,058.0","2,841.0","425.0","822.0","831.0","627.0","911.0","1,294.0","1,057.0","884.0","1,101.0","1,305.0","1,061.0","1,278.0","1,292.0","1,478.0","1,348.0","1,668.0","2,396.0","1,938.0","1,974.0","1,958.0","2,827.0","2,098.0","2,086.0","1,973.0","2,047.0","2,325.0","2,162.0","2,076.0","2,883.0","2,798.0","2,559.0","2,489.0","3,225.0","3,449.0","3,238.0","3,011.0","4,865.0","4,185.0","4,477.0","4,186.0","8,014.0","7,221.0","3,737.0","3,870.0","5,852.0","6,924.0","6,375.0","3,457.0","4,277.0","4,371.0","9,189.0","4,785.0","6,244.0","8,953.0","6,245.0","5,200.0","9,609.0","7,771.0","5,549.0","3,607.0","12,223.0","9,489.0","5,086.0","3,081.0","9,396.0","7,852.0","6,437.0","4,364.0","7,966.0","6,351.0","6,303.0","3,543.0","10,879.0","7,324.0","5,858.0","3,539.0","12,979.0","8,774.0","9,298.0","9,332.0","8,914.0","8,304.0","8,008.0","7,902.0","7,969.0","8,412.0","8,576.0","8,710.0","8,804.0","8,799.0","8,779.0","8,714.0","8,611.0","8,492.0","8,304.0","8,246.0","8,332.0","8,339.0","8,639.0","9,085.0","9,859.0","10,507.0","11,152.0","11,505.0","11,616.0","11,146.0","11,239.0","11,317.0","11,604.0","11,993.0","12,109.0","15,633.0","11,322.0","11,471.0","8,415.0","9,814.0","10,781.0","10,969.0","14,383.0","11,935.0","11,686.0","10,884.0","10,957.0","11,118.0","13,059.0","14,291.0","14,965.0","15,231.0","16,051.0","13,820.0","12,736.0","12,097.0","12,441.0","11,729.0","11,777.0","12,161.0","11,785.0","12,343.0","12,090.0","12,120.0","13,036.0","12,790.0","13,562.0","16,068.0","14,521.0","11,828.0","13,809.0","13,948.0","14,710.0","14,941.0","14,473.0","14,285.0","15,821.0","13,877.0","14,589.0","13,755.0","15,353.0","14,941.0","14,700.0","14,647.0","15,398.0"
"43","24","    Net federal government saving","A923RU1","488.0","5,188.0","-3,990.0","-6,794.0","-4,759.0","-3,453.0","-11,398.0","-15,151.0","-11,141.0","-9,233.0","-12,995.0","-17,454.0","-12,430.0","-6,197.0","-11,491.0","-18,768.0","-9,774.0","-7,344.0","-8,358.0","-12,213.0","-11,525.0","-5,357.0","-6,120.0","-17,644.0","-23,675.0","-26,621.0","-19,357.0","-27,323.0","-25,120.0","-12,142.0","-16,313.0","-26,279.0","-22,721.0","-5,691.0","-15,479.0","-28,016.0","-23,433.0","-2,250.0","-12,228.0","-21,914.0","-15,568.0","3,721.0","-11,077.0","-21,595.0","-22,841.0","-9,096.0","-22,406.0","-31,908.0","-27,233.0","-2,052.0","-21,976.0","-34,555.0","-38,457.0","-19,900.0","-41,012.0","-65,258.0","-52,583.0","-44,092.0","-47,862.0","-60,472.0","-46,199.0","-36,770.0","-44,619.0","-64,750.0","-46,998.0","-36,533.0","-45,634.0","-66,450.0","-50,670.0","-44,146.0","-52,822.0","-65,023.0","-51,566.0","-8,480.0","-38,675.0","-64,446.0","-44,185.0","-12,817.0","-36,237.0","-64,104.0","-46,273.0","2,729.0","-40,820.0","-72,279.0","-64,379.0","-11,216.0","-51,536.0","-73,789.0","-61,745.0","-27,569.0","-59,528.0","-97,365.0","-95,206.0","-49,397.0","-81,899.0","-106,153.0","-84,227.0","-61,334.0","-73,036.0","-93,213.0","-70,350.0","-38,534.0","-59,165.0","-85,635.0","-67,032.0","-32,679.0","-59,245.0","-81,885.0","-68,742.0","4,593.0","-43,326.0","-71,031.0","-51,581.0","37,005.0","-18,305.0","-58,284.0","-29,651.0","78,856.0","-687.0","-45,800.0","-19,176.0","94,402.0","11,338.0","-19,928.0","-7,136.0","152,948.0","33,965.0","-23,266.0","-18,812.0","141,310.0","-50,277.0","-57,767.0","-95,033.0","-8,727.0","-55,410.0","-111,314.0","-114,427.0","-52,690.0","-106,202.0","-129,557.0","-148,409.0","-59,356.0","-88,743.0","-102,712.0","-138,254.0","9,384.0","-71,856.0","-104,009.0","-126,346.0","62,829.0","-66,820.0","-96,693.0","-133,151.0","75,902.0","-78,802.0","-129,596.0","-192,578.0","-43,624.0","-168,666.0","-229,121.0","-331,246.0","-263,853.0","-308,300.0","-345,444.0","-412,197.0","-275,954.0","-308,493.0","-332,068.0","-400,816.0","-237,141.0","-289,609.0","-316,576.0","-370,861.0","-179,905.0","-260,769.0","-267,605.0","-296,656.0","5,469.0","-181,957.0","-175,982.0"
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","25","  Gross government investment","A787RU1","8,107.0","7,586.0","7,770.0","7,260.0","7,685.0","7,622.0","7,480.0","7,670.0","6,910.0","6,899.0","7,222.0","6,767.0","7,120.0","7,695.0","7,072.0","7,462.0","8,168.0","8,106.0","7,680.0","7,698.0","8,298.0","8,839.0","9,106.0","9,419.0","9,399.0","9,261.0","10,438.0","10,749.0","10,885.0","10,901.0","11,409.0","11,554.0","11,915.0","12,387.0","12,511.0","12,385.0","12,557.0","13,490.0","14,087.0","14,608.0","14,505.0","15,041.0","16,252.0","15,946.0","16,993.0","17,259.0","17,675.0","18,326.0","18,778.0","19,890.0","20,546.0","21,215.0","21,123.0","22,539.0","22,725.0","23,569.0","24,061.0","24,970.0","26,231.0","27,076.0","27,498.0","28,369.0","28,661.0","31,062.0","30,906.0","32,579.0","34,498.0","34,542.0","33,473.0","34,633.0","36,969.0","36,809.0","36,495.0","38,175.0","39,012.0","38,765.0","36,456.0","36,948.0","36,937.0","37,642.0","37,141.0","37,633.0","38,634.0","37,809.0","38,764.0","39,941.0","40,191.0","39,308.0","38,622.0","40,433.0","39,618.0","38,124.0","38,312.0","39,297.0","39,560.0","39,225.0","37,870.0","37,961.0","37,603.0","37,249.0","35,152.0","36,040.0","37,926.0","36,241.0","37,166.0","37,358.0","37,309.0","35,868.0","38,360.0","37,813.0","37,760.0","35,859.0","34,418.0","35,872.0","36,992.0","36,423.0","35,139.0","36,749.0","38,370.0","37,405.0","36,366.0","38,759.0","39,163.0","40,569.0","38,180.0","39,602.0","39,215.0","40,379.0","38,931.0","41,234.0","41,052.0","42,628.0","41,926.0","45,102.0","46,766.0","46,483.0","46,011.0","49,414.0","51,108.0","49,821.0","50,717.0","51,767.0","53,996.0","54,526.0","52,687.0","55,063.0","58,541.0","56,588.0","58,114.0","59,673.0","59,706.0","60,556.0","60,294.0","63,082.0","64,479.0","63,567.0","64,246.0","68,610.0","71,299.0","71,629.0","68,046.0","71,388.0","72,824.0","71,725.0","71,095.0","75,098.0","76,952.0","76,814.0","73,200.0","74,923.0","75,505.0","73,762.0","71,120.0","72,708.0","73,701.0","70,250.0","67,168.0","67,282.0","68,275.0","65,754.0"
