"","Table 2#5#5# Personal Consumption Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"64","46","      Paramedical services","DPMSRC1","235.0","219.0","189.0","145.0","130.0","136.0","142.0","155.0","158.0","153.0","157.0","163.0","168.0","184.0","193.0","230.0","249.0","317.0","368.0","422.0","425.0","443.0","464.0","493.0","534.0","589.0","610.0","670.0","740.0","844.0","1,170.0","1,359.0","1,558.0","1,911.0","2,245.0","2,650.0","3,042.0","3,298.0","2,825.0","3,146.0","3,189.0"
"65","47","        Home health care","DHHCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"66","48","        Medical laboratories","DMLBRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"67","49","        Other professional medical services \11\","DOMDRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"68","50","    Hospital and nursing home services","DHPNRC1","572.0","597.0","594.0","556.0","505.0","518.0","556.0","575.0","617.0","635.0","658.0","695.0","732.0","840.0","952.0","1,057.0","1,153.0","1,420.0","1,728.0","1,984.0","2,158.0","2,409.0","2,655.0","3,001.0","3,293.0","3,590.0","3,943.0","4,367.0","4,865.0","5,533.0","6,178.0","6,875.0","7,502.0","8,423.0","9,472.0","10,622.0","11,588.0","13,283.0","15,650.0","18,763.0","22,113.0"
"69","51","      Hospitals \12\","DHSPRC1","543.0","567.0","564.0","528.0","480.0","492.0","528.0","546.0","586.0","603.0","625.0","660.0","695.0","798.0","904.0","1,004.0","1,095.0","1,349.0","1,641.0","1,884.0","2,049.0","2,288.0","2,521.0","2,850.0","3,127.0","3,409.0","3,745.0","4,147.0","4,620.0","5,255.0","5,863.0","6,303.0","6,770.0","7,545.0","8,341.0","9,080.0","9,996.0","11,330.0","13,234.0","15,736.0","18,303.0"
"70","52","      Nursing homes","DNRSRC1","29.0","30.0","30.0","28.0","25.0","26.0","28.0","29.0","31.0","32.0","33.0","35.0","37.0","42.0","48.0","53.0","58.0","71.0","87.0","100.0","109.0","121.0","134.0","151.0","166.0","181.0","198.0","220.0","245.0","278.0","315.0","572.0","732.0","878.0","1,131.0","1,542.0","1,592.0","1,953.0","2,416.0","3,027.0","3,810.0"
"71","53","  Transportation","DTRNRC1","7,543.0","6,080.0","4,925.0","3,872.0","3,898.0","4,513.0","5,201.0","6,039.0","6,420.0","5,530.0","6,264.0","7,033.0","8,337.0","5,370.0","5,364.0","5,666.0","6,602.0","12,120.0","15,436.0","17,960.0","21,171.0","24,576.0","24,227.0","24,407.0","28,040.0","27,353.0","33,422.0","32,719.0","35,701.0","33,730.0","38,766.0","40,766.0","39,293.0","44,116.0","47,819.0","50,724.0","56,529.0","59,026.0","60,976.0","69,846.0","75,885.0"
"72","54","    Motor vehicles","DMTRRC1","2,682.0","1,710.0","1,192.0","661.0","809.0","1,074.0","1,570.0","2,001.0","2,072.0","1,286.0","1,758.0","2,300.0","2,824.0","415.0","410.0","322.0","318.0","2,701.0","5,134.0","6,620.0","9,312.0","12,106.0","10,601.0","9,718.0","12,384.0","11,430.0","16,075.0","13,977.0","15,508.0","12,900.0","16,406.0","17,095.0","15,153.0","18,561.0","21,234.0","22,565.0","26,195.0","26,162.0","25,600.0","30,801.0","32,045.0"
"73","55","      New motor vehicles","DNMVRC1","2,638.0","1,672.0","1,158.0","633.0","780.0","1,041.0","1,534.0","1,961.0","2,027.0","1,244.0","1,709.0","2,219.0","2,653.0","127.0","136.0","50.0","37.0","2,239.0","4,322.0","5,354.0","8,001.0","10,656.0","9,009.0","8,281.0","11,410.0","11,134.0","14,221.0","11,983.0","13,005.0","10,088.0","13,623.0","14,467.0","12,450.0","15,559.0","17,887.0","18,998.0","22,216.0","22,046.0","21,081.0","25,990.0","26,842.0"
"74","56","      Net purchases of used motor vehicles","DNPVRC1","44.0","38.0","34.0","28.0","29.0","33.0","36.0","40.0","45.0","42.0","49.0","81.0","171.0","288.0","274.0","272.0","281.0","462.0","812.0","1,266.0","1,311.0","1,450.0","1,592.0","1,437.0","974.0","296.0","1,854.0","1,994.0","2,503.0","2,812.0","2,783.0","2,628.0","2,703.0","3,002.0","3,347.0","3,567.0","3,979.0","4,116.0","4,519.0","4,811.0","5,203.0"
"75","57","    Motor vehicle operation","DMVORC1","3,257.0","2,915.0","2,501.0","2,193.0","2,157.0","2,450.0","2,589.0","2,889.0","3,144.0","3,085.0","3,290.0","3,481.0","4,128.0","3,021.0","2,292.0","2,559.0","3,452.0","6,506.0","7,415.0","8,365.0","8,987.0","9,672.0","10,673.0","11,635.0","12,571.0","12,964.0","14,366.0","15,660.0","17,040.0","17,766.0","19,131.0","20,320.0","20,747.0","21,988.0","22,987.0","24,325.0","26,230.0","28,425.0","30,452.0","33,474.0","37,350.0"
"76","58","      Motor vehicle parts and accessories","DMVPRC1","648.0","523.0","433.0","314.0","280.0","346.0","368.0","402.0","433.0","398.0","484.0","530.0","673.0","303.0","366.0","449.0","652.0","1,391.0","1,385.0","1,315.0","1,216.0","1,545.0","1,507.0","1,633.0","1,462.0","1,318.0","1,582.0","1,734.0","1,974.0","2,122.0","2,383.0","2,487.0","2,569.0","2,825.0","3,012.0","3,237.0","3,450.0","3,765.0","4,001.0","4,613.0","5,403.0"
"77","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRC1","1,814.0","1,749.0","1,540.0","1,476.0","1,466.0","1,640.0","1,743.0","1,945.0","2,143.0","2,145.0","2,181.0","2,273.0","2,649.0","2,090.0","1,339.0","1,384.0","1,809.0","3,366.0","4,015.0","4,789.0","5,317.0","5,522.0","6,126.0","6,765.0","7,441.0","7,844.0","8,617.0","9,414.0","10,200.0","10,580.0","11,281.0","12,004.0","12,009.0","12,597.0","12,952.0","13,572.0","14,751.0","16,032.0","17,100.0","18,560.0","20,460.0"
"78","60","      Motor vehicle maintenance and repair","DVMRRC1","721.0","580.0","473.0","358.0","364.0","413.0","424.0","483.0","504.0","480.0","554.0","601.0","717.0","552.0","518.0","646.0","889.0","1,583.0","1,822.0","2,038.0","2,204.0","2,331.0","2,672.0","2,835.0","3,211.0","3,320.0","3,643.0","3,951.0","4,269.0","4,441.0","4,814.0","5,136.0","5,433.0","5,779.0","6,183.0","6,602.0","7,041.0","7,568.0","8,221.0","9,055.0","10,110.0"
"79","61","      Other motor vehicle services","DOVSRC1","74.0","63.0","55.0","45.0","47.0","51.0","54.0","59.0","64.0","62.0","71.0","77.0","89.0","76.0","69.0","80.0","102.0","166.0","193.0","223.0","250.0","274.0","368.0","402.0","457.0","482.0","524.0","561.0","597.0","623.0","653.0","693.0","736.0","787.0","840.0","914.0","988.0","1,060.0","1,130.0","1,246.0","1,377.0"
"80","62","    Public transportation","DPUBRC1","1,604.0","1,455.0","1,232.0","1,018.0","932.0","989.0","1,042.0","1,149.0","1,204.0","1,159.0","1,216.0","1,252.0","1,385.0","1,934.0","2,662.0","2,785.0","2,832.0","2,913.0","2,887.0","2,975.0","2,872.0","2,798.0","2,953.0","3,054.0","3,085.0","2,959.0","2,981.0","3,082.0","3,153.0","3,064.0","3,229.0","3,351.0","3,393.0","3,567.0","3,598.0","3,834.0","4,104.0","4,439.0","4,924.0","5,571.0","6,490.0"
"81","63","      Ground transportation \13\","DGRDRC1","1,599.0","1,452.0","1,229.0","1,014.0","928.0","984.0","1,035.0","1,140.0","1,195.0","1,150.0","1,203.0","1,233.0","1,361.0","1,910.0","2,637.0","2,751.0","2,776.0","2,830.0","2,794.0","2,872.0","2,754.0","2,655.0","2,763.0","2,826.0","2,817.0","2,659.0","2,630.0","2,686.0","2,706.0","2,583.0","2,637.0","2,672.0","2,630.0","2,682.0","2,670.0","2,749.0","2,823.0","2,962.0","3,109.0","3,331.0","3,639.0"
"82","64","      Air transportation","DAITRC1","3.0","2.0","2.0","3.0","3.0","4.0","6.0","8.0","8.0","8.0","12.0","18.0","23.0","23.0","24.0","33.0","55.0","82.0","92.0","102.0","117.0","142.0","189.0","227.0","267.0","299.0","350.0","395.0","446.0","480.0","591.0","678.0","762.0","884.0","927.0","1,084.0","1,279.0","1,475.0","1,812.0","2,236.0","2,846.0"
"83","65","      Water transportation","DWATRC1","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","3.0","4.0","5.0"
"84","66","  Communication","DCMCRC1","677.0","680.0","651.0","566.0","515.0","528.0","564.0","612.0","652.0","655.0","692.0","735.0","834.0","986.0","1,164.0","1,309.0","1,449.0","1,562.0","1,679.0","1,900.0","2,066.0","2,306.0","2,575.0","2,859.0","3,159.0","3,286.0","3,597.0","3,917.0","4,257.0","4,532.0","4,834.0","5,206.0","5,557.0","5,907.0","6,429.0","6,938.0","7,536.0","8,120.0","8,873.0","9,678.0","10,729.0"
"85","67","    Telephone and facsimile equipment","DTCERC1","3.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","4.0","4.0","5.0","5.0","6.0","7.0","8.0","9.0","8.0","8.0","7.0","8.0","8.0","9.0","9.0","9.0","10.0","10.0","11.0","12.0","13.0","15.0","16.0","17.0","19.0","20.0"
"86","68","    Postal and delivery services","DPSSRC1","105.0","101.0","95.0","83.0","78.0","84.0","91.0","99.0","108.0","111.0","114.0","118.0","136.0","158.0","188.0","227.0","255.0","268.0","297.0","324.0","327.0","355.0","395.0","429.0","467.0","489.0","527.0","567.0","599.0","630.0","639.0","680.0","718.0","785.0","892.0","972.0","1,028.0","1,091.0","1,181.0","1,316.0","1,424.0"
"87","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","633.0","673.0","711.0","776.0","882.0","961.0","1,015.0","1,077.0","1,166.0","1,295.0","1,393.0"
"88","70","      Other delivery services (by non-USPS facilities)","DODSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6.0","7.0","7.0","9.0","10.0","11.0","13.0","14.0","15.0","21.0","31.0"
"89","71","    Telecommunication services","DTCSRC1","569.0","577.0","554.0","482.0","436.0","443.0","472.0","511.0","542.0","542.0","576.0","615.0","695.0","825.0","973.0","1,078.0","1,190.0","1,289.0","1,377.0","1,570.0","1,732.0","1,943.0","2,171.0","2,422.0","2,684.0","2,790.0","3,062.0","3,342.0","3,649.0","3,893.0","4,186.0","4,516.0","4,829.0","5,111.0","5,525.0","5,953.0","6,493.0","7,013.0","7,675.0","8,343.0","9,285.0"
"90","72","    Internet access","DINTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"91","73","  Recreation","DRRLRC1","4,489.0","4,120.0","3,372.0","2,492.0","2,258.0","2,532.0","2,743.0","3,153.0","3,527.0","3,381.0","3,611.0","3,936.0","4,482.0","4,916.0","5,253.0","5,754.0","6,528.0","9,015.0","9,832.0","10,280.0","10,561.0","11,737.0","12,342.0","13,023.0","13,819.0","14,335.0","15,436.0","16,406.0","16,793.0","17,258.0","18,763.0","19,712.0","20,470.0","22,086.0","23,854.0","26,297.0","28,891.0","33,365.0","35,823.0","39,932.0","43,699.0"
"92","74","    Video and audio equipment, computers, and related services","DVPIRC1","1,024.0","935.0","513.0","304.0","228.0","266.0","292.0","377.0","433.0","390.0","470.0","546.0","669.0","701.0","508.0","444.0","507.0","1,284.0","1,594.0","1,676.0","1,905.0","2,695.0","2,632.0","2,804.0","3,105.0","3,316.0","3,511.0","3,663.0","3,636.0","3,688.0","3,996.0","4,097.0","4,339.0","4,587.0","4,956.0","5,588.0","6,373.0","7,583.0","8,453.0","9,210.0","9,798.0"
"93","75","      Video and audio equipment","DVAARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,835.0","2,813.0","2,955.0","3,124.0","3,410.0","3,975.0","4,715.0","5,818.0","6,531.0","7,069.0","7,435.0"
"94","76","      Information processing equipment","DIPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","104.0","111.0","122.0","134.0","145.0","164.0","180.0","208.0","222.0","257.0","302.0"
"95","77","      Services related to video and audio goods and computers","DSVCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,057.0","1,173.0","1,262.0","1,329.0","1,401.0","1,449.0","1,478.0","1,557.0","1,700.0","1,884.0","2,061.0"
"96","78","    Sports and recreational goods and related services","DODRRC1","757.0","634.0","521.0","371.0","333.0","400.0","445.0","533.0","618.0","599.0","651.0","705.0","839.0","864.0","845.0","987.0","1,177.0","1,850.0","2,093.0","2,249.0","2,239.0","2,514.0","2,794.0","2,941.0","3,060.0","3,086.0","3,436.0","3,725.0","3,944.0","4,046.0","4,491.0","4,653.0","4,826.0","5,243.0","5,712.0","6,385.0","7,185.0","8,517.0","9,233.0","10,657.0","11,728.0"
"97","79","      Sports and recreational vehicles","DWHLRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","842.0","766.0","697.0","783.0","907.0","1,150.0","1,371.0","1,721.0","1,945.0","2,631.0","3,258.0"
"98","80","      Other sporting and recreational goods","DORIRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,596.0","3,837.0","4,086.0","4,413.0","4,751.0","5,170.0","5,742.0","6,705.0","7,179.0","7,898.0","8,313.0"
"99","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53.0","50.0","43.0","47.0","54.0","65.0","72.0","91.0","109.0","128.0","157.0"
"100","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRC1","1,314.0","1,287.0","1,209.0","922.0","836.0","905.0","966.0","1,086.0","1,189.0","1,150.0","1,172.0","1,274.0","1,388.0","1,613.0","1,881.0","2,032.0","2,249.0","2,735.0","2,729.0","2,692.0","2,660.0","2,601.0","2,628.0","2,661.0","2,722.0","2,886.0","3,121.0","3,337.0","3,190.0","3,199.0","3,476.0","3,799.0","4,073.0","4,333.0","4,566.0","4,808.0","5,048.0","5,443.0","5,711.0","6,346.0","6,926.0"
"101","83","      Membership clubs and participant sports centers","DMDFRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","990.0","1,131.0","1,262.0","1,343.0","1,402.0","1,432.0","1,439.0","1,494.0","1,546.0","1,576.0","1,585.0"
"102","84","      Amusements parks, campgrounds, and related recreational services","DORSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","795.0","892.0","991.0","1,096.0","1,203.0","1,310.0","1,336.0","1,482.0","1,605.0","1,836.0","2,163.0"
"103","85","      Admissions to specified spectator amusements","DADMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,631.0","1,707.0","1,741.0","1,806.0","1,865.0","1,959.0","2,162.0","2,343.0","2,425.0","2,779.0","2,993.0"
"104","86","        Motion picture theaters","DMOVRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,043.0","1,045.0","1,044.0","1,033.0","1,029.0","1,038.0","1,163.0","1,219.0","1,227.0","1,400.0","1,507.0"
"105","87","        Live entertainment, excluding sports","DLIGRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","277.0","298.0","285.0","304.0","309.0","334.0","339.0","380.0","418.0","420.0","433.0"
"106","88","        Spectator sports","DSPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","311.0","364.0","412.0","469.0","527.0","587.0","660.0","744.0","780.0","959.0","1,053.0"
"107","89","      Museums and libraries","DMUSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60.0","69.0","79.0","88.0","96.0","107.0","111.0","124.0","135.0","155.0","185.0"
"108","90","    Magazines, newspapers, books, and stationery","DNBSRC1","963.0","885.0","804.0","635.0","620.0","672.0","719.0","787.0","863.0","839.0","903.0","961.0","1,071.0","1,183.0","1,428.0","1,597.0","1,811.0","2,069.0","2,217.0","2,398.0","2,517.0","2,631.0","2,861.0","3,042.0","3,231.0","3,295.0","3,461.0","3,606.0","3,794.0","3,965.0","4,207.0","4,357.0","4,275.0","4,725.0","5,094.0","5,423.0","5,743.0","6,712.0","6,853.0","7,356.0","8,153.0"
"109","91","    Gambling","DGAMRC1","36.0","35.0","30.0","22.0","22.0","37.0","45.0","51.0","64.0","66.0","66.0","82.0","94.0","98.0","108.0","164.0","192.0","293.0","310.0","315.0","305.0","300.0","320.0","395.0","445.0","444.0","465.0","508.0","543.0","575.0","643.0","700.0","750.0","858.0","930.0","1,045.0","1,102.0","1,176.0","1,268.0","1,379.0","1,518.0"
"110","92","    Pets, pet products, and related services","DPETRC1","166.0","153.0","126.0","97.0","97.0","109.0","120.0","136.0","150.0","142.0","144.0","152.0","172.0","198.0","218.0","233.0","253.0","316.0","367.0","392.0","385.0","399.0","446.0","474.0","498.0","522.0","554.0","589.0","632.0","669.0","723.0","838.0","906.0","960.0","1,045.0","1,318.0","1,507.0","1,724.0","1,846.0","2,132.0","2,361.0"
"111","93","    Photographic goods and services","DPHORC1","175.0","155.0","140.0","109.0","99.0","115.0","129.0","152.0","179.0","169.0","178.0","191.0","221.0","238.0","240.0","272.0","309.0","440.0","494.0","530.0","525.0","574.0","638.0","683.0","734.0","763.0","864.0","952.0","1,028.0","1,090.0","1,199.0","1,240.0","1,269.0","1,344.0","1,515.0","1,691.0","1,889.0","2,151.0","2,372.0","2,748.0","3,088.0"
"112","94","    Package tours \14\","DXHLRC1","54.0","36.0","29.0","32.0","23.0","28.0","27.0","31.0","31.0","26.0","27.0","25.0","28.0","21.0","25.0","25.0","30.0","28.0","28.0","28.0","25.0","23.0","23.0","23.0","24.0","23.0","24.0","26.0","26.0","26.0","28.0","28.0","32.0","36.0","36.0","39.0","44.0","59.0","87.0","104.0","127.0"
"113","95","  Education","DEDURC1","618.0","630.0","623.0","520.0","447.0","453.0","470.0","504.0","556.0","567.0","575.0","589.0","637.0","725.0","837.0","872.0","897.0","985.0","1,154.0","1,300.0","1,407.0","1,499.0","1,632.0","1,728.0","1,843.0","1,947.0","2,136.0","2,370.0","2,618.0","2,863.0","3,107.0","3,361.0","3,608.0","3,952.0","4,347.0","4,827.0","5,465.0","6,212.0","6,877.0","7,720.0","8,652.0"
"114","96","    Educational books","DEBKRC1","78.0","67.0","64.0","39.0","38.0","42.0","46.0","52.0","61.0","56.0","57.0","59.0","64.0","73.0","92.0","114.0","131.0","149.0","134.0","147.0","158.0","170.0","196.0","199.0","210.0","204.0","219.0","241.0","249.0","259.0","275.0","288.0","306.0","325.0","357.0","407.0","417.0","466.0","468.0","509.0","583.0"
"115","97","    Higher education","DHEDRC1","235.0","259.0","266.0","238.0","213.0","220.0","228.0","238.0","247.0","252.0","259.0","269.0","277.0","297.0","330.0","354.0","362.0","418.0","537.0","599.0","652.0","679.0","713.0","746.0","788.0","840.0","919.0","1,020.0","1,142.0","1,262.0","1,374.0","1,495.0","1,639.0","1,811.0","2,004.0","2,297.0","2,727.0","3,124.0","3,466.0","3,931.0","4,457.0"
"116","98","    Nursery, elementary, and secondary schools","DNEHRC1","125.0","132.0","147.0","125.0","97.0","96.0","96.0","110.0","135.0","150.0","153.0","157.0","165.0","177.0","191.0","212.0","239.0","220.0","265.0","311.0","332.0","362.0","406.0","443.0","482.0","523.0","575.0","640.0","717.0","794.0","886.0","989.0","1,118.0","1,242.0","1,352.0","1,449.0","1,565.0","1,693.0","1,820.0","1,993.0","2,193.0"
"117","99","    Commercial and vocational schools \15\","DVEDRC1","180.0","172.0","146.0","118.0","99.0","95.0","100.0","104.0","113.0","109.0","106.0","104.0","131.0","178.0","224.0","192.0","165.0","198.0","218.0","243.0","265.0","288.0","317.0","340.0","363.0","380.0","423.0","469.0","510.0","548.0","572.0","589.0","545.0","574.0","634.0","674.0","756.0","929.0","1,123.0","1,287.0","1,419.0"
"118","100","  Food services and accommodations","DFSARC1","3,422.0","3,273.0","2,954.0","2,439.0","2,127.0","2,602.0","3,006.0","3,422.0","4,020.0","3,864.0","4,121.0","4,412.0","5,347.0","6,878.0","9,143.0","10,888.0","12,657.0","12,687.0","12,465.0","12,605.0","12,397.0","12,738.0","14,960.0","16,027.0","16,475.0","16,611.0","16,989.0","17,687.0","18,481.0","18,667.0","19,738.0","20,485.0","20,964.0","22,257.0","23,306.0","24,878.0","27,181.0","29,635.0","30,957.0","34,594.0","37,461.0"
"119","101","    Food services","DFSERC1","3,168.0","3,033.0","2,739.0","2,262.0","1,971.0","2,433.0","2,824.0","3,221.0","3,799.0","3,639.0","3,887.0","4,166.0","5,081.0","6,603.0","8,815.0","10,527.0","12,256.0","12,244.0","11,884.0","12,050.0","11,848.0","12,168.0","14,330.0","15,348.0","15,743.0","15,833.0","16,162.0","16,791.0","17,494.0","17,674.0","18,660.0","19,310.0","19,740.0","20,906.0","21,815.0","23,277.0","25,382.0","27,686.0","28,767.0","32,128.0","34,736.0"
"120","102","      Purchased meals and beverages \16\","DPMBRC1","2,911.0","2,788.0","2,541.0","2,102.0","1,816.0","2,248.0","2,610.0","2,985.0","3,528.0","3,392.0","3,633.0","3,888.0","4,611.0","5,670.0","7,138.0","8,129.0","9,503.0","10,895.0","10,861.0","11,029.0","10,848.0","11,092.0","12,698.0","13,579.0","14,093.0","14,355.0","14,870.0","15,593.0","16,276.0","16,430.0","17,454.0","18,101.0","18,459.0","19,567.0","20,465.0","21,903.0","23,897.0","25,917.0","26,823.0","30,155.0","32,683.0"
"121","103","      Food furnished to employees (including military)","DFOORC1","257.0","245.0","198.0","160.0","155.0","185.0","214.0","236.0","271.0","247.0","254.0","278.0","470.0","933.0","1,677.0","2,398.0","2,753.0","1,349.0","1,023.0","1,021.0","1,000.0","1,076.0","1,632.0","1,769.0","1,650.0","1,478.0","1,292.0","1,198.0","1,218.0","1,244.0","1,206.0","1,209.0","1,281.0","1,339.0","1,350.0","1,374.0","1,485.0","1,769.0","1,944.0","1,973.0","2,053.0"
"122","104","    Accommodations \17\","DACCRC1","254.0","240.0","215.0","177.0","156.0","169.0","182.0","201.0","221.0","225.0","234.0","246.0","266.0","275.0","328.0","361.0","401.0","443.0","581.0","555.0","549.0","570.0","630.0","679.0","732.0","778.0","827.0","896.0","987.0","993.0","1,078.0","1,175.0","1,224.0","1,351.0","1,491.0","1,601.0","1,799.0","1,949.0","2,190.0","2,466.0","2,725.0"
"123","105","  Financial services and insurance","DIFSRC1","2,906.0","2,595.0","2,203.0","1,877.0","1,921.0","1,825.0","2,067.0","2,246.0","2,381.0","2,250.0","2,295.0","2,368.0","2,480.0","2,565.0","2,840.0","2,972.0","3,187.0","3,776.0","4,246.0","4,685.0","4,898.0","5,583.0","6,314.0","6,714.0","7,772.0","8,609.0","9,586.0","10,396.0","11,053.0","11,574.0","12,484.0","13,551.0","14,765.0","15,351.0","15,909.0","17,740.0","19,395.0","21,273.0","22,843.0","25,797.0","28,502.0"
"124","106","    Financial services","DFNLRC1","1,728.0","1,386.0","1,043.0","790.0","841.0","689.0","802.0","935.0","974.0","853.0","842.0","866.0","885.0","916.0","1,091.0","1,143.0","1,296.0","1,678.0","1,747.0","1,905.0","1,957.0","2,329.0","2,464.0","2,559.0","3,098.0","3,605.0","4,194.0","4,573.0","4,731.0","4,979.0","5,653.0","6,055.0","6,810.0","6,935.0","7,081.0","8,048.0","8,783.0","9,923.0","11,089.0","12,364.0","14,128.0"
"125","107","      Financial services furnished without payment","DIMPRC1","855.0","775.0","614.0","465.0","398.0","379.0","454.0","514.0","559.0","513.0","513.0","557.0","584.0","631.0","683.0","713.0","753.0","1,064.0","1,184.0","1,246.0","1,297.0","1,447.0","1,557.0","1,682.0","2,184.0","2,384.0","2,785.0","3,132.0","3,212.0","3,181.0","3,497.0","3,899.0","4,130.0","4,302.0","4,222.0","4,906.0","5,247.0","5,805.0","6,378.0","7,018.0","9,113.0"
"126","108","      Financial service charges, fees, and commissions","DOFIRC1","873.0","611.0","429.0","325.0","443.0","310.0","348.0","421.0","415.0","340.0","329.0","309.0","301.0","285.0","408.0","430.0","543.0","614.0","563.0","659.0","660.0","882.0","907.0","877.0","914.0","1,221.0","1,409.0","1,441.0","1,519.0","1,798.0","2,156.0","2,156.0","2,680.0","2,633.0","2,859.0","3,142.0","3,536.0","4,118.0","4,711.0","5,346.0","5,015.0"
"127","109","    Insurance","DINSRC1","1,178.0","1,209.0","1,160.0","1,087.0","1,080.0","1,136.0","1,265.0","1,311.0","1,407.0","1,397.0","1,453.0","1,502.0","1,595.0","1,649.0","1,749.0","1,829.0","1,891.0","2,098.0","2,499.0","2,780.0","2,941.0","3,254.0","3,850.0","4,155.0","4,674.0","5,004.0","5,392.0","5,823.0","6,322.0","6,595.0","6,831.0","7,496.0","7,955.0","8,416.0","8,828.0","9,692.0","10,612.0","11,350.0","11,754.0","13,433.0","14,374.0"
