"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"42","34","        Tools, hardware, and supplies","DHDWRX0",10818,10834,10788,10699,10675,10752,10844,10719,10860,10824,10888,10973,10781,10890,10923,10956,11030,11139,11076,11037,11110,11143,11112,10900,11002,11181,11249,11356,11370,11468,11561,11556,11594,11662,11700,11769,11916,12061,12078,12337,12431,12483,12631,12657,12969,13064,13146,13408,13511,13784,13671,13671,13666,13746,13638,13761,13765,13916,14049,14210,14264,14297,14716,14276,14384,14292,14331,14297,14369,14457,14225,14587,14706,14729,14657,15002,15113,15104,15053,15007,14791,15033,15260,15307,15437,15551,15385,15674,15627,15630,15628,15633,15719,16000,16037,15916,16296,15937,16335,16185,16449,16912,17342,17501,17647,17729,17823,17695,17254,17304,18401,18123,18284,18419,18373,18405,18629,18426,18450,18782,18637,18527,18490,18824,18775,18889,18770,18843,19293,19496,19499,19523,20364,20306,20247,19928,19534,19329,19299,19384,19075,19429,19336,19590,19725,19425,19638,19214,19603,19212,19237,19365,19175,18995,19104,19098,19073,18871,18700,19039,19222,19661,19480,19046,18769,18604,17927,17382,17485,17442,17305,16992,16897,16791,16775,17220,17341,17165,17283,17378,16928,17147,17625,17836,17207,17111,17208,17357,17449
"43","35","        Outdoor equipment and supplies","DLWNRX0",1954,1977,1974,1962,1990,2009,2057,2058,2057,2049,2079,2094,2053,2113,2110,2167,2162,2201,2204,2185,2224,2249,2278,2242,2246,2263,2314,2262,2265,2343,2380,2406,2397,2417,2424,2459,2460,2489,2460,2501,2486,2438,2427,2421,2466,2493,2525,2540,2653,2664,2554,2531,2542,2527,2520,2528,2525,2586,2639,2656,2628,2674,2791,2610,2647,2630,2638,2718,2715,2673,2714,2828,2803,2833,2603,2806,2819,2714,2723,2629,2622,2679,2665,2626,2720,2731,2658,2706,2681,2706,2692,2690,2704,2693,2742,2710,2780,2717,2817,2785,2839,2933,2967,2989,2987,2994,2972,3042,3008,3073,3257,3108,3126,3087,3116,3173,3192,3190,3176,3244,3187,3249,3248,3348,3357,3388,3342,3369,3346,3444,3463,3407,3565,3541,3547,3644,3481,3432,3451,3465,3482,3487,3478,3549,3530,3540,3661,3470,3591,3521,3574,3606,3632,3618,3709,3591,3620,3675,3659,3671,3738,3815,3827,3777,3752,3727,3613,3529,3528,3487,3457,3459,3462,3481,3417,3417,3421,3445,3519,3555,3990,4151,4081,4393,3700,3810,3860,3983,4030
"44","36","    Recreational goods and vehicles","DREQRX0",71535,70255,71974,71531,73342,75415,76086,77844,79619,79263,79278,81098,81209,81567,82824,84916,86793,87468,87665,89402,89626,90894,91724,93555,93367,94998,96567,98260,98429,100148,101930,102895,104290,104803,106908,108002,109866,112614,112936,115094,117877,119077,123045,124780,126909,129347,129972,132720,132790,138097,139141,140884,143457,145637,147776,150357,153447,155884,155901,161145,165195,167079,170764,171058,168964,170237,171545,173790,178129,177122,178302,179704,181298,180768,182018,185567,186253,187649,191322,192867,188290,195323,202076,204299,206747,208939,207849,211312,210304,211902,212346,213592,216099,215995,218562,220813,220723,219924,222583,226279,230123,235521,239292,246533,247624,249381,251441,254094,255458,259077,261456,260949,266124,265773,271563,273741,274896,278012,279717,286434,285179,294024,295532,300162,297350,301808,303309,307251,305457,313927,316812,319419,337394,331476,334754,336888,335309,337610,338019,339568,351297,352895,358153,365371,366752,362162,370827,369764,376710,376739,382878,387600,391101,394201,398044,397896,392647,388935,392221,397004,406810,405037,405320,400431,391071,383627,383827,377034,391812,391894,384584,385414,384995,391326,395549,403808,409135,410542,421060,421997,424887,431477,435741,436674,438756,445579,449012,452580,458337
"45","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",22477,22248,22638,22436,23258,24199,24339,25269,25735,26105,26828,27048,27101,27785,28436,29148,29875,30074,30345,30683,31540,31775,32016,32637,32763,33854,34637,35882,36098,36802,37765,38258,39067,39390,39986,40837,42120,43409,43771,44665,46070,47242,49322,50956,51549,52375,53899,54913,55646,57024,58124,59060,60410,61712,62875,64248,66451,67263,67433,69653,70898,72722,74494,76383,74508,74987,76549,77842,79756,80087,80489,81662,82284,82769,84466,84406,85823,87695,89199,90792,89611,92796,95906,98656,99283,100619,101715,103040,103778,105057,105667,105827,106916,108821,109304,110711,109517,110743,111489,112716,115751,119405,121417,124928,126351,127018,128532,131566,132276,133494,135239,136188,138815,140728,142438,144351,146601,147880,150226,152421,154646,159013,160225,161554,162539,166124,167546,171357,172241,178433,178445,180795,191036,188204,191349,192624,194153,197578,198244,201170,205610,206911,212146,218108,218799,219057,222257,223873,226439,227931,233353,237422,238845,241783,249097,247191,245839,243014,247705,255177,261795,262616,264392,260664,258270,256551,257396,251916,263010,266974,260720,261480,260348,264655,267453,273026,279449,282759,286292,287404,294748,301355,301914,300967,306664,313789,316413,319105,323310
"46","38","        Video and audio equipment","DVAARX0",30328,29474,29789,29404,30063,30983,31353,31932,32025,32177,32634,32349,32489,32624,32898,33074,33702,33305,33252,33443,33955,33950,33720,33496,33094,33784,33836,35060,34539,34667,35405,35267,35551,35568,35711,36386,37430,37978,38060,39027,40114,41034,42046,43092,43005,43346,44240,45241,45036,46116,46809,47407,48292,49365,50420,50909,52722,53377,53181,54943,55636,57316,58383,59612,57808,57689,58752,59629,60797,61054,61193,61659,62730,62760,63661,63501,64219,65527,66630,67201,66726,68540,70930,72945,72534,72889,73339,74390,74694,75522,75816,75308,75383,76553,76041,76875,75969,76371,77010,77400,78827,81025,81956,83884,84157,84767,85666,87782,88095,88842,89513,90459,92121,93136,93987,95463,96768,96713,97998,99333,100924,103620,103913,104394,104650,106545,107227,109147,109957,113922,113828,115065,121959,119649,121100,121842,122033,124341,124927,126103,129209,129951,132396,136394,136726,136148,138304,139179,140362,140203,143044,146201,146831,148247,151705,150449,150525,149039,152051,156456,161824,161783,162555,159742,157149,155772,157432,152123,161107,164070,158581,158209,156863,159958,160685,162822,167230,170356,171977,171976,176563,181892,180776,179680,182466,187007,188129,189192,192132
"47","39","          Televisions","DTVSRX0",4731,4609,4647,4588,4700,4759,4811,4848,4885,4928,4948,4885,4868,4906,4947,4994,5004,4919,4905,4974,5036,5062,5047,4973,4808,4946,4909,5000,4910,4951,5044,5050,5068,5064,5071,5156,5305,5364,5395,5465,5562,5674,5701,5854,5791,5846,5949,6062,6170,6330,6495,6547,6743,6839,6977,6968,7130,7225,7230,7485,7689,7897,8004,8187,8205,8210,8438,8612,8758,8834,8899,9033,9196,9097,9227,9371,9488,9773,9937,10149,10135,10503,10916,11149,11050,11184,11288,11500,11550,11709,11801,11932,12188,12549,12536,12932,12912,12949,13263,13545,14137,14499,14933,15558,15672,16001,16286,16758,16870,17244,17697,18000,18584,18970,19137,19280,19520,19722,20006,20437,20808,21571,21869,22190,22142,22900,23249,24117,24768,25886,26499,26511,28631,28453,28802,29523,29845,31135,31973,32563,34114,35117,37054,38565,39100,38807,40099,40852,41950,41601,43202,45050,45686,46189,47857,48093,48611,48643,50676,52482,54668,54872,55980,55215,54897,55036,56294,54815,59617,60972,58500,59174,60030,61876,63103,65080,67892,71729,72609,72327,75553,81156,80934,81820,82810,83871,85156,87035,88343
"48","40","          Other video equipment","DOVARX0",2701,2641,2677,2627,2701,2815,2812,2864,2884,2895,2953,2979,3004,2985,3023,2988,3058,3047,3056,3013,3112,3104,3005,3009,2941,3044,3023,3134,3106,3167,3240,3260,3268,3263,3297,3324,3501,3577,3604,3722,3882,3967,4079,4229,4315,4405,4555,4669,4766,4893,5045,5142,5262,5412,5585,5701,5903,6019,6113,6414,6565,6914,7083,7289,7310,7421,7623,7872,8086,8239,8396,8591,8736,8715,8919,9166,9457,9702,10041,10275,10169,10527,10942,11249,11269,11417,11515,11682,11712,11975,12031,12109,12274,12591,12697,12997,12966,13250,13328,13585,14080,14251,14490,14956,15027,15189,15293,15601,15789,15838,16164,16434,16926,17104,17354,17474,17733,18044,18094,18487,18807,19176,19050,19122,18995,19429,19360,19806,19934,20520,20430,20557,21649,21252,21770,21665,22023,22835,22898,22979,23456,23717,24042,24411,24355,23971,24808,24756,25024,24470,25340,26547,27018,27360,28256,28414,28495,28626,29052,30544,31586,32010,32906,32652,32111,31909,32242,32104,33234,33406,32365,32294,31884,32521,32674,33044,34079,34836,35508,35779,36490,37573,37362,37159,38453,40014,40163,40622,41318
"49","41","          Audio equipment","DAUDRX0",8267,8145,8216,8076,8233,8500,8559,8655,8710,8828,8885,8855,8789,8852,8902,8951,9100,8997,9002,9016,9142,9169,9193,9138,8941,9148,9110,9697,9426,9324,9507,9469,9572,9515,9470,9551,9801,9994,9929,10102,10310,10554,10684,10964,10729,10734,11062,11278,10881,11184,11360,11448,11802,12016,12211,12344,12798,12929,12803,13222,13264,13626,13945,14137,12770,12882,13039,13232,13496,13428,13541,13704,13691,13529,13689,13802,13761,14228,14335,14337,13953,14230,14585,14901,14767,14920,14913,15106,15296,15484,15618,15641,15473,15705,15510,15586,15504,15440,15647,15859,16086,16368,16864,17212,17348,17355,17218,17618,17676,17914,18185,18374,18567,18976,19307,19782,20016,20184,20554,21242,21978,22638,22801,23092,23560,24301,24747,25232,25207,26120,26060,26147,28105,27556,27503,27463,27082,27300,27311,27447,28327,28298,28397,29413,29277,29163,29318,29522,29865,30066,29954,30193,30467,30491,30717,30380,30153,29273,30039,30791,31131,30991,30907,30070,29219,28104,28638,27929,29347,29702,28401,28501,27949,28377,28181,28431,28649,28720,28882,28659,29285,29697,29692,29530,29678,30069,30000,30097,30353
"50","42","          Recording media","DRECRX0",16960,16265,16458,16337,16665,17241,17630,18155,18080,18025,18430,18087,18350,18449,18596,18808,19334,19081,18995,19257,19433,19357,19315,19190,19396,19563,19836,20391,20233,20290,20753,20520,20752,20876,21037,21694,22101,22324,22389,23126,23821,24399,25366,25818,25890,26027,26308,26961,26710,27240,27297,27701,27834,28536,29104,29366,30564,30860,30510,31271,31448,32151,32651,33306,32498,31950,32380,32515,33069,33068,32699,32518,33404,33856,34248,33231,33513,33739,34184,34190,34248,35032,36280,37553,37329,37147,37401,37883,37902,38051,38023,37077,36757,36913,36408,36340,35450,35563,35536,35039,35002,36488,36123,36530,36458,36527,37199,38149,38070,38126,37653,37812,38167,38182,38272,39034,39609,38828,39413,39205,39357,40254,40203,39991,39952,39902,39857,39978,40037,41386,40853,41842,43584,42411,43050,43229,43158,43249,43000,43397,43704,43365,43700,44877,44962,45114,45231,45317,45029,45407,46181,46467,45948,46547,47509,46470,46353,45808,46025,46766,48820,48475,47869,46976,46227,46243,46125,43424,45912,47107,45995,45297,44618,45283,45346,45580,46770,46881,47117,47271,48278,48864,48266,47417,48091,49623,49926,49601,50558
"51","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",14671,14017,14135,14071,14341,14781,15239,15778,15635,15604,15959,15503,15744,15905,16019,16310,16792,16506,16404,16762,16785,16723,16877,16709,16969,17045,17376,17882,17705,17639,18034,17718,18009,18131,18222,18940,18875,18799,18553,18853,19047,19075,19575,19632,19574,19506,19475,19688,19286,19709,19547,19625,19675,20118,20343,20152,20785,20761,20196,20552,20367,20600,20861,21047,20807,20555,20579,20480,20631,20510,20103,19963,20305,20194,20249,19768,19909,19693,19778,19628,19437,19700,19630,19980,20238,20010,20165,20444,20004,20311,20481,19256,19008,19238,19050,18851,18614,18867,18886,18471,18359,19188,18894,18905,18921,18898,19091,19867,19821,19764,19285,19233,19444,19215,19284,19672,20113,19735,19960,19872,19729,19950,19926,19868,19840,19937,19928,19723,19590,20159,20116,20444,20664,20524,20777,20941,20676,20452,20502,20766,20878,20591,20651,21169,21242,20972,21337,21254,21420,21499,21459,21425,21340,21578,21934,21728,21632,21272,21425,21863,22820,22617,22407,21699,21520,21621,21613,20497,21050,21803,21832,21743,21292,21684,21729,21701,22302,22353,22413,22921,23337,23456,23362,22914,23047,23445,23557,23646,23972
"52","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",3704,3584,3655,3604,3684,3845,3856,3918,3950,3927,4013,4038,4088,4061,4102,4080,4177,4165,4165,4137,4259,4241,4111,4121,4115,4195,4194,4299,4289,4375,4478,4503,4491,4508,4573,4612,4977,5204,5420,5805,6231,6675,7112,7438,7537,7695,7947,8338,8423,8567,8736,9025,9104,9375,9693,10065,10623,10902,11041,11434,11741,12180,12414,12848,12315,12029,12390,12588,12960,13055,13055,13007,13528,14033,14348,13821,13960,14350,14688,14822,15039,15540,16769,17662,17224,17251,17354,17562,17962,17832,17658,17849,17770,17713,17405,17523,16889,16764,16723,16627,16694,17358,17279,17662,17577,17664,18133,18331,18296,18402,18391,18594,18739,18970,18993,19367,19511,19108,19463,19345,19631,20302,20276,20123,20112,19966,19929,20253,20447,21230,20735,21399,22948,21893,22279,22291,22495,22825,22516,22646,22842,22796,23075,23737,23748,24198,23922,24103,23626,23932,24787,25129,24674,25040,25659,24794,24777,24604,24663,24956,26056,25917,25512,25364,24770,24675,24559,22947,24981,25391,24166,23522,23313,23575,23590,23875,24459,24518,24703,24282,24883,25372,24843,24447,25014,26203,26402,25946,26602
"53","45","        Photographic equipment","DCAMRX0",1669,1631,1656,1649,1677,1678,1673,1654,1696,1677,1706,1716,1696,1722,1742,1751,1760,1767,1809,1795,1775,1803,1798,1824,1850,1854,1854,1831,1847,1863,1905,1915,1882,1860,1879,1891,1926,1943,1937,1964,1963,1977,1988,2000,2021,2059,2093,2136,2129,2124,2127,2122,2150,2176,2159,2204,2224,2238,2296,2420,2223,2221,2266,2284,2283,2320,2364,2381,2428,2462,2559,2650,2450,2463,2512,2395,2451,2423,2500,2436,2387,2486,2387,2547,2594,2622,2559,2609,2561,2588,2558,2615,2778,2627,2657,2759,2738,2778,2812,2853,2930,2932,2981,3027,3070,3077,3076,3161,3138,3170,3303,3331,3392,3444,3464,3492,3569,3600,3674,3696,3710,3819,3908,3937,3948,4053,4067,4137,4095,4258,4197,4278,4390,4523,4432,4555,4558,4631,4724,4869,5142,5126,5298,5512,5646,5788,5917,5914,6079,6223,6303,6323,6497,6621,6837,6865,6972,6932,7013,7112,7298,7220,7260,7134,7046,7001,6976,6802,6803,6518,6670,6600,6564,6556,6343,6672,6838,6655,6767,6586,6884,7040,7020,6896,6910,7033,7165,7502,7743
"54","46","        Information processing equipment","DIPERX0",1585,1643,1699,1699,1822,1945,1931,2106,2217,2303,2438,2547,2543,2725,2878,3076,3196,3338,3433,3514,3713,3790,3927,4203,4340,4599,4898,5095,5313,5568,5762,6013,6297,6447,6670,6850,7107,7536,7691,7792,8112,8371,9065,9523,9875,10179,10644,10771,11286,11610,11943,12228,12613,12879,13090,13675,14141,14316,14491,14935,15484,15789,16347,16914,16648,17011,17446,17820,18435,18494,18630,19117,19046,19369,20010,20152,20706,21280,21630,22523,21960,23126,23976,24596,25362,26167,26787,27046,27471,27882,28192,28670,29398,30245,31067,31529,31248,31972,32068,32804,34256,35683,36672,38175,39232,39298,39910,40754,41163,41600,42508,42507,43409,44237,45059,45483,46341,47598,48575,49411,50033,51589,52410,53220,53935,55518,56245,58070,58183,60248,60415,61451,64679,64033,65839,66251,67631,68667,68643,70286,71336,71915,74574,76321,76559,77284,78205,78949,80187,81729,84241,85115,85754,87169,90861,90199,88638,87336,88931,91899,92931,93875,94850,94073,94403,94120,93276,93351,95361,96591,95744,96961,97229,98433,100727,103896,105734,106073,107885,109171,111642,112780,114456,114719,117614,120084,121449,122750,123805
"55","47","          Personal computers and peripheral equipment","DCPPRX0",756,786,814,813,874,937,927,1015,1070,1115,1181,1237,1236,1325,1405,1505,1566,1637,1683,1726,1829,1866,1931,2070,2145,2275,2421,2524,2637,2764,2870,2999,3134,3215,3334,3423,3544,3799,3903,3965,4143,4304,4746,5024,5237,5379,5624,5723,6029,6225,6471,6624,6840,7000,7223,7604,7895,8069,8158,8391,8702,8934,9262,9678,9491,9722,10020,10282,10685,10645,10760,11065,11103,11408,11894,12038,12481,12871,13155,13883,13678,14378,15110,15563,15937,16597,17129,17305,17439,17805,17942,18320,18879,19555,20209,20627,20555,21144,21205,21777,22917,24023,24741,25835,26738,26686,27030,27694,27913,28226,28874,28870,29522,30145,30815,31192,31707,32822,33791,34514,34871,36184,36705,37201,37778,39046,39719,41372,41449,43006,43396,44442,46813,46204,47482,47849,49084,49885,49943,51008,51918,52411,54457,55782,56142,56794,57376,57865,59074,60425,62238,62571,63411,64889,68494,67716,66724,65975,67334,70148,71216,72041,73055,72820,73472,73855,73238,73493,75547,76959,76682,78107,78436,79620,82117,85315,86713,87516,89369,90277,92532,93728,94813,94695,97283,98874,99340,100518,101370
"56","48","          Computer software and accessories","DCPSRX0",1034,1069,1106,1110,1191,1265,1269,1380,1457,1510,1608,1672,1677,1804,1894,2024,2100,2203,2274,2322,2444,2504,2619,2811,2883,3056,3287,3414,3553,3738,3837,4003,4240,4317,4447,4582,4779,4883,4844,4867,5000,5042,5166,5313,5405,5626,5911,5873,6069,6171,6154,6310,6473,6563,6396,6510,6656,6554,6651,6905,7158,7167,7393,7442,7387,7500,7595,7639,7808,7968,7983,8140,7955,7871,7943,7915,7939,8087,8085,8106,7707,8205,8208,8292,8775,8874,8912,8957,9310,9317,9504,9573,9698,9824,9926,9944,9729,9829,9848,9990,10253,10518,10753,11149,11252,11384,11634,11779,11952,12076,12319,12316,12517,12689,12825,12835,13181,13294,13309,13365,13620,13834,14108,14398,14491,14793,14853,15027,15060,15505,15316,15318,16124,16080,16577,16630,16748,16975,16906,17424,17536,17654,18233,18649,18566,18637,18933,19188,19259,19429,20092,20600,20454,20447,20649,20701,20175,19719,20004,20231,20281,20420,20425,20021,19796,19343,19103,18992,19018,19007,18581,18524,18506,18578,18603,18805,19284,19053,19165,19466,19770,19788,20266,20551,20993,21776,22513,22662,22811
"57","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",382,376,372,377,380,379,381,379,379,372,373,372,354,360,358,360,365,362,365,356,356,358,360,358,351,356,360,355,349,352,353,351,355,354,353,354,372,393,421,426,449,466,489,497,524,547,554,564,575,590,601,615,644,660,648,692,712,717,736,753,780,784,815,838,839,852,862,895,917,938,910,931,917,917,927,912,929,948,972,1016,963,975,1002,1067,1048,1048,1056,1096,1098,1103,1120,1130,1149,1161,1196,1191,1164,1174,1188,1193,1211,1241,1270,1276,1300,1300,1332,1354,1383,1383,1398,1403,1448,1476,1479,1505,1512,1514,1486,1534,1549,1568,1595,1622,1663,1672,1664,1664,1667,1732,1711,1721,1779,1777,1809,1805,1856,1869,1865,1915,1959,1934,1983,1993,1977,1996,2027,2018,2017,2075,2108,2095,2093,2107,2154,2164,2149,2089,2075,2135,2114,2122,2145,2083,2086,2023,2042,2025,2116,2083,2044,2050,2047,2086,2106,2149,2106,2055,2069,2127,2173,2216,2267,2253,2249,2255,2242,2279,2355
"58","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",21177,20947,21925,21997,21874,21977,22417,22402,23061,22451,22489,22584,22535,22483,22808,23296,23637,23764,23818,23902,23713,24024,23722,23767,23606,23867,23928,23826,24132,24710,24787,24635,24727,24882,25224,25370,25042,25602,25707,26765,27053,27229,27232,27389,28107,28408,28294,28572,28914,29595,30041,30052,30486,31353,31387,31842,32505,32956,33211,34461,34093,35447,35721,35084,35561,36010,36520,36389,37103,36541,37071,37660,38486,37593,37042,38886,39085,38359,39029,39232,38313,39786,41197,40220,40711,41559,41278,41716,41054,41569,41129,41551,42417,42499,42632,42619,42512,42780,43043,43541,43707,44380,44294,45574,45558,45253,46322,45695,46954,46615,46841,46839,48344,47459,48983,48918,49141,49354,49409,50539,50497,51549,51271,52705,51647,51912,51610,52138,51340,53141,53851,55081,56304,56524,57493,57158,55613,55917,56022,56841,60081,59372,59533,59818,60011,58759,60601,59347,61583,61467,62259,62557,63551,64242,64519,63745,62995,62633,62239,62236,63818,63281,62707,61877,59877,57966,58321,57676,58566,58541,57367,57782,57968,58411,59487,59676,60495,60098,63289,64174,63754,64089,64906,65174,63892,64501,64914,66204,67318
"59","51","      Sports and recreational vehicles (79)","DWHLRX0",23387,22482,23839,23124,23827,24532,23872,24877,26006,25365,21986,25022,25133,24129,23379,24212,24813,25545,24947,27177,25794,25993,27294,27649,26998,27352,27751,27590,26638,27038,27418,28731,28253,27658,29015,28804,29038,29573,29570,29714,30886,29698,31432,30220,31167,32543,30480,31754,29932,33602,31942,32869,33793,32652,32586,34379,33165,34249,33338,34848,39998,36455,37333,34712,34717,35348,33509,34942,36022,34641,35358,34930,36354,34035,33483,36701,35232,35344,36800,35569,33583,35591,37731,37102,37988,39369,36305,37613,36151,36324,36197,37161,37294,34905,36771,37711,38374,36456,38434,40214,40499,40078,42245,43706,43507,45281,44032,44554,43233,45720,46336,44877,45650,43964,46257,46286,44885,46845,45910,48894,45397,48288,49128,50515,48077,48618,48508,47774,46499,45621,48211,46253,51477,49000,47507,49212,48021,46864,47233,45578,48033,49375,49396,50536,50860,47601,50043,49268,50650,49503,49023,50072,50230,49823,47090,49245,46952,47317,46702,44746,46280,45392,44608,43779,41366,39231,38735,37896,41372,38477,38321,37416,38165,38852,40077,41480,41325,40886,43632,41740,39624,40033,41666,43221,41544,41847,42443,41756,42195
"60","52","        Motorcycles","DMCYRX0",4284,4479,4598,4241,4150,4379,4261,4345,4607,4467,4219,4597,4577,4354,4403,4547,4870,4934,4748,5082,4628,4694,4730,4743,4653,4802,4869,4984,4720,4718,4973,4988,5105,5111,5341,5352,5590,5615,5559,5465,5785,5651,6024,6073,6371,6276,6270,6332,6189,6334,6321,6525,6611,6421,6558,6374,6540,7353,7690,7567,8123,8397,8057,7839,7643,7970,7561,8102,8261,8347,8251,8265,9866,8512,8060,10303,9895,9316,9745,9343,8780,9128,9834,9697,9851,11313,9776,9692,9259,9189,9361,9686,9498,9231,9283,10326,10168,10237,10390,10479,10469,11559,11622,12205,12876,12825,13758,13114,12507,12995,13713,13698,14526,13335,14304,13651,13044,13336,12736,14312,12712,15181,14740,16794,13744,13701,13644,13679,13622,13786,14756,14382,15869,14138,14761,15883,15095,14530,15169,14589,14633,14880,14860,16243,15767,14978,15683,15258,16151,15160,14908,15689,16387,16847,16137,16696,16390,16528,15958,15690,16723,16606,16473,15054,13687,13358,12451,12279,12909,13668,12204,11305,11624,12173,12255,13010,13013,12557,13619,12269,12350,12397,12890,13526,12186,11945,12518,12449,12654
"61","53","        Bicycles and accessories","DBCYRX0",3032,3000,3061,3070,3075,3064,3136,3113,3215,3135,3111,3125,3100,3077,3121,3166,3207,3228,3244,3202,3176,3238,3266,3210,3206,3202,3205,3184,3213,3303,3283,3284,3304,3308,3380,3389,3271,3335,3299,3343,3302,3298,3220,3180,3171,3193,3122,3102,3138,3168,3147,3150,3176,3203,3140,3160,3188,3170,3129,3206,3116,3158,3145,3109,3162,3116,3161,3115,3145,3054,3072,3055,3087,3057,3003,3081,3055,3003,3031,3031,2982,3028,3096,2995,3009,3023,3007,3000,2923,2977,2922,2956,2996,3023,3017,2996,3002,3038,3025,3036,3051,3094,3136,3210,3205,3246,3281,3259,3293,3214,3201,3168,3221,3171,3301,3360,3346,3385,3375,3347,3371,3435,3401,3439,3432,3388,3351,3379,3377,3451,3438,3505,3567,3615,3612,3630,3544,3554,3478,3503,3688,3616,3586,3655,3639,3627,3760,3677,3825,3814,3868,3819,3816,3831,3837,3817,3802,3796,3833,3880,3908,3999,3940,3912,3825,3723,3767,3757,3879,3880,3774,3785,3743,3744,3803,3822,3854,3841,3898,3981,3909,3933,4023,3952,3969,3949,3938,3969,3954
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",16045,15016,16179,15789,16560,17054,16440,17377,18144,17722,14641,17272,17425,16666,15833,16477,16721,17364,16934,18868,17960,18032,19267,19664,19108,19317,19646,19392,18676,18987,19132,20427,19815,19209,20262,20032,20147,20590,20680,20875,21766,20718,22156,20936,21594,23039,21061,22288,20581,24058,22443,23162,23971,22994,22859,24798,23403,23704,22507,24055,28729,24885,26105,23749,23894,24246,22772,23712,24602,23231,24023,23600,23412,22463,22412,23333,22300,23031,24032,23202,21826,23436,24805,24415,25132,25048,23530,24925,23973,24161,23918,24524,24804,22657,24473,24397,25212,23190,25029,26710,26992,25432,27498,28301,27427,29224,26971,28176,27433,29511,29421,28011,27904,27453,28646,29276,28497,30130,29807,31239,29314,29669,30984,30258,30906,31534,31516,30715,29499,28387,30024,28378,32049,31235,29148,29733,29402,28792,28621,27515,29707,30863,30932,30678,31457,29019,30620,30338,30708,30524,30236,30576,30081,29242,27226,28831,26888,27122,27013,25301,25813,24961,24374,24917,23919,22235,22552,21903,24607,21043,22375,22317,22797,22957,24024,24670,24482,24497,26132,25479,23379,23716,24766,25768,25365,25908,25966,25325,25578
"63","55","          Pleasure boats","DBOARX0",6274,6031,6301,6040,6246,6373,6302,6946,7620,7571,6134,7417,7315,7074,6608,6890,6928,7397,6994,7655,7573,7946,8506,8746,8491,8528,8904,8696,8319,8423,8687,9189,8859,8460,8928,8595,8987,8933,9005,9518,9557,9111,9776,8655,8843,9967,8570,9421,9254,10570,9487,10109,10737,10059,10075,12349,10316,9774,8594,9962,13410,10158,11676,10238,10840,10781,9641,10936,11502,10218,11662,11052,10590,10630,10074,10312,9711,10739,11442,10126,9979,11725,11493,11725,12473,11637,10950,11619,11179,11022,10733,10843,10785,9865,10513,10628,9941,9852,11336,12713,11689,10914,11876,12912,12688,13566,12486,12649,11721,13791,13588,13151,13103,12533,13313,12680,12117,12686,12649,13596,12834,13174,14097,14733,13996,14571,13860,14192,13023,12951,13353,12735,15421,14261,13373,13213,13701,13293,14102,13407,15435,15229,14905,14946,15478,13621,14224,13724,14267,14893,13987,14800,13501,13626,13564,13419,12808,13284,13083,13082,13119,12794,12800,13074,12464,12367,12472,12349,13917,10742,12394,12190,12198,11822,12451,12539,13551,12613,14613,13878,12533,13008,12082,13081,12835,13499,13632,13125,13249
