"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"81","74","  Retirement \1\","W642RC1",0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.2,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.2,1.2,1.2,1.3,1.1,1.2,1.5,1,1.5,1.4,1.8,1.9,1.9,2,2.2,2.5,2.5,2.9
"82","75","  Welfare and social services","W643RC1",0.3,0.3,0.3,0.4,0.4,1,1.1,1.4,1.8,1.9,2,2.5,2.3,2.1,1.9,2.1,2,2,2.1,2.1,2.4,2.8,2.9,3.3,3.4,3.3,3.5,3.4,3.7,4,4.5,4.4,4.2,6,6.6,6.8,8.1,8.2,7.5,8,8.5
"83","76","  Unemployment","W644RC1",0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.1
"84","77","  Other","W645RC1",0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.3,2,2.2,2.2,2.3,2.4,2.3,2.6,2.9,3.6,3.8,6.8,13.8,6.6,5.5,5.1
"85","78","      State and local","A829RC1",108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.7,290.2,322.4,347.3,369.7,390.5,422.6,466.1,510.9,539.9,577.3,619.2,674.2,709.5,740.6,769.8,811.2,855.3,894,943.5,995,1076.3,1154.9,1234.7,1302.7,1356.1,1408.2,1493.6,1586.7,1697.9,1798.5,1775.3
"86","79","General public service","W646RC1",9.8,10.5,11.6,13.3,15.4,18.5,22.6,24.2,26.7,28.9,31.2,34.6,37,39.8,44.1,47.4,55.5,67.1,67.2,70.1,73.6,79,82.3,88.9,92.6,96.3,99.1,102.2,107.8,117.8,128,136.1,142.6,155.1,158.4,163.4,172.9,181.6,188.7,198.9,197.7
"87","80","  Executive and legislative","W647RC1",1.4,1.6,1.8,2,2.4,2.7,3.2,3.5,3.9,3.7,4.1,4.7,5.2,5.9,6.1,6.3,7,7.6,8.2,8.9,9.6,10.8,11.5,11.8,12.1,12.9,13.6,14.3,15.2,16.4,17.9,19,20.4,22.1,24.2,26,28,30.4,33.5,35.5,35.3
"88","81","  Tax collection and financial management","W648RC1",3.1,3.4,3.4,3.7,3.8,4.4,5.5,5.5,6.3,6.8,7.1,7.3,7.6,9,11,11.5,16.7,24.7,20.6,21.8,20.8,21.2,21.9,24.4,26,26.1,26.5,25.9,26.8,29,31.6,31.6,30.9,34,35.8,36.4,37.6,36.3,37.1,41.3,46.9
"89","82","  Other \3\","W649RC1",5.3,5.5,6.4,7.6,9.3,11.3,13.9,15.1,16.5,18.4,20,22.6,24.2,25,27.1,29.6,31.8,34.9,38.4,39.4,43.1,46.9,48.9,52.8,54.5,57.2,59,61.9,65.8,72.4,78.5,85.5,91.3,98.9,98.4,101,107.3,114.9,118.2,122.1,115.5
"90","83","Public order and safety","W650RC1",9.5,10.8,12.4,13.8,15.4,17.6,20.1,22.1,24.2,27.9,31,34.7,39,43.7,47.4,51.4,57.1,62.6,67.5,73.9,81.8,90.7,97.6,103.7,110,118.5,127.1,134.6,142.2,150.9,163.3,174.2,187.2,197.5,203.8,212.3,225.9,239.1,258.8,276.3,273.6
"91","84","  Police","W651RC1",4.6,5.2,6,6.6,7.4,8.4,9.6,10.4,11.4,12.8,14,15.4,17.2,19,20.3,21.7,23.9,25.7,27.1,29.1,31.5,34.3,37,39.4,41.2,44.1,47.7,50.9,53.5,56.4,60.7,63.8,68.8,73.3,76.6,79.8,85.2,89.9,97.4,104,100.3
"92","85","  Fire","W652RC1",2.1,2.4,2.7,2.9,3.2,3.6,4.1,4.5,4.8,5.5,6,6.6,7.4,8.2,8.8,9.4,10.3,11.3,12.1,12.6,13.8,14.8,15.6,16.9,17.3,18.3,19,20.1,21,22,23.7,25.5,26.9,29,30.5,32.4,35.5,38,41.7,44,42.3
"93","86","  Law courts","W653RC1",1.3,1.4,1.6,1.8,2.1,2.4,2.7,2.9,3.1,4.2,4.8,5.6,6.2,7,7.4,7.9,8.5,9.2,9.8,11.2,12.7,14.2,15.3,16.2,18.4,19.8,21.1,22.4,23.9,25.7,28,30.2,32.9,34.7,35.5,36.8,38.7,40.6,43.3,46.2,47.1
"94","87","  Prisons","W654RC1",1.5,1.8,2.1,2.4,2.7,3.2,3.8,4.3,4.9,5.4,6.1,7.1,8.1,9.5,10.9,12.4,14.5,16.4,18.6,20.9,24,27.5,29.8,31.3,33.1,36.4,39.2,41.3,43.9,46.7,50.8,54.8,58.6,60.5,61.2,63.2,66.4,70.6,76.4,82.2,83.9
"95","88","Economic affairs","W655RC1",25.3,27.4,29.2,30.5,32.5,38.4,42.2,43.1,44.8,50.5,57.4,64.2,69.5,72.4,75.4,81.1,88.7,94.4,98.2,102.9,106.5,115.6,119.7,123.5,129.3,136.1,140.5,145.2,154,160.3,174.9,190,205.3,214.4,221,227.5,240.1,256.2,277.9,297.6,303.2
"96","89","  Transportation","W660RC1",20.3,22,23.4,24.3,25.7,30.4,33.4,33.3,34.1,37.8,43.4,48.6,52,54.3,56.9,62.1,67.2,72.1,75.8,79.7,82.2,89.7,92.8,95.2,100.2,106.2,109.5,113.8,121.3,126.9,138.3,150,161.9,168.3,172.9,178.4,188.6,201,215.9,232.3,236.7
"97","90","    Highways","W661RC1",18.8,20.5,22.2,22.6,23.9,28.2,31,30.8,31.7,35,40,44.2,47.2,49.1,51.2,56.1,61,65.3,68.6,72.2,73.7,79.9,82.5,84.4,88.2,94,97.5,101.3,107.9,112.9,122.3,130.6,141,144.2,146.8,153,164.6,180.3,193.8,208.9,210.4
"98","91","    Air","W662RC1",0.6,0.6,0.5,0.6,0.6,0.8,0.7,0.6,0.6,0.8,1.1,1.4,1.3,1.3,1.5,1.7,1.8,2.2,2.5,2.6,2.9,3.4,3.9,4.5,4.8,4.1,3.3,3.8,4.5,5.1,5.9,7.1,7.8,8.3,8.5,8.9,8.6,7.3,8.3,8.5,9.1
"99","92","    Water","W663RC1",0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.7,1,1,1,1.2,1.2,1.2,1.4,2.8,2.9,2.5,2.5,1.6,1.6,1.5,1.8,1.6,1.5
"100","93","    Transit and railroad","W664RC1",0.7,0.6,0.5,0.9,1,1.2,1.3,1.6,1.5,1.5,1.7,2.3,2.8,3.3,3.6,3.8,3.7,3.9,4,4.1,4.8,5.5,5.6,5.5,6.2,7.2,7.6,7.5,7.7,7.7,8.7,9.4,10.1,13.3,15.1,14.9,13.8,11.8,11.9,13.2,15.7
"101","94","  Other economic affairs","W665RC1",5,5.4,5.8,6.3,6.8,8,8.7,9.8,10.6,12.6,14.1,15.6,17.5,18.1,18.5,18.9,21.4,22.3,22.4,23.2,24.3,25.9,26.9,28.4,29.1,29.8,31,31.3,32.7,33.4,36.7,39.9,43.4,46.1,48.1,49.1,51.5,55.2,62.1,65.3,66.5
"102","95","    General economic and labor affairs","W656RC1",1.6,1.8,2.1,2.4,2.6,2.9,3.2,3.5,3.9,4.4,4.9,5.4,5.8,6.1,6,6.2,6.6,7.2,8,8.3,9.1,9.9,10.4,11.3,11.7,12,12.2,12.5,13,13.6,14.6,15.3,17.5,19,18.4,18.8,19.8,20.5,20.8,22.1,23.5
"103","96","    Agriculture","W657RC1",0.8,0.9,0.9,1,1.1,1.2,1.4,1.4,1.5,1.5,1.7,1.9,2.1,2.3,2.5,2.6,2.9,3,3.2,3.3,3.5,3.8,3.9,4,4.1,4.1,4.2,4.4,4.6,4.8,5.5,6.1,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.6,6.9
"104","97","    Energy","W658RC1",1,1.1,1.2,1.3,1.4,1.8,1.7,2.2,2.7,4,4.3,4.6,5.7,5.4,5.3,4.9,6.2,5.8,4.7,4.6,4.1,4.2,4.2,4.5,4.6,4.1,4,3.5,3.8,3.3,4.1,4.8,5,5.5,7.9,7.1,7.9,9.5,13.7,14.2,13.9
"105","98","    Natural resources","W659RC1",1.5,1.5,1.5,1.5,1.7,2,2.3,2.4,2.4,2.6,3,3.5,3.8,4.2,4.6,5,5.5,5.9,6.3,6.7,7.2,7.7,8,8.3,8.6,9.5,10.3,10.6,11,11.3,12.1,13.4,14.2,14.9,15.2,16.5,17.1,18.5,20.7,21.7,21.3
"106","99","    Other","W686RC1",0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8
"107","100","Housing and community services","W666RC1",4.9,5.1,5.5,5.6,6.3,7.7,8.9,9.4,9.3,11.3,12.7,15.1,14.9,14.7,14,15.7,17.1,19.1,21.3,22.4,23.3,25.6,26.7,26.9,25.6,25.3,26.6,28.8,30.1,30,32.1,32.6,36.4,40,42.1,44.2,46.9,55.1,56,57.5,53.9
"108","101","  Water","W667RC1",1.4,1.2,1.1,1.2,1.2,1.6,2.1,2.1,1.9,2.5,2.8,3.6,3.4,3.6,3.2,3.8,4.5,5.4,6.1,6,6.3,7.1,7.4,6.8,6.3,6.7,6.9,7.8,8.6,9,10,10.1,11.4,12.5,13,13.9,14.7,18.8,18.7,19.4,18.5
"109","102","  Sewerage","W668RC1",1.4,1.6,1.9,2.1,2.5,3.5,3.7,4.2,4.1,5.1,5.6,6.6,5.8,5.5,5,5.8,5.9,6.6,7.8,8.1,7.9,8.5,8.8,9.3,8.5,7.7,8.2,9,9.1,8.7,9.2,8.9,10.2,11.8,12.5,13.5,14.6,19.5,19.9,21.2,20.3
"110","103","  Sanitation","W669RC1",1,1.1,1.3,1.3,1.5,1.7,1.8,1.9,2,2.4,2.5,2.9,3.2,3.2,3.2,3.4,3.7,4.1,4.3,5.1,5.8,6.3,6.6,6.6,6.7,7.2,7,7.3,7.5,7.3,7.8,8.5,9.1,9.3,9.6,9.9,10.7,11.2,10.7,11.2,8.9
"111","104","  Housing and other","W670RC1",1.1,1.2,1.3,1,1,1,1.2,1.1,1.3,1.3,1.7,2.1,2.5,2.4,2.7,2.6,2.9,3,3.1,3.2,3.3,3.7,3.9,4.3,4.1,3.7,4.4,4.7,5,5,5.1,5,5.7,6.4,7,6.9,6.9,5.6,6.6,5.8,6.3
"112","105","Health","W671RC1",6.5,7.5,8.6,8.9,9.7,11.4,12.7,13.1,14.4,15.3,16.3,18.6,19.6,20.3,19.7,20.9,22.7,23.6,25.4,27.7,29.7,32.6,33.1,32.3,31.1,31.2,30.6,30.5,29.3,29.9,35.1,36.3,35.8,41.8,44.4,47.2,58.1,58.8,68.7,73.1,61
"113","106","Recreation and culture","W672RC1",1.8,2,2.2,2.3,2.6,3.2,3.9,4,4.2,4.8,5.3,5.8,6.2,6.7,7.1,7.7,8.6,9.4,9.9,10.6,11.7,13.1,13.7,14,14.2,15.1,16.3,17.4,18.5,19.5,20.9,23.3,25.5,27.2,27,27.9,30,31.2,34.2,35.8,33.8
"114","107","Education","W673RC1",47.9,53.9,59.7,65.2,72.2,80.7,91.7,99.8,106.6,114.6,126.1,138.2,148.8,159,167.8,182.3,198.8,215.8,230.3,247.8,268.4,290.6,306.8,319.1,332.9,351.5,375.8,394.8,418.2,439.8,471.2,507.4,541.4,560.8,592.9,619.6,652.3,695.3,741.7,783.8,778.4
"115","108","  Elementary and secondary","W674RC1",36.9,41.1,45.5,49.4,54.3,60.5,69.2,75.1,80.4,86.6,95.4,104.1,111.2,118.7,126.2,137.6,149.6,163.1,175.3,188.4,204.2,222,235.7,246.6,255.7,269.1,289.4,305.9,325.1,342.1,367.4,394.5,417.9,437.7,467,486.9,512.7,547.5,582.3,610.5,611.6
"116","109","  Higher","W675RC1",8.9,10.3,11.4,12.6,14.5,16.3,17.9,19.8,21.1,22.7,24.9,27.8,31,33.3,34.5,37,40.9,43.9,45.5,49.1,53,56.6,59,59.9,64.1,68.5,71.5,73.3,76.8,80.7,85.6,93,102,100.9,102.7,108.8,114.4,121.3,132.1,144.3,138.6
"117","110","  Libraries and other","W677RC1",2.1,2.5,2.8,3.1,3.3,3.9,4.6,4.9,5,5.4,5.8,6.3,6.6,6.9,7,7.6,8.3,8.8,9.5,10.3,11.2,12,12.2,12.5,13.1,13.9,14.8,15.6,16.3,17,18.2,19.9,21.4,22.2,23.2,23.9,25.2,26.5,27.3,28.9,28.1
"118","111","    Libraries","W676RC1",0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.6,2.9,3.2,3.4,3.7,4,4.4,4.7,4.8,4.9,5.2,5.5,5.9,6.3,6.5,6.9,7.3,7.9,8.5,8.9,9.4,10.1,10.6,11.3,12.1,12.1
"119","112","    Other","W683RC1",1.4,1.8,2,2.3,2.4,2.8,3.4,3.6,3.7,3.9,4.1,4.4,4.6,4.7,4.7,5,5.4,5.6,6.1,6.6,7.2,7.6,7.5,7.7,8.2,8.7,9.3,9.7,9.9,10.5,11.3,12.6,13.5,13.8,14.3,14.5,15.1,15.9,16,16.8,16
"120","113","Income security","W678RC1",2.5,3,3.6,4.3,5.1,5.9,6.7,7.6,8.5,9.3,10.2,11.2,12.3,13.1,15,16.2,17.7,18.9,20,21.8,24.1,27,29.6,32,34.1,37.4,39.4,40.5,43.3,46.8,50.8,54.9,60.6,65.9,66.6,66.1,67.5,69.5,71.8,75.5,73.7
"121","114","  Disability","W679RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.7,2,2.3,2.4,2.6,2.8,2.8,2.7,3,4.1,4.8,4.7,4.8,5,4.7,4.5,4.6
"122","115","  Welfare and social services","W680RC1",2.4,2.9,3.5,4.2,4.9,5.7,6.5,7.4,8.3,9.1,10,10.9,11.9,12.6,14.5,15.7,17.1,18.3,19.4,21,23.2,25.9,28.2,30.4,32.4,35.4,37,38.2,40.7,44,48,52.2,57.6,61.8,61.8,61.4,62.7,64.5,67.1,71,69.1
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","1. Consists of consumption expenditures to administer social insurance funds, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","old age and survivors insurance (social security) and railroad retirement. Excludes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2. Consists of consumption expenditures to administer federal revenue sharing grants to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","3. Consists primarily of unallocable state and local government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
