"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"39","31","        Information processing equipment and software","A679RL1",NA,-20.1,18.4,-8,24.5,-15.1,-8.1,42.3,-19.2,-33.2,-19.6,-6.2,13.7,74.7,8.5,33,-26.8,26.6,28,4.9,23.1,53.1,-43.1,48.9,27.8,4,21.1,-33.8,-8,-21.3,9.3,2.2,-12.5,50.4,79.9,27,-22.7,62.1,-17.5,10.2,8.3,41.4,37.6,-33.4,-24,-23,10.5,15.7,6.5,6.4,9.6,49.2,25.2,31.4,-7,31.2,-20,46.2,6.8,12.4,31.5,-7.6,-7.8,16.2,32.9,32.7,24.1,7.5,22.3,6.2,0.7,31.3,7.8,30.1,25,32.9,38.2,35.5,25.7,21.5,-9.6,4,-7.2,26.9,8.2,-4.1,11.7,-1.6,35.2,40
"40","32","          Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,144.1,0,0,107.4,0,0,85.3
"41","33","          Software \4\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.8,8.4,17,44.4,22.8,37.7,59.1,120.9,108.9,153.4,107.4,52.4,9.2,0,-8.4,-8.6,50.7,47.8,65.9,63.7,53.1,52.2,46.3,45.7,7,3.9,-6.5,10,15.9,19.4,18.5,20.5,31.7,51.3
"42","34","          Other","A937RL1",NA,-21.7,18.6,-7.1,26.1,-16.9,-8.4,42.8,-19.4,-31.9,-19.9,-7.6,16.4,72.5,7.5,33.3,-25.5,24.9,27.4,5.5,23.2,52.2,-42.5,49.1,27.3,4.8,19,-33.9,-7.9,-20.3,8.3,2.7,-12.6,51,79.1,26.5,-22,62.2,-17.8,9.8,8,42.8,37.3,-33.7,-23.3,-23.7,10,15.4,7.7,7.2,7.6,40.8,10.4,26.2,-14.6,24.6,-20.6,48.7,-0.7,11.9,29.3,-9.7,-17.5,-1.3,12.9,15,11.2,-0.3,16.8,6.4,-1.2,33.5,0.3,20.8,20.1,12.1,28.5,18.6,8.7,5.1,-12.5,1.9,-6.8,23.7,6.8,-13.1,5.3,-4.7,33.4,28.9
"43","35","        Industrial equipment","A680RL1",NA,-25.2,3,-33.2,39,-22.7,-25.4,28.2,-30.8,-47.1,-24.6,-18.2,36.8,101.3,8.9,75.9,-44.1,40.4,48,-11,4.7,32.7,-47.6,11.8,41.9,19.5,14.6,3.6,-7.9,-0.8,29.6,-20.6,-28.8,24.9,24.1,33.9,-14.2,7.6,34.1,-10.8,1,-1.5,3,-14.8,-31.4,-21.9,-17.3,15.1,12.1,-8.6,1.3,27.2,8.6,33,-22.3,-13.2,-23.2,16.7,3.2,34.1,1.3,4.3,-15.1,-12.6,24.3,21.1,19.8,11.8,7.7,1.1,22.8,38.1,5.4,18.5,25.4,8.1,14.1,27.1,5.4,3.9,3.8,-7.8,-17.6,9.2,6.4,-10.3,-5.6,8.5,15.2,8.5
"44","36","        Transportation equipment","A681RL1",NA,9.5,-19.5,69.3,17.3,-27.2,-4.5,-17.6,10.9,16,0,5.8,-17.5,22.7,140.9,-31.8,-1.5,-21.7,-13.5,-26.9,-1.3,-29.5,-51.6,149.2,40,14.5,9.9,-1.6,-32.8,-31.8,10.5,14.5,68.7,51.5,27.6,-18.5,-30.4,-9,-22.4,29.6,14,-0.8,29.7,-12.1,-61.6,-41.2,-16,74.9,79.5,50.5,37.9,-39.1,62.7,-17,-0.2,-37.5,-14.7,18.1,18.8,60.6,15.2,18.8,19.6,1.5,-23,-18.5,15.4,32,11.4,16.2,32.1,-31.5,148.8,-2.5,17,17.2,30.7,-0.9,-13.4,0.8,-25.5,18.1,18.2,7.4,67.4,-15.6,25.3,26,9.3,-8.2
"45","37","        Other equipment","A862RL1",NA,0.9,-30.9,96.5,71.8,-24.4,17.3,30.2,-42.2,-15.6,-35.1,-4.5,20.2,53.4,22.9,-30,7.8,-7.9,-2.2,37.1,-3.7,7.2,-44.3,55.6,15.2,-32.2,16.9,-26.7,-25,23.3,25.7,11.3,0.9,42.2,12.9,26.6,-6.2,-17,13.8,-19.1,8.6,-21.1,3.5,-3.6,-10.3,20.1,20,1.7,4.9,7.6,5.4,3.9,-19.4,-3.3,-28.6,-3.6,13.5,11.5,-5.9,-4.3,4.3,26.5,10.1,11,19.9,15.8,19,16.4,3.2,10.5,-0.3,31.2,8.2,-7,29.5,17.1,19,7.1,1.2,4.6,-28.1,9.4,-10.7,14.7,-12.4,-0.3,12.6,23.9,10.3,-7.9
"46","38","    Residential","A011RL1",NA,-18.5,76.9,102.7,-4.7,25.5,-12.2,-26.5,-26.8,-6.8,38.9,59,53.7,44.8,23.9,-17.6,-19.6,-43.9,-23.2,3.8,10.9,7.6,-4,23.3,6.4,1.1,-14.3,-3.4,4.3,28.7,26.7,27.7,33.2,6,-8.3,-15.9,-10.2,-2.4,-7.6,-6.1,-5.6,-9.3,-5.3,-0.6,-14.9,1,32.5,49.9,53.9,15,-7.3,-11.2,12,-29.1,-11.6,-0.5,1.6,1.4,23.4,14.1,7.4,13.1,-0.3,-0.5,15.2,32,7.6,12.7,26.9,-18.7,-6.4,-7.1,1.4,3.2,1.6,-8.4,9.4,-28.4,-12.4,-35.8,-11.5,53.8,21.6,25.4,2.5,10.5,7.4,5.1,15.2,-4.2
"47","39","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Exports","A020RL1",NA,-4.9,-18.8,-38.2,-17,-32.5,9.8,-13.4,57.2,-3.4,-29.4,-43.9,-6.4,5,10.7,36.5,21.6,45.5,10.2,-3.7,23,-37.3,-28,2.7,-6.6,2.5,17,-12.5,-16.8,71.1,-12.3,19.8,15.6,-9,29,1.8,20.4,29.7,14,19.2,28.7,-11.3,-10.8,-11.5,-34.2,1.9,1.3,-1.3,29.2,14,13.3,-10.3,60.3,27.9,-9.7,8.6,-2.7,-5.4,-2.2,12.9,-1,44.3,-20.6,-8.4,9.7,55.7,-19.7,21.6,26.9,6.8,-3.1,12.5,-36.7,99,-21,32.3,-6.9,18.8,-14.2,13.8,8,-3.6,-9.4,11.9,12.1,8.2,25.6,-5,-40,124.5
"52","44","    Goods","A253RL1",NA,-10.7,-20.3,-41,-15.6,-34.5,10.7,-15,64,-5.6,-28.3,-44.5,-12,4.6,14,37.5,17.3,46.2,9.7,-7,24.2,-40.5,-26,6.3,-13.6,7.3,21.3,-13.7,-20.9,93.3,-18.9,23.9,16.6,-12,28.7,1.2,23.4,30.9,15.9,19.3,30.9,-12.4,-13.1,-23.7,-27.2,-4.1,2.7,-4.6,-20.2,11.9,45.8,-17.3,80.8,20.9,7.2,0.7,2.7,-24.7,22.5,7.4,-4.8,28.7,0.7,-19.3,1.4,48.4,7.2,20.3,19.3,-0.4,11.4,8.4,-47.1,98.9,-12.1,38,-4.3,-6.6,1.4,8.9,-1.5,-0.8,-5.9,7,14.1,5.9,30.7,-9.5,-43.9,157.2
"53","45","    Services","A646RL1",NA,38.4,-8.5,-17.1,-25.5,-18.7,4,-3.5,23.4,10.2,-35.3,-40.4,26.5,6,-2.9,31.6,44.8,42.1,12.5,14.5,17,-19.9,-36.4,-11.7,30.1,-15.2,0.4,-7.3,2.8,-0.5,26.2,2.8,11.8,5.4,30.3,4.7,7.8,25.1,5.5,18.9,19.5,-6.2,0.8,61.7,-55.6,29.9,-4,13,461.9,17.9,-42.1,13,14,51.2,-47.3,39.1,-18.5,88.3,-50.4,33.5,11.8,98.7,-60.7,36.1,36.7,76.9,-66.3,26.4,55.3,32.5,-37.7,27.4,9.4,99.3,-42.4,15.8,-14.8,142.7,-47,30.6,41.1,-11.2,-18.7,27.1,6.7,14.9,12.6,8.7,-28.6,55.4
"54","46","  Imports","A021RL1",NA,8,-38.2,23.5,61.7,16.8,22.6,-6.3,-11.4,-5.7,-15.4,6.1,11.7,24,131.8,0.8,0,-12.6,-29.9,-10.1,55.1,-2,26.9,40.9,-9.5,22.5,-1.5,-18.3,-21.2,41.2,-22,3.9,25.8,24.6,6.9,15.3,17.9,-2,3.5,-17.1,35.8,3.1,-7.4,1.3,6.1,18.2,-5.9,22.6,10.8,20.7,3.9,-9.8,16,3.1,-11.3,-17.6,-2,5,29.2,9.8,12.8,9,5.2,5,-9,9.8,10.6,-1.3,-0.4,9.3,11.2,11.3,-13.7,56.3,1.6,21,10.7,10.3,24.4,4.6,6.5,-3.2,5.3,22.8,25.8,6.2,26.3,-3.3,-32.7,105.5
"55","47","    Goods","A255RL1",NA,9.5,-43.9,5.5,86.4,16.7,8.8,-1.3,-10.3,-12.3,-10.6,13.8,9.2,26.5,176.3,-7,-7,-16.5,-44.3,-26.4,64.9,4.2,15.3,29.5,-7,25.2,-11.1,-29.6,-14.4,46.2,-29.3,-2.8,50.4,4,1.2,46.9,17.1,-12.8,-4.5,3.7,9.3,5.5,-6.4,21.3,-16.1,8.6,4.8,34.5,23.8,27.4,3.7,-13.7,8.5,5.7,-19.8,-17.8,-4.2,7,49.5,10,15.3,13.1,7.4,-0.6,-5.2,14.4,10.9,-1,-3.1,14.5,15.9,14,-17.2,79.4,3.6,21.1,10.9,6.3,28.3,4.8,1.4,-11.1,3.3,42.7,36.2,10.2,30.6,-6.4,-42.4,157.2
"56","48","    Services","A656RL1",NA,3.4,-14.8,97.8,5.7,17.4,73.9,-19.5,-15.1,15.7,-26.7,-13.4,20.6,15.7,21.1,36.2,30,1.2,51.8,55.4,32.3,-16.8,61.4,71.9,-15,16,23.8,11,-33,30.8,-4.1,18.5,-12.9,80.5,18.7,-29.2,19.5,25,21.3,-48,113.6,-1.3,-9.6,-30.2,70.2,37.3,-21.8,3.4,-11.9,7.1,3.5,-0.5,33.9,-2.2,8.8,-17.3,2.2,1.2,-3,9.6,7.8,1,0.7,17.6,-16.3,0.7,9.9,-1.9,5.8,-1.1,1.3,5.2,-5.3,13.6,-3.1,20.7,10.3,20.7,15.2,3.9,19.9,17.7,10,-12.9,3,-3.5,15.2,5.7,-0.7,14.5
"57","49","Government consumption expenditures and gross investment","A822RL1",NA,2.6,3.7,-5.8,8.2,20.7,8,17.9,11.9,19.4,4.1,-8.2,-6.5,6.7,-7.5,28,50.1,67.4,53.7,24.2,13,14.3,4,7.4,14.3,9.1,-4.7,-1.2,-10.3,-13.4,-9.3,-2.4,-0.5,-3.9,2.5,-8.4,-0.2,8.7,-3.7,10.8,8.5,-2.5,3.1,7.5,-4.4,10.4,2.5,8.8,-2.6,6.2,5.1,-4.3,-7.6,3.3,10,2.8,5.3,1,8.1,9.1,7.3,2.2,9.4,0.6,-2.4,-0.5,18.3,-3.6,1.5,2.6,0.2,-1.1,-1,5.3,14.6,8.9,7.4,7.3,11.3,6.7,18.1,-2.2,4.2,2.8,7.2,1.9,0.8,0.3,0.4,-1.7
"58","50","  Federal","A823RL1",NA,0.8,0.2,-13.2,14.3,26.7,8.4,23.5,8.3,15.9,-4.3,-18.4,-17.7,9.2,-13.5,55.9,104.5,117.3,89.2,37.5,18.6,16.8,10.7,6.4,16.5,13.2,-10.5,-5.7,-19.6,-19.8,-18.5,-4.6,-9.3,-8.8,4.3,-14.1,-3,10.9,-7.1,15.1,7.3,-5.9,1.5,5.7,-13.6,13.5,-1.6,9.7,-6.4,9.9,8.5,-5.7,-16.8,-1.5,13,1.5,-0.5,3.8,11.7,7.2,15.5,1.7,12.6,-2.1,-9.4,-3.7,24.1,-10.2,-2,-2.6,-3.1,-5.5,-4.9,0.8,17.2,11.6,9.5,11,17.2,3.4,30.4,-5.7,6.5,-0.8,7.1,-3.2,-3.4,-2.4,-2.2,-6.2
"59","51","    National defense","A824RL1",NA,-23.7,22.3,2.8,-1.1,-3.3,-5.9,21.5,11,7.5,-1.1,-22.9,-15.2,3.5,29,68,158.1,136.1,111.3,41.1,14.5,23.4,9.6,7.3,12.9,3.2,-5.1,-7.5,-24.2,-15.8,-19.1,-13,-2.1,-13.7,4.3,-12.8,-1.5,11.1,-1.3,13.5,2.3,3.4,3.3,-4.7,-4.4,4,-0.2,3,-10.7,-4.8,10.6,-5,-6.9,-5.7,13.4,-4.5,11,-2.5,12,7.1,15.8,-4.3,6.6,-4.6,-9.2,-4.1,15,-9.7,-5.7,-7.5,-1.3,-8,-8.6,-1.8,14.8,16,15.5,8.7,28.9,10.5,26.2,0.3,10.4,-4.2,10.3,-0.4,-7.7,-3.5,-4.2,-8.7
"60","52","      Consumption expenditures","A997RL1",NA,-24.2,7.2,-0.3,-10.3,-6.8,-3.7,15.7,1.2,-1.4,-3.4,-19.8,1.3,4.1,20,68.2,112.3,98.2,83.6,15.8,25.2,29.6,8.5,7.6,4.5,-3.4,-2.4,4.7,-33.1,-10.8,-8.5,-13,2.3,-22.8,21.8,-7.2,-6.2,16.7,-13,21.8,8.9,10.3,-0.4,-3.8,-5.7,4.3,-11,1,-29.2,2,10.8,1.2,-5.5,0.3,9,-2.2,-0.7,1.5,9.6,8.6,14.4,-0.3,4.9,-0.2,-1.4,-1.3,10.1,-1.1,-7,-5.8,0,-9.5,-4.2,3.8,13.7,23.1,6.4,18.1,19.6,9.1,26.2,6.7,3.9,0,17.4,1.3,-7.5,0.6,-12.3,3.9
"61","53","      Gross investment","A788RL1",NA,-9.2,1487.4,51,173.6,33.5,-22,80.1,110.5,80.4,12.9,-37.9,-74.4,0,120.5,66.6,677.6,397.1,242.6,147.8,-10.4,6.9,12.4,6.5,41,23.7,-12.1,-35.5,9.3,-28.6,-44.9,-13.5,-16,25.6,-39.5,-31.7,19.8,-7.9,57.3,-11.6,-19.7,-21,20.5,-8.4,1.3,2.5,56.3,10.3,83.3,-22,9.7,-21.5,-11,-23.1,29.5,-12,58.6,-13.8,19.6,2.8,20.1,-15.8,11.9,-17.6,-32,-13.7,35.5,-36.7,-0.3,-14.5,-6.7,-1.1,-25.6,-24.9,20.4,-15.6,77.2,-29.7,91.3,17.8,26.3,-27.5,51.3,-23,-22.7,-9.7,-8.7,-26.8,66.4,-60.3
"62","54","    Nondefense","A825RL1",NA,231.8,-50,-56.7,106.4,222.7,62.9,29.1,1.6,40.9,-11.7,-5.7,-23.2,23.5,-72.6,16.4,-30.3,38.2,-8.8,13.8,54.1,-22.9,19.7,-0.2,48.5,108.4,-38.1,7.1,16,-40.6,-14.3,66.1,-41.8,26.9,4.4,-21.7,-11.1,9.9,-37.8,27.3,47,-51.1,-11.5,121.1,-57.2,108.6,-10.4,60.9,20.3,119.5,-0.1,-8.7,-52.2,23.8,11,35.7,-42,42.2,10.3,7.9,14.4,34.4,42.8,8.5,-10.2,-2,65.6,-12,12.3,15.8,-8.7,3,7.5,9.2,24.7,-0.9,-7.6,18.9,-14.9,-19.3,47.3,-25.2,-7.9,14.2,-4.5,-14,16.3,2.1,5.9,3.6
"63","55","      Consumption expenditures","A542RL1",NA,377.8,-24.6,-64.1,37.9,414.6,70.7,8.2,17.9,48.2,-40.5,-20.8,-6.9,12.4,-85.2,117.6,-40.3,38.5,10.6,-29.9,126.2,-19.6,31.6,-3.5,88,126.6,-41.6,7.8,31.4,-54.2,-0.4,90.1,-44.3,41.1,13.7,-28.3,-15.3,0.2,-49.4,37,60.1,-59,-17.2,173,-70.8,167.7,-16.6,76.4,27.6,145.4,3.7,-10.4,-59.7,16.4,10.8,32.3,-53.3,65.1,7.8,2.1,18.1,36.5,50,2.1,-10.9,-8.4,73.8,-16.3,10.1,23.8,-17,-3.2,9.2,4.3,31.5,-4.9,-12.7,30,-18.2,-18.7,80.9,-24.2,-10.2,17.7,-0.1,-13.7,24.8,2.7,8.8,5.1
"64","56","      Gross investment","A798RL1",NA,0.9,-94.2,37.5,985.4,-55.4,22.6,209,-53.1,2,535.7,73.4,-61.4,70.5,40.5,-73.9,4.8,32.4,-50.7,324.1,-43.4,-31.2,-12.4,12.3,-44,33.1,-17,3.7,-42.6,131.5,-58.3,-26.6,-21.4,-42.2,-52.2,75.2,30.4,102.3,78,-9.6,-5.7,13.5,16.2,-11.4,105.4,-20.6,23.2,7.2,-10.2,18.2,-20.9,2.8,18.5,63.5,11.8,51.5,31.1,-18,20.5,32.5,1.8,26.6,17.9,38.3,-7.4,24.6,39.3,5.1,20,-8.5,27.2,26.3,2.7,26.8,4.8,13.1,10.4,-10.9,-3.3,-21.3,-30.2,-29.2,2,1,-21.7,-15.4,-16.9,-1.3,-8,-4
"65","57","  State and local","A829RL1",NA,5.5,9.7,6.6,-0.6,12,7.3,10,17.6,24.8,17.7,7.9,10.3,3.4,0.3,0.2,-3.9,7,2,-0.6,1.3,8.8,-10.4,9.8,8.8,-0.7,11.1,10.1,15.2,1.6,11.6,1.9,17.9,5.4,-0.6,2.4,4.4,5,2,4.1,10.4,3.4,5.8,10.3,11.8,5.9,9,7.5,3.4,1.1,0.3,-2.1,7.1,10.1,6.1,4.7,13.6,-2.7,3.4,11.6,-2.9,2.9,5.2,4.4,7.7,3.7,11.1,5.7,6.1,9.5,4.4,4.3,3.8,10.5,11.7,5.9,5.1,3.1,4.7,10.7,5,2.2,1.6,7.2,7.2,8,5.9,3.5,3.3,3.4
"66","58","    Consumption expenditures","A991RL1",NA,7.2,7.5,2.4,-6,2,1,5.8,14.4,10.9,11.2,8.5,11.3,0.6,-1.6,-0.6,-2.5,0.8,2.5,2.4,-4.3,15.7,-11.2,6.1,8.2,-1.3,9.1,-0.2,6.1,2.5,8.7,3.3,14.2,2.9,3.8,4,-0.2,6.5,5.6,5.8,2,5.9,8.6,7.4,8.9,8.9,6.6,4.4,2,3,4.9,5.3,6.3,8.9,2.7,5.9,8.9,6.1,-0.6,3.7,0.7,5,3.9,4.6,3.6,5.7,7.5,5.7,7.7,6.3,5.6,7.2,5.2,8.1,7.3,6.2,5.6,5.2,5.8,7,0.6,4.4,7.3,5.9,7.9,5,7.3,6.2,6.7,6
"67","59","    Gross investment","A799RL1",NA,-0.8,18.3,24.5,21.4,52.7,28.9,23.4,27.2,71.1,35.6,6.2,7.9,11.3,5.4,2.3,-7.2,23,0.7,-7.3,15.2,-5.8,-8.5,18.8,10.4,0.8,16.2,37.7,37.8,-0.4,18.1,-1.2,26.1,10.8,-9.6,-1.1,14.8,1.9,-5,0.8,30.2,-1.5,0.2,16.5,18,-0.2,14.5,14.3,6.4,-2.7,-8.9,-17.4,9,13,14.5,1.7,25.7,-21.2,14.4,33.1,-10.8,-2,8.5,4.1,18.5,-0.9,20.5,5.7,2.5,17.5,1.7,-2.3,0.6,16.7,23.2,5.3,3.7,-1.8,2.1,20.2,16.4,-2.7,-11.3,10.5,5.5,15.9,2.4,-3.1,-5.1,-3.2
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
