"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"57","38","    Current expenditures","W751RC1","62,759.0","72,777.0","82,949.0","92,873.0","103,261.0","116,516.0","134,782.0","145,642.0","158,030.0","174,171.0","193,833.0","217,795.0","239,821.0","257,046.0","274,741.0","297,509.0","327,907.0","352,296.0","374,762.0","402,681.0","440,780.0","480,657.0","532,203.0","580,803.0","614,594.0","649,758.0","684,998.0","708,063.0","735,505.0","773,988.0","836,140.0","896,044.0","983,950.0","1,037,458.0","1,086,598.0","1,139,658.0","1,195,160.0","1,239,745.0","1,324,864.0","1,383,889.0","1,455,042.0","1,487,124.0","1,492,939.0","1,518,954.0","1,556,302.0"
"58","39","    Gross government investment","W767RC1","12,784.0","13,856.0","14,615.0","15,190.0","15,814.0","17,271.0","17,759.0","17,637.0","17,002.0","18,846.0","22,422.0","24,910.0","25,394.0","24,816.0","26,039.0","30,833.0","35,294.0","38,582.0","41,278.0","44,980.0","47,238.0","51,746.0","53,341.0","54,785.0","56,859.0","61,094.0","63,861.0","64,768.0","70,017.0","73,047.0","79,812.0","87,512.0","95,170.0","97,525.0","97,330.0","100,013.0","105,751.0","113,564.0","117,996.0","124,375.0","128,529.0","129,061.0","129,567.0","129,147.0","128,384.0"
"59","40","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,464.0","6,441.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"60","41","    Net purchases of nonproduced assets","W768RC1","183.0","237.0","688.0","722.0","668.0","870.0","926.0","823.0","630.0","744.0","809.0","799.0","753.0","849.0","837.0","868.0","1,034.0","1,270.0","1,531.0","1,563.0","1,578.0","1,749.0","1,871.0","1,863.0","1,734.0","1,609.0","1,601.0","1,578.0","1,621.0","2,015.0","2,451.0","2,557.0","2,667.0","3,188.0","3,415.0","3,181.0","1,746.0","2,106.0","3,719.0","3,623.0","3,163.0","2,493.0","1,914.0","1,688.0","1,741.0"
"61","42","    Less: Consumption of fixed capital","W769RC1","4,345.0","4,988.0","5,584.0","6,054.0","6,778.0","8,617.0","9,645.0","9,886.0","10,278.0","10,908.0","12,159.0","14,220.0","16,479.0","18,100.0","18,549.0","18,968.0","19,973.0","21,546.0","23,398.0","24,920.0","26,481.0","28,420.0","30,050.0","31,226.0","32,768.0","34,600.0","36,939.0","38,772.0","40,773.0","42,635.0","45,079.0","48,324.0","51,159.0","53,680.0","55,872.0","59,314.0","65,028.0","70,433.0","77,497.0","83,219.0","85,804.0","87,444.0","91,299.0","95,616.0","98,575.0"
"62","43","  Net lending or net borrowing (-)","W770RC1","-6,107.0","-9,479.0","-10,816.0","-4,139.0","-6,735.0","-10,486.0","-13,558.0","-7,820.0","-2,501.0","-772.0","-3,930.0","-5,648.0","-6,424.0","-13,785.0","-6,606.0","2,251.0","-5,121.0","-5,452.0","-8,684.0","-9,758.0","-16,545.0","-24,288.0","-40,611.0","-41,406.0","-41,286.0","-40,507.0","-44,012.0","-32,304.0","-28,778.0","-23,922.0","-39,356.0","-46,260.0","-98,315.0","-136,740.0","-132,718.0","-111,395.0","-77,004.0","-58,905.0","-90,286.0","-131,188.0","-198,614.0","-157,622.0","-136,877.0","-134,750.0","-116,628.0"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Interest payments includes interest accrued on the actuarial liabilities of defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","pension plans for state government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
