"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"92","74","      Foundations and grantmaking and giving establishments","DGIVRC1","830.0","868.0","817.0","808.0","783.0","917.0","859.0","785.0","702.0","554.0","434.0","505.0","636.0","739.0","982.0","1,281.0","1,159.0","1,064.0","1,146.0","1,200.0","1,194.0","1,327.0"
"93","75","      Social advocacy establishments","DSASRC1","922.0","1,011.0","1,098.0","1,214.0","1,288.0","1,278.0","1,400.0","1,530.0","1,592.0","1,603.0","1,654.0","1,900.0","1,954.0","2,063.0","2,330.0","2,555.0","2,731.0","2,765.0","2,957.0","3,140.0","3,164.0","3,177.0"
"94","76","      Civic and social organizations","DCISRC1","3,881.0","4,173.0","4,394.0","4,692.0","4,881.0","4,917.0","5,365.0","5,557.0","5,866.0","5,960.0","6,120.0","6,332.0","6,286.0","6,094.0","6,113.0","6,223.0","6,110.0","5,943.0","6,061.0","6,061.0","6,243.0","6,695.0"
"95","77","      Professional advocacy","DSNRRC1","17,038.0","17,689.0","18,171.0","18,963.0","19,568.0","20,453.0","20,872.0","21,097.0","21,259.0","21,627.0","21,696.0","22,627.0","23,384.0","24,257.0","25,583.0","26,700.0","27,458.0","27,832.0","28,102.0","28,427.0","29,351.0","30,257.0"
"96","78","  Nonprofit institution current transfer payments","W419RC1","23,153.0","26,237.0","28,567.0","28,671.0","33,488.0","36,717.0","43,655.0","48,765.0","51,652.0","58,716.0","61,902.0","65,594.0","69,777.0","77,300.0","80,593.0","87,821.0","92,287.0","94,465.0","104,063.0","106,185.0","110,289.0","111,676.0"
"97","79","    To government \6\","W420RC1","187.0","203.0","188.0","279.0","369.0","502.0","523.0","730.0","625.0","305.0","234.0","328.0","469.0","624.0","796.0","890.0","289.0","221.0","412.0","419.0","442.0","448.0"
"98","80","    To the rest of the world (net)","W421RC1","1,746.0","2,241.0","2,407.0","2,542.0","3,076.0","3,952.0","5,921.0","6,511.0","6,909.0","7,211.0","7,461.0","8,051.0","7,807.0","9,798.0","9,748.0","12,962.0","17,860.0","19,712.0","24,963.0","24,800.0","23,877.0","22,878.0"
"99","81","    To households \2\","W386RC1","21,220.0","23,793.0","25,972.0","25,850.0","30,043.0","32,263.0","37,211.0","41,524.0","44,118.0","51,200.0","54,208.0","57,215.0","61,501.0","66,878.0","70,049.0","73,969.0","74,137.0","74,532.0","78,688.0","80,965.0","85,971.0","88,350.0"
"100","82","Equals: Nonprofit institution saving","W422RC1","22,261.0","19,861.0","18,297.0","20,416.0","28,782.0","50,903.0","33,987.0","40,250.0","44,024.0","9,329.0","-12,948.0","-20,741.0","2,127.0","23,029.0","1,909.0","543.0","-59,255.0","-87,366.0","-70,092.0","-72,894.0","-61,019.0","-74,728.0"
"101","83","    Nonprofit institution saving as a percentage of nonprofit income and receipts from sales","W423RC1","5.0","4.3","3.8","4.0","5.3","8.6","5.5","6.0","6.1","1.3","-1.6","-2.5","0.2","2.4","0.2","0.1","-5.5","-8.1","-6.1","-6.2","-4.9","-5.8"
"102",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","84","  Nonprofit institution income included in personal income \7\","W424RC1","47,393.0","49,086.0","53,202.0","59,856.0","63,485.0","67,158.0","62,964.0","68,868.0","72,919.0","69,672.0","64,602.0","65,050.0","69,971.0","82,538.0","89,952.0","92,793.0","76,703.0","78,697.0","83,453.0","84,944.0","92,854.0","91,810.0"
"104","85","  Transfer payments between nonprofit institutions \8\","W426RC1","25,439.0","26,898.0","26,315.0","27,970.0","32,466.0","34,436.0","42,169.0","47,494.0","55,075.0","59,263.0","60,290.0","62,597.0","63,892.0","68,833.0","78,516.0","90,305.0","92,437.0","83,748.0","89,664.0","86,393.0","91,734.0","94,273.0"
"105","86","  Nonprofit institution income and receipts from sales","W442RC1","441,804.0","464,845.0","486,940.0","507,631.0","545,405.0","590,245.0","620,164.0","665,333.0","717,316.0","744,487.0","786,014.0","819,496.0","890,897.0","968,785.0","1,014,728.0","1,071,505.0","1,073,944.0","1,079,663.0","1,139,864.0","1,172,854.0","1,245,361.0","1,279,834.0"
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2. Includes benefits paid to members, specific assistance to individuals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","and grants and allocations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","4. Includes individual contributions and bequests from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","5. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","government, and the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","6. Consists of excise taxes paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","7. Consists of rental income of nonprofit institutions (line 48), income receipts on assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","(line 49), transfer receipts from government (line 53), and transfer receipts from business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","(line 54).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","8. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","households through the support of other nonprofit institutions, plus their payments to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Note. Estimates in this table exclude nonprofit institutions serving business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
