"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"62","42","    Excluding imputations (40-41)","W518RC1","29,158.0","22,817.0","15,725.0","9,085.0","8,609.0","13,014.0","17,383.0","19,723.0","22,540.0","18,955.0","21,276.0","25,654.0","35,914.0","47,983.0","56,567.0","57,346.0","54,068.0","55,556.0","60,588.0","72,242.0","65,666.0","75,871.0","86,192.0","85,186.0","84,934.0","84,340.0","96,927.0","97,670.0","99,452.0","97,865.0","109,017.0","107,873.0","112,420.0","122,994.0","131,564.0","141,946.0","159,208.0","171,212.0","171,837.0","182,550.0","184,332.0"
"63","43","    Net interest and miscellaneous payments, domestic industries","W272RC1","4,039.0","4,256.0","4,298.0","4,086.0","3,674.0","3,807.0","3,881.0","3,651.0","3,589.0","3,571.0","3,602.0","3,326.0","3,255.0","3,180.0","2,898.0","2,486.0","2,346.0","1,905.0","2,399.0","2,509.0","2,796.0","3,114.0","3,574.0","4,022.0","4,676.0","5,491.0","6,136.0","6,888.0","8,069.0","9,464.0","9,582.0","10,543.0","12,223.0","13,929.0","14,825.0","17,037.0","19,182.0","21,993.0","25,063.0","27,114.0","34,091.0"
"64","44","      Imputations (215)","A2104C1","2,248.0","2,148.0","1,971.0","1,779.0","1,652.0","1,644.0","1,697.0","1,783.0","1,785.0","1,759.0","1,812.0","1,797.0","1,881.0","2,053.0","2,256.0","2,512.0","2,707.0","2,995.0","3,155.0","3,536.0","3,824.0","4,248.0","4,790.0","5,403.0","6,338.0","7,087.0","8,049.0","9,181.0","10,186.0","11,077.0","12,426.0","13,887.0","15,102.0","16,523.0","17,479.0","19,668.0","21,357.0","23,488.0","25,694.0","28,079.0","33,031.0"
"65","45","      Excluding imputations (43-44)","A2105C1","1,791.0","2,108.0","2,327.0","2,307.0","2,022.0","2,163.0","2,184.0","1,868.0","1,804.0","1,812.0","1,790.0","1,529.0","1,374.0","1,127.0","642.0","-26.0","-361.0","-1,090.0","-756.0","-1,027.0","-1,028.0","-1,134.0","-1,216.0","-1,381.0","-1,662.0","-1,596.0","-1,913.0","-2,293.0","-2,117.0","-1,613.0","-2,844.0","-3,344.0","-2,879.0","-2,594.0","-2,654.0","-2,631.0","-2,175.0","-1,495.0","-631.0","-965.0","1,060.0"
"66","46","    Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","692.0","715.0","708.0","689.0","824.0","1,160.0","1,197.0","1,154.0","915.0","1,297.0","1,651.0","1,823.0","1,703.0","1,658.0","1,742.0","1,901.0","2,117.0","2,529.0","3,004.0","3,485.0","3,392.0","3,628.0","4,183.0","4,798.0"
"67","47","      Imputations (163-198+199)","Y505RC1","38.0","35.0","26.0","15.0","4.0","-3.0","8.0","19.0","47.0","65.0","79.0","94.0","103.0","186.0","305.0","336.0","371.0","223.0","330.0","507.0","668.0","788.0","897.0","957.0","768.0","706.0","843.0","1,111.0","1,314.0","1,405.0","1,389.0","1,436.0","1,419.0","1,322.0","1,370.0","1,494.0","1,407.0","1,385.0","1,612.0","6,188.0","6,966.0"
"68","48","      Excluding imputations (46-47)","W530RC1","473.0","432.0","512.0","564.0","511.0","505.0","498.0","514.0","477.0","345.0","356.0","357.0","424.0","359.0","337.0","476.0","520.0","469.0","385.0","201.0","21.0","36.0","263.0","240.0","386.0","209.0","454.0","540.0","509.0","298.0","269.0","306.0","482.0","795.0","1,159.0","1,510.0","2,078.0","2,007.0","2,016.0","-2,005.0","-2,168.0"
"69","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,015.0","10,872.0","8,315.0","5,012.0","5,268.0","7,007.0","10,124.0","10,393.0","12,521.0","10,598.0","11,120.0","12,234.0","16,650.0","23,341.0","28,225.0","29,346.0","30,824.0","35,671.0","34,579.0","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"70","50","      Imputations (200+212)","A2101C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,868.0","1,594.0","1,533.0","1,618.0","1,530.0","1,372.0","1,274.0","1,102.0","1,031.0","955.0","971.0","868.0","805.0","828.0","782.0","804.0","774.0","741.0","727.0","728.0","771.0","752.0"
"71","51","      Excluding imputations (49-50)","A2102C1","12,829.0","9,828.0","7,431.0","4,342.0","4,581.0","6,292.0","9,195.0","9,485.0","11,533.0","9,789.0","10,368.0","11,516.0","15,733.0","22,159.0","26,716.0","27,921.0","29,310.0","33,943.0","32,855.0","37,411.0","33,096.0","35,981.0","40,976.0","41,510.0","40,645.0","40,981.0","43,170.0","44,788.0","46,830.0","49,187.0","49,478.0","49,782.0","52,371.0","54,452.0","55,594.0","58,358.0","62,921.0","67,206.0","68,747.0","73,061.0","76,253.0"
"72","52","    Rental income of persons with capital consumption adjustment","A048RC1","6,062.0","5,369.0","4,438.0","3,598.0","2,857.0","2,515.0","2,563.0","2,683.0","2,965.0","3,479.0","3,715.0","3,846.0","4,414.0","5,453.0","6,024.0","6,337.0","6,578.0","6,898.0","6,889.0","7,484.0","7,798.0","8,779.0","9,719.0","10,816.0","12,028.0","13,061.0","13,422.0","13,668.0","14,053.0","14,796.0","15,557.0","16,463.0","17,200.0","18,046.0","18,727.0","18,831.0","19,337.0","19,910.0","20,346.0","20,111.0","20,374.0"
"73","53","      Imputations (164)","B1156C1","2,755.0","2,443.0","2,105.0","1,734.0","1,349.0","1,086.0","1,113.0","1,171.0","1,280.0","1,470.0","1,544.0","1,560.0","1,741.0","2,064.0","2,376.0","2,663.0","2,877.0","2,900.0","2,766.0","2,996.0","3,398.0","4,005.0","4,634.0","5,607.0","6,718.0","7,641.0","8,044.0","8,218.0","8,638.0","9,155.0","10,075.0","10,993.0","11,664.0","12,461.0","12,911.0","13,057.0","13,388.0","13,920.0","14,438.0","14,101.0","14,414.0"
"74","54","      Excluding imputations (52-53)","A2103C1","3,307.0","2,926.0","2,333.0","1,864.0","1,508.0","1,429.0","1,450.0","1,512.0","1,685.0","2,009.0","2,171.0","2,286.0","2,673.0","3,389.0","3,648.0","3,674.0","3,701.0","3,998.0","4,123.0","4,488.0","4,400.0","4,774.0","5,085.0","5,209.0","5,310.0","5,420.0","5,378.0","5,450.0","5,415.0","5,641.0","5,482.0","5,470.0","5,536.0","5,585.0","5,816.0","5,774.0","5,949.0","5,990.0","5,908.0","6,010.0","5,960.0"
"75","55","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","10,600.0","7,360.0","2,955.0","-157.0","-174.0","2,456.0","3,859.0","6,127.0","6,781.0","4,707.0","6,268.0","9,606.0","15,302.0","20,411.0","24,528.0","24,549.0","20,110.0","17,552.0","23,179.0","30,132.0","27,933.0","34,790.0","39,454.0","37,777.0","38,496.0","37,498.0","47,813.0","46,825.0","46,048.0","41,333.0","52,796.0","51,542.0","52,629.0","60,272.0","66,427.0","73,238.0","84,583.0","91,594.0","89,091.0","96,112.0","91,821.0"
"76","56","      Imputations (188-190+195-196+198-199)","Y674RC1","-90.0","-95.0","-101.0","-105.0","-98.0","-94.0","-109.0","-124.0","-161.0","-194.0","-219.0","-241.0","-271.0","-384.0","-529.0","-594.0","-622.0","-490.0","-616.0","-824.0","-1,028.0","-1,196.0","-1,366.0","-1,511.0","-1,407.0","-1,437.0","-1,656.0","-2,012.0","-2,361.0","-2,597.0","-2,868.0","-3,206.0","-3,462.0","-3,613.0","-3,900.0","-4,387.0","-4,547.0","-4,962.0","-5,857.0","-9,241.0","-10,501.0"
"77","57","      Excluding imputations (55-56)","Y675RC1","10,690.0","7,455.0","3,056.0","-52.0","-76.0","2,550.0","3,968.0","6,251.0","6,942.0","4,901.0","6,487.0","9,847.0","15,573.0","20,795.0","25,057.0","25,143.0","20,732.0","18,042.0","23,795.0","30,956.0","28,961.0","35,986.0","40,820.0","39,288.0","39,903.0","38,935.0","49,469.0","48,837.0","48,409.0","43,930.0","55,664.0","54,748.0","56,091.0","63,885.0","70,327.0","77,625.0","89,130.0","96,556.0","94,948.0","105,353.0","102,322.0"
"78","58","      Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"79","59","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","9,231.0","6,518.0","2,457.0","-542.0","-695.0","1,712.0","2,908.0","4,718.0","5,279.0","3,678.0","4,827.0","6,772.0","7,692.0","8,996.0","10,454.0","11,600.0","9,421.0","8,448.0","11,911.0","17,711.0","17,730.0","16,865.0","16,895.0","18,378.0","18,209.0","19,874.0","25,772.0","24,832.0","24,625.0","22,369.0","29,069.0","28,760.0","29,739.0","36,177.0","40,056.0","45,083.0","53,518.0","57,713.0","56,192.0","56,484.0","51,844.0"
"80","60","        Imputations (188-190+195-196+198-199)","Y519RC1","-90.0","-95.0","-101.0","-105.0","-98.0","-94.0","-109.0","-124.0","-161.0","-194.0","-219.0","-241.0","-271.0","-384.0","-529.0","-594.0","-622.0","-490.0","-616.0","-824.0","-1,028.0","-1,196.0","-1,366.0","-1,511.0","-1,407.0","-1,437.0","-1,656.0","-2,012.0","-2,361.0","-2,597.0","-2,868.0","-3,206.0","-3,462.0","-3,613.0","-3,900.0","-4,387.0","-4,547.0","-4,962.0","-5,857.0","-9,241.0","-10,501.0"
"81","61","        Excluding imputations (59-60)","Y520RC1","9,321.0","6,613.0","2,558.0","-437.0","-597.0","1,806.0","3,017.0","4,842.0","5,440.0","3,872.0","5,046.0","7,013.0","7,963.0","9,380.0","10,983.0","12,194.0","10,043.0","8,938.0","12,527.0","18,535.0","18,758.0","18,061.0","18,261.0","19,889.0","19,616.0","21,311.0","27,428.0","26,844.0","26,986.0","24,966.0","31,937.0","31,966.0","33,201.0","39,790.0","43,956.0","49,470.0","58,065.0","62,675.0","62,049.0","65,725.0","62,345.0"
"82","62","        Net dividends","A449RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0"
"83","63","          Imputations (197)","Y234RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,710.0","2,037.0"
"84","64","          Excluding imputations (62-63)","Y676RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","18,457.0","18,366.0"
"85","65","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","3,662.0","1,187.0","-1,613.0","-3,120.0","-2,735.0","-795.0","223.0","299.0","741.0","760.0","1,245.0","2,990.0","3,492.0","4,967.0","6,246.0","7,276.0","5,049.0","3,299.0","6,279.0","11,511.0","11,324.0","9,011.0","9,487.0","10,917.0","10,458.0","12,014.0","16,873.0","15,365.0","14,769.0","12,537.0","18,361.0","17,350.0","18,233.0","23,821.0","26,494.0","30,092.0","36,644.0","39,885.0","37,862.0","36,317.0","31,441.0"
"86","66","          Imputations (188-190+195-196-197+198-199)","Y677RC1","-90.0","-95.0","-101.0","-105.0","-98.0","-94.0","-109.0","-124.0","-161.0","-194.0","-219.0","-241.0","-271.0","-384.0","-529.0","-594.0","-622.0","-490.0","-616.0","-824.0","-1,028.0","-1,196.0","-1,366.0","-1,511.0","-1,407.0","-1,437.0","-1,656.0","-2,012.0","-2,361.0","-2,597.0","-2,868.0","-3,206.0","-3,462.0","-3,613.0","-3,900.0","-4,387.0","-4,547.0","-4,962.0","-5,857.0","-10,951.0","-12,538.0"
"87","67","          Excluding imputations (65-66)","Y678RC1","3,752.0","1,282.0","-1,512.0","-3,015.0","-2,637.0","-701.0","332.0","423.0","902.0","954.0","1,464.0","3,231.0","3,763.0","5,351.0","6,775.0","7,870.0","5,671.0","3,789.0","6,895.0","12,335.0","12,352.0","10,207.0","10,853.0","12,428.0","11,865.0","13,451.0","18,529.0","17,377.0","17,130.0","15,134.0","21,229.0","20,556.0","21,695.0","27,434.0","30,394.0","34,479.0","41,191.0","44,847.0","43,719.0","47,268.0","43,979.0"
"88","68","    Current surplus of government enterprises","A108RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","544.0","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"89","69","      Imputations (-192)","Y514RC1","-68.0","-68.0","-66.0","-60.0","-63.0","-75.0","-88.0","-93.0","-99.0","-99.0","-104.0","-119.0","-137.0","-154.0","-167.0","-158.0","-166.0","-194.0","-186.0","-213.0","-216.0","-228.0","-264.0","-320.0","-352.0","-391.0","-369.0","-348.0","-406.0","-422.0","-424.0","-448.0","-484.0","-492.0","-523.0","-547.0","-625.0","-676.0","-694.0","-792.0","-900.0"
"90","70","      Excluding imputations (68-69)","Y679RC1","68.0","68.0","66.0","60.0","63.0","75.0","88.0","93.0","99.0","99.0","104.0","119.0","137.0","154.0","167.0","158.0","166.0","194.0","186.0","213.0","216.0","228.0","264.0","320.0","352.0","391.0","369.0","348.0","406.0","422.0","968.0","911.0","819.0","871.0","1,322.0","1,310.0","1,305.0","948.0","849.0","1,096.0","905.0"
"91","71","  Consumption of fixed capital","A262RC1","10,378.0","10,186.0","9,492.0","8,314.0","7,991.0","8,406.0","8,462.0","8,783.0","9,748.0","10,030.0","10,091.0","10,567.0","12,054.0","14,893.0","18,013.0","21,380.0","23,194.0","25,771.0","29,200.0","31,393.0","32,337.0","33,430.0","37,758.0","40,618.0","43,480.0","45,981.0","48,885.0","54,125.0","58,913.0","62,425.0","65,438.0","67,893.0","70,607.0","74,101.0","78,003.0","82,379.0","87,980.0","95,293.0","103,519.0","113,324.0","124,863.0"
"92","72","    Imputations (165+168+213)","A2092C1","2,070.0","2,051.0","1,918.0","1,635.0","1,702.0","1,926.0","1,951.0","2,116.0","2,315.0","2,410.0","2,470.0","2,612.0","3,233.0","4,875.0","7,829.0","10,817.0","12,295.0","13,377.0","13,908.0","13,391.0","12,773.0","12,410.0","13,827.0","15,220.0","16,552.0","17,718.0","19,007.0","20,917.0","22,588.0","23,711.0","25,178.0","26,550.0","27,935.0","29,672.0","31,560.0","33,310.0","35,269.0","37,686.0","40,501.0","44,002.0","48,014.0"
"93","73","    Excluding imputations (71-72)","A2093C1","8,308.0","8,135.0","7,574.0","6,679.0","6,289.0","6,480.0","6,511.0","6,667.0","7,433.0","7,620.0","7,621.0","7,955.0","8,821.0","10,018.0","10,184.0","10,563.0","10,899.0","12,394.0","15,292.0","18,002.0","19,564.0","21,020.0","23,931.0","25,398.0","26,928.0","28,263.0","29,878.0","33,208.0","36,325.0","38,714.0","40,260.0","41,343.0","42,672.0","44,429.0","46,443.0","49,069.0","52,711.0","57,607.0","63,018.0","69,322.0","76,849.0"
"94",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","74","Personal income","A065RC1","85,261.0","76,507.0","65,642.0","50,264.0","47,204.0","54,061.0","60,836.0","69,213.0","74,699.0","69,082.0","73,626.0","79,400.0","97,870.0","126,713.0","156,177.0","169,709.0","175,778.0","182,668.0","194,616.0","213,661.0","211,244.0","233,904.0","264,455.0","282,655.0","299,565.0","302,592.0","324,583.0","348,411.0","368,486.0","379,474.0","403,193.0","422,532.0","441,082.0","469,087.0","492,839.0","528,356.0","570,847.0","620,572.0","665,748.0","730,743.0","800,258.0"
"96","75","  Imputations (164-159+171+182+189+196+197-198+199+200+204+205+206+207+212)","A2106C1","5,826.0","5,315.0","4,605.0","3,788.0","3,302.0","3,099.0","3,560.0","3,775.0","4,136.0","4,173.0","4,277.0","4,582.0","6,071.0","8,816.0","11,005.0","12,169.0","13,074.0","12,064.0","11,457.0","12,989.0","13,789.0","15,672.0","19,037.0","21,424.0","23,330.0","24,691.0","25,927.0","27,494.0","29,748.0","31,563.0","33,726.0","36,243.0","38,791.0","40,882.0","42,768.0","45,555.0","48,565.0","52,508.0","56,243.0","65,889.0","74,068.0"
"97","76","  Excluding imputations (74-75)","A2107C1","79,435.0","71,192.0","61,037.0","46,476.0","43,902.0","50,962.0","57,276.0","65,438.0","70,563.0","64,909.0","69,349.0","74,818.0","91,799.0","117,897.0","145,172.0","157,540.0","162,704.0","170,604.0","183,159.0","200,672.0","197,455.0","218,232.0","245,418.0","261,231.0","276,235.0","277,901.0","298,656.0","320,917.0","338,738.0","347,911.0","369,467.0","386,289.0","402,291.0","428,205.0","450,071.0","482,801.0","522,282.0","568,064.0","609,505.0","664,854.0","726,190.0"
"98","77","  Compensation of employees","A033RC1","51,444.0","47,207.0","40,112.0","31,378.0","29,823.0","34,589.0","37,708.0","43,333.0","48,359.0","45,467.0","48,609.0","52,808.0","66,249.0","88,103.0","112,770.0","124,400.0","126,393.0","122,590.0","132,491.0","144,470.0","144,512.0","158,465.0","185,927.0","201,341.0","215,522.0","214,443.0","230,899.0","249,640.0","262,980.0","265,119.0","286,309.0","301,851.0","311,088.0","332,912.0","351,179.0","376,821.0","406,347.0","450,286.0","482,943.0","532,101.0","586,016.0"
"99","78","    Imputations (189+203)","Y506RC1","764.0","754.0","685.0","583.0","525.0","573.0","682.0","761.0","809.0","828.0","859.0","1,077.0","2,068.0","3,952.0","5,124.0","5,814.0","6,278.0","6,095.0","4,529.0","4,918.0","5,127.0","5,637.0","7,770.0","8,738.0","9,033.0","9,068.0","9,136.0","9,430.0","10,236.0","10,863.0","11,159.0","11,684.0","12,545.0","13,082.0","13,757.0","14,728.0","16,380.0","18,204.0","19,353.0","21,278.0","23,586.0"
"100","79","    Excluding imputations (77-78)","W519RC1","50,680.0","46,453.0","39,427.0","30,795.0","29,298.0","34,016.0","37,026.0","42,572.0","47,550.0","44,639.0","47,750.0","51,731.0","64,181.0","84,151.0","107,646.0","118,586.0","120,115.0","116,495.0","127,962.0","139,552.0","139,385.0","152,828.0","178,157.0","192,603.0","206,489.0","205,375.0","221,763.0","240,210.0","252,744.0","254,256.0","275,150.0","290,167.0","298,543.0","319,830.0","337,422.0","362,093.0","389,967.0","432,082.0","463,590.0","510,823.0","562,430.0"
"101","80","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,015.0","10,872.0","8,315.0","5,012.0","5,268.0","7,007.0","10,124.0","10,393.0","12,521.0","10,598.0","11,120.0","12,234.0","16,650.0","23,341.0","28,225.0","29,346.0","30,824.0","35,671.0","34,579.0","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"102","81","    Imputations (200+212)","A2101C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,868.0","1,594.0","1,533.0","1,618.0","1,530.0","1,372.0","1,274.0","1,102.0","1,031.0","955.0","971.0","868.0","805.0","828.0","782.0","804.0","774.0","741.0","727.0","728.0","771.0","752.0"
"103","82","    Excluding imputations (80-81)","A2102C1","12,829.0","9,828.0","7,431.0","4,342.0","4,581.0","6,292.0","9,195.0","9,485.0","11,533.0","9,789.0","10,368.0","11,516.0","15,733.0","22,159.0","26,716.0","27,921.0","29,310.0","33,943.0","32,855.0","37,411.0","33,096.0","35,981.0","40,976.0","41,510.0","40,645.0","40,981.0","43,170.0","44,788.0","46,830.0","49,187.0","49,478.0","49,782.0","52,371.0","54,452.0","55,594.0","58,358.0","62,921.0","67,206.0","68,747.0","73,061.0","76,253.0"
"104","83","  Rental income of persons with capital consumption adjustment","A048RC1","6,062.0","5,369.0","4,438.0","3,598.0","2,857.0","2,515.0","2,563.0","2,683.0","2,965.0","3,479.0","3,715.0","3,846.0","4,414.0","5,453.0","6,024.0","6,337.0","6,578.0","6,898.0","6,889.0","7,484.0","7,798.0","8,779.0","9,719.0","10,816.0","12,028.0","13,061.0","13,422.0","13,668.0","14,053.0","14,796.0","15,557.0","16,463.0","17,200.0","18,046.0","18,727.0","18,831.0","19,337.0","19,910.0","20,346.0","20,111.0","20,374.0"
"105","84","    Imputations (164)","B1156C1","2,755.0","2,443.0","2,105.0","1,734.0","1,349.0","1,086.0","1,113.0","1,171.0","1,280.0","1,470.0","1,544.0","1,560.0","1,741.0","2,064.0","2,376.0","2,663.0","2,877.0","2,900.0","2,766.0","2,996.0","3,398.0","4,005.0","4,634.0","5,607.0","6,718.0","7,641.0","8,044.0","8,218.0","8,638.0","9,155.0","10,075.0","10,993.0","11,664.0","12,461.0","12,911.0","13,057.0","13,388.0","13,920.0","14,438.0","14,101.0","14,414.0"
"106","85","    Excluding imputations (83-84)","A2103C1","3,307.0","2,926.0","2,333.0","1,864.0","1,508.0","1,429.0","1,450.0","1,512.0","1,685.0","2,009.0","2,171.0","2,286.0","2,673.0","3,389.0","3,648.0","3,674.0","3,701.0","3,998.0","4,123.0","4,488.0","4,400.0","4,774.0","5,085.0","5,209.0","5,310.0","5,420.0","5,378.0","5,450.0","5,415.0","5,641.0","5,482.0","5,470.0","5,536.0","5,585.0","5,816.0","5,774.0","5,949.0","5,990.0","5,908.0","6,010.0","5,960.0"
"107","86","  Personal income receipts on assets","W210RC1","12,625.0","11,911.0","10,499.0","8,602.0","7,628.0","8,267.0","8,537.0","10,035.0","10,352.0","8,756.0","9,416.0","9,701.0","10,235.0","10,044.0","10,447.0","10,866.0","11,681.0","13,577.0","15,401.0","16,792.0","17,922.0","20,656.0","21,438.0","22,499.0","24,588.0","26,593.0","29,397.0","32,444.0","35,554.0","37,319.0","40,576.0","44,335.0","47,150.0","51,620.0","55,995.0","62,455.0","68,739.0","74,162.0","79,837.0","87,300.0","98,686.0"
"108","87","    Imputations (171+182+196+197)","Y507RC1","1,083.0","1,039.0","905.0","786.0","737.0","728.0","828.0","916.0","1,012.0","1,001.0","1,043.0","1,133.0","1,242.0","1,432.0","1,691.0","1,935.0","2,144.0","2,596.0","2,881.0","3,131.0","3,395.0","3,760.0","4,147.0","4,631.0","5,512.0","6,141.0","6,944.0","7,822.0","8,724.0","9,371.0","10,432.0","11,471.0","12,486.0","13,358.0","14,046.0","15,596.0","16,744.0","18,445.0","20,351.0","23,868.0","28,734.0"
"109","88","    Excluding imputations (86-87)","Y508RC1","11,542.0","10,872.0","9,594.0","7,816.0","6,891.0","7,539.0","7,709.0","9,119.0","9,340.0","7,755.0","8,373.0","8,568.0","8,993.0","8,612.0","8,756.0","8,931.0","9,537.0","10,981.0","12,520.0","13,661.0","14,527.0","16,896.0","17,291.0","17,868.0","19,076.0","20,452.0","22,453.0","24,622.0","26,830.0","27,948.0","30,144.0","32,864.0","34,664.0","38,262.0","41,949.0","46,859.0","51,995.0","55,717.0","59,486.0","63,432.0","69,952.0"
"110","89","  Personal current transfer receipts","A577RC1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0"
"111","90","    Imputations (-159-198+199)","A2111C1","38.0","35.0","26.0","15.0","4.0","-3.0","8.0","19.0","47.0","65.0","79.0","94.0","103.0","186.0","305.0","336.0","371.0","223.0","330.0","507.0","668.0","788.0","897.0","957.0","768.0","706.0","843.0","1,111.0","1,314.0","1,405.0","1,394.0","1,470.0","1,476.0","1,379.0","1,450.0","1,600.0","1,483.0","1,356.0","1,649.0","6,221.0","6,993.0"
"112","91","    Excluding imputations (89-90)","A2112C1","1,151.0","1,186.0","2,322.0","1,730.0","1,687.0","1,755.0","1,968.0","3,062.0","1,928.0","2,334.0","2,439.0","2,587.0","2,553.0","2,478.0","2,184.0","2,771.0","5,271.0","10,327.0","10,490.0","9,745.0","10,544.0","13,184.0","10,514.0","10,925.0","11,748.0","13,608.0","14,841.0","15,716.0","18,213.0","22,061.0","22,845.0","24,270.0","27,974.0","29,013.0","30,759.0","31,904.0","34,695.0","38,261.0","46,365.0","49,873.0","55,311.0"
"113","92","  Less: Contributions for government social insurance, domestic","A061RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,634.0","6,923.0","7,106.0","8,074.0","9,091.0","9,987.0","11,413.0","11,384.0","13,834.0","16,444.0","17,005.0","19,117.0","21,669.0","22,387.0","23,416.0","31,336.0","34,867.0","38,695.0","44,127.0"
"114","93","    Imputations (208)","A1676C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","110.0","1,478.0","773.0","431.0","393.0","51.0","29.0","39.0","73.0","139.0","142.0","118.0","119.0","202.0","202.0","180.0","208.0","180.0","200.0","200.0","171.0","144.0","276.0","350.0","411.0"
"115","94","    Excluding imputations (92-93)","W531RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,343.0","5,230.0","5,140.0","4,791.0","4,185.0","4,497.0","5,431.0","6,605.0","6,884.0","7,033.0","7,935.0","8,949.0","9,869.0","11,294.0","11,182.0","13,632.0","16,264.0","16,797.0","18,937.0","21,469.0","22,187.0","23,245.0","31,192.0","34,591.0","38,345.0","43,716.0"
