"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"58","39","    Gross government investment","W867RC1","16,033.0","15,480.0","16,096.0","16,152.0","18,175.0","23,230.0","26,791.0","27,254.0","26,957.0","31,979.0","35,934.0","40,789.0","41,523.0","42,177.0","42,788.0","46,755.0","52,053.0","57,618.0","60,916.0","65,432.0","71,976.0","80,417.0","83,953.0","84,938.0","84,344.0","87,719.0","96,118.0","105,391.0","115,810.0","120,691.0","133,797.0","145,366.0","154,619.0","165,770.0","171,573.0","177,442.0","185,011.0","200,734.0","222,788.0","234,467.0","234,517.0","222,797.0","210,924.0","202,498.0","199,455.0"
"59","40","    Capital transfer payments","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"60","41","    Net purchases of nonproduced assets","W868RC1","798.0","861.0","940.0","934.0","1,055.0","1,006.0","1,018.0","923.0","928.0","1,038.0","1,188.0","1,379.0","1,492.0","1,365.0","1,386.0","1,693.0","2,029.0","2,404.0","2,635.0","2,778.0","3,306.0","3,981.0","3,977.0","3,987.0","4,152.0","4,598.0","4,973.0","4,442.0","4,223.0","5,571.0","6,177.0","6,033.0","7,451.0","8,011.0","8,008.0","8,164.0","8,260.0","8,880.0","9,928.0","10,174.0","9,140.0","8,073.0","7,316.0","7,019.0","7,227.0"
"61","42","    Less: Consumption of fixed capital","W869RC1","5,309.0","5,959.0","6,649.0","7,272.0","8,078.0","9,716.0","11,316.0","12,182.0","13,203.0","14,583.0","16,488.0","18,920.0","21,360.0","23,157.0","24,249.0","25,446.0","26,920.0","28,731.0","30,705.0","32,863.0","35,385.0","38,278.0","40,817.0","42,915.0","45,579.0","48,338.0","51,347.0","53,811.0","56,082.0","59,117.0","63,069.0","67,854.0","71,829.0","75,343.0","78,664.0","84,464.0","92,268.0","99,872.0","109,078.0","116,935.0","122,383.0","125,289.0","130,870.0","136,226.0","139,823.0"
"62","43","  Net lending or net borrowing (-)","W870RC1","-3,089.0","-834.0","-1,705.0","155.0","2,833.0","-2,069.0","-6,566.0","-1,930.0","1,994.0","810.0","-3,358.0","-5,110.0","-2,978.0","-2,321.0","-2,409.0","3,004.0","3,844.0","-696.0","-9,169.0","-7,134.0","-14,862.0","-28,369.0","-30,956.0","-40,639.0","-36,463.0","-28,619.0","-33,451.0","-29,906.0","-29,139.0","-24,331.0","-25,478.0","-24,933.0","-52,173.0","-76,770.0","-82,530.0","-94,017.0","-82,714.0","-77,720.0","-90,960.0","-143,127.0","-172,746.0","-152,646.0","-132,762.0","-132,101.0","-135,329.0"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Interest payments includes interest accrued on the actuarial liabilities of defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","pension plans for local government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
