"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"31","12","      Taxes on corporate income","A054RC1","41,460.0","40,428.0","39,140.0","38,880.0","34,468.0","34,652.0","35,724.0","34,184.0","37,824.0","38,568.0","37,916.0","38,352.0","40,368.0","40,660.0","41,952.0","46,384.0","49,736.0","50,208.0","48,592.0","51,356.0","49,744.0","52,156.0","57,324.0","51,916.0","43,792.0","46,788.0","57,208.0","58,796.0","66,620.0","65,180.0","64,892.0","64,460.0","68,804.0","74,384.0","76,748.0","77,828.0","72,496.0","86,616.0","87,428.0","92,892.0","90,108.0","90,932.0","90,584.0","88,440.0","97,016.0","77,224.0","83,160.0","91,360.0","91,116.0","82,648.0","86,152.0","77,440.0","65,736.0","68,444.0","68,604.0","63,212.0","64,168.0","79,236.0","88,268.0","90,920.0","103,884.0","102,888.0","91,072.0","92,280.0","98,688.0","96,972.0","102,264.0","99,700.0","106,580.0","106,336.0","107,304.0","118,480.0","118,705.0","132,794.0","137,908.0","132,356.0","129,331.0","136,631.0","146,652.0","153,906.0","158,354.0","145,029.0","140,422.0","140,467.0","139,325.0","144,875.0","149,827.0","147,669.0","141,637.0","136,779.0","137,436.0","138,511.0","148,203.0","149,751.0","144,029.0","152,769.0","158,139.0","170,091.0","162,123.0","193,783.0","174,536.0","183,616.0","201,134.0","213,278.0","217,571.0","214,784.0","221,665.0","217,331.0","221,588.0","233,383.0","233,779.0","237,124.0","238,216.0","242,942.0","255,071.0","245,455.0","248,512.0","245,489.0","252,217.0","247,246.0","256,227.0","254,080.0","259,164.0","265,667.0","274,301.0","273,119.0","254,697.0","258,251.0","224,489.0","216,639.0","195,037.0","177,017.0","179,259.0","185,957.0","193,723.0","210,405.0","231,540.0","226,974.0","247,224.0","269,329.0","277,630.0","298,197.0","320,427.0","328,122.0","405,092.0","395,642.0","403,058.0","445,747.0","460,725.0","475,172.0","496,703.0","460,837.0","474,187.0","468,062.0","431,090.0","408,781.0","355,279.0","344,133.0","312,594.0","224,394.0","214,997.0","240,432.0","284,998.0","337,351.0","344,824.0","351,677.0","387,470.0","398,311.0","397,495.0","383,380.0","351,001.0","384,501.0","451,290.0","473,505.0","440,557.0","453,775.0","474,911.0","459,154.0","467,525.0","495,449.0","562,309.0","607,956.0","602,493.0","597,739.0","....."
"32","13","      Profits after tax with IVA and CCAdj","W273RC1","55,755.0","53,468.0","51,530.0","46,624.0","42,995.0","46,437.0","45,371.0","42,742.0","51,322.0","52,210.0","55,768.0","59,206.0","62,286.0","63,662.0","66,291.0","69,109.0","71,276.0","66,997.0","68,032.0","67,769.0","61,341.0","58,605.0","49,935.0","51,922.0","60,098.0","68,799.0","78,186.0","83,242.0","92,479.0","91,387.0","93,459.0","92,684.0","96,171.0","111,347.0","123,135.0","118,266.0","115,006.0","133,427.0","136,328.0","138,605.0","131,816.0","128,430.0","120,504.0","116,661.0","100,202.0","92,970.0","96,561.0","113,862.0","123,098.0","130,692.0","144,206.0","135,908.0","124,497.0","134,162.0","133,933.0","130,493.0","147,503.0","161,108.0","167,978.0","179,662.0","198,101.0","198,895.0","204,674.0","213,458.0","213,651.0","214,635.0","230,823.0","208,829.0","192,258.0","181,781.0","168,901.0","157,960.0","165,852.0","181,626.0","200,721.0","201,928.0","212,461.0","214,704.0","211,927.0","225,966.0","201,530.0","206,839.0","209,508.0","186,293.0","200,753.0","213,402.0","186,324.0","182,087.0","228,172.0","240,013.0","241,929.0","234,957.0","249,818.0","252,472.0","247,922.0","263,757.0","240,322.0","266,331.0","281,416.0","308,065.0","331,965.0","343,562.0","358,146.0","369,556.0","358,351.0","377,720.0","414,478.0","418,377.0","446,693.0","450,121.0","454,136.0","459,508.0","493,705.0","501,799.0","528,036.0","527,632.0","451,331.0","453,651.0","464,949.0","442,003.0","471,567.0","464,439.0","441,000.0","420,762.0","397,435.0","380,656.0","376,035.0","325,600.0","358,393.0","385,721.0","399,986.0","377,273.0","511,918.0","548,297.0","558,893.0","605,187.0","606,401.0","641,829.0","664,832.0","670,858.0","747,877.0","771,354.0","790,023.0","779,621.0","788,561.0","817,313.0","818,691.0","880,499.0","920,376.0","919,327.0","946,508.0","881,720.0","770,148.0","806,018.0","710,973.0","633,172.0","610,032.0","604,765.0","619,171.0","443,090.0","689,305.0","733,571.0","801,582.0","856,892.0","915,985.0","920,166.0","1,041,919.0","1,044,602.0","873,079.0","997,904.0","1,041,337.0","1,150,182.0","1,118,057.0","1,146,294.0","1,209,048.0","1,191,328.0","1,178,408.0","1,251,343.0","1,263,574.0","1,224,859.0","982,303.0","1,104,260.0","1,157,839.0","1,168,229.0","....."
"33","14","        Net dividends","A449RC1","20,244.0","20,428.0","20,204.0","20,736.0","20,060.0","20,528.0","20,216.0","20,680.0","21,248.0","19,728.0","21,284.0","19,088.0","22,224.0","22,080.0","21,976.0","21,488.0","21,980.0","22,996.0","23,860.0","23,592.0","22,304.0","25,180.0","24,032.0","22,300.0","26,736.0","26,008.0","25,860.0","27,012.0","26,004.0","30,112.0","31,392.0","32,712.0","31,752.0","32,476.0","34,060.0","36,472.0","37,256.0","36,456.0","41,384.0","43,340.0","42,324.0","42,320.0","39,592.0","41,680.0","40,932.0","54,376.0","45,376.0","48,604.0","53,548.0","57,116.0","60,588.0","61,992.0","66,253.0","53,794.0","59,435.0","65,842.0","70,997.0","68,596.0","71,468.0","74,216.0","78,001.0","78,498.0","79,452.0","78,110.0","81,163.0","90,493.0","84,150.0","87,030.0","85,742.0","92,056.0","85,942.0","89,449.0","93,896.0","92,355.0","93,760.0","102,417.0","85,788.0","93,396.0","112,080.0","100,837.0","126,138.0","126,359.0","130,772.0","122,227.0","145,804.0","141,223.0","143,194.0","146,131.0","149,670.0","157,232.0","156,680.0","161,163.0","153,650.0","158,891.0","160,894.0","172,494.0","179,468.0","180,303.0","184,209.0","194,972.0","190,176.0","199,998.0","195,682.0","205,372.0","212,487.0","215,613.0","235,165.0","241,448.0","249,018.0","254,918.0","269,143.0","279,468.0","281,422.0","284,445.0","293,640.0","309,461.0","310,472.0","317,947.0","312,494.0","318,295.0","306,733.0","308,867.0","290,569.0","319,311.0","344,117.0","362,910.0","372,735.0","342,013.0","328,897.0","311,542.0","340,352.0","338,847.0","343,765.0","356,558.0","337,983.0","370,809.0","342,175.0","426,546.0","402,447.0","436,344.0","470,592.0","466,158.0","465,683.0","604,651.0","457,069.0","406,261.0","249,865.0","165,467.0","583,346.0","592,942.0","656,427.0","759,703.0","662,411.0","666,693.0","695,698.0","689,114.0","641,225.0","645,924.0","628,810.0","596,444.0","570,843.0","490,065.0","378,337.0","386,725.0","418,890.0","410,887.0","462,760.0","477,598.0","515,160.0","536,579.0","557,925.0","585,381.0","597,951.0","605,454.0","641,609.0","876,102.0","697,548.0","936,535.0","816,646.0","856,091.0","740,444.0","714,197.0","709,901.0","734,044.0","....."
"34","15","        Undistributed profits with IVA and CCAdj","W274RC1","35,511.0","33,040.0","31,326.0","25,888.0","22,935.0","25,909.0","25,155.0","22,062.0","30,074.0","32,482.0","34,484.0","40,118.0","40,062.0","41,582.0","44,315.0","47,621.0","49,296.0","44,001.0","44,172.0","44,177.0","39,037.0","33,425.0","25,903.0","29,622.0","33,362.0","42,791.0","52,326.0","56,230.0","66,475.0","61,275.0","62,067.0","59,972.0","64,419.0","78,871.0","89,075.0","81,794.0","77,750.0","96,971.0","94,944.0","95,265.0","89,492.0","86,110.0","80,912.0","74,981.0","59,270.0","38,594.0","51,185.0","65,258.0","69,550.0","73,576.0","83,618.0","73,916.0","58,244.0","80,368.0","74,498.0","64,651.0","76,506.0","92,512.0","96,510.0","105,446.0","120,100.0","120,397.0","125,222.0","135,348.0","132,488.0","124,142.0","146,673.0","121,799.0","106,516.0","89,725.0","82,959.0","68,511.0","71,956.0","89,271.0","106,961.0","99,511.0","126,673.0","121,308.0","99,847.0","125,129.0","75,392.0","80,480.0","78,736.0","64,066.0","54,949.0","72,179.0","43,130.0","35,956.0","78,502.0","82,781.0","85,249.0","73,794.0","96,168.0","93,581.0","87,028.0","91,263.0","60,854.0","86,028.0","97,207.0","113,093.0","141,789.0","143,564.0","162,464.0","164,184.0","145,864.0","162,107.0","179,313.0","176,929.0","197,675.0","195,203.0","184,993.0","180,040.0","212,283.0","217,354.0","234,396.0","218,171.0","140,859.0","135,704.0","152,455.0","123,708.0","164,834.0","155,572.0","150,431.0","101,451.0","53,318.0","17,746.0","3,300.0","-16,413.0","29,496.0","74,179.0","59,634.0","38,426.0","168,153.0","191,739.0","220,910.0","234,378.0","264,226.0","215,283.0","262,385.0","234,514.0","277,285.0","305,196.0","324,340.0","174,970.0","331,492.0","411,052.0","568,826.0","715,032.0","337,030.0","326,385.0","290,081.0","122,017.0","107,737.0","139,325.0","15,275.0","-55,942.0","-31,193.0","-41,159.0","-9,639.0","-153,354.0","118,462.0","243,506.0","423,245.0","470,167.0","497,095.0","509,279.0","579,159.0","567,004.0","357,919.0","461,325.0","483,412.0","564,801.0","520,106.0","540,840.0","567,439.0","315,226.0","480,860.0","314,808.0","446,928.0","368,768.0","241,859.0","390,063.0","447,938.0","434,185.0","....."
"35","16","    Gross value added of financial corporate business \1\","A454RC1","34,806.0","35,736.0","36,594.0","37,668.0","38,501.0","38,475.0","39,939.0","40,849.0","41,408.0","42,319.0","44,009.0","44,501.0","46,206.0","47,213.0","47,020.0","48,437.0","49,227.0","50,884.0","52,086.0","54,504.0","56,203.0","58,599.0","61,935.0","62,826.0","66,384.0","66,750.0","67,579.0","69,787.0","70,812.0","71,772.0","73,500.0","75,867.0","78,961.0","83,483.0","87,475.0","91,943.0","95,495.0","102,069.0","106,209.0","109,933.0","110,028.0","113,501.0","115,847.0","119,092.0","123,643.0","124,877.0","127,976.0","137,591.0","143,283.0","145,504.0","148,372.0","150,056.0","154,221.0","160,521.0","166,982.0","176,269.0","180,747.0","186,239.0","187,968.0","194,757.0","201,150.0","207,479.0","211,316.0","219,002.0","232,183.0","237,169.0","237,800.0","237,991.0","250,573.0","249,053.0","244,353.0","244,512.0","249,541.0","259,679.0","265,287.0","267,116.0","260,887.0","272,799.0","283,075.0","290,434.0","301,689.0","307,690.0","313,130.0","310,437.0","316,513.0","319,875.0","317,967.0","309,718.0","327,662.0","330,245.0","334,410.0","336,995.0","369,586.0","371,581.0","372,204.0","380,288.0","374,615.0","387,449.0","392,498.0","411,936.0","393,766.0","394,891.0","411,008.0","411,546.0","424,424.0","439,835.0","453,566.0","452,286.0","474,199.0","486,069.0","489,891.0","485,874.0","516,731.0","531,848.0","551,861.0","580,336.0","596,276.0","608,754.0","618,963.0","624,591.0","631,789.0","627,149.0","650,950.0","672,631.0","703,948.0","704,811.0","723,574.0","724,794.0","819,187.0","764,072.0","720,049.0","715,901.0","758,086.0","782,770.0","784,759.0","794,138.0","791,617.0","807,890.0","830,480.0","849,353.0","820,056.0","841,748.0","871,619.0","905,764.0","926,240.0","904,357.0","982,642.0","994,226.0","1,015,665.0","1,050,314.0","1,035,720.0","1,051,350.0","991,374.0","1,006,833.0","1,004,230.0","938,172.0","952,976.0","935,786.0","798,072.0","655,845.0","879,961.0","971,764.0","1,011,534.0","993,104.0","937,445.0","941,477.0","1,021,241.0","1,086,707.0","1,005,920.0","992,111.0","997,935.0","1,082,020.0","1,076,501.0","1,082,290.0","1,148,808.0","1,177,216.0","1,155,227.0","1,214,651.0","1,265,020.0","1,290,454.0","1,229,613.0","1,282,064.0","1,366,471.0","1,317,744.0","....."
"36","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","541,991.0","551,250.0","560,035.0","565,056.0","564,056.0","572,833.0","578,635.0","575,805.0","601,458.0","612,380.0","622,213.0","636,069.0","662,030.0","675,181.0","690,998.0","715,583.0","746,281.0","758,844.0","774,872.0","795,384.0","805,639.0","824,412.0","840,137.0","850,029.0","852,754.0","877,421.0","918,474.0","944,707.0","988,365.0","1,002,701.0","1,023,968.0","1,044,076.0","1,082,078.0","1,133,778.0","1,175,078.0","1,199,130.0","1,226,001.0","1,298,116.0","1,323,383.0","1,368,955.0","1,404,749.0","1,433,604.0","1,465,358.0","1,497,942.0","1,530,454.0","1,531,067.0","1,577,321.0","1,658,051.0","1,724,817.0","1,766,798.0","1,825,688.0","1,836,264.0","1,828,957.0","1,854,798.0","1,868,723.0","1,864,583.0","1,895,519.0","1,955,068.0","2,012,796.0","2,078,623.0","2,165,313.0","2,209,531.0","2,243,583.0","2,283,684.0","2,313,360.0","2,347,185.0","2,399,454.0","2,418,119.0","2,436,563.0","2,444,064.0","2,469,180.0","2,511,526.0","2,553,461.0","2,613,093.0","2,674,342.0","2,728,960.0","2,786,206.0","2,847,199.0","2,895,764.0","2,968,878.0","2,980,386.0","3,004,094.0","3,035,513.0","3,063,171.0","3,111,005.0","3,169,613.0","3,180,554.0","3,183,814.0","3,191,244.0","3,219,544.0","3,246,065.0","3,270,327.0","3,317,076.0","3,360,853.0","3,381,340.0","3,449,312.0","3,432,789.0","3,513,367.0","3,548,771.0","3,646,169.0","3,697,113.0","3,791,376.0","3,848,793.0","3,928,832.0","3,957,439.0","3,998,829.0","4,080,545.0","4,128,658.0","4,190,500.0","4,264,045.0","4,326,331.0","4,403,700.0","4,482,969.0","4,556,193.0","4,660,727.0","4,733,770.0","4,755,086.0","4,833,535.0","4,927,369.0","4,978,799.0","5,082,807.0","5,135,010.0","5,178,340.0","5,283,468.0","5,449,527.0","5,493,146.0","5,560,954.0","5,548,297.0","5,454,809.0","5,501,789.0","5,482,288.0","5,445,864.0","5,478,996.0","5,524,491.0","5,544,485.0","5,607,545.0","5,599,119.0","5,673,418.0","5,770,424.0","5,854,838.0","5,946,333.0","6,066,599.0","6,189,892.0","6,228,859.0","6,364,469.0","6,493,066.0","6,538,322.0","6,732,741.0","6,879,637.0","6,927,011.0","7,061,274.0","7,084,264.0","7,179,420.0","7,243,373.0","7,165,073.0","7,227,748.0","7,214,755.0","7,236,018.0","7,370,930.0","7,205,371.0","6,840,077.0","6,803,148.0","6,811,126.0","6,984,830.0","7,069,760.0","7,189,126.0","7,343,276.0","7,352,814.0","7,412,400.0","7,578,334.0","7,671,337.0","7,707,224.0","7,942,922.0","8,016,793.0","8,007,943.0","8,153,591.0","8,190,505.0","8,283,218.0","8,314,210.0","8,360,134.0","8,385,631.0","8,554,851.0","8,683,260.0","8,788,986.0","....."
"37","18","Consumption of fixed capital","B456RC1","51,367.0","52,759.0","54,180.0","55,630.0","57,109.0","58,561.0","59,986.0","61,383.0","62,754.0","64,093.0","65,402.0","66,679.0","67,926.0","69,329.0","70,890.0","72,607.0","74,482.0","76,711.0","79,295.0","82,233.0","85,525.0","89,186.0","93,214.0","97,611.0","102,375.0","106,420.0","109,747.0","112,354.0","114,243.0","116,610.0","119,456.0","122,779.0","126,580.0","130,492.0","134,516.0","138,652.0","142,898.0","147,498.0","152,452.0","157,759.0","163,420.0","169,294.0","175,381.0","181,680.0","188,193.0","195,065.0","202,296.0","209,887.0","217,837.0","225,516.0","232,923.0","240,060.0","246,926.0","252,454.0","256,644.0","259,495.0","261,009.0","263,057.0","265,640.0","268,758.0","272,411.0","276,489.0","280,991.0","285,917.0","291,268.0","296,491.0","301,588.0","306,557.0","311,399.0","315,925.0","320,135.0","324,030.0","327,609.0","331,874.0","336,824.0","342,461.0","348,784.0","354,875.0","360,733.0","366,359.0","371,753.0","377,232.0","382,795.0","388,444.0","394,178.0","399,981.0","405,854.0","411,795.0","417,807.0","422,871.0","426,988.0","430,159.0","432,382.0","435,419.0","439,271.0","443,936.0","449,415.0","455,018.0","460,746.0","466,597.0","472,573.0","479,844.0","488,412.0","498,275.0","509,434.0","519,602.0","528,780.0","536,967.0","544,164.0","552,331.0","561,467.0","571,574.0","582,650.0","593,385.0","603,780.0","613,833.0","623,545.0","633,301.0","643,102.0","652,947.0","662,837.0","675,008.0","689,462.0","706,197.0","725,215.0","739,479.0","748,988.0","753,742.0","770,474.0","783,802.0","790,336.0","796,699.0","799,845.0","801,817.0","806,901.0","810,109.0","811,369.0","814,897.0","820,280.0","825,261.0","834,534.0","843,800.0","853,984.0","868,578.0","885,174.0","901,071.0","916,500.0","936,935.0","953,461.0","970,487.0","987,294.0","1,006,278.0","1,023,362.0","1,035,817.0","1,045,565.0","1,056,312.0","1,072,302.0","1,086,948.0","1,104,253.0","1,112,288.0","1,104,967.0","1,091,407.0","1,084,095.0","1,087,418.0","1,087,788.0","1,091,621.0","1,095,052.0","1,103,859.0","1,118,789.0","1,134,989.0","1,147,353.0","1,155,734.0","1,168,277.0","1,180,336.0","1,189,202.0","1,197,449.0","1,210,992.0","1,223,700.0","1,235,648.0","1,248,908.0","1,263,054.0","1,276,114.0","1,289,092.0","1,300,160.0","1,312,510.0"
"38","19","Net value added","A457RC1","490,624.0","498,491.0","505,855.0","509,426.0","506,947.0","514,272.0","518,649.0","514,422.0","538,704.0","548,287.0","556,811.0","569,390.0","594,104.0","605,852.0","620,108.0","642,976.0","671,799.0","682,133.0","695,577.0","713,151.0","720,114.0","735,226.0","746,923.0","752,418.0","750,379.0","771,001.0","808,727.0","832,353.0","874,122.0","886,091.0","904,512.0","921,297.0","955,498.0","1,003,286.0","1,040,562.0","1,060,478.0","1,083,103.0","1,150,618.0","1,170,931.0","1,211,196.0","1,241,329.0","1,264,310.0","1,289,977.0","1,316,262.0","1,342,261.0","1,336,002.0","1,375,025.0","1,448,164.0","1,506,980.0","1,541,282.0","1,592,765.0","1,596,204.0","1,582,031.0","1,602,344.0","1,612,079.0","1,605,088.0","1,634,510.0","1,692,011.0","1,747,156.0","1,809,865.0","1,892,902.0","1,933,042.0","1,962,592.0","1,997,767.0","2,022,092.0","2,050,694.0","2,097,866.0","2,111,562.0","2,125,164.0","2,128,139.0","2,149,045.0","2,187,496.0","2,225,852.0","2,281,219.0","2,337,518.0","2,386,499.0","2,437,422.0","2,492,324.0","2,535,031.0","2,602,519.0","2,608,633.0","2,626,862.0","2,652,718.0","2,674,727.0","2,716,827.0","2,769,632.0","2,774,700.0","2,772,019.0","2,773,437.0","2,796,673.0","2,819,077.0","2,840,168.0","2,884,694.0","2,925,434.0","2,942,069.0","3,005,376.0","2,983,374.0","3,058,349.0","3,088,025.0","3,179,572.0","3,224,540.0","3,311,532.0","3,360,381.0","3,430,557.0","3,448,005.0","3,479,227.0","3,551,765.0","3,591,691.0","3,646,336.0","3,711,714.0","3,764,864.0","3,832,126.0","3,900,319.0","3,962,808.0","4,056,947.0","4,119,937.0","4,131,541.0","4,200,234.0","4,284,267.0","4,325,852.0","4,419,970.0","4,460,002.0","4,488,878.0","4,577,271.0","4,724,312.0","4,753,667.0","4,811,966.0","4,794,555.0","4,684,335.0","4,717,987.0","4,691,952.0","4,649,165.0","4,679,151.0","4,722,674.0","4,737,584.0","4,797,436.0","4,787,750.0","4,858,521.0","4,950,144.0","5,029,577.0","5,111,799.0","5,222,799.0","5,335,908.0","5,360,281.0","5,479,295.0","5,591,995.0","5,621,822.0","5,795,806.0","5,926,176.0","5,956,524.0","6,073,980.0","6,077,986.0","6,156,058.0","6,207,556.0","6,119,508.0","6,171,436.0","6,142,453.0","6,149,070.0","6,266,677.0","6,093,083.0","5,735,110.0","5,711,741.0","5,727,031.0","5,897,412.0","5,981,972.0","6,097,505.0","6,248,224.0","6,248,955.0","6,293,611.0","6,443,345.0","6,523,984.0","6,551,490.0","6,774,645.0","6,836,457.0","6,818,741.0","6,956,142.0","6,979,513.0","7,059,518.0","7,078,562.0","7,111,226.0","7,122,577.0","7,278,737.0","7,394,168.0","7,488,826.0","....."
"39","20","  Compensation of employees","A460RC1","343,316.0","352,192.0","360,757.0","367,991.0","371,143.0","373,055.0","377,110.0","376,631.0","386,514.0","393,410.0","398,684.0","406,148.0","425,589.0","434,899.0","442,715.0","456,490.0","477,434.0","489,283.0","500,354.0","513,326.0","525,060.0","537,993.0","551,669.0","557,011.0","552,247.0","558,164.0","574,122.0","591,549.0","617,708.0","631,575.0","647,205.0","663,528.0","688,134.0","713,982.0","734,785.0","756,401.0","785,120.0","818,723.0","842,736.0","871,419.0","906,062.0","928,241.0","955,191.0","980,110.0","1,003,724.0","1,014,314.0","1,032,872.0","1,071,854.0","1,108,084.0","1,129,345.0","1,154,295.0","1,167,675.0","1,168,746.0","1,178,937.0","1,190,142.0","1,195,216.0","1,206,532.0","1,232,304.0","1,261,151.0","1,300,455.0","1,343,407.0","1,375,941.0","1,404,333.0","1,429,149.0","1,451,091.0","1,475,102.0","1,500,511.0","1,533,650.0","1,547,906.0","1,562,698.0","1,586,095.0","1,616,005.0","1,638,636.0","1,665,788.0","1,696,641.0","1,740,765.0","1,768,306.0","1,810,770.0","1,843,417.0","1,878,738.0","1,902,152.0","1,920,290.0","1,941,805.0","1,975,041.0","2,002,339.0","2,034,919.0","2,056,832.0","2,056,003.0","2,036,241.0","2,058,125.0","2,081,832.0","2,108,286.0","2,143,931.0","2,177,811.0","2,199,098.0","2,233,857.0","2,221,176.0","2,261,229.0","2,281,614.0","2,320,044.0","2,338,220.0","2,390,465.0","2,414,460.0","2,451,545.0","2,483,169.0","2,507,268.0","2,538,938.0","2,568,849.0","2,599,726.0","2,648,568.0","2,690,614.0","2,731,902.0","2,785,746.0","2,829,970.0","2,882,339.0","2,952,150.0","3,011,325.0","3,067,190.0","3,121,820.0","3,174,993.0","3,242,689.0","3,273,390.0","3,319,399.0","3,404,421.0","3,541,164.0","3,560,497.0","3,634,661.0","3,652,989.0","3,615,546.0","3,595,211.0","3,568,067.0","3,559,455.0","3,520,132.0","3,546,802.0","3,548,358.0","3,552,570.0","3,530,276.0","3,572,290.0","3,613,447.0","3,666,701.0","3,677,521.0","3,739,120.0","3,806,647.0","3,827,729.0","3,863,633.0","3,899,088.0","3,957,745.0","4,000,794.0","4,088,141.0","4,107,120.0","4,127,797.0","4,194,325.0","4,283,764.0","4,294,510.0","4,302,213.0","4,340,861.0","4,373,001.0","4,361,497.0","4,360,873.0","4,336,533.0","4,081,342.0","4,091,032.0","4,079,073.0","4,102,257.0","4,077,662.0","4,148,061.0","4,188,777.0","4,220,292.0","4,335,316.0","4,350,343.0","4,395,052.0","4,372,745.0","4,550,037.0","4,562,589.0","4,576,949.0","4,682,110.0","4,695,805.0","4,740,452.0","4,763,159.0","4,798,119.0","4,895,613.0","4,930,481.0","4,993,352.0","5,061,749.0","5,126,177.0"
"40","21","    Wages and salaries","B461RC1","307,367.0","315,418.0","323,093.0","329,499.0","332,189.0","333,576.0","337,283.0","336,704.0","344,955.0","351,241.0","355,781.0","361,960.0","377,087.0","385,100.0","392,192.0","405,132.0","420,565.0","431,934.0","442,443.0","454,328.0","463,631.0","474,930.0","486,330.0","489,241.0","481,858.0","485,311.0","498,817.0","514,253.0","535,724.0","547,836.0","560,870.0","573,914.0","591,810.0","613,540.0","631,111.0","649,815.0","669,804.0","699,779.0","720,689.0","745,577.0","772,093.0","790,564.0","813,298.0","834,074.0","852,610.0","860,155.0","875,528.0","910,402.0","936,878.0","955,335.0","977,021.0","987,796.0","984,808.0","992,159.0","1,000,274.0","1,002,571.0","1,007,349.0","1,028,989.0","1,053,865.0","1,088,775.0","1,121,346.0","1,149,824.0","1,174,183.0","1,195,013.0","1,212,130.0","1,231,185.0","1,251,101.0","1,277,620.0","1,285,095.0","1,294,594.0","1,312,449.0","1,337,120.0","1,356,561.0","1,379,711.0","1,406,312.0","1,445,455.0","1,467,294.0","1,503,844.0","1,530,239.0","1,558,086.0","1,576,947.0","1,588,511.0","1,603,990.0","1,630,958.0","1,651,961.0","1,681,264.0","1,700,303.0","1,697,980.0","1,676,491.0","1,693,052.0","1,709,731.0","1,727,631.0","1,750,877.0","1,775,526.0","1,789,568.0","1,819,521.0","1,803,437.0","1,837,761.0","1,853,855.0","1,886,748.0","1,897,376.0","1,944,847.0","1,966,848.0","2,002,200.0","2,037,650.0","2,061,216.0","2,090,842.0","2,117,814.0","2,145,060.0","2,189,179.0","2,227,546.0","2,265,770.0","2,317,291.0","2,356,804.0","2,401,846.0","2,461,016.0","2,512,747.0","2,558,930.0","2,605,740.0","2,653,074.0","2,714,685.0","2,740,604.0","2,778,577.0","2,850,531.0","2,964,915.0","2,975,644.0","3,039,459.0","3,053,517.0","3,019,452.0","3,002,581.0","2,980,062.0","2,972,917.0","2,920,979.0","2,942,954.0","2,944,236.0","2,947,707.0","2,908,794.0","2,943,126.0","2,976,758.0","3,020,275.0","3,030,368.0","3,080,589.0","3,135,643.0","3,152,831.0","3,183,656.0","3,212,560.0","3,260,380.0","3,295,475.0","3,387,032.0","3,402,615.0","3,419,593.0","3,474,219.0","3,554,349.0","3,563,168.0","3,569,489.0","3,601,206.0","3,631,867.0","3,622,414.0","3,621,901.0","3,601,900.0","3,371,743.0","3,379,667.0","3,369,887.0","3,388,847.0","3,379,668.0","3,437,389.0","3,470,772.0","3,496,612.0","3,599,891.0","3,612,228.0","3,648,933.0","3,630,619.0","3,791,216.0","3,801,549.0","3,813,370.0","3,899,937.0","3,911,910.0","3,948,688.0","3,967,392.0","3,996,190.0","4,083,897.0","4,113,193.0","4,168,369.0","4,228,298.0","4,283,431.0"
