"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"52","32","     Imputations (188+202)","Y523RC1","23,586.0","25,469.0","27,357.0","30,305.0","27,817.0","27,754.0","34,309.0","32,329.0","35,832.0","40,088.0","45,526.0","50,931.0","59,414.0","70,018.0","82,831.0","85,309.0","100,872.0","117,634.0","129,002.0","153,167.0","185,543.0","210,112.0","223,101.0","263,921.0","278,483.0","286,448.0","283,780.0","297,965.0","313,730.0","341,341.0","382,193.0","422,551.0","450,021.0","443,293.0","447,387.0","519,658.0","555,824.0","569,344.0","596,576.0","569,827.0","565,789.0","567,069.0","571,148.0","583,612.0","612,468.0"
"53","33","     Excluding imputations (31-32)","A2100C1","562,408.0","599,625.0","639,652.0","703,337.0","787,235.0","862,588.0","915,909.0","1,018,942.0","1,133,215.0","1,280,236.0","1,435,580.0","1,575,396.0","1,736,010.0","1,824,493.0","1,931,249.0","2,132,306.0","2,288,308.0","2,427,992.0","2,596,664.0","2,797,740.0","2,958,308.0","3,134,865.0","3,231,648.0","3,410,176.0","3,545,508.0","3,727,696.0","3,922,959.0","4,128,270.0","4,405,365.0","4,741,045.0","5,035,286.0","5,440,595.0","5,603,730.0","5,706,417.0","5,925,318.0","6,229,119.0","6,542,093.0","6,944,354.0","7,312,191.0","7,520,130.0","7,229,866.0","7,402,413.0","7,705,964.0","8,031,333.0","8,241,166.0"
"54","34","  Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,602.0","808,004.0","863,941.0","934,530.0","991,945.0","1,034,562.0","1,041,917.0","1,026,146.0","1,057,110.0","1,102,626.0","1,132,014.0","1,162,446.0"
"55","35","    Imputations (157)","A2094C1","12,702.0","14,426.0","15,842.0","17,092.0","18,471.0","19,781.0","21,758.0","24,065.0","26,596.0","27,221.0","28,055.0","30,579.0","33,868.0","36,962.0","39,404.0","42,291.0","44,867.0","47,475.0","51,785.0","55,192.0","59,757.0","63,527.0","68,192.0","70,472.0","70,348.0","73,741.0","73,846.0","76,174.0","78,866.0","80,231.0","82,987.0","85,663.0","90,487.0","97,372.0","103,148.0","109,403.0","117,548.0","125,093.0","134,393.0","137,631.0","144,655.0","144,569.0","145,952.0","147,517.0","148,369.0"
"56","36","    Excluding imputations (34-35)","A2095C1","71,154.0","76,987.0","84,651.0","90,836.0","98,749.0","105,121.0","113,534.0","122,323.0","133,068.0","143,677.0","152,046.0","169,751.0","201,776.0","203,971.0","223,877.0","247,482.0","263,266.0","275,898.0","295,760.0","319,272.0","339,110.0","361,463.0","388,899.0","412,904.0","432,777.0","471,507.0","484,057.0","504,580.0","532,749.0","559,242.0","590,598.0","622,893.0","637,203.0","665,230.0","704,856.0","754,538.0","816,982.0","866,852.0","900,169.0","904,286.0","881,491.0","912,541.0","956,674.0","984,497.0","1,014,077.0"
"57","37","  Less: Subsidies","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,387.0","60,910.0","51,467.0","54,584.0","52,558.0","58,348.0","55,861.0","60,065.0","58,032.0","60,163.0"
"58","38","    Imputations (158)","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","105.0","99.0","131.0","223.0","253.0","288.0","270.0","276.0","180.0","172.0","159.0","181.0","208.0","216.0","298.0","309.0","500.0","261.0","265.0","309.0","338.0","463.0","417.0","533.0","256.0","581.0","1,388.0","4,041.0","2,083.0","7,940.0","3,588.0","1,981.0","1,511.0","905.0","905.0","1,277.0"
"59","39","    Excluding imputations (37-38)","A2096C1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","6,979.0","8,831.0","8,432.0","9,669.0","11,250.0","14,764.0","21,016.0","20,795.0","21,084.0","24,715.0","30,110.0","29,343.0","27,247.0","26,785.0","27,272.0","29,790.0","36,372.0","32,023.0","34,551.0","34,969.0","33,501.0","36,030.0","44,746.0","45,423.0","58,189.0","41,134.0","48,476.0","44,999.0","56,869.0","49,384.0","46,644.0","48,970.0","56,367.0","54,350.0","59,160.0","57,127.0","58,886.0"
"60","40","  Net operating surplus","W271RC1","228,094.0","222,030.0","246,587.0","279,475.0","317,322.0","323,328.0","357,139.0","405,382.0","456,750.0","526,070.0","563,553.0","575,706.0","669,614.0","683,489.0","767,374.0","921,407.0","982,878.0","987,141.0","1,058,783.0","1,174,846.0","1,242,112.0","1,258,430.0","1,270,185.0","1,341,287.0","1,432,351.0","1,589,495.0","1,720,891.0","1,895,859.0","2,059,368.0","2,153,557.0","2,251,412.0","2,344,152.0","2,410,111.0","2,517,303.0","2,665,425.0","2,885,482.0","3,175,712.0","3,482,969.0","3,307,044.0","3,176,491.0","3,211,579.0","3,562,841.0","3,785,943.0","4,153,217.0","4,396,812.0"
"61","41","    Imputations (162+163+187-189-191+194-195+199+211+214)","W517RC1","43,762.0","48,403.0","54,017.0","59,349.0","67,848.0","77,963.0","84,635.0","94,720.0","102,238.0","121,563.0","135,308.0","149,319.0","165,708.0","180,399.0","209,812.0","223,639.0","254,371.0","262,425.0","270,713.0","287,761.0","295,739.0","308,112.0","329,080.0","353,677.0","395,132.0","434,152.0","465,902.0","481,476.0","506,886.0","543,475.0","575,701.0","627,291.0","663,188.0","717,796.0","764,961.0","775,125.0","821,967.0","847,739.0","851,082.0","936,152.0","956,697.0","1,000,905.0","1,029,450.0","1,038,634.0","1,067,457.0"
"62","42","    Excluding imputations (40-41)","W518RC1","184,332.0","173,627.0","192,570.0","220,126.0","249,474.0","245,365.0","272,504.0","310,662.0","354,512.0","404,507.0","428,245.0","426,387.0","503,906.0","503,090.0","557,562.0","697,768.0","728,507.0","724,716.0","788,070.0","887,085.0","946,373.0","950,318.0","941,105.0","987,610.0","1,037,219.0","1,155,343.0","1,254,989.0","1,414,383.0","1,552,482.0","1,610,082.0","1,675,711.0","1,716,861.0","1,746,923.0","1,799,507.0","1,900,464.0","2,110,357.0","2,353,745.0","2,635,230.0","2,455,962.0","2,240,339.0","2,254,882.0","2,561,936.0","2,756,493.0","3,114,583.0","3,329,355.0"
"63","43","    Net interest and miscellaneous payments, domestic industries","W272RC1","34,091.0","41,201.0","45,502.0","50,255.0","59,516.0","75,436.0","87,462.0","89,567.0","104,647.0","119,959.0","143,638.0","187,369.0","234,962.0","273,368.0","289,556.0","336,178.0","360,564.0","385,935.0","398,673.0","428,198.0","483,716.0","489,147.0","450,637.0","422,771.0","412,974.0","416,034.0","436,595.0","447,914.0","493,738.0","557,809.0","575,661.0","667,591.0","677,833.0","592,896.0","557,449.0","510,145.0","632,153.0","758,143.0","880,736.0","916,383.0","760,855.0","670,577.0","655,249.0","657,719.0","669,608.0"
"64","44","      Imputations (214)","A2104C1","33,031.0","37,948.0","42,015.0","47,598.0","54,010.0","63,398.0","76,026.0","83,918.0","95,789.0","113,093.0","133,589.0","156,667.0","182,067.0","215,168.0","259,520.0","293,336.0","338,282.0","372,409.0","399,069.0","425,001.0","451,114.0","478,185.0","488,892.0","502,631.0","510,015.0","533,244.0","563,842.0","583,073.0","615,915.0","639,917.0","668,647.0","719,634.0","733,640.0","743,025.0","718,756.0","734,642.0","798,540.0","859,708.0","932,741.0","978,535.0","889,819.0","853,062.0","837,431.0","797,640.0","768,628.0"
"65","45","      Excluding imputations (43-44)","A2105C1","1,060.0","3,253.0","3,487.0","2,657.0","5,506.0","12,038.0","11,436.0","5,649.0","8,858.0","6,866.0","10,049.0","30,702.0","52,895.0","58,200.0","30,036.0","42,842.0","22,282.0","13,526.0","-396.0","3,197.0","32,602.0","10,962.0","-38,255.0","-79,860.0","-97,041.0","-117,210.0","-127,247.0","-135,159.0","-122,177.0","-82,108.0","-92,986.0","-52,043.0","-55,807.0","-150,129.0","-161,307.0","-224,497.0","-166,387.0","-101,565.0","-52,005.0","-62,152.0","-128,964.0","-182,485.0","-182,182.0","-139,921.0","-99,020.0"
"66","46","    Business current transfer payments (net)","B029RC1","4,798.0","4,357.0","4,157.0","4,779.0","5,740.0","6,788.0","9,036.0","9,136.0","8,081.0","10,374.0","12,752.0","13,997.0","16,913.0","19,316.0","21,681.0","29,158.0","34,060.0","35,961.0","33,294.0","32,755.0","38,266.0","39,179.0","38,889.0","39,719.0","39,389.0","40,714.0","44,965.0","52,649.0","50,061.0","64,079.0","67,813.0","85,315.0","99,145.0","80,663.0","76,259.0","81,350.0","93,908.0","82,591.0","98,560.0","114,370.0","124,876.0","128,464.0","131,524.0","106,665.0","120,581.0"
"67","47","      Imputations (162-197+198)","Y505RC1","6,966.0","7,773.0","9,842.0","10,088.0","10,925.0","12,884.0","13,584.0","16,870.0","20,350.0","20,166.0","16,634.0","11,791.0","3,940.0","-9,914.0","-20,579.0","8,362.0","-7,754.0","-31,129.0","-39,291.0","-44,999.0","-61,516.0","-71,699.0","-76,642.0","-83,485.0","-83,941.0","-89,049.0","-101,946.0","-132,637.0","-143,874.0","-163,461.0","-188,186.0","-205,940.0","-204,173.0","-174,003.0","-132,215.0","-168,047.0","-173,237.0","-203,521.0","-234,375.0","-220,601.0","-208,141.0","-196,703.0","-203,265.0","-237,817.0","-274,494.0"
"68","48","      Excluding imputations (46-47)","W530RC1","-2,168.0","-3,416.0","-5,685.0","-5,309.0","-5,185.0","-6,096.0","-4,548.0","-7,734.0","-12,269.0","-9,792.0","-3,882.0","2,206.0","12,973.0","29,230.0","42,260.0","20,796.0","41,814.0","67,090.0","72,585.0","77,754.0","99,782.0","110,878.0","115,531.0","123,204.0","123,330.0","129,763.0","146,911.0","185,286.0","193,935.0","227,540.0","255,999.0","291,255.0","303,318.0","254,666.0","208,474.0","249,397.0","267,145.0","286,112.0","332,935.0","334,971.0","333,017.0","325,167.0","334,789.0","344,482.0","395,075.0"
"69","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,260,187.0","1,336,625.0"
"70","50","      Imputations (199+211)","A2101C1","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,056.0","3,573.0","3,312.0","3,102.0","2,886.0","2,930.0","2,401.0","3,254.0","3,014.0","3,382.0","2,755.0","2,989.0","3,062.0","2,849.0","3,226.0","2,780.0","2,819.0","3,024.0","3,091.0","3,712.0","4,303.0","3,660.0","2,259.0","661.0","152.0","794.0","785.0","1,215.0","1,290.0"
"71","51","      Excluding imputations (49-50)","A2102C1","76,253.0","77,041.0","83,040.0","94,083.0","111,160.0","110,834.0","116,755.0","128,845.0","141,691.0","162,888.0","176,188.0","169,228.0","177,622.0","169,272.0","183,394.0","225,263.0","237,996.0","252,906.0","283,156.0","322,741.0","339,052.0","351,519.0","353,555.0","399,108.0","427,496.0","456,118.0","481,701.0","544,382.0","584,792.0","641,345.0","697,212.0","754,991.0","833,966.0","868,013.0","896,976.0","958,341.0","974,654.0","1,050,025.0","976,911.0","1,025,813.0","972,844.0","1,031,899.0","1,142,882.0","1,258,972.0","1,335,335.0"
"72","52","    Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","532,971.0","595,826.0"
"73","53","      Imputations (163)","B1156C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","7,048.0","7,139.0","5,727.0","5,631.0","5,770.0","2,147.0","1,260.0","-1,181.0","-4,181.0","-9,459.0","-9,849.0","-3,586.0","-3,339.0","-68.0","5,803.0","19,815.0","42,601.0","62,165.0","68,533.0","82,712.0","84,954.0","101,291.0","115,189.0","120,852.0","134,778.0","146,301.0","165,348.0","180,194.0","158,055.0","124,340.0","96,397.0","147,234.0","216,751.0","268,070.0","326,959.0","356,147.0","410,909.0"
"74","54","      Excluding imputations (52-53)","A2103C1","5,960.0","6,216.0","6,449.0","7,515.0","8,713.0","8,488.0","8,629.0","8,623.0","9,146.0","9,772.0","10,841.0","14,103.0","19,645.0","23,991.0","26,228.0","29,067.0","33,686.0","31,363.0","30,057.0","28,701.0","27,750.0","31,425.0","36,203.0","44,511.0","51,038.0","55,305.0","60,654.0","64,239.0","67,093.0","68,573.0","67,916.0","66,870.0","72,764.0","71,001.0","72,675.0","75,224.0","80,386.0","83,181.0","93,013.0","114,872.0","116,949.0","134,685.0","158,336.0","176,824.0","184,917.0"
"75","55","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","91,821.0","79,144.0","92,792.0","107,677.0","118,492.0","108,236.0","124,228.0","157,790.0","186,670.0","215,699.0","214,369.0","188,088.0","217,815.0","197,270.0","244,711.0","301,313.0","316,390.0","284,899.0","317,973.0","357,895.0","347,109.0","341,065.0","374,858.0","402,180.0","445,068.0","543,948.0","610,070.0","684,084.0","758,214.0","701,349.0","708,225.0","635,025.0","583,644.0","748,412.0","889,738.0","1,078,313.0","1,238,650.0","1,390,341.0","1,175,609.0","878,365.0","1,039,782.0","1,351,238.0","1,394,720.0","1,620,963.0","1,703,806.0"
"76","56","      Imputations (187-189+194-195+197-198)","Y674RC1","-10,501.0","-11,491.0","-12,812.0","-13,119.0","-11,347.0","-12,996.0","-19,375.0","-19,440.0","-23,321.0","-21,491.0","-23,792.0","-27,444.0","-28,811.0","-29,858.0","-34,417.0","-80,742.0","-76,142.0","-74,422.0","-84,971.0","-94,603.0","-95,585.0","-103,346.0","-94,060.0","-90,733.0","-79,244.0","-78,445.0","-70,377.0","-57,880.0","-56,524.0","-40,086.0","-25,464.0","-11,788.0","-5,120.0","-1,445.0","12,394.0","27,059.0","36,701.0","65,388.0","55,964.0","32,336.0","59,352.0","79,387.0","80,143.0","133,993.0","173,257.0"
"77","57","      Excluding imputations (55-56)","Y675RC1","102,322.0","90,635.0","105,604.0","120,796.0","129,839.0","121,232.0","143,603.0","177,230.0","209,991.0","237,190.0","238,161.0","215,532.0","246,626.0","227,128.0","279,128.0","382,055.0","392,532.0","359,321.0","402,944.0","452,498.0","442,694.0","444,411.0","468,918.0","492,913.0","524,312.0","622,393.0","680,447.0","741,964.0","814,738.0","741,435.0","733,689.0","646,813.0","588,764.0","749,857.0","877,344.0","1,051,254.0","1,201,949.0","1,324,953.0","1,119,645.0","846,029.0","980,430.0","1,271,851.0","1,314,577.0","1,486,970.0","1,530,549.0"
"78","58","      Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","379,095.0","454,782.0","474,260.0"
"79","59","      Profits after tax with inventory valuation adjustment and capital consumption adjustments","W273RC1","51,844.0","44,387.0","54,627.0","65,336.0","68,519.0","55,451.0","72,582.0","92,502.0","112,229.0","130,841.0","124,353.0","100,898.0","133,476.0","130,771.0","164,063.0","203,782.0","216,984.0","175,224.0","187,532.0","216,265.0","201,041.0","195,641.0","236,267.0","253,492.0","274,034.0","350,807.0","392,232.0","452,615.0","512,793.0","452,983.0","449,441.0","369,933.0","380,348.0","556,076.0","645,971.0","772,220.0","826,266.0","916,981.0","730,079.0","569,265.0","770,338.0","980,667.0","1,015,625.0","1,166,181.0","1,229,546.0"
"80","60","        Imputations (187-189+194-195+197-198)","Y519RC1","-10,501.0","-11,491.0","-12,812.0","-13,119.0","-11,347.0","-12,996.0","-19,375.0","-19,440.0","-23,321.0","-21,491.0","-23,792.0","-27,444.0","-28,811.0","-29,858.0","-34,417.0","-80,742.0","-76,142.0","-74,422.0","-84,971.0","-94,603.0","-95,585.0","-103,346.0","-94,060.0","-90,733.0","-79,244.0","-78,445.0","-70,377.0","-57,880.0","-56,524.0","-40,086.0","-25,464.0","-11,788.0","-5,120.0","-1,445.0","12,394.0","27,059.0","36,701.0","65,388.0","55,964.0","32,336.0","59,352.0","79,387.0","80,143.0","133,993.0","173,257.0"
"81","61","        Excluding imputations (59-60)","Y520RC1","62,345.0","55,878.0","67,439.0","78,455.0","79,866.0","68,447.0","91,957.0","111,942.0","135,550.0","152,332.0","148,145.0","128,342.0","162,287.0","160,629.0","198,480.0","284,524.0","293,126.0","249,646.0","272,503.0","310,868.0","296,626.0","298,987.0","330,327.0","344,225.0","353,278.0","429,252.0","462,609.0","510,495.0","569,317.0","493,069.0","474,905.0","381,721.0","385,468.0","557,521.0","633,577.0","745,161.0","789,565.0","851,593.0","674,115.0","536,929.0","710,986.0","901,280.0","935,482.0","1,032,188.0","1,056,289.0"
"82","62","        Net dividends","A449RC1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,331.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,186.0","161,482.0","184,738.0","197,807.0","226,178.0","263,137.0","292,242.0","314,802.0","306,370.0","355,444.0","329,910.0","352,279.0","401,878.0","501,771.0","319,666.0","648,104.0","678,479.0","628,101.0","456,493.0","442,534.0","548,762.0","680,279.0","826,705.0"
"83","63","          Imputations (196)","Y234RC1","2,037.0","2,351.0","2,662.0","2,961.0","3,463.0","4,220.0","4,673.0","5,259.0","6,630.0","8,281.0","9,943.0","10,932.0","13,010.0","15,361.0","17,310.0","19,678.0","22,274.0","23,232.0","24,992.0","25,950.0","29,441.0","32,716.0","36,223.0","39,593.0","42,554.0","46,375.0","50,567.0","55,679.0","59,294.0","59,677.0","60,474.0","60,033.0","60,019.0","60,992.0","64,878.0","77,400.0","90,710.0","105,559.0","121,936.0","129,725.0","118,043.0","115,574.0","116,406.0","127,658.0","140,687.0"
"84","64","          Excluding imputations (62-63)","Y676RC1","18,366.0","18,020.0","17,675.0","18,981.0","19,644.0","19,234.0","21,731.0","24,796.0","27,060.0","31,328.0","31,536.0","36,390.0","45,301.0","45,970.0","54,009.0","58,837.0","63,435.0","65,065.0","70,615.0","72,075.0","96,933.0","111,372.0","119,963.0","121,889.0","142,184.0","151,432.0","175,611.0","207,458.0","232,948.0","255,125.0","245,896.0","295,411.0","269,891.0","291,287.0","337,000.0","424,371.0","228,956.0","542,545.0","556,543.0","498,376.0","338,450.0","326,960.0","432,356.0","552,621.0","686,018.0"
"85","65","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","31,441.0","24,016.0","34,290.0","43,394.0","45,412.0","31,997.0","46,178.0","62,447.0","78,539.0","91,232.0","82,874.0","53,576.0","75,165.0","69,440.0","92,744.0","125,267.0","131,275.0","86,927.0","91,925.0","118,240.0","74,667.0","51,553.0","80,081.0","92,010.0","89,296.0","153,000.0","166,054.0","189,478.0","220,551.0","138,181.0","143,071.0","14,489.0","50,438.0","203,797.0","244,093.0","270,449.0","506,600.0","268,877.0","51,600.0","-58,836.0","313,845.0","538,133.0","466,863.0","485,902.0","402,841.0"
"86","66","          Imputations (187-189+194-195-196+197-198)","Y677RC1","-12,538.0","-13,842.0","-15,474.0","-16,080.0","-14,810.0","-17,216.0","-24,048.0","-24,699.0","-29,951.0","-29,772.0","-33,735.0","-38,376.0","-41,821.0","-45,219.0","-51,727.0","-100,420.0","-98,416.0","-97,654.0","-109,963.0","-120,553.0","-125,026.0","-136,062.0","-130,283.0","-130,326.0","-121,798.0","-124,820.0","-120,944.0","-113,559.0","-115,818.0","-99,763.0","-85,938.0","-71,821.0","-65,139.0","-62,437.0","-52,484.0","-50,341.0","-54,009.0","-40,171.0","-65,972.0","-97,389.0","-58,691.0","-36,187.0","-36,263.0","6,335.0","32,570.0"
"87","67","          Excluding imputations (65-66)","Y678RC1","43,979.0","37,858.0","49,764.0","59,474.0","60,222.0","49,213.0","70,226.0","87,146.0","108,490.0","121,004.0","116,609.0","91,952.0","116,986.0","114,659.0","144,471.0","225,687.0","229,691.0","184,581.0","201,888.0","238,793.0","199,693.0","187,615.0","210,364.0","222,336.0","211,094.0","277,820.0","286,998.0","303,037.0","336,369.0","237,944.0","229,009.0","86,310.0","115,577.0","266,234.0","296,577.0","320,790.0","560,609.0","309,048.0","117,572.0","38,553.0","372,536.0","574,320.0","503,126.0","479,567.0","370,271.0"
"88","68","    Current surplus of government enterprises","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-25,288.0","-29,634.0"
"89","69","      Imputations (-191)","Y514RC1","-900.0","-1,097.0","-1,373.0","-1,540.0","-1,645.0","-1,552.0","-983.0","-755.0","-429.0","-430.0","-100.0","333.0","684.0","937.0","1,172.0","880.0","1,110.0","1,453.0","2,443.0","2,846.0","2,179.0","2,110.0","2,686.0","2,195.0","2,687.0","2,855.0","3,095.0","3,219.0","3,353.0","2,965.0","2,289.0","1,753.0","1,244.0","894.0","-2,413.0","-2,435.0","-2,395.0","-1,836.0","-1,904.0","-2,013.0","-1,236.0","-3,705.0","-12,603.0","-12,544.0","-12,133.0"
"90","70","      Excluding imputations (68-69)","Y679RC1","905.0","-102.0","-325.0","384.0","-559.0","-1,131.0","-3,371.0","-1,951.0","-2,905.0","-2,417.0","-3,112.0","-5,384.0","-5,855.0","-4,731.0","-3,484.0","-2,255.0","197.0","510.0","-276.0","2,194.0","4,493.0","1,123.0","5,153.0","7,734.0","8,084.0","8,974.0","12,523.0","13,671.0","14,101.0","13,297.0","13,881.0","8,975.0","3,918.0","6,099.0","6,302.0","638.0","-4,002.0","-7,476.0","-14,537.0","-19,194.0","-19,394.0","-19,181.0","-11,909.0","-12,744.0","-17,501.0"
"91","71","  Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,530,185.0","2,627,240.0"
"92","72","    Imputations (164+167+212)","A2092C1","48,014.0","52,034.0","56,122.0","60,016.0","65,704.0","74,988.0","83,666.0","90,535.0","99,762.0","111,680.0","125,836.0","142,928.0","159,957.0","174,182.0","184,459.0","197,617.0","211,464.0","228,094.0","246,520.0","265,886.0","284,962.0","302,443.0","317,875.0","329,458.0","345,640.0","361,535.0","378,774.0","390,381.0","404,004.0","420,674.0","444,943.0","474,671.0","501,762.0","524,384.0","557,404.0","604,288.0","663,323.0","718,016.0","760,238.0","785,184.0","788,717.0","799,473.0","815,619.0","835,602.0","866,469.0"
"93","73","    Excluding imputations (71-72)","A2093C1","76,849.0","84,749.0","92,743.0","100,881.0","112,376.0","131,180.0","153,871.0","168,674.0","188,572.0","213,383.0","245,297.0","283,079.0","325,089.0","360,134.0","376,087.0","396,717.0","425,189.0","454,069.0","481,432.0","516,501.0","551,148.0","584,386.0","613,250.0","630,267.0","657,958.0","694,037.0","744,009.0","785,639.0","835,951.0","889,597.0","955,918.0","1,039,569.0","1,102,217.0","1,137,684.0","1,169,816.0","1,227,411.0","1,318,633.0","1,418,003.0","1,504,112.0","1,578,189.0","1,579,665.0","1,582,118.0","1,635,024.0","1,694,583.0","1,760,771.0"
"94",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","74","Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,086.0","1,654,209.0","1,859,470.0","2,077,948.0","2,316,805.0","2,595,890.0","2,778,836.0","2,969,720.0","3,281,266.0","3,515,857.0","3,725,099.0","3,955,336.0","4,275,344.0","4,618,234.0","4,904,461.0","5,071,112.0","5,410,782.0","5,646,765.0","5,934,716.0","6,276,468.0","6,661,901.0","7,075,002.0","7,587,688.0","7,983,820.0","8,632,760.0","8,987,097.0","9,149,524.0","9,486,646.0","10,048,250.0","10,609,312.0","11,388,999.0","11,994,863.0","12,429,623.0","12,087,462.0","12,429,341.0","13,201,979.0","13,887,720.0","14,166,910.0"
"96","75","  Imputations (163-158+170+181+188+195+196-197+198+199+203+204+205+206+211)","A2106C1","74,068.0","84,351.0","93,626.0","101,316.0","103,184.0","113,273.0","132,240.0","134,484.0","145,194.0","164,022.0","174,403.0","185,073.0","198,643.0","217,876.0","259,026.0","304,789.0","331,873.0","339,127.0","359,645.0","397,981.0","433,026.0","464,614.0","489,692.0","559,435.0","604,062.0","648,759.0","657,246.0","664,824.0","683,204.0","711,881.0","747,995.0","787,078.0","840,939.0","897,541.0","978,449.0","1,052,487.0","1,078,038.0","1,049,269.0","1,048,391.0","1,147,372.0","1,236,949.0","1,300,100.0","1,381,110.0","1,391,768.0","1,448,083.0"
