"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"47","28","  Less: Sales to other sectors","W089RC1","428.0","676.0","480.0","588.0","572.0","1,148.0","1,164.0","812.0","1,352.0","1,520.0","1,424.0","1,328.0","1,900.0","1,448.0","248.0","360.0","328.0","408.0","408.0","260.0","480.0","812.0","652.0","296.0","444.0","488.0","660.0","852.0","692.0","516.0","464.0","768.0","716.0","640.0","1,024.0","1,176.0","1,336.0","776.0","1,464.0","912.0","1,444.0","1,136.0","736.0","1,824.0","744.0","584.0","332.0","848.0","788.0","676.0","1,488.0","596.0","540.0","816.0","1,116.0","820.0","452.0","872.0","1,040.0","1,020.0","1,080.0","1,004.0","1,288.0","644.0","980.0","1,120.0","1,936.0","792.0","1,164.0","1,080.0","1,132.0","768.0","1,152.0","1,152.0","2,108.0","3,032.0","1,696.0","2,032.0","2,356.0","1,096.0","2,200.0","3,152.0","2,868.0","1,456.0","2,584.0","2,704.0","3,660.0","1,736.0","4,152.0","5,244.0","3,260.0","5,240.0","2,680.0","1,848.0","1,704.0","2,492.0","2,128.0","2,552.0","3,160.0","2,756.0","1,860.0","2,424.0","2,080.0","1,996.0","2,380.0","696.0","2,896.0","1,124.0","872.0","1,640.0","2,840.0","1,780.0","3,296.0","1,420.0","2,264.0","1,112.0","3,172.0","1,516.0","1,804.0","1,992.0","1,756.0","1,392.0","4,008.0","1,940.0","2,748.0","2,564.0","2,476.0","2,444.0","2,452.0","2,552.0","2,692.0","2,932.0","3,032.0","3,304.0","3,632.0","3,984.0","4,388.0","4,536.0","4,480.0","4,208.0","3,632.0","3,324.0","3,152.0","3,308.0","3,588.0","3,788.0","3,872.0","3,924.0","3,928.0","3,768.0","3,828.0","3,664.0","3,620.0","3,588.0","3,648.0","3,768.0","3,844.0","3,900.0","3,956.0","3,956.0","3,908.0","3,912.0","3,912.0","3,876.0","3,848.0","3,680.0","3,764.0","3,756.0","3,672.0","3,612.0","3,608.0","3,540.0"
"48","29","Gross investment \5\","A788RC1","15,664.0","17,452.0","15,228.0","16,760.0","18,932.0","18,432.0","16,860.0","16,832.0","19,048.0","19,864.0","21,120.0","21,424.0","21,156.0","20,028.0","24,392.0","24,972.0","25,260.0","24,348.0","26,236.0","26,612.0","27,916.0","28,572.0","27,884.0","27,316.0","27,448.0","29,620.0","30,352.0","32,740.0","32,280.0","33,360.0","37,096.0","36,644.0","39,396.0","39,320.0","39,420.0","42,560.0","43,620.0","47,452.0","49,676.0","52,228.0","52,768.0","58,264.0","58,740.0","62,972.0","64,348.0","67,812.0","71,384.0","75,532.0","76,788.0","79,224.0","79,776.0","88,444.0","88,136.0","94,668.0","99,624.0","99,236.0","96,396.0","100,652.0","109,916.0","106,660.0","107,196.0","111,364.0","114,020.0","110,472.0","105,816.0","105,712.0","105,028.0","105,236.0","104,700.0","103,892.0","108,500.0","103,572.0","105,700.0","107,568.0","108,148.0","107,892.0","102,692.0","104,276.0","101,632.0","96,640.0","96,836.0","98,144.0","98,208.0","95,500.0","90,232.0","89,768.0","87,364.0","89,528.0","82,396.0","85,868.0","90,136.0","84,696.0","85,640.0","86,528.0","83,708.0","83,964.0","88,964.0","86,824.0","84,356.0","79,868.0","76,588.0","77,164.0","81,120.0","80,992.0","76,240.0","78,524.0","82,336.0","79,868.0","77,664.0","81,504.0","83,976.0","82,816.0","82,616.0","82,676.0","84,116.0","84,212.0","83,748.0","87,440.0","89,336.0","90,144.0","91,624.0","97,608.0","102,420.0","103,332.0","105,340.0","110,216.0","112,796.0","115,492.0","117,608.0","121,232.0","127,504.0","127,412.0","127,756.0","132,236.0","135,252.0","134,100.0","137,024.0","143,472.0","141,164.0","146,624.0","146,256.0","153,536.0","155,048.0","155,776.0","159,272.0","171,136.0","176,404.0","178,548.0","170,352.0","176,104.0","177,780.0","175,716.0","174,164.0","179,100.0","180,712.0","184,236.0","173,060.0","176,408.0","174,724.0","174,456.0","167,340.0","170,696.0","169,492.0","162,664.0","154,808.0","153,388.0","153,820.0","152,044.0","139,428.0","144,232.0","142,932.0","144,024.0"
"49","30","  Structures","A808RC1","1,756.0","1,728.0","1,820.0","1,852.0","1,916.0","2,040.0","2,212.0","2,280.0","2,220.0","2,300.0","2,088.0","2,100.0","2,212.0","2,176.0","2,444.0","2,448.0","2,412.0","1,972.0","1,956.0","2,240.0","2,564.0","2,652.0","2,192.0","2,104.0","2,136.0","2,772.0","2,584.0","2,544.0","2,356.0","2,404.0","2,684.0","2,640.0","3,008.0","3,040.0","3,580.0","3,080.0","3,004.0","3,416.0","2,860.0","3,560.0","3,708.0","3,696.0","3,976.0","4,436.0","4,684.0","4,672.0","4,772.0","4,924.0","4,772.0","4,820.0","5,008.0","5,136.0","5,404.0","6,428.0","6,556.0","6,488.0","6,540.0","6,656.0","7,180.0","6,720.0","7,240.0","7,532.0","7,732.0","8,124.0","7,192.0","7,916.0","7,040.0","7,280.0","6,548.0","6,208.0","6,436.0","6,240.0","6,320.0","6,308.0","6,384.0","5,348.0","4,772.0","4,768.0","4,480.0","4,512.0","5,176.0","5,460.0","4,784.0","5,460.0","5,012.0","5,232.0","5,724.0","5,420.0","5,148.0","5,664.0","6,248.0","5,992.0","6,852.0","6,564.0","6,772.0","6,596.0","6,504.0","6,508.0","6,152.0","5,984.0","5,924.0","5,992.0","6,480.0","6,072.0","5,752.0","6,064.0","6,224.0","5,296.0","5,652.0","5,592.0","5,340.0","4,960.0","5,056.0","5,244.0","5,848.0","5,436.0","5,040.0","5,580.0","5,224.0","5,488.0","5,700.0","5,984.0","6,416.0","6,436.0","7,020.0","7,140.0","7,284.0","6,916.0","7,104.0","6,828.0","7,280.0","6,544.0","7,124.0","7,012.0","7,440.0","7,060.0","7,204.0","7,772.0","7,572.0","8,616.0","8,792.0","11,352.0","10,340.0","9,556.0","10,540.0","13,244.0","14,716.0","16,168.0","16,580.0","16,924.0","17,720.0","17,288.0","15,976.0","16,724.0","17,248.0","16,668.0","15,384.0","14,432.0","12,648.0","10,928.0","9,476.0","8,356.0","7,084.0","7,496.0","6,760.0","6,832.0","6,800.0","5,688.0","5,452.0","5,288.0","5,444.0","5,080.0"
"50","31","  Equipment","Y050RC1","5,020.0","6,632.0","4,128.0","5,476.0","7,452.0","6,724.0","4,900.0","4,740.0","6,968.0","7,628.0","9,028.0","9,236.0","8,724.0","7,496.0","11,424.0","11,780.0","11,880.0","11,172.0","12,828.0","12,672.0","13,388.0","13,732.0","13,284.0","12,596.0","12,488.0","13,772.0","14,392.0","16,464.0","15,740.0","16,332.0","19,312.0","18,408.0","20,272.0","19,520.0","18,308.0","21,060.0","21,220.0","23,656.0","25,400.0","26,216.0","25,572.0","29,992.0","29,048.0","31,664.0","31,592.0","33,884.0","36,188.0","39,052.0","39,292.0","40,288.0","39,020.0","45,764.0","43,248.0","47,224.0","50,932.0","50,044.0","47,000.0","50,692.0","58,596.0","54,600.0","53,048.0","55,792.0","57,584.0","53,456.0","49,760.0","49,092.0","49,544.0","49,916.0","50,632.0","50,420.0","54,920.0","50,112.0","52,052.0","54,356.0","55,268.0","56,868.0","53,384.0","55,872.0","54,272.0","49,872.0","49,656.0","51,196.0","52,368.0","49,584.0","45,404.0","45,176.0","42,668.0","45,576.0","39,080.0","42,152.0","45,748.0","40,596.0","40,468.0","41,600.0","38,396.0","38,876.0","43,820.0","41,560.0","39,244.0","34,796.0","31,424.0","31,924.0","35,476.0","35,688.0","31,276.0","32,952.0","36,628.0","35,336.0","33,500.0","36,516.0","39,132.0","38,240.0","38,048.0","37,440.0","37,844.0","37,736.0","37,320.0","39,940.0","41,360.0","40,792.0","41,044.0","45,436.0","48,288.0","47,564.0","47,292.0","50,192.0","50,924.0","52,348.0","52,872.0","55,292.0","59,588.0","58,948.0","57,652.0","61,076.0","62,744.0","61,360.0","63,716.0","68,868.0","65,784.0","68,932.0","66,992.0","70,644.0","72,276.0","73,120.0","74,792.0","83,736.0","87,708.0","89,072.0","81,416.0","87,372.0","88,524.0","86,804.0","85,896.0","89,960.0","90,676.0","94,612.0","84,460.0","88,404.0","88,056.0","88,964.0","82,808.0","87,268.0","88,068.0","82,164.0","76,864.0","77,292.0","79,200.0","79,864.0","68,552.0","74,132.0","72,680.0","73,760.0"
"51","32","    Aircraft","B874RC1","2,632.0","2,824.0","2,436.0","2,672.0","2,528.0","2,380.0","1,904.0","2,472.0","1,904.0","2,396.0","2,360.0","2,580.0","3,148.0","3,568.0","3,640.0","4,052.0","3,636.0","3,404.0","3,168.0","3,468.0","3,680.0","3,764.0","3,820.0","3,696.0","2,788.0","3,616.0","3,432.0","4,936.0","4,400.0","4,184.0","4,976.0","5,828.0","6,564.0","5,996.0","5,288.0","6,676.0","6,568.0","7,004.0","7,832.0","8,448.0","7,740.0","8,736.0","8,396.0","8,772.0","7,860.0","9,244.0","11,604.0","11,556.0","10,992.0","9,752.0","10,292.0","12,496.0","11,052.0","12,660.0","13,780.0","16,044.0","15,036.0","17,036.0","19,788.0","19,748.0","19,048.0","17,396.0","17,720.0","16,152.0","14,420.0","14,240.0","12,192.0","13,252.0","11,936.0","11,300.0","12,232.0","13,248.0","10,724.0","12,624.0","12,728.0","11,856.0","8,736.0","10,272.0","9,756.0","8,092.0","7,520.0","9,612.0","8,636.0","7,540.0","8,156.0","7,944.0","9,512.0","11,752.0","7,852.0","9,932.0","12,544.0","11,500.0","9,324.0","9,076.0","8,076.0","9,552.0","13,720.0","9,924.0","7,588.0","5,420.0","4,356.0","3,628.0","6,852.0","8,356.0","4,244.0","4,980.0","6,692.0","7,164.0","5,896.0","6,704.0","8,712.0","6,632.0","9,296.0","6,884.0","8,088.0","6,760.0","6,828.0","6,952.0","10,700.0","9,492.0","7,260.0","9,424.0","10,176.0","10,544.0","9,692.0","9,588.0","8,508.0","9,884.0","8,584.0","9,996.0","11,832.0","13,836.0","12,568.0","13,484.0","13,976.0","14,052.0","12,988.0","15,164.0","11,896.0","14,352.0","12,072.0","13,944.0","13,104.0","12,460.0","8,932.0","14,556.0","14,544.0","16,760.0","12,456.0","15,160.0","12,824.0","13,520.0","15,032.0","17,048.0","16,036.0","19,600.0","19,332.0","21,124.0","21,636.0","20,652.0","19,264.0","20,248.0","22,476.0","18,568.0","22,056.0","18,720.0","21,324.0","24,420.0","18,092.0","21,852.0","19,956.0","19,552.0"
"52","33","    Missiles","B875RC1","1,548.0","1,636.0","1,588.0","1,356.0","1,620.0","1,692.0","1,404.0","1,352.0","1,476.0","1,776.0","1,696.0","1,764.0","1,408.0","1,092.0","1,488.0","1,052.0","1,148.0","812.0","2,064.0","1,548.0","1,552.0","1,216.0","1,168.0","900.0","884.0","812.0","1,204.0","1,380.0","1,236.0","1,636.0","2,012.0","2,176.0","2,308.0","2,088.0","2,264.0","2,384.0","2,248.0","2,688.0","3,016.0","3,056.0","2,940.0","3,432.0","3,508.0","3,880.0","3,808.0","3,904.0","4,484.0","6,112.0","5,532.0","5,284.0","5,092.0","7,024.0","6,568.0","6,228.0","6,780.0","6,860.0","6,708.0","8,136.0","9,144.0","7,588.0","7,568.0","9,148.0","9,628.0","8,608.0","6,592.0","8,420.0","7,972.0","8,400.0","8,068.0","8,812.0","10,044.0","8,420.0","10,432.0","9,912.0","11,688.0","12,572.0","11,524.0","11,452.0","10,656.0","9,696.0","9,348.0","11,216.0","11,068.0","10,584.0","8,660.0","8,392.0","6,548.0","8,028.0","6,576.0","5,788.0","5,756.0","4,812.0","4,076.0","5,840.0","5,160.0","3,720.0","4,312.0","4,196.0","4,176.0","3,580.0","2,740.0","2,692.0","2,972.0","3,020.0","2,916.0","2,648.0","4,576.0","2,928.0","2,760.0","2,712.0","2,796.0","3,136.0","2,380.0","2,404.0","2,068.0","3,808.0","3,524.0","3,492.0","3,044.0","3,164.0","3,472.0","3,256.0","3,016.0","3,324.0","2,800.0","2,868.0","3,552.0","4,684.0","3,892.0","3,568.0","4,368.0","4,356.0","3,144.0","4,492.0","3,472.0","4,920.0","4,836.0","4,808.0","3,420.0","5,024.0","5,452.0","4,492.0","3,704.0","3,696.0","4,356.0","4,660.0","4,504.0","3,800.0","4,224.0","4,684.0","6,476.0","4,868.0","5,644.0","5,728.0","5,444.0","5,488.0","5,240.0","5,652.0","5,068.0","4,552.0","6,884.0","7,048.0","6,732.0","6,984.0","5,376.0","6,664.0","8,272.0","6,644.0","6,192.0","6,400.0","6,556.0","7,124.0"
"53","34","    Ships","B876RC1","1,716.0","2,004.0","1,952.0","1,524.0","1,712.0","1,804.0","1,472.0","1,472.0","1,864.0","2,252.0","2,248.0","2,400.0","2,272.0","2,384.0","2,036.0","1,984.0","2,276.0","2,176.0","2,500.0","2,496.0","3,048.0","2,936.0","3,200.0","3,096.0","3,464.0","3,860.0","3,508.0","4,636.0","3,744.0","3,896.0","5,600.0","3,856.0","3,924.0","4,160.0","4,052.0","4,424.0","4,208.0","4,956.0","5,528.0","5,792.0","6,028.0","6,364.0","6,144.0","6,332.0","6,868.0","7,224.0","6,912.0","7,536.0","7,500.0","7,732.0","8,004.0","8,940.0","8,408.0","8,912.0","9,460.0","9,164.0","8,188.0","9,328.0","9,492.0","8,512.0","8,496.0","9,440.0","8,740.0","8,544.0","8,404.0","8,124.0","8,304.0","9,636.0","10,192.0","9,292.0","10,556.0","9,880.0","10,044.0","10,636.0","10,292.0","12,240.0","9,828.0","10,556.0","10,236.0","10,188.0","10,680.0","10,388.0","9,920.0","9,344.0","9,232.0","8,980.0","8,232.0","8,216.0","7,612.0","8,664.0","8,792.0","7,148.0","8,744.0","8,528.0","7,580.0","7,152.0","7,000.0","7,236.0","6,556.0","6,312.0","5,572.0","6,664.0","6,424.0","5,776.0","6,316.0","6,036.0","6,512.0","6,852.0","6,792.0","6,620.0","6,496.0","7,096.0","6,064.0","6,760.0","6,680.0","6,828.0","7,168.0","7,444.0","6,876.0","7,336.0","8,144.0","8,540.0","8,944.0","9,044.0","8,492.0","10,052.0","10,056.0","9,428.0","9,964.0","9,108.0","11,452.0","9,544.0","9,876.0","9,540.0","10,628.0","9,204.0","9,724.0","11,124.0","10,624.0","10,652.0","9,776.0","10,156.0","10,168.0","11,072.0","9,748.0","10,972.0","11,660.0","11,736.0","10,492.0","10,864.0","10,876.0","12,336.0","10,684.0","11,256.0","11,916.0","13,248.0","10,612.0","11,544.0","11,404.0","13,128.0","10,684.0","12,560.0","11,612.0","12,924.0","10,392.0","12,672.0","12,800.0","13,904.0","11,412.0","13,792.0","13,680.0","13,752.0"
"54","35","    Vehicles","B877RC1","468.0","356.0","424.0","404.0","416.0","348.0","232.0","264.0","324.0","348.0","236.0","344.0","232.0","216.0","288.0","364.0","280.0","496.0","564.0","580.0","528.0","700.0","696.0","644.0","764.0","756.0","844.0","1,004.0","856.0","636.0","1,120.0","1,048.0","1,048.0","1,392.0","1,100.0","1,132.0","900.0","1,116.0","1,112.0","1,176.0","1,260.0","2,184.0","2,048.0","2,784.0","3,496.0","3,460.0","3,104.0","3,736.0","3,864.0","4,752.0","3,928.0","4,100.0","4,048.0","4,140.0","3,908.0","2,892.0","3,248.0","3,860.0","3,684.0","4,480.0","4,492.0","4,360.0","4,260.0","4,120.0","3,884.0","3,892.0","3,924.0","3,116.0","3,256.0","3,028.0","3,660.0","2,632.0","3,056.0","3,280.0","3,464.0","2,940.0","2,888.0","4,300.0","4,288.0","2,284.0","2,448.0","2,216.0","3,364.0","3,128.0","3,000.0","1,780.0","1,368.0","1,252.0","1,088.0","1,172.0","800.0","1,068.0","1,188.0","1,040.0","1,144.0","984.0","1,268.0","1,128.0","1,136.0","1,248.0","1,252.0","1,440.0","1,468.0","1,372.0","1,292.0","1,780.0","1,556.0","1,444.0","1,484.0","1,796.0","1,516.0","2,024.0","1,868.0","2,024.0","1,944.0","1,612.0","1,904.0","2,092.0","1,700.0","2,140.0","2,240.0","2,648.0","3,104.0","2,588.0","3,588.0","3,324.0","3,028.0","2,684.0","2,856.0","3,140.0","2,520.0","2,712.0","2,840.0","4,316.0","4,636.0","3,684.0","4,584.0","4,844.0","5,296.0","4,864.0","5,076.0","6,528.0","7,032.0","6,192.0","8,688.0","8,528.0","9,660.0","10,256.0","8,872.0","9,148.0","9,352.0","9,436.0","9,220.0","9,696.0","9,512.0","9,664.0","7,412.0","7,120.0","6,948.0","6,964.0","5,388.0","5,996.0","5,900.0","5,672.0","3,656.0","4,264.0","3,848.0","3,616.0","3,192.0","2,880.0","2,732.0","2,452.0"
"55","36","    Electronics","Y051RC1","544.0","532.0","572.0","588.0","640.0","596.0","532.0","636.0","508.0","636.0","564.0","648.0","688.0","668.0","692.0","788.0","792.0","812.0","716.0","704.0","820.0","904.0","844.0","1,060.0","1,116.0","1,172.0","1,220.0","1,028.0","1,120.0","1,256.0","1,216.0","1,360.0","1,448.0","1,560.0","1,732.0","1,676.0","1,860.0","2,032.0","2,016.0","2,032.0","2,196.0","2,288.0","2,356.0","2,620.0","2,744.0","2,920.0","2,932.0","3,000.0","3,168.0","3,412.0","3,164.0","3,784.0","3,988.0","4,212.0","4,596.0","4,384.0","4,288.0","4,520.0","4,600.0","4,800.0","4,972.0","5,168.0","5,112.0","5,064.0","5,056.0","4,988.0","4,636.0","4,952.0","4,584.0","4,672.0","5,112.0","4,572.0","5,036.0","4,352.0","5,044.0","4,232.0","4,512.0","4,812.0","4,012.0","3,636.0","4,428.0","3,720.0","4,468.0","4,128.0","4,616.0","5,024.0","4,216.0","3,856.0","4,216.0","4,036.0","4,064.0","3,488.0","3,784.0","3,192.0","3,656.0","3,268.0","3,200.0","3,744.0","3,732.0","3,272.0","3,436.0","3,492.0","3,600.0","3,252.0","3,388.0","3,368.0","3,140.0","3,104.0","3,396.0","3,996.0","4,144.0","3,652.0","3,964.0","4,164.0","3,808.0","4,144.0","3,880.0","4,084.0","3,896.0","3,924.0","4,176.0","4,332.0","4,560.0","4,276.0","4,940.0","4,744.0","5,488.0","4,932.0","5,108.0","6,316.0","5,704.0","5,832.0","5,796.0","6,388.0","7,316.0","6,920.0","7,416.0","7,844.0","8,740.0","8,648.0","9,436.0","10,040.0","10,984.0","10,712.0","12,372.0","13,244.0","14,144.0","13,876.0","12,408.0","13,376.0","13,848.0","13,304.0","12,176.0","12,524.0","12,960.0","12,456.0","9,832.0","10,332.0","10,348.0","10,692.0","9,000.0","9,424.0","9,292.0","8,760.0","7,400.0","7,768.0","6,876.0","6,624.0","6,020.0","5,844.0","5,776.0","5,872.0"
"56","37","    Other equipment","B879RC1","-1,888.0","-720.0","-2,844.0","-1,068.0","536.0","-96.0","-644.0","-1,456.0","892.0","220.0","1,924.0","1,500.0","976.0","-432.0","3,280.0","3,540.0","3,748.0","3,472.0","3,816.0","3,876.0","3,760.0","4,212.0","3,556.0","3,200.0","3,472.0","3,556.0","4,184.0","3,480.0","4,384.0","4,724.0","4,388.0","4,140.0","4,980.0","4,324.0","3,872.0","4,768.0","5,436.0","5,860.0","5,896.0","5,712.0","5,408.0","6,988.0","6,596.0","7,276.0","6,816.0","7,132.0","7,152.0","7,112.0","8,236.0","9,356.0","8,540.0","9,420.0","9,184.0","11,072.0","12,408.0","10,700.0","9,532.0","7,812.0","11,888.0","9,472.0","8,472.0","10,280.0","12,124.0","10,968.0","11,404.0","9,428.0","12,516.0","10,560.0","12,596.0","13,316.0","13,316.0","11,360.0","12,760.0","13,552.0","12,052.0","13,028.0","15,896.0","14,480.0","15,324.0","15,976.0","15,232.0","14,044.0","14,912.0","14,860.0","11,740.0","13,056.0","12,792.0","12,472.0","11,736.0","12,560.0","13,792.0","12,580.0","13,352.0","13,924.0","12,780.0","14,200.0","14,320.0","15,332.0","16,056.0","14,964.0","14,068.0","14,008.0","14,160.0","13,912.0","13,120.0","14,140.0","14,152.0","13,844.0","13,172.0","14,688.0","15,468.0","15,700.0","14,476.0","15,204.0","15,256.0","14,584.0","14,016.0","15,876.0","15,144.0","14,736.0","15,752.0","17,236.0","18,488.0","17,788.0","17,780.0","19,616.0","20,292.0","20,736.0","22,468.0","23,164.0","23,712.0","22,668.0","23,428.0","22,856.0","22,716.0","22,580.0","24,168.0","25,084.0","25,808.0","25,392.0","25,180.0","25,484.0","27,284.0","28,988.0","30,696.0","31,776.0","33,196.0","32,644.0","32,964.0","34,140.0","35,148.0","33,340.0","33,140.0","33,708.0","34,808.0","34,156.0","32,032.0","32,632.0","32,652.0","32,976.0","31,588.0","31,992.0","32,056.0","29,256.0","27,984.0","27,204.0","26,080.0","24,656.0","23,644.0","23,364.0","23,980.0","25,008.0"
"57","38","  Intellectual property products","Y052RC1","8,888.0","9,092.0","9,280.0","9,432.0","9,564.0","9,668.0","9,748.0","9,812.0","9,860.0","9,936.0","10,004.0","10,088.0","10,220.0","10,356.0","10,524.0","10,744.0","10,968.0","11,204.0","11,452.0","11,700.0","11,964.0","12,188.0","12,408.0","12,616.0","12,824.0","13,076.0","13,376.0","13,732.0","14,184.0","14,624.0","15,100.0","15,596.0","16,116.0","16,760.0","17,532.0","18,420.0","19,396.0","20,380.0","21,416.0","22,452.0","23,488.0","24,576.0","25,716.0","26,872.0","28,072.0","29,256.0","30,424.0","31,556.0","32,724.0","34,116.0","35,748.0","37,544.0","39,484.0","41,016.0","42,136.0","42,704.0","42,856.0","43,304.0","44,140.0","45,340.0","46,908.0","48,040.0","48,704.0","48,892.0","48,864.0","48,704.0","48,444.0","48,040.0","47,520.0","47,264.0","47,144.0","47,220.0","47,328.0","46,904.0","46,496.0","45,676.0","44,536.0","43,636.0","42,880.0","42,256.0","42,004.0","41,488.0","41,056.0","40,456.0","39,816.0","39,360.0","38,972.0","38,532.0","38,168.0","38,052.0","38,140.0","38,108.0","38,320.0","38,364.0","38,540.0","38,492.0","38,640.0","38,756.0","38,960.0","39,088.0","39,240.0","39,248.0","39,164.0","39,232.0","39,212.0","39,508.0","39,484.0","39,236.0","38,512.0","39,396.0","39,504.0","39,616.0","39,512.0","39,992.0","40,424.0","41,040.0","41,388.0","41,920.0","42,752.0","43,864.0","44,880.0","46,188.0","47,716.0","49,332.0","51,028.0","52,884.0","54,588.0","56,228.0","57,632.0","59,112.0","60,636.0","61,920.0","62,980.0","64,148.0","65,068.0","65,680.0","66,104.0","66,832.0","67,808.0","69,076.0","70,472.0","71,540.0","72,432.0","73,100.0","73,940.0","74,156.0","73,980.0","73,308.0","72,356.0","71,808.0","71,536.0","71,624.0","72,292.0","72,416.0","72,788.0","72,956.0","73,216.0","73,572.0","74,020.0","74,564.0","75,056.0","75,072.0","74,340.0","73,004.0","71,184.0","69,264.0","67,820.0","66,492.0","65,424.0","64,812.0","64,808.0","65,184.0"
"58","39","    Software","Y053RC1","240.0","248.0","264.0","276.0","300.0","312.0","328.0","344.0","364.0","388.0","404.0","420.0","464.0","484.0","496.0","520.0","516.0","520.0","528.0","540.0","552.0","556.0","568.0","584.0","616.0","648.0","672.0","708.0","780.0","812.0","848.0","888.0","912.0","964.0","1,028.0","1,108.0","1,180.0","1,224.0","1,296.0","1,348.0","1,368.0","1,420.0","1,472.0","1,512.0","1,564.0","1,632.0","1,728.0","1,824.0","1,984.0","2,160.0","2,356.0","2,488.0","2,544.0","2,668.0","2,836.0","2,932.0","3,080.0","3,164.0","3,272.0","3,380.0","3,492.0","3,600.0","3,688.0","3,728.0","3,988.0","4,196.0","4,380.0","4,484.0","4,548.0","4,732.0","4,892.0","5,100.0","5,196.0","5,052.0","5,224.0","5,284.0","5,328.0","5,428.0","5,476.0","5,480.0","5,668.0","5,620.0","5,672.0","5,580.0","5,464.0","5,468.0","5,472.0","5,352.0","5,244.0","5,276.0","5,400.0","5,300.0","5,344.0","5,248.0","5,340.0","5,232.0","5,368.0","5,452.0","5,580.0","5,628.0","5,668.0","5,604.0","5,492.0","5,572.0","5,616.0","5,976.0","6,024.0","5,868.0","5,240.0","6,144.0","6,204.0","6,184.0","5,876.0","6,052.0","6,072.0","6,180.0","5,908.0","5,696.0","5,652.0","5,756.0","5,636.0","5,620.0","5,640.0","5,552.0","5,356.0","5,428.0","5,464.0","5,540.0","5,496.0","5,596.0","5,804.0","5,840.0","5,732.0","5,916.0","6,028.0","6,028.0","6,016.0","6,100.0","6,212.0","6,416.0","6,520.0","6,512.0","6,520.0","6,512.0","6,864.0","6,944.0","6,952.0","6,812.0","6,720.0","6,772.0","6,840.0","7,012.0","7,200.0","7,180.0","7,368.0","7,468.0","7,560.0","7,656.0","7,728.0","7,796.0","7,708.0","7,776.0","7,728.0","7,700.0","7,828.0","7,636.0","7,716.0","7,692.0","7,720.0","7,728.0","7,868.0","7,928.0"
"59","40","    Research and development","Y076RC1","8,648.0","8,844.0","9,016.0","9,156.0","9,264.0","9,356.0","9,420.0","9,468.0","9,496.0","9,548.0","9,600.0","9,668.0","9,756.0","9,872.0","10,028.0","10,224.0","10,452.0","10,684.0","10,924.0","11,160.0","11,412.0","11,632.0","11,840.0","12,032.0","12,208.0","12,428.0","12,704.0","13,024.0","13,404.0","13,812.0","14,252.0","14,708.0","15,204.0","15,796.0","16,504.0","17,312.0","18,216.0","19,156.0","20,120.0","21,104.0","22,120.0","23,156.0","24,244.0","25,360.0","26,508.0","27,624.0","28,696.0","29,732.0","30,740.0","31,956.0","33,392.0","35,056.0","36,940.0","38,348.0","39,300.0","39,772.0","39,776.0","40,140.0","40,868.0","41,960.0","43,416.0","44,440.0","45,016.0","45,164.0","44,876.0","44,508.0","44,064.0","43,556.0","42,972.0","42,532.0","42,252.0","42,120.0","42,132.0","41,852.0","41,272.0","40,392.0","39,208.0","38,208.0","37,404.0","36,776.0","36,336.0","35,868.0","35,384.0","34,876.0","34,352.0","33,892.0","33,500.0","33,180.0","32,924.0","32,776.0","32,740.0","32,808.0","32,976.0","33,116.0","33,200.0","33,260.0","33,272.0","33,304.0","33,380.0","33,460.0","33,572.0","33,644.0","33,672.0","33,660.0","33,596.0","33,532.0","33,460.0","33,368.0","33,272.0","33,252.0","33,300.0","33,432.0","33,636.0","33,940.0","34,352.0","34,860.0","35,480.0","36,224.0","37,100.0","38,108.0","39,244.0","40,568.0","42,076.0","43,780.0","45,672.0","47,456.0","49,124.0","50,688.0","52,136.0","53,516.0","54,832.0","56,080.0","57,248.0","58,232.0","59,040.0","59,652.0","60,088.0","60,732.0","61,596.0","62,660.0","63,952.0","65,028.0","65,912.0","66,588.0","67,076.0","67,212.0","67,028.0","66,496.0","65,636.0","65,036.0","64,696.0","64,612.0","65,092.0","65,236.0","65,420.0","65,488.0","65,656.0","65,916.0","66,292.0","66,768.0","67,348.0","67,296.0","66,612.0","65,304.0","63,356.0","61,628.0","60,104.0","58,800.0","57,704.0","57,084.0","56,940.0","57,256.0"
