"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"53","34","    State and local","W993RC1","-5,827.0","-5,881.0","-5,676.0","-6,064.0","-5,636.0","-5,283.0","-4,804.0","-4,733.0","-5,144.0","-5,898.0","-5,382.0","-5,076.0","-5,345.0","-4,973.0","-6,515.0","-5,623.0","-5,651.0","-5,940.0","-5,109.0","-5,656.0","-7,420.0","-8,232.0","-6,127.0","-7,397.0","-8,163.0","-7,374.0","-10,400.0","-10,183.0","-9,756.0","-9,550.0","-10,560.0","-11,234.0","-11,284.0","-11,498.0","-12,224.0","-11,110.0","-11,169.0","-11,728.0","-12,141.0","-12,674.0","-13,709.0","-13,046.0","-14,336.0","-15,793.0","-16,276.0","-16,602.0","-16,045.0","-16,761.0","-16,148.0","-15,870.0","-14,968.0","-15,166.0","-14,072.0","-14,911.0","-15,009.0","-14,935.0","-16,448.0","-14,637.0","-16,093.0","-15,770.0","-16,543.0","-17,050.0","-17,761.0","-18,670.0","-16,578.0","-18,934.0","-19,540.0","-20,612.0","-19,149.0","-19,955.0","-20,641.0","-17,631.0","-17,962.0","-18,740.0","-18,020.0","-17,931.0","-18,160.0","-19,014.0","-19,513.0","-18,313.0","-19,020.0","-18,636.0","-17,418.0","-18,986.0","-19,858.0","-18,578.0","-18,931.0","-19,674.0","-20,232.0","-20,360.0","-19,840.0","-19,398.0","-20,045.0","-21,445.0","-20,946.0","-21,761.0","-20,551.0","-21,298.0","-23,761.0","-23,686.0","-22,644.0","-22,937.0","-24,050.0","-25,232.0","-26,225.0","-26,446.0","-24,931.0","-25,502.0","-28,205.0","-27,324.0","-26,895.0","-28,856.0","-28,892.0","-29,683.0","-29,738.0","-29,194.0","-27,081.0","-27,044.0","-28,591.0","-30,600.0","-27,128.0","-31,514.0","-33,559.0","-33,386.0","-34,799.0","-35,142.0","-34,614.0","-37,841.0","-38,502.0","-40,812.0","-47,006.0","-40,092.0","-44,795.0","-41,504.0","-40,631.0","-39,830.0","-36,242.0","-43,032.0","-41,704.0","-41,129.0","-40,820.0","-37,907.0","-27,121.0","-40,663.0","-44,450.0","-46,178.0","-49,087.0","-21,684.0","-48,055.0","-47,104.0","-46,375.0","-45,567.0","-41,617.0","-47,115.0","-47,156.0","-46,882.0","-47,795.0","-50,103.0","-49,444.0","-50,370.0","-48,070.0","-49,990.0","-60,778.0","-62,821.0","-53,897.0","-65,651.0","-73,143.0","-71,932.0","-63,061.0","-63,321.0","-64,512.0","-67,529.0","-61,873.0","-63,537.0","-64,223.0","-72,401.0","-63,115.0","-60,059.0","-66,206.0","-61,125.0","-61,696.0","-63,791.0","-68,553.0","....."
"54","35","Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,906.0","-2,808.0","2,325.0","-2,707.0","-10,787.0","9,718.0","28,026.0","6,575.0","1,542.0","51.0","6,953.0","4,471.0","532.0","17,322.0","-14,145.0","-17,359.0","-8,004.0","-27,741.0","-48,005.0","-56,864.0","-78,625.0","-88,015.0","-90,536.0","-103,532.0","-89,549.0","-111,510.0","-121,427.0","-135,303.0","-128,442.0","-141,968.0","-150,326.0","-150,403.0","-151,060.0","-154,519.0","-154,193.0","-157,153.0","-127,008.0","-110,086.0","-106,590.0","-119,747.0","-106,832.0","-93,717.0","-81,797.0","-88,452.0","-90,866.0","-73,014.0","-82,533.0","-82,665.0","42,131.0","14,204.0","-29,038.0","-16,969.0","-22,016.0","-39,807.0","-46,759.0","-68,602.0","-59,160.0","-73,878.0","-76,995.0","-107,592.0","-92,238.0","-111,884.0","-121,880.0","-137,877.0","-118,625.0","-118,319.0","-100,979.0","-83,962.0","-102,248.0","-108,621.0","-132,792.0","-113,602.0","-131,417.0","-101,659.0","-122,686.0","-163,311.0","-164,257.0","-195,431.0","-224,054.0","-235,212.0","-241,255.0","-274,354.0","-306,555.0","-343,788.0","-379,133.0","-386,961.0","-423,741.0","-428,462.0","-419,225.0","-380,645.0","-359,837.0","-344,446.0","-406,867.0","-451,725.0","-453,545.0","-493,484.0","-533,376.0","-521,421.0","-517,167.0","-502,750.0","-538,322.0","-617,677.0","-623,030.0","-715,573.0","-706,123.0","-706,672.0","-674,736.0","-832,494.0","-798,142.0","-816,413.0","-858,295.0","-751,500.0","-798,444.0","-756,433.0","-685,976.0","-629,267.0","-721,662.0","-714,046.0","-682,293.0","-604,839.0","-387,172.0","-351,985.0","-370,430.0","-401,805.0","-438,835.0","-452,497.0","-477,888.0","-425,108.0","-489,001.0","-507,310.0","-460,628.0","-471,645.0","-524,282.0","-503,881.0","-469,287.0","-405,422.0","-456,606.0","-460,535.0","-421,506.0","-353,349.0","-466,048.0","-440,334.0","-443,507.0","....."
"55","36","  Private","W994RC1","19,468.0","19,276.0","26,295.0","27,977.0","39,643.0","50,905.0","57,787.0","63,590.0","61,835.0","66,116.0","65,445.0","60,045.0","49,921.0","49,433.0","45,127.0","47,694.0","40,260.0","50,539.0","48,661.0","52,663.0","59,117.0","42,666.0","53,730.0","74,803.0","121,729.0","175,821.0","134,167.0","141,624.0","120,225.0","102,140.0","95,467.0","95,819.0","72,542.0","70,845.0","70,987.0","63,709.0","59,049.0","52,381.0","62,793.0","67,729.0","54,124.0","61,249.0","73,893.0","77,543.0","86,822.0","135,075.0","157,294.0","116,451.0","106,864.0","102,664.0","106,366.0","151,882.0","164,808.0","195,506.0","201,463.0","230,508.0","249,356.0","199,843.0","203,349.0","175,884.0","129,387.0","125,528.0","138,861.0","142,019.0","121,049.0","157,944.0","129,864.0","125,581.0","123,742.0","134,580.0","145,184.0","107,219.0","120,017.0","54,664.0","76,281.0","81,630.0","100,431.0","114,663.0","96,915.0","96,045.0","86,168.0","124,576.0","154,018.0","167,166.0","187,406.0","209,881.0","202,286.0","257,192.0","327,662.0","362,140.0","353,998.0","375,828.0","412,331.0","402,234.0","408,453.0","364,554.0","389,174.0","331,958.0","335,361.0","251,932.0","244,760.0","202,465.0","212,180.0","200,206.0","219,776.0","223,409.0","201,272.0","210,057.0","191,457.0","144,267.0","103,696.0","80,328.0","55,683.0","36,117.0","-4,901.0","-47,542.0","-109,888.0","-150,551.0","-197,522.0","-211,548.0","-232,065.0","-268,901.0","-312,908.0","-340,740.0","-490,034.0","-473,570.0","-499,287.0","-479,948.0","-437,709.0","-312,104.0","-64,279.0","-91,199.0","58,768.0","63,504.0","70,380.0","95,196.0","106,711.0","178,535.0","229,488.0","147,965.0","178,334.0","73,244.0","43,319.0","-87,411.0","-161,739.0","-163,961.0","-74,153.0","-294,926.0","-361,802.0","-369,494.0","-399,192.0","-374,662.0","-324,752.0","-250,380.0","-119,827.0","-34,648.0","-10,576.0","372,400.0","382,497.0","752,672.0","1,320,576.0","1,596,946.0","1,523,079.0","1,436,228.0","1,437,432.0","1,446,080.0","1,296,082.0","1,301,928.0","1,155,308.0","1,220,671.0","1,198,903.0","1,163,440.0","941,824.0","972,992.0","997,026.0","995,030.0","598,084.0","409,123.0","639,079.0","491,863.0","388,280.0","450,766.0","441,823.0","....."
"56","37","    Domestic business","W995RC1","-18,026.0","-22,260.0","-28,277.0","-30,084.0","-22,699.0","-19,240.0","-19,036.0","-11,507.0","-14,601.0","-12,715.0","-10,194.0","-9,409.0","-11,207.0","-7,291.0","-16,363.0","-28,198.0","-26,281.0","-29,222.0","-35,690.0","-49,295.0","-42,642.0","-51,662.0","-41,626.0","-42,549.0","10,884.0","28,226.0","20,650.0","30,435.0","19,536.0","7,060.0","169.0","15,804.0","15,434.0","5,899.0","-4,538.0","-22,662.0","-30,835.0","-19,895.0","-15,537.0","-14,883.0","-46,379.0","-31,419.0","-15,387.0","-22,191.0","-30,436.0","-18,442.0","-4,404.0","-56,768.0","-55,702.0","-64,183.0","-106,552.0","-90,128.0","-68,950.0","-46,745.0","-40,629.0","20,310.0","54,026.0","42,627.0","58,828.0","16,902.0","-62,304.0","-76,688.0","-85,668.0","-73,111.0","-39,935.0","-36,552.0","602.0","-28,150.0","-37,974.0","-25,492.0","17,470.0","-5,639.0","-23,934.0","-14,165.0","-18,730.0","-54,693.0","-34,582.0","-32,277.0","-59,223.0","-57,442.0","-102,351.0","-42,893.0","-12,524.0","-17,148.0","-1,996.0","-703.0","-10,625.0","33,129.0","72,881.0","114,667.0","116,195.0","93,433.0","115,835.0","90,986.0","84,067.0","114,337.0","122,216.0","99,347.0","154,038.0","92,480.0","91,822.0","61,687.0","72,764.0","34,126.0","7,094.0","36,896.0","24,082.0","44,816.0","32,546.0","4,741.0","-42,511.0","-56,634.0","-79,054.0","-113,782.0","-119,942.0","-174,383.0","-300,314.0","-303,406.0","-324,808.0","-293,215.0","-319,868.0","-271,052.0","-288,048.0","-316,274.0","-495,161.0","-484,303.0","-523,043.0","-461,526.0","-451,171.0","-307,021.0","-219,067.0","-39,015.0","-43,131.0","-32,447.0","34,215.0","45,669.0","67,491.0","117,645.0","170,943.0","142,730.0","198,917.0","88,879.0","57,605.0","-37,148.0","68,651.0","110,609.0","105,435.0","-43,550.0","-202,042.0","-211,597.0","-252,330.0","-275,895.0","-299,724.0","-225,867.0","-107,547.0","-65,590.0","-210,775.0","-74,483.0","48,323.0","215,130.0","734,442.0","865,242.0","875,574.0","820,699.0","845,269.0","843,720.0","681,008.0","690,672.0","464,774.0","562,068.0","527,677.0","530,641.0","205,929.0","200,272.0","299,271.0","-40,631.0","154,793.0","-84,154.0","153,385.0","98,322.0","-104,209.0","-59,298.0","-70,576.0","....."
"57","38","    Households and institutions","W996RC1","37,493.0","41,537.0","54,572.0","58,061.0","62,342.0","70,145.0","76,824.0","75,097.0","76,436.0","78,831.0","75,640.0","69,454.0","61,129.0","56,724.0","61,490.0","75,892.0","66,542.0","79,761.0","84,351.0","101,959.0","101,760.0","94,328.0","95,358.0","117,353.0","110,846.0","147,596.0","113,516.0","111,189.0","100,688.0","95,081.0","95,299.0","80,013.0","57,107.0","64,947.0","75,527.0","86,371.0","89,884.0","72,275.0","78,330.0","82,611.0","100,505.0","92,669.0","89,280.0","99,734.0","117,257.0","153,516.0","161,698.0","173,220.0","162,566.0","166,847.0","212,917.0","242,011.0","233,758.0","242,252.0","242,092.0","210,197.0","195,330.0","157,216.0","144,522.0","158,981.0","191,691.0","202,216.0","224,529.0","215,128.0","160,985.0","194,496.0","129,262.0","153,732.0","161,715.0","160,072.0","127,713.0","112,858.0","143,951.0","68,830.0","95,011.0","136,323.0","135,013.0","146,939.0","156,138.0","153,488.0","188,519.0","167,469.0","166,542.0","184,314.0","189,402.0","210,583.0","212,913.0","224,064.0","254,780.0","247,474.0","237,803.0","282,395.0","296,496.0","311,249.0","324,386.0","250,219.0","266,958.0","232,612.0","181,322.0","159,452.0","152,938.0","140,778.0","139,415.0","166,080.0","212,683.0","186,513.0","177,190.0","165,241.0","158,910.0","139,527.0","146,207.0","136,962.0","134,737.0","149,899.0","115,040.0","126,841.0","190,426.0","152,855.0","127,287.0","81,667.0","87,802.0","2,151.0","-24,860.0","-24,467.0","5,125.0","10,734.0","23,756.0","-18,422.0","13,462.0","-5,082.0","154,788.0","-52,184.0","101,899.0","95,952.0","36,165.0","49,528.0","39,221.0","60,889.0","58,544.0","5,236.0","-20,583.0","-15,634.0","-14,286.0","-50,264.0","-230,391.0","-274,569.0","-179,587.0","-251,377.0","-159,760.0","-157,897.0","-146,863.0","-98,768.0","-25,029.0","-24,512.0","-12,280.0","30,941.0","200,199.0","446,882.0","334,173.0","537,542.0","586,135.0","731,706.0","647,505.0","615,529.0","592,164.0","602,359.0","615,074.0","611,256.0","690,534.0","658,603.0","671,226.0","632,799.0","735,895.0","772,719.0","697,756.0","1,035,661.0","443,289.0","493,276.0","485,694.0","393,541.0","492,489.0","510,064.0","512,399.0","....."
"58","39","  Government","AD01RC1","-17,867.0","-18,631.0","-24,848.0","-25,263.0","-35,851.0","-45,684.0","-54,300.0","-61,217.0","-57,506.0","-66,057.0","-65,807.0","-62,891.0","-54,977.0","-54,209.0","-48,762.0","-50,513.0","-38,094.0","-45,167.0","-36,227.0","-37,343.0","-42,635.0","-40,039.0","-53,458.0","-70,448.0","-103,888.0","-154,428.0","-115,839.0","-120,060.0","-107,134.0","-93,194.0","-93,110.0","-92,043.0","-80,616.0","-79,748.0","-78,916.0","-82,716.0","-84,143.0","-65,321.0","-74,264.0","-69,088.0","-56,029.0","-64,056.0","-71,569.0","-80,250.0","-97,611.0","-125,357.0","-129,268.0","-109,876.0","-105,322.0","-102,613.0","-99,414.0","-147,411.0","-164,274.0","-178,187.0","-215,606.0","-247,870.0","-257,362.0","-227,585.0","-251,349.0","-232,744.0","-208,012.0","-213,544.0","-229,396.0","-245,549.0","-210,597.0","-269,455.0","-251,286.0","-260,889.0","-252,185.0","-276,552.0","-295,507.0","-257,617.0","-271,078.0","-209,183.0","-230,469.0","-238,784.0","-227,439.0","-224,749.0","-203,502.0","-215,787.0","-192,997.0","-218,297.0","-235,814.0","-255,619.0","-278,270.0","-282,899.0","-284,818.0","-339,853.0","-285,534.0","-347,937.0","-383,030.0","-392,788.0","-434,344.0","-442,044.0","-455,215.0","-433,153.0","-448,333.0","-405,834.0","-412,360.0","-359,522.0","-336,999.0","-314,347.0","-334,063.0","-338,079.0","-338,404.0","-341,727.0","-302,289.0","-294,020.0","-293,705.0","-252,889.0","-236,487.0","-193,928.0","-187,104.0","-137,779.0","-117,784.0","-115,766.0","-54,369.0","-44,882.0","-26,533.0","-23,668.0","-9,195.0","-5,453.0","6,352.0","-3,051.0","110,901.0","86,612.0","75,544.0","51,488.0","18,485.0","-68,543.0","-295,555.0","-253,246.0","-465,634.0","-515,231.0","-523,924.0","-588,680.0","-640,085.0","-699,953.0","-746,655.0","-650,717.0","-716,655.0","-690,921.0","-666,355.0","-628,161.0","-544,386.0","-542,708.0","-600,584.0","-537,568.0","-436,337.0","-446,920.0","-459,102.0","-376,838.0","-473,688.0","-506,056.0","-566,149.0","-594,623.0","-711,090.0","-1,086,448.0","-1,064,785.0","-1,357,508.0","-1,707,749.0","-1,948,931.0","-1,893,509.0","-1,838,031.0","-1,876,269.0","-1,898,576.0","-1,773,969.0","-1,727,037.0","-1,644,309.0","-1,727,983.0","-1,659,533.0","-1,635,084.0","-1,466,110.0","-1,476,872.0","-1,466,312.0","-1,400,452.0","-1,054,694.0","-869,658.0","-1,060,583.0","-845,211.0","-854,327.0","-891,100.0","-885,331.0","....."
"59","40","    Federal","AD02RC1","-7,550.0","-8,497.0","-15,959.0","-17,818.0","-28,013.0","-36,928.0","-42,879.0","-47,977.0","-44,071.0","-53,768.0","-53,409.0","-50,934.0","-44,156.0","-53,155.0","-40,406.0","-54,810.0","-36,947.0","-42,137.0","-31,215.0","-30,923.0","-34,276.0","-28,980.0","-39,717.0","-53,382.0","-79,755.0","-134,368.0","-99,012.0","-100,579.0","-89,139.0","-80,966.0","-85,088.0","-91,289.0","-76,571.0","-76,838.0","-81,865.0","-84,694.0","-88,698.0","-69,127.0","-69,258.0","-65,884.0","-54,087.0","-56,054.0","-63,608.0","-69,000.0","-84,588.0","-110,658.0","-119,257.0","-104,576.0","-95,124.0","-94,660.0","-92,993.0","-134,370.0","-149,703.0","-163,709.0","-199,572.0","-228,526.0","-237,669.0","-216,813.0","-246,264.0","-232,232.0","-213,997.0","-222,342.0","-230,379.0","-250,804.0","-212,559.0","-269,053.0","-248,125.0","-257,385.0","-251,668.0","-269,601.0","-290,911.0","-245,088.0","-248,676.0","-200,544.0","-211,650.0","-217,229.0","-210,289.0","-203,754.0","-191,848.0","-198,021.0","-176,275.0","-194,015.0","-202,872.0","-203,936.0","-234,698.0","-234,217.0","-231,912.0","-274,384.0","-219,299.0","-277,936.0","-313,136.0","-312,655.0","-350,874.0","-360,123.0","-370,394.0","-355,189.0","-361,676.0","-322,773.0","-333,060.0","-297,545.0","-269,121.0","-243,705.0","-268,799.0","-265,359.0","-264,784.0","-250,275.0","-224,170.0","-227,359.0","-236,208.0","-189,442.0","-174,113.0","-128,405.0","-117,410.0","-73,579.0","-66,540.0","-69,235.0","-14,488.0","5,897.0","29,109.0","23,043.0","54,266.0","61,733.0","68,633.0","63,356.0","172,485.0","143,524.0","150,204.0","143,105.0","126,740.0","80,107.0","-148,708.0","-55,043.0","-257,319.0","-300,855.0","-314,867.0","-366,389.0","-387,690.0","-475,357.0","-543,338.0","-470,036.0","-508,789.0","-469,025.0","-450,963.0","-451,664.0","-392,673.0","-385,411.0","-446,832.0","-361,457.0","-321,157.0","-326,019.0","-309,031.0","-216,487.0","-298,471.0","-343,696.0","-383,958.0","-389,402.0","-485,816.0","-855,624.0","-768,927.0","-1,012,204.0","-1,331,884.0","-1,571,893.0","-1,512,317.0","-1,486,691.0","-1,534,542.0","-1,557,373.0","-1,481,488.0","-1,461,376.0","-1,369,830.0","-1,472,121.0","-1,380,435.0","-1,365,971.0","-1,186,573.0","-1,197,305.0","-1,198,943.0","-1,159,524.0","-814,713.0","-617,370.0","-805,683.0","-584,551.0","-594,623.0","-636,412.0","-644,219.0","....."
"60","41","    State and local","AD03RC1","-10,317.0","-10,133.0","-8,889.0","-7,446.0","-7,837.0","-8,755.0","-11,422.0","-13,240.0","-13,435.0","-12,289.0","-12,398.0","-11,957.0","-10,821.0","-1,054.0","-8,356.0","4,297.0","-1,147.0","-3,029.0","-5,012.0","-6,419.0","-8,359.0","-11,058.0","-13,742.0","-17,066.0","-24,132.0","-20,059.0","-16,826.0","-19,480.0","-17,995.0","-12,227.0","-8,021.0","-754.0","-4,045.0","-2,910.0","2,949.0","1,978.0","4,555.0","3,806.0","-5,006.0","-3,204.0","-1,942.0","-8,002.0","-7,961.0","-11,249.0","-13,023.0","-14,699.0","-10,011.0","-5,300.0","-10,198.0","-7,953.0","-6,421.0","-13,041.0","-14,571.0","-14,477.0","-16,034.0","-19,344.0","-19,693.0","-10,772.0","-5,085.0","-512.0","5,986.0","8,798.0","983.0","5,255.0","1,962.0","-402.0","-3,161.0","-3,505.0","-518.0","-6,951.0","-4,596.0","-12,529.0","-22,402.0","-8,638.0","-18,818.0","-21,554.0","-17,150.0","-20,995.0","-11,655.0","-17,766.0","-16,722.0","-24,282.0","-32,941.0","-51,682.0","-43,572.0","-48,682.0","-52,906.0","-65,470.0","-66,235.0","-70,001.0","-69,893.0","-80,133.0","-83,471.0","-81,921.0","-84,821.0","-77,965.0","-86,657.0","-83,061.0","-79,301.0","-61,977.0","-67,878.0","-70,641.0","-65,264.0","-72,720.0","-73,620.0","-91,452.0","-78,120.0","-66,661.0","-57,497.0","-63,447.0","-62,375.0","-65,524.0","-69,694.0","-64,200.0","-51,244.0","-46,532.0","-39,881.0","-50,779.0","-55,641.0","-46,711.0","-63,461.0","-67,186.0","-62,281.0","-66,407.0","-61,584.0","-56,911.0","-74,660.0","-91,616.0","-108,255.0","-148,650.0","-146,847.0","-198,202.0","-208,314.0","-214,376.0","-209,057.0","-222,290.0","-252,396.0","-224,596.0","-203,317.0","-180,682.0","-207,866.0","-221,896.0","-215,392.0","-176,497.0","-151,712.0","-157,296.0","-153,752.0","-176,111.0","-115,180.0","-120,902.0","-150,071.0","-160,351.0","-175,217.0","-162,359.0","-182,190.0","-205,221.0","-225,274.0","-230,824.0","-295,858.0","-345,305.0","-375,865.0","-377,038.0","-381,193.0","-351,340.0","-341,727.0","-341,203.0","-292,481.0","-265,661.0","-274,480.0","-255,862.0","-279,098.0","-269,113.0","-279,537.0","-279,567.0","-267,369.0","-240,928.0","-239,980.0","-252,288.0","-254,899.0","-260,660.0","-259,704.0","-254,687.0","-241,112.0","....."
"61","42","    Statistical discrepancy","A030RC1","5,570.0","1,935.0","830.0","-1,871.0","3,712.0","5,719.0","6,488.0","5,497.0","13,268.0","12,512.0","11,798.0","346.0","4,620.0","17,565.0","8,951.0","-2,608.0","6,421.0","14,740.0","2,437.0","791.0","-70.0","10,084.0","3,377.0","16,174.0","15,279.0","14,354.0","8,710.0","14,578.0","18,187.0","20,854.0","16,952.0","25,858.0","31,551.0","20,857.0","18,295.0","6,315.0","512.0","21,298.0","29,456.0","41,340.0","23,901.0","41,317.0","58,422.0","55,501.0","63,738.0","59,263.0","35,609.0","17,114.0","57,265.0","34,795.0","27,885.0","26,882.0","-1,685.0","3,064.0","4,102.0","21,550.0","28,641.0","49,667.0","72,209.0","66,112.0","38,456.0","44,969.0","41,108.0","29,976.0","35,190.0","43,649.0","58,720.0","67,491.0","64,466.0","73,711.0","90,101.0","78,693.0","65,610.0","44,918.0","17,301.0","34,398.0","2,364.0","10,396.0","-5,792.0","-8,848.0","10,150.0","65,126.0","86,515.0","94,922.0","99,888.0","90,740.0","98,642.0","76,126.0","56,205.0","88,047.0","102,229.0","107,073.0","73,739.0","93,179.0","136,509.0","140,186.0","180,528.0","140,640.0","163,455.0","124,679.0","157,191.0","145,468.0","121,828.0","122,780.0","114,381.0","98,172.0","71,600.0","78,089.0","45,479.0","65,542.0","64,905.0","50,358.0","19,327.0","47,491.0","14,196.0","-31,823.0","-39,182.0","-81,104.0","-92,631.0","-27,747.0","-69,573.0","-50,809.0","-19,513.0","-10,135.0","-185,564.0","-53,078.0","-118,256.0","-41,002.0","-193,681.0","-119,424.0","-115,154.0","-31,658.0","-72,140.0","-79,683.0","-40,856.0","-98,388.0","-58,998.0","-60,014.0","21,096.0","43,397.0","21,767.0","-14,400.0","-42,984.0","1,271.0","12,966.0","-12,037.0","-17,548.0","-125,315.0","-222,094.0","-203,943.0","-248,721.0","-194,352.0","-151,384.0","-63,535.0","113,281.0","171,606.0","46,512.0","129,612.0","124,242.0","97,255.0","117,260.0","96,185.0","74,243.0","13,614.0","57,814.0","98,178.0","6,118.0","34,772.0","-44,086.0","-6,777.0","-74,696.0","-27,749.0","-219,143.0","-181,673.0","-134,578.0","-301,322.0","-250,337.0","-290,163.0","-187,647.0","-119,532.0","-177,461.0","-153,465.0","-165,697.0","....."
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","43","  Gross private saving","A126RC1","189,636.0","193,617.0","206,458.0","204,943.0","207,847.0","220,586.0","228,756.0","228,781.0","243,698.0","254,055.0","259,108.0","263,829.0","263,915.0","262,573.0","274,147.0","298,249.0","298,806.0","309,414.0","319,794.0","339,135.0","336,016.0","328,230.0","325,204.0","348,895.0","355,261.0","409,624.0","395,438.0","407,898.0","412,248.0","411,670.0","416,443.0","415,061.0","413,642.0","446,738.0","476,219.0","486,827.0","498,599.0","510,031.0","529,844.0","547,903.0","563,900.0","564,592.0","569,002.0","581,380.0","586,035.0","600,617.0","625,546.0","669,688.0","674,994.0","689,749.0","750,914.0","779,569.0","767,325.0","794,968.0","798,453.0","774,179.0","792,234.0","784,786.0","795,203.0","833,549.0","890,922.0","911,394.0","946,492.0","951,832.0","901,593.0","947,117.0","904,051.0","923,510.0","928,823.0","929,891.0","897,651.0","881,446.0","932,279.0","890,949.0","942,976.0","1,000,261.0","1,012,801.0","1,042,459.0","1,054,426.0","1,075,812.0","1,088,205.0","1,069,804.0","1,072,104.0","1,077,055.0","1,106,884.0","1,148,292.0","1,115,481.0","1,137,737.0","1,205,592.0","1,209,609.0","1,209,736.0","1,256,925.0","1,305,071.0","1,331,047.0","1,300,045.0","1,292,849.0","1,303,069.0","1,297,133.0","1,279,458.0","1,293,341.0","1,304,072.0","1,338,214.0","1,353,938.0","1,397,940.0","1,445,619.0","1,443,783.0","1,475,277.0","1,482,251.0","1,517,649.0","1,514,857.0","1,533,094.0","1,543,624.0","1,579,722.0","1,626,888.0","1,632,073.0","1,653,938.0","1,668,280.0","1,661,207.0","1,668,353.0","1,637,895.0","1,715,201.0","1,656,443.0","1,628,587.0","1,649,087.0","1,669,293.0","1,679,236.0","1,702,680.0","1,649,458.0","1,754,816.0","1,802,883.0","1,966,528.0","1,807,066.0","2,064,549.0","2,090,269.0","2,061,575.0","2,134,752.0","2,129,665.0","2,210,863.0","2,257,612.0","2,240,729.0","2,313,884.0","2,350,082.0","2,370,079.0","2,295,827.0","2,305,564.0","2,322,475.0","2,355,846.0","2,448,318.0","2,571,170.0","2,538,066.0","2,540,797.0","2,516,686.0","2,452,897.0","2,479,323.0","2,416,006.0","2,411,124.0","2,480,828.0","2,761,494.0","2,668,056.0","2,675,460.0","2,976,941.0","3,189,395.0","3,177,697.0","3,258,229.0","3,290,864.0","3,343,236.0","3,422,461.0","3,397,319.0","3,296,762.0","3,391,348.0","3,456,719.0","3,519,423.0","3,580,962.0","3,637,137.0","3,626,331.0","3,720,727.0","3,392,633.0","3,300,728.0","3,546,722.0","3,367,612.0","3,286,697.0","3,455,348.0","3,526,574.0","....."
