"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42","35","    Tools and equipment for house and garden","DTOORA3",2.829,2.524,2.126,1.738,1.649,1.794,1.875,2.297,2.475,2.278,2.568,2.827,3.236,3.243,3.178,3.274,3.582,4.871,5.089,5.525,5.67,6.369,6.502,5.812,5.298,4.602,4.882,5.001,4.993,4.963,5.279,5.542,5.652,6.163,6.524,7.235,8.322,9.767,10.47,11.063,11.289,11.639,12.53,13.829,16.214,17.322,17.859,19.832,22.494,25.103,27.45,27.802,28.224,27.611,29.076,31.626,31.643,33.996,35.877,38.459,42.262,43.961,44.262,47.959,51.612,55.342,57.554,59.204,61.971,67.648,73.371,76.529,79.321,82.423,89.141,95.843,100,103.819,104.019,103.586
"43","36","    Other household goods and services \8\","DOGSRA3",25.566,24.143,22.116,19.106,18.542,21.055,22.055,23.875,25.327,23.875,25.526,26.964,26.78,27.754,25.065,24.36,23.764,23.606,26.427,26.442,27.312,29.943,29.735,28.59,29.469,29.008,32.835,34.51,35.059,35.959,36.835,38.144,39.731,41.566,42.649,44.72,46.496,48.493,49.517,50.31,50.986,50.74,49.696,51.142,54.125,51.096,46.27,47.277,48.295,51.462,53.683,53.986,54.013,53.946,55.643,60.425,61.483,63.69,63.791,65.609,67.187,68.254,65.611,68.143,71.893,77.003,79.638,81.083,84.803,88.475,90.22,90.964,89.43,88.958,92.543,96.914,100,101.709,104.551,102.878
"44","37","  Health","DHLTRA3",4.49,4.371,4.223,3.935,3.722,3.958,4.016,4.286,4.477,4.42,4.669,4.819,5.12,5.486,5.757,6.115,6.296,7.248,7.415,8.008,8.216,8.68,9.087,9.541,9.982,10.55,10.935,11.693,12.376,13.199,14.155,14.535,15.368,16.874,17.974,19.759,20.682,21.802,22.758,24.642,26.522,28.245,30.098,32.253,34.617,35.905,37.556,39.113,40.783,42.771,44.484,45.827,47.913,48.048,49.646,50.743,52.401,54.206,56.571,59,59.986,62.289,63.301,65.025,65.549,66.381,68.04,69.895,72.633,75.872,78.131,81.511,85.825,90.905,93.565,96.618,100,102.165,104.912,107.27
"45","38","    Medical products, appliances, and equipment","DMPARA3",1.601,1.537,1.411,1.255,1.265,1.49,1.555,1.669,1.846,1.863,1.99,2.082,2.39,2.719,3.204,3.372,3.539,3.89,3.737,3.923,4.072,4.415,4.863,5.043,5.229,5.243,5.55,6.1,6.508,6.677,7.084,7.655,8.466,9.545,10.134,10.583,11.129,11.716,12.075,13.392,14.564,16.4,16.926,18.439,19.935,21.017,21.27,21.826,21.887,23.422,25.453,26.482,27.168,27.328,28.941,30.858,32.335,34.18,36.154,38.61,40.645,43.496,43.375,43.686,44.963,47.077,49.646,53.216,58.11,65.005,72.089,78.46,83.765,88.836,94.213,97.596,100,103.71,106.696,105.519
"46","39","      Pharmaceutical and other medical products \9\","DPHMRA3",1.452,1.373,1.273,1.149,1.154,1.315,1.368,1.468,1.597,1.643,1.748,1.815,2.048,2.338,2.78,2.917,3.074,3.365,3.216,3.39,3.538,3.864,4.294,4.436,4.576,4.595,4.971,5.478,5.954,6.176,6.678,7.337,8.274,9.209,9.949,10.259,10.713,11.153,11.995,13.241,14.346,16.267,17.028,18.543,20.023,21.07,21.168,21.813,21.787,23.364,25.4,26.491,27.114,27.08,28.462,29.886,30.841,32.213,33.755,35.474,37.575,39.755,40.65,41.089,42.445,44.313,47.351,50.687,55.463,62.523,70.067,76.668,83.338,88.288,94.159,97.717,100,103.853,106.403,104.684
"47","40","        Pharmaceutical products","DPNPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.563,7.188,8.116,9.036,9.883,10.147,10.584,10.993,11.934,13.158,14.244,16.124,16.866,18.406,19.869,20.801,20.904,21.599,21.556,23.106,25.158,26.291,26.975,26.97,28.337,29.727,30.652,32.003,33.529,35.238,37.307,39.46,40.341,40.804,42.195,44.11,47.222,50.63,55.476,62.526,70.07,76.654,83.352,88.306,94.204,97.742,100,103.827,106.331,104.506
"48","41","        Other medical products","DOMPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.162,17.018,18.527,20.509,14.846,17.937,19.488,21.824,16.779,19.469,21.863,26.404,28.345,28.526,31.148,39.105,38.93,36.715,37.657,40.985,42.291,41.03,38.045,36.308,38.716,42.38,45.357,48.204,50.923,53.415,57.866,62.058,63.971,62.571,61.273,59.537,56.929,54.891,54.343,62.136,69.648,77.639,81.923,86.505,89.924,95.311,100,106.411,113.508,122.359
"49","42","      Therapeutic appliances and equipment","DTAERA3",2.492,2.508,2.235,1.893,1.936,2.516,2.647,2.842,3.285,3.156,3.404,3.631,4.353,4.913,5.659,6,6.229,6.92,6.737,7.002,7.157,7.62,8.197,8.584,9.026,9.015,8.966,9.782,9.843,9.731,9.647,9.767,9.962,11.838,11.718,12.878,13.904,15.237,13.378,15.117,16.675,18.287,17.861,19.488,21.169,22.471,23.344,23.601,24.009,25.498,27.668,28.534,29.527,30.508,33.245,37.508,41.501,45.708,49.883,56.065,57.872,64.257,58.771,58.399,59.255,62.735,62.801,67.687,73.289,79.375,83.963,89.055,86.439,92.24,94.54,96.822,100,102.781,108.625,111.031
"50","43","    Outpatient services","DOUTRA3",6.107,5.714,5.444,5.019,4.591,4.827,4.804,5.234,5.348,5.072,5.379,5.504,5.73,5.939,5.758,6.268,6.425,7.908,8.437,9.325,9.309,9.646,9.975,10.372,10.838,11.69,11.775,12.368,13.006,13.947,14.84,15.341,15.806,17.106,17.946,20.555,21.262,21.437,21.3,22.077,23.061,24.105,24.417,25.792,28.35,28.924,30.022,30.656,32.153,32.968,34.126,35.3,37.85,37.839,40.18,42.23,44.48,46.238,49.913,52.946,54.564,58.074,59.98,63.245,63.555,64.245,66.468,68.298,69.912,72.156,73.553,77.024,81.385,86.792,91.175,95.61,100,102.574,105.209,108.696
"51","44","      Physician services \10\","DPHYRA3",7.025,6.619,6.334,5.94,5.519,5.876,5.962,6.55,6.711,6.317,6.618,6.738,6.932,7.189,6.882,7.817,7.914,9.961,11.083,12.27,12.323,12.783,13.323,13.768,14.323,15.421,15.31,16.095,16.891,18.294,19.095,19.434,19.57,20.888,21.755,24.939,25.243,25.235,26.154,26.948,28.5,29.939,30.718,32.316,34.707,35.1,36.16,35.669,37.491,38.13,39.646,41.738,44.338,44.37,46.335,48.196,50.475,51.841,56.072,59.361,59.942,61.827,62.772,64.673,62.571,61.868,62.92,64.434,66.168,68.564,70.422,74.815,79.11,85.464,91.037,95.349,100,103.343,104.655,108.149
"52","45","      Dental services","DDENRA3",13.999,13.08,12.462,11.312,10.096,10.512,10.031,10.818,11.057,10.795,11.829,12.346,13.38,13.802,13.779,13.569,14.08,16.547,15.687,17.28,16.966,17.55,17.834,19.115,20.309,22.251,23.389,24.493,25.732,26.626,26.694,27.221,28.234,29.481,29.147,33.023,33.932,34.633,37.207,38.749,42.082,44.886,44.477,46.947,53.096,54.377,55.786,58.931,60.952,62.878,62.849,62.787,67.3,67.304,68.517,69.194,71.298,72.482,75.023,74.632,75.062,75.326,73.747,76.376,76.372,77.836,79.824,80.356,81.828,84.185,86.114,89.516,93.81,97.894,97.221,99.559,100,99.901,100.889,99.977
"53","46","      Paramedical services","DPMSRA3",2.208,2.013,1.883,1.663,1.491,1.504,1.488,1.585,1.594,1.476,1.547,1.548,1.549,1.624,1.558,1.735,1.85,2.25,2.468,2.722,2.719,2.811,2.882,2.911,3.006,3.161,3.137,3.303,3.523,3.863,5.112,5.789,6.479,7.713,8.848,10.22,11.344,11.581,9.294,9.78,9.292,9.257,9.17,9.866,11.435,11.997,12.986,14.295,15.125,15.799,16.729,16.966,18.735,18.664,21.689,24.284,26.431,28.815,31.883,35.463,38.946,45.834,50.256,55.807,60.081,62.783,66.993,69.767,71.22,73.161,73.611,75.601,80.076,84.47,88.952,94.405,100,102.516,107.904,113.328
"54","47","        Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.412,32.442,36.788,44.791,51.285,60.321,68.966,76.268,85.047,89.254,87.312,84.333,79.701,76.161,78.764,79.747,84.787,92.653,100,103.977,112.97,122.205
"55","48","        Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.944,27.389,30.702,34.421,37.599,40.646,40.809,41.884,41.09,43.451,48.73,56.244,62.058,70.674,79.597,83.369,89.853,96.237,100,104.837,105.881,111.25
"56","49","        Other professional medical services \11\","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.991,38.627,41.704,48.72,52.37,56.727,59.733,60.497,63.555,65.691,67.96,71.139,72.974,76.32,80.776,87.024,90.798,94.872,100,101.339,105.925,109.599
"57","50","    Hospital and nursing home services","DHPNRA3",4.525,5.006,5.291,5.281,5.028,4.925,5.053,5.124,5.28,5.542,5.738,5.941,6.018,6.412,6.784,6.95,7.044,7.499,7.539,8,8.542,9.113,9.302,10.023,10.585,11.286,12.041,12.965,13.774,14.973,16.354,16.107,17.124,18.839,20.49,22.018,23.337,25.971,28.782,32.238,35.534,37.709,42.405,45.724,48.047,50.239,53.353,56.617,59.347,62.971,65.027,66.642,68.752,69.047,69.642,69.108,70.084,71.836,72.735,74.332,74.023,74.661,75.243,75.999,76.395,76.796,77.472,78.611,81.565,84.243,85.28,87.24,91.056,95.799,95.568,97.155,100,101.136,103.888,106.657
"58","51","      Hospitals \12\","DHSPRA3",5.509,6.095,6.442,6.429,6.122,5.996,6.152,6.238,6.428,6.747,6.986,7.233,7.327,7.806,8.26,8.462,8.576,9.129,9.179,9.74,10.4,11.095,11.325,12.203,12.887,13.74,14.659,15.784,16.77,18.23,19.895,18.827,19.697,21.506,23.02,24.002,25.666,28.253,31.042,34.505,37.502,39.646,44.428,47.979,50.268,52.719,56.141,59.768,62.599,66.355,68.695,70.258,72.673,73.287,72.851,71.471,72.115,73.494,74.595,75.372,74.385,73.882,74.269,74.607,74.683,74.939,75.016,75.923,78.816,81.543,83.085,85.419,89.956,95.396,94.807,96.81,100,101.553,104.445,107.82
"59","52","      Nursing homes","DNRSRA3",0.894,0.989,1.045,1.043,0.993,0.973,0.998,1.012,1.043,1.095,1.134,1.174,1.189,1.267,1.34,1.373,1.392,1.482,1.49,1.581,1.688,1.801,1.838,1.98,2.091,2.23,2.379,2.562,2.721,2.958,3.28,5.677,7.095,8.35,10.316,13.516,13.578,16.137,18.77,21.9,25.895,27.983,31.982,34.24,36.47,37.614,39.439,41.205,43.367,46.246,47.15,48.828,49.675,48.729,53.483,56.562,58.956,62.327,62.274,67.727,70.781,77.323,78.948,82.055,84.326,85.582,89.785,92.239,95.482,97.864,96.248,96.281,96.515,97.852,99.394,98.893,100,99.023,101.063,100.781
"60","53","  Transportation","DTRNRA3",6.658,5.529,4.914,3.998,4.195,4.674,5.374,6.175,6.459,5.532,6.417,7.278,8.181,4.778,4.668,4.895,5.658,9.667,11.23,12.018,13.615,15.612,14.679,14.293,16.2,15.848,19.102,18.004,18.684,17.286,19.213,20.12,19.269,21.325,23.018,24.288,26.817,27.82,28.057,31.158,32.769,31.897,35.492,38.779,41.298,37.479,37.875,42.115,45.285,46.816,45.662,41.687,41.895,42.291,46.623,51.746,56.461,59.81,59.555,62.587,63.233,62.608,58.122,61.733,64.722,68.635,69.972,73.691,78.267,83.78,89.454,91.997,94.029,95.817,97.878,99.734,100,98.085,99.209,91.659
"61","54","    Motor vehicles","DMTRRA3",10.648,6.978,5.064,2.97,4.016,5.058,7.554,9.589,9.731,5.725,8.032,10.342,11.493,1.213,1.117,0.814,0.772,4.135,6.997,8.27,11.173,14.53,12.223,10.692,13.9,13.309,18.483,15.319,15.883,12.667,15.219,16.132,14.14,17.005,19.325,20.348,23.966,24.19,23.389,27.213,27.805,24.041,29.029,33.206,36.113,28.965,28.828,35.875,39.995,41.61,38.38,32.453,33.042,33.987,41.176,48.726,55.891,60.567,57.704,60.843,60.671,59.161,51.225,55.931,58.743,62.059,60.524,63.289,67.796,75.797,83.269,86.117,91.508,96.994,99.761,100.959,100,96.237,97.782,83.126
"62","55","      New motor vehicles","DNMVRA3",5.847,3.816,2.769,1.615,2.201,2.773,4.154,5.269,5.343,3.124,4.402,5.701,6.342,0.255,0.257,0.084,0.08,4.118,7.016,7.948,10.844,14.345,11.631,9.792,13.381,12.85,18.152,14.525,14.905,11.158,14.44,15.536,13.367,16.773,19.399,20.658,24.709,24.981,23.67,28.379,28.858,24.5,30.643,35.555,39.12,30.335,30.358,38.559,43.869,45.812,41.626,34.157,35.098,36.711,46.143,53.929,61.689,67.266,62.773,66.308,65.351,61.846,49.905,54.59,58.159,61.077,58.117,59.14,62.299,69.243,77.278,81.49,89.444,96.275,100.912,101.921,100,94.24,95.336,76.55
"63","56","      Net purchases of used motor vehicles","DNPVRA3",9.194,7.459,5.426,3.733,4.149,5.169,6.923,9.112,9.514,7.01,8.566,9.256,10.099,9.377,8.284,7.732,7.332,5.919,9.679,14.005,18.011,20.898,22.269,24.185,21.054,18.328,21.623,22.696,24.93,26.109,23,22.568,21.719,21.23,22.007,21.82,23.626,23.635,25.286,25.306,26.522,25.078,25.339,26.772,27.249,25.956,25.203,28.603,28.925,29.518,29.383,28.601,28.001,26.862,27.683,34.565,40.093,42.306,43.813,45.893,47.682,51.279,54.177,58.882,59.634,63.917,65.759,72.477,80.02,90.401,96.538,96.287,95.965,98.533,97.169,98.797,100,100.629,103.164,97.677
"64","57","    Motor vehicle operation","DMVORA3",5.521,5.184,5.13,4.562,4.592,5,5.238,5.716,6.076,6.093,6.722,7.255,8.277,5.671,4.256,4.676,6.319,11.588,12.085,12.555,13.231,14.092,14.802,15.814,16.448,16.625,18.198,19.268,20.214,21.072,22.377,23.355,23.908,25.152,26.19,27.721,28.968,30.77,31.894,34.116,36.586,38.891,41.311,43.535,45.631,44.038,45.187,46.973,49.316,50.86,51.115,48.721,49.443,49.493,52.001,55.499,58.737,60.682,62.659,65.777,67.141,66.982,64.654,67.923,71.363,75.55,79.41,83.788,88.638,91.587,95.535,97.033,96.834,95.405,96.726,98.573,100,99.157,99.892,95.697
"65","58","      Motor vehicle parts and accessories","DMVPRA3",3.601,3.124,3.025,2.382,2.082,2.499,2.636,2.866,2.934,2.751,3.39,3.919,4.906,1.928,2.262,2.593,3.759,7.836,7.53,7.01,6.498,8.034,6.936,7.53,6.834,6.298,7.54,8.161,9.211,9.873,11.159,12.013,12.782,14.026,14.715,15.804,16.228,17.349,17.996,20.014,22.706,24.415,27.606,30.759,35.105,35.134,34.858,35.967,38.171,40.835,42.157,41.624,43.256,44.073,49.105,52.634,54.255,54.558,55.032,59.556,59.768,62.404,60.862,62.476,68.088,75.012,78.362,83.554,87.32,88.832,92.866,94.16,90.74,90.083,92.669,96.25,100,101.139,101.53,96.385
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRA3",7.694,7.768,8.089,7.454,7.467,7.958,8.44,9.119,9.814,10.097,10.76,11.405,12.723,9.59,6.084,6.276,8.268,15.006,15.967,16.983,18.467,19.15,20.817,22.533,23.778,24.533,26.669,28.282,29.371,30.766,32.346,33.454,33.799,35.232,36.314,38.302,40.111,42.614,43.999,47.063,50.227,53.336,55.919,58.198,61.224,58.209,59.942,62.34,64.25,65.731,64.85,61.148,62.074,62.848,64.251,66.27,67.572,70.855,72.752,74.71,76.382,75.742,74.968,78.035,79.99,80.985,82.399,84.145,86.7,90.242,92.844,92.087,92.866,94.257,97.35,99.398,100,98.258,98.996,95.722
"67","60","      Motor vehicle maintenance and repair","DVMRRA3",5.24,4.357,3.786,3.293,3.755,4.126,4.091,4.654,4.845,4.613,5.334,5.81,6.639,4.697,4.365,5.362,7.326,12.637,13.429,14.237,15.025,15.542,16.595,17.154,18.451,18.421,19.784,20.658,21.55,22.055,23.406,24.545,25.303,26.566,28.076,29.621,30.953,32.737,34.093,35.661,37.408,39.439,41.327,43.014,42.809,41.603,43.035,44.809,48.428,49.788,51.202,48.586,48.344,46.707,50.893,56.762,64.351,65.835,69.438,74.085,75.609,74.244,66.871,68.561,71.265,76.12,80.445,84.02,86.958,90.052,93.175,95.976,97.427,96.089,97.933,98.995,100,97.193,97.087,90.561
"68","61","      Other motor vehicle services","DOVSRA3",0.874,0.765,0.694,0.622,0.684,0.73,0.763,0.851,0.913,0.895,1.014,1.098,1.229,0.982,0.928,1.074,1.361,2.078,2.269,2.421,2.565,2.799,3.551,3.61,3.822,3.96,4.281,4.548,4.664,4.651,4.728,4.989,5.273,5.623,6.002,6.51,7.009,7.486,7.929,8.676,9.476,10.388,11.369,12.268,12.372,12.163,12.828,13.501,14.501,14.803,14.916,15.664,16.523,15.761,16.393,21.419,25.03,25.454,25.684,27.212,28.519,29.668,32.762,42.039,49.694,59.23,69.516,82.746,100.009,102.211,111.832,117.424,112.393,100.97,93.802,95.488,100,108.011,111.527,109.223
"69","62","    Public transportation","DPUBRA3",22.523,20.371,18.093,15.852,15.074,15.765,16.329,18.163,19.21,18.293,19.064,20.144,22.184,29.483,39.514,41.756,41.847,41.674,38.585,36.708,32.139,29.332,28.906,28.672,27.93,25.906,25.35,25.385,24.999,23.31,23.601,23.697,23.097,23.36,23.747,24.871,26.238,27.693,29.681,32.263,35.185,34.929,35.709,38.578,40.627,43.21,42.109,44.781,47.206,48.07,49.881,45.295,40.66,40.792,43.239,46.674,48.45,52.925,54.264,56.401,57.413,58.474,58.482,58.91,60.547,65.97,69.072,74.275,77.726,83.195,88.197,94.692,92.438,93.671,96.597,101.786,100,98.896,101.043,96.997
"70","63","      Ground transportation \13\","DGRDRA3",109.262,98.836,87.772,76.773,73.012,76.231,78.842,87.593,92.685,88.157,91.652,96.369,105.903,141.56,190.329,200.695,199.302,196.24,181.144,172.216,149.298,134.305,130.033,127.27,121.936,110.743,105.823,104.196,100.443,92.402,90.649,89.594,85.455,84.128,82.537,82.841,83.501,84.571,84.263,85.729,88.141,86.757,86.631,88.179,89.374,92.972,90.478,91.127,91.384,88.724,88.826,80.494,73.562,70.499,69.922,70.487,71.029,67.021,65.811,71.103,72.741,76.106,78.649,79.624,82.204,85.154,87.047,84.703,86.299,93.208,97.248,99.827,102.136,101.171,96.472,99.344,100,102.779,101.841,105.364
"71","64","      Air transportation","DAITRA3",0.02,0.02,0.02,0.032,0.032,0.049,0.069,0.092,0.092,0.104,0.144,0.229,0.288,0.264,0.263,0.343,0.61,0.969,0.989,0.959,1.083,1.337,1.765,2.095,2.468,2.807,3.333,3.766,4.253,4.283,5.06,5.428,5.73,6.322,7.139,8.388,9.855,11.341,13.91,16.806,19.88,19.951,21.012,24.338,26.681,28.99,28.286,31.568,34.647,36.566,38.903,35.358,31.395,32.379,35.646,39.822,41.801,49.179,51.463,52.408,53.314,53.842,53.216,53.609,54.656,60.646,63.564,71.388,75.3,80.305,85.729,93.5,88.523,90.715,97.193,103.488,100,96.518,100.036,91.633
"72","65","      Water transportation","DWATRA3",0.294,0.198,0.161,0.175,0.131,0.151,0.149,0.168,0.168,0.149,0.151,0.143,0.156,0.113,0.131,0.126,0.151,0.139,0.143,0.131,0.124,0.113,0.113,0.113,0.124,0.119,0.124,0.131,0.131,0.131,0.139,0.132,0.146,0.162,0.158,0.17,0.185,0.242,0.344,0.393,0.452,0.485,0.511,0.588,0.691,0.762,0.758,0.851,0.954,0.995,1.16,1.275,1.356,1.498,2.934,5.712,9.34,12.806,13.924,15.899,14.708,11.042,6.612,4.373,8.926,18.202,29.54,40.654,47.904,50.513,54.333,64.644,74.13,77.116,87.982,96.123,100,103.472,111.322,114.404
"73","66","  Communication","DCMCRA3",1.226,1.234,1.187,1.035,0.943,0.972,1.037,1.132,1.212,1.224,1.298,1.371,1.531,1.714,1.947,2.109,2.293,2.455,2.558,2.748,2.871,3.002,3.263,3.481,3.719,3.901,4.298,4.617,4.92,5.086,5.286,5.591,5.944,6.311,6.74,7.232,7.943,8.715,9.381,10.06,10.982,11.748,12.142,12.917,14.176,14.73,16.101,17.088,18.301,19.959,21.663,23.032,23.588,24.381,25.189,25.541,26.962,27.986,30.098,31.631,33.577,34.993,36.095,39.522,41.56,44.366,46.828,51.055,56.224,61.651,69.902,80.759,86.453,89.121,91.649,96.444,100,108.145,116.949,120.488
"74","67","    Telephone and facsimile equipment","DTCERA3",0.301,0.284,0.254,0.226,0.189,0.193,0.191,0.241,0.245,0.242,0.26,0.273,0.289,0.271,0.254,0.231,0.232,0.298,0.292,0.342,0.384,0.437,0.455,0.421,0.394,0.359,0.4,0.411,0.419,0.411,0.431,0.447,0.476,0.527,0.572,0.636,0.665,0.71,0.733,0.775,0.772,0.768,0.758,0.785,0.876,0.937,0.962,1.02,1.085,3.464,8.129,12.976,17.379,18.856,17.498,16.438,14.871,14.153,13.681,14.056,14.938,15.156,15.147,15.698,17.037,19.114,20.708,22.057,23.196,26.711,34.676,44.053,51.967,60.973,70.866,86.477,100,119.646,136.893,148.092
"75","68","    Postal and delivery services","DPSSRA3",24.049,24.211,24.11,21.445,19.814,20.436,21.403,23.604,24.775,26.256,27.388,27.682,29.866,32.589,36.101,40.665,44.557,44.966,44.723,45.853,44.98,47.71,49.897,51.02,53.977,54.571,57.665,60.734,62.764,64.084,62.245,64.029,66.979,72.489,71.819,75.787,79.527,83.778,88.263,86.724,91.1,94.689,92.012,96.443,98.438,92.186,92.455,85.923,89.134,91.303,96.442,103.033,100.813,103.712,109.111,117.93,118.88,125.542,134.241,131.414,130.252,130.415,119.368,117.489,120.816,126.986,125.415,129.474,131.303,132.334,129.117,128.247,119.847,111.312,101.262,100.705,100,96.837,96.092,88.819
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.668,76.748,80.324,86.875,85.926,90.671,95.032,100.068,105.487,103.188,107.805,111.491,107.531,112.257,114.593,106.874,107.367,99.375,103.553,105.983,112.523,121.069,119.077,122.958,127.526,135.787,134.938,141.133,149.666,144.402,141.099,139.608,124.694,121.148,124.258,130.508,127.657,132.209,134.775,134.295,130.398,128.304,120.048,111.913,100.22,101.094,100,96.041,95.893,89.486
"77","70","      Other delivery services (by non-USPS facilities)","DODSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.685,2.977,2.969,3.416,3.939,4.167,4.835,5.264,5.301,7.085,9.931,12.635,15.743,18.573,18.896,19.763,18.956,19.676,17.907,18.816,16.855,13.712,10.315,8.174,18.272,29.964,39.88,48.97,58.401,67.468,76.953,85.123,93.295,100.023,104.469,110.272,115.087,116.659,114.809,123.17,123.156,127.844,118.826,108.576,105.685,99.234,100,99.716,96.876,86.761
"78","71","    Telecommunication services","DTCSRA3",1.06,1.067,1.021,0.887,0.806,0.831,0.89,0.969,1.042,1.042,1.109,1.182,1.329,1.495,1.708,1.837,1.995,2.161,2.274,2.467,2.609,2.72,2.977,3.202,3.429,3.621,4.018,4.331,4.64,4.807,5.05,5.363,5.716,6.05,6.538,7.035,7.784,8.596,9.284,10.093,11.086,11.914,12.429,13.253,14.697,15.49,17.123,18.481,19.873,21.756,23.516,24.796,25.359,26.186,27.086,27.303,29.12,30.227,32.62,34.61,37.053,38.809,40.591,45,47.311,50.228,52.833,57.448,63.571,69.301,76.627,85.815,92.189,93.207,93.842,97.299,100,107.345,108.271,110.424
"79","72","    Internet access","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.052,0.11,0.232,0.501,0.828,1.228,2.736,5.75,9.281,11.937,17.315,32.371,54.635,59.53,70.953,83.828,93.585,100,113.009,168.771,183.958
"80","73","  Recreation","DRRLRA3",2.035,2.012,1.845,1.506,1.432,1.548,1.653,1.894,2.018,1.95,2.126,2.277,2.542,2.533,2.542,2.529,2.767,3.663,3.619,3.558,3.578,3.967,4.022,4.188,4.393,4.562,4.87,5.084,5.015,4.995,5.452,5.614,5.756,6.148,6.534,7.077,7.725,8.827,9.269,9.943,10.508,10.98,11.226,12.34,13.511,13.839,14.386,15.473,16.383,17.563,18.594,18.543,19.369,19.77,21.649,23.902,25.67,27.737,29.9,32.422,34.137,35.419,35.774,37.66,40.928,44.506,48.341,52.081,55.994,61.322,68.285,74.385,77.237,81.466,86.588,93.641,100,107.34,114.782,117.562
"81","74","    Video and audio equipment, computers, and related services","DVPIRA3",0.103,0.121,0.092,0.072,0.059,0.064,0.071,0.093,0.104,0.097,0.121,0.139,0.165,0.147,0.104,0.085,0.097,0.241,0.247,0.246,0.267,0.376,0.366,0.411,0.461,0.507,0.555,0.573,0.548,0.541,0.617,0.629,0.674,0.73,0.797,0.909,1.065,1.313,1.475,1.602,1.704,1.823,1.902,2.124,2.373,2.514,2.73,2.956,3.139,3.336,3.606,3.764,4.06,4.321,5.506,6.469,7.64,9.225,10.409,11.855,12.658,13.362,14.067,15.313,17.488,19.99,23.242,27.183,31.692,38.782,47.654,55.968,62.35,69.585,77.088,88.525,100,113.898,128.536,139.235
"82","75","      Video and audio equipment","DVAARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882,0.875,0.938,1.026,1.139,1.348,1.655,2.134,2.432,2.642,2.783,2.975,3.093,3.481,3.923,4.145,4.5,4.911,5.174,5.605,6.152,6.39,6.721,6.736,8.25,9.869,12.072,14.181,16.057,17.876,18.973,19.443,19.586,20.739,22.89,26.179,28.806,30.924,32.39,38.247,46.287,54.866,61.504,69.545,75.381,86.795,100,116.758,133.326,147.64
