"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"41","34","        Children's and infants' clothing (12)","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.316,6.692,7.258,7.776,8.78,8.796,10.506,11.34,12.305,13.322,16.594,19.714,17.618,21.16,25.274,25.082,23.499,25.724,26.768,31.408,35.293,37.047,39.921,42.859,44.057,47.089,47.785,48.59,50.846,53.164,54.594,52.39,51.76,52.447,55.031,57.834,59.633,59.987,62.514,68.324,72.243,75.816,79.616,83.908,88.193,93.9,100,104.99,110.94,112.233
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRA3",16.627,14.582,14.793,14.657,13.179,14.463,14.502,15.89,16.698,16.674,16.774,17.287,20.481,25.066,27.719,27.067,28.728,25.128,22.231,21.528,22.094,23.426,21.974,21.579,21.413,20.703,22.044,22.112,21.791,22.799,23.278,23.206,23.318,24.112,24.076,25.405,26.063,27.587,27.562,28.958,29.693,28.212,29.087,31.063,33.067,31.628,31.308,32.742,34.362,37.975,39.749,40.325,42.471,41.622,43.99,46.279,48.526,52.255,54.584,55.51,58.698,59.133,57.721,59.186,61.25,65.056,67.259,71.003,73.256,78.27,84.67,88.711,88.986,90.39,94.049,97.011,100,104.768,108.055,107.013
"43","36","    Gasoline and other energy goods","DGOERA3",16.491,16.397,16.022,15.015,15.366,16.158,16.976,18.35,19.088,18.871,20.237,21.583,23.338,20.074,16.386,16.493,19.279,27.169,28.785,29.897,29.968,31.489,33.163,34.574,35.457,36.448,39.348,41.03,42.047,43.931,45.001,45.718,45.416,46.89,48.513,51.099,53.533,56.455,57.903,60.348,62.97,65.375,67.657,71.087,75.172,69.053,70.659,74.442,75.778,77,74.777,68.166,67.282,67.392,68.875,70.737,72.106,75.773,77.221,79.419,80.689,79.241,78.598,81.737,83.786,85.127,86.714,88.086,89.863,93.093,95.943,94.194,94.874,96.444,99.124,100.559,100,97.885,98.643,94.298
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",7.694,7.768,8.089,7.454,7.467,7.958,8.44,9.119,9.814,10.097,10.76,11.405,12.723,9.59,6.084,6.276,8.268,15.006,15.967,16.983,18.467,19.15,20.817,22.533,23.778,24.533,26.669,28.282,29.371,30.766,32.346,33.454,33.799,35.232,36.314,38.302,40.111,42.614,43.999,47.063,50.227,53.336,55.919,58.198,61.224,58.209,59.942,62.34,64.25,65.731,64.85,61.148,62.074,62.848,64.251,66.27,67.572,70.855,72.752,74.71,76.382,75.742,74.968,78.035,79.99,80.985,82.399,84.145,86.7,90.242,92.844,92.087,92.866,94.257,97.35,99.398,100,98.258,98.996,95.722
"45","38","      Fuel oil and other fuels (29)","DFULRA3",215.619,210.672,191.189,182.983,192.478,198.911,206.361,223.195,220.959,205.032,222.129,239.137,246.492,253.339,258.083,255.479,272.856,293.475,309.104,310.604,274.005,294.441,293.786,285.512,275.934,281.312,298.964,299.566,297.031,308.333,294.541,283.741,267.055,267.105,279.85,293.443,307.808,316.523,317.124,299.656,284.105,264.827,256.569,282.755,306.41,240.295,238.605,266.582,257.235,253.75,229.356,175.621,146.523,136.912,139.63,139.215,141.619,151.172,145.69,151.596,146.422,132.333,133.739,137.902,141.384,148.365,152.77,147.819,137.042,135.181,141.946,124.651,123.886,128.1,124.57,116.951,100,92.878,93.906,76.221
"46","39","    Other nondurable goods","DONGRA3",6.798,6.23,6.128,5.434,5.362,5.868,6.152,6.792,7.153,7.234,7.833,8.168,9.039,9.633,10.445,10.942,11.933,11.866,11.894,12.321,13.111,14.007,14.657,15.323,15.959,15.907,16.679,17.438,18.083,18.451,19.564,20.489,21.554,23.072,24.123,25.193,26.715,28.84,29.689,30.889,31.739,32.796,32.935,34.531,36.869,36.741,35.547,37.044,37.625,40.288,42.622,43.369,44.349,44.191,45.314,47.785,49.069,50.177,52.032,53.225,55.007,56.406,56.096,57.229,59.309,62.309,64.855,67.732,71.457,75.305,79.975,84.071,86.802,89.666,93.711,97.012,100,103.714,106.788,106.686
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",1.452,1.373,1.273,1.149,1.154,1.315,1.368,1.468,1.597,1.643,1.748,1.815,2.048,2.338,2.78,2.917,3.074,3.365,3.216,3.39,3.538,3.864,4.294,4.436,4.576,4.595,4.971,5.478,5.954,6.176,6.678,7.337,8.274,9.209,9.949,10.259,10.713,11.153,11.995,13.241,14.346,16.267,17.028,18.543,20.023,21.07,21.168,21.813,21.787,23.364,25.4,26.491,27.114,27.08,28.462,29.886,30.841,32.213,33.755,35.474,37.575,39.755,40.65,41.089,42.445,44.313,47.351,50.687,55.463,62.523,70.067,76.668,83.338,88.288,94.159,97.717,100,103.853,106.403,104.684
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRA3",2.424,2.147,2.052,1.871,1.739,1.714,1.743,2.069,2.02,2.231,2.572,2.603,2.998,2.71,2.562,2.611,2.902,3.679,3.677,3.682,3.959,4.46,4.851,4.908,5.076,5.131,5.378,5.727,5.92,5.928,6.565,7.036,7.363,7.951,8.636,9.446,10.397,11.612,12.005,12.781,13.188,13.681,14.058,15.079,16.786,17.91,18.091,19.586,20.429,22.054,23.373,23.45,24.425,25.031,26.66,28.734,30.329,31.455,33.767,35.472,37.866,39.873,41.056,43.342,46.003,49.042,51.597,54.013,56.925,61.907,69.056,75.028,78.525,83.937,88.521,92.816,100,105.971,112.808,116.659
"49","42","      Household supplies (parts of 32 and 36)","DHOURA3",6.197,5.7,5.816,5.2,5.244,5.74,6.066,7.156,7.587,7.507,8.671,9.297,9.988,9.934,10.267,10.093,9.548,11.661,11.634,12.152,13.605,15.21,15.049,15.264,15.947,15.967,17.219,17.973,18.552,18.666,20.226,21.278,23.293,25.53,26.877,29.354,31.577,34.352,35.223,36.614,37.1,37.241,36.387,38.044,41.546,39.597,35.845,36.147,36.477,39.329,42.387,43.55,44.547,44.588,46.022,48.986,50.075,52.302,52.941,54.992,55.737,56.759,56.994,59.845,63.513,68.23,70.662,73.845,77.31,78.753,82.183,82.923,83.426,85.371,91.031,95.756,100,104.336,108.237,107.764
"50","43","      Personal care products (part of 118)","DOPCRA3",4.233,3.775,3.805,3.254,2.526,3.233,3.26,3.444,3.674,3.784,4.175,4.398,5.082,5.6,6.605,7.146,7.684,7.384,6.917,6.978,7.247,8.033,8.007,8.796,9.36,9.671,10.616,11.584,12.364,12.939,13.205,14.586,16.059,17.487,18.637,20.038,21.805,24.389,25.965,27.44,28.098,29.138,29.55,30.973,33.646,33.883,33.249,34.636,37.159,39.416,41.207,41.534,41.632,40.665,42.411,45.523,47.604,49.677,52.394,53.847,55.382,56.798,56.383,56.672,59.315,62.701,66.282,70.394,74.122,77.564,82.254,86.295,88.627,91.434,94.163,96.307,100,104.151,107.47,111.549
"51","44","      Tobacco (127)","DTOBRA3",59.225,53.734,54.189,48.111,50.596,54.278,57.496,61.954,65.784,66.298,67.951,69.934,75.931,82.84,87.138,85.054,88.66,100.255,104.059,107.277,107.598,109.209,113.001,117.143,115.953,111.592,113.013,116.375,120.913,124.785,131.342,133.257,137.388,137.831,138.936,136.886,140.479,140.479,141.742,140.735,138.868,141.207,142.335,145.131,153.354,155.714,155.339,166.019,160.217,163.466,162.151,163.822,166.255,159.454,151.267,151.087,150.558,147.268,147.975,136.663,134.841,129.96,120.577,125.862,123.26,124.803,126.624,128.414,128.775,124.12,115.807,113.047,110.989,107.063,105.168,104.292,100,98.366,95.883,92.718
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",15.907,15.169,14.001,12.096,12.244,13.168,13.998,15.051,15.836,15.217,16.456,17.407,19.476,20.175,22.428,23.343,25.955,28.786,29.434,29.174,29.204,29.627,30.43,31.296,32.33,33.083,33.612,33.737,33.691,33.69,35.198,35.764,33.87,37.215,38.309,37.935,39.366,44.99,44.389,45.071,47.614,48.085,46.266,49.352,52.456,49.214,47.316,49.396,51.548,58.605,64.456,65.009,65.187,64.45,64.966,68.925,68.977,70.305,74.121,78.92,81.569,84.602,82.42,80.385,82.208,85.327,85.104,85.244,86.923,87.859,90.947,94.301,90.641,89.161,91.185,96.063,100,104.132,108.041,108.018
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRA3",7.52,7.363,7.175,6.742,6.491,6.809,7.047,7.48,7.831,7.769,8.071,8.382,8.88,9.369,10.118,10.683,11.256,11.768,11.817,12.131,12.423,12.969,13.735,14.352,14.957,15.48,16.258,17.039,17.627,18.2,19.102,19.85,20.581,21.554,22.47,23.807,25.122,26.367,27.451,28.915,30.204,31.385,32.469,34.346,35.974,36.664,38.04,39.672,41.312,43.234,44.555,45.241,46.053,46.95,49.407,51.341,53.996,55.602,57.818,60.272,62.098,63.942,64.899,67.212,69.363,71.433,73.249,75.394,77.719,81.145,84.469,88.654,90.837,92.568,94.314,97.084,100,102.692,105.147,105.883
"55","48","  Household consumption expenditures (for services)","DHCERA3",7.786,7.602,7.393,6.952,6.709,7.07,7.331,7.795,8.183,8.101,8.424,8.741,9.276,9.791,10.569,11.151,11.769,12.309,12.397,12.732,13.047,13.635,14.474,15.093,15.736,16.281,17.115,17.922,18.55,19.14,20.051,20.784,21.558,22.591,23.556,24.918,26.303,27.616,28.74,30.257,31.638,32.858,33.97,35.931,37.683,38.456,39.944,41.64,43.397,45.405,46.787,47.457,48.21,48.929,51.333,53.153,55.854,57.332,59.552,61.875,63.526,65.06,65.771,67.766,69.828,71.786,73.559,75.633,78.236,81.552,84.802,88.914,90.921,92.376,93.997,96.896,100,102.412,104.793,105.181
"56","49","    Housing and utilities","DHUTRA3",6.221,6.204,6.168,6.063,5.946,6.265,6.342,6.48,6.617,6.734,6.923,7.17,7.561,7.959,8.25,8.583,8.808,9.604,10.426,11.121,11.89,12.815,13.823,14.764,15.614,16.479,17.386,18.353,19.308,20.287,21.45,22.596,23.706,25.078,26.25,27.523,28.98,30.304,31.669,33.257,35.085,36.432,38.001,40.033,41.905,43.886,45.291,46.573,47.87,50.148,51.929,53.611,54.498,54.861,56.08,58.067,60.266,61.552,63.423,65.557,67.238,68.444,69.974,71.374,73.265,75.977,78.016,79.71,81.524,84.011,86.665,89.312,91.702,92.366,93.515,95.573,100,102.14,103.093,104.069
"57","50","      Housing","DHSGRA3",6.548,6.47,6.407,6.295,6.178,6.511,6.564,6.666,6.774,6.881,7.042,7.253,7.666,8.057,8.36,8.68,8.865,9.627,10.401,11.023,11.745,12.57,13.497,14.378,15.154,15.894,16.696,17.524,18.416,19.309,20.351,21.41,22.457,23.708,24.774,25.955,27.361,28.599,29.869,31.365,33.069,34.287,35.89,37.77,39.647,41.766,42.96,44.176,45.265,47.526,49.457,51.091,52.386,52.697,53.765,55.989,58.177,59.732,61.464,63.359,65.007,66.64,68.15,69.943,71.458,74.371,76.556,78.044,80.22,82.822,85.687,88.356,91.334,91.757,92.787,95.127,100,102.873,103.661,105.14
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",12.635,12.729,12.919,12.969,12.294,13.686,13.878,14.24,14.678,15.116,15.603,16.162,16.936,17.485,17.485,17.374,16.778,17.562,18.302,19.127,20.219,21.196,22.35,23.31,24.211,24.808,25.305,25.883,26.964,28.052,29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,109.166,111.587
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",4.101,3.987,3.869,3.73,3.768,3.814,3.826,3.853,3.871,3.894,3.965,4.072,4.373,4.715,5.075,5.493,5.865,6.601,7.351,7.934,8.567,9.35,10.217,11.081,11.826,12.602,13.484,14.371,15.212,16.07,17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.335,103.61
"60","53","        Rental value of farm dwellings (22)","DFARRA3",47.979,47.791,47.581,47.256,46.961,46.646,46.622,46.652,46.813,46.779,46.946,47.373,47.924,48.169,48.229,48.192,48.045,49.178,50.032,51.173,52.179,52.986,53.692,54.181,54.63,54.968,55.068,55.315,55.5,55.621,55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,99.685,99.419
"61","54","        Group housing (23)","DGRHRA3",101.816,98.196,93.066,84.026,82.438,94.406,101.816,110.651,115.901,115.124,118.505,125.957,134.34,131.455,150.543,163.126,178.961,193.414,241.048,217.555,206.073,207.174,214.951,221.909,228.917,235.875,244.343,256.593,272.309,266.896,240.384,224.53,217.688,198.921,184.438,195.877,209.527,215.566,252.853,265.595,294.158,293.633,281.515,272.044,271.399,288.022,302.103,292.663,251.604,211.89,191.1,165.785,147.847,141.305,115.594,117.399,106.319,93.916,89.857,97.549,105.505,113.924,119.197,104.497,108.924,107.448,112.16,120.443,118.247,124.15,124.892,124.051,118.906,108.004,107.702,103.687,100,100.388,104.002,105.2
"62","55","      Household utilities","DUTLRA3",4.435,4.741,4.847,4.778,4.665,4.906,5.075,5.348,5.595,5.752,6.057,6.454,6.723,7.14,7.359,7.738,8.148,9.076,10.111,11.166,12.164,13.618,15.051,16.301,17.569,19.17,20.694,22.499,23.799,25.268,27.146,28.785,30.229,32.298,34.083,35.867,37.554,39.355,41.243,43.329,45.851,47.965,49.167,52.059,53.757,54.761,57.349,58.969,61.361,63.722,64.718,66.66,65.613,66.223,68.155,69.158,71.468,71.521,74.11,77.492,79.361,78.32,79.964,79.294,83.169,84.841,86.11,88.921,88.773,90.614,92.048,94.556,93.631,95.671,97.51,97.976,100,98.384,100.167,98.659
"63","56","        Water supply and sanitation (25)","DWRSRA3",11.045,11.74,11.74,11.377,12.061,13.305,13.099,13.723,13.929,13.762,14.596,14.917,15.462,15.94,16.229,16.503,16.65,17.748,18.339,18.967,19.698,20.193,20.91,21.302,21.808,22.13,22.186,23.057,22.849,21.965,23.903,26.242,27.486,29.28,32.037,33.441,34.888,35.258,35.482,36.773,39.32,41.769,42.494,46.181,48.489,50.675,51.26,50.702,50.806,51.403,54.817,57.318,57.004,56.624,58.711,62.688,67.116,71.281,74.337,76.197,79.039,79.349,78.203,76.733,80.41,84.038,87.185,90.021,92.006,93.483,96.456,97.428,98.337,99.32,100.533,99.654,100,103.157,103.982,103.822
"64","57","        Electricity and gas","DELGRA3",3.721,3.982,4.093,4.052,3.88,4.031,4.224,4.459,4.702,4.882,5.132,5.525,5.762,6.162,6.37,6.749,7.176,8.071,9.138,10.228,11.247,12.798,14.308,15.662,17.031,18.812,20.559,22.518,24.07,25.954,27.828,29.343,30.828,32.956,34.555,36.418,38.157,40.26,42.508,44.769,47.281,49.309,50.624,53.302,54.839,55.557,58.587,60.681,63.573,66.326,66.777,68.602,67.41,68.212,70.119,70.541,72.426,71.605,74.088,77.84,79.465,78.067,80.483,80.045,83.979,85.041,85.705,88.507,87.653,89.618,90.5,93.558,92.009,94.412,96.47,97.402,100,96.819,98.913,96.968
"65","58","          Electricity (27)","DELCRA3",1.922,2.127,2.258,2.287,2.254,2.412,2.583,2.78,2.996,3.217,3.428,3.714,3.963,4.203,4.325,4.666,4.978,5.764,6.471,7.26,8.104,9.209,10.22,11.216,12.245,13.349,14.345,15.561,16.685,17.62,18.712,19.796,20.759,22.126,23.273,24.701,26.027,27.744,29.441,31.42,33.326,35.343,36.664,38.842,41.223,42.23,45.055,47.168,51.473,53.961,54.965,57.4,57.023,57.433,61.003,61.503,63.597,64.226,67.215,70.063,71.055,71.561,73.626,72.353,76.485,78.078,79.136,80.431,80.192,85.904,86.74,89.719,88.047,92.126,93.717,95.59,100,97.716,99.178,98.455
"66","59","          Natural gas (28)","DGHERA3",11.716,12.081,11.952,11.517,10.637,10.638,10.831,11.13,11.383,11.257,11.59,12.356,12.423,13.467,14.021,14.431,15.259,16.348,18.774,20.933,22.432,25.587,28.976,31.573,34.093,38.545,43.37,48.275,51.336,57.284,62.371,65.429,68.936,74.019,77.243,80.553,83.678,86.902,91.031,93.845,98.405,99.751,100.598,104.769,101.709,100.708,103.618,105.012,101.479,104.862,103.227,102.78,98.847,100.921,97.84,98.042,99.293,93.834,94.514,101.243,105.012,96.903,100.448,103.124,106.106,105.247,104.442,112.665,109.662,98.722,99.727,102.944,101.751,99.461,102.768,101.413,100,94.861,98.438,93.652
"67","60","    Health care","DHLCRA3",5.816,5.687,5.58,5.274,4.888,5.023,5.048,5.377,5.509,5.395,5.678,5.831,6.019,6.294,6.283,6.701,6.843,8.023,8.39,9.144,9.347,9.791,10.074,10.622,11.145,11.967,12.33,13.08,13.811,14.893,16.02,16.224,16.945,18.471,19.693,21.923,22.923,24.172,25.3,27.263,29.284,30.856,33.076,35.341,37.883,39.185,41.203,43.007,45.092,47.159,48.747,50.149,52.567,52.694,54.268,55.147,56.831,58.605,61.042,63.442,64.167,66.327,67.598,69.639,69.992,70.54,72.001,73.49,75.771,78.233,79.455,82.186,86.283,91.365,93.424,96.405,100,101.828,104.524,107.635
"68","61","      Outpatient services","DOUTRA3",6.107,5.714,5.444,5.019,4.591,4.827,4.804,5.234,5.348,5.072,5.379,5.504,5.73,5.939,5.758,6.268,6.425,7.908,8.437,9.325,9.309,9.646,9.975,10.372,10.838,11.69,11.775,12.368,13.006,13.947,14.84,15.341,15.806,17.106,17.946,20.555,21.262,21.437,21.3,22.077,23.061,24.105,24.417,25.792,28.35,28.924,30.022,30.656,32.153,32.968,34.126,35.3,37.85,37.839,40.18,42.23,44.48,46.238,49.913,52.946,54.564,58.074,59.98,63.245,63.555,64.245,66.468,68.298,69.912,72.156,73.553,77.024,81.385,86.792,91.175,95.61,100,102.574,105.209,108.696
"69","62","        Physician services (44)","DPHYRA3",7.025,6.619,6.334,5.94,5.519,5.876,5.962,6.55,6.711,6.317,6.618,6.738,6.932,7.189,6.882,7.817,7.914,9.961,11.083,12.27,12.323,12.783,13.323,13.768,14.323,15.421,15.31,16.095,16.891,18.294,19.095,19.434,19.57,20.888,21.755,24.939,25.243,25.235,26.154,26.948,28.5,29.939,30.718,32.316,34.707,35.1,36.16,35.669,37.491,38.13,39.646,41.738,44.338,44.37,46.335,48.196,50.475,51.841,56.072,59.361,59.942,61.827,62.772,64.673,62.571,61.868,62.92,64.434,66.168,68.564,70.422,74.815,79.11,85.464,91.037,95.349,100,103.343,104.655,108.149
"70","63","        Dental services (45)","DDENRA3",13.999,13.08,12.462,11.312,10.096,10.512,10.031,10.818,11.057,10.795,11.829,12.346,13.38,13.802,13.779,13.569,14.08,16.547,15.687,17.28,16.966,17.55,17.834,19.115,20.309,22.251,23.389,24.493,25.732,26.626,26.694,27.221,28.234,29.481,29.147,33.023,33.932,34.633,37.207,38.749,42.082,44.886,44.477,46.947,53.096,54.377,55.786,58.931,60.952,62.878,62.849,62.787,67.3,67.304,68.517,69.194,71.298,72.482,75.023,74.632,75.062,75.326,73.747,76.376,76.372,77.836,79.824,80.356,81.828,84.185,86.114,89.516,93.81,97.894,97.221,99.559,100,99.901,100.889,99.977
"71","64","        Paramedical services (46)","DPMSRA3",2.208,2.013,1.883,1.663,1.491,1.504,1.488,1.585,1.594,1.476,1.547,1.548,1.549,1.624,1.558,1.735,1.85,2.25,2.468,2.722,2.719,2.811,2.882,2.911,3.006,3.161,3.137,3.303,3.523,3.863,5.112,5.789,6.479,7.713,8.848,10.22,11.344,11.581,9.294,9.78,9.292,9.257,9.17,9.866,11.435,11.997,12.986,14.295,15.125,15.799,16.729,16.966,18.735,18.664,21.689,24.284,26.431,28.815,31.883,35.463,38.946,45.834,50.256,55.807,60.081,62.783,66.993,69.767,71.22,73.161,73.611,75.601,80.076,84.47,88.952,94.405,100,102.516,107.904,113.328
"72","65","      Hospital and nursing home services","DHPNRA3",4.525,5.006,5.291,5.281,5.028,4.925,5.053,5.124,5.28,5.542,5.738,5.941,6.018,6.412,6.784,6.95,7.044,7.499,7.539,8,8.542,9.113,9.302,10.023,10.585,11.286,12.041,12.965,13.774,14.973,16.354,16.107,17.124,18.839,20.49,22.018,23.337,25.971,28.782,32.238,35.534,37.709,42.405,45.724,48.047,50.239,53.353,56.617,59.347,62.971,65.027,66.642,68.752,69.047,69.642,69.108,70.084,71.836,72.735,74.332,74.023,74.661,75.243,75.999,76.395,76.796,77.472,78.611,81.565,84.243,85.28,87.24,91.056,95.799,95.568,97.155,100,101.136,103.888,106.657
"73","66","        Hospitals (51)","DHSPRA3",5.509,6.095,6.442,6.429,6.122,5.996,6.152,6.238,6.428,6.747,6.986,7.233,7.327,7.806,8.26,8.462,8.576,9.129,9.179,9.74,10.4,11.095,11.325,12.203,12.887,13.74,14.659,15.784,16.77,18.23,19.895,18.827,19.697,21.506,23.02,24.002,25.666,28.253,31.042,34.505,37.502,39.646,44.428,47.979,50.268,52.719,56.141,59.768,62.599,66.355,68.695,70.258,72.673,73.287,72.851,71.471,72.115,73.494,74.595,75.372,74.385,73.882,74.269,74.607,74.683,74.939,75.016,75.923,78.816,81.543,83.085,85.419,89.956,95.396,94.807,96.81,100,101.553,104.445,107.82
"74","67","        Nursing homes (52)","DNRSRA3",0.894,0.989,1.045,1.043,0.993,0.973,0.998,1.012,1.043,1.095,1.134,1.174,1.189,1.267,1.34,1.373,1.392,1.482,1.49,1.581,1.688,1.801,1.838,1.98,2.091,2.23,2.379,2.562,2.721,2.958,3.28,5.677,7.095,8.35,10.316,13.516,13.578,16.137,18.77,21.9,25.895,27.983,31.982,34.24,36.47,37.614,39.439,41.205,43.367,46.246,47.15,48.828,49.675,48.729,53.483,56.562,58.956,62.327,62.274,67.727,70.781,77.323,78.948,82.055,84.326,85.582,89.785,92.239,95.482,97.864,96.248,96.281,96.515,97.852,99.394,98.893,100,99.023,101.063,100.781
"75","68","    Transportation services","DTRSRA3",9.376,8.269,7.305,6.393,6.406,6.796,6.956,7.786,8.203,7.819,8.426,8.995,10.03,11.05,13.711,14.898,16.014,18.891,18.482,18.409,17.522,17.008,17.609,17.82,18.274,17.699,18.276,18.782,19.122,18.844,19.585,20.222,20.469,21.234,22.159,23.372,24.561,25.979,27.36,29.107,31.055,32.142,33.502,35.426,36.015,36.216,36.704,38.538,41.26,42.256,43.532,40.952,39.427,38.57,41.476,46.339,51.195,53.422,55.613,58.825,60.148,60.085,57.231,60.126,63.53,69.552,74.795,80.925,87.03,90.652,95.659,100.113,99.191,96.482,96.794,99.065,100,99.68,100.853,95.765
"76","69","      Motor vehicle services","DMVSRA3",3.85,3.218,2.808,2.45,2.783,3.048,3.04,3.45,3.604,3.443,3.972,4.323,4.929,3.536,3.293,4.018,5.445,9.28,9.886,10.488,11.073,11.517,12.54,12.936,13.886,13.928,14.972,15.667,16.309,16.638,17.566,18.433,19.059,20.049,21.213,22.455,23.551,24.938,26.025,27.371,28.851,30.559,32.186,33.641,33.534,32.632,33.83,35.266,38.088,39.129,40.156,38.52,38.586,37.223,40.34,45.885,52.236,53.395,55.958,59.644,61.104,60.518,56.372,60.355,64.534,70.789,76.918,83.411,90.6,93.427,98.419,102.013,101.626,97.467,96.851,98.08,100,99.972,100.781,95.3
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRA3",5.24,4.357,3.786,3.293,3.755,4.126,4.091,4.654,4.845,4.613,5.334,5.81,6.639,4.697,4.365,5.362,7.326,12.637,13.429,14.237,15.025,15.542,16.595,17.154,18.451,18.421,19.784,20.658,21.55,22.055,23.406,24.545,25.303,26.566,28.076,29.621,30.953,32.737,34.093,35.661,37.408,39.439,41.327,43.014,42.809,41.603,43.035,44.809,48.428,49.788,51.202,48.586,48.344,46.707,50.893,56.762,64.351,65.835,69.438,74.085,75.609,74.244,66.871,68.561,71.265,76.12,80.445,84.02,86.958,90.052,93.175,95.976,97.427,96.089,97.933,98.995,100,97.193,97.087,90.561
"78","71","        Other motor vehicle services (61)","DOVSRA3",0.874,0.765,0.694,0.622,0.684,0.73,0.763,0.851,0.913,0.895,1.014,1.098,1.229,0.982,0.928,1.074,1.361,2.078,2.269,2.421,2.565,2.799,3.551,3.61,3.822,3.96,4.281,4.548,4.664,4.651,4.728,4.989,5.273,5.623,6.002,6.51,7.009,7.486,7.929,8.676,9.476,10.388,11.369,12.268,12.372,12.163,12.828,13.501,14.501,14.803,14.916,15.664,16.523,15.761,16.393,21.419,25.03,25.454,25.684,27.212,28.519,29.668,32.762,42.039,49.694,59.23,69.516,82.746,100.009,102.211,111.832,117.424,112.393,100.97,93.802,95.488,100,108.011,111.527,109.223
"79","72","      Public transportation","DPUBRA3",22.523,20.371,18.093,15.852,15.074,15.765,16.329,18.163,19.21,18.293,19.064,20.144,22.184,29.483,39.514,41.756,41.847,41.674,38.585,36.708,32.139,29.332,28.906,28.672,27.93,25.906,25.35,25.385,24.999,23.31,23.601,23.697,23.097,23.36,23.747,24.871,26.238,27.693,29.681,32.263,35.185,34.929,35.709,38.578,40.627,43.21,42.109,44.781,47.206,48.07,49.881,45.295,40.66,40.792,43.239,46.674,48.45,52.925,54.264,56.401,57.413,58.474,58.482,58.91,60.547,65.97,69.072,74.275,77.726,83.195,88.197,94.692,92.438,93.671,96.597,101.786,100,98.896,101.043,96.997
"80","73","        Ground transportation (63)","DGRDRA3",109.262,98.836,87.772,76.773,73.012,76.231,78.842,87.593,92.685,88.157,91.652,96.369,105.903,141.56,190.329,200.695,199.302,196.24,181.144,172.216,149.298,134.305,130.033,127.27,121.936,110.743,105.823,104.196,100.443,92.402,90.649,89.594,85.455,84.128,82.537,82.841,83.501,84.571,84.263,85.729,88.141,86.757,86.631,88.179,89.374,92.972,90.478,91.127,91.384,88.724,88.826,80.494,73.562,70.499,69.922,70.487,71.029,67.021,65.811,71.103,72.741,76.106,78.649,79.624,82.204,85.154,87.047,84.703,86.299,93.208,97.248,99.827,102.136,101.171,96.472,99.344,100,102.779,101.841,105.364
