"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"42","35","      Gross output of general government","W128RA3",4.341,4.76,4.671,4.192,8.49,13.332,12.675,22.12,18.852,21.129,23.367,21.225,15.576,13.3,10.029,15.079,13.76,20.395,18.978,24.055,28.4,22.937,19.198,22.457,28.778,27.919,28.858,24.116,24.414,23.913,34.095,29.726,29.494,35.525,38.82,41.14,42.837,43.134,45.324,45.503,47.752,47.553,49.723,53.945,53.118,55.871,57.506,57.802,60.613,63.387,65.014,67.61,68.114,65.031,67.69,65.483,69.208,71.748,70.691,67.596,73.195,78.531,79.887,83.657,81.942,82.725,81.394,79.384,81.164,81.177,80.907,85.027,88.992,94.642,97.556,98.875,100,101.899,100.819,108.262
"43","36","        Value added","W129RA3",8.055,9.441,8.772,8.515,14.651,23.264,25.218,49.704,40.876,47.099,47.344,44.438,31.909,17.188,18.624,12.436,16.488,32.535,38.389,42.596,41.043,44.909,41.979,41.193,38.272,36.649,36.92,37.602,38.442,39.51,39.569,42.297,43.325,45.677,48.574,50.265,51.977,54.776,57.837,59.514,60.322,61.199,63.019,64.669,64.909,67.854,69.073,72.264,73.942,76.038,76.458,78.871,77.513,76.883,78.649,79.693,80.852,80.808,82.903,85.52,86.759,91.216,91.907,93.957,94.453,92.634,89.973,88.639,88.919,90.583,91.858,95.203,95.816,97.871,100.194,99.696,100,100.727,101.924,105.855
"44","37","          Compensation of general government employees","W130RA3",13.054,15.591,14.196,13.607,24.329,39.069,41.406,84.07,67.761,78.138,77.965,72.187,48.327,19.415,21.178,9.358,15.951,40.65,49.591,56.09,53.421,59.361,54.597,53.298,48.854,46.367,46.871,47.989,49.291,50.866,51.012,55.109,56.53,59.511,62.968,64.436,65.656,68.261,71.62,73.309,73.965,74.933,77.403,79.674,79.87,83.862,85.33,89.559,91.57,93.936,93.813,96.357,93.517,91.752,93.073,93.122,93.334,91.972,93.585,95.95,96.478,101.277,101.007,102.832,102.752,99.855,95.876,93.314,92.741,93.819,93.999,96.914,96.861,98.731,101.159,100.197,100,100.029,100.638,104.413
"45","38","          Consumption of general government fixed capital \2\","B546RA3",1.13,1.148,1.254,1.348,1.533,2.051,3.004,3.838,4.433,5.048,5.633,6.184,7.215,8.368,8.971,9.279,9.585,9.906,10.067,10.229,10.414,10.532,10.707,10.785,10.717,10.709,10.607,10.506,10.457,10.479,10.398,10.319,10.455,11.149,12.311,13.791,15.722,17.977,19.671,20.831,21.64,22.126,22.377,22.54,22.801,23.182,23.664,24.246,24.937,26.091,27.491,29.179,31.014,32.776,35.132,38.105,41.154,44.083,47.004,49.89,52.745,55.855,59.033,61.548,63.716,65.359,67.102,69.979,73.299,77.087,82.514,87.519,90.814,93.639,95.473,97.202,100,104.267,108.52,113.271
"46","39","        Intermediate goods and services purchased \3\","W131RA3",1.751,1.728,1.858,1.423,4.049,6.231,4.542,5.428,5.307,5.372,7.966,6.646,5.142,7.587,4.104,11.844,8.791,9.788,6.044,10.063,15.61,7.883,4.696,9.041,18.131,17.813,18.864,12.405,12.363,11.094,25.465,17.429,16.426,24.019,27.138,29.6,31.072,29.569,30.872,29.982,32.98,32.003,34.242,40.249,38.57,40.934,42.799,40.543,44.154,47.356,49.961,52.528,54.652,49.581,52.851,47.839,53.668,58.439,54.464,45.945,55.832,61.872,63.897,69.446,65.266,69.105,69.411,66.598,70.241,68.142,65.851,70.984,79.43,89.973,93.718,97.667,100,103.629,99.155,111.807
"47","40","          Durable goods","A543RA3",0.504,0.612,0.508,0.407,3.94,9.081,13.208,9.783,8.801,9.76,9.619,10.005,19.875,12.799,11.849,7.36,13.133,10.366,11.413,8.393,7.133,7.243,7.181,6.627,6.066,6.868,5.673,5.791,5.323,4.157,3.148,3.79,6.865,11.107,15.434,20.01,25.561,26.552,23.3,18.592,16.214,12.947,12.405,13.325,10.507,9.152,9.786,10.505,12.11,15.259,18.446,21.524,19.135,16.423,25.012,27.133,27.736,27.988,31.273,32.686,35.949,40.969,42.19,45.671,45.453,43.197,42.358,48.874,51.926,52.002,56.912,60.738,65.28,79.13,77.479,86.759,100,106.846,108.922,124.613
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",2.849,3.038,2.181,0.713,6.029,11.236,6.82,9.927,12.107,11.381,10.889,8.514,5.932,7.57,8.257,10.321,19.687,33.724,7.854,15.064,17.252,7.759,13.612,8.498,8.478,8.228,9.499,14.744,20.376,9.096,25.024,19.772,23.079,22.952,25.589,27.484,27.635,32.356,34.946,28.06,35.27,36.153,34.402,38.675,33.394,36.737,27.805,35.164,40.225,47.019,47.071,46.448,77.011,54.898,57.468,60.074,52.685,46.536,53.012,52.186,46.323,49.394,42.1,51.561,57.935,49.585,57.399,51.454,60.706,66.449,47.231,51.072,67.998,72.99,82.201,93.012,100,93.233,89.261,100.893
"51","44","          Services","A544RA3",3.372,3.213,3.985,3.566,6.993,8.778,5.708,7.14,6.038,6.346,7.489,6.42,5.165,6.314,13.038,12.418,17.835,16.402,7.129,10.093,9.323,8.822,6.462,11.009,11.042,11.915,12.381,13.571,13.312,12.259,16.055,18.834,22.28,25.961,32.611,37.364,38.593,41.923,38.679,34.15,33.354,37.908,41.323,48.907,49.085,49.649,52.283,46.929,49.659,53.405,57.126,56.791,51.655,49.714,52.182,52.69,55.102,54.993,59.853,59.123,59.999,67.885,69.564,75.42,67.977,75.362,73.516,71.034,73.085,68.744,70.192,74.642,81.144,93.66,96.575,99.754,100,105.506,100.693,113.509
"52","45","      Less: Own-account investment \4\","W136RA3",7.25,7.946,9.616,11.601,319.335,337.79,599.74,443.074,362.737,313.046,335.196,335.142,290.056,228.202,134.423,58.911,84.809,13.183,13.121,23.37,29.455,35.144,66.736,96.876,99.919,85.036,69.505,68.207,75.597,81.844,115.911,107.965,114.152,112.294,100.821,96.563,98.885,106.089,114.963,101.069,92.151,93.646,100.661,104.51,93.016,84.076,79.181,74.144,64.894,73.555,82.171,91.445,88.444,92.738,98.276,106.958,118.756,118.819,130.267,136.599,148.355,161.75,163.53,164.396,159.552,148.925,149.209,141.556,135.219,139.065,124.442,100.566,120.682,104.107,96.738,96.352,100,98.517,94.82,104.305
"53","46","            Sales to other sectors","W137RA3",1.009,1.153,0.577,0.324,0.324,0.577,0.432,0.504,0.757,0.865,1.878,2.269,2.438,4.349,21.436,70.117,165.449,191.623,92.565,43.343,22.289,44.698,29.572,26.911,24.823,35.542,89.318,33.595,66.132,47.51,51.621,37.092,37.032,38.182,54.058,46.187,40.968,42.316,50.456,60.763,64.736,61.606,60.883,84.023,78.642,79.937,76.18,91.768,114.788,127.575,146.078,126.648,110.5,100.086,111.93,113.443,116.861,123.609,131.684,141.83,143.046,131.098,152.993,126.163,101.733,108.689,102.178,101.174,66.438,97.082,63.835,93.069,60.057,52.798,58.233,65.259,100,73.961,66.355,79.864
"54","47","State and local consumption expenditures \1\","A991RA3",9.961,10.608,11.221,11.389,11.208,11.486,12.182,9.912,10.747,10.807,11.482,12.153,12.589,12.894,12.779,12.529,12.824,13.222,14.113,14.262,15.525,16.489,16.437,16.66,17.224,17.954,19.137,19.831,20.886,22.518,23.459,24.803,26.163,26.91,28.228,30.09,32.063,34.024,35.589,37.896,40.299,42.714,44.816,46.515,48.127,50.32,52.81,53.54,54.56,55.659,56.025,55.905,55.684,56.506,57.146,58.217,61.25,65.137,65.913,68.142,70.358,72.605,74.067,75.803,77.334,79.292,81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.523,103.255
"55","48","      Gross output of general government","W138RA3",8.98,9.683,10.281,10.375,10.542,11.867,12.072,12.557,12.289,13.615,13.702,13.519,13.396,12.653,11.759,11.446,11.712,12.05,12.979,13.177,14.45,15.38,15.333,15.6,16.104,16.818,17.959,18.636,19.628,21.219,22.256,23.431,24.74,25.653,27.074,28.896,30.912,32.902,34.567,36.928,39.167,41.424,43.631,45.418,47.005,48.902,51.037,51.906,52.911,54.169,54.858,54.89,54.982,55.899,56.709,57.65,60.516,64.089,64.898,66.958,69.161,71.241,72.843,74.782,76.63,78.688,80.689,82.169,84.541,87.882,90.876,93.364,96.949,99.725,99.453,99.619,100,100.777,102.697,103.819
"56","49","        Value added","W139RA3",12.832,13.35,13.806,13.742,13.842,14.682,15.392,14.573,15.008,15.626,15.916,16.11,16.241,16.024,15.627,15.268,15.586,16.397,17.429,17.882,19.068,19.73,20.247,20.916,21.828,22.795,23.85,25.344,26.735,28.375,29.558,31.123,32.729,33.923,35.695,37.834,40.136,42.52,44.306,46.962,49.108,51.285,53.374,55.218,57.153,59.228,61.031,61.834,62.782,64.246,65.393,66.275,66.243,66.668,66.4,66.796,68.713,70.704,72.064,74.53,76.817,79.103,80.121,81.482,82.604,84.037,85.707,87.035,88.759,90.665,92.162,94.111,96.351,98.313,98.892,99.324,100,100.882,102.607,104.066
"57","50","          Compensation of general government employees","B251RA3",14.066,14.567,14.995,14.796,14.85,15.858,16.71,15.597,16.049,16.713,16.931,17.052,17.163,16.882,16.425,16.029,16.495,17.567,18.876,19.377,20.782,21.477,21.982,22.679,23.673,24.698,25.803,27.449,28.941,30.718,31.903,33.578,35.294,36.498,38.38,40.669,43.13,45.665,47.462,50.31,52.558,54.864,57.095,59.056,61.123,63.349,65.26,65.994,66.941,68.514,69.684,70.52,70.286,70.632,70.139,70.382,72.35,74.354,75.611,78.139,80.372,82.545,83.273,84.439,85.362,86.66,88.211,89.354,90.905,92.573,93.741,95.425,97.472,99.25,99.52,99.57,100,100.639,102.195,103.445
"58","51","          Consumption of general government fixed capital \2\","B986RA3",6.13,6.549,6.97,7.348,7.575,7.721,7.852,8.053,8.329,8.662,9.077,9.43,9.581,9.576,9.426,9.252,9.103,9.01,9.066,9.274,9.587,9.993,10.412,10.833,11.29,11.863,12.533,13.226,13.997,14.85,15.793,16.681,17.603,18.566,19.632,20.852,22.176,23.604,25.114,26.608,28.053,29.404,30.617,31.729,32.852,34.018,35.123,36.112,36.956,37.761,38.684,39.675,40.537,41.257,42.034,43.127,44.64,46.412,48.233,50.206,52.659,55.481,58.178,60.696,63.051,65.329,67.745,70.251,73.088,76.565,80.306,84.101,87.703,91.02,93.957,97.402,100,102.749,105.748,108.76
"59","52","        Intermediate goods and services purchased \3\","W140RA3",3.48,4.129,4.689,4.901,5.09,6.536,6.254,7.734,6.932,8.548,8.432,7.953,7.637,6.638,5.563,5.368,5.524,5.366,5.984,5.903,6.989,7.987,7.399,7.212,7.202,7.521,8.564,8.231,8.62,9.921,10.639,11.194,11.978,12.435,13.26,14.489,15.941,17.231,18.61,20.411,22.679,24.965,27.283,28.937,29.94,31.512,34.072,35.012,36.071,36.974,36.948,35.74,36.003,37.575,39.937,41.674,45.934,52.009,51.88,53.223,55.256,56.957,59.554,62.499,65.64,68.829,71.432,73.184,76.724,82.701,88.515,92.017,98.149,102.512,100.552,100.191,100,100.576,102.865,103.37
"60","53","          Durable goods","B989RA3",3.232,2.962,3.322,3.034,3.296,4.673,4.101,8.666,7.397,9.949,9.408,7.253,5.68,3.443,1.423,1.106,1.225,1.874,2.777,3.611,3.88,3.946,4.171,4.537,4.736,5.229,5.105,5.666,6.897,6.941,7.807,8.239,8.728,9.343,9.946,10.632,11.927,12.855,13.524,15.698,17.941,20.293,23.455,26.11,28.174,29.616,30.375,31.696,32.839,33.667,34.417,34.073,35.351,36.539,38.231,40.499,42.572,45.978,47.646,48.959,51.22,52.509,54.424,56.062,57.805,60.387,64.455,66.267,70.924,78.915,86.186,92.401,99.391,100.744,99.076,99.583,100,101.616,104.905,106.335
"61","54","          Nondurable goods","B337RA3",4.304,5.193,6.057,6.64,6.849,8.532,7.762,9.803,8.534,10.786,10.546,9.965,9.56,8.269,6.956,6.698,6.664,5.907,6.547,6.236,7.908,8.9,7.633,7.6,7.498,7.715,8.982,8.344,8.539,10.447,12.723,13.372,14.234,14.747,15.511,16.626,17.822,18.64,19.611,21.217,23.153,25.64,28.21,29.259,29.676,30.368,33.268,36.09,38.487,39.471,39.167,37.477,37.323,38.203,40.126,42.256,45.186,49.246,50.75,52.307,54.394,56.149,58.835,61.549,64.332,68.103,71.175,73.126,76.518,82.066,87.937,91.622,97.919,101.545,99.741,99.921,100,100.851,103.17,104.02
"62","55","          Services","A988RA3",2.886,3.46,3.812,3.813,3.974,5.232,5.364,5.969,5.591,6.576,6.616,6.476,6.422,5.83,5.055,4.921,5.232,5.459,6.034,6.03,6.743,7.883,7.744,7.345,7.379,7.758,8.803,8.566,8.982,10.018,9.655,10.165,10.935,11.336,12.225,13.592,15.223,16.856,18.584,20.451,22.918,25.067,27.121,28.986,30.195,32.344,34.891,34.489,34.637,35.491,35.553,34.583,35.02,37.116,39.834,41.256,46.543,54.004,52.821,54.051,56.026,57.738,60.358,63.553,67.014,69.978,72.204,73.85,77.356,83.348,89.008,92.194,98.178,103.124,101.067,100.375,100,100.353,102.56,102.8
"63","56","      Less: Own-account investment \4\","W144RA3",13.981,15.687,14.261,9.343,31.388,103.742,76.987,255.195,184.544,269.988,233.391,178.014,141.781,68.848,10.225,2.691,3.093,5.687,9.491,11.945,15.887,16.741,18.657,22.023,20.899,21.845,21.599,24.169,24.461,26.191,35.485,33.267,34.837,36.996,41.601,41.071,42.212,44.542,43.196,45.515,45.821,46.34,46.374,45.204,43.88,46.71,44.027,38.912,35.486,38.199,44.176,46.041,43.994,44.318,43.999,48.851,52.741,56.46,57.678,60.308,67.361,70.524,73.626,72.884,72.45,73.107,74.149,75.036,82.065,83.766,86.962,91.927,100.019,99.994,97.342,99.09,100,102.994,107.984,110.775
"64","57","            Sales to other sectors","W145RA3",3.733,4.561,5.223,5.389,5.333,5.64,5.728,4.745,4.949,5.333,5.689,6.094,6.312,6.365,6.292,6.271,6.366,6.222,7.039,7.277,8.324,9.055,8.862,9.072,9.404,9.999,11.04,11.436,12.149,13.51,14.26,14.815,15.827,17.576,19.311,21.146,23.527,25.673,28.262,31,32.472,33.982,37.103,39.785,41.541,41.518,41.933,44.309,45.687,47.844,50.045,50.847,53.09,54.665,56.593,56.461,58.356,60.258,61.229,62.393,64.167,65.372,67.526,70.569,73.951,76.526,79.379,80.869,83.625,86.212,88.367,92.735,97.586,98.822,98.864,99.667,100,100.88,103.086,105.753
"65","58","              Tuition and related educational charges","B1065A3",4.561,5.352,5.928,5.559,5.146,5.009,5.005,4.867,4.81,4.878,4.81,4.81,4.688,4.59,4.233,4.078,4.191,3.968,4.351,5.222,5.941,5.811,5.768,6.098,6.585,7.131,8.005,9.088,10.472,11.893,12.8,14.15,15.493,17.516,20.005,23.408,27.18,30.798,34.338,38.635,42.494,49.489,55.733,59.173,63.819,63.611,63.7,65.758,68.442,72.165,74.213,76.687,78.344,78.21,80.735,80.623,80.574,81.249,81.783,84.323,86.89,88.834,90.265,91.984,90.86,90.947,91.269,91.537,93.627,96.172,99.005,102.395,102.943,103.015,103.063,99.906,100,100.89,102.107,103.382
"66","59","              Health and hospital charges","B1066A3",6.404,8.008,8.951,8.608,7.706,7.278,6.829,6.66,6.554,6.679,6.549,6.505,6.291,5.891,5.644,5.36,5.353,4.696,4.462,5.24,5.876,5.618,5.669,5.785,6.06,6.675,7.471,8.542,9.701,12.209,12.805,11.867,12.094,14.161,14.686,15.861,18.106,20.688,23.46,27.395,28.357,28.873,33.652,38.573,42.798,44.114,45.319,48.174,49.07,52.5,56.922,57.396,61.01,62.826,64.423,62.888,64.347,66.028,66.066,66.085,66.621,67.318,70.159,74.225,78.611,81.717,85.383,85.026,87.1,89.637,91.126,95.583,103.617,104.1,102.183,102.528,100,99.98,102.564,106.851
"67","60","              Other sales","W146RA3",2.426,2.955,3.493,3.943,4.252,4.86,5.118,3.8,4.134,4.635,5.214,5.827,6.241,6.461,6.501,6.593,6.713,6.784,8.042,7.892,9.087,10.373,10.058,10.265,10.558,11.087,12.163,12.032,12.296,12.886,13.592,14.745,16.016,17.284,19.349,20.985,22.801,24.039,25.928,27.117,28.133,28.742,29.505,30.091,29.214,28.358,28.266,30.046,31.252,31.812,32.128,32.665,33.678,35.301,37.164,38.364,41.132,43.515,45.513,47.335,50.082,51.543,53.05,55.231,59.091,61.997,64.867,69.34,73.274,75.918,78.582,83.28,86.175,89.027,91.722,95.539,100,102.124,104.464,105.863
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
