"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"45","38","    Multifamily structures","C292RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3,2.6,3.3,4.8,6.4,6.4,6,5.2,4.7,7.2,9.5,9.5,12.9,17.2,19.4,13.7,6.7,6.9,10,12.8,17,16.7,17.5,15.5,22.4,28.2,28.5,31,25.5,22.3,22.3,19.3,15.1,13.1,10.8,14.1,17.9,20.3,22.9,24.6,27.4,28.3,30.3,33,35.1,39.9,47.3,52.8,49,44.2
"46","39","  Other structures","A863RC1",0.7,0.6,0.4,0.2,0.3,0.5,0.5,0.4,0.4,0.4,0.6,0.7,0.7,0.6,0.5,0.6,0.8,2.4,3.5,4.2,3.7,4,4.3,4.9,5.1,5.3,6,6.6,6.6,6.4,7.9,8.3,8.5,8.5,9.1,9.5,9.7,9.8,10.1,11.1,12.4,13.2,15.8,18,19,20.7,24.5,29.6,35.7,43.3,48.6,50.2,49.5,45,53.7,61.3,67.2,79.4,85.2,90.9,90.1,85.8,84.8,95.3,109,119.5,125.1,136.6,144.7,155.3,167.2,176.1,185,202.4,223.4,253.9,284.4,282.8,264.5,237.3
"47","40","    Manufactured homes","A945RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.9,1,1.1,1.2,1.7,2.3,2.3,3.2,3.9,4.4,3.3,2.5,3.2,4.2,4.7,5.1,4.6,4.9,4.8,6.3,6.3,6.1,5.3,5.3,5.2,5.1,4.9,4.4,5.5,7.3,9.6,11.6,13.2,13.9,14.7,14.3,11,9,9.5,7.9,8.4,10.1,8.3,6.9,5.9
"48","41","    Dormitories","C295RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.4,0.6,0.6,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.3,0.3,0.5,0.3,0.5,0.6,0.8,1,1.3,1.4,1.6,1.5,1.8,1.7,1.5,2.1,2.9,3.7
"49","42","    Improvements","A946RC1",0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.3,0.5,1.8,2.7,3.4,3.1,3.4,3.5,3.9,4.1,4.2,4.7,5.1,5.4,5.3,6.1,6.5,6.7,6.2,6.5,6.6,6.6,7,7.4,7.6,8.2,9,10.1,10.9,10.8,13.2,16.4,19,21.8,26.6,30.2,34.1,34.6,31.6,34.3,40,43.8,54,58.1,60.8,61,57.9,56.9,63.8,74,78.9,81.3,87,91,93.8,101.2,109,115.9,125.9,137.3,150.2,164.4,173.8,171.9,165.5
"50","43","    Brokers' commissions on sale of structures","A758RC1",0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,0.9,1.1,1.4,1.2,1.3,1.5,1.7,1.8,1.9,1.8,1.8,2.1,2.3,2.5,3.5,4.2,4.7,4.9,5.8,7.6,10.2,12.5,13.7,12,10.5,9.1,13.5,15.4,18.2,22.1,23.5,25.2,24.7,23.9,24.8,27.1,29.2,31.7,33,37.5,41.5,48.9,53.8,56.1,60.4,68.8,80.3,96.1,109.9,101.5,86.6,66.9
"51","44","    Net purchases of used structures","A759RC1",0,0,0,0,0,0,0,-0.2,-0.2,-0.2,0,0.1,0,0,0.1,0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.4,-0.7,-0.3,-0.3,-0.4,-0.3,-0.2,-0.3,-0.4,-0.6,-0.8,-0.8,-0.8,-0.9,-1.1,-1.1,-1.1,-0.9,-0.4,-0.4,-0.5,-0.7,-0.5,-0.7,-0.8,-0.8,-0.7,-1,-1.3,-2.3,-2.3,-1,-1.3,-1.6,-1.5,-1.5,-2,-1,-1.2,-1.7,-2.4,-3.1,-3.4,-1.3,-1.8,-3.4,-3.8,-2.4,-1.6,-2.9,-3.8,-4.7
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RC1",9.2,6.6,4.3,2.1,1.6,1.9,2.5,3.6,4.7,4.2,5.1,5.8,7,4.1,2.8,3.4,4.6,13.8,18.9,24.1,23,29.5,29.4,29.7,31.9,33.7,38.6,40.5,40.1,39.1,44.7,44.5,44.8,48.3,51.5,56.1,60.4,61.8,62,69.9,77.6,78.8,94.8,112.2,124.9,121.2,116.6,139,172.6,210.2,242.1,244.4,276.4,271.1,290.1,338.6,360.4,371.1,380.6,391.3,403.3,398.4,359.7,377.5,409.9,451.7,471.7,515.8,552.1,607.7,651.2,703.6,731.6,718.5,774.5,883.8,1007.2,1085.7,1070.7,1013.7
"54","46","    Nonresidential structures","A771RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.2,2.2,1.8,2.4,3.2,6.6,7.7,9.3,9,9.9,11.9,12.2,13.5,13.8,14.9,18.2,18.9,17.6,18.2,19.7,19.9,21,21.5,24,28.4,31.3,31.3,33.4,37.5,40.2,42.7,47.2,54.9,61.1,61.2,65.8,74.3,93.2,117.4,136,167.2,177.4,154.3,177.2,194.2,176.3,173.9,182.3,193.3,202.8,183.7,172.7,177.1,186.6,206.9,223.9,248.5,274.3,283.2,317.2,325.8,282.6,281.9,306,350.3,432.7,534.9,608.6
"55","47","    Residential structures","A756RC1",3.7,2.1,1.6,0.7,0.5,0.7,1.1,1.7,2,2.1,2.8,3.2,3.8,1.9,1.1,1,1.4,7.1,11.2,14.8,13.9,19.7,17.5,17.6,18.3,19.9,23.7,22.3,21.2,21.5,26.5,24.8,25,27.3,30,32.1,32.1,30.5,30.6,36.5,40.1,38.6,52.1,65,70,60.1,55.4,73.1,98.2,117,124.7,108.5,109.2,93.7,135.8,161.4,166.2,194.9,206.7,209,210,195.6,176.1,204.8,232.8,265.2,264.8,291.9,303.7,333.4,368.1,386.4,405.8,435.8,492.6,577.8,656.9,653,535.8,405
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
