"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"39","31","        Information processing equipment","Y034RL1",NA,-23.2,18.6,-7,26.5,-17.1,-7,41.9,-18.6,-32.7,-19.2,-8,14.7,74.1,7.2,33.6,-25.2,25.2,26.3,6.3,21.9,52.4,-42.8,49.1,27.9,5.2,19.8,-34.5,-7,-20.1,7.9,1.9,-12.5,50.1,79.8,26.5,-22.2,62.6,-17.6,10.3,7.1,43.7,37.9,-34.4,-23.1,-23.4,9,16.5,7,6.9,9.6,46.4,20.1,27,-9.2,29.9,-19.6,47.3,7,10.9,32.1,-9.2,-9.4,13.4,29.2,28.3,19.1,4.5,23.1,7.2,0.7,35.5,4.5,29.9,21.6,30.5,36.7,34.3,24,18.7,-11,3.4,-6.9,28.6,7.4,-6.5,11.2,-4.2,35.3,38.9
"40","32","          Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,216,0,0,0,0,144.1,0,0,107.4
"41","33","          Other","A937RL1",NA,-21.8,18.7,-7.1,25.9,-16.8,-8.5,42.9,-19.3,-31.9,-19.9,-7.7,16.6,72.1,7.6,33.1,-25.5,25.1,27.3,5.3,23.3,52.3,-42.6,48.9,27.4,4.8,19,-33.9,-7.9,-20.2,8.2,2.7,-12.5,51,79.1,26.5,-22,62.3,-17.8,9.7,8.1,42.7,37.5,-33.7,-23.3,-23.7,10.1,15.4,7.6,7.1,7.7,40.7,10.5,26.1,-14.6,24.7,-20.6,48.6,-0.6,11.9,29.2,-9.7,-17.5,-1.3,13,15,11,-0.2,16.8,6.4,-1.2,33.5,0.3,20.8,20,12.1,28.5,18.7,8.7,5.1,-12.5,2,-6.9,23.8,6.8,-13.1,5.3,-4.7,33.5,28.9
"42","34","        Industrial equipment","A680RL1",NA,-25.2,3,-33.2,39,-22.7,-25.4,28.2,-30.8,-47.1,-24.6,-18.2,36.8,101.3,8.9,75.9,-44.1,40.4,48.1,-11,4.7,32.7,-47.6,11.8,41.9,19.5,14.6,3.6,-7.9,-0.8,29.6,-20.6,-28.8,24.9,24,33.9,-14.2,7.6,34.1,-10.8,1,-1.5,3,-14.8,-31.4,-21.9,-17.3,15.1,12,-8.6,1.3,27.2,8.6,33,-22.3,-13.2,-23.2,16.7,3.2,34.1,1.3,4.3,-15.1,-12.6,24.3,21.1,19.8,11.8,7.7,1.1,22.8,38.1,5.4,18.5,25.4,8.1,14.1,27.1,5.4,3.9,3.8,-7.8,-17.6,9.2,6.4,-10.3,-5.6,8.5,15.2,8.5
"43","35","        Transportation equipment","A681RL1",NA,9.5,-19.5,69.3,17.3,-27.2,-4.5,-17.6,10.9,16,0,5.8,-17.5,22.7,140.9,-31.8,-1.5,-21.7,-13.5,-26.9,-1.3,-29.5,-51.6,149.2,40,14.5,9.9,-1.6,-32.8,-31.8,10.4,14.5,68.7,51.5,27.6,-18.5,-30.4,-9,-22.4,29.6,14,-0.8,29.7,-12.1,-61.6,-41.2,-16,74.8,79.5,50.5,37.9,-39.1,62.7,-17,-0.2,-37.5,-14.7,18.2,18.7,60.6,15.2,18.7,19.6,1.5,-23,-18.5,15.4,32,11.4,16.2,32.1,-31.5,148.8,-2.5,17,17.2,30.7,-0.9,-13.4,0.8,-25.5,18.1,18.2,7.4,67.4,-15.6,25.2,26,9.3,-8.2
"44","36","        Other equipment","A862RL1",NA,0.6,-30.9,95.5,72.5,-24.4,17.4,30,-42.7,-16.1,-35.5,-4.4,20.4,53.6,22.3,-29.3,7.6,-8.2,-2.4,37.5,-3.9,7.6,-44.4,55.9,16,-33.1,16.8,-25.1,-25.8,23.1,25.7,10.9,0.9,42,12.9,26.5,-6.5,-17.2,14.9,-19.2,8.7,-20.8,3.8,-4.5,-8.7,18.5,18.5,3.2,5.3,6.9,5.2,4.2,-19.7,-2.6,-28.7,-4.1,13.6,11.6,-5.8,-3.9,3.8,26.6,10.2,10.7,20.2,15.7,19.2,15.9,3.6,10.2,-0.4,31.5,7.9,-6.5,29.1,17.1,19.4,7,1,4.4,-27.7,8.8,-10.5,14.9,-12.5,-0.9,13.5,24.5,9.6,-7.5
"45","37","      Intellectual property products","Y001RL1",NA,-4.9,-0.2,-7.9,3.5,-6.1,0.2,-2.7,-14,-1,3.4,18.5,14.4,6.3,1.9,-3.9,-10.5,-4,7.7,17.5,39,30.6,29.2,33.3,18.8,19.6,8,4.9,4,2.6,3.5,5.9,3.6,11.1,15,22,20.1,16.5,9.7,9.3,-4.1,0.7,4.9,2,1.1,5.9,10.7,14.7,12.7,7.2,-1.9,3,6.6,5.2,17.7,9.3,12.2,13.4,7.7,4.6,0.6,4.5,4.6,9.4,13.6,14.5,7.4,4.9,-1.6,4,7.6,8.9,18.8,13.7,13.9,14.4,14.5,12.3,11.4,10.4,7.3,2.9,7,7.1,7.6,10.6,7,5.8,2.8,8
"46","38","        Software \4\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.8,9.6,9.4,52.4,17,34.5,60.2,123.2,103.8,161.6,105,54.2,7.9,0,-7.3,-7.5,48.9,46.7,65.6,64.6,53.4,51.3,45.5,47.4,6.9,3.3,-6.4,10.4,16.1,19,18.1,21.7,30.3,51.2
"47","39","        Research and development \5\","Y006RL1",NA,6.4,5.2,8.5,3.4,-4.9,0.5,-14.2,-28.3,-15.3,-3.6,9.1,39.4,31.5,21.2,3.4,-9.6,2.8,11.7,33.2,58.8,36.1,37.2,42.5,23.3,21.1,13.2,8.3,6.1,2.9,-2.2,-0.1,-10,9.1,20.6,35.4,45.4,28.7,11.5,7.4,-7.9,-4.5,3.4,3.8,6.3,5.8,13.8,10.5,5.1,9.8,1.5,9.9,20,10.4,4.8,2.7,3.8,8.9,8.9,10.1,7.4,9.8,5.5,6.3,8.2,8.4,7.2,5.8,6.3,9.3,10.3,10.9,14.7,12.1,10.9,13,9.1,12.4,12.6,11.5,11.4,8.2,9.6,7.1,9.3,7.7,7,7.6,6,7.2
"48","40","        Entertainment, literary, and artistic originals","Y020RL1",NA,-15.1,-6.3,-23.5,3.3,-7.7,0.3,12.7,5.1,15,10.2,27.8,-4.2,-14.4,-16.7,-12.1,-11.8,-12.6,2.8,-2.1,12.6,22.5,16.6,18,11.3,16.7,-1.4,-1.4,0.6,1.8,15.6,17.6,31.1,14.2,6.3,2.4,-16.3,-5.4,5.9,13.3,5,12.1,8.1,-1.7,-8.6,6.3,4.5,24.1,29.8,3,-9,-12.8,-24.3,-14,46.6,22.2,33.9,23.2,5.2,-7.6,-13,-7.9,-1.1,9,18,15.7,-2.6,-3.5,-18.5,-6.6,4.6,7.6,23.3,11.9,11.8,8.2,18.5,3.9,0.8,-0.3,-1.5,-8.7,5.6,6.2,1.8,14.6,3.8,-2.6,-11.8,-2.6
"49","41","    Residential","A011RL1",NA,-18.5,76.7,102.4,-5.1,25.3,-12.1,-26.2,-26.4,-6.5,38.8,58.4,52.7,44.2,23.7,-17.4,-19.1,-43.6,-23,3.9,10.9,7.6,-3.8,23.4,6.6,1.3,-14.1,-3.2,4.4,28.8,26.7,27.5,32.8,5.9,-8.2,-15.8,-9.8,-2.1,-7.3,-5.8,-5.4,-9.1,-5.2,-0.5,-14.8,1.4,32.1,48.6,53.4,14.7,-7.3,-10.9,12.9,-28.9,-11.4,-0.4,1.6,1.6,23.7,14.3,7.2,13,-0.3,-0.6,14.9,31.9,7.9,13.2,26.9,-18.5,-6.3,-6.9,2,3.5,1.9,-7.6,10.4,-27.7,-12.6,-35.8,-10.6,54.7,23,25.3,1.2,10.1,8.3,5.7,14.1,-3.7
"50","42","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Exports","A020RL1",NA,-4.9,-18.8,-38.2,-17,-32.4,9.8,-13.4,57.3,-3.5,-29.4,-43.9,-6.4,5,10.7,36.5,21.6,45.5,10.2,-3.7,23,-37.2,-28.1,2.8,-6.6,2.5,17.1,-12.5,-16.8,71.1,-12.2,19.6,15.8,-9,28.9,1.8,20.4,29.8,13.9,19.2,28.7,-11.3,-10.8,-11.4,-34.2,1.9,1.3,-1.2,29.2,14,13.3,-10.3,60.4,27.9,-9.7,8.6,-2.7,-5.5,-2.2,13,-1,44.3,-20.6,-8.4,9.7,55.7,-19.7,21.6,26.9,6.8,-3,12.4,-36.7,99.1,-21,32.3,-6.8,18.7,-14.2,13.9,7.9,-3.6,-9.4,11.9,12.1,8.2,25.6,-5,-40,124.5
"55","47","    Goods","A253RL1",NA,-10.7,-20.3,-41,-15.5,-34.6,10.7,-15.1,64.1,-5.6,-28.3,-44.5,-12.1,4.7,14,37.5,17.2,46.3,9.7,-7,24.3,-40.6,-25.9,6.3,-13.6,7.3,21.3,-13.7,-20.8,93.3,-19,23.9,16.6,-11.9,28.6,1.2,23.4,30.8,15.9,19.3,30.8,-12.4,-13.1,-23.7,-27.2,-4,2.6,-4.6,-20.1,11.8,45.9,-17.3,80.8,21,7.2,0.7,2.6,-24.7,22.5,7.4,-4.8,28.7,0.8,-19.3,1.5,48.4,7.2,20.3,19.3,-0.4,11.4,8.4,-47.1,98.9,-12.1,38,-4.3,-6.7,1.4,8.9,-1.5,-0.8,-5.9,7,14.2,5.9,30.7,-9.5,-43.9,157.4
"56","48","    Services","A646RL1",NA,38.3,-8.5,-17,-25.5,-18.6,3.9,-3.5,23.3,10.2,-35.3,-40.4,26.5,6.1,-3,31.5,44.9,42.3,12.4,14.5,17.1,-20,-36.4,-11.6,30.1,-15.3,0.5,-7.3,2.7,-0.5,26.3,2.7,11.9,5.4,30.3,4.6,7.9,25.1,5.5,18.9,19.5,-6.1,0.7,61.8,-55.6,30,-4,13,461.8,18,-42.1,13,14.1,51.1,-47.3,39,-18.5,88.2,-50.4,33.5,11.8,98.8,-60.7,36.1,36.8,76.9,-66.3,26.3,55.4,32.4,-37.7,27.4,9.4,99.3,-42.4,15.8,-14.8,142.6,-47,30.7,41.1,-11.2,-18.8,27.1,6.7,14.9,12.6,8.7,-28.6,55.4
"57","49","  Imports","A021RL1",NA,7.9,-38.2,23.3,61.9,16.8,22.6,-6.3,-11.4,-5.8,-15.3,6.1,11.7,23.9,132,0.7,0.1,-12.6,-29.8,-10.1,55.3,-2.1,26.8,41.1,-9.6,22.4,-1.5,-18.3,-21.1,41.2,-22.1,3.8,25.8,24.7,6.9,15.3,17.8,-2,3.5,-17.1,35.8,3.2,-7.5,1.4,6.1,18.2,-5.9,22.6,10.7,20.9,3.8,-9.8,16.1,3,-11.2,-17.6,-1.9,5,29.2,9.8,12.7,9.1,5.2,5,-9,9.8,10.5,-1.3,-0.4,9.3,11.2,11.3,-13.6,56.2,1.6,21,10.7,10.3,24.4,4.5,6.4,-3.1,5.3,22.8,25.8,6.2,26.3,-3.3,-32.7,105.5
"58","50","    Goods","A255RL1",NA,9.5,-43.9,5.5,86.4,16.6,8.9,-1.2,-10.2,-12.3,-10.7,13.8,9.2,26.5,176.5,-6.9,-7.1,-16.5,-44.4,-26.4,64.8,4.3,15.2,29.5,-6.9,25.3,-11.2,-29.6,-14.4,46.2,-29.4,-2.8,50.6,4,1.1,46.9,17.1,-12.8,-4.5,3.7,9.3,5.5,-6.4,21.3,-16.1,8.7,4.7,34.4,23.9,27.3,3.7,-13.8,8.6,5.7,-19.8,-17.8,-4.2,7,49.5,10,15.4,13.1,7.3,-0.6,-5.2,14.4,10.9,-1,-3.2,14.5,15.9,14,-17.1,79.4,3.6,21.1,10.9,6.3,28.4,4.9,1.3,-11.1,3.3,42.7,36.1,10.2,30.7,-6.4,-42.3,157.2
"59","51","    Services","A656RL1",NA,3.5,-14.8,97.9,5.7,17.4,73.9,-19.5,-15.1,15.7,-26.7,-13.5,20.6,15.8,21,36.1,30.1,1.2,51.8,55.5,32.3,-16.8,61.4,71.9,-15,16.1,23.8,11,-33,30.9,-4.2,18.5,-12.9,80.5,18.7,-29.2,19.5,25,21.3,-48,113.6,-1.3,-9.7,-30.3,70.2,37.4,-21.8,3.4,-11.9,7.1,3.5,-0.5,33.9,-2.2,8.7,-17.3,2.2,1.2,-3.1,9.6,7.7,1,0.7,17.7,-16.3,0.7,9.9,-1.9,5.8,-1.1,1.4,5.2,-5.3,13.6,-3.1,20.7,10.3,20.7,15.2,3.9,19.9,17.7,10,-12.9,3,-3.5,15.2,5.7,-0.7,14.5
"60","52","Government consumption expenditures and gross investment","A822RL1",NA,3.5,2.6,-2.8,5.2,14.1,8.2,15.4,11.6,18.6,3.6,-8,-6,7,-6.4,31.9,50,64.8,51.6,22.8,12.3,14.1,4.1,6.8,13.1,8.5,-4.2,-1.1,-9.7,-12.9,-8.3,-2.5,0.3,-3.7,2.5,-7.6,-0.1,8.3,-3.3,10.4,9,-2.1,3.4,6.9,-3.5,10.4,2.4,8.5,-4.4,5.1,3.5,-3.2,-6.6,4.4,10.1,2.7,6,0.9,8.7,9,7.9,1.9,9.5,2.8,-5.3,0.3,19,-3.9,1.2,3.7,0.5,-0.1,-0.4,4.9,13.9,7.8,7.7,7.8,11.3,7.1,17.8,-1.6,4.6,3.2,7.3,2.1,1.3,0.4,1,-1.3
"61","53","  Federal","A823RL1",NA,2.5,-1,-7.9,8.9,15.7,8.9,19,8.2,15.3,-4.3,-17.3,-15.9,9.5,-11.1,60.8,97.8,107.4,82.3,34.2,17.3,16.5,10.2,5.8,14.8,12.1,-9.3,-5.2,-18.3,-18.7,-16.4,-4.5,-7.4,-8.1,4.1,-12.7,-2.5,10.1,-6.2,14.1,8.3,-5.1,2,5,-11.4,13.2,-1.3,9.1,-7.9,7.6,5.4,-3.9,-14.2,0.8,12.8,1.5,1.3,3.4,12.4,7.6,15.8,1.4,12.5,1.9,-12.9,-1.8,24.7,-9.9,-2,-0.2,-2.2,-3.3,-3.4,0.8,15.6,9.3,9.9,11.4,16.5,4.6,28.4,-4.2,6.8,0.3,7.1,-2.1,-2.2,-1.9,-1.1,-5
"62","54","    National defense","A824RL1",NA,-19.5,16.4,9.8,-5.8,-9.7,-3.5,15.9,10.4,7,-0.7,-21.3,-13.3,3.7,26.4,71.9,145.8,122.6,101.6,38,13,22.3,9,6.5,11.8,3.1,-4.3,-6.9,-22.4,-15.2,-16.8,-12.3,-0.8,-12.6,4.3,-11.4,-1.4,10.3,-1.1,12.6,3.8,3.2,3.7,-4.5,-3.1,4.5,0,3,-12.1,-5.2,6.6,-3.2,-5.5,-2.9,13.1,-4,11,-1.6,12.7,7.5,15.4,-4,7,0.3,-13.7,-2.4,17.1,-10.4,-5.9,-4.8,-0.8,-5.6,-6.8,-1.7,12.8,11.8,14.6,9,26.3,10.7,24.6,0.7,9.6,-3.5,9.2,-0.3,-6.5,-3.4,-3.1,-7.4
"63","55","      Consumption expenditures","A997RL1",NA,-19.8,3.8,7.8,-14.8,-14.8,-1.8,11.1,1.8,-1,-2.5,-19.1,1.9,4.9,20.4,78.5,114.9,94.4,79.6,15.2,21.8,27.8,7.3,6.1,3.2,-3.7,-2.5,3.4,-29.9,-14.6,-7.8,-13.4,3.1,-17.5,12.4,-11.1,-2.7,11.4,-7.6,9.9,6,9.1,-0.1,-4.3,-4.3,2.4,-2,-2.6,-27.5,-8.1,5.7,1.5,-5.8,3.5,9.8,-3.2,-0.6,0.2,11.5,10,17.3,-1.4,6.9,5.8,-10.4,-1,15.4,-3.7,-8.3,-2.9,1,-5.8,-3.2,4.1,13.3,19,7.2,18.1,18.8,8.8,24.9,5.8,4,0.4,17.7,1.7,-6.7,0,-11.5,4
"64","56","      Gross investment","A788RL1",NA,-16.1,227.3,26.5,80.4,25.4,-12.3,45,62.9,49.9,7.5,-29.6,-59.6,-2.3,63.5,43.1,359.5,275.4,193.3,127.1,-7.4,8.2,13.6,7.7,39.1,22.9,-8.6,-29.7,2.4,-16.9,-37.4,-9.4,-11.5,3.4,-16.8,-12.1,3.1,6.9,20.7,20.4,-2.2,-12.2,15.6,-5.1,0.4,10.7,5.8,20.3,40.9,1.4,8.4,-12.8,-4.7,-16.1,21.3,-6,42.5,-5.7,15.5,2.4,11.3,-9.7,7.1,-11.6,-21.4,-6.2,21.2,-25.8,0.8,-10,-5.7,-5,-16.6,-17.6,11.2,-9.6,44.2,-17.4,55.8,17,23.6,-15,31.1,-16.1,-17.6,-7.9,-6,-16.4,39.5,-42.1
"65","57","    Nondefense","A825RL1",NA,220.9,-47.6,-58.9,112.8,203.1,60.9,28.7,1.8,42.4,-13.4,-4.8,-22,26.6,-71.3,20.8,-32.7,38.4,-8.3,8.9,55.2,-20.2,20,-0.1,41.7,98.2,-36.3,7,13.1,-37.8,-13.2,60.3,-38.7,24.8,3.4,-19.9,-8.9,9,-34.6,25.3,43.8,-47.4,-10.1,107.2,-52.8,99.2,-10,56.3,19.7,102.2,0.3,-7,-47.7,22.7,11.4,33.4,-36.1,33.9,10.6,7.6,17.9,31.4,40.6,8.8,-9.4,0.8,59.5,-8.1,13.8,17.6,-6.8,4.8,8.6,9,25,1.8,-4,19.7,-10.9,-14.8,43.2,-20.6,-3.3,16.7,-0.3,-8.9,16.6,3.6,6.5,4.2
"66","58","      Consumption expenditures","A542RL1",NA,208.2,-52.7,-69.3,86,300.7,62.1,35.3,-3.7,45.3,-37,-9.5,-21.3,9.8,-81.2,85.2,-49.8,48,2,2.6,66.1,-17.8,35.8,3.7,67,143.7,-42.9,7.4,25.1,-42.7,-13.1,87.5,-41,23.5,17.5,-25.5,-18.5,-3.1,-49.5,36.7,53.5,-62.4,-20.4,175.5,-72,156,-10.3,80.9,26.6,143.6,2.8,-14.1,-61.2,7.3,9,35.3,-52.8,59.8,11,-2.2,17.8,30.5,47.9,-7.6,-26.6,-16.3,80.5,-23,8.3,19.1,-16.9,-5.7,9.2,1.5,35.7,-11,-21.8,31.2,-16.7,-20.2,121,-22.5,-10.2,22.9,-1.7,-17.2,34.2,5.1,15.9,8.8
"67","59","      Gross investment","A798RL1",NA,341.3,1.2,70.6,242.7,-0.6,52.9,1.5,30.9,29.3,211.8,12.1,-25,91.8,-23,-51.4,30.3,17.4,-28.9,24.9,32.4,-25.9,-13.9,-11,-18.9,-18.1,4,5,-28.6,-8.2,-13.3,-28.2,-23.5,31.8,-52.5,27.4,67.1,86,62.6,-5.1,13.8,44.3,20.8,-1.2,68.8,14.9,-8.9,6.3,0.9,8.7,-8.1,23.6,25.8,69,17.4,29.1,19.1,-5.4,9.6,30.6,18.2,33.3,26.9,49.3,29.7,33.1,32.5,19,21.9,15.7,9,20.3,7.8,19.2,12.7,20.4,21.7,7.9,-4,-8.4,-15.7,-17.9,6.6,9.1,1.6,3.6,-3.5,1.5,-6,-2.5
"68","60","  State and local","A829RL1",NA,5.5,9.3,6.3,-0.9,11.3,7,9.8,17.2,24.2,17.4,7.8,10.1,3.4,0.3,0.2,-3.7,6.9,2,-0.5,1.1,8.6,-10.1,9.6,8.7,-0.6,11,9.9,15,1.6,11.4,1.9,17.5,5.3,-0.5,2.5,4.3,5.1,2,4.2,10.2,3.4,5.8,10.2,11.6,6,9,7.4,1.6,1.1,0.4,-2,6.9,10.1,6,4.6,13.5,-2.7,3.4,11.2,-2.9,2.8,5.1,4.2,7.5,3.6,11,5.6,6.1,9.3,4.4,4.3,3.6,10.6,11.7,6,4.9,3.1,4.7,10.6,4.9,2.2,1.6,7.2,7.5,8,5.9,3.4,3.7,3.4
"69","61","    Consumption expenditures","A991RL1",NA,7.1,7.3,2.1,-6.1,1.5,0.9,5.7,14,10.7,11.1,8.5,10.9,0.5,-1.6,-0.6,-2.4,0.8,2.5,2.5,-4.3,15.3,-10.9,6,7.9,-1.2,8.8,-0.2,6,2.5,8.5,3.3,13.9,2.9,3.9,4.1,-0.2,6.6,5.5,5.7,1.9,5.8,8.5,7.4,8.8,8.9,6.6,4.5,-0.6,3,4.9,5.2,6,8.9,2.7,5.7,8.8,5.9,-0.6,3.4,0.4,4.7,3.7,4.2,3.3,5.4,7.3,5.4,7.6,6.1,5.4,7.1,4.8,8.2,7.2,6.2,5.3,5.2,5.8,6.8,0.4,4.3,7.2,5.9,8.3,5,7.3,5.9,7.2,6
"70","62","    Gross investment","A799RL1",NA,-0.8,17.9,24,21.1,51.9,28.6,23.3,27,70.3,35.3,6.3,7.9,11.3,5.4,2.4,-7,22.8,0.7,-7.2,15.2,-5.7,-8.3,18.7,10.4,0.9,16.2,37.5,37.6,-0.2,18,-1.1,25.9,10.8,-9.4,-1,14.6,1.9,-4.9,0.9,30,-1.4,0.3,16.5,17.9,-0.1,14.4,14.2,6.4,-2.6,-8.7,-17.1,9,13,14.4,1.8,25.5,-20.9,14.4,32.7,-10.6,-1.8,8.5,4.2,18.5,-0.7,20.3,5.8,2.5,17.3,1.8,-2.1,0.7,16.6,23,5.4,3.8,-1.6,2.3,20.1,16.4,-2.5,-11,10.5,5.6,15.7,2.4,-2.9,-4.9,-3.1
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
