"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"38","30","          Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954527.701,789858.33,663915.595,615655.488,493975.843,682354.798,632322.362,565627.35,478664.631,517032.359,373545.839,384793.963,343007.054,354063.658,297608.508,249546.224,219008.323,209039.346,198716.231,190436.129,186458.623,180548.762,162695.024,153897.363,155346.088,138480.882,146624.8,124410.87,114319.594,102959.748,92213.923,86435.448,82835.134,80817.003,80623.013,77416.537,73128.759,69818.849,66285.116,65282.368,64287.951,62906.557
"39","31","          Other","B937RG3",48.528,50.236,51.182,51.526,50.915,51.224,51.746,51.988,51.993,51.697,51.605,52.043,52.794,52.251,52.879,53.884,55.793,56.152,56.502,56.023,56.417,55.905,54.484,53.679,54.375,54.879,55.104,55.365,54.525,55.174,55.285,56.896,56.654,55.854,55.76,56.181,57.762,55.544,59.07,58.446,60.11,59.882,59.732,62.279,60.886,61.27,61.37,61.278,61.253,61.529,62.014,62.364,62.119,61.895,61.716,61.744,61.856,61.892,61.95,61.916,61.786,61.604,61.608,61.796,61.973,62.111,62.098,62.028,62.136,62.271,62.503,62.985,62.553,62.54,62.503,62.546,62.627,63.062,63.453,63.914,64.613,65.012,65.367,65.739,65.982,66.498,67.152,67.92,68.405,68.747
"40","32","        Industrial equipment","B680RG3",8.419,8.798,8.971,9.237,9.151,9.326,9.798,10.111,10.173,10.143,10.047,9.868,10.009,10.182,10.601,11.09,11.789,11.831,11.757,11.857,11.727,11.981,11.887,11.937,12.024,12.222,12.323,12.311,12.533,12.509,12.35,12.389,12.588,12.697,12.907,13.41,13.635,14.149,14.391,14.82,15.107,15.104,15.38,15.669,15.585,15.673,15.711,15.739,15.811,15.96,16.123,16.238,16.332,16.362,16.38,16.34,16.3,16.221,16.186,16.163,16.142,16.188,16.252,16.285,16.274,16.256,16.257,16.287,16.333,16.376,16.438,16.507,16.565,16.625,16.688,16.755,16.844,16.977,17.175,17.403,17.606,17.767,17.919,18.081,18.232,18.481,18.711,18.946,19.036,19.111
"41","33","        Transportation equipment","B681RG3",15.149,15.365,15.592,15.907,15.961,16.164,16.872,17.448,17.381,17.436,17.319,17.385,17.449,17.646,17.708,17.95,18.303,18.589,18.949,19.403,19.821,20.035,20.028,19.855,19.552,19.203,19.134,18.865,19.588,20.47,19.979,20.099,19.199,19.403,19.923,20.035,20.864,21.361,21.845,22.177,22.676,22.67,22.568,22.209,22.675,22.894,22.888,22.972,23.297,23.352,23.34,23.348,23.125,23.293,23.415,23.359,23.378,23.251,23.252,23.109,23.087,22.966,23.031,22.905,22.965,22.907,22.895,22.792,22.714,22.7,22.714,22.628,22.601,22.68,22.673,22.56,22.484,22.562,22.613,22.761,22.754,22.849,23.007,23.277,23.326,23.509,23.672,23.925,23.92,24.109
"42","34","        Other equipment","B862RG3",10.364,11.164,11.575,11.303,11.202,11.945,12.45,12.399,12.322,12.574,12.639,12.24,12.121,12.53,12.89,13.361,13.541,13.805,13.77,13.918,13.888,13.762,13.859,13.942,13.897,14.085,14.215,14.334,14.346,14.449,14.39,14.186,14.273,14.291,14.549,14.892,14.745,14.873,15.114,15.295,15.449,15.521,15.744,16.234,16.08,16.114,16.106,16.128,16.235,16.356,16.431,16.401,16.454,16.559,16.622,16.711,16.624,16.557,16.597,16.594,16.705,16.778,16.8,16.785,16.835,16.832,16.897,16.976,17.022,17.06,17.068,16.999,17.12,17.138,17.221,17.293,17.359,17.509,17.628,17.846,18.002,18.118,18.223,18.37,18.523,18.746,18.987,19.168,19.316,19.463
"43","35","      Intellectual property products","Y001RG3",21.841,22.066,22.529,23.052,23.126,23.507,23.821,23.675,23.701,23.582,23.514,23.501,23.518,23.786,24.316,24.884,25.154,25.545,25.761,25.975,25.869,25.862,25.972,26.03,26.274,26.38,26.45,26.44,26.578,26.531,26.546,26.576,27.044,27.121,27.301,27.484,27.853,28.14,28.423,28.613,28.915,29.095,29.265,29.342,29.687,29.829,29.918,30.01,29.996,30.248,30.474,30.672,30.737,30.759,30.843,30.899,30.921,30.95,31.046,31.121,31.118,31.176,31.173,31.177,31.082,31.117,31.228,31.378,31.509,31.672,31.765,31.784,31.757,31.842,31.968,32.054,32.227,32.363,32.436,32.531,32.571,32.74,32.959,33.259,33.639,33.875,34.13,34.485,34.929,35.293
"44","36","        Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.81,155.199,154.662,153.539,150.265,147.511,145.397,143.844,143.989,144.099,144.232,144.287,141.084,139.651,137.823,135.901,134.807,133.4,132.746,132.491,133.839,134.384,134.906,134.679,132.627,131.739,130.445,129.309,127.873,127.228,126.441,125.865,125.731,125.411,124.978,124.874,125.096,125.134,125.493,125.929,126.114,125.991
"45","37","        Research and development","Y006RG3",15.317,15.423,15.635,15.953,16.378,16.642,16.748,16.694,16.469,16.299,16.249,16.306,16.471,16.728,17.077,17.515,18.043,18.411,18.626,18.689,18.598,18.56,18.574,18.64,18.759,18.825,18.84,18.803,18.719,18.68,18.697,18.769,18.872,18.96,19.105,19.294,19.533,19.747,19.924,20.062,20.158,20.239,20.308,20.364,20.41,20.474,20.555,20.653,20.767,20.862,20.937,20.993,21.029,21.052,21.062,21.059,21.042,21.035,21.035,21.044,21.061,21.065,21.054,21.029,20.99,20.977,20.989,21.027,21.09,21.118,21.111,21.069,20.992,20.947,20.935,20.955,21.008,21.049,21.08,21.1,21.109,21.143,21.202,21.286,21.395,21.533,21.7,21.896,22.122,22.349
"46","38","        Entertainment, literary, and artistic originals","Y020RG3",11.545,11.707,12.047,12.371,12.076,12.284,12.56,12.44,12.651,12.648,12.61,12.553,12.45,12.535,12.833,13.099,12.931,13.051,13.103,13.305,13.264,13.297,13.43,13.43,13.632,13.7,13.784,13.817,14.147,14.129,14.13,14.078,14.624,14.626,14.7,14.719,14.938,15.068,15.253,15.345,15.699,15.868,16.038,16.076,16.575,16.709,16.725,16.721,16.517,16.779,17.033,17.279,17.344,17.361,17.521,17.643,17.71,17.773,17.936,18.051,18.044,18.161,18.197,18.277,18.187,18.306,18.511,18.742,18.849,19.12,19.318,19.457,19.618,19.922,20.262,20.45,20.778,21.017,21.147,21.346,21.419,21.759,22.171,22.708,23.37,23.611,23.814,24.189,24.744,25.115
"47","39","    Residential","B011RG3",8.999,9.499,9.707,9.948,10.126,10.235,10.471,10.527,10.609,10.597,10.349,10.354,10.34,10.605,11.009,10.989,11.349,11.481,11.542,11.648,11.708,11.809,11.921,11.848,11.856,11.87,11.973,11.926,11.861,11.895,12.034,12.029,12.083,12.185,12.268,12.275,12.376,12.565,12.586,12.53,12.493,12.524,12.61,12.562,12.504,12.517,12.518,12.528,12.547,12.555,12.552,12.56,12.598,12.646,12.648,12.662,12.622,12.671,12.675,12.664,12.686,12.685,12.68,12.663,12.667,12.617,12.475,12.557,12.44,12.639,12.679,12.952,12.939,12.952,12.945,13.297,13.115,13.59,13.509,13.806,13.835,13.878,13.956,14.212,14.465,14.594,14.602,15.176,15.485,15.707
"48","40","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","Government consumption expenditures and gross investment","B822RG3",8.372,8.352,8.188,8.291,8.436,8.541,8.713,8.768,8.899,8.839,8.761,8.864,8.834,8.804,8.97,9.041,9.43,9.363,9.432,9.562,9.474,9.595,9.704,9.808,9.748,9.764,9.737,9.778,9.837,9.937,10.002,10.088,10.14,10.314,10.423,10.544,10.722,10.888,10.987,11.053,11.242,11.356,11.43,11.52,11.598,11.704,11.785,11.84,11.894,11.881,11.873,11.883,11.923,11.94,12.057,12.166,12.171,12.244,12.246,12.314,12.406,12.463,12.501,12.545,12.734,12.759,12.706,12.929,13.021,13.055,13.185,13.2,13.292,13.367,13.505,13.714,13.809,13.906,14.12,14.188,14.243,14.386,14.546,14.772,14.955,15.142,15.351,15.607,15.726,15.988
"52","44","  Federal","B823RG3",11.179,11.044,10.587,10.598,10.664,10.742,10.849,10.85,11.189,11.179,11.03,11.301,11.313,11.193,11.327,11.253,11.81,11.585,11.617,11.788,11.631,11.782,11.874,12.051,11.903,11.944,11.904,11.986,12.107,12.166,12.248,12.367,12.505,12.803,12.897,13.043,13.223,13.445,13.51,13.565,13.852,13.957,14.062,14.235,14.395,14.526,14.646,14.736,14.728,14.702,14.695,14.703,14.687,14.672,14.861,15.035,14.98,15.029,14.968,15.039,15.116,15.204,15.274,15.301,15.587,15.576,15.443,15.817,15.969,15.986,16.207,16.182,16.238,16.322,16.506,16.863,16.891,16.893,17.186,17.185,17.125,17.309,17.464,17.773,17.922,18.125,18.428,18.688,18.721,18.981
"53","45","    National defense","B824RG3",11.143,11.083,10.211,10.201,10.432,10.586,10.738,10.766,10.951,10.909,10.839,11.015,11.044,10.976,11.209,11.242,11.542,11.335,11.354,11.521,11.305,11.454,11.543,11.716,11.543,11.577,11.51,11.586,11.74,11.783,11.889,12.011,12.112,12.415,12.572,12.73,12.929,13.14,13.213,13.28,13.569,13.646,13.755,13.906,14.061,14.167,14.319,14.395,14.325,14.316,14.349,14.362,14.344,14.322,14.459,14.641,14.564,14.612,14.539,14.605,14.671,14.765,14.841,14.795,15.154,15.138,14.965,15.392,15.515,15.483,15.691,15.656,15.712,15.816,16.023,16.416,16.396,16.391,16.73,16.698,16.624,16.824,16.999,17.345,17.437,17.634,17.929,18.171,18.189,18.464
"54","46","      Consumption expenditures","B977RG3",9.397,9.341,8.512,8.48,8.689,8.818,8.921,8.944,9.103,9.098,9.036,9.212,9.223,9.146,9.357,9.301,9.551,9.294,9.29,9.423,9.199,9.371,9.446,9.625,9.494,9.548,9.488,9.594,9.757,9.799,9.863,9.951,10.1,10.408,10.535,10.648,10.769,10.955,10.99,11.036,11.289,11.358,11.438,11.578,11.774,11.881,12.011,12.068,11.982,11.964,11.989,11.994,11.995,11.964,12.096,12.311,12.216,12.253,12.162,12.192,12.306,12.406,12.448,12.351,12.816,12.779,12.592,13.079,13.222,13.173,13.413,13.367,13.457,13.539,13.778,14.2,14.192,14.137,14.518,14.459,14.395,14.591,14.76,15.113,15.208,15.392,15.687,15.895,15.884,16.099
"55","47","      Gross investment","B788RG3",17.615,17.607,17.868,18.134,18.245,18.465,18.954,19.002,19.28,18.932,18.833,18.876,19.035,19.116,19.325,20.262,20.749,21.075,21.227,21.55,21.435,21.395,21.549,21.636,21.246,21.164,21.063,20.948,21.016,21.055,21.393,21.696,21.474,21.675,21.978,22.375,23.015,23.324,23.614,23.792,24.225,24.333,24.594,24.781,24.644,24.721,24.984,25.158,25.197,25.236,25.313,25.364,25.257,25.279,25.431,25.448,25.462,25.569,25.575,25.808,25.649,25.713,25.951,26.16,25.959,26.064,25.986,26.042,26.043,26.106,26.114,26.146,26.001,26.222,26.186,26.295,26.206,26.517,26.508,26.655,26.538,26.712,26.882,27.098,27.132,27.341,27.534,27.931,28.163,28.771
"56","48","    Nondefense","B825RG3",10.383,9.899,11.098,11.268,10.571,10.387,10.368,10.299,11.063,11.146,10.793,11.321,11.299,11.061,10.836,10.316,11.988,11.595,11.657,11.8,12.182,12.338,12.446,12.625,12.709,12.792,12.957,13.069,12.929,13.099,12.993,13.077,13.437,13.661,13.339,13.383,13.409,13.667,13.668,13.623,13.866,14.162,14.209,14.509,14.679,14.974,14.852,15.049,15.428,15.311,15.103,15.089,15.076,15.094,15.551,15.666,15.737,15.785,15.796,15.888,16.018,16.067,16.099,16.458,16.392,16.404,16.451,16.59,16.849,17.053,17.309,17.319,17.37,17.378,17.473,17.696,17.885,17.914,18.022,18.14,18.144,18.256,18.315,18.451,18.83,19.046,19.36,19.678,19.77,19.959
"57","49","      Consumption expenditures","B542RG3",8.075,7.633,8.51,8.781,8.131,7.94,7.85,7.793,8.456,8.497,8.444,8.765,8.827,8.636,8.362,7.668,9.376,8.89,8.862,9.079,9.449,9.529,9.591,9.788,9.847,9.983,10.108,10.249,10.12,10.307,10.189,10.291,10.635,10.828,10.509,10.533,10.533,10.736,10.697,10.638,10.865,11.099,11.08,11.372,11.657,11.927,11.767,11.97,12.344,12.205,11.982,11.968,11.926,11.922,12.421,12.548,12.653,12.699,12.695,12.784,12.909,12.952,12.982,13.414,13.33,13.335,13.4,13.525,13.829,14.036,14.4,14.428,14.519,14.555,14.676,14.986,15.233,15.206,15.349,15.483,15.443,15.558,15.591,15.736,16.175,16.391,16.752,17.1,17.119,17.249
"58","50","      Gross investment","B798RG3",16.367,16.771,19.598,18.438,18.263,18.46,19.268,19.203,19.667,20.068,17.558,19.157,18.695,18.49,18.647,19.222,19.919,20.164,20.695,20.377,20.613,21.108,21.43,21.384,21.631,21.181,21.53,21.224,21.155,20.898,21.028,20.79,20.698,20.858,21.117,21.287,21.515,21.919,22.222,22.326,22.481,22.973,23.303,23.444,22.985,23.249,23.343,23.43,23.65,23.763,23.824,23.787,23.888,23.966,24.072,24.098,24.033,24.092,24.162,24.241,24.352,24.414,24.453,24.504,24.524,24.568,24.569,24.747,24.895,25.092,25.1,25.067,25.036,24.985,25.038,25.104,25.21,25.349,25.41,25.513,25.602,25.71,25.829,25.951,26.23,26.464,26.702,26.977,27.245,27.586
"59","51","  State and local","B829RG3",6.052,6.154,6.288,6.492,6.727,6.87,7.122,7.238,7.16,7.046,7.034,6.985,6.919,6.968,7.167,7.37,7.619,7.744,7.883,7.982,7.993,8.092,8.259,8.254,8.341,8.312,8.305,8.286,8.257,8.445,8.495,8.545,8.487,8.521,8.662,8.768,8.967,9.085,9.238,9.327,9.418,9.557,9.603,9.603,9.596,9.683,9.731,9.752,9.879,9.88,9.87,9.881,9.985,10.035,10.089,10.137,10.205,10.307,10.374,10.446,10.559,10.588,10.596,10.664,10.766,10.83,10.854,10.94,10.979,11.032,11.084,11.137,11.266,11.337,11.439,11.526,11.685,11.874,12.025,12.163,12.332,12.444,12.619,12.778,13.006,13.188,13.322,13.587,13.79,14.066
"60","52","      Consumption expenditures","B991RG3",5.186,5.273,5.371,5.546,5.753,5.869,6.1,6.223,6.158,6.073,6.095,6.063,6.073,6.14,6.298,6.431,6.59,6.663,6.781,6.883,6.934,7.012,7.148,7.206,7.28,7.287,7.275,7.332,7.373,7.514,7.619,7.661,7.68,7.715,7.76,7.847,8.003,8.062,8.178,8.263,8.363,8.48,8.544,8.598,8.682,8.753,8.778,8.808,8.955,8.998,9.012,9.05,9.196,9.262,9.331,9.396,9.482,9.611,9.696,9.78,9.898,9.911,9.913,9.98,10.107,10.174,10.198,10.289,10.335,10.396,10.456,10.514,10.645,10.701,10.81,10.894,11.079,11.239,11.406,11.538,11.743,11.892,12.069,12.24,12.444,12.649,12.828,13.07,13.244,13.499
"61","53","      Gross investment","B799RG3",9.551,9.713,10.045,10.359,10.691,10.952,11.264,11.308,11.172,10.931,10.763,10.643,10.243,10.211,10.578,11.074,11.697,12.039,12.261,12.34,12.186,12.366,12.663,12.394,12.531,12.359,12.369,12.059,11.779,12.14,12.004,12.088,11.761,11.795,12.27,12.447,12.804,13.13,13.421,13.529,13.593,13.815,13.806,13.624,13.314,13.461,13.589,13.579,13.65,13.512,13.422,13.343,13.309,13.307,13.313,13.312,13.317,13.333,13.341,13.377,13.488,13.571,13.6,13.675,13.702,13.76,13.787,13.861,13.88,13.912,13.942,13.986,14.116,14.243,14.332,14.432,14.524,14.818,14.932,15.093,15.167,15.176,15.358,15.493,15.813,15.939,15.942,16.303,16.608,16.979
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","54","  Final sales of computers to domestic purchasers \2\","W489RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","56","  Food \3\","B981RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","57","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","58","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","59","  Gross domestic product","B191RG3",12.607,12.779,12.979,13.246,13.395,13.552,13.788,13.783,13.738,13.652,13.547,13.551,13.506,13.564,13.847,14.067,14.539,14.623,14.671,14.865,14.883,14.941,15.053,15.107,15.123,15.158,15.215,15.262,15.326,15.355,15.341,15.363,15.422,15.509,15.616,15.719,15.875,16.025,16.201,16.303,16.487,16.604,16.733,16.829,16.97,17.042,17.083,17.104,17.189,17.236,17.308,17.375,17.409,17.473,17.551,17.63,17.651,17.688,17.727,17.769,17.859,17.908,17.95,17.991,18.079,18.093,18.112,18.23,18.3,18.355,18.447,18.526,18.606,18.692,18.778,18.9,19.016,19.189,19.358,19.517,19.599,19.716,19.893,20.111,20.331,20.559,20.757,21.047,21.259,21.54
"69","60","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","61","      Food \3\","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","62","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","63","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","64","  Final sales of domestic product","B190RG3",12.476,12.644,12.828,13.107,13.249,13.403,13.642,13.648,13.608,13.525,13.421,13.426,13.384,13.443,13.724,13.931,14.391,14.469,14.525,14.72,14.741,14.802,14.916,14.976,14.997,15.034,15.092,15.139,15.2,15.229,15.217,15.24,15.301,15.387,15.493,15.594,15.748,15.896,16.071,16.172,16.355,16.473,16.602,16.7,16.84,16.91,16.95,16.97,17.058,17.104,17.174,17.241,17.276,17.34,17.419,17.498,17.517,17.555,17.593,17.635,17.725,17.774,17.816,17.858,17.947,17.962,17.98,18.098,18.167,18.224,18.315,18.395,18.475,18.561,18.647,18.769,18.885,19.058,19.228,19.387,19.468,19.586,19.765,19.983,20.204,20.432,20.632,20.922,21.134,21.414
"74","65","  Final sales to domestic purchasers","B713RG3",12.19,12.32,12.482,12.759,12.91,13.074,13.316,13.326,13.288,13.214,13.12,13.134,13.111,13.178,13.465,13.684,14.149,14.234,14.285,14.468,14.483,14.535,14.637,14.687,14.7,14.731,14.787,14.836,14.905,14.939,14.932,14.955,15.005,15.088,15.19,15.287,15.434,15.578,15.745,15.842,16.015,16.125,16.247,16.337,16.465,16.53,16.569,16.589,16.68,16.727,16.794,16.858,16.889,16.953,17.031,17.109,17.125,17.15,17.188,17.223,17.302,17.36,17.399,17.443,17.535,17.555,17.579,17.699,17.772,17.831,17.913,17.984,18.049,18.134,18.223,18.355,18.457,18.629,18.782,18.926,18.989,19.104,19.281,19.489,19.704,19.913,20.123,20.406,20.602,20.878
"75","66","  Implicit price deflator for gross domestic purchases","A712RD3",12.291,12.433,12.623,12.941,13.053,13.181,13.435,13.481,13.411,13.282,13.222,13.24,13.23,13.285,13.586,13.855,14.367,14.471,14.476,14.632,14.619,14.63,14.784,14.816,14.814,14.837,14.899,14.931,14.987,15.007,15.031,15.073,15.137,15.197,15.302,15.451,15.604,15.695,15.888,15.951,16.162,16.27,16.362,16.367,16.536,16.579,16.679,16.758,16.809,16.835,16.896,16.961,17.028,17.074,17.135,17.189,17.224,17.254,17.301,17.351,17.432,17.47,17.504,17.541,17.624,17.658,17.686,17.834,17.897,17.944,18.009,18.084,18.161,18.243,18.32,18.458,18.567,18.721,18.89,19.04,19.102,19.199,19.384,19.593,19.81,20.007,20.219,20.506,20.708,20.975
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
