"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","150,098.0","162,643.0","176,070.0","194,166.0","206,318.0","210,320.0","209,946.0","236,607.0","242,909.0","273,598.0","276,017.0","278,284.0","278,899.0","293,626.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERX1","777,738.0","807,254.0","845,853.0","896,040.0","914,422.0","938,378.0","961,660.0","999,078.0","1,022,197.0","1,055,206.0","1,072,564.0","1,086,020.0","1,099,966.0","1,132,095.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRX1","638,548.0","653,495.0","676,959.0","706,713.0","710,687.0","730,999.0","755,626.0","764,112.0","780,883.0","781,544.0","796,547.0","807,713.0","820,910.0","838,753.0"
"132","114","Residual","A965RX1","-179,000.0","-140,300.0","-124,900.0","-97,100.0","-73,600.0","-47,700.0","-29,900.0","-18,700.0","-5,100.0","-5,900.0","-100.0","-4,100.0","-16,200.0","-32,600.0"
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Note.  Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","chained-dollar estimates are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
