"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"45","26","Imports of goods \1\","A255RX1","1,221,736.0","1,264,088.0","1,313,297.0","1,345,086.0","1,398,367.0","1,438,314.0","1,487,766.0","1,493,092.0","1,466,008.0","1,409,347.0","1,382,600.0","1,371,210.0","1,397,091.0","1,456,319.0","1,482,441.0","1,503,549.0","1,486,324.0","1,525,363.0","1,529,069.0","1,584,335.0","1,628,524.0","1,695,044.0","1,719,696.0","1,762,183.0","1,784,436.0","1,802,537.0","1,806,643.0","1,864,999.0","1,897,115.0","1,921,047.0","1,942,018.0","1,928,635.0","1,961,745.0","1,967,093.0","1,965,025.0","1,935,979.0","1,946,868.0","1,929,593.0","1,880,637.0","1,783,259.0","1,591,438.0","1,511,746.0","1,580,989.0","1,665,081.0","1,722,917.0","1,818,360.0","1,881,415.0","1,889,208.0","1,909,765.0","1,906,543.0","1,923,073.0","1,954,360.0","1,958,648.0","1,970,719.0","1,972,740.0","1,955,101.0","1,953,956.0","1,989,561.0","1,998,401.0"
"46","27","  Foods, feeds, and beverages","B647RX1","57,465.0","59,750.0","60,231.0","61,143.0","61,731.0","62,940.0","64,545.0","64,948.0","63,968.0","65,098.0","68,884.0","67,630.0","68,281.0","69,638.0","70,704.0","71,125.0","73,230.0","74,506.0","75,653.0","77,894.0","79,395.0","80,694.0","79,018.0","80,439.0","80,616.0","82,115.0","83,435.0","84,502.0","88,200.0","87,288.0","87,110.0","88,509.0","91,152.0","89,267.0","88,550.0","86,473.0","89,339.0","88,232.0","86,725.0","87,111.0","84,294.0","83,007.0","82,380.0","81,759.0","84,458.0","85,395.0","85,997.0","83,156.0","84,591.0","85,247.0","85,659.0","90,254.0","89,067.0","88,326.0","90,111.0","90,941.0","93,531.0","94,359.0","92,341.0"
"47","28","  Industrial supplies and materials, except petroleum and products","A649RX1","202,801.0","208,687.0","214,299.0","223,112.0","225,852.0","225,026.0","227,592.0","225,780.0","226,564.0","215,529.0","215,214.0","214,469.0","217,444.0","222,632.0","225,989.0","232,241.0","222,869.0","226,222.0","230,607.0","231,705.0","243,468.0","261,846.0","271,855.0","275,095.0","279,706.0","278,382.0","272,791.0","289,523.0","294,800.0","294,555.0","295,751.0","283,934.0","281,578.0","289,282.0","285,307.0","267,350.0","269,506.0","265,523.0","264,535.0","240,920.0","207,587.0","182,720.0","191,554.0","204,698.0","215,946.0","226,888.0","230,352.0","227,954.0","235,672.0","242,370.0","242,423.0","239,976.0","245,756.0","245,978.0","250,986.0","243,644.0","249,527.0","249,116.0","254,510.0"
"48","29","    Durable goods","A820RX1","106,869.0","108,337.0","109,170.0","116,193.0","118,809.0","117,391.0","116,966.0","116,729.0","114,859.0","109,286.0","109,476.0","108,565.0","114,006.0","114,718.0","117,128.0","119,823.0","116,777.0","115,061.0","116,327.0","121,745.0","126,715.0","138,060.0","147,259.0","151,934.0","150,791.0","151,600.0","145,523.0","155,010.0","168,150.0","166,138.0","168,224.0","157,607.0","154,204.0","154,904.0","149,289.0","138,637.0","143,087.0","138,964.0","138,395.0","126,024.0","104,394.0","88,978.0","90,742.0","97,894.0","104,102.0","111,692.0","112,597.0","110,556.0","117,443.0","121,480.0","120,409.0","118,426.0","128,651.0","127,927.0","124,769.0","124,481.0","130,652.0","130,293.0","129,884.0"
"49","30","    Nondurable goods","B696RX1","95,612.0","100,117.0","105,034.0","106,674.0","106,724.0","107,376.0","110,366.0","108,882.0","111,257.0","105,846.0","105,403.0","105,611.0","103,107.0","107,635.0","108,621.0","112,175.0","106,067.0","110,648.0","113,667.0","109,818.0","116,588.0","123,718.0","124,613.0","123,308.0","129,148.0","127,035.0","127,123.0","134,232.0","127,527.0","128,886.0","127,800.0","126,598.0","127,746.0","134,856.0","136,610.0","129,266.0","126,973.0","126,956.0","126,528.0","115,277.0","103,248.0","93,681.0","100,819.0","106,803.0","111,844.0","115,111.0","117,746.0","117,469.0","118,053.0","120,674.0","121,876.0","121,474.0","116,668.0","117,678.0","126,006.0","118,887.0","118,553.0","118,502.0","124,254.0"
"50","31","  Petroleum and products","B648RX1","269,847.0","260,667.0","261,730.0","249,601.0","267,232.0","264,609.0","270,018.0","277,993.0","292,215.0","277,726.0","265,082.0","276,646.0","263,106.0","269,175.0","268,588.0","284,709.0","273,052.0","296,698.0","299,882.0","288,446.0","309,735.0","301,593.0","304,166.0","319,276.0","313,304.0","311,428.0","311,352.0","323,536.0","305,231.0","308,960.0","324,779.0","296,954.0","301,373.0","305,573.0","299,295.0","300,365.0","294,743.0","285,746.0","281,299.0","303,382.0","294,080.0","263,889.0","259,339.0","253,518.0","262,172.0","274,856.0","277,801.0","261,032.0","272,811.0","262,961.0","259,237.0","260,290.0","247,939.0","244,868.0","241,432.0","234,681.0","228,123.0","226,020.0","225,370.0"
"51","32","  Capital goods, except automotive","A650RX1","235,882.0","251,349.0","263,202.0","273,276.0","281,966.0","305,611.0","321,079.0","321,199.0","305,271.0","273,102.0","257,681.0","254,068.0","261,170.0","269,691.0","270,390.0","272,073.0","273,376.0","279,944.0","282,114.0","300,737.0","313,529.0","331,042.0","341,824.0","352,208.0","355,057.0","372,397.0","375,507.0","387,785.0","402,849.0","411,786.0","420,807.0","424,238.0","434,471.0","440,592.0","447,107.0","449,274.0","459,808.0","465,799.0","455,113.0","419,718.0","370,382.0","352,576.0","371,497.0","401,767.0","413,006.0","445,826.0","470,464.0","486,005.0","494,169.0","509,130.0","521,777.0","539,858.0","550,928.0","558,706.0","550,577.0","553,854.0","552,881.0","556,853.0","561,990.0"
"52","33","    Civilian aircraft, engines, and parts","B932RX1","33,193.0","34,121.0","37,834.0","35,359.0","33,936.0","35,804.0","37,971.0","42,925.0","43,232.0","42,761.0","42,057.0","44,154.0","38,608.0","33,348.0","30,004.0","35,027.0","31,017.0","31,563.0","29,980.0","33,968.0","27,260.0","31,351.0","30,388.0","34,622.0","31,829.0","34,662.0","29,362.0","30,472.0","33,788.0","32,671.0","32,043.0","35,515.0","37,778.0","39,342.0","38,849.0","38,513.0","40,328.0","40,599.0","36,024.0","33,102.0","30,646.0","31,881.0","29,606.0","30,598.0","29,333.0","29,916.0","30,958.0","31,731.0","32,292.0","32,086.0","31,113.0","37,918.0","32,847.0","35,069.0","35,094.0","39,917.0","38,799.0","39,284.0","38,424.0"
"53","34","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"54","35","    Other","B853RX1","175,948.0","186,108.0","194,500.0","205,093.0","216,478.0","234,230.0","243,412.0","243,407.0","230,642.0","199,846.0","185,724.0","178,587.0","182,827.0","195,334.0","198,223.0","196,171.0","198,543.0","203,356.0","205,049.0","215,657.0","230,570.0","240,653.0","247,848.0","251,725.0","256,141.0","269,629.0","273,038.0","281,277.0","288,392.0","295,479.0","301,207.0","300,964.0","300,968.0","308,794.0","316,582.0","317,062.0","321,735.0","324,204.0","320,997.0","302,842.0","259,159.0","235,939.0","243,994.0","257,693.0","268,742.0","294,678.0","317,632.0","334,685.0","342,973.0","349,535.0","356,976.0","367,905.0","382,095.0","388,488.0","387,437.0","377,554.0","381,060.0","388,460.0","392,376.0"
"55","36","  Automotive vehicles, engines, and parts","B651RX1","187,105.0","191,845.0","200,708.0","204,057.0","215,333.0","211,128.0","212,550.0","208,743.0","204,038.0","205,917.0","207,145.0","202,893.0","208,709.0","219,550.0","225,021.0","224,942.0","220,558.0","227,243.0","219,830.0","233,429.0","236,042.0","242,901.0","242,515.0","242,870.0","242,490.0","245,129.0","250,422.0","262,491.0","268,098.0","267,440.0","261,435.0","271,577.0","264,668.0","267,453.0","274,843.0","261,546.0","262,934.0","254,783.0","230,252.0","193,843.0","130,290.0","129,934.0","174,270.0","202,258.0","202,467.0","224,921.0","232,703.0","236,890.0","245,517.0","223,296.0","253,512.0","261,958.0","278,490.0","281,452.0","286,430.0","283,186.0","274,189.0","292,233.0","302,714.0"
"56","37","  Consumer goods, except automotive","A652RX1","236,245.0","242,269.0","255,127.0","265,972.0","277,034.0","291,926.0","299,236.0","307,704.0","304,464.0","300,380.0","297,065.0","293,107.0","304,208.0","325,809.0","338,176.0","341,919.0","348,391.0","350,269.0","356,988.0","371,807.0","377,933.0","399,734.0","396,711.0","412,410.0","425,962.0","430,887.0","426,417.0","432,958.0","448,944.0","456,590.0","466,410.0","482,290.0","497,076.0","488,637.0","483,499.0","491,696.0","494,106.0","496,467.0","493,752.0","455,873.0","426,042.0","420,946.0","427,509.0","451,124.0","456,126.0","479,953.0","505,220.0","505,511.0","509,719.0","514,534.0","505,409.0","505,011.0","494,776.0","503,020.0","505,927.0","509,838.0","510,323.0","521,139.0","520,916.0"
"57","38","    Durable goods","B697RX1","116,004.0","123,049.0","129,287.0","134,123.0","143,690.0","148,914.0","151,993.0","157,558.0","153,148.0","148,403.0","147,911.0","147,535.0","155,206.0","168,434.0","172,336.0","171,529.0","171,383.0","174,077.0","182,104.0","192,502.0","195,570.0","208,745.0","209,167.0","220,336.0","226,689.0","228,358.0","233,814.0","235,315.0","244,403.0","243,720.0","250,066.0","262,159.0","268,118.0","262,459.0","266,101.0","272,528.0","269,455.0","272,136.0","272,666.0","245,021.0","223,273.0","223,189.0","223,879.0","236,025.0","243,006.0","259,752.0","276,779.0","275,725.0","277,075.0","274,115.0","270,021.0","274,203.0","267,601.0","274,283.0","278,363.0","287,141.0","282,130.0","295,262.0","296,715.0"
"58","39","    Nondurable goods","B698RX1","120,933.0","119,518.0","126,182.0","132,271.0","133,411.0","143,317.0","147,614.0","150,403.0","151,815.0","152,706.0","149,776.0","146,063.0","149,359.0","157,594.0","166,243.0","170,967.0","177,791.0","176,865.0","175,301.0","179,586.0","182,659.0","191,231.0","187,705.0","192,128.0","199,358.0","202,640.0","192,534.0","197,615.0","204,504.0","212,964.0","216,403.0","220,072.0","228,954.0","226,201.0","217,279.0","219,014.0","224,581.0","224,249.0","220,977.0","210,835.0","202,761.0","197,756.0","203,633.0","215,105.0","213,142.0","220,281.0","228,618.0","229,932.0","232,773.0","240,368.0","235,363.0","230,961.0","227,255.0","228,922.0","227,886.0","223,422.0","228,561.0","226,791.0","225,240.0"
"59","40","  Other","A653RX1","78,771.0","80,820.0","82,265.0","80,432.0","86,179.0","83,794.0","97,346.0","94,260.0","88,827.0","93,828.0","93,256.0","93,192.0","92,512.0","94,783.0","96,182.0","96,610.0","88,429.0","91,780.0","86,602.0","90,687.0","84,654.0","85,820.0","91,823.0","89,993.0","95,600.0","87,723.0","92,265.0","88,956.0","93,690.0","98,869.0","88,121.0","85,677.0","97,672.0","91,535.0","92,492.0","83,785.0","83,475.0","84,995.0","78,192.0","76,000.0","77,456.0","76,790.0","74,017.0","73,573.0","91,397.0","84,197.0","85,305.0","101,567.0","77,016.0","84,581.0","76,052.0","81,000.0","84,692.0","85,240.0","84,981.0","80,136.0","89,435.0","98,732.0","91,050.0"
"60","41","Imports of services \1\","B656RX1","261,691.0","265,474.0","269,919.0","273,819.0","287,446.0","294,223.0","304,272.0","303,056.0","298,812.0","306,915.0","290,565.0","282,471.0","298,424.0","294,602.0","296,504.0","310,345.0","303,983.0","287,977.0","304,359.0","319,073.0","327,310.0","334,894.0","335,923.0","344,549.0","341,325.0","344,390.0","345,875.0","352,725.0","368,925.0","369,919.0","368,290.0","379,145.0","385,513.0","389,376.0","393,032.0","387,948.0","399,125.0","394,669.0","402,404.0","408,037.0","390,483.0","385,817.0","388,161.0","390,298.0","390,708.0","394,399.0","407,523.0","404,908.0","399,781.0","407,373.0","418,981.0","420,881.0","420,750.0","423,180.0","424,213.0","423,108.0","428,324.0","432,596.0","434,928.0"
"61","42","  Direct defense expenditures","B752RX1","20,577.0","21,540.0","21,681.0","21,122.0","22,162.0","23,485.0","24,673.0","22,856.0","22,414.0","23,263.0","23,777.0","27,913.0","29,615.0","29,082.0","29,592.0","30,924.0","31,192.0","30,202.0","33,552.0","36,260.0","33,440.0","34,981.0","33,000.0","32,590.0","32,058.0","33,791.0","33,537.0","33,412.0","34,265.0","31,249.0","30,268.0","29,900.0","29,997.0","29,590.0","28,440.0","27,264.0","26,757.0","25,710.0","26,434.0","30,476.0","31,678.0","31,270.0","30,028.0","28,919.0","28,349.0","29,646.0","30,234.0","28,042.0","27,788.0","26,736.0","26,352.0","26,342.0","25,896.0","25,452.0","25,284.0","23,343.0","22,128.0","21,484.0","21,205.0"
"62","43","  Travel","B768RX1","82,068.0","83,581.0","84,667.0","86,684.0","92,838.0","93,347.0","93,591.0","96,908.0","94,619.0","100,037.0","86,694.0","77,980.0","86,695.0","83,638.0","81,345.0","86,053.0","81,761.0","68,152.0","77,315.0","81,173.0","82,633.0","82,808.0","81,952.0","81,685.0","83,371.0","80,446.0","78,172.0","80,926.0","81,970.0","80,969.0","79,654.0","81,512.0","81,355.0","78,661.0","78,507.0","78,464.0","79,632.0","75,142.0","75,449.0","78,744.0","77,888.0","71,572.0","73,602.0","73,466.0","73,474.0","72,047.0","75,278.0","75,405.0","72,739.0","74,294.0","75,175.0","76,963.0","80,477.0","81,311.0","79,665.0","78,594.0","79,636.0","80,574.0","81,561.0"
"63","44","  Passenger fares","B769RX1","31,477.0","31,597.0","32,036.0","32,867.0","33,284.0","34,920.0","35,498.0","32,721.0","30,067.0","31,805.0","30,255.0","23,733.0","23,737.0","23,859.0","22,848.0","26,087.0","23,357.0","22,968.0","26,002.0","26,873.0","27,878.0","30,981.0","30,536.0","29,546.0","28,513.0","30,286.0","31,717.0","30,697.0","29,796.0","31,133.0","30,734.0","29,857.0","27,727.0","29,397.0","30,377.0","30,170.0","30,674.0","29,584.0","28,741.0","28,733.0","24,338.0","25,144.0","26,673.0","24,314.0","22,888.0","23,618.0","24,776.0","24,713.0","25,050.0","25,498.0","26,091.0","25,373.0","26,061.0","27,145.0","27,156.0","26,420.0","27,339.0","27,744.0","28,251.0"
"64","45","  Other transportation","B770RX1","40,894.0","39,251.0","40,129.0","40,455.0","41,734.0","43,333.0","45,517.0","44,756.0","44,433.0","42,560.0","38,994.0","41,027.0","41,021.0","43,870.0","43,934.0","45,779.0","46,751.0","44,823.0","43,434.0","44,035.0","47,540.0","48,027.0","49,247.0","50,210.0","53,739.0","51,707.0","49,633.0","51,535.0","51,256.0","53,611.0","55,231.0","55,443.0","55,008.0","57,755.0","56,790.0","53,652.0","54,012.0","53,540.0","52,538.0","49,329.0","43,953.0","41,912.0","41,880.0","42,658.0","45,867.0","48,385.0","49,811.0","46,363.0","47,820.0","47,808.0","48,703.0","49,170.0","49,410.0","49,303.0","49,468.0","49,607.0","51,538.0","53,034.0","53,788.0"
"65","46","  Royalties and license fees","B908RX1","16,149.0","16,749.0","17,013.0","17,825.0","18,998.0","19,303.0","23,107.0","21,053.0","20,297.0","19,937.0","19,974.0","20,869.0","23,818.0","22,969.0","24,195.0","22,476.0","21,385.0","21,960.0","23,314.0","23,581.0","24,564.0","25,818.0","28,968.0","28,370.0","26,670.0","28,296.0","29,525.0","27,656.0","27,381.0","25,720.0","24,732.0","28,400.0","28,404.0","27,773.0","27,142.0","25,830.0","29,163.0","28,228.0","32,634.0","28,166.0","30,396.0","31,103.0","31,242.0","32,443.0","33,871.0","30,108.0","32,240.0","32,006.0","31,585.0","30,722.0","34,867.0","36,451.0","36,956.0","37,783.0","38,910.0","37,028.0","38,127.0","38,842.0","39,362.0"
"66","47","  Other private services","B909RX1","63,119.0","65,279.0","66,620.0","67,194.0","70,708.0","72,023.0","73,678.0","75,993.0","77,633.0","80,583.0","81,201.0","81,290.0","84,339.0","81,996.0","84,972.0","89,482.0","89,676.0","89,083.0","91,063.0","97,564.0","100,597.0","101,698.0","100,919.0","110,652.0","105,134.0","108,808.0","112,604.0","117,571.0","133,623.0","136,037.0","136,155.0","142,321.0","151,171.0","154,426.0","160,135.0","161,193.0","167,911.0","171,981.0","176,428.0","182,069.0","172,020.0","174,477.0","174,219.0","177,572.0","177,329.0","181,541.0","185,607.0","188,983.0","185,731.0","193,701.0","198,938.0","197,880.0","193,676.0","193,796.0","195,621.0","200,097.0","201,520.0","202,537.0","202,303.0"
"67","48","  Other","B910RX1","9,296.0","9,336.0","9,584.0","9,480.0","9,628.0","9,917.0","9,985.0","10,140.0","10,232.0","10,375.0","10,433.0","10,429.0","10,600.0","10,384.0","10,317.0","10,378.0","10,389.0","10,217.0","10,304.0","10,493.0","10,750.0","10,931.0","11,096.0","10,925.0","10,677.0","10,376.0","10,442.0","10,430.0","10,338.0","10,377.0","10,432.0","10,546.0","10,716.0","10,612.0","10,620.0","10,461.0","10,184.0","9,964.0","9,857.0","10,405.0","10,447.0","10,329.0","10,416.0","10,800.0","8,923.0","8,980.0","9,454.0","9,420.0","8,804.0","8,448.0","8,763.0","8,714.0","8,063.0","7,936.0","7,658.0","7,723.0","7,411.0","7,594.0","7,498.0"
"68","49","Residual","A978RX1","-56,400.0","-39,500.0","-33,900.0","-21,400.0","-26,400.0","-16,400.0","-13,700.0","-18,900.0","-30,500.0","-34,600.0","-31,500.0","-39,400.0","-24,000.0","-18,900.0","-14,900.0","-24,700.0","-16,900.0","-22,100.0","-23,500.0","-12,100.0","-15,500.0","-8,200.0","-6,200.0","-7,900.0","-4,800.0","-3,300.0","-1,300.0","200.0","-1,700.0","200.0","3,600.0","200.0","-1,100.0","-1,000.0","-1,900.0","-500.0","-3,500.0","-8,100.0","-7,100.0","6,300.0","900.0","1,900.0","700.0","-3,500.0","-2,500.0","-3,000.0","-5,800.0","-12,100.0","-7,400.0","-13,800.0","-20,500.0","-22,600.0","-31,500.0","-34,700.0","-35,500.0","-39,600.0","-42,000.0","-46,500.0","-48,500.0"
"69",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","50","  Exports of durable goods","A332RX1","515,858.0","521,322.0","539,331.0","558,824.0","574,573.0","597,371.0","616,207.0","609,049.0","597,785.0","564,793.0","526,834.0","508,713.0","504,269.0","525,053.0","530,670.0","514,874.0","511,434.0","516,182.0","526,245.0","558,128.0","572,029.0","584,032.0","591,212.0","596,824.0","612,548.0","634,091.0","644,473.0","673,111.0","696,625.0","705,610.0","706,695.0","731,567.0","743,068.0","759,175.0","782,093.0","799,945.0","811,265.0","840,175.0","836,181.0","754,091.0","655,579.0","637,153.0","671,808.0","723,110.0","743,519.0","781,529.0","794,942.0","818,498.0","831,987.0","851,261.0","864,947.0","873,904.0","897,541.0","898,307.0","897,771.0","892,023.0","890,504.0","921,203.0","916,682.0"
"71","51","  Exports of nondurable goods","A339RX1","280,810.0","286,998.0","288,319.0","294,795.0","294,394.0","296,371.0","311,344.0","305,466.0","303,786.0","303,447.0","295,590.0","297,477.0","301,443.0","307,750.0","306,746.0","304,296.0","311,472.0","305,606.0","312,944.0","315,323.0","317,556.0","318,221.0","319,114.0","331,387.0","332,985.0","340,573.0","327,669.0","325,779.0","346,858.0","353,002.0","353,481.0","361,198.0","364,525.0","365,678.0","375,945.0","384,218.0","402,258.0","411,347.0","407,811.0","390,339.0","372,305.0","383,293.0","398,310.0","417,189.0","427,085.0","422,729.0","434,199.0","448,517.0","449,134.0","443,528.0","448,303.0","462,679.0","448,413.0","462,949.0","468,335.0","463,997.0","456,658.0","458,431.0","481,148.0"
"72","52","  Exports of agricultural goods \3\","B181RX1","72,248.0","77,168.0","82,301.0","78,754.0","81,654.0","81,349.0","87,684.0","82,680.0","84,974.0","86,000.0","85,246.0","87,356.0","86,975.0","85,862.0","81,956.0","79,986.0","83,766.0","83,315.0","87,431.0","84,781.0","80,508.0","75,322.0","78,853.0","86,698.0","84,425.0","84,942.0","82,351.0","85,742.0","91,013.0","92,789.0","91,224.0","90,849.0","91,592.0","94,281.0","102,153.0","103,500.0","106,331.0","105,880.0","103,130.0","102,021.0","96,683.0","100,216.0","99,791.0","107,230.0","112,134.0","105,629.0","111,532.0","117,925.0","114,581.0","109,535.0","106,218.0","110,928.0","107,597.0","113,202.0","117,665.0","106,507.0","106,342.0","99,083.0","107,317.0"
"73","53","  Exports of nonagricultural goods","A182RX1","721,494.0","728,630.0","745,256.0","773,676.0","787,991.0","813,862.0","841,499.0","832,647.0","817,837.0","782,068.0","736,064.0","716,762.0","715,382.0","743,351.0","751,404.0","734,244.0","733,846.0","734,262.0","747,698.0","785,116.0","804,916.0","822,342.0","827,433.0","837,904.0","857,389.0","885,913.0","886,685.0","910,995.0","949,879.0","963,141.0","965,915.0","998,478.0","1,012,737.0","1,027,571.0","1,053,180.0","1,077,601.0","1,104,350.0","1,142,399.0","1,137,691.0","1,041,210.0","930,947.0","920,097.0","970,499.0","1,033,284.0","1,058,704.0","1,097,742.0","1,116,879.0","1,148,202.0","1,165,454.0","1,182,905.0","1,204,896.0","1,224,408.0","1,234,061.0","1,245,058.0","1,245,476.0","1,248,572.0","1,238,880.0","1,278,799.0","1,290,604.0"
"74","54","  Imports of durable goods","A333RX1","679,258.0","711,102.0","740,838.0","765,185.0","799,992.0","826,560.0","854,129.0","854,825.0","823,834.0","781,948.0","765,020.0","755,765.0","781,131.0","816,461.0","829,057.0","832,295.0","823,453.0","840,239.0","842,248.0","892,661.0","913,516.0","962,622.0","985,099.0","1,011,124.0","1,021,686.0","1,041,532.0","1,051,995.0","1,085,647.0","1,130,730.0","1,139,167.0","1,146,108.0","1,159,287.0","1,171,006.0","1,172,317.0","1,184,153.0","1,164,251.0","1,177,959.0","1,174,567.0","1,136,643.0","1,023,537.0","867,377.0","833,219.0","897,243.0","974,426.0","1,008,451.0","1,084,381.0","1,134,560.0","1,158,849.0","1,172,089.0","1,170,173.0","1,202,924.0","1,233,015.0","1,268,069.0","1,284,585.0","1,282,077.0","1,287,562.0","1,284,565.0","1,324,186.0","1,336,801.0"
"75","55","  Imports of nondurable goods","A340RX1","558,574.0","563,109.0","581,645.0","585,599.0","602,154.0","614,109.0","636,707.0","642,590.0","652,844.0","642,330.0","633,587.0","633,283.0","628,164.0","651,719.0","666,526.0","688,244.0","679,265.0","703,464.0","705,221.0","703,517.0","728,726.0","743,463.0","743,745.0","760,253.0","772,638.0","769,570.0","762,424.0","787,291.0","774,063.0","789,520.0","803,498.0","776,397.0","798,189.0","802,321.0","788,877.0","779,646.0","778,368.0","766,314.0","753,310.0","758,633.0","723,788.0","677,957.0","683,299.0","691,946.0","715,593.0","737,393.0","751,780.0","737,940.0","745,865.0","744,796.0","734,177.0","738,022.0","715,185.0","712,847.0","716,335.0","696,817.0","698,110.0","698,486.0","696,475.0"
"76","56","  Imports of nonpetroleum goods","A187RX1","989,948.0","1,028,290.0","1,071,037.0","1,103,983.0","1,144,903.0","1,183,065.0","1,225,893.0","1,226,902.0","1,195,069.0","1,150,461.0","1,132,020.0","1,117,659.0","1,145,870.0","1,196,813.0","1,220,943.0","1,232,530.0","1,222,911.0","1,246,060.0","1,247,896.0","1,304,513.0","1,333,655.0","1,400,853.0","1,422,595.0","1,452,663.0","1,478,797.0","1,497,856.0","1,501,904.0","1,548,140.0","1,598,309.0","1,618,446.0","1,622,663.0","1,638,513.0","1,668,143.0","1,669,537.0","1,674,332.0","1,642,043.0","1,661,041.0","1,656,848.0","1,610,879.0","1,475,075.0","1,296,620.0","1,246,069.0","1,320,986.0","1,414,754.0","1,463,627.0","1,546,859.0","1,608,734.0","1,638,677.0","1,644,222.0","1,657,129.0","1,681,695.0","1,714,137.0","1,739,897.0","1,758,228.0","1,765,825.0","1,757,386.0","1,767,039.0","1,809,349.0","1,820,057.0"
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2. The quantity index for computers can be used to accurately measure the real growth of this component. However, because ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","computers exhibit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","rapid changes in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","component's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
