"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"75","56","      Gross investment","A788RX1","86,676.0","90,613.0","93,435.0","91,389.0","90,812.0","90,855.0","92,098.0","92,025.0","92,002.0","96,102.0","98,496.0","100,167.0","101,735.0","108,349.0","113,411.0","114,240.0","116,300.0","121,140.0","123,264.0","125,718.0","127,648.0","131,031.0","137,596.0","136,469.0","136,024.0","140,208.0","143,027.0","140,834.0","143,289.0","149,669.0","146,742.0","151,932.0","150,589.0","157,513.0","158,152.0","158,372.0","160,621.0","171,580.0","175,890.0","177,496.0","170,056.0","176,335.0","178,295.0","175,265.0","173,215.0","177,309.0","178,760.0","180,693.0","166,977.0","169,023.0","166,649.0","166,660.0","157,197.0","160,154.0","159,845.0","156,755.0","149,462.0","153,130.0","154,858.0","148,262.0"
"76","57","    Nondefense","A825RX1","297,585.0","296,407.0","297,012.0","302,993.0","303,475.0","309,969.0","306,212.0","301,881.0","312,552.0","320,116.0","321,547.0","324,539.0","333,880.0","341,682.0","346,441.0","351,388.0","352,105.0","357,484.0","359,802.0","360,554.0","362,115.0","365,014.0","362,444.0","368,493.0","368,561.0","365,266.0","369,621.0","373,970.0","386,400.0","379,804.0","383,835.0","378,530.0","377,967.0","380,222.0","384,705.0","389,572.0","395,517.0","402,114.0","404,453.0","414,813.0","422,641.0","430,420.0","430,668.0","433,908.0","449,159.0","462,357.0","459,131.0","457,723.0","453,704.0","446,154.0","430,797.0","442,457.0","448,341.0","449,650.0","452,768.0","453,921.0","449,764.0","446,200.0","442,714.0","431,108.0"
"77","58","      Consumption expenditures","A542RX1","216,645.0","212,416.0","212,842.0","214,490.0","220,207.0","227,706.0","223,397.0","219,492.0","229,440.0","236,097.0","237,081.0","239,103.0","245,097.0","252,270.0","255,713.0","259,978.0","260,256.0","263,105.0","265,552.0","267,401.0","269,000.0","270,410.0","268,205.0","273,970.0","274,386.0","271,254.0","273,285.0","277,208.0","286,081.0","281,097.0","284,315.0","278,675.0","278,488.0","279,800.0","283,195.0","287,698.0","293,447.0","298,277.0","299,173.0","308,138.0","315,704.0","323,068.0","320,827.0","322,057.0","334,188.0","344,050.0","340,113.0","338,402.0","333,773.0","327,703.0","313,597.0","327,316.0","333,998.0","335,161.0","338,284.0","340,165.0","338,077.0","335,133.0","331,527.0","320,788.0"
"78","59","      Gross investment","A798RX1","80,432.0","82,852.0","83,029.0","86,881.0","82,578.0","82,050.0","82,346.0","81,804.0","82,855.0","83,930.0","84,367.0","85,313.0","88,547.0","89,345.0","90,652.0","91,403.0","91,810.0","94,233.0","94,165.0","93,184.0","93,176.0","94,611.0","94,220.0","94,586.0","94,256.0","94,056.0","96,320.0","96,777.0","100,322.0","98,708.0","99,531.0","99,813.0","99,446.0","100,387.0","101,477.0","101,856.0","102,069.0","103,832.0","105,266.0","106,666.0","106,936.0","107,353.0","109,839.0","111,852.0","114,968.0","118,305.0","119,040.0","119,356.0","119,991.0","118,524.0","117,342.0","115,158.0","114,306.0","114,450.0","114,427.0","113,673.0","111,578.0","110,966.0","111,115.0","110,334.0"
"79","60","  State and local","A829RX1","1,624,453.0","1,634,005.0","1,648,024.0","1,668,053.0","1,680,793.0","1,681,195.0","1,690,962.0","1,703,638.0","1,722,884.0","1,756,793.0","1,747,263.0","1,778,901.0","1,795,902.0","1,799,810.0","1,805,929.0","1,807,931.0","1,798,526.0","1,791,697.0","1,797,960.0","1,792,980.0","1,793,342.0","1,798,968.0","1,791,020.0","1,787,726.0","1,787,606.0","1,790,226.0","1,792,850.0","1,798,625.0","1,794,852.0","1,806,934.0","1,813,027.0","1,820,562.0","1,828,973.0","1,836,373.0","1,836,704.0","1,842,501.0","1,836,850.0","1,839,258.0","1,847,072.0","1,846,564.0","1,860,440.0","1,877,112.0","1,877,438.0","1,870,634.0","1,836,504.0","1,832,792.0","1,818,509.0","1,795,193.0","1,770,492.0","1,755,474.0","1,746,912.0","1,745,005.0","1,742,201.0","1,744,962.0","1,744,280.0","1,739,778.0","1,734,268.0","1,736,004.0","1,743,164.0","1,741,089.0"
"80","61","    Consumption expenditures","A991RX1","1,313,367.0","1,322,628.0","1,332,740.0","1,341,768.0","1,344,916.0","1,351,517.0","1,358,458.0","1,367,080.0","1,380,639.0","1,394,488.0","1,409,245.0","1,420,930.0","1,431,943.0","1,439,832.0","1,443,761.0","1,442,566.0","1,435,824.0","1,431,657.0","1,427,697.0","1,426,138.0","1,428,276.0","1,431,525.0","1,432,020.0","1,435,066.0","1,436,525.0","1,437,505.0","1,442,487.0","1,443,344.0","1,441,546.0","1,445,080.0","1,452,392.0","1,463,879.0","1,470,052.0","1,474,277.0","1,474,415.0","1,477,687.0","1,473,747.0","1,471,736.0","1,478,572.0","1,485,396.0","1,499,310.0","1,509,550.0","1,510,954.0","1,513,625.0","1,489,579.0","1,477,182.0","1,462,442.0","1,449,638.0","1,437,494.0","1,427,955.0","1,421,623.0","1,420,128.0","1,423,959.0","1,425,226.0","1,429,911.0","1,429,499.0","1,429,930.0","1,431,337.0","1,432,782.0","1,434,242.0"
"81","62","    Gross investment","A799RX1","311,224.0","311,539.0","315,468.0","326,572.0","336,294.0","329,958.0","332,803.0","336,903.0","342,661.0","363,277.0","338,007.0","358,553.0","364,661.0","360,492.0","362,723.0","366,056.0","363,325.0","360,566.0","371,417.0","367,815.0","365,894.0","368,403.0","359,416.0","352,688.0","351,022.0","352,742.0","350,224.0","355,328.0","353,265.0","362,117.0","360,792.0","356,673.0","358,944.0","362,159.0","362,354.0","364,896.0","363,153.0","367,690.0","368,648.0","361,189.0","361,194.0","367,591.0","366,502.0","356,899.0","346,707.0","355,631.0","356,190.0","345,501.0","332,699.0","327,144.0","324,904.0","324,483.0","317,703.0","319,194.0","313,765.0","309,640.0","303,665.0","303,994.0","309,701.0","306,176.0"
"82","63","Residual","AR05RX1","-239,500.0","-208,800.0","-189,100.0","-187,000.0","-153,900.0","-153,400.0","-148,100.0","-144,100.0","-142,700.0","-157,600.0","-164,700.0","-132,500.0","-130,900.0","-122,900.0","-108,300.0","-111,000.0","-102,400.0","-91,300.0","-73,500.0","-63,500.0","-56,300.0","-50,500.0","-43,900.0","-36,300.0","-33,300.0","-21,900.0","-17,300.0","-18,700.0","-14,500.0","-20,000.0","-20,600.0","-18,500.0","-16,200.0","-17,100.0","-18,700.0","-22,100.0","-26,400.0","-24,100.0","-15,000.0","-11,800.0","-9,900.0","-1,200.0","5,200.0","5,500.0","0.0","-5,700.0","-7,700.0","-11,200.0","-16,900.0","-16,000.0","-25,200.0","-23,900.0","-25,400.0","-30,100.0","-34,600.0","-45,100.0","-38,000.0","-41,200.0","-40,200.0","-39,900.0"
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","4. The quantity index for computers can be used to accurately measure the real growth of this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","component.  However, because computers exhibit rapid changes in prices relative to other prices in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","importance or its contribution to the growth rate of more aggregate series; accurate estimates of these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","contributions are shown in table 1.5.2 and real growth rates are shown in table 1.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","6. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Software development expenditures are included in software investment on line 38.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Note. The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
