"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"116","93","    Natural resources","G170951",".....",".....",".....",".....",".....",".....",".....","74.0","111.0","51.0","53.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","68.0","120.0","108.0","155.0","253.0","456.0","221.0","267.0","232.0","294.0","437.0","400.0","520.0","167.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"117","94","Housing and community services","G170981","420.0","606.0","944.0","1,419.0","1,591.0","2,081.0","2,288.0","2,639.0","3,059.0","3,670.0","4,586.0","5,469.0","6,788.0","8,691.0","9,465.0","10,068.0","11,246.0","11,096.0","11,506.0","12,743.0","14,215.0","15,487.0","17,055.0","18,420.0","20,578.0","21,671.0","24,393.0","25,045.0","23,542.0","21,624.0","21,146.0","19,770.0","20,674.0","24,388.0","26,557.0","28,625.0","31,752.0","30,726.0","31,441.0","30,967.0","34,066.0","33,655.0","35,331.0","34,133.0"
"118","95","      State and local","B114RC1","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","369.0","372.0","373.0","7,132.0","2,969.0","1,407.0","1,566.0","546.0","457.0"
"119","96","Economic affairs","G171001","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","7,665.0","909.0","84.0","369.0","372.0","373.0","377.0","389.0","407.0","425.0","441.0","457.0"
"120","97","  Transportation","G171021","25.0","24.0","34.0","53.0","81.0","116.0","158.0","189.0","210.0","239.0","327.0","354.0","402.0","454.0","442.0","385.0","327.0","306.0","275.0","352.0","376.0","374.0","412.0","388.0","363.0","340.0","310.0","331.0","436.0","446.0","429.0","534.0","641.0","524.0","403.0","369.0","372.0","373.0","377.0","389.0","407.0","425.0","441.0","457.0"
"121","98","  Energy","G171011",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,024.0","385.0","-319.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"122","99","Housing and community services","G171041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,755.0","2,580.0","1,000.0","1,141.0","105.0","0.0"
"123",NA,"        Gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","100","      Government","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","632,601.0","618,956.0"
"125","101","General public service","G171061","2,216.0","1,807.0","2,055.0","2,185.0","2,710.0","3,741.0","4,600.0","4,615.0","4,406.0","4,874.0","5,625.0","6,452.0","6,555.0","6,917.0","6,725.0","7,237.0","8,209.0","9,328.0","10,298.0","10,248.0","11,311.0","13,671.0","14,653.0","14,717.0","14,203.0","15,139.0","17,517.0","17,913.0","19,139.0","20,866.0","23,146.0","25,279.0","26,469.0","30,556.0","29,333.0","31,412.0","30,899.0","28,517.0","31,104.0","33,685.0","34,042.0","33,190.0","30,963.0","28,812.0"
"126","102","National defense","A788RC1","19,450.0","18,924.0","15,653.0","16,276.0","17,764.0","20,364.0","22,637.0","25,614.0","27,922.0","30,040.0","34,845.0","40,174.0","48,244.0","58,186.0","69,769.0","81,058.0","95,416.0","103,406.0","110,763.0","105,448.0","105,166.0","107,327.0","101,310.0","97,172.0","89,223.0","85,774.0","84,960.0","85,003.0","78,966.0","79,242.0","81,490.0","83,405.0","87,667.0","98,746.0","110,961.0","123,439.0","132,336.0","142,071.0","152,654.0","171,340.0","174,988.0","179,553.0","173,005.0","165,121.0"
"127","103","Public order and safety","G171081","676.0","697.0","804.0","993.0","999.0","1,171.0","1,466.0","1,662.0","1,817.0","2,021.0","2,297.0","2,641.0","2,783.0","3,076.0","3,466.0","4,049.0","4,803.0","5,589.0","6,285.0","7,319.0","8,623.0","9,404.0","9,902.0","9,507.0","10,418.0","10,973.0","11,504.0","12,542.0","14,001.0","14,784.0","15,430.0","15,883.0","15,704.0","17,514.0","16,649.0","17,044.0","17,607.0","18,658.0","20,837.0","22,665.0","22,505.0","21,945.0","23,044.0","23,358.0"
"128","104","Economic affairs","G171091","21,723.0","22,585.0","23,302.0","23,907.0","24,431.0","27,554.0","29,699.0","30,911.0","32,942.0","39,121.0","44,781.0","49,057.0","52,089.0","50,960.0","52,822.0","57,539.0","63,338.0","65,865.0","68,412.0","71,216.0","74,191.0","82,592.0","85,015.0","88,509.0","92,062.0","93,454.0","94,567.0","97,219.0","100,682.0","104,196.0","114,480.0","122,371.0","128,264.0","129,572.0","133,267.0","133,874.0","138,769.0","147,089.0","158,647.0","166,864.0","172,447.0","177,252.0","171,474.0","172,834.0"
"129","105","Housing and community services","G171101","4,034.0","4,209.0","4,579.0","4,567.0","5,157.0","6,392.0","7,453.0","7,848.0","7,654.0","9,399.0","10,612.0","12,876.0","12,534.0","12,233.0","11,578.0","13,173.0","14,408.0","16,314.0","18,376.0","18,983.0","19,464.0","21,283.0","21,917.0","22,062.0","21,283.0","20,333.0","21,665.0","23,527.0","24,600.0","24,745.0","26,319.0","25,602.0","29,163.0","32,575.0","34,462.0","36,442.0","38,664.0","47,277.0","49,656.0","50,624.0","49,953.0","53,201.0","48,059.0","45,462.0"
"130","106","Health","G171111","2,626.0","2,830.0","3,308.0","3,701.0","4,172.0","4,880.0","5,511.0","6,090.0","6,189.0","6,870.0","7,496.0","8,695.0","9,320.0","9,677.0","10,525.0","11,662.0","12,729.0","13,998.0","15,547.0","16,568.0","18,193.0","19,500.0","21,212.0","22,046.0","23,735.0","24,184.0","25,431.0","26,796.0","27,651.0","29,794.0","31,837.0","34,652.0","37,457.0","41,454.0","45,804.0","48,050.0","50,302.0","52,647.0","56,449.0","60,093.0","64,072.0","68,712.0","71,760.0","70,751.0"
"131","107","Recreation and culture","G171121","634.0","702.0","739.0","708.0","826.0","1,122.0","1,520.0","1,536.0","1,454.0","1,636.0","1,753.0","1,891.0","1,901.0","1,927.0","1,864.0","1,994.0","2,206.0","2,475.0","2,746.0","2,970.0","3,291.0","3,824.0","3,794.0","3,630.0","3,627.0","3,652.0","4,274.0","5,064.0","5,960.0","6,197.0","6,531.0","7,822.0","8,540.0","8,694.0","8,009.0","8,102.0","8,707.0","7,924.0","9,236.0","9,794.0","9,681.0","9,252.0","8,538.0","8,401.0"
"132","108","Education","G171131","7,934.0","7,857.0","7,888.0","8,052.0","9,264.0","10,326.0","10,765.0","10,470.0","9,682.0","10,522.0","11,638.0","12,863.0","12,771.0","12,885.0","13,450.0","15,416.0","17,681.0","20,119.0","21,124.0","24,571.0","28,824.0","31,327.0","34,721.0","36,396.0","35,401.0","38,552.0","45,503.0","49,640.0","56,306.0","58,942.0","66,599.0","72,576.0","77,727.0","81,285.0","83,352.0","86,574.0","91,547.0","101,137.0","108,534.0","114,751.0","114,674.0","103,555.0","100,939.0","99,440.0"
"133","109","Income security","G171141","247.0","181.0","181.0","302.0","317.0","612.0","746.0","895.0","1,091.0","1,082.0","1,053.0","1,302.0","1,148.0","1,088.0","966.0","1,051.0","1,081.0","989.0","1,089.0","1,072.0","1,367.0","1,438.0","1,569.0","2,078.0","1,934.0","2,111.0","2,259.0","2,247.0","2,227.0","2,636.0","2,634.0","2,664.0","2,644.0","3,177.0","3,418.0","3,524.0","4,811.0","7,029.0","5,088.0","4,810.0","4,667.0","5,156.0","4,819.0","4,779.0"
"134","110","      Federal","A787RC1","30,723.0","30,457.0","27,798.0","29,349.0","31,652.0","35,662.0","39,847.0","44,749.0","49,198.0","54,742.0","61,744.0","70,253.0","80,429.0","89,956.0","102,338.0","115,590.0","132,525.0","141,884.0","152,447.0","147,983.0","151,217.0","158,204.0","156,797.0","156,394.0","150,683.0","145,359.0","147,701.0","149,792.0","143,705.0","147,663.0","154,857.0","157,376.0","163,845.0","180,277.0","196,354.0","211,006.0","222,879.0","238,049.0","251,422.0","275,784.0","283,983.0","299,959.0","295,380.0","284,049.0"
"135","111","General public service","G171161","472.0","492.0","680.0","720.0","802.0","1,273.0","1,357.0","1,444.0","1,454.0","1,462.0","1,989.0","2,462.0","2,338.0","2,644.0","2,287.0","2,312.0","2,797.0","2,926.0","3,472.0","3,026.0","2,954.0","3,708.0","4,112.0","4,040.0","2,943.0","2,723.0","4,082.0","2,844.0","3,127.0","2,774.0","3,044.0","2,154.0","3,575.0","4,434.0","4,908.0","6,981.0","6,819.0","7,360.0","7,967.0","8,707.0","9,052.0","10,021.0","10,239.0","10,397.0"
"136","112","National defense","A788RC1","19,450.0","18,924.0","15,653.0","16,276.0","17,764.0","20,364.0","22,637.0","25,614.0","27,922.0","30,040.0","34,845.0","40,174.0","48,244.0","58,186.0","69,769.0","81,058.0","95,416.0","103,406.0","110,763.0","105,448.0","105,166.0","107,327.0","101,310.0","97,172.0","89,223.0","85,774.0","84,960.0","85,003.0","78,966.0","79,242.0","81,490.0","83,405.0","87,667.0","98,746.0","110,961.0","123,439.0","132,336.0","142,071.0","152,654.0","171,340.0","174,988.0","179,553.0","173,005.0","165,121.0"
"137","113","Public order and safety","G171181","148.0","143.0","132.0","167.0","177.0","187.0","250.0","327.0","357.0","424.0","492.0","527.0","522.0","555.0","738.0","909.0","978.0","1,116.0","1,337.0","1,683.0","1,875.0","1,900.0","2,481.0","2,732.0","3,825.0","3,663.0","3,500.0","4,324.0","5,302.0","5,839.0","5,985.0","6,176.0","5,939.0","7,924.0","7,788.0","7,747.0","7,870.0","8,780.0","9,603.0","10,781.0","10,796.0","11,112.0","12,194.0","12,303.0"
"138","114","Economic affairs","G171191","8,544.0","8,626.0","8,847.0","9,228.0","9,448.0","9,913.0","10,993.0","12,267.0","13,969.0","16,701.0","18,107.0","19,690.0","21,417.0","20,741.0","21,016.0","21,750.0","23,132.0","23,210.0","24,474.0","24,885.0","27,052.0","30,289.0","32,097.0","34,817.0","35,268.0","33,197.0","33,773.0","34,891.0","33,143.0","34,176.0","36,670.0","35,932.0","34,035.0","32,399.0","31,941.0","31,004.0","31,743.0","32,736.0","34,580.0","36,419.0","36,990.0","42,138.0","40,906.0","38,897.0"
"139","115","Housing and community services","G171201","22.0","81.0","183.0","170.0","192.0","142.0","135.0","162.0","166.0","174.0","162.0","209.0","265.0","216.0","242.0","245.0","243.0","349.0","275.0","241.0","265.0","281.0","314.0","282.0","741.0","381.0","464.0","375.0","326.0","565.0","566.0","18.0","275.0","326.0","412.0","324.0","478.0","292.0","427.0","427.0","400.0","451.0","462.0","321.0"
"140","116","Health","G171211","1,547.0","1,691.0","1,782.0","2,183.0","2,602.0","2,873.0","3,350.0","3,636.0","3,789.0","4,372.0","4,623.0","5,370.0","5,887.0","5,958.0","6,775.0","7,631.0","8,351.0","9,340.0","10,444.0","11,153.0","12,167.0","12,959.0","14,365.0","14,754.0","16,109.0","16,875.0","17,982.0","19,319.0","19,512.0","21,239.0","23,190.0","25,640.0","28,101.0","31,292.0","34,993.0","36,237.0","37,318.0","38,629.0","40,040.0","42,061.0","45,705.0","49,691.0","51,803.0","50,596.0"
"141","117","Recreation and culture","G171221","113.0","93.0","93.0","102.0","116.0","163.0","199.0","230.0","255.0","290.0","261.0","252.0","267.0","242.0","182.0","202.0","201.0","203.0","209.0","220.0","229.0","213.0","285.0","312.0","374.0","372.0","393.0","431.0","823.0","868.0","854.0","929.0","935.0","1,015.0","1,049.0","944.0","931.0","825.0","866.0","951.0","985.0","1,449.0","1,316.0","1,061.0"
"142","118","Education","G171231","253.0","303.0","329.0","286.0","336.0","265.0","317.0","316.0","327.0","343.0","358.0","415.0","491.0","486.0","549.0","655.0","612.0","670.0","710.0","661.0","724.0","752.0","926.0","910.0","1,000.0","1,091.0","1,219.0","1,310.0","1,311.0","1,454.0","1,599.0","1,632.0","1,899.0","2,170.0","2,085.0","2,154.0","1,957.0","1,792.0","1,815.0","1,843.0","1,882.0","1,881.0","2,130.0","2,055.0"
"143","119","Income security","G171241","174.0","104.0","99.0","217.0","215.0","482.0","609.0","753.0","959.0","936.0","907.0","1,154.0","998.0","928.0","780.0","828.0","795.0","664.0","763.0","666.0","785.0","775.0","907.0","1,375.0","1,200.0","1,283.0","1,328.0","1,295.0","1,195.0","1,506.0","1,459.0","1,490.0","1,419.0","1,971.0","2,216.0","2,175.0","3,427.0","5,564.0","3,469.0","3,255.0","3,186.0","3,663.0","3,325.0","3,298.0"
"144","120","      State and local","A799RC1","28,818.0","29,336.0","30,711.0","31,342.0","33,988.0","40,500.0","44,550.0","44,891.0","43,960.0","50,825.0","58,356.0","65,699.0","66,916.0","66,993.0","68,827.0","77,588.0","87,347.0","96,200.0","102,194.0","110,412.0","119,214.0","132,163.0","137,295.0","139,723.0","141,203.0","148,812.0","159,979.0","170,159.0","185,827.0","193,738.0","213,609.0","232,878.0","249,789.0","263,295.0","268,902.0","277,455.0","290,762.0","314,298.0","340,784.0","358,842.0","363,046.0","351,858.0","337,221.0","334,907.0"
"145","121","General public service","G171261","1,744.0","1,315.0","1,375.0","1,465.0","1,908.0","2,468.0","3,243.0","3,171.0","2,952.0","3,412.0","3,636.0","3,990.0","4,217.0","4,273.0","4,438.0","4,925.0","5,412.0","6,402.0","6,826.0","7,222.0","8,357.0","9,963.0","10,541.0","10,677.0","11,260.0","12,416.0","13,435.0","15,069.0","16,012.0","18,092.0","20,102.0","23,125.0","22,894.0","26,122.0","24,425.0","24,431.0","24,080.0","21,157.0","23,137.0","24,978.0","24,990.0","23,169.0","20,724.0","18,415.0"
"146","122","Public order and safety","G171271","528.0","554.0","672.0","826.0","822.0","984.0","1,216.0","1,335.0","1,460.0","1,597.0","1,805.0","2,114.0","2,261.0","2,521.0","2,728.0","3,140.0","3,825.0","4,473.0","4,948.0","5,636.0","6,748.0","7,504.0","7,421.0","6,775.0","6,593.0","7,310.0","8,004.0","8,218.0","8,699.0","8,945.0","9,445.0","9,707.0","9,765.0","9,590.0","8,861.0","9,297.0","9,737.0","9,878.0","11,234.0","11,884.0","11,709.0","10,833.0","10,850.0","11,055.0"
"147","123","Economic affairs","G171281","13,179.0","13,959.0","14,455.0","14,679.0","14,983.0","17,641.0","18,706.0","18,644.0","18,973.0","22,420.0","26,674.0","29,367.0","30,672.0","30,219.0","31,806.0","35,789.0","40,206.0","42,655.0","43,938.0","46,331.0","47,139.0","52,303.0","52,918.0","53,692.0","56,794.0","60,257.0","60,794.0","62,328.0","67,539.0","70,020.0","77,810.0","86,439.0","94,229.0","97,173.0","101,326.0","102,870.0","107,026.0","114,353.0","124,067.0","130,445.0","135,457.0","135,114.0","130,568.0","133,937.0"
"148","124","Housing and community services","G171291","4,012.0","4,128.0","4,396.0","4,397.0","4,965.0","6,250.0","7,318.0","7,686.0","7,488.0","9,225.0","10,450.0","12,667.0","12,269.0","12,017.0","11,336.0","12,928.0","14,165.0","15,965.0","18,101.0","18,742.0","19,199.0","21,002.0","21,603.0","21,780.0","20,542.0","19,952.0","21,201.0","23,152.0","24,274.0","24,180.0","25,753.0","25,584.0","28,888.0","32,249.0","34,050.0","36,118.0","38,186.0","46,985.0","49,229.0","50,197.0","49,553.0","52,750.0","47,597.0","45,141.0"
"149","125","Health","G171301","1,079.0","1,139.0","1,526.0","1,518.0","1,570.0","2,007.0","2,161.0","2,454.0","2,400.0","2,498.0","2,873.0","3,325.0","3,433.0","3,719.0","3,750.0","4,031.0","4,378.0","4,658.0","5,103.0","5,415.0","6,026.0","6,541.0","6,847.0","7,292.0","7,626.0","7,309.0","7,449.0","7,477.0","8,139.0","8,555.0","8,647.0","9,012.0","9,356.0","10,162.0","10,811.0","11,813.0","12,984.0","14,018.0","16,409.0","18,032.0","18,367.0","19,021.0","19,957.0","20,155.0"
"150","126","Recreation and culture","G171311","521.0","609.0","646.0","606.0","710.0","959.0","1,321.0","1,306.0","1,199.0","1,346.0","1,492.0","1,639.0","1,634.0","1,685.0","1,682.0","1,792.0","2,005.0","2,272.0","2,537.0","2,750.0","3,062.0","3,611.0","3,509.0","3,318.0","3,253.0","3,280.0","3,881.0","4,633.0","5,137.0","5,329.0","5,677.0","6,893.0","7,605.0","7,679.0","6,960.0","7,158.0","7,776.0","7,099.0","8,370.0","8,843.0","8,696.0","7,803.0","7,222.0","7,340.0"
"151","127","Education","G171321","7,681.0","7,554.0","7,559.0","7,766.0","8,928.0","10,061.0","10,448.0","10,154.0","9,355.0","10,179.0","11,280.0","12,448.0","12,280.0","12,399.0","12,901.0","14,761.0","17,069.0","19,449.0","20,414.0","23,910.0","28,100.0","30,575.0","33,795.0","35,486.0","34,401.0","37,461.0","44,284.0","48,330.0","54,995.0","57,488.0","65,000.0","70,944.0","75,828.0","79,115.0","81,267.0","84,420.0","89,590.0","99,345.0","106,719.0","112,908.0","112,792.0","101,674.0","98,809.0","97,385.0"
"152","128","Income security","G171331","73.0","77.0","82.0","85.0","102.0","130.0","137.0","142.0","132.0","146.0","146.0","148.0","150.0","160.0","186.0","223.0","286.0","325.0","326.0","406.0","582.0","663.0","662.0","703.0","734.0","828.0","931.0","952.0","1,032.0","1,130.0","1,175.0","1,174.0","1,225.0","1,206.0","1,202.0","1,349.0","1,384.0","1,465.0","1,619.0","1,555.0","1,481.0","1,493.0","1,494.0","1,481.0"
"153",NA,"        Capital transfers paid \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","129","      Government \4\","W069RC1","79.0","130.0","155.0","224.0","194.0","259.0","298.0","249.0","225.0","251.0","351.0","404.0","324.0","312.0","139.0","106.0","147.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","4,153.0","17,123.0","21,624.0","42,334.0","18,374.0","25,133.0","88,238.0","143,488.0","69,323.0","54,367.0","32,241.0"
"155","130","General public service","W800RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","207.0","7,221.0","5,129.0","56.0","668.0","1,087.0","444.0","1.0","185.0","22.0","4,188.0","29.0","25.0","193.0","1,886.0","658.0","2,342.0","1,711.0","110.0","158.0","141.0","152.0","1,156.0","711.0"
"156","131","Economic affairs","W801RC1","79.0","129.0","153.0","220.0","189.0","254.0","290.0","242.0","216.0","239.0","336.0","386.0","307.0","296.0","125.0","92.0","127.0","95.0","119.0","115.0","121.0","131.0","146.0","148.0","140.0","140.0","174.0","164.0","170.0","0.0","0.0","0.0","0.0","9.0","91.0","116.0","47.0","27.0","35.0","61,103.0","34,938.0","1,987.0","1,703.0","1,062.0"
"157","132","  Transportation","W802RC1","79.0","129.0","153.0","220.0","189.0","254.0","290.0","242.0","216.0","239.0","336.0","386.0","307.0","296.0","125.0","92.0","127.0","95.0","119.0","115.0","121.0","131.0","146.0","148.0","140.0","140.0","174.0","164.0","170.0","0.0","0.0","0.0","0.0","9.0","91.0","116.0","47.0","27.0","35.0","46.0","44.0","35.0","24.0","10.0"
"158","133","    Highways","W803RC1","2.0","3.0","9.0","17.0","21.0","20.0","32.0","28.0","36.0","49.0","61.0","71.0","68.0","63.0","57.0","54.0","80.0","62.0","78.0","75.0","79.0","85.0","95.0","97.0","94.0","103.0","128.0","122.0","126.0","0.0","0.0","0.0","0.0","0.0","1.0","-1.0","1.0","0.0","1.0","1.0","0.0","1.0","2.0","1.0"
"159","134","    Air","W804RC1","0.0","0.0","3.0","5.0","6.0","6.0","10.0","9.0","11.0","15.0","18.0","22.0","21.0","19.0","17.0","17.0","24.0","19.0","23.0","23.0","24.0","26.0","29.0","29.0","25.0","23.0","28.0","22.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"160","135","    Water","W805RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","88.0","109.0","43.0","16.0","22.0","34.0","32.0","24.0","18.0","9.0"
"161","136","    Transit and railroad","W806RC1","0.0","1.0","2.0","4.0","5.0","5.0","7.0","7.0","8.0","11.0","14.0","17.0","16.0","15.0","13.0","13.0","19.0","14.0","18.0","17.0","18.0","20.0","22.0","22.0","21.0","14.0","18.0","20.0","24.0","0.0","0.0","0.0","0.0","0.0","2.0","8.0","3.0","11.0","12.0","11.0","12.0","10.0","4.0","0.0"
"162","137","  Other economic affairs","W807RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","61,057.0","34,894.0","1,952.0","1,679.0","1,052.0"
"163","138","Housing and community services","W808RC1","0.0","1.0","2.0","4.0","5.0","5.0","8.0","7.0","9.0","12.0","15.0","18.0","17.0","16.0","14.0","14.0","20.0","16.0","19.0","19.0","20.0","21.0","24.0","24.0","20.0","17.0","23.0","36.0","48.0","223.0","291.0","341.0","258.0","359.0","305.0","4,725.0","24,002.0","277.0","293.0","10,065.0","95,494.0","52,693.0","40,070.0","21,872.0"
"164","139","Health","W809RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,592.0","14,842.0","16,125.0","15,943.0","16,359.0","24,695.0","16,912.0","12,915.0","14,491.0","11,438.0","8,596.0"
"165","140","Income security","W810RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0"
"166","141","      Federal \5\","W020RC1","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,926.0","36,569.0","37,020.0","42,533.0","49,695.0","63,083.0","63,954.0","85,324.0","71,040.0","79,434.0","145,863.0","206,899.0","141,399.0","123,414.0","98,746.0"
"167","142","General public service","W698RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","207.0","7,221.0","5,129.0","56.0","668.0","1,087.0","444.0","1.0","185.0","22.0","4,188.0","29.0","25.0","193.0","1,886.0","658.0","2,342.0","1,711.0","110.0","158.0","141.0","152.0","1,972.0","711.0"
"168","143","Economic affairs","G171361","4,302.0","4,878.0","5,337.0","5,374.0","5,153.0","5,936.0","7,242.0","7,636.0","7,720.0","8,737.0","10,469.0","12,423.0","11,952.0","11,254.0","12,765.0","14,983.0","16,610.0","17,084.0","16,365.0","17,342.0","17,710.0","18,642.0","18,916.0","20,316.0","21,543.0","22,977.0","24,890.0","25,817.0","26,367.0","26,101.0","29,243.0","33,224.0","37,886.0","41,334.0","41,278.0","42,292.0","45,001.0","47,881.0","49,650.0","115,279.0","94,348.0","64,103.0","62,782.0","62,322.0"
"169","144","  Transportation","G171371","4,302.0","4,878.0","5,337.0","5,374.0","5,153.0","5,936.0","7,242.0","7,636.0","7,720.0","8,737.0","10,469.0","12,423.0","11,952.0","11,254.0","12,765.0","14,983.0","16,610.0","17,084.0","16,365.0","17,342.0","17,710.0","18,642.0","18,916.0","20,316.0","21,543.0","22,977.0","24,890.0","25,817.0","26,367.0","26,073.0","29,018.0","32,794.0","37,366.0","40,838.0","40,787.0","41,836.0","44,460.0","47,364.0","49,142.0","53,743.0","58,938.0","61,621.0","60,577.0","60,730.0"
"170","145","    Highways","G171381","4,016.0","4,551.0","4,911.0","4,662.0","4,354.0","4,756.0","5,748.0","6,117.0","5,931.0","6,358.0","7,957.0","9,445.0","8,623.0","8,096.0","9,244.0","11,291.0","13,290.0","13,512.0","12,976.0","14,012.0","13,799.0","14,173.0","14,256.0","15,708.0","16,908.0","18,567.0","19,527.0","20,188.0","20,866.0","20,641.0","23,343.0","25,503.0","28,229.0","30,813.0","30,615.0","30,507.0","32,739.0","34,376.0","35,760.0","38,388.0","41,426.0","43,976.0","44,106.0","44,126.0"
"171","146","    Air","G171391","103.0","77.0","78.0","166.0","214.0","307.0","326.0","203.0","398.0","610.0","535.0","607.0","392.0","340.0","591.0","711.0","821.0","920.0","859.0","872.0","1,158.0","1,329.0","1,612.0","1,822.0","1,817.0","1,653.0","1,720.0","1,660.0","1,476.0","1,529.0","1,527.0","1,721.0","2,249.0","2,857.0","2,845.0","3,702.0","3,871.0","4,224.0","4,179.0","4,404.0","4,779.0","4,195.0","3,549.0","3,321.0"
"172","147","    Water","W813RC1","77.0","125.0","139.0","194.0","157.0","223.0","241.0","198.0","161.0","164.0","243.0","276.0","202.0","199.0","38.0","8.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","88.0","109.0","43.0","16.0","22.0","912.0","944.0","866.0","599.0","559.0"
"173","148","    Transit and railroad","G171411","106.0","125.0","209.0","352.0","428.0","650.0","927.0","1,118.0","1,230.0","1,605.0","1,734.0","2,095.0","2,735.0","2,619.0","2,892.0","2,973.0","2,495.0","2,652.0","2,530.0","2,458.0","2,753.0","3,140.0","3,048.0","2,786.0","2,818.0","2,757.0","3,643.0","3,969.0","4,025.0","3,903.0","4,148.0","5,570.0","6,888.0","7,159.0","7,239.0","7,518.0","7,807.0","8,748.0","9,181.0","10,039.0","11,789.0","12,584.0","12,323.0","12,724.0"
