"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"38","19","    Gross investment","A788RC1","21,184.0","18,884.0","19,812.0","17,920.0","19,588.0","18,780.0","18,376.0","18,952.0","15,924.0","15,496.0","16,480.0","14,712.0","15,664.0","17,452.0","15,228.0","16,760.0","18,932.0","18,432.0","16,860.0","16,832.0","19,048.0","19,864.0","21,120.0","21,424.0","21,156.0","20,028.0","24,392.0","24,972.0","25,260.0","24,348.0","26,236.0","26,612.0","27,916.0","28,572.0","27,884.0","27,316.0","27,448.0","29,620.0","30,352.0","32,740.0","32,280.0","33,360.0","37,096.0","36,644.0","39,396.0","39,320.0","39,420.0","42,560.0","43,620.0","47,452.0","49,676.0","52,228.0","52,768.0","58,264.0","58,740.0","62,972.0","64,348.0","67,812.0","71,384.0","75,532.0","76,788.0","79,224.0","79,776.0","88,444.0","88,136.0","94,668.0","99,624.0","99,236.0","96,396.0","100,652.0","109,916.0","106,660.0","107,196.0","111,364.0","114,020.0","110,472.0","105,816.0","105,712.0","105,028.0","105,236.0","104,700.0","103,892.0","108,500.0","103,572.0","105,700.0","107,568.0","108,148.0","107,892.0","102,692.0","104,276.0","101,632.0","96,640.0","96,836.0","98,144.0","98,208.0","95,500.0","90,232.0","89,768.0","87,364.0","89,528.0","82,396.0","85,868.0","90,136.0","84,696.0","85,640.0","86,528.0","83,708.0","83,964.0","88,964.0","86,824.0","84,356.0","79,868.0","76,588.0","77,164.0","81,120.0","80,992.0","76,240.0","78,524.0","82,336.0","79,868.0","77,664.0","81,504.0","83,976.0","82,816.0","82,616.0","82,676.0","84,116.0","84,212.0","83,748.0","87,440.0","89,336.0","90,144.0","91,624.0","97,608.0","102,420.0","103,332.0","105,340.0","110,216.0","112,796.0","115,492.0","117,608.0","121,232.0","127,504.0","127,412.0","127,756.0","132,236.0","135,252.0","134,100.0","137,024.0","143,472.0","141,164.0","146,624.0","146,256.0","153,536.0","155,048.0","155,776.0","159,272.0","171,136.0","176,404.0","178,548.0","170,352.0","176,104.0","177,780.0","175,716.0","174,164.0","179,100.0","180,712.0","184,236.0","173,060.0","176,408.0","174,724.0","174,456.0","167,340.0","170,696.0","169,492.0","162,664.0","154,808.0","153,388.0","153,820.0","152,044.0","139,428.0","144,232.0","142,932.0"
"39","20","      Structures","A808RC1","1,420.0","1,556.0","1,556.0","1,432.0","1,280.0","1,272.0","1,340.0","1,392.0","1,596.0","1,724.0","1,972.0","2,016.0","1,756.0","1,728.0","1,820.0","1,852.0","1,916.0","2,040.0","2,212.0","2,280.0","2,220.0","2,300.0","2,088.0","2,100.0","2,212.0","2,176.0","2,444.0","2,448.0","2,412.0","1,972.0","1,956.0","2,240.0","2,564.0","2,652.0","2,192.0","2,104.0","2,136.0","2,772.0","2,584.0","2,544.0","2,356.0","2,404.0","2,684.0","2,640.0","3,008.0","3,040.0","3,580.0","3,080.0","3,004.0","3,416.0","2,860.0","3,560.0","3,708.0","3,696.0","3,976.0","4,436.0","4,684.0","4,672.0","4,772.0","4,924.0","4,772.0","4,820.0","5,008.0","5,136.0","5,404.0","6,428.0","6,556.0","6,488.0","6,540.0","6,656.0","7,180.0","6,720.0","7,240.0","7,532.0","7,732.0","8,124.0","7,192.0","7,916.0","7,040.0","7,280.0","6,548.0","6,208.0","6,436.0","6,240.0","6,320.0","6,308.0","6,384.0","5,348.0","4,772.0","4,768.0","4,480.0","4,512.0","5,176.0","5,460.0","4,784.0","5,460.0","5,012.0","5,232.0","5,724.0","5,420.0","5,148.0","5,664.0","6,248.0","5,992.0","6,852.0","6,564.0","6,772.0","6,596.0","6,504.0","6,508.0","6,152.0","5,984.0","5,924.0","5,992.0","6,480.0","6,072.0","5,752.0","6,064.0","6,224.0","5,296.0","5,652.0","5,592.0","5,340.0","4,960.0","5,056.0","5,244.0","5,848.0","5,436.0","5,040.0","5,580.0","5,224.0","5,488.0","5,700.0","5,984.0","6,416.0","6,436.0","7,020.0","7,140.0","7,284.0","6,916.0","7,104.0","6,828.0","7,280.0","6,544.0","7,124.0","7,012.0","7,440.0","7,060.0","7,204.0","7,772.0","7,572.0","8,616.0","8,792.0","11,352.0","10,340.0","9,556.0","10,540.0","13,244.0","14,716.0","16,168.0","16,580.0","16,924.0","17,720.0","17,288.0","15,976.0","16,724.0","17,248.0","16,668.0","15,384.0","14,432.0","12,648.0","10,928.0","9,476.0","8,356.0","7,084.0","7,496.0","6,760.0","6,832.0","6,800.0","5,688.0","5,452.0","5,288.0","5,444.0"
"40","21","      Equipment","Y050RC1","11,600.0","9,060.0","9,956.0","8,248.0","10,188.0","9,472.0","9,024.0","9,500.0","6,184.0","5,504.0","6,072.0","4,048.0","5,020.0","6,632.0","4,128.0","5,476.0","7,452.0","6,724.0","4,900.0","4,740.0","6,968.0","7,628.0","9,028.0","9,236.0","8,724.0","7,496.0","11,424.0","11,780.0","11,880.0","11,172.0","12,828.0","12,672.0","13,388.0","13,732.0","13,284.0","12,596.0","12,488.0","13,772.0","14,392.0","16,464.0","15,740.0","16,332.0","19,312.0","18,408.0","20,272.0","19,520.0","18,308.0","21,060.0","21,220.0","23,656.0","25,400.0","26,216.0","25,572.0","29,992.0","29,048.0","31,664.0","31,592.0","33,884.0","36,188.0","39,052.0","39,292.0","40,288.0","39,020.0","45,764.0","43,248.0","47,224.0","50,932.0","50,044.0","47,000.0","50,692.0","58,596.0","54,600.0","53,048.0","55,792.0","57,584.0","53,456.0","49,760.0","49,092.0","49,544.0","49,916.0","50,632.0","50,420.0","54,920.0","50,112.0","52,052.0","54,356.0","55,268.0","56,868.0","53,384.0","55,872.0","54,272.0","49,872.0","49,656.0","51,196.0","52,368.0","49,584.0","45,404.0","45,176.0","42,668.0","45,576.0","39,080.0","42,152.0","45,748.0","40,596.0","40,468.0","41,600.0","38,396.0","38,876.0","43,820.0","41,560.0","39,244.0","34,796.0","31,424.0","31,924.0","35,476.0","35,688.0","31,276.0","32,952.0","36,628.0","35,336.0","33,500.0","36,516.0","39,132.0","38,240.0","38,048.0","37,440.0","37,844.0","37,736.0","37,320.0","39,940.0","41,360.0","40,792.0","41,044.0","45,436.0","48,288.0","47,564.0","47,292.0","50,192.0","50,924.0","52,348.0","52,872.0","55,292.0","59,588.0","58,948.0","57,652.0","61,076.0","62,744.0","61,360.0","63,716.0","68,868.0","65,784.0","68,932.0","66,992.0","70,644.0","72,276.0","73,120.0","74,792.0","83,736.0","87,708.0","89,072.0","81,416.0","87,372.0","88,524.0","86,804.0","85,896.0","89,960.0","90,676.0","94,612.0","84,460.0","88,404.0","88,056.0","88,964.0","82,808.0","87,268.0","88,068.0","82,164.0","76,864.0","77,292.0","79,200.0","79,864.0","68,552.0","74,132.0","72,680.0"
"41","22","      Intellectual property products","Y052RC1","8,164.0","8,268.0","8,300.0","8,240.0","8,120.0","8,036.0","8,012.0","8,060.0","8,144.0","8,268.0","8,436.0","8,648.0","8,888.0","9,092.0","9,280.0","9,432.0","9,564.0","9,668.0","9,748.0","9,812.0","9,860.0","9,936.0","10,004.0","10,088.0","10,220.0","10,356.0","10,524.0","10,744.0","10,968.0","11,204.0","11,452.0","11,700.0","11,964.0","12,188.0","12,408.0","12,616.0","12,824.0","13,076.0","13,376.0","13,732.0","14,184.0","14,624.0","15,100.0","15,596.0","16,116.0","16,760.0","17,532.0","18,420.0","19,396.0","20,380.0","21,416.0","22,452.0","23,488.0","24,576.0","25,716.0","26,872.0","28,072.0","29,256.0","30,424.0","31,556.0","32,724.0","34,116.0","35,748.0","37,544.0","39,484.0","41,016.0","42,136.0","42,704.0","42,856.0","43,304.0","44,140.0","45,340.0","46,908.0","48,040.0","48,704.0","48,892.0","48,864.0","48,704.0","48,444.0","48,040.0","47,520.0","47,264.0","47,144.0","47,220.0","47,328.0","46,904.0","46,496.0","45,676.0","44,536.0","43,636.0","42,880.0","42,256.0","42,004.0","41,488.0","41,056.0","40,456.0","39,816.0","39,360.0","38,972.0","38,532.0","38,168.0","38,052.0","38,140.0","38,108.0","38,320.0","38,364.0","38,540.0","38,492.0","38,640.0","38,756.0","38,960.0","39,088.0","39,240.0","39,248.0","39,164.0","39,232.0","39,212.0","39,508.0","39,484.0","39,236.0","38,512.0","39,396.0","39,504.0","39,616.0","39,512.0","39,992.0","40,424.0","41,040.0","41,388.0","41,920.0","42,752.0","43,864.0","44,880.0","46,188.0","47,716.0","49,332.0","51,028.0","52,884.0","54,588.0","56,228.0","57,632.0","59,112.0","60,636.0","61,920.0","62,980.0","64,148.0","65,068.0","65,680.0","66,104.0","66,832.0","67,808.0","69,076.0","70,472.0","71,540.0","72,432.0","73,100.0","73,940.0","74,156.0","73,980.0","73,308.0","72,356.0","71,808.0","71,536.0","71,624.0","72,292.0","72,416.0","72,788.0","72,956.0","73,216.0","73,572.0","74,020.0","74,564.0","75,056.0","75,072.0","74,340.0","73,004.0","71,184.0","69,264.0","67,820.0","66,492.0","65,424.0","64,812.0","64,808.0"
"42","23","        Software","Y053RC1","124.0","132.0","144.0","160.0","188.0","200.0","212.0","224.0","220.0","224.0","224.0","232.0","240.0","248.0","264.0","276.0","300.0","312.0","328.0","344.0","364.0","388.0","404.0","420.0","464.0","484.0","496.0","520.0","516.0","520.0","528.0","540.0","552.0","556.0","568.0","584.0","616.0","648.0","672.0","708.0","780.0","812.0","848.0","888.0","912.0","964.0","1,028.0","1,108.0","1,180.0","1,224.0","1,296.0","1,348.0","1,368.0","1,420.0","1,472.0","1,512.0","1,564.0","1,632.0","1,728.0","1,824.0","1,984.0","2,160.0","2,356.0","2,488.0","2,544.0","2,668.0","2,836.0","2,932.0","3,080.0","3,164.0","3,272.0","3,380.0","3,492.0","3,600.0","3,688.0","3,728.0","3,988.0","4,196.0","4,380.0","4,484.0","4,548.0","4,732.0","4,892.0","5,100.0","5,196.0","5,052.0","5,224.0","5,284.0","5,328.0","5,428.0","5,476.0","5,480.0","5,668.0","5,620.0","5,672.0","5,580.0","5,464.0","5,468.0","5,472.0","5,352.0","5,244.0","5,276.0","5,400.0","5,300.0","5,344.0","5,248.0","5,340.0","5,232.0","5,368.0","5,452.0","5,580.0","5,628.0","5,668.0","5,604.0","5,492.0","5,572.0","5,616.0","5,976.0","6,024.0","5,868.0","5,240.0","6,144.0","6,204.0","6,184.0","5,876.0","6,052.0","6,072.0","6,180.0","5,908.0","5,696.0","5,652.0","5,756.0","5,636.0","5,620.0","5,640.0","5,552.0","5,356.0","5,428.0","5,464.0","5,540.0","5,496.0","5,596.0","5,804.0","5,840.0","5,732.0","5,916.0","6,028.0","6,028.0","6,016.0","6,100.0","6,212.0","6,416.0","6,520.0","6,512.0","6,520.0","6,512.0","6,864.0","6,944.0","6,952.0","6,812.0","6,720.0","6,772.0","6,840.0","7,012.0","7,200.0","7,180.0","7,368.0","7,468.0","7,560.0","7,656.0","7,728.0","7,796.0","7,708.0","7,776.0","7,728.0","7,700.0","7,828.0","7,636.0","7,716.0","7,692.0","7,720.0","7,728.0","7,868.0"
"43","24","        Research and development","Y076RC1","8,040.0","8,136.0","8,156.0","8,080.0","7,932.0","7,836.0","7,800.0","7,836.0","7,924.0","8,044.0","8,212.0","8,416.0","8,648.0","8,844.0","9,016.0","9,156.0","9,264.0","9,356.0","9,420.0","9,468.0","9,496.0","9,548.0","9,600.0","9,668.0","9,756.0","9,872.0","10,028.0","10,224.0","10,452.0","10,684.0","10,924.0","11,160.0","11,412.0","11,632.0","11,840.0","12,032.0","12,208.0","12,428.0","12,704.0","13,024.0","13,404.0","13,812.0","14,252.0","14,708.0","15,204.0","15,796.0","16,504.0","17,312.0","18,216.0","19,156.0","20,120.0","21,104.0","22,120.0","23,156.0","24,244.0","25,360.0","26,508.0","27,624.0","28,696.0","29,732.0","30,740.0","31,956.0","33,392.0","35,056.0","36,940.0","38,348.0","39,300.0","39,772.0","39,776.0","40,140.0","40,868.0","41,960.0","43,416.0","44,440.0","45,016.0","45,164.0","44,876.0","44,508.0","44,064.0","43,556.0","42,972.0","42,532.0","42,252.0","42,120.0","42,132.0","41,852.0","41,272.0","40,392.0","39,208.0","38,208.0","37,404.0","36,776.0","36,336.0","35,868.0","35,384.0","34,876.0","34,352.0","33,892.0","33,500.0","33,180.0","32,924.0","32,776.0","32,740.0","32,808.0","32,976.0","33,116.0","33,200.0","33,260.0","33,272.0","33,304.0","33,380.0","33,460.0","33,572.0","33,644.0","33,672.0","33,660.0","33,596.0","33,532.0","33,460.0","33,368.0","33,272.0","33,252.0","33,300.0","33,432.0","33,636.0","33,940.0","34,352.0","34,860.0","35,480.0","36,224.0","37,100.0","38,108.0","39,244.0","40,568.0","42,076.0","43,780.0","45,672.0","47,456.0","49,124.0","50,688.0","52,136.0","53,516.0","54,832.0","56,080.0","57,248.0","58,232.0","59,040.0","59,652.0","60,088.0","60,732.0","61,596.0","62,660.0","63,952.0","65,028.0","65,912.0","66,588.0","67,076.0","67,212.0","67,028.0","66,496.0","65,636.0","65,036.0","64,696.0","64,612.0","65,092.0","65,236.0","65,420.0","65,488.0","65,656.0","65,916.0","66,292.0","66,768.0","67,348.0","67,296.0","66,612.0","65,304.0","63,356.0","61,628.0","60,104.0","58,800.0","57,704.0","57,084.0","56,940.0"
"44","25","  Nondefense","A825RC1","28,300.0","28,868.0","29,888.0","29,248.0","30,660.0","32,092.0","32,392.0","33,000.0","33,808.0","36,344.0","38,104.0","37,416.0","39,968.0","40,888.0","41,036.0","41,640.0","42,872.0","43,136.0","43,756.0","44,332.0","46,512.0","46,040.0","50,064.0","53,100.0","53,664.0","55,192.0","56,128.0","58,220.0","58,928.0","59,192.0","59,716.0","62,032.0","63,008.0","64,804.0","66,324.0","69,664.0","70,364.0","72,836.0","74,212.0","77,324.0","78,080.0","78,936.0","80,380.0","82,396.0","86,376.0","93,416.0","91,648.0","94,164.0","97,604.0","101,320.0","100,388.0","102,860.0","102,380.0","100,144.0","101,848.0","106,948.0","110,792.0","111,684.0","119,988.0","100,916.0","104,932.0","114,296.0","115,448.0","117,164.0","121,296.0","123,364.0","124,860.0","123,744.0","124,636.0","126,748.0","130,836.0","134,536.0","130,892.0","129,924.0","126,148.0","134,140.0","127,748.0","126,952.0","128,224.0","133,896.0","138,340.0","142,368.0","143,736.0","146,520.0","152,772.0","157,004.0","159,448.0","159,816.0","165,588.0","167,972.0","168,964.0","172,620.0","178,408.0","179,348.0","181,524.0","188,268.0","187,400.0","187,172.0","188,892.0","189,800.0","191,136.0","189,832.0","191,424.0","197,104.0","199,944.0","199,112.0","200,444.0","197,744.0","201,856.0","201,600.0","200,872.0","202,320.0","208,312.0","211,296.0","213,288.0","210,972.0","215,968.0","217,936.0","210,936.0","220,736.0","224,460.0","225,108.0","227,068.0","234,208.0","237,440.0","241,904.0","242,692.0","240,888.0","249,040.0","256,076.0","258,328.0","262,596.0","275,688.0","283,008.0","286,656.0","289,688.0","299,092.0","304,616.0","307,780.0","308,208.0","317,704.0","322,060.0","321,308.0","327,524.0","334,452.0","333,132.0","339,736.0","344,944.0","361,864.0","357,284.0","361,640.0","357,608.0","363,808.0","368,164.0","373,180.0","379,032.0","390,996.0","399,248.0","403,348.0","412,324.0","422,004.0","429,212.0","430,412.0","436,008.0","457,264.0","475,232.0","475,312.0","476,584.0","474,704.0","469,976.0","454,472.0","466,900.0","472,776.0","472,880.0","473,392.0","474,448.0","466,780.0","461,856.0","459,032.0","458,664.0","458,236.0","455,864.0","457,256.0"
"45","26","    Consumption expenditures","A542RC1","17,004.0","17,500.0","18,664.0","18,044.0","19,420.0","20,532.0","20,824.0","21,236.0","22,036.0","24,332.0","25,732.0","24,992.0","27,076.0","27,740.0","28,000.0","28,424.0","29,048.0","29,300.0","29,932.0","30,264.0","32,268.0","30,676.0","34,780.0","36,800.0","37,112.0","38,336.0","38,804.0","40,112.0","40,528.0","40,120.0","40,356.0","42,324.0","42,964.0","44,008.0","44,372.0","47,352.0","47,256.0","48,652.0","48,472.0","51,548.0","52,028.0","52,248.0","52,828.0","55,092.0","57,448.0","63,728.0","60,800.0","63,312.0","65,820.0","69,192.0","68,392.0","70,028.0","70,280.0","68,128.0","70,272.0","75,560.0","78,372.0","79,452.0","87,044.0","68,236.0","71,232.0","79,844.0","80,868.0","81,768.0","84,708.0","86,996.0","87,124.0","86,000.0","86,436.0","88,824.0","92,660.0","94,924.0","90,784.0","88,140.0","84,124.0","91,320.0","86,132.0","84,788.0","85,176.0","90,584.0","94,016.0","96,592.0","97,236.0","98,916.0","102,556.0","106,072.0","108,292.0","108,612.0","112,576.0","112,940.0","113,136.0","114,544.0","119,724.0","120,848.0","122,676.0","127,412.0","125,228.0","125,464.0","127,428.0","129,304.0","132,352.0","131,520.0","131,828.0","135,456.0","136,908.0","136,852.0","137,480.0","135,040.0","137,156.0","136,348.0","135,580.0","138,408.0","143,440.0","146,092.0","147,808.0","147,572.0","148,244.0","149,192.0","142,404.0","152,052.0","154,032.0","152,288.0","153,936.0","157,120.0","163,708.0","168,240.0","168,328.0","166,764.0","174,044.0","180,016.0","181,944.0","185,324.0","195,468.0","202,136.0","204,508.0","206,804.0","215,568.0","218,556.0","221,452.0","222,548.0","231,668.0","234,300.0","233,532.0","238,828.0","245,532.0","243,976.0","248,092.0","252,492.0","265,636.0","262,312.0","265,588.0","260,948.0","267,020.0","270,020.0","273,536.0","278,536.0","289,616.0","295,584.0","297,720.0","305,220.0","314,896.0","321,884.0","320,880.0","323,996.0","341,344.0","354,856.0","353,160.0","353,408.0","350,236.0","346,680.0","332,288.0","345,936.0","351,992.0","352,220.0","353,476.0","354,884.0","349,924.0","346,360.0","344,604.0","345,588.0","346,668.0","345,108.0","346,584.0"
"46","27","    Gross investment","A798RC1","11,296.0","11,368.0","11,224.0","11,204.0","11,240.0","11,560.0","11,568.0","11,764.0","11,772.0","12,012.0","12,372.0","12,424.0","12,892.0","13,148.0","13,036.0","13,216.0","13,824.0","13,836.0","13,824.0","14,068.0","14,244.0","15,364.0","15,284.0","16,300.0","16,552.0","16,856.0","17,324.0","18,108.0","18,400.0","19,072.0","19,360.0","19,708.0","20,044.0","20,796.0","21,952.0","22,312.0","23,108.0","24,184.0","25,740.0","25,776.0","26,052.0","26,688.0","27,552.0","27,304.0","28,928.0","29,688.0","30,848.0","30,852.0","31,784.0","32,128.0","31,996.0","32,832.0","32,100.0","32,016.0","31,576.0","31,388.0","32,420.0","32,232.0","32,944.0","32,680.0","33,700.0","34,452.0","34,580.0","35,396.0","36,588.0","36,368.0","37,736.0","37,744.0","38,200.0","37,924.0","38,176.0","39,612.0","40,108.0","41,784.0","42,024.0","42,820.0","41,616.0","42,164.0","43,048.0","43,312.0","44,324.0","45,776.0","46,500.0","47,604.0","50,216.0","50,932.0","51,156.0","51,204.0","53,012.0","55,032.0","55,828.0","58,076.0","58,684.0","58,500.0","58,848.0","60,856.0","62,172.0","61,708.0","61,464.0","60,496.0","58,784.0","58,312.0","59,596.0","61,648.0","63,036.0","62,260.0","62,964.0","62,704.0","64,700.0","65,252.0","65,292.0","63,912.0","64,872.0","65,204.0","65,480.0","63,400.0","67,724.0","68,744.0","68,532.0","68,684.0","70,428.0","72,820.0","73,132.0","77,088.0","73,732.0","73,664.0","74,364.0","74,124.0","74,996.0","76,060.0","76,384.0","77,272.0","80,220.0","80,872.0","82,148.0","82,884.0","83,524.0","86,060.0","86,328.0","85,660.0","86,036.0","87,760.0","87,776.0","88,696.0","88,920.0","89,156.0","91,644.0","92,452.0","96,228.0","94,972.0","96,052.0","96,660.0","96,788.0","98,144.0","99,644.0","100,496.0","101,380.0","103,664.0","105,628.0","107,104.0","107,108.0","107,328.0","109,532.0","112,012.0","115,920.0","120,376.0","122,152.0","123,176.0","124,468.0","123,296.0","122,184.0","120,964.0","120,784.0","120,660.0","119,916.0","119,564.0","116,856.0","115,496.0","114,428.0","113,076.0","111,568.0","110,756.0","110,672.0"
"47","28","      Structures","A830RC1","1,920.0","1,916.0","1,896.0","1,824.0","1,848.0","2,024.0","2,124.0","2,232.0","2,288.0","2,412.0","2,600.0","2,536.0","2,708.0","2,744.0","2,692.0","2,696.0","3,120.0","2,956.0","3,144.0","3,208.0","3,028.0","3,520.0","3,268.0","3,784.0","4,016.0","3,964.0","4,028.0","4,284.0","4,392.0","4,724.0","4,612.0","4,608.0","4,540.0","4,852.0","5,412.0","5,188.0","5,404.0","5,984.0","6,776.0","6,380.0","5,940.0","6,132.0","6,596.0","6,344.0","6,856.0","7,016.0","7,196.0","7,228.0","7,824.0","7,696.0","7,620.0","7,764.0","7,136.0","6,812.0","6,684.0","6,504.0","6,584.0","6,620.0","7,152.0","6,580.0","6,784.0","7,256.0","6,900.0","7,196.0","7,040.0","7,068.0","7,832.0","7,436.0","8,148.0","7,956.0","7,856.0","8,060.0","8,732.0","9,356.0","9,252.0","8,784.0","6,948.0","6,824.0","7,168.0","6,452.0","6,388.0","6,652.0","7,012.0","7,480.0","8,168.0","8,124.0","8,108.0","7,568.0","7,736.0","9,060.0","9,088.0","10,788.0","10,308.0","10,192.0","9,660.0","11,008.0","11,536.0","10,904.0","11,312.0","11,212.0","9,896.0","9,412.0","9,740.0","11,800.0","11,320.0","10,684.0","10,996.0","10,184.0","11,300.0","12,052.0","11,552.0","10,120.0","10,392.0","10,120.0","10,620.0","8,504.0","10,760.0","10,560.0","11,092.0","10,632.0","10,964.0","10,576.0","10,500.0","10,864.0","9,616.0","8,484.0","7,928.0","7,428.0","7,700.0","7,904.0","8,436.0","8,496.0","9,808.0","9,816.0","9,924.0","10,288.0","10,104.0","10,960.0","10,664.0","9,580.0","9,704.0","10,132.0","9,780.0","8,852.0","8,508.0","7,924.0","8,520.0","7,380.0","8,468.0","9,104.0","9,236.0","10,960.0","10,532.0","11,064.0","11,976.0","11,860.0","10,524.0","10,988.0","11,728.0","12,308.0","11,784.0","11,028.0","11,992.0","13,268.0","14,324.0","16,980.0","16,448.0","16,132.0","18,088.0","17,416.0","16,468.0","15,004.0","14,744.0","14,516.0","13,916.0","14,176.0","11,756.0","11,392.0","11,112.0","10,988.0","11,336.0","11,520.0","11,484.0"
"48","29","      Equipment","Y066RC1","548.0","620.0","504.0","572.0","612.0","784.0","688.0","760.0","708.0","784.0","908.0","924.0","1,124.0","1,204.0","1,068.0","1,140.0","1,244.0","1,328.0","992.0","1,024.0","1,196.0","1,616.0","1,556.0","1,780.0","1,516.0","1,572.0","1,644.0","1,852.0","1,732.0","1,772.0","1,868.0","1,928.0","2,080.0","2,192.0","2,372.0","2,508.0","2,572.0","2,564.0","2,804.0","2,748.0","2,952.0","2,880.0","2,780.0","2,292.0","2,948.0","3,084.0","3,632.0","3,204.0","3,136.0","3,304.0","3,080.0","3,716.0","3,752.0","4,072.0","3,812.0","3,808.0","4,564.0","4,184.0","4,116.0","4,168.0","4,696.0","4,636.0","4,684.0","4,708.0","5,480.0","4,780.0","5,096.0","5,208.0","4,804.0","4,468.0","4,536.0","5,396.0","4,736.0","5,296.0","5,124.0","5,752.0","5,892.0","6,036.0","6,032.0","6,528.0","7,044.0","7,624.0","7,188.0","7,076.0","8,256.0","8,156.0","7,940.0","7,864.0","8,708.0","8,720.0","8,980.0","9,100.0","9,836.0","9,588.0","10,132.0","10,524.0","10,796.0","10,600.0","9,580.0","8,428.0","7,672.0","7,284.0","7,656.0","7,380.0","8,600.0","8,308.0","8,396.0","9,072.0","9,820.0","9,512.0","9,856.0","9,752.0","9,656.0","10,248.0","10,072.0","9,880.0","10,368.0","10,676.0","9,568.0","10,144.0","11,028.0","11,448.0","11,096.0","14,024.0","10,804.0","10,752.0","11,172.0","10,564.0","9,764.0","9,944.0","9,632.0","10,476.0","11,528.0","11,832.0","12,324.0","12,220.0","11,952.0","12,636.0","12,680.0","12,352.0","12,576.0","13,572.0","13,032.0","14,392.0","14,268.0","14,176.0","15,396.0","16,980.0","19,296.0","16,996.0","17,500.0","15,736.0","15,868.0","16,128.0","16,020.0","16,276.0","16,908.0","17,676.0","17,800.0","17,948.0","17,704.0","17,620.0","17,764.0","17,668.0","18,872.0","19,236.0","19,320.0","19,168.0","18,604.0","18,208.0","18,088.0","18,300.0","18,816.0","18,792.0","18,644.0","17,820.0","16,764.0","16,184.0","15,864.0","15,876.0","15,868.0","15,988.0","15,900.0"
"49","30","      Intellectual property products","Y067RC1","8,828.0","8,832.0","8,824.0","8,808.0","8,780.0","8,752.0","8,756.0","8,772.0","8,776.0","8,816.0","8,864.0","8,964.0","9,060.0","9,200.0","9,276.0","9,380.0","9,460.0","9,552.0","9,688.0","9,836.0","10,020.0","10,228.0","10,460.0","10,736.0","11,020.0","11,320.0","11,652.0","11,972.0","12,276.0","12,576.0","12,880.0","13,172.0","13,424.0","13,752.0","14,168.0","14,616.0","15,132.0","15,636.0","16,160.0","16,648.0","17,160.0","17,676.0","18,176.0","18,668.0","19,124.0","19,588.0","20,020.0","20,420.0","20,824.0","21,128.0","21,296.0","21,352.0","21,212.0","21,132.0","21,080.0","21,076.0","21,272.0","21,428.0","21,676.0","21,932.0","22,220.0","22,560.0","22,996.0","23,492.0","24,068.0","24,520.0","24,808.0","25,100.0","25,248.0","25,500.0","25,784.0","26,156.0","26,640.0","27,132.0","27,648.0","28,284.0","28,776.0","29,304.0","29,848.0","30,332.0","30,892.0","31,500.0","32,300.0","33,048.0","33,792.0","34,652.0","35,108.0","35,772.0","36,568.0","37,252.0","37,760.0","38,188.0","38,540.0","38,720.0","39,056.0","39,324.0","39,840.0","40,204.0","40,572.0","40,856.0","41,216.0","41,616.0","42,200.0","42,468.0","43,116.0","43,268.0","43,572.0","43,448.0","43,580.0","43,688.0","43,884.0","44,040.0","44,824.0","44,836.0","44,788.0","45,016.0","46,596.0","47,508.0","47,872.0","47,908.0","48,436.0","50,796.0","51,536.0","52,200.0","53,312.0","54,428.0","55,264.0","56,132.0","57,532.0","58,212.0","58,316.0","58,300.0","58,884.0","59,224.0","59,900.0","60,376.0","61,468.0","62,464.0","62,984.0","63,728.0","63,756.0","64,056.0","64,964.0","65,452.0","66,144.0","67,056.0","67,728.0","68,092.0","68,464.0","68,872.0","69,316.0","69,964.0","70,388.0","70,952.0","71,648.0","72,360.0","73,948.0","75,000.0","76,100.0","76,848.0","77,620.0","78,680.0","79,776.0","81,076.0","82,724.0","84,160.0","86,384.0","87,876.0","87,776.0","87,672.0","87,628.0","87,660.0","87,224.0","87,352.0","87,356.0","87,568.0","88,336.0","87,920.0","87,452.0","86,212.0","84,364.0","83,248.0","83,288.0"
