"","Table 7#23# Transactions of Federal Government Defined Benefit P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"58","39","Equals: Effect on personal saving","Y299RC1","24,117.0","29,674.0","33,864.0","36,455.0","38,909.0","41,605.0","44,500.0","47,395.0","51,928.0","59,599.0","63,987.0","69,277.0","75,273.0","80,366.0","84,424.0","89,958.0","96,108.0","100,464.0","101,528.0","106,717.0","111,495.0","115,465.0","121,276.0","124,883.0","125,060.0","127,883.0","130,784.0","132,800.0","137,127.0","141,253.0","144,403.0","148,173.0","152,937.0","156,283.0","163,464.0","169,771.0","175,680.0","179,238.0","185,488.0","190,900.0","195,381.0","205,404.0","212,841.0","218,642.0","223,436.0"
"59","40","Plus: Implied funding of benefits from holding gains on assets","Y300RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"60","41","  Interest accrued on benefit entitlements","Y301RC1","12,530.0","16,692.0","18,674.0","20,376.0","22,161.0","23,987.0","25,852.0","27,765.0","31,054.0","37,210.0","40,065.0","43,007.0","46,050.0","49,250.0","52,604.0","56,172.0","60,019.0","64,114.0","68,254.0","72,389.0","76,652.0","81,019.0","85,512.0","90,173.0","94,413.0","97,730.0","101,752.0","104,860.0","109,232.0","113,204.0","115,720.0","118,546.0","121,873.0","122,676.0","127,315.0","132,183.0","136,526.0","139,544.0","143,655.0","145,131.0","145,568.0","147,958.0","153,994.0","158,630.0","163,368.0"
"61","42","  Less: Interest and dividend income received by plans (16)","Y279RC1","12,530.0","16,692.0","18,674.0","20,376.0","22,161.0","23,987.0","25,852.0","27,765.0","31,054.0","37,210.0","40,065.0","43,007.0","46,050.0","49,250.0","52,604.0","56,172.0","60,019.0","64,114.0","68,254.0","72,389.0","76,652.0","81,019.0","85,512.0","90,173.0","94,413.0","97,730.0","101,752.0","104,860.0","109,232.0","113,204.0","115,720.0","118,546.0","121,873.0","122,676.0","127,315.0","132,183.0","136,526.0","139,544.0","143,655.0","145,131.0","145,568.0","147,958.0","153,994.0","158,630.0","163,368.0"
"62","43","Equals: Change in personal wealth \7\","Y303RC1","24,117.0","29,674.0","33,864.0","36,455.0","38,909.0","41,605.0","44,500.0","47,395.0","51,928.0","59,599.0","63,987.0","69,277.0","75,273.0","80,366.0","84,424.0","89,958.0","96,108.0","100,464.0","101,528.0","106,717.0","111,495.0","115,465.0","121,276.0","124,883.0","125,060.0","127,883.0","130,784.0","132,800.0","137,127.0","141,253.0","144,403.0","148,173.0","152,937.0","156,283.0","163,464.0","169,771.0","175,680.0","179,238.0","185,488.0","190,900.0","195,381.0","205,404.0","212,841.0","218,642.0","223,436.0"
"63","44","Less: Benefit payments and withdrawals (26)","Y293RC1","5,258.0","6,235.0","7,250.0","8,407.0","9,850.0","12,074.0","14,714.0","16,731.0","18,636.0","20,956.0","23,914.0","28,290.0","32,584.0","35,687.0","37,902.0","37,867.0","41,579.0","42,783.0","45,455.0","48,693.0","51,278.0","54,390.0","58,034.0","59,869.0","62,615.0","64,993.0","68,147.0","70,511.0","74,085.0","76,236.0","77,786.0","80,450.0","84,303.0","86,628.0","88,561.0","92,498.0","97,103.0","102,959.0","108,769.0","114,267.0","122,082.0","123,636.0","125,220.0","131,715.0","135,548.0"
"64","45","Plus: Household actual contributions (11)","Y276RC1","1,535.0","1,887.0","1,988.0","2,144.0","2,246.0","2,456.0","2,658.0","2,866.0","3,040.0","3,269.0","3,496.0","3,776.0","4,013.0","4,274.0","4,455.0","4,661.0","4,784.0","4,734.0","4,680.0","4,509.0","4,504.0","4,522.0","4,571.0","4,816.0","4,737.0","4,623.0","4,555.0","4,530.0","4,490.0","4,338.0","4,562.0","4,756.0","4,692.0","4,641.0","4,644.0","4,645.0","4,482.0","4,376.0","4,280.0","4,253.0","4,196.0","4,083.0","3,967.0","3,746.0","3,532.0"
"65","46","Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \7\","Y306RC1","20,394.0","25,326.0","28,602.0","30,192.0","31,305.0","31,987.0","32,444.0","33,530.0","36,332.0","41,912.0","43,569.0","44,763.0","46,702.0","48,953.0","50,977.0","56,752.0","59,313.0","62,415.0","60,753.0","62,533.0","64,721.0","65,597.0","67,813.0","69,830.0","67,182.0","67,513.0","67,192.0","66,819.0","67,532.0","69,355.0","71,179.0","72,479.0","73,326.0","74,296.0","79,547.0","81,918.0","83,059.0","80,655.0","80,999.0","80,886.0","77,495.0","85,851.0","91,588.0","90,673.0","91,420.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Included in personal consumption expenditures as part of financial services furnished without",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","payment; the value is equal to administrative expenses (line 22).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Authority, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Includes the Coast Guard, which is included in nondefense compensation in NIPA table 3.10.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","4. Imputed income payments received by persons from the pension plans (line 23) are reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","as household pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","5. Plans' claims on employers equals the difference between actuarial liabilities and financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assets held by plans.  When actuarial liabilities exceed plan assets, imputed interest is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","positive; when plan assets exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Excludes implied funding of benefits from holding gains on assets and excludes effects on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","change in the estimated value of benefit entitlements that come from differences between actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","experience and previous actuarial assumptions, changes in actuarial assumptions, and changes in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","7. Excludes effects on change in the estimated value of benefit entitlements that come from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","differences between actual experience and previous actuarial assumptions, changes in actuarial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Note. In the NIPAs, pension plans are classified as financial corporations that receive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","contributions and property income on behalf of plan participants but do not have saving or net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","worth of their own.  Tables 7.21, 7.22, 7.23, and 7.24 show the transactions of the private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
