"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"73","63","    Excluding imputations (61-62)","W519RC1",562.4,599.6,639,703.2,787.2,862.9,915.6,1018.6,1132.8,1279.5,1435.3,1574.9,1735.3,1823.8,1931,2131.4,2287.8,2425.6,2594.7,2796.1,2956.2,3131.6,3227.5,3411.4,3535.6,3714.1,3914.8,4120.4,4397.1,4731.5,5024.4,5427.2,5587.1,5692.2,5910.1,6215.9,6531,6932.6,7297.3,7492.8,7208.6,7377.2
"74","64","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1090.4,1097.9,941.2,1036.4
"75","65","    Imputations (167+179)","A2101C1",0.8,0.8,0.9,1,1.4,1.4,1.5,2.1,2.8,3.1,3.3,2.3,2.1,1.9,2.9,3,3.1,3.6,3.3,3.1,2.9,2.9,2.4,3.3,3,3.4,2.8,3,3.1,2.8,3.2,2.8,2.8,3,3.1,3.7,4.3,3.6,2.2,0.6,0.1,0.1
"76","66","    Excluding imputations (64-65)","A2102C1",76.8,77.7,83.8,95,112.3,112.1,118.1,130.1,143.2,164.4,177.9,171.1,179.6,172.9,187.8,230.1,243,259,290.9,331.7,348.7,362.2,364.9,411.7,446.6,481.7,513.3,580.7,625.2,684.7,743.6,814.7,867.9,887.3,927.6,1030.1,1065.5,1129.3,1088.1,1097.2,941.1,1036.3
"77","67","  Rental income of persons with capital consumption adjustment","A048RC1",20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,143.7,231.6,305.9,350.2
"78","68","    Imputations (139)","B1156C1",14.9,14.8,15.8,15.7,15.1,15.5,14.6,13.3,9.9,10.5,11,13.8,15.7,13,11.4,10.6,8.2,3.7,5.7,13.4,16,19.4,25.9,40.9,64.8,88.8,95.9,109.2,112.1,127.3,144,151,163.9,156,145.5,139.5,117.9,83.4,68.1,130,191.9,230
"79","69","    Excluding imputations (67-68)","A2103C1",6,6.2,6.4,7.5,8.8,8.6,8.8,8.8,9.7,10.4,11.7,14.7,20.7,25.1,26.8,29.5,33.7,30.1,28.5,26.8,26.4,30.4,35.7,43.7,49.3,54.2,58.7,61.2,64.4,64.2,64.2,64.3,68.5,62.8,58.6,58.8,60.4,63.1,75.7,101.6,114.1,120.2
"80","70","  Personal interest income","A064RC1",59.9,69.2,75.9,82.8,94.8,113.2,129.3,139.5,160.6,184,217.3,274.7,348.3,410.8,446.3,517.2,555.8,588.4,603.6,637.3,717,751.9,748.2,722.2,698.1,712.7,751.9,784.4,835.8,919.3,910.9,984.2,976.5,911.9,889.8,860.2,987,1127.5,1265.1,1382,1108.9,1003.4
"81","71","    Imputations (147+160-164)","W520RC1",7.6,9.5,10.7,11.8,12.5,15.2,22.5,21,23,26.7,26.4,25.2,23.7,30.8,55.4,52.9,65.7,73,78.2,76.8,73.2,81.6,96.2,110.9,111,111.4,107.5,117.5,129.3,140.7,152.4,160.8,163.4,167.9,159.8,174.6,178,175.2,200.5,227,200.8,209.5
"82","72","    Excluding imputations (70-71)","W521RC1",52.3,59.7,65.3,71,82.3,98,106.7,118.4,137.6,157.3,190.9,249.4,324.6,380,390.9,464.4,490.1,515.4,525.4,560.5,643.8,670.3,652.1,611.2,587.1,601.3,644.4,666.9,706.4,778.7,758.5,823.3,813.1,744,730,685.6,809,952.2,1064.6,1155,908.1,793.9
"83","73","  Personal current transfer receipts","A577RC1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,235.3,279.5,318.4,354.8,383.7,400.1,424.9,451,467.6,496.5,542.6,594.9,665.9,745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1,1341.7,1415.5,1508.6,1605,1718.5,1879.2,2138.1,2281.2
"84","74","    Imputations (-136)","A2111C1",0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.3,-0.3,-0.3,-0.3,-0.5,-0.4,-0.5,-0.3,-0.6,-1.4,-4,-2.1,-7.9,-3.6,-2,-1.5
"85","75","    Excluding imputations (73-74)","A2112C1",62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.3,209.7,235.4,279.6,318.6,355.1,384,400.4,425.2,451.1,467.8,496.6,542.8,595.1,666.1,746.1,791.1,826.9,879.2,924.3,949.5,978.3,1022,1083.4,1188.6,1282.4,1342.3,1416.9,1512.6,1607.1,1726.4,1882.8,2140.1,2282.7
"86","76","  Less: Contributions for government social insurance, domestic","A061RC1",44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,778.9,827.3,872.7,921.8,959.5,987.3,964.1,986.8
"87","77","    Imputations (175)","A1676C1",0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.2,4.5,4.6,5,5,5.4,6.5,7.3
"88","78","    Excluding imputations (76-77)","W531RC1",43.7,45.8,50.3,58.3,74.7,84.3,88,99.8,111.7,130.1,151.4,164.7,194.1,207.4,224.2,255.7,279.5,301.4,320.9,359,382.6,407.1,426.8,450.8,473.3,504.7,529.7,552.1,584.4,621.8,658.3,702.7,729.7,747.6,774.7,822.8,868.1,916.8,954.5,981.9,957.7,979.5
"89","79","Personal current taxes","W055RC1",104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1488.7,1435.7,1141.4,1193.9
"90","80","  Imputations (-135-142)","A2115C1",-13.4,-15.2,-16.7,-18.1,-19.5,-20.8,-22.9,-25.3,-27.9,-28.5,-29.3,-31.9,-35.4,-38.6,-41.3,-44.5,-47.3,-50.2,-54.8,-58.4,-63.2,-67.2,-72,-74.5,-74.5,-78.1,-78.2,-80.8,-83.7,-85.5,-88.6,-91.5,-96.6,-104.3,-110.6,-117.8,-125.4,-133.1,-141.8,-145.6,-149.1,-153
"91","81","  Excluding imputations (79-80)","A2116C1",117.9,118.3,118.5,141.7,151.9,171.9,170.5,197.6,225.4,257.9,298,330.8,380.5,392.7,393.6,421.9,464.6,487.4,543.9,563.4,629.3,659.9,658.7,685.1,721.1,768.6,822.1,912.8,1009.9,1111.9,1196.1,1323.7,1331.5,1154.7,1111,1165.7,1333.9,1485.5,1630.4,1581.2,1290.5,1346.8
"92","82","Disposable personal income","A067RC1",673.8,735.5,801.4,869,978.1,1071.7,1187.3,1302.3,1435,1607.3,1790.9,2002.7,2237.1,2412.7,2599.8,2891.5,3079.3,3258.8,3435.3,3726.3,3991.4,4254,4444.9,4736.7,4921.6,5184.3,5457,5759.6,6074.6,6498.9,6803.3,7327.2,7648.5,8009.7,8377.8,8889.4,9277.3,9915.7,10423.6,11024.5,10788.8,11179.7
"93","83","  Imputations (59-80)","A2117C1",51.4,57.3,62.5,67.5,71.8,79.8,93.6,100.9,109.8,123.2,131.6,144.3,159.3,178.4,214,222.7,246.3,260.2,280.6,307.1,327.6,362.5,403.8,460.9,503.9,544.5,545.1,574.7,596.6,645.5,709.2,764,814.9,845.7,871.7,922.3,945.9,931.4,964.6,1074.8,1126.3,1178
"94","84","  Excluding imputations (82-83)","A2118C1",622.4,678.2,738.9,801.5,906.4,991.9,1093.6,1201.5,1325.2,1484.2,1659.2,1858.3,2077.8,2234.3,2385.9,2668.8,2833.1,2998.6,3154.7,3419.2,3663.8,3891.5,4041.1,4275.8,4417.7,4639.8,4911.9,5185,5478,5853.4,6094.2,6563.1,6833.5,7164,7506,7967.2,8331.4,8984.2,9459,9949.7,9662.5,10001.7
"95","85","Personal outlays","A068RC1",621.4,666.1,721,791.5,875.2,957.5,1061.3,1179.6,1309.7,1465,1633.4,1806.4,2000.4,2148.8,2372.9,2595.2,2825.7,3012.4,3211.9,3469.7,3726.4,3977.3,4131.7,4388.7,4636.2,4913.6,5170.8,5478.5,5794.2,6157.5,6595.5,7114.1,7443.5,7727.5,8088.1,8571.2,9134.1,9659.1,10174.9,10432.2,10236.3,10586.9
"96","86","  Imputations (5-138+198)","A2119C1",27.5,35.5,31.2,26.7,26.7,43,57.9,48.5,35.6,37.5,48.2,80.5,100.7,130,127.2,115.1,136.7,127.5,134.5,154.1,178.5,229.8,283.8,312.2,338.1,350.4,366.3,368,373.2,385.3,428.1,470.3,505.3,511,487.8,457.4,413.5,428.4,588.3,842.4,1000,1066.4
"97","87","  Excluding imputations (85-86)","A2120C1",593.9,630.6,689.7,764.9,848.5,914.5,1003.5,1131,1274.1,1427.4,1585.3,1725.8,1899.7,2018.8,2245.7,2480.1,2689,2884.8,3077.4,3315.6,3547.9,3747.5,3847.9,4076.5,4298.1,4563.2,4804.5,5110.4,5420.9,5772.2,6167.5,6643.7,6938.3,7216.5,7600.3,8113.8,8720.6,9230.7,9586.6,9589.8,9236.3,9520.5
"98","88","Personal saving","A071RC1",52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.6,318.2,143.2,256.6,248.7,592.3,552.6,592.8
"99","89","  Imputations (177+178+179-140-144)","A2121C1",23.9,21.8,31.3,40.8,45.1,36.8,35.8,52.3,74.2,85.7,83.5,63.8,58.6,48.4,86.8,107.6,109.5,132.7,146.2,153,149.1,132.6,120,148.7,165.8,194.1,178.8,206.6,223.3,260.2,281.1,293.7,309.6,334.7,383.9,464.9,532.4,503.1,376.3,232.4,126.3,111.6
"100","90","  Excluding imputations (88-89)","A2122C1",28.5,47.6,49.1,36.6,57.9,77.4,90.2,70.5,51.1,56.7,74,132.5,178.1,215.6,140.2,188.6,144.1,113.8,77.3,103.6,115.9,144.1,193.2,199.3,119.6,76.6,107.4,74.5,57.1,81.2,-73.3,-80.6,-104.7,-52.5,-94.3,-146.6,-389.2,-246.5,-127.5,359.9,426.2,481.2
"101",NA,"          Government current receipts, expenditures, and net saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","91","Government current receipts","W021RC1",283.5,286.9,303.6,347,390.4,431.8,442.1,505.9,567.3,646.1,728.9,798.7,917.7,939.3,1000.3,1113.5,1214.6,1290.1,1403.2,1502.4,1627.2,1709.3,1759.7,1845.1,1948.2,2091.9,2215.5,2380.4,2557.2,2729.8,2902.5,3132.4,3118.2,2967.9,3043.4,3265.7,3659.3,3995.2,4197,4051.6,3703.7,3962.8
"103","92","  Imputations (148+161+175)","W568RC1",1.8,2.5,3.1,3.3,3.1,3.4,4.6,4.6,4.7,3.8,3.2,2.8,2.5,3.9,5.1,4.6,6.7,7.5,6.4,6.1,6,6.8,8.4,9,8.4,7.6,7.1,7.5,7.9,8.1,9.3,9.5,9.1,10,9.7,10.2,10,10.4,11.9,14.2,14.2,15.5
"104","93","  Excluding imputations (91-92)","W514RC1",281.7,284.4,300.5,343.7,387.3,428.4,437.5,501.3,562.7,642.3,725.8,795.9,915.2,935.4,995.2,1108.9,1207.9,1282.6,1396.8,1496.4,1621.2,1702.4,1751.3,1836.1,1939.8,2084.3,2208.4,2373,2549.3,2721.7,2893.2,3123,3109.1,2957.9,3033.7,3255.5,3649.2,3984.7,4185.1,4037.3,3689.5,3947.4
"105","94","Government current expenditures","W022RC1",267,295.2,325.8,356.3,386.5,436.9,510.2,552.2,600.3,656.3,729.9,846.5,966.9,1076.8,1171.7,1261,1370.9,1464,1540.5,1623.6,1741,1879.5,1984,2149,2229.4,2304,2412.5,2505.7,2581.1,2649.3,2761.9,2906,3093.6,3274.7,3458.6,3653.5,3916.4,4147.9,4430,4737.3,4999.7,5261.8
"106","95","  Imputations (148+161+175+181-182)","A2047C1",-18.9,-17,-13.2,-13,-15.9,-21.3,-23.6,-24.7,-23.2,-30.5,-38.5,-44.4,-44.3,-42.2,-47.7,-60.1,-72.3,-80.1,-85.9,-81.8,-86.6,-96,-91.8,-89.4,-80.5,-77.5,-84.2,-92.3,-96.3,-102.9,-119.6,-128,-140.4,-156.2,-163.3,-168.7,-173.3,-190,-201.3,-223.3,-220.6,-211.2
"107","96","  Excluding imputations (94-95)","A2114C1",286,312.2,339,369.3,402.4,458.2,533.9,576.9,623.5,686.8,768.3,890.9,1011.2,1119,1219.3,1321.1,1443.2,1544.1,1626.4,1705.4,1827.6,1975.5,2075.7,2238.4,2309.9,2381.5,2496.7,2597.9,2677.4,2752.2,2881.4,3034,3234,3430.9,3621.9,3822.3,4089.6,4337.9,4631.4,4960.6,5220.3,5473.1
"108","97","Net government saving","A922RC1",16.5,-8.4,-22.2,-9.3,3.9,-5.2,-68.2,-46.3,-33,-10.2,-1,-47.8,-49.2,-137.5,-171.4,-147.5,-156.3,-173.9,-137.4,-121.2,-113.8,-170.3,-224.2,-303.9,-281.2,-212.2,-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-233,-685.7,-1296,-1299
"109","98","  Imputations (182-181)","A2010C1",20.8,19.4,16.3,16.3,19,24.7,28.2,29.3,27.9,34.3,41.6,47.2,46.8,46.1,52.8,64.6,79.1,87.6,92.3,87.9,92.5,102.8,100.2,98.4,88.9,85.1,91.4,99.7,104.2,111,128.9,137.5,149.5,166.2,173,179,183.3,200.4,213.2,237.6,234.9,226.7
"110","99","  Excluding imputations (97-98)","A2011C1",-4.2,-27.8,-38.5,-25.6,-15.1,-29.8,-96.4,-75.6,-60.9,-44.5,-42.6,-95.1,-96,-183.5,-224.1,-212.2,-235.3,-261.5,-229.7,-209.1,-206.4,-273.1,-324.4,-402.3,-370.1,-297.3,-288.4,-225,-128.1,-30.5,11.8,89,-125,-473,-588.2,-566.8,-440.4,-353.1,-446.2,-923.3,-1530.9,-1525.7
"111",NA,"          Current receipts from and payments to the rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","100","Current receipts from the rest of the world","A120RC1",63.7,72.5,77,87.1,118.8,156.5,166.7,181.9,196.6,233.1,298.5,359.9,397.3,384.2,378.9,424.2,414.5,431.3,486.6,595.5,680.3,740.6,764.7,786.8,810.8,904.8,1041.1,1113.5,1233.9,1240.1,1308.8,1473.7,1350.8,1316.5,1394.4,1628.8,1878.1,2192.1,2532.7,2702.9,2222.8,2542.7
"113","101","  Imputations (150+165+166)","W522RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,5.5,5.3,4.7,4.3,5.4,7,8.4,8.6,9,8.1,8.3,8.8,9.3,9.6,10.2,11,11.8,11.8,13.3,9.8,12.9,15.6,21.3,19.4,17.4
"114","102","  Excluding imputations (100-101)","W523RC1",63.3,72.1,76.5,86.6,118.2,155.5,165.1,180.7,195.3,232,297.5,359.1,396.8,382.7,375.4,421.1,409.9,425.9,481.3,590.8,676,735.2,757.7,778.4,802.2,895.8,1033,1105.2,1225.1,1230.8,1299.2,1463.5,1339.7,1304.7,1382.6,1615.5,1868.3,2179.2,2517,2681.6,2203.4,2525.3
"115","103","  Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.3,363.8,443.9,503.1,552.1,596.6,635,655.6,720.7,811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1661.7,1846.8,1583,1839.8
"116","104","    Imputations (150+158+165)","W512RC1",0.5,0.6,0.6,0.7,0.9,1.4,1.7,1.7,1.9,2.3,3.1,3.5,4.1,2.9,4,4.1,5,5.3,5.1,4.6,4.1,4.9,6.2,7.6,7.7,8,7.2,7.6,8.1,8.1,8,8.3,7.8,8,7.6,8.2,7.6,9,9.8,13.2,11.9,12.5
"117","105","    Excluding imputations (103-104)","W513RC1",51.4,59.1,62.3,70.1,94.3,125.3,137,147.8,157.5,184.6,227,277.3,301.1,280.3,272.9,298.3,297,315,358.7,439.3,499.1,547.2,590.4,627.4,647.9,712.7,804.7,860.1,946.3,945.8,981.3,1085,1019.9,995.1,1033.4,1172,1297.4,1462.1,1651.9,1833.5,1571.2,1827.3
"118","106","  Income receipts from the rest of the world","B645RC1",11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.4,111,122.8,151.6,177.2,188.5,168.1,151.8,155.2,184.1,229.3,245.8,279.5,286.2,319.5,380.5,323,313.5,353.3,448.6,573,721.1,871,856.1,639.8,702.9
"119","107","    Imputations (-158+166)","W526RC1",-0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.1,-0.5,-0.7,-1.2,-2.1,-2.7,-3.6,-1.4,-0.5,-0.9,-0.5,0.1,0.2,0.1,0.3,0.5,0.8,0.8,0.9,1.1,0.9,0.7,0.7,1.3,1.6,1.9,3.2,3.9,4.2,5.1,2.2,3.9,5.8,8.1,7.5,4.9
"120","108","    Excluding imputations (106-107)","W527RC1",11.9,13,14.1,16.4,23.8,30.3,28.2,32.9,37.9,47.4,70.4,81.8,95.6,102.4,102.4,122.8,112.9,110.9,122.6,151.5,176.9,188,167.3,151,154.3,183,228.3,245.1,278.8,285,317.9,378.6,319.8,309.6,349.2,443.4,570.8,717.1,865.1,848,632.3,698
"121","109","Current payments to the rest of the world","W163RC1",62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,528.8,574,640.7,711.2,772.7,815.6,756.9,832.4,889.4,1019.5,1146.2,1227.6,1363.3,1444.6,1600.7,1884.1,1742.4,1768.1,1910.5,2253.4,2618.6,2990.5,3248.7,3381.9,2600.3,3021.8
"122","110","  Imputations (150+165+166)","W522RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,5.5,5.3,4.7,4.3,5.4,7,8.4,8.6,9,8.1,8.3,8.8,9.3,9.6,10.2,11,11.8,11.8,13.3,9.8,12.9,15.6,21.3,19.4,17.4
"123","111","  Excluding imputations (109-110)","W529RC1",61.7,68.3,76.2,90.6,109.3,149.5,145.3,173.6,206.2,244.6,298.7,350.6,393.4,386,410.4,511.2,524.3,568.6,635.4,706.6,768.4,810.1,749.9,824,880.8,1010.5,1138.1,1219.4,1354.4,1435.3,1591.1,1873.9,1731.4,1756.3,1898.7,2240.1,2608.8,2977.6,3233,3360.5,2580.9,3004.5
"124","112","  Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2374.8,2556.5,1974.6,2356.7
"125","113","    Imputations (166)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7,8.3,10.4,10.3,8.5
"126","114","    Excluding imputations (112-113)","W515RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.2,507.9,553.2,590,628.7,622.3,666.5,718.5,811.6,900.7,962.2,1053.9,1113,1248.4,1471.6,1393.8,1424.6,1539.1,1791.9,2023.4,2233.4,2366.5,2546.1,1964.3,2348.2
"127","115","  Income payments to the rest of the world","A655RC1",5.7,6.4,6.4,7.7,10.9,14.3,15,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,85.9,93.4,105.2,128.3,151.2,154.1,138.2,122.7,124,160,199.6,214.2,256.1,268.9,291.7,342.8,271.1,264.4,284.6,357.4,475.9,648.6,747.7,686.9,487.5,513.5
"128","116","    Imputations(150+165)","W532RC1",0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,4.8,4.4,3.9,3.3,4.4,5.8,7.1,7.1,7.2,6.3,6.5,6.9,6.7,6.5,6.5,6.1,6.3,5.7,6.4,5.4,5.9,7.3,10.9,9.1,8.9
"129","117","    Excluding imputations (115-116)","W533RC1",5.3,6,5.9,7.1,10.3,13.3,13.4,14.3,15.7,23.5,35.4,44.1,58.6,63,61.3,82.4,81.4,88.6,100.7,124.4,147.9,149.7,132.5,115.6,117,152.8,193.3,207.7,249.1,262.3,285.1,336.2,265,258.1,278.9,351,470.5,642.7,740.3,676,478.4,504.6
"130",NA,"          Gross saving or gross domestic investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","118","Gross domestic investment, or gross saving and statistical discrepancy","A928RC1",201.3,199.7,220.2,246.2,300.2,311.6,313.2,365.4,417.9,502.4,580.2,588,682.6,626.2,652.1,784.9,780.7,777.1,815.1,892,980.3,1001.8,1031,1042.3,1094.2,1203.5,1271.6,1370.3,1511.7,1569.1,1637,1666.2,1592.3,1538.9,1569.3,1716.3,1823.8,1953.8,2035.7,1905.8,1674.8,1821.3
"132","119","  Imputations (176+182)","W558RC1",79.3,78.5,87.5,99.5,110.2,114.1,122.8,145,171.5,197.3,211.8,209.7,216.1,214.9,266.2,306.9,331.5,373.3,402.7,416.6,429.9,436.8,433,468.7,488.3,524.3,527.8,572.8,604.6,660.1,716.3,757.9,803.9,860.8,937.2,1056.1,1165.9,1192.4,1114.2,1020.1,920.2,908.2
"133","120","  Excluding imputations (118-119)","W559RC1",122,121.2,132.7,146.7,190,197.5,190.3,220.4,246.5,305.1,368.4,378.3,466.5,411.3,385.9,478,449.2,403.8,412.5,475.4,550.4,565,598.1,573.6,606,679.2,743.7,797.5,907.1,909,920.7,908.3,788.4,678,632.2,660.2,657.9,761.4,921.5,885.6,754.5,913.1
"134","121","Net saving","W201RC1",99.3,84.5,91.5,110.1,151.4,138.1,106.5,133.8,164.9,214.9,234.3,198.6,252.7,187.9,151.3,279,232.9,170.8,211.2,290.5,272.7,226.4,227,187.9,180.4,275.5,349.6,431.8,561.9,633.9,613.6,615.8,439.4,255.9,198.6,305.9,377.5,535.4,280.2,54.1,-268.8,-54.5
"135","122","  Imputations (176+182-140-144-181)","W534RC1",44.7,41.2,47.6,57.2,64.1,61.5,64,81.6,102,119.9,125.1,111,105.4,94.4,139.5,172.3,188.6,220.3,238.4,240.8,241.6,235.5,220.2,247.2,254.7,279.2,270.2,306.3,327.5,371.2,409.9,431.2,459.2,500.9,557,643.8,715.7,703.4,589.5,470,361.2,338.3
"136","123","  Excluding imputations (121-122)","W535RC1",54.6,43.3,43.8,52.9,87.3,76.7,42.5,52.2,62.9,95,109.2,87.6,147.3,93.5,11.8,106.8,44.3,-49.4,-27.3,49.7,31.1,-9.1,6.7,-59.2,-74.3,-3.7,79.4,125.5,234.3,262.7,203.7,184.6,-19.7,-245,-358.4,-337.9,-338.2,-168.1,-309.3,-415.8,-630.1,-392.8
"137","124","  Personal saving","A071RC1",52.5,69.4,80.4,77.5,102.9,114.2,125.9,122.8,125.3,142.4,157.5,196.3,236.7,263.9,226.9,296.3,253.6,246.5,223.4,256.6,265,276.7,313.2,348.1,285.4,270.7,286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.6,318.2,143.2,256.6,248.7,592.3,552.6,592.8
"138","125","    Imputations (176-140-144)","A2121C1",23.9,21.8,31.3,40.8,45.1,36.8,35.8,52.3,74.2,85.7,83.5,63.8,58.6,48.4,86.8,107.6,109.5,132.7,146.2,153,149.1,132.6,120,148.7,165.8,194.1,178.8,206.6,223.3,260.2,281.1,293.7,309.6,334.7,383.9,464.9,532.4,503.1,376.3,232.4,126.3,111.6
"139","126","    Excluding imputations (124-125)","A2122C1",28.5,47.6,49.1,36.6,57.9,77.4,90.2,70.5,51.1,56.7,74,132.5,178.1,215.6,140.2,188.6,144.1,113.8,77.3,103.6,115.9,144.1,193.2,199.3,119.6,76.6,107.4,74.5,57.1,81.2,-73.3,-80.6,-104.7,-52.5,-94.3,-146.6,-389.2,-246.5,-127.5,359.9,426.2,481.2
"140","127","  Net government saving","A922RC1",16.5,-8.4,-22.2,-9.3,3.9,-5.2,-68.2,-46.3,-33,-10.2,-1,-47.8,-49.2,-137.5,-171.4,-147.5,-156.3,-173.9,-137.4,-121.2,-113.8,-170.3,-224.2,-303.9,-281.2,-212.2,-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-233,-685.7,-1296,-1299
"141","128","    Imputations (182-181)","A2010C1",20.8,19.4,16.3,16.3,19,24.7,28.2,29.3,27.9,34.3,41.6,47.2,46.8,46.1,52.8,64.6,79.1,87.6,92.3,87.9,92.5,102.8,100.2,98.4,88.9,85.1,91.4,99.7,104.2,111,128.9,137.5,149.5,166.2,173,179,183.3,200.4,213.2,237.6,234.9,226.7
"142","129","    Excluding imputations (127-128)","A2011C1",-4.2,-27.8,-38.5,-25.6,-15.1,-29.8,-96.4,-75.6,-60.9,-44.5,-42.6,-95.1,-96,-183.5,-224.1,-212.2,-235.3,-261.5,-229.7,-209.1,-206.4,-273.1,-324.4,-402.3,-370.1,-297.3,-288.4,-225,-128.1,-30.5,11.8,89,-125,-473,-588.2,-566.8,-440.4,-353.1,-446.2,-923.3,-1530.9,-1525.7
"143","130","Consumption of fixed capital","A262RC1",99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1767.5,1854.1,1866.2,1874.9
