"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",98.626,98.85,99.259,99.127,99.727,99.46,99.556,99.469,100.069,100.102,99.988,99.729,100.212,100.167,100.313,100.535,100.11,100.223,100.266,100.791,100.619,101.017,100.722,100.739,100.709,100.861,100.972,101.012,100.99,100.734,101.03,101.205,101.703,101.175,101.044,100.889,101.186,101.148,100.965,101.503,101.466,100.491,100.513,100.96,100.923,100.913,101.888,101.89,102.208,102.402,102.28,102.188,101.75,101.913,102.211,102.391,101.914,102.344,102.129,102.251,102.095,102.323,102.291,100.246,100.612,101.348,100.775,101.842,101.761,101.419,101.696,101.535,101.229,101.396,102.214,102.672,102.499,102.176,102.001,102.368,102.69,102.351,101.633,101.746,102.274,101.862,101.196,101.749,102.481,100.837,99.831,99.999,99.674,100.099,100.693,100.318,99.987,100.245,100.112,99.663,99.958,100.375,100.142,99.93,99.797,99.463,100.174,100.155,99.967,99.827,99.756,100.234,100.049,100.463,100.735,100.443,99.949,100.064,100.488,100.553,99.889,100.392,99.659,99.55,100.552,100.023,99.565,100.496,100.712,100.372,100.666,100.146,99.932,99.636,99.388,99.437,99.02,98.027,98.188,98.384,98.461,98.304,97.987,97.579,97.788,97.427,98.224,98.331,98.034,98.039,97.672,97.211,97.255,97.702,97.53,97.03,97.132,96.618,96.784,96.631,96.902,96.977,96.568,96.4,96.136,96.047,96.036,95.198,95.054
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",96.144,96.72,96.725,96.616,97.172,97.137,97.082,96.684,96.833,96.453,97.012,97.538,97.483,97.366,97.5,98.198,97.972,97.241,97.221,97.639,97.697,97.685,97.718,97.592,97.825,98.153,98.594,98.251,98.608,98.454,98.628,98.594,98.771,98.928,99.279,99.186,99.852,99.725,100.085,100.167,100.446,100.49,101.006,101.063,101.584,101.393,101.921,101.98,102.078,101.415,101.498,101.362,101.558,100.776,100.773,100.205,100.797,100.516,100.39,100.454,100.24,100.862,101.102,101.395,101.147,100.898,101.087,100.503,100.233,100.363,100.675,100.921,101.325,101.297,101.138,101.979,101.708,101.093,101.21,100.877,100.725,100.872,100.755,101.35,101.56,100.969,100.771,101.376,101.04,100.988,100.813,100.453,100.842,100.81,100.369,99.979,100.324,100.42,100.544,101.138,100.717,100.245,100.006,99.534,99.623,99.081,99.457,98.911,98.969,99.033,98.739,99.111,98.821,98.407,98.742,98.272,98.187,97.907,98.183,97.54,96.972,96.737,96.396,96.762,96.481,96.631,96.473,96.321,96.519,96.015,95.82,95.06,95.235,95.136,94.562,94.894,93.242,92.816,92.597,91.178,90.984,91.32,91.433,91.166,91.626,91.907,91.674,91.521,91.699,91.29,91.048,90.698,90.902,93.009,92.266,91.377,91.494,91.597,91.671,91.136,91.292,90.739,90.106,89.755,89.576,89.4,89.493,89.125,88.406
"41","33","S3 PN4531ZZMG       Florists","T070333",99.071,99.542,101.314,103.932,101.186,103.538,102.902,101.522,100.735,98.327,97.919,102.556,100.908,100.246,100.106,101.558,100.324,97.365,96.929,97.292,98.622,99.057,99.348,98.934,97.255,99.227,98.515,96.785,98.564,99.618,99.332,100.258,100.799,101.7,101.659,101.523,101.399,102.037,101.682,101.352,102.27,102.05,102.72,102.838,103.94,102.79,102.946,101.771,98.557,99.514,102.31,102.47,101.899,99.081,99.059,98.704,100.59,97.155,97.327,100.997,98.746,98.052,99.755,101.057,99.912,98.307,97.073,95.596,93.946,95.304,94.955,94.963,100.074,100.94,98.342,100.46,98.906,98.303,99.007,98.746,97.102,96.766,97.207,96.462,96.5,98.39,98.521,98.593,98.348,98.523,95.097,95.121,94.492,95.273,94.039,95.947,95.174,96.146,100.021,101.988,102.249,101.86,101.485,100.95,99.977,99.666,100.641,100.23,101.052,104.62,103.953,102.877,103.49,103.418,102.5,102.584,101.442,101.885,102.869,102.325,102.601,103.989,103.786,103.161,103.98,103.725,102.804,101.545,101.468,102.071,102.866,101.393,102.07,103.315,102.845,102.371,102.295,102.142,101.516,101.246,100.697,100.326,101.238,102.525,102.711,104.726,105.543,105.519,105.556,104.189,103.364,103.316,103.295,104.961,104.175,103.392,102.53,103.05,104.004,102.608,103.754,105.149,104.127,103.944,104.043,104.243,103.977,104.292,103.811
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.091,105.875,105.578,104.914,106.069,105.703,105.787,105.356,105.681,105.351,106.221,105.891,105.856,105.55,105.634,106.403,106.232,105.651,105.455,106.139,106.214,106.354,106.167,106.05,106.188,106.66,106.958,106.504,106.536,106.087,106.267,106.153,106.38,106.557,106.583,106.841,107.711,107.681,108.786,109.111,109.529,109.636,110.313,110.712,111.187,110.869,111.214,111.461,111.841,110.492,109.778,109.57,109.753,108.893,108.917,108.169,108.628,108.647,108.247,107.719,107.478,108.505,108.558,108.547,108.311,108.17,108.556,107.713,107.427,107.23,107.691,108.135,107.865,107.354,107.621,108.3,107.676,106.868,106.641,105.984,105.76,105.912,105.331,105.087,104.62,103.703,103.652,103.812,103.345,103.3,102.996,102.671,102.735,102.495,101.925,101.496,101.767,101.641,101.236,101.291,100.871,100.202,99.651,99.132,99.033,98.56,98.534,98.083,97.748,97.332,96.841,96.869,96.367,95.621,95.709,95.081,94.556,94.296,94.169,93.536,92.702,91.848,91.471,91.397,91.124,91.004,90.781,90.273,90.076,89.693,89.247,88.489,88.472,88.17,87.623,87.8,85.811,85.08,84.578,82.781,82.402,82.595,82.495,82.024,82.375,82.397,81.725,81.526,81.484,80.975,80.57,80.259,80.153,81.814,80.816,79.83,79.994,79.7,79.596,79.136,78.898,78.13,77.414,76.719,76.28,75.999,75.969,75.359,74.423
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",107.939,108.587,108.501,107.812,108.983,108.6,108.574,107.949,108.401,108.3,108.854,108.804,108.774,108.737,108.593,109.194,108.738,108.157,108.045,109.114,109.103,108.682,108.589,108.232,108.368,108.123,108.536,108.459,108.739,108.328,108.594,108.162,108.188,107.8,107.809,107.071,107.386,106.407,106.746,106.652,106.513,106.151,106.673,106.792,107.114,107.092,107.192,107.492,108.13,106.939,106.866,106.618,106.821,105.969,105.762,104.705,105.512,105.412,105.065,104.821,104.825,105.665,105.655,105.844,106.006,105.943,105.953,105.12,104.934,104.67,105.08,105.385,105.03,104.612,104.973,105.643,105.29,104.496,104.515,104.667,104.079,104.182,104.168,103.815,103.566,102.648,102.464,103.246,102.922,102.774,102.386,102.168,102.248,102.285,101.884,101.229,101.293,101.171,100.949,100.948,100.497,100.043,99.686,99.236,99.375,98.878,99.103,98.774,98.71,98.508,98.29,98.306,97.785,97.327,97.397,96.956,96.724,96.665,96.639,96.214,95.395,94.879,95.018,94.955,94.693,94.551,94.178,94.321,94.602,94.184,93.978,93.036,92.94,92.744,92.085,92.51,90.746,90.367,90.111,88.682,88.606,88.929,88.869,88.304,88.789,88.963,88.59,88.206,88.346,87.949,87.501,86.798,86.753,89.343,88.691,87.632,87.552,87.553,87.698,86.918,87.093,86.103,85.177,85.069,84.721,84.42,84.732,84.197,83.355
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",86.325,86.74,86.577,86.393,87.113,86.857,86.81,86.724,86.902,86.979,87.587,87.719,88.081,88.237,88.542,89.055,89.059,88.67,88.889,88.959,88.734,88.593,88.762,88.736,89.483,89.437,90.261,90.254,90.571,90.437,90.687,90.589,90.684,90.777,91.493,91.25,91.958,91.764,91.726,91.736,91.867,91.987,92.353,92.137,92.624,92.657,93.466,93.565,94.003,93.618,93.788,93.679,94.018,93.662,93.675,93.29,93.71,93.747,93.802,93.715,93.849,94.356,94.523,94.875,94.709,94.588,94.912,94.709,94.674,94.887,95.186,95.324,95.557,95.8,95.631,96.41,96.628,96.191,96.491,96.293,96.53,96.758,96.89,98.549,99.441,98.748,98.369,99.388,99.134,99.051,99.6,99.108,100.012,99.985,99.773,99.093,99.74,99.91,99.932,100.888,100.345,100.028,100.132,99.709,100.163,99.505,100.179,99.469,99.785,99.721,99.659,100.692,100.493,100.338,101.186,100.762,101.324,100.858,101.446,100.724,100.333,100.488,100.047,101.11,100.63,101.171,101.251,101.552,102.162,101.35,101.25,100.639,100.98,100.886,100.287,100.88,99.365,99.208,99.35,98.161,98.183,98.764,99.011,98.785,99.389,99.722,99.832,99.751,100.166,99.977,100.024,99.676,100.27,102.755,102.243,101.469,101.705,102.15,102.264,101.83,102.228,101.726,101.286,101.204,101.286,101.19,101.405,101.22,100.725
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",108.873,108.868,108.637,108.928,109.444,109.956,110.423,110.266,110.195,110.238,110.28,110.09,110.277,110.304,110.427,110.585,110.329,109.908,109.874,109.933,109.952,110.264,110.402,109.936,109.725,110.658,110.664,110.492,110.327,110.416,110.68,110.79,110.741,110.316,110.21,110.203,110.184,109.794,109.75,109.957,110.186,109.959,110.234,110.181,110.088,109.786,109.623,109.925,111.11,110.66,110.89,111.306,110.954,110.057,109.849,109.549,109.968,110.988,111.124,111.356,110.796,110.538,109.804,109.082,108.393,108.065,107.566,106.866,106.774,106.333,106.086,105.858,105.125,104.433,104.185,104.088,103.824,103.276,103.02,102.441,101.6,101.305,100.6,100.013,99.476,98.942,98.605,99.244,99.183,99.072,99.117,99.072,99.265,99.28,99.011,99.372,99.648,101.77,100.887,100.029,99.886,99.77,99.683,99.296,100.231,99.829,99.559,99.412,99.379,98.393,97.149,96.662,96.048,95.771,95.182,94.138,93.831,92.875,92.096,91.026,90.176,89.357,89.093,89.425,89.275,88.911,88.629,88.529,87.902,87.619,87.082,86.801,87.096,88.001,88.796,87.238,85.303,84.614,84.284,83.616,83.142,83.108,82.974,82.818,83.529,83.569,83.443,83.566,83.733,83.565,83.223,83.221,83.167,83.889,83.518,82.611,82.245,81.862,82.276,82.552,82.041,81.606,81.695,81.49,82.788,82.497,81.431,80.757,80.343
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",131.764,131.691,131.003,131.914,133.025,133.306,134.037,133.335,133.019,132.899,133.062,132.761,133.023,133.167,132.698,132.796,132.51,131.765,132.024,132.574,132.826,132.833,133.29,132.932,132.769,132.77,133.262,133.339,133.245,133.128,133.027,132.786,132.776,132.332,132.026,131.937,131.983,131.063,131.118,131.296,131.401,130.564,131,130.823,130.682,130.21,130.171,130.172,130.022,129.054,128.47,127.707,127.257,126.581,126.232,125.341,125.354,125.153,124.556,123.551,122.727,122.845,122.533,122.052,121.165,120.745,120.103,118.742,118.539,117.66,117.209,116.959,116.223,115.408,115.183,115.084,114.413,113.519,112.919,112.034,110.993,110.499,109.515,108.907,108.024,107.372,106.744,106.829,106.478,106.004,105.572,104.906,104.435,104.039,103.402,103.281,102.858,102.203,101.848,101.3,101.084,100.284,99.739,99.232,99.04,98.395,97.862,97.25,96.235,95.606,94.662,94.085,92.912,92.404,92.147,90.799,89.849,89.392,89.058,88.475,87.4,86.445,85.708,85.464,85.31,84.702,84.17,83.95,82.771,82.08,81.211,80.641,80.274,79.583,79.268,78.907,77.402,76.539,75.936,74.869,74.177,74.345,74.052,73.676,73.648,73.285,72.992,73.181,72.87,72.345,71.841,71.406,71.138,70.785,69.798,68.994,69.031,68.233,67.986,67.665,67.236,66.492,65.916,65.133,64.894,64.491,64.012,63.369,62.884
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",82.948,83.205,83.267,83.099,83.07,83.337,83.325,83.831,84.08,84.003,83.928,84.097,84.166,84.346,84.478,84.583,85.197,85.009,84.996,85.028,84.865,85.079,85.335,85.482,85.637,85.524,85.485,85.657,85.874,86.161,86.534,86.678,86.782,86.715,86.705,87.065,87.075,87.423,87.401,88.019,88.014,88.06,88.042,88.142,88.575,88.749,88.792,88.974,88.941,89.37,89.677,89.983,90.18,90.715,90.939,91.305,91.612,91.968,92.215,92.232,92.231,92.515,92.488,92.494,92.591,92.655,92.773,92.885,93.079,93.26,93.57,93.54,93.871,93.972,94.075,94.306,94.644,94.674,94.848,95.117,95.215,95.707,95.779,96.404,97.027,97.047,96.844,97.16,97.333,97.278,97.535,97.567,98.105,98.237,98.348,98.418,98.582,98.946,99.174,99.429,99.835,99.846,100.392,100.493,100.779,100.668,100.864,101.163,101.505,101.933,102.126,102.476,102.698,103.003,103.611,103.681,103.904,104.124,104.361,104.096,104.328,104.728,104.738,105.399,104.75,105.008,105.161,105.275,105.603,105.274,105.577,105.761,105.636,106.174,106.248,106.33,106.333,106.843,106.868,107.259,107.345,107.724,108.047,108.697,108.53,108.832,109.115,109.244,109.96,110.117,110.384,110.441,110.276,110.924,111.12,111.141,111.204,111.12,111.344,112.212,112.297,112.085,112.412,112.471,112.801,112.999,113.239,113.373,113.791
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",84.631,84.609,84.594,84.595,84.805,85.419,85.744,85.833,85.867,86.031,86.017,85.854,85.993,85.915,86.403,86.583,86.229,86.021,85.809,85.557,85.461,85.946,85.831,85.244,84.972,86.582,86.266,85.889,85.635,85.827,86.292,86.624,86.532,86.115,86.145,86.147,86.087,86.009,85.898,86.038,86.37,86.582,86.748,86.776,86.655,86.449,86.167,86.681,88.954,88.848,89.7,91.077,90.774,89.557,89.399,89.569,90.359,92.495,93.304,94.708,94.435,93.778,92.587,91.539,90.995,90.742,90.357,90.279,90.282,90.271,90.182,89.953,89.071,88.424,88.089,87.93,88.106,87.926,88.056,87.762,87.057,86.9,86.465,85.711,85.489,85.041,85.122,86.612,86.929,87.351,88.087,89.006,90.218,90.896,91.189,92.432,93.952,101.49,99.403,97.775,97.704,98.902,99.597,99.374,102.636,102.672,102.878,103.616,105.48,103.601,101.547,101.066,101.491,101.614,100.051,99.504,100.515,98.318,96.326,93.961,93.393,92.68,93.511,95.164,95.126,95.252,95.517,95.696,96.301,97.054,97.251,97.664,99.701,104.728,108.545,103.718,100.451,100.109,100.445,100.75,100.798,100.121,100.333,100.642,103.441,104.544,104.83,104.722,106.243,107.118,107.17,108.417,109,112.833,114.316,113.098,111.408,112.314,114.779,116.884,116.098,116.721,118.946,120.73,127.257,127.495,124.344,123.603,123.445
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",82.704,82.831,82.928,83.076,83.199,83.284,83.352,83.474,83.676,83.718,83.827,83.946,84.127,84.276,84.387,84.564,84.724,84.873,84.989,85.064,85.157,85.261,85.332,85.443,85.59,85.623,85.758,85.93,86.039,86.144,86.203,86.314,86.504,86.645,86.863,87.001,87.133,87.309,87.561,87.748,87.907,88.043,88.21,88.366,88.531,88.722,88.815,88.942,89.095,89.282,89.449,89.708,89.948,90.11,90.317,90.529,90.745,91.148,91.405,91.583,91.803,91.961,92.193,92.307,92.341,92.539,92.784,92.95,93.235,93.443,93.669,93.899,94.095,94.293,94.416,94.531,94.768,94.811,95.081,95.265,95.6,95.785,95.902,96.167,96.463,96.585,96.758,96.985,97.157,97.269,97.538,97.741,97.957,98.095,98.295,98.531,98.781,98.979,99.197,99.37,99.588,99.804,100.101,100.356,100.634,100.788,101.098,101.304,101.714,101.821,102.132,102.416,102.752,103.017,103.341,103.727,103.879,104.217,104.488,104.71,104.892,105.179,105.237,105.369,105.561,105.898,106.05,106.254,106.454,106.664,106.86,107.031,106.903,107.324,107.486,107.562,107.806,108.014,108.211,108.341,108.528,108.829,109.141,109.478,109.784,110.083,110.262,110.604,110.97,111.154,111.625,111.978,112.253,112.494,112.657,112.879,113.375,113.7,113.879,114.174,114.428,114.719,114.94,115.251,115.519,115.876,116.118,116.302,116.733
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",82.374,82.501,82.61,82.773,82.898,82.981,83.051,83.172,83.375,83.418,83.531,83.651,83.829,83.972,84.092,84.272,84.43,84.579,84.698,84.775,84.865,84.967,85.03,85.152,85.311,85.339,85.473,85.652,85.757,85.863,85.911,86.02,86.21,86.353,86.574,86.71,86.834,87.012,87.271,87.465,87.63,87.768,87.937,88.096,88.259,88.447,88.541,88.665,88.818,89.008,89.179,89.447,89.689,89.851,90.042,90.26,90.478,90.883,91.135,91.312,91.543,91.703,91.935,92.049,92.096,92.29,92.542,92.71,92.993,93.2,93.424,93.665,93.858,94.052,94.189,94.372,94.654,94.803,94.949,95.212,95.509,95.755,95.913,96.221,96.468,96.826,96.923,97.031,97.249,97.369,97.634,97.768,97.987,98.111,98.317,98.441,98.657,98.932,99.059,99.304,99.608,99.834,100.184,100.411,100.763,100.888,101.155,101.236,101.757,101.958,102.205,102.502,102.83,103.137,103.445,103.817,103.977,104.278,104.495,104.683,104.706,105.03,105.133,105.37,105.565,105.886,105.929,106.162,106.418,106.626,106.818,107.034,107.088,107.322,107.404,107.589,107.774,108.069,108.176,108.332,108.575,108.785,109.077,109.432,109.694,109.892,110.089,110.415,110.721,110.885,111.352,111.611,111.959,112.18,112.476,112.763,113.182,113.522,113.593,113.872,114.125,114.347,114.519,114.763,115.092,115.404,115.675,115.881,116.224
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",83.558,83.681,83.721,83.801,83.921,84.004,84.047,84.165,84.359,84.384,84.475,84.582,84.771,84.936,85.008,85.169,85.324,85.478,85.578,85.649,85.759,85.868,85.962,86.036,86.143,86.185,86.317,86.477,86.594,86.696,86.779,86.892,87.083,87.219,87.429,87.57,87.724,87.89,88.126,88.284,88.422,88.551,88.708,88.851,89.017,89.218,89.301,89.433,89.572,89.743,89.896,90.128,90.364,90.519,90.772,90.968,91.172,91.572,91.849,92.034,92.234,92.388,92.625,92.737,92.728,92.936,93.158,93.319,93.611,93.826,94.055,94.258,94.45,94.652,94.754,94.802,95.016,94.916,95.311,95.398,95.769,95.877,95.951,96.134,96.507,96.323,96.597,96.975,97.071,97.164,97.444,97.724,97.919,98.103,98.289,98.661,98.94,99.038,99.411,99.502,99.601,99.791,99.985,100.262,100.452,100.635,101.005,101.376,101.649,101.627,102.031,102.286,102.616,102.815,103.149,103.554,103.714,104.077,104.4,104.67,105.054,105.314,105.31,105.28,105.465,105.843,106.115,106.258,106.392,106.594,106.751,106.89,106.502,107.175,107.438,107.372,107.691,107.783,108.086,108.196,108.285,108.692,109.026,109.347,109.716,110.135,110.29,110.633,111.062,111.234,111.712,112.188,112.389,112.643,112.631,112.77,113.382,113.679,113.974,114.295,114.567,114.932,115.206,115.606,115.792,116.199,116.401,116.558,117.069
"52","44","S4 PN7223ZZMG   Special food Services","T070443",82.721,82.851,82.916,83.027,83.145,83.233,83.31,83.433,83.632,83.68,83.779,83.89,84.08,84.236,84.334,84.51,84.687,84.832,84.939,85.013,85.127,85.234,85.328,85.411,85.522,85.575,85.717,85.877,85.995,86.108,86.196,86.316,86.503,86.647,86.858,86.995,87.15,87.323,87.565,87.738,87.887,88.022,88.184,88.336,88.502,88.703,88.79,88.921,89.069,89.245,89.407,89.645,89.884,90.038,90.287,90.487,90.696,91.088,91.355,91.536,91.727,91.886,92.119,92.242,92.248,92.461,92.682,92.837,93.124,93.333,93.557,93.767,93.956,94.141,94.284,94.505,94.85,94.976,95.064,95.339,95.6,95.869,96.047,96.315,96.573,96.919,97.02,97.135,97.327,97.425,97.694,97.799,98.007,98.182,98.372,98.484,98.692,98.964,99.143,99.402,99.673,99.866,100.155,100.343,100.702,100.81,101.077,101.171,101.718,101.914,102.18,102.461,102.751,103.045,103.323,103.685,103.807,104.118,104.322,104.499,104.533,104.899,105.002,105.212,105.394,105.74,105.77,105.98,106.254,106.438,106.567,106.824,106.852,107.126,107.235,107.41,107.612,107.886,107.994,108.18,108.383,108.581,108.85,109.222,109.506,109.702,109.913,110.209,110.504,110.626,111.072,111.333,111.693,111.906,112.196,112.467,112.898,113.22,113.294,113.584,113.852,114.049,114.233,114.482,114.807,115.128,115.404,115.606,115.908
"53","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",78.847,78.996,79.424,79.944,80.084,80.19,80.375,80.53,80.771,80.902,81.122,81.316,81.454,81.503,81.848,82.109,82.3,82.412,82.631,82.729,82.687,82.771,82.694,83.046,83.478,83.452,83.601,83.851,83.908,84.037,83.952,84.047,84.232,84.402,84.666,84.8,84.79,85.028,85.375,85.75,86.036,86.217,86.447,86.694,86.848,86.971,87.121,87.218,87.443,87.737,87.993,88.433,88.696,88.906,88.793,89.116,89.42,89.858,89.997,90.133,90.499,90.697,90.893,91.021,91.352,91.478,91.88,92.095,92.339,92.508,92.714,93.108,93.357,93.568,93.696,93.64,93.503,93.691,94.275,94.452,94.914,95.087,95.104,95.683,95.815,96.118,96.22,96.38,96.747,96.988,97.189,97.507,97.885,97.726,98.023,98.287,98.653,98.919,98.734,98.843,99.242,99.633,100.325,100.749,101.002,101.267,101.496,101.518,101.88,102.149,102.242,102.65,103.195,103.625,104.113,104.472,104.529,104.967,105.35,105.546,105.676,105.77,105.914,106.398,106.647,106.753,107.016,107.475,107.639,107.948,108.613,108.536,108.849,108.864,108.902,109.109,109.267,109.637,109.819,109.821,110.343,110.662,111.024,111.28,111.458,111.728,111.92,112.464,112.877,113.403,113.886,114.071,114.275,114.641,115.025,115.363,115.573,116.023,116.242,116.464,116.544,116.912,117.135,117.31,117.693,118.055,118.329,118.54,119.224
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",93.219,93.521,93.755,93.809,93.953,94.127,94.253,94.289,94.377,94.454,94.606,94.809,94.975,95.342,95.495,95.693,95.554,95.196,95.154,95.235,95.125,95.681,95.807,95.788,95.779,95.769,95.912,95.878,95.865,96.101,96.427,96.701,96.746,96.622,96.747,96.736,96.776,96.677,96.701,96.922,96.999,96.889,96.992,97.051,97.075,97.084,96.876,97.076,97.426,97.385,97.745,98.083,98.246,97.914,97.911,97.803,98.131,98.359,98.586,98.761,98.785,98.996,98.882,98.739,98.482,98.31,98.283,98.333,98.479,98.356,98.256,98.175,98,97.677,97.337,97.298,97.39,97.227,97.302,97.261,96.96,96.978,96.783,96.781,96.884,96.65,96.647,97.76,97.763,97.807,98.223,98.401,98.722,98.643,98.505,98.892,99.006,99.459,100.257,99.874,99.753,100.302,100.334,99.811,100.483,100.261,100.291,100.17,100.263,100.253,99.984,100.241,100.753,100.733,100.041,99.654,100.202,99.313,98.534,97.9,98.03,97.992,98.628,99.412,99.031,98.952,98.934,99.082,99.042,98.998,98.926,98.757,99.052,99.806,100.174,99.457,98.493,98.508,98.595,98.913,99.407,99.118,98.889,99.031,99.727,100.21,100.862,101.064,101.875,101.858,101.385,101.362,101.405,102.29,102.043,101.649,101.634,101.965,102.71,103.283,102.924,102.678,102.984,103.564,105.131,104.896,103.507,103.251,103.816
"56","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",94.8,95.131,95.388,95.426,95.573,95.761,95.897,95.919,95.988,96.071,96.229,96.446,96.609,97.012,97.172,97.372,97.184,96.742,96.674,96.755,96.611,97.242,97.377,97.337,97.302,97.285,97.43,97.362,97.329,97.587,97.955,98.255,98.277,98.11,98.22,98.185,98.21,98.068,98.055,98.282,98.346,98.196,98.289,98.333,98.335,98.315,98.061,98.272,98.653,98.577,98.966,99.315,99.466,99.06,99.025,98.869,99.214,99.415,99.638,99.812,99.807,100.026,99.859,99.677,99.376,99.148,99.08,99.113,99.237,99.065,98.917,98.79,98.56,98.159,97.751,97.69,97.76,97.568,97.614,97.541,97.149,97.142,96.904,96.864,96.94,96.657,96.629,97.867,97.846,97.881,98.318,98.493,98.829,98.72,98.535,98.942,99.037,99.526,100.404,99.943,99.776,100.371,100.366,99.735,100.461,100.188,100.179,100.013,100.063,100.036,99.689,99.942,100.477,100.419,99.59,99.099,99.7,98.647,97.729,96.983,97.106,97.025,97.738,98.608,98.151,98.018,97.977,98.118,98.046,97.969,97.863,97.65,97.999,98.796,99.19,98.371,97.251,97.241,97.313,97.656,98.19,97.825,97.526,97.643,98.389,98.895,99.608,99.792,100.66,100.617,100.023,99.952,99.966,100.933,100.632,100.161,100.082,100.414,101.229,101.837,101.401,101.087,101.404,102.017,103.745,103.436,101.845,101.535,102.117
"57","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores\1\","T070483",110.313,110.424,110.549,110.382,110.666,110.537,110.734,110.543,110.451,110.514,110.754,110.64,110.485,110.656,110.525,110.769,110.473,110.175,110.229,110.694,110.51,110.515,110.712,110.575,110.359,110.103,110.342,110.383,110.699,110.827,110.859,110.513,110.489,110.122,110.009,109.663,109.814,109.421,109.466,109.615,109.459,109.064,109.255,109.41,109.385,109.284,109.02,109.134,109.205,108.801,108.849,108.554,108.412,107.982,107.829,107.24,107.627,107.57,107.495,107.278,107.209,107.323,107.19,107.215,107.236,107.05,106.821,106.161,106.141,105.879,105.799,105.758,105.579,105.132,104.97,105.015,104.834,104.443,104.369,104.475,103.775,103.629,103.367,103.013,102.817,102.327,101.981,102.495,102.255,102.077,101.849,101.503,101.509,101.401,101.045,100.885,100.662,100.451,100.53,100.425,100.298,99.939,99.839,99.61,99.864,99.598,99.486,99.298,99.17,99.015,98.718,98.467,97.891,97.818,97.754,97.203,96.946,96.868,96.675,96.255,95.982,95.739,95.718,95.72,95.389,95.019,94.688,94.767,94.469,94.072,93.833,93.457,93.159,92.959,92.607,92.496,91.816,91.731,91.655,91.247,91.064,91.092,90.966,90.737,90.835,90.866,90.966,90.88,90.962,90.824,90.364,90.066,89.945,90.402,90.167,89.651,89.716,89.565,89.788,89.578,89.619,89.029,88.641,88.679,88.67,88.483,88.406,88.176,88.085
