"","Table 2#5#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"71","64","      Air transportation","DAITRG3",27.108,29.185,31.356,32.111,33.436,36.198,39.421,42.752,45.308,47.096,50.537,68.369,80.67,78.818,80.021,83.446,81.924,73.094,77.017,83.041,88.212,91.044,89.19,90.343,96.098,91.237,92.548,88.233,93.573,94.938,95.057,99.556,91.694,82.471,84.412,84.459,90.229,96.386,97.389,107.383,100,107.236,115.713,121.195
"72","65","      Water transportation","DWATRG3",43.262,46.766,49.253,51.452,53.711,58.149,63.57,68.475,73.504,79.066,83.075,88.894,93.6,97.495,100.884,103.979,107.77,113.267,116.14,117.833,122.36,127.852,133.062,137.273,141.102,144.221,148.633,152.492,156.567,164.411,159.228,142.399,128.86,123.746,113.507,111.686,113.034,112.655,112.048,110.194,100,101.134,100.208,97.444
"73","66","  Communication","DCMCRG3",51.902,52.48,55.841,59.025,60.449,63.792,65.841,69.712,70.546,71.897,72.154,73.336,80.99,89.454,94.559,100.71,104.428,107.715,105.67,105.835,106.235,106.202,108.509,108.857,109.419,111.456,112.026,112.488,113.263,112.299,109.703,106.173,104.632,104.949,104.281,102.173,100.863,100.264,97.206,98.438,100,99.72,98.407,98.465
"74","67","    Telephone and facsimile equipment","DTCERG3",45.387,47.072,50.281,53.611,55.32,57.309,61.044,65.158,69.109,75.155,79.787,86.407,96.825,109.271,120.224,130.002,140.928,152.485,164.031,175.586,186.895,202.053,212.569,224.255,232.129,240.515,249.807,263.957,276.759,268.709,238.134,215.097,193.055,175.967,156.531,140.746,129.481,117.654,109.197,104.688,100,96.311,93.031,88.037
"75","68","    Postal and delivery services","DPSSRG3",14.303,14.407,16.841,17.879,18.13,20.957,21.589,27.242,27.675,29.953,31.611,31.711,37.176,41.625,41.73,41.847,45.475,46.212,46.36,50.756,52.464,52.696,59.755,60.688,60.951,61.198,66.8,67.036,67.24,67.689,69.932,70.579,73.756,77.756,81.882,83.497,84.503,89.42,92.254,97.09,100,104.634,110.107,114.377
"76","69","      First-class postal service by U.S. Postal Service (USPS)","DPSTRG3",15.168,15.266,17.903,19.021,19.268,22.34,22.97,29.165,29.575,32.02,33.779,33.819,39.707,44.488,44.54,44.593,48.562,49.26,49.284,54.178,55.947,55.947,64.191,64.986,64.986,64.986,71.698,71.698,71.698,71.698,73.845,73.849,76.707,81.116,85.394,85.394,85.389,89.962,92.206,95.308,100,102.836,106.786,110.544
"77","70","      Other delivery services (by non-USPS facilities)","DODSRG3",12.575,13.04,13.713,14.245,14.849,15.83,17.149,18.311,19.601,20.989,22.455,24.278,26.375,28.244,30.281,31.748,33.118,34.622,35.991,37.611,39.25,40.914,42.553,44.135,45.502,46.769,48.012,49.169,50.195,52.405,54.998,57.936,62.174,64.661,68.188,75.842,80.968,87.416,92.967,106.587,100,114.194,127.572,134.322
"78","71","    Telecommunication services","DTCSRG3",55.476,56.124,58.879,62.193,63.785,66.479,68.626,71.067,71.875,72.684,72.435,73.658,80.678,88.885,94.489,101.372,104.351,107.708,105.112,103.863,103.694,103.374,104.209,104.275,104.781,106.963,106.539,106.727,107.236,105.918,103.417,100.027,98.106,98.394,97.652,95.982,95.101,95.6,97.191,98.675,100,99.269,97.515,97.705
"79","72","    Internet access","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.728,200.358,189.543,180.58,166.958,153.989,140.309,123.092,117.154,120.561,125.267,134.039,129.929,125.841,128.187,129.31,130.41,127.22,125.069,119.115,95.7,96.615,100,100.651,99.709,99.938
"80","73","  Recreation","DRRLRG3",54.062,55.665,58.031,59.201,60.632,64.758,69.626,72.414,75.161,78.506,82.931,89.16,94.868,99.133,101.222,102.858,104.442,105.166,106.913,109.121,112.118,115.001,118.03,119.186,119.658,120.382,120.408,119.655,117.756,115.221,112.517,111.352,109.913,108.242,106.546,105.648,104.372,103.352,101.776,101.543,100,97.462,95.725,94.81
"81","74","    Video and audio equipment, computers, and related services","DVPIRG3",328.008,327.42,330.85,332.754,333.573,340.205,351.04,356.304,359.806,367.09,378.407,388.975,399.741,402.142,390.478,381.584,371.09,355.713,350.188,344.605,342.572,338.88,335.63,324.864,315.013,303.263,286.501,263.008,239.467,216.906,196.786,184.02,170.009,159.028,148.615,141.243,132.733,123.967,114.805,107.896,100,92.861,87.293,82.667
"82","75","      Video and audio equipment","DVAARG3",419.328,419.659,421.91,423.056,421.402,428.169,440.215,444.405,444.405,448.944,459.01,466.833,474.936,473.232,459.833,440.35,414.804,394.354,381.531,366.788,357.427,348.189,340.101,332.996,325.819,316.48,305.735,293.059,281.045,267.787,250.546,235.1,221.477,207.052,192.792,179.226,165.144,148.797,129.521,116.002,100,86.384,77.505,68.679
"83","76","      Information processing equipment","DIPERG3",9456.924,9808.587,10474.385,11163.882,11520.23,11932.487,12706.019,13566.211,14392.802,15479.93,16269.789,15633.86,15617.277,14187.744,10816.153,9743.513,9177.189,7215.41,6613.34,6123.953,5738.822,4906.537,4162.883,3215.969,2516.645,2212.327,1775.57,1246.216,856.431,597.737,439.425,359.646,276.949,222.281,183.82,164.238,144.745,128.199,117.934,108.448,100,92.946,85.025,78.781
"84","77","      Services related to video and audio goods and computers","DSVCRG3",23.462,23.065,23.528,23.692,24.193,24.95,25.952,26.655,27.475,28.77,30.421,32.645,34.694,36.531,37.826,39.601,41.596,42.993,44.999,47.472,50.052,53.477,57.493,60.157,63.301,63.114,63.937,66.758,70.426,73.421,75.428,77.85,80.109,83.744,86.31,88.942,91.032,94.26,95.786,98.124,100,100.951,102.937,107.353
"85","78","    Sports and recreational goods and related services","DODRRG3",54.244,54.817,58.111,59.098,60.572,64.826,70.186,72.872,75.585,79.114,83.756,90.924,97.211,101.22,102.355,103.57,104.463,104.408,106.154,109.941,112.942,115.992,118.705,120.625,120.313,121.836,122.421,122.031,120.474,118.248,114.564,112.653,111.462,108.533,105.92,104.759,103.02,102.312,100.609,100.74,100,97.099,94.849,93.296
"86","79","      Sports and recreational vehicles","DWHLRG3",31.324,30.227,33.967,35.188,36.77,40.926,45.136,47.382,50.352,53.446,57.072,62.456,66.385,69.022,69.896,72.313,74.369,74.345,74.713,77.096,79.419,81.367,83.017,84.763,85.658,87.659,90.112,90.871,90.244,90.424,92.516,94.248,95.589,95.132,94.356,94.738,96.292,98.736,98.101,99.095,100,100.434,102.774,104.369
"87","80","      Other sporting and recreational goods","DORIRG3",68.55,70.672,72.844,73.329,74.273,77.676,83.225,85.869,87.789,91.13,96.006,103.803,111.257,115.916,117.147,117.415,117.391,117.341,119.927,124.374,127.646,131.158,134.306,136.316,135.491,136.793,136.534,135.626,133.635,130.271,123.954,120.468,118.214,114.263,110.843,108.993,105.778,103.714,101.554,101.317,100,96.144,92.703,90.364
"88","81","      Maintenance and repair of recreational vehicles and sports equipment","DRRERG3",33.691,31.4,37.326,39.131,41.492,47.418,53.163,56.045,60.181,63.598,67.677,73.824,78.763,81.961,82.954,85.471,87.25,86.701,87.072,90.243,92.704,95.876,98.871,100.285,100.251,101.992,103.081,102.993,102.256,101.656,100.369,99.269,98.861,97.142,96.18,95.95,96.325,97.726,97.137,98.749,100,99.106,98.835,99.067
"89","82","    Membership clubs, sports centers, parks, theaters, and museums","DRLSRG3",18.011,19.263,20.248,20.905,21.722,23.345,25.189,26.695,28.227,30.131,32.071,34.244,36.185,38.216,40.138,41.993,43.931,46.042,47.998,49.767,52.468,55.235,58.027,59.582,61.198,63.27,64.751,67.04,69.162,70.882,74.155,77.629,80.596,82.8,85.863,87.907,90.212,93.473,96.407,98.913,100,100.358,100.357,102.772
"90","83","      Membership clubs and participant sports centers","DMDFRG3",18.088,18.824,19.707,20.223,21.017,22.216,23.575,24.882,26.227,28.344,30.392,33.161,36.234,39.353,41.841,44.08,46.518,49.136,52.03,54.869,57.962,61.044,64.544,67.22,70.405,73.955,73.855,76.2,79.369,81.497,84.16,86.658,88.851,89.871,92.409,92.845,93.457,96.972,98.444,100.13,100,98.251,97.128,99.867
"91","84","      Amusements parks, campgrounds, and related recreational services","DORSRG3",19.161,20.759,21.869,22.741,23.652,25.847,28.162,30.406,32.648,34.811,36.61,39.168,41.17,42.921,44.35,45.695,47.405,49.819,51.102,51.858,53.886,56.35,58.689,60.399,61.995,63.391,65.34,67.051,68.887,70.729,73.84,77.18,80.229,82.697,86.068,88.171,90.235,93.392,96.356,98.759,100,100.329,100.429,102.589
"92","85","      Admissions to specified spectator amusements","DADMRG3",16.733,17.945,18.857,19.41,20.144,21.472,23.13,24.082,25.089,26.613,28.562,30.033,31.279,32.989,35.064,37.178,39.019,40.493,42.382,44.325,47.444,50.322,53.105,53.687,54.25,56.098,58.075,60.953,62.65,63.978,67.8,72.002,75.461,78.217,81.248,84.27,87.91,91.083,94.971,98.186,100,101.743,102.364,104.773
"93","86","        Motion picture theaters","DMOVRG3",16.668,18.3,19.373,19.893,20.68,22.131,23.948,24.93,25.973,27.494,29.512,31.023,32.317,34.078,36.224,38.418,40.321,41.849,43.845,45.811,49.02,52.043,54.818,55.467,56.058,57.997,60.042,62.986,64.736,66.119,70.228,74.691,77.441,79.878,84.053,86.715,89.526,92.67,96.298,98.476,100,101.525,102.572,104.53
"94","87","        Live entertainment, excluding sports","DLIGRG3",16.678,18.285,19.361,19.901,20.708,22.066,23.958,24.96,25.967,27.514,29.52,31.053,32.335,34.092,36.25,38.424,40.334,41.851,43.771,45.802,49.055,51.975,54.93,55.497,56.071,57.978,59.995,62.979,64.755,66.121,70.174,74.67,77.422,79.947,84.027,86.722,89.514,92.712,96.292,98.489,100,101.55,102.522,104.503
"95","88","        Spectator sports","DSPERG3",16.885,17.354,17.992,18.593,19.229,20.381,21.708,22.6,23.563,25.088,26.924,28.314,29.486,31.11,33.057,35.048,36.777,38.167,39.937,41.787,44.718,47.427,50.079,50.616,51.147,52.872,54.757,57.483,59.066,60.317,63.734,67.488,71.988,75.133,76.5,80.039,85.05,88.206,92.598,97.626,100,102.14,102.019,105.337
"96","89","      Museums and libraries","DMUSRG3",16.706,18.304,19.371,19.909,20.723,22.074,23.962,24.965,25.978,27.507,29.522,31.059,32.344,34.099,36.248,38.409,40.338,41.845,43.836,45.814,49.011,52,54.901,55.5,56.08,57.989,60.003,62.987,64.767,66.142,70.172,74.682,77.462,79.947,84.021,86.733,89.526,92.634,96.306,98.505,100,101.551,102.551,104.569
"97","90","    Magazines, newspapers, books, and stationery","DNBSRG3",19.834,21.046,22.355,22.92,23.686,26.807,30.37,32.23,34.283,35.998,38.337,42.044,45.974,49.722,52.689,54.233,56.539,58.323,59.865,61.805,64.173,66.723,70.479,73.698,75.865,78.074,81.579,85.046,86.652,88.728,88.966,89.213,90.292,91.882,91.925,92.321,93.296,94.038,95.152,97.014,100,100.259,100.001,101.917
"98","91","    Gambling","DGAMRG3",18.848,19.954,20.802,21.483,22.836,25.336,27.653,29.269,31.159,33.289,36.408,40.365,44.118,46.7,48.62,50.607,52.316,53.278,55.046,57.081,59.51,62.506,64.797,66.495,68.217,69.683,71.384,73.313,74.875,75.987,77.672,80.265,82.522,83.848,85.773,88.056,91.011,93.958,96.646,100.325,100,101.649,104.846,107.017
"99","92","    Pets, pet products, and related services","DPETRG3",20.998,22.16,23.313,23.911,24.632,26.081,27.751,28.918,30.132,31.202,33.482,36.977,40.472,42.714,44.305,45.903,47.445,48.754,50.011,51.682,54.479,56.474,58.716,58.789,59.472,60.688,61.54,64.223,65.856,66.733,67.956,69.65,71.896,74.152,75.689,78.514,80.536,83.662,87.092,94.037,100,100.598,103.457,105.817
"100","93","    Photographic goods and services","DPHORG3",57.062,56.741,56.853,58.271,58.807,60.885,63.6,64.883,65.304,67.606,70.582,76.764,80.157,82.964,84.784,86.596,88.74,92.585,96.489,99.113,103.11,106.753,110.07,112.674,114.901,115.838,118.376,120.456,122.738,122.524,121.558,121.59,121.12,120.969,119.448,115.582,112.064,107.976,102.394,99.939,100,98.623,98.456,98.772
"101","94","    Package tours \14\","DXHLRG3",19.164,20.759,21.873,22.742,23.659,25.842,28.166,30.42,32.654,34.813,36.621,39.139,41.171,42.937,44.349,45.698,47.423,49.827,51.103,51.866,53.902,56.367,58.677,60.401,62.002,63.383,65.348,67.07,68.882,70.735,73.846,77.155,80.212,82.679,86.08,88.176,90.227,93.436,96.353,98.748,100,100.334,100.429,102.564
"102","95","  Education","DEDURG3",6.338,6.762,7.129,7.504,8.054,9.063,9.846,10.561,11.248,11.859,12.878,14.287,15.967,17.787,19.329,20.99,22.59,24.172,25.886,27.805,29.768,31.859,34.431,37.272,39.929,42.268,44.58,46.954,49.221,51.468,54.004,56.721,59.77,63.654,68.507,74.2,79.528,84.575,89.469,94.706,100,104.699,109.704,114.722
"103","96","    Educational books","DEBKRG3",8.176,8.486,9.053,9.65,9.965,10.312,10.987,11.729,12.472,13.461,14.32,15.52,17.414,19.67,21.67,23.427,25.404,27.484,29.54,31.609,33.649,36.39,38.278,40.384,41.795,43.305,44.965,47.519,49.832,52.174,54.297,58.077,61.406,65.868,69.598,72.829,75.852,80.639,87.214,93.351,100,104.916,109.858,116.727
"104","97","    Higher education","DHEDRG3",5.559,5.949,6.321,6.671,7.037,7.644,8.211,8.777,9.355,9.87,10.659,11.674,13.121,14.888,16.437,18.12,19.77,21.366,22.978,24.725,26.682,28.837,31.764,35.18,38.481,41.176,43.65,46.13,48.475,50.524,52.522,54.696,57.479,61.401,66.549,72.849,78.308,83.553,88.782,94.319,100,105.194,110.476,115.83
"105","98","    Nursery, elementary, and secondary schools","DNEHRG3",5.413,5.881,6.171,6.486,7.379,8.892,9.903,10.77,11.412,11.789,12.84,14.394,16.032,17.81,19.292,20.942,22.546,24.225,26.186,28.404,30.598,32.962,35.513,38.083,40.618,42.973,45.633,47.88,50.34,53.564,56.786,60.503,64.203,68.36,72.519,76.836,81.429,86.084,90.545,95.448,100,103.803,107.414,110.87
"106","99","    Commercial and vocational schools \15\","DVEDRG3",12.085,12.562,12.91,13.398,14.084,16.577,18.047,19.154,20.518,22.073,24.443,27.993,30.839,32.147,32.895,33.895,34.552,35.244,36.617,38.674,40.223,41.218,42.571,43.624,44.324,45.604,47.137,49.221,50.973,52.82,56.701,59.899,63.149,66.423,71.312,76.985,83.366,88.097,91.625,95.821,100,103.567,108.722,113.387
"107","100","  Food services and accommodations","DFSARG3",15.899,17.074,17.985,18.65,19.925,22.23,24.232,25.836,27.707,30.129,33.382,36.615,39.885,42.166,43.987,45.971,47.948,49.913,51.929,54.162,56.615,59.206,61.57,62.877,64.111,65.236,66.775,68.575,70.609,72.502,74.376,76.458,78.64,80.542,82.247,84.974,87.695,90.649,94.158,97.821,100,101.33,103.887,106.842
"108","101","    Food services","DFSERG3",16.196,17.391,18.332,19.03,20.374,22.813,24.9,26.526,28.427,30.824,34.078,37.271,40.527,42.654,44.465,46.335,48.189,50.158,52.05,54.19,56.636,59.236,61.522,62.769,63.911,64.946,66.372,68.005,69.891,71.616,73.395,75.25,77.568,79.692,81.451,83.912,86.522,89.297,92.585,96.639,100,101.34,103.847,106.901
"109","102","      Purchased meals and beverages \16\","DPMBRG3",16.194,17.389,18.333,19.028,20.365,22.796,24.879,26.5,28.396,30.787,34.03,37.212,40.462,42.587,44.396,46.266,48.122,50.095,51.983,54.125,56.568,59.165,61.46,62.709,63.853,64.888,66.314,67.947,69.834,71.567,73.35,75.23,77.588,79.716,81.441,83.908,86.527,89.296,92.593,96.658,100,101.3,103.779,106.828
"110","103","      Food furnished to employees (including military)","DFOORG3",16.577,17.809,18.724,19.475,21.01,23.695,25.9,27.652,29.711,32.273,35.825,39.324,42.779,44.997,46.881,48.789,50.636,52.532,54.534,56.667,59.203,61.896,63.891,65.068,66.153,67.168,68.603,70.219,72.117,73.55,75.148,76.051,76.829,78.795,81.847,84.108,86.347,89.327,92.315,96.009,100,102.657,106.142,109.364
"111","104","    Accommodations \17\","DACCRG3",13.189,14.183,14.798,15.152,15.79,16.88,18.121,19.509,21.086,23.696,26.891,30.446,33.797,37.397,39.29,42.233,45.19,47.086,50.078,53.015,55.485,57.964,60.931,62.702,64.654,66.494,68.905,71.984,75.075,78.164,80.712,84.418,85.547,85.696,86.96,91.624,95.106,99.268,104.242,105.341,100,101.266,104.137,106.475
"112","105","  Financial services and insurance","DIFSRG3",22.995,24.176,25.625,27.195,27.838,30.068,32.293,33.597,36.178,40.952,43.183,46.524,50.04,52.928,58.03,61.699,66.88,67.884,64.651,67.743,69.707,70.707,70.303,72.645,76.497,77.946,79.641,82.364,85.64,85.681,85.043,85.9,85.579,87.674,91.508,95.008,97.947,100.576,103.496,104.619,100,103.993,105.966,110.057
"113","106","    Financial services","DFNLRG3",39.027,40.772,41.831,43.87,44.876,51.25,56.461,56.517,58.28,67.81,73.14,80.491,85.604,86.994,94.263,96.595,107.18,109.65,102.149,103.744,100.779,96.704,92.975,93.666,96.863,96.488,95.95,96.322,99.154,97.061,93.797,93.376,91.77,93.221,96.131,99.358,102.181,104.993,108.481,109.213,100,104.421,105.776,111.012
"114","107","      Financial services furnished without payment","DIMPRG3",42.317,45.115,44.398,46.152,48.496,57.577,62.736,61.656,63.706,74.391,80.574,86.662,89.825,87.989,97.294,100.523,114.135,115.077,105.816,107.288,101.03,93.906,87.358,87.086,91.118,93.386,90.925,91.041,93.941,93.067,91.017,94.952,94.54,96.864,100.48,103.56,107.049,111.126,114.039,113.937,100,105.699,105.515,112.375
"115","108","      Financial service charges, fees, and commissions","DOFIRG3",31.088,31.12,35.223,37.688,35.973,36.177,41.578,44.567,45.63,52.375,55.619,65.862,75.02,83.064,85.772,86.086,89.943,95.441,91.637,93.418,96.983,98.852,100.543,103.019,104.612,99.54,102.462,103.277,105.948,102.077,97.283,92.042,89.199,89.773,91.997,95.371,97.544,99.177,103.156,104.627,100,103.071,106.132,109.588
"116","109","    Insurance","DINSRG3",10.676,11.294,12.362,13.275,13.598,13.883,14.477,15.789,17.872,19.611,20.144,21.167,23.065,25.522,28.45,31.872,33.39,33.448,33.119,36.6,41.007,44.707,46.258,49.26,53.044,55.653,58.992,63.656,67.195,69.567,72.165,74.753,76.194,79.133,84.184,88.018,91.086,93.433,95.509,97.212,100,103.286,106.246,108.575
"117","110","      Life insurance \18\","DLIFRG3",11.686,12.388,12.933,13.609,14.354,15.403,16.515,17.813,19.45,21.092,22.641,24.513,26.096,27.675,29.77,31.641,34.593,37.589,40.308,42.728,44.616,47.21,49.063,51.859,53.776,55.367,57.434,61.044,64.332,67.906,71.252,76.448,76.724,82.54,85.717,89.666,93.029,95.548,98.474,98.481,100,102.078,103.367,104.778
"118","111","      Net household insurance \19\","DFINRG3",9.075,9.587,10.612,11.037,11.015,9.939,10.1,11.935,13.371,13.666,14.593,16.352,17.965,19.978,21.844,22.815,24.192,26.661,28.157,29.982,31.582,32.287,33.385,34.554,37.185,40.046,44.803,48.553,53.757,54.536,57.897,62.119,68.136,72.595,80.749,87.013,91.692,94.15,96.008,97.583,100,103.032,105.957,109.217
"119","112","      Net health insurance","DHINRG3",8.83,9.053,10.489,12.023,12.067,11.88,11.925,12.416,15.431,17.838,16.607,16.546,19.223,23.516,27.79,33.329,33.068,28.679,24.574,28.97,36.073,41.707,42.37,44.509,48.942,51.867,56.416,62.27,67.26,68.513,69.849,72.048,74.118,75.121,80.388,84.379,87.798,90.95,93.454,96.474,100,104.314,107.858,110.137
"120","113","        Medical care and hospitalization \20\","DMINRG3",6.274,6.698,7.816,9.942,9.656,8.983,7.272,7.672,11.296,12.893,13.574,13.458,15.313,19.433,23.645,30.283,31.114,24.162,19.465,25.034,33.977,40.665,42.271,45.126,49.783,53.213,56.846,59.679,62.445,63.823,65.608,67.556,69.971,71.862,77.579,81.639,85.29,88.735,91.426,95.242,100,105.394,109.673,112.447
"121","114","        Income loss \21\","DIINRG3",86.91,76.009,92.93,103.46,113.717,113.168,149.509,150.133,168.678,230.429,136.76,112.264,137.268,210.331,228.687,223.392,202.228,266.744,239.973,279.44,261.15,289.964,215.897,212.224,119.34,151.896,115.152,85.053,74.959,75.989,77.662,80.282,82.526,83.839,85.762,88.047,91.017,93.955,96.643,100.325,100,101.642,104.838,107.016
"122","115","        Workers' compensation \22\","DPWCRG3",14.386,16.195,17.517,16.213,15.895,17.69,19.851,21.012,21.24,21.4,22.599,25.217,29.83,30.185,34.276,36.256,32.92,34.017,32.848,32.137,34.392,35.853,36.124,36.16,44.2,43.942,54.489,76.528,94.198,94.802,93.353,97.003,96.869,92.4,94.908,98.432,100.242,101.632,103.109,102.111,100,98.472,97.097,96.602
"123","116","      Net motor vehicle and other transportation insurance \23\","DTINRG3",12.207,13.322,14.756,15.16,15.276,15.264,15.98,18.674,19.927,20.847,22.731,24.114,25.071,25.753,27.925,30.696,32.936,36.099,38.206,41.501,44.865,46.869,49.74,55.29,61.673,65.6,68.455,72.497,73.19,76.234,80.45,79.775,80.918,84.596,91.093,94.043,95.635,95.753,95.665,96.933,100,102.833,107.153,111.138
"124","117","  Other goods and services","DOISRG3",15.693,16.547,17.233,18.002,18.809,20.463,22.173,23.351,24.626,26.121,28.231,31.906,34.705,37.106,40.19,42.083,43.571,45.346,47.752,50.379,53.357,56.543,59.544,61.931,63.518,64.444,65.989,67.228,68.6,70.506,74.028,76.407,78.649,80.58,81.915,83.696,85.98,88.538,91.87,95.363,100,102.992,105.575,107.312
"125","118","    Personal care \24\","DPCRRG3",22.699,23.544,24.293,24.865,25.82,28.483,31.492,33.363,35.353,37.522,40.426,44.07,48.045,51.515,54.081,56.128,58.083,59.977,61.515,63.738,66.415,68.878,71.221,72.989,74.559,75.96,77.135,78.091,79.365,80.618,82.268,84.216,86.283,87.155,87.756,89.04,90.831,92.821,95.162,97.645,100,100.485,101.09,102.643
"126","119","    Personal items \25\","DPEORG3",40.686,41.516,42.309,43.63,45.151,49.02,52.716,55.066,57.212,60.25,65.697,82.149,85.491,83.495,84.849,85.417,84.564,85.348,91.664,98.382,102.882,109.875,113.487,115.251,114.575,115.811,116.574,113.364,108.871,104.13,99.541,96.157,95.907,93.203,90.257,89.59,88.216,89.924,93.465,98.569,100,101.255,106.891,107.459
"127","120","    Social services and religious activities \26\","DSOCRG3",16.596,17.219,18.102,18.954,20.015,22.83,24.877,26.321,28.021,29.897,32.824,37.074,40.571,42.372,43.473,44.916,45.929,47.196,48.91,51.67,54.144,56.469,58.899,60.854,62.593,64.349,66.409,68.351,70.203,72.415,74.612,77.996,80.241,82.727,84.942,86.994,90.166,93.113,96.153,98.608,100,101.828,104.064,105.57
"128","121","    Professional and other services","DPRSRG3",9.178,9.9,10.549,11.286,12.118,13.212,14.175,15.046,16.011,17.113,18.625,21.135,23.813,26.6,29.756,32.179,34.059,36.13,38.636,40.253,42.399,45.135,47.61,49.86,51.842,53.795,55.828,58.057,60.488,63.304,66.261,69.451,72.821,76.137,79.56,83.106,86.374,89.868,93.542,97.341,100,103.204,106.232,108.63
"129","122","      Legal services","DGALRG3",7.775,8.612,9.339,10.252,11.204,12.121,12.959,13.836,14.799,15.826,17.174,19.46,22.067,25.01,28.474,31.111,33.151,35.347,38.155,39.636,41.925,44.934,47.39,49.784,51.76,53.352,55.047,56.977,59.293,62.246,65.452,69.034,72.515,75.9,79.713,83.511,86.903,89.906,93.574,97.345,100,103.602,106.942,109.117
"130","123","      Accounting and other business services \27\","DPRORG3",8.485,8.977,9.354,9.611,10.219,11.332,12.321,13.1,14.013,15,16.304,18.388,20.662,23.034,25.678,27.729,29.419,31.149,32.903,34.96,37,39.631,42.811,45.252,47.827,51.695,54.477,57.264,59.936,63.01,65.896,69.171,72.212,75.722,78.726,81.865,85.169,89.946,93.401,97.752,100,102.739,105.528,110.102
"131","124","      Labor organization dues","DUNSRG3",16.684,17.624,18.573,19.454,20.47,23.508,25.735,27.299,29.12,31.141,34.464,39.432,43.236,44.977,46.331,47.546,48.498,50.112,51.735,54.235,56.322,57.81,59.431,60.912,61.993,63.146,64.826,67.527,69.576,71.88,74.45,76.829,81.73,83.82,85.704,88.614,91.887,94.759,97.562,98.531,100,102.834,105.407,105.532
"132","125","      Professional association dues","DAXSRG3",7.776,8.613,9.346,10.249,11.201,12.131,12.983,13.825,14.808,15.838,17.154,19.454,22.061,25.01,28.472,31.1,33.146,35.329,38.163,39.625,41.924,44.942,47.38,49.787,51.758,53.354,55.048,56.965,59.292,62.248,65.467,69.04,72.518,75.899,79.726,83.503,86.922,89.909,93.583,97.322,100,103.6,106.933,109.132
"133","126","      Funeral and burial services","DFUNRG3",10.324,10.734,11.15,11.528,12.015,12.846,13.639,14.238,14.862,15.838,17.168,19.487,22.058,25.04,28.43,31.057,33.074,35.248,37.659,39.094,40.796,43.3,45.972,48.057,50.272,52.738,55.853,58.615,61.673,64.04,66.261,68.16,70.603,74.051,77.013,80.288,83.008,87.276,91.63,96.238,100,102.306,104.583,106.584
"134","127","    Tobacco","DTOBRG3",6.729,7.292,7.6,8.015,8.238,8.638,9.254,9.647,10.111,10.67,11.288,12.148,13.101,14.541,17.354,18.466,19.525,20.832,22.273,24.256,27.319,30.092,33.556,36.391,37.696,36.18,37.074,38.202,39.895,43.364,53.991,57.804,59.918,63.366,64.425,65.661,69.065,71.412,76.124,80.87,100,110.879,114.659,117.23
"135","128","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","129","    Foreign travel by U.S. residents","DFTRRG3",20.955,21.265,23.264,24.706,27.03,32.718,35.982,36.694,38.912,40.561,45.164,50.831,53.91,51.723,49.944,48.064,46.616,51.3,50.249,53.365,53.881,56.924,60.657,63.61,63.913,65.772,67.506,69.206,70.043,68.378,70.331,70.816,71.601,73.968,78.712,82.793,88.556,92.734,99.082,107.239,100,105.468,109.836,111.804
"137","130","    Less: Expenditures in the United States by nonresidents","DEXFRG3",16.503,17.502,18.172,18.792,19.856,21.577,23.241,24.966,26.678,28.997,31.792,35.68,39.438,42.618,44.77,47.295,49.565,51.212,53.722,55.843,57.727,60.938,64.83,66.491,67.431,68.078,69.139,70.955,72.698,73.647,75.615,79.209,79.909,79.988,82.365,85.943,90.104,94.293,97.988,102.66,100,103.463,108.74,111.955
"138","131","    Net expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRG3",65.295,68.143,71.952,74.925,79.755,91.299,99.685,104.855,112.035,119.387,131.067,143.257,150.362,142.523,131.821,126.093,123.315,119.263,116.968,115.616,108.061,98.986,91.535,83.178,78.736,78.58,78.503,79.864,83.25,88.899,92.092,97.17,101.711,102.151,99.609,98.123,100.153,101.089,102.417,103.124,100,98.946,99.642,98.932
