"","Table 3#22# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"21","13","Current transfer payments","W014RU1",15.4,16.6,15.9,16.7,17.8,21,20,20.8,22.4,24.9,23.3,24.4,26.3,28.5,25.3,31.3,31,31.9,30.6,31.1,33.8,36.9,36.6,38.3,43.1,47.9,45.7,47.4,49.8,48.6,49.9,51,52.7,52.5,53.5,54.9,57.9,57.8,58,59.8,61.7,62,64.9,67,71.9,71.6,77.2,79.5,82.9,80.5,82.7,84.4,87.5,87.9,88.8,95.6,96.8,97.2,93.1,96.4,98.9,98.2,96.7,102.6,104.4,104.1,103.8,107.1,109.6,110.5,112.3,112.3,112.6,113.2,112.3,114,120.7,120.4,118.1,121.7,130.5,129.5,128.2,132.5,141.9,143.4,141.4,142.5,134.6,147.4,152,162.4,178.9,178.3,176.4,184.3,190.6,189.8,186.9,197.8,203.1,197.2,195.1,204.7,213.2,213.6,204.7,207.8,228.8,221.2,214,222.4,235.9,226.7,220.2,232.3,245.2,232.4,227,238.5,254.4,241.7,237.3,248.3,269,254.3,246.5,263.3,291.3,277.1,270.8,286,318.9,306.5,297.1,310.8,336.9,329.8,316.5,340.3,366.3,345.6,330.5,346.1,391.8,365.2,353.1,365.1,416.7,391.7,378.5,385.6,448.7,412.3,398.7,413.8,471.8,469.7,433.9,448.1,541.6,540,522.5,531.5,626.7,555.6,546.6,553.6,634.2,567.4,535.4,537.3,623.3,558.8,547.5,554
"22","14","  Government social benefits","W015RU1",11.5,11.6,11.5,11.7,12.6,14.7,14.1,14.9,16,17.4,16.5,17,18.4,18,17.1,20.2,21.4,21.3,21,22,24.5,25.7,26.4,28.1,31.8,34,33.8,34.7,37.2,35.6,35.9,37,39.2,37.8,38.2,39.4,41.4,40.4,41.2,42.1,45.1,44.9,47.3,48.5,52.8,52.9,58.4,59,62.6,61.4,64.5,65.8,68.8,69.3,71.5,75.8,78.2,78.1,74.9,75.4,78.6,78.2,77.2,79,82.6,82.4,81.9,82.6,86.4,86,87.4,88.2,90,90.5,90.7,89.8,96.1,96.4,94.5,94.9,104.4,104.3,102.4,104.1,112.9,113,112.5,112.8,123.6,124.4,122.8,127.3,140.3,138.5,137.7,139.2,149.2,146.9,144.6,147,158.8,151.5,150.8,152.2,164.8,165.6,159.2,159.8,178.4,170.5,166.6,169,185.9,177,172.2,175,191.7,179.3,175.1,178.3,196.4,183.9,180.1,183.4,207.9,192,184.9,193.1,223.3,205.9,205.7,210.8,241.6,227.6,224.4,229.2,254.4,237.5,232.3,248.9,274.6,251.8,247.1,252,295.3,267.6,263.4,264.6,324.1,293.6,288.1,290.9,346.8,311,306,308.4,368.1,363.8,337.3,338.2,426.2,403.2,397.1,398.4,489.3,417.5,411.5,408.3,496.7,422.5,414.4,411.8,500.8,431.6,428.2,429.9
"23","15","    To persons","B087RU1",11.4,11.5,11.3,11.6,12.5,14.6,13.9,14.7,15.8,17.2,16.3,16.8,18.2,17.8,16.9,20,21.1,21.1,20.7,21.7,24.2,25.3,26,27.7,31.3,33.6,33.3,34.2,36.6,35,35.2,36.4,38.6,37.2,37.5,38.8,40.7,39.8,40.5,41.4,44.4,44.2,46.5,47.7,52,52.1,57.5,58,61.6,60.3,63.4,64.7,67.8,68.3,70.4,74.8,77.3,77.2,74,74.5,77.7,77.2,76.3,78,81.6,81.4,80.8,81.5,85.4,84.9,86.4,87,88.9,89.4,89.6,88.7,95,95.3,93.4,93.7,103.2,103.1,101,102.8,111.4,111.5,110.9,111.3,122,122.9,121.3,125.5,138.9,136.8,136.2,137.7,147.8,145.3,143,145.4,157.1,149.8,149.1,150.4,163.3,163.9,157.4,158,176.5,168.7,164.7,167.1,183.9,175,170.3,173,189.6,177.2,173.1,176.2,194.3,181.8,177.9,181.2,205.8,189.8,182.7,190.9,220.9,203.6,203.3,208.4,239.2,225.2,221.9,226.8,252,234.9,229.8,246.3,272,249.1,244.5,249.3,292,264.7,260.9,262.1,321.1,290,284.7,288.5,343.3,307.6,302,306,364.3,358.8,333.2,335.6,422,398.7,393.6,394.6,484.9,413,407.8,404.4,492.1,417.7,410.7,407.8,496,426.7,424.3,425.5
"24","16","    To the rest of the world \3\","W016RU1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1.1,1.1,1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.4,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.8,1.4,1.7,1.6,1.5,1.4,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.5,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2,1.9,2,2,2.1,2,2.1,2.1,2.1,2.1,2.2,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,3.3,2.9,2.5,2.6,3.1,3.6,3.4,2.4,3.6,3.4,3.9,2.4,3.8,5,4.1,2.6,4.2,4.6,3.5,3.7,4.4,4.5,3.7,3.9,4.5,4.8,3.7,4.1,4.8,4.9,3.8,4.4
"25","17","  Other current transfer payments","W010RU1",3.9,5,4.4,4.9,5.1,6.2,5.9,5.9,6.4,7.5,6.7,7.5,7.9,10.5,8.2,11.1,9.6,10.5,9.6,9.1,9.3,11.2,10.2,10.2,11.4,13.9,11.9,12.7,12.6,13,14,13.9,13.5,14.7,15.3,15.5,16.5,17.4,16.8,17.7,16.6,17.1,17.6,18.5,19.1,18.6,18.8,20.5,20.3,19.2,18.1,18.5,18.7,18.5,17.3,19.9,18.6,19.1,18.2,20.9,20.3,20.1,19.5,23.6,21.9,21.7,21.9,24.5,23.1,24.5,24.9,24.1,22.6,22.7,21.6,24.2,24.6,24,23.5,26.8,26.1,25.2,25.8,28.3,29,30.4,28.9,29.6,11,23.1,29.2,35.1,38.6,39.8,38.7,45.2,41.4,43,42.2,50.8,44.4,45.6,44.3,52.5,48.4,47.9,45.5,48,50.4,50.6,47.4,53.4,50,49.7,48,57.3,53.5,53.1,51.9,60.2,58,57.8,57.2,64.9,61.1,62.4,61.7,70.2,68,71.1,65.1,75.2,77.2,78.9,72.7,81.6,82.5,92.3,84.2,91.4,91.7,93.8,83.3,94.2,96.5,97.6,89.7,100.4,92.6,98.1,90.4,94.7,101.9,101.3,92.7,105.4,103.7,105.9,96.6,109.9,115.4,136.8,125.4,133.1,137.4,138.1,135.1,145.3,137.5,144.9,121,125.5,122.5,127.2,119.4,124
"26","18","    Grants-in-aid to state and local governments","B089RU1",3,3.6,3.4,3.6,4.1,5,4.6,4.7,5,6.1,5.3,5.7,6,8.8,6.2,9.5,8.4,8.9,8.1,8.1,8.2,9,8.8,8.9,9.6,11.6,11,11.4,11.8,12,12.2,13.1,12.5,13.5,14.2,14.5,15.3,16.1,15.6,16.4,15.3,15.8,16,16.8,17.1,17.2,17.2,18.2,18.7,17.6,16.4,16.7,16.7,16.9,15.4,17.2,17,17.3,16.1,17.5,18.3,18,16.7,19.4,19.1,18.6,18.2,20.3,20.5,20.7,20.9,20.4,19.9,19.9,18.8,19.8,21.8,21.3,20.6,22,23,22.6,22.4,23.8,25.8,26.1,25.1,27.4,29.7,30.7,30.2,33.5,34.7,35.4,34.6,37,37.5,38.4,37.2,42.6,40.9,41.8,39.6,44.5,44.4,44.5,41.7,43.9,44.8,47.2,43.3,46.2,46.6,46.5,44.5,50.5,50.1,49.9,48.1,52.8,54.4,53.8,53.2,57.7,56.9,58.1,56.8,61.3,64.2,67.5,61,68.5,69.3,74,68.1,75.8,74.9,84.7,77,85.1,82.1,87.1,76.4,86.6,85.7,89.8,79.8,88.1,85,89.3,80.9,85.6,89.5,93.4,84,92.1,91.5,95.8,86.3,97.3,104.6,123.1,109.3,121,123.9,127.4,122.3,131.7,124.1,130,106.7,111.7,109.2,114.7,105.6,113.7
"27","19","    To the rest of the world (net) \3\","W017RU1",0.9,1.3,1,1.3,1.1,1.2,1.3,1.3,1.4,1.5,1.4,1.7,1.9,1.7,2,1.6,1.2,1.7,1.5,1,1.1,2.2,1.4,1.3,1.7,2.3,0.9,1.2,0.8,1,1.9,0.8,1,1.2,1.1,1,1.2,1.3,1.2,1.3,1.3,1.3,1.6,1.7,2,1.4,1.6,2.3,1.6,1.5,1.7,1.8,2,1.6,1.9,2.6,1.6,1.8,2.1,3.5,2.1,2.1,2.8,4.3,2.8,3.1,3.6,4.2,2.6,3.8,4,3.7,2.7,2.8,2.8,4.5,2.8,2.6,3,4.8,3.1,2.5,3.4,4.5,3.2,4.2,3.8,2.2,-18.7,-7.6,-0.9,1.6,3.9,4.4,4.1,8.2,3.8,4.6,5,8.2,3.4,3.8,4.7,8,4,3.5,3.8,4.2,5.6,3.5,4.1,7.2,3.4,3.2,3.5,6.9,3.5,3.2,3.8,7.5,3.6,4,4,7.1,4.2,4.3,4.9,8.9,3.8,3.7,4.1,6.6,8,4.8,4.7,5.8,7.5,7.6,7.2,6.3,9.5,6.7,6.9,7.6,10.8,7.8,10,12.3,7.6,8.8,9.5,9.2,12.4,7.9,8.8,13.3,12.2,10,10.3,12.5,10.8,13.7,16.1,12.1,13.4,10.7,12.9,13.6,13.4,15,14.3,13.8,13.3,12.5,13.8,10.3
"28","20","Interest payments \1\","A091RU1",6.4,6.7,7,7.4,7.9,8.2,8.6,8.7,8.7,8.7,8.9,9,9.1,9.3,9.5,9.7,10.2,10.7,11,11.3,11.5,11.8,12.2,12.4,12.6,12.9,13.3,13.8,14.2,14.5,14.9,15.3,15.5,15.9,16.4,17.4,18.5,19.3,20.2,21.1,21.9,22.5,23.1,24,25.6,26.8,27,28.1,31.5,32.4,33.9,35.6,36.7,37.7,39,39.3,39.7,40.8,42.5,44,45.7,47.1,49.7,51.3,52.1,53.3,53.6,54.8,55.6,56.1,56.2,56.3,56.7,57.3,58.3,60,61,61.2,62.2,63.5,65.8,67.3,67.8,68.7,70.1,71.3,73.3,74.4,75.2,76,76.1,77,76.6,77,76.9,76.4,77.7,78,78.1,77.7,77.3,79.2,81,83.4,86.1,88,88.9,89.3,89.8,89.3,90.3,90.6,90.5,91.2,91.8,92.1,92.1,91.9,91.6,90,88.3,88.2,87.5,88.2,88.8,89,88.3,87.7,86.6,84.1,81.6,78.9,75.7,76.6,75.4,75.1,73.2,72.8,72.8,73.7,74.9,74.9,77.5,78.8,80.3,85.5,85.8,92.7,88.7,93.8,97.5,92.2,97.7,107.5,102.9,100.1,100.2,100.5,103.4,83.9,76.3,93,93.2,91.2,90.2,96.3,95.3,98.8,101.9,113.4,104.3,103,101.6,112.5,97.8,108.7
"29","21","  To persons and business \1\","B092RU1",6.2,6.5,6.8,7.2,7.7,8,8.3,8.4,8.4,8.3,8.4,8.4,8.6,8.7,8.8,9,9.5,9.8,10.1,10.3,10.7,10.8,11.2,11.3,11.5,11.8,12.2,12.7,13.2,13.5,13.7,14.1,14.4,14.8,15.1,15.7,16.7,17.4,18.2,18.6,19.3,19.9,20.5,21.2,22.7,24.1,24.2,24.8,27.7,28.3,29.8,31.4,32.3,33.4,34.4,34.6,35.2,36.3,38,39.3,41,42.3,44.5,45.9,46.6,47.8,48.1,49.2,49.8,50.3,50.3,50.5,50.7,51.2,52.4,53.8,54.5,54.1,54.7,55.8,57.4,58.8,59,59.9,61.2,62.3,64.3,65.2,66,67,67,68.3,68,68.4,68.3,67.9,69.2,69.5,69.5,69.1,68.8,70.5,71.9,73.3,75.9,76.5,76.4,76.4,76.4,75.5,76.2,75.1,74,74,74,73.9,74,73.7,73.6,72.2,70.8,71.3,71.1,72.2,72.8,72.6,72.2,71.8,71.2,69.3,67.9,65.8,63.1,64.3,63.2,62.7,61.1,61.3,61,61.9,62.6,61.3,63.3,64.1,64.5,69,68.6,74.3,69.1,72.5,75.7,69.2,73.5,82.2,78.3,75.2,75.6,75.9,79.7,59.7,52.5,70.8,71.7,69.7,68.2,73.8,71.6,74.4,77.6,89,79.7,78.7,78.1,89.4,74.6,85.6
"30","22","  To the rest of the world","B093RU1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,0.9,1,1,1.1,1.1,1,1.1,1.1,1,1,1.1,1.2,1.1,1.2,1.3,1.6,1.8,2,2,2.4,2.6,2.5,2.6,2.8,2.9,2.8,2.8,3.4,3.8,4.1,4.2,4.2,4.4,4.3,4.6,4.7,4.5,4.5,4.5,4.6,4.7,4.8,5.2,5.5,5.5,5.5,5.6,5.6,5.9,5.8,5.9,5.8,6,6,5.9,6.2,6.5,7,7.5,7.7,8.4,8.6,8.8,8.8,8.9,8.9,9,9.2,9.3,9.1,9.1,8.7,8.6,8.6,8.6,8.5,8.5,8.5,8.7,8.5,8.5,8.7,9.1,10.1,10.2,11.5,12.5,12.9,13.4,13.8,14.1,15.5,16.5,17.2,17.8,18.2,18.1,18.2,17.9,17.8,17.5,16.9,16.4,16,16,16.4,16.1,15.9,15.5,14.8,13.7,13.1,12.5,12.3,12.1,12.4,12.1,11.6,11.8,11.9,12.3,13.6,14.1,14.8,15.8,16.6,17.2,18.4,19.7,21.3,21.9,23,24.2,25.3,24.6,24.9,24.6,24.6,23.7,24.2,23.8,22.2,21.4,21.5,22,22.5,23.7,24.3,24.3,24.4,24.6,24.2,23.5,23.2,23.2,23.1
"31","23","Subsidies \2\","B096RU1",0.6,0.3,3,0.6,0.3,0.4,3.6,0.4,0.5,0.6,2.9,0.7,0.6,0.8,4.2,0.9,0.8,1.1,2.8,0.4,0.8,0.8,0.6,0.9,1.3,1.1,0.9,1.1,1.3,1.1,1.3,1.3,1.5,1.3,1.7,2.4,1.9,2,2,2.8,2.1,2.1,2,2,2.3,2.2,2.1,2.9,2.8,2.6,2.5,3.2,3.4,3.2,3,4.9,4.2,4.5,4.2,8,7.2,3.7,3.9,5.9,6.9,6.4,3.5,4.3,4.4,9.2,4.8,6.2,9,6.2,5.2,9.6,7.8,5.5,3.6,12.2,9.5,5.1,3.1,9.4,7.9,6.4,4.4,8,6.4,6.3,3.5,10.9,7.3,5.9,3.5,13,8.8,9.3,9.3,8.9,8.3,8,7.9,8,8.4,8.6,8.7,8.8,8.8,8.8,8.7,8.6,8.5,8.3,8.2,8.3,8.3,8.6,9.1,9.9,10.5,11.2,11.5,11.6,11.1,11.2,11.3,11.6,12,12.1,15.6,11.3,11.5,8.4,9.8,10.8,11,14.4,11.9,11.7,10.9,11,11.1,13.1,14.3,15,15.2,16.1,13.8,12.7,12.1,12.4,11.7,11.8,12.2,11.8,12.3,12.1,12.1,13,12.8,13.6,16.1,14.5,11.8,13.8,13.9,14.7,14.9,14.4,14.3,15.8,13.8,14.5,13.7,14.9
"32","24","    Net federal government saving","A923RU1",0.5,5.2,-4,-6.8,-4.8,-3.5,-11.4,-15.2,-11.1,-9.2,-13,-17.5,-12.4,-6.2,-11.5,-18.8,-9.8,-7.3,-8.4,-12.2,-11.5,-5.4,-6.1,-17.6,-23.7,-26.6,-19.4,-27.3,-25.1,-12.1,-16.3,-26.3,-22.7,-5.7,-15.5,-28,-23.4,-2.3,-12.2,-21.9,-15.6,3.7,-11.1,-21.6,-22.8,-9.1,-22.4,-31.9,-27.2,-2.1,-22,-34.6,-38.5,-19.9,-41,-65.3,-52.6,-44.1,-47.9,-60.5,-46.2,-36.8,-44.6,-64.8,-47,-36.5,-45.6,-66.5,-50.7,-44.1,-52.8,-65,-51.6,-8.5,-38.7,-64.4,-44.2,-12.8,-36.2,-64.1,-46.3,2.7,-40.8,-72.3,-64.4,-11.2,-51.5,-73.8,-61.7,-27.6,-59.5,-97.4,-95.2,-49.4,-81.9,-106.2,-84.2,-61.3,-73,-93.2,-70.4,-38.5,-59.2,-85.6,-67,-32.7,-59.2,-81.9,-68.7,4.6,-43.3,-71,-51.6,37,-18.3,-58.3,-29.7,78.9,-0.7,-45.8,-19.2,94.4,11.2,-19.9,-7.6,152.9,33.9,-23.3,-19,141.2,-50.3,-57.9,-95.1,-8.9,-55.6,-111.4,-114.6,-53,-106.3,-129.7,-148.5,-59.5,-89,-102.7,-138.5,9.1,-72.1,-104,-126.6,62.4,-67.2,-96.7,-133.4,75.6,-79.2,-129.7,-193.1,-43.8,-169.3,-228.9,-331.6,-263.7,-309,-345.5,-410.6,-277.3,-309.7,-331.9,-403.1,-238.6,-291,-315.6,-377.3,-184.4,-265.8,-282.1
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  Gross government investment","A787RU1",8.1,7.6,7.8,7.3,7.7,7.6,7.5,7.7,6.9,6.9,7.2,6.8,7.1,7.7,7.1,7.5,8.2,8.1,7.7,7.7,8.3,8.8,9.1,9.4,9.4,9.3,10.4,10.7,10.9,10.9,11.4,11.6,11.9,12.4,12.5,12.4,12.6,13.5,14.1,14.6,14.5,15,16.3,15.9,17,17.3,17.7,18.3,18.8,19.9,20.5,21.2,21.1,22.5,22.7,23.6,24.1,25,26.2,27.1,27.5,28.4,28.7,31.1,30.9,32.6,34.5,34.5,33.5,34.6,37,36.8,36.5,38.2,39,38.8,36.5,36.9,36.9,37.6,37.1,37.6,38.6,37.8,38.8,39.9,40.2,39.3,38.6,40.4,39.6,38.1,38.3,39.3,39.6,39.2,37.9,38,37.6,37.2,35.2,36,37.9,36.2,37.2,37.4,37.3,35.9,38.4,37.8,37.8,35.9,34.4,35.9,37,36.4,35.1,36.7,38.4,37.4,36.4,38.8,39.2,40.6,38.2,39.6,39.2,40.4,38.9,41.2,41.1,42.6,41.9,45.1,46.8,46.5,46,49.4,51.1,49.8,50.7,51.8,54,54.5,52.7,55.1,58.5,56.6,58.1,59.7,59.7,60.6,60.3,63.1,64.5,63.6,64.2,68.6,71.3,71.6,68,71.4,72.8,71.7,71.1,75.1,77,76.8,72.9,74.5,75.1,72.9,69.8,71.4,72.8,70
"35","26","  Consumption of fixed capital","A918RU1",6.3,6.4,6.5,6.6,6.7,6.8,7,7.1,7.2,7.2,7.3,7.3,7.4,7.5,7.5,7.6,7.7,7.9,8,8.2,8.3,8.5,8.8,9,9.2,9.4,9.5,9.7,9.9,10,10.2,10.5,10.6,10.8,11,11.2,11.5,11.8,12,12.2,12.4,12.8,13.1,13.4,13.8,14.2,14.7,15.1,15.6,16.1,16.6,17,17.5,18,18.4,18.8,19.2,19.5,19.9,20.4,20.9,21.4,21.8,22.2,22.7,23.1,23.6,24,24.4,24.9,25.3,25.8,26.2,26.6,27.1,27.7,28.3,28.8,29.3,29.9,30.3,30.8,31.3,31.7,32.2,32.6,33,33.4,33.9,34.3,34.7,34.9,35,35.2,35.4,35.8,36,36.2,36.4,36.7,36.7,36.9,37.2,37.5,37.9,37.9,38.1,38,38.1,38.1,38.1,38.1,38.1,38.3,38.3,38.3,38.2,38.3,38.4,38.7,38.8,39.1,39.3,39.7,40,40.3,40.5,40.7,40.7,40.8,40.8,40.9,41,41.1,41.3,41.6,41.9,42.3,42.8,43.2,43.8,44.3,44.9,45.6,46.3,47,47.7,48.4,49.2,49.8,50.5,51.2,52.1,52.8,53.6,54.3,55.3,56.2,57.1,57.8,58.2,58.5,58.7,59.2,60,61,61.7,62.5,63.3,64,64.5,64.7,65.1,65.5,65.7,65.9
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Beginning with 1947, includes receipts from the leasing of federally owned lands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and mineral deposits.  Beginning with 1960, includes interest receipts.  Prior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","to 1960, interest receipts are included in interest payments (line 20), which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","are shown net of interest receipts.  Interest payments to persons and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
