"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"75","68","Education","W636RC1",0.7,0.9,1,1,1,0.9,1.1,1.1,1.1,1.2,1.3,1.5,1.7,1.6,1.9,2.1,2.1,2.2,2.3,2.3,2.5,2.7,3,3.1,3.3,3.8,4.2,4.4,4.4,4.8,5.2,5.7,6.5,7.4,7.5,7.7,8.3,7.7,7.6,7.9,8.3,8.5,9.1,9.3,NA
"76","69","  Elementary and secondary","W637RC1",0,0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.5,0.5,0.5,0.4,0.6,0.7,0.6,0.6,0.9,1.4,1.5,1.7,1.5,1.3,1.3,1.5,1.2,1.4,1.1,NA
"77","70","  Higher","W638RC1",0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.7,0.9,1,1,1,1.1,1.2,1.3,1.4,1.4,1.6,1.7,1.3,1,1.2,1.3,1.4,1.6,1.8,NA
"78","71","  Other","W639RC1",0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.1,1.2,1.4,1.4,1.5,1.5,1.6,1.7,1.8,2,2.2,2.3,2.7,2.8,3,3,3.2,3.4,3.8,4.6,5.1,4.7,4.7,4.8,4.9,5.2,5.4,5.6,5.9,6.2,6.4,NA
"79","72","Income security","W640RC1",1,1.1,1.2,1.6,1.6,2.6,2.5,2.9,3.7,3.7,4,4.7,4.4,4.4,4.3,4.6,4.5,4,4.2,4.1,4.5,4.8,5.3,6.8,6.4,6.9,7,6.8,7.2,8.1,7.8,8.4,8.6,11.9,13.1,13.4,18.1,26.2,18.2,17.3,18,20.6,17.9,18.1,NA
"80","73","  Disability","W641RC1",0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.4,0.6,0.6,0.7,0.3,0.3,0.5,0.7,0.7,0.6,0.7,0.7,0.7,0.7,NA
"81","74","  Retirement \1\","W642RC1",0.5,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1,1.2,1.1,1.1,1,1,1,1,1,0.9,1,1.1,1.1,1,1.1,0.9,1,1.3,0.7,1.3,1.2,1.7,2,1.9,2.1,2.5,2.6,2.6,3,3,2.6,2.7,NA
"82","75","  Welfare and social services","W643RC1",0.3,0.3,0.4,0.5,0.5,1.1,1.1,1.5,1.8,1.9,2.1,2.4,2.2,2.1,1.9,2,2,1.9,2,2,2.3,2.7,2.8,3.1,3.2,3.1,3.3,3.2,3.4,3.7,4.3,4.1,3.9,6.2,6.8,7,8.4,8.5,7.8,8.3,8.8,11.9,9.5,9.8,NA
"83","76","  Unemployment","W644RC1",0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.2,NA
"84","77","  Other","W645RC1",0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.3,2,2.2,2.2,2.3,2.4,2.3,2.6,2.9,3.7,3.9,7,14.3,6.8,5.7,5.3,4.7,5,4.7,NA
"85","78","      State and local","A829RC1",109.3,121.4,134.9,146.7,160.8,185,210.2,222.1,237,260.7,287.8,318.5,343,364.4,385.6,417.5,459.2,496.1,530.5,569.3,620.5,678.3,717.4,758.8,787.7,831.1,876.8,918.2,971.8,1029.4,1115.6,1202,1289.5,1354.3,1396,1465,1547.4,1640.2,1752.2,1847.6,1871.4,1870.2,1854.7,1871.3,1879.6
"86","79","General public service","W646RC1",10,10.7,11.9,13.5,15.6,18.6,22.7,24,26.5,29.1,31.3,34.7,37.1,39.8,44.2,47.5,53.8,58.1,62.1,65.2,71,76.5,80.1,86.5,89.5,94.5,97.7,101.4,107.4,117,126.7,135.4,143.2,153.4,155.4,160.9,171.2,179.4,186.1,194.9,199.6,197.7,194.7,196.9,NA
"87","80","  Executive and legislative","W647RC1",1.3,1.5,1.7,1.9,2.1,2.5,2.8,3.1,3.3,3.7,4.1,4.7,5.2,5.9,6.1,6.4,7,7.6,8.3,9,9.9,11.1,11.9,12.4,12.8,13.6,14.3,15.1,16.1,17.5,19.2,20.5,22.2,23.9,25.9,28.3,29.3,31.9,35,36.3,35.8,34.9,34.3,34.3,NA
"88","81","  Tax collection and financial management","W648RC1",3.1,3.4,3.5,3.7,3.9,4.5,5.6,5.5,6.3,6.9,7.1,7.3,7.7,9,11,11.5,14.9,15.6,15.4,16.7,17.7,18.1,18.9,20.4,21.4,22.9,23.6,23.6,24.8,26.3,28.4,28.6,28.9,29.8,30.7,31.6,32.4,31.9,32.2,36.2,37.4,37,35.2,37.1,NA
"89","82","  Other \3\","W649RC1",5.5,5.8,6.7,7.9,9.5,11.7,14.3,15.4,16.9,18.5,20.1,22.7,24.2,25,27.1,29.6,31.9,34.9,38.5,39.5,43.4,47.2,49.3,53.6,55.4,58,59.7,62.7,66.5,73.1,79.1,86.3,92.1,99.7,98.9,100.9,109.5,115.6,118.9,122.4,126.5,125.9,125.1,125.5,NA
"90","83","Public order and safety","W650RC1",10.3,11.7,13.4,15,16.6,18.8,21.5,23.2,25.4,28.1,31.2,34.8,39.2,43.8,47.6,51.8,57.7,63.1,68.5,75.1,84.7,94.2,101.9,110.3,116.9,125.8,134.8,142.8,151.3,161.1,174.8,187.5,202.2,213,217.8,230.4,242.2,255.7,274,289.8,293.3,294.3,296.9,301.7,NA
"91","84","  Police","W651RC1",5,5.6,6.5,7.3,8,9,10.2,10.9,11.9,13,14.2,15.6,17.4,19.2,20.5,22,24.2,26,27.6,29.7,32.9,36,39.1,42.6,44.6,47.8,51.6,55.1,58.2,61.7,66.7,70.7,76.6,81.3,83.9,89.2,93.6,98.9,106.1,112.2,113.9,117,118.3,119.6,NA
"92","85","  Fire","W652RC1",2.3,2.6,3,3.3,3.5,3.9,4.4,4.7,5.1,5.6,6.1,6.7,7.5,8.2,8.9,9.5,10.4,11.4,12.3,12.9,14.4,15.6,16.5,18.4,18.9,19.9,20.8,21.9,23,24.3,26.3,28.5,30.2,32.5,33.8,36.6,39.1,41.7,45.2,48.2,49.6,50,49.8,50.1,NA
"93","86","  Law courts","W653RC1",1.5,1.7,1.9,2.1,2.5,2.8,3.1,3.4,3.7,4.2,4.8,5.5,6.2,6.9,7.3,7.8,8.6,9.3,9.9,11.4,13.1,14.7,16,17.2,19.5,20.9,22.3,23.6,25.1,27.1,29.6,32,35,36.8,37.4,39.2,41.1,42.7,44.8,47.3,48,47.8,49,50.9,NA
"94","87","  Prisons","W654RC1",1.5,1.8,2.1,2.4,2.6,3.1,3.7,4.2,4.8,5.4,6.1,7.1,8.1,9.5,10.9,12.4,14.5,16.5,18.7,21.1,24.3,27.9,30.3,32.1,33.9,37.3,40.1,42.2,45,48,52.2,56.3,60.5,62.4,62.7,65.3,68.4,72.4,77.9,82.1,81.8,79.5,79.7,81.1,NA
"95","88","Economic affairs","W655RC1",25.2,27.3,29.1,30.5,32.5,38.4,42.1,43,44.7,50.6,57.5,64.2,69.6,72.5,75.4,81.2,88.8,94.5,98.4,103.1,107.1,116.4,120.5,124.9,130.6,137.4,141.9,146.7,155.6,162.2,177,192.3,207.8,216.9,223,230.2,242.9,259.4,280.7,297.2,304.1,302.7,303.2,313.8,NA
"96","89","  Transportation","W660RC1",20.4,22.1,23.5,24.4,25.8,30.5,33.5,33.3,34.1,37.9,43.4,48.6,52,54.4,57,62.2,67.3,72.2,75.9,79.9,82.7,90.3,93.5,96.2,101.3,107.3,110.6,115,122.6,128.4,139.8,151.8,163.8,170.3,174.6,180.6,191.1,203.9,218.8,232.9,238.7,240.6,241.9,250,NA
"97","90","    Highways","W661RC1",18.9,20.6,22.3,22.7,24,28.3,31.1,30.7,31.6,35.1,40,44.2,47.2,49.1,51.2,56.2,61,65.4,68.7,72.3,74.1,80.4,83.2,85.4,89.2,95,98.6,102.5,109.2,114.3,123.9,132.4,143,146.2,148.6,155.2,167.1,182.8,196.3,207.4,209.4,211.3,214.1,221,NA
"98","91","    Air","W662RC1",0.6,0.6,0.5,0.6,0.6,0.8,0.7,0.6,0.6,0.8,1.1,1.4,1.3,1.3,1.5,1.7,1.8,2.2,2.5,2.6,2.9,3.4,3.9,4.5,4.8,4.1,3.3,3.8,4.5,5.1,5.9,7.1,7.8,8.3,8.5,8.9,8.6,7.4,8.3,9.1,10.2,10.2,9,9,NA
"99","92","    Water","W663RC1",0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.7,1,1,1,1.2,1.2,1.2,1.4,2.8,2.9,2.5,2.5,1.6,1.6,1.6,1.7,1.8,2,2,2,2.5,NA
"100","93","    Transit and railroad","W664RC1",0.7,0.6,0.5,0.9,1,1.2,1.3,1.6,1.5,1.5,1.7,2.3,2.8,3.3,3.6,3.8,3.7,3.9,4,4.1,4.8,5.5,5.6,5.5,6.2,7.2,7.6,7.5,7.7,7.7,8.7,9.4,10.1,13.3,15,14.9,13.8,12.2,12.5,14.7,17,17.1,16.8,17.5,NA
"101","94","  Other economic affairs","W665RC1",4.8,5.2,5.6,6.1,6.7,7.9,8.6,9.7,10.6,12.7,14.1,15.6,17.5,18.1,18.5,18.9,21.5,22.3,22.5,23.2,24.4,26.1,27.1,28.7,29.4,30.1,31.3,31.6,33,33.8,37.1,40.5,44,46.7,48.4,49.6,51.8,55.5,61.9,64.3,65.4,62.1,61.3,63.8,NA
"102","95","    General economic and labor affairs","W656RC1",1.5,1.7,2,2.4,2.6,2.9,3.3,3.6,4,4.4,4.9,5.4,5.8,6.1,6,6.2,6.6,7.2,8,8.3,9.2,10,10.5,11.5,11.9,12.2,12.4,12.7,13.3,13.8,14.8,15.7,17.9,19.3,18.7,19.2,20.2,21,21.6,22.5,22.8,21.5,21.5,22.8,NA
"103","96","    Agriculture","W657RC1",0.7,0.7,0.8,0.8,0.9,1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.6,2.9,3,3.1,3.3,3.5,3.8,3.9,4,4.1,4.1,4.2,4.3,4.5,4.8,5.5,6.1,6.2,6.2,6.2,6.1,6.1,6.1,6.2,6.4,6.3,6.3,6.6,6.9,NA
"104","97","    Energy","W658RC1",1,1.1,1.2,1.3,1.4,1.8,1.7,2.2,2.7,4,4.3,4.6,5.7,5.4,5.3,4.9,6.2,5.8,4.7,4.6,4.1,4.2,4.2,4.5,4.6,4.1,4,3.5,3.8,3.3,4.1,4.8,5,5.5,7.7,6.9,7.5,9.1,12.7,12.6,13.7,12.8,11.6,12.1,NA
"105","98","    Natural resources","W659RC1",1.5,1.5,1.5,1.6,1.7,2,2.3,2.3,2.4,2.6,3.1,3.5,3.8,4.2,4.6,5,5.5,5.9,6.3,6.7,7.3,7.8,8.1,8.4,8.7,9.6,10.4,10.7,11.1,11.5,12.3,13.5,14.4,15,15.4,16.8,17.3,18.7,20.8,22,21.7,20.7,20.9,21.4,NA
"106","99","    Other","W686RC1",0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.7,NA
"107","100","Housing and community services","W666RC1",5,5.2,5.6,5.7,6.4,7.8,9,9.5,9.4,11.4,12.7,15.2,15,14.7,14.1,15.7,17.1,19.1,21.4,22.5,23.5,25.8,26.9,27.3,26,25.7,27,29.2,30.5,30.5,32.7,33.3,37.1,40.8,42.8,45,47.7,56.1,58,59.6,58.8,61.7,56.1,53.1,NA
"108","101","  Water","W667RC1",1.4,1.2,1.1,1.2,1.2,1.6,2.1,2.1,1.9,2.5,2.8,3.6,3.4,3.6,3.2,3.8,4.5,5.4,6.1,6,6.3,7.1,7.4,6.8,6.3,6.7,6.9,7.8,8.6,9,10,10.1,11.4,12.5,13,13.9,14.6,19,19.1,19.7,19.3,19.4,17.5,17.1,NA
"109","102","  Sewerage","W668RC1",1.4,1.6,1.9,2.1,2.5,3.5,3.7,4.2,4.1,5.1,5.6,6.6,5.8,5.5,5,5.8,5.9,6.6,7.8,8.1,7.9,8.5,8.8,9.3,8.5,7.7,8.2,9,9.1,8.7,9.2,8.9,10.2,11.8,12.4,13.4,14.6,19.7,20.7,22.2,21.6,22.7,20.9,20.1,NA
"110","103","  Sanitation","W669RC1",1.1,1.2,1.4,1.5,1.6,1.8,1.9,2,2.1,2.4,2.6,2.9,3.2,3.2,3.2,3.4,3.8,4.1,4.4,5.2,6,6.5,6.9,7,7.1,7.6,7.5,7.8,7.9,7.9,8.4,9.2,9.9,10.1,10.4,10.8,11.6,11.7,11.4,11.8,11.4,10.6,10.3,9.8,NA
"111","104","  Housing and other","W670RC1",1.1,1.2,1.3,1,1,1,1.2,1.1,1.3,1.3,1.7,2.1,2.5,2.4,2.7,2.6,2.9,3,3.1,3.2,3.3,3.7,3.9,4.3,4,3.7,4.4,4.6,4.9,5,5.1,5,5.6,6.4,7,6.9,7,5.6,6.9,5.9,6.4,9,7.5,6.1,NA
"112","105","Health (net)","W671RC1",6.6,7.6,8.8,9.2,9.9,11.6,12.8,13,14.3,15.6,16.6,18.8,19.9,20.6,20.1,21.4,23.3,24.1,26.2,28.6,31.3,34.5,35.5,35.8,34.7,34.9,34.5,34.4,33.4,34.4,40.1,41.9,41.9,47.9,50.5,55.2,63.8,65.3,75.7,83.3,80.9,79,78.4,80.6,NA
"113","106","  Gross expenditures","Y650RC1",10.2,11.6,13.5,14.9,16.6,19.2,21.4,23.1,25.4,28.5,32,36.4,41,45.2,48.1,51,55.4,59.1,63.4,69.1,76.5,84.7,92.7,101.3,108.1,113.9,119.6,121.1,123.4,128,137,146,158.2,168.8,175.5,186.3,196.3,206.8,225.7,241.1,248.1,254.5,263.1,272.8,NA
"114","107","  Less: Sales to other sectors","Y651RC1",3.6,3.9,4.8,5.7,6.7,7.6,8.6,10,11.1,12.9,15.4,17.5,21.2,24.7,28,29.5,32.2,34.9,37.2,40.5,45.2,50.2,57.2,65.5,73.3,79,85.2,86.7,90,93.6,96.9,104.1,116.3,120.9,125,131.1,132.5,141.5,150,157.8,167.2,175.5,184.7,192.2,NA
"115","108","Recreation and culture","W672RC1",1.9,2.2,2.4,2.5,2.8,3.4,4.1,4.2,4.3,4.8,5.4,5.8,6.2,6.7,7.2,7.7,8.7,9.5,10,10.7,12,13.5,14.1,14.7,14.9,15.8,17,18.2,19.6,20.7,22.2,24.8,27.2,28.8,28.6,29.9,32,33.4,36.3,38.2,38.1,36.9,36.1,36.1,NA
"116","109","Education","W673RC1",47.7,53.7,60,65.8,71.9,80.4,91.2,97.7,103.9,111.7,122.9,133.7,143.8,153.2,162,176,192.1,208.7,223.8,242.2,266.5,290,308.2,326.2,339.9,358.6,383.7,404,429.6,455.5,490,530.3,567.6,585.8,609.5,645,677.8,720.3,768.6,809,820,822.4,813.4,812.8,NA
"117","110","  Elementary and secondary","W674RC1",37,41.1,46,50.2,54.4,60.6,69.1,74.1,79,85.1,93.9,101.8,108.5,115.5,123,134.2,145.9,159.5,172.1,186.3,204.5,223.1,238.4,253.2,262.1,275.5,296.4,313.7,334.2,354.6,382.2,412.2,438.5,458.5,481.6,507.8,534.1,568.6,601.4,629.4,635.7,635.6,619.9,601.1,NA
"118","111","  Higher","W675RC1",8.5,9.9,11.1,12.4,14.1,15.8,17.3,18.7,19.8,21.2,23.2,25.7,28.7,30.8,31.9,34.2,37.8,40.4,42.1,45.5,50.6,54.6,57.3,59.8,64.1,68.6,71.8,73.9,78.3,82.8,88.5,96.9,106.2,103.7,103.3,111.6,116.8,124.3,138.7,149.9,153.6,155.7,162.4,180.1,NA
"119","112","  Libraries and other","W677RC1",2.2,2.6,2.9,3.2,3.5,4,4.7,4.9,5.1,5.4,5.8,6.3,6.6,6.9,7.1,7.7,8.3,8.9,9.6,10.4,11.5,12.3,12.6,13.2,13.8,14.6,15.5,16.4,17.2,18,19.3,21.2,22.9,23.7,24.5,25.6,26.9,27.4,28.4,29.7,30.8,31.1,31,31.6,NA
"120","113","    Libraries","W676RC1",0.7,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.6,2.9,3.2,3.5,3.8,4.1,4.5,4.9,5.1,5.2,5.5,5.9,6.3,6.8,7,7.5,8,8.7,9.3,9.6,10.4,11,11.5,12.2,12.9,13.2,12.8,12.6,12.7,NA
"121","114","    Other","W683RC1",1.5,1.8,2.1,2.3,2.4,2.9,3.4,3.6,3.7,3.9,4.1,4.4,4.6,4.7,4.7,5,5.4,5.6,6.1,6.6,7.4,7.8,7.8,8.1,8.6,9.1,9.7,10.1,10.4,11,11.9,13.2,14.2,14.4,14.9,15.2,15.8,15.9,16.2,16.8,17.6,18.2,18.5,18.8,NA
"122","115","Income security","W678RC1",2.6,3.1,3.7,4.4,5.2,6,6.8,7.6,8.5,9.4,10.3,11.2,12.3,13.1,15,16.2,17.7,18.9,20.1,21.9,24.4,27.5,30.1,32.9,35.1,38.3,40.3,41.5,44.4,48,52.1,56.5,62.5,67.7,68.5,68.5,69.7,70.7,72.8,75.6,76.7,75.6,75.9,76.2,NA
"123","116","  Disability","W679RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.7,2,2.3,2.4,2.6,2.8,2.8,2.7,3,4.1,4.8,4.7,4.8,4.8,4.5,4.2,3.9,3.5,3.4,3.3,NA
"124","117","  Welfare and social services","W680RC1",2.5,3,3.6,4.3,5,5.8,6.6,7.4,8.2,9.1,10,10.9,12,12.7,14.6,15.8,17.2,18.4,19.5,21.1,23.5,26.4,28.8,31.4,33.3,36.3,38,39.2,41.8,45.2,49.3,53.8,59.5,63.6,63.7,63.8,64.9,65.9,68.3,71.3,72.8,72.1,72.5,72.9,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","1. Consists of consumption expenditures to administer social insurance funds, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","old age and survivors insurance (social security) and railroad retirement. Excludes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","government employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2. Consists of consumption expenditures to administer federal revenue sharing grants to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","state and local governments beginning with 1972 and ending with 1987.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","3. Consists primarily of unallocable state and local government consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
