"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"40","21","      Services","A489RX1","106,263.0","108,773.0","104,412.0","103,149.0","106,006.0","108,823.0","104,534.0","113,658.0","102,424.0","113,257.0","107,445.0","111,692.0","94,334.0","106,940.0","106,884.0","107,822.0","108,729.0","102,909.0","109,626.0","125,538.0","100,072.0","117,459.0","109,856.0","111,241.0","121,715.0","119,036.0","120,855.0","128,747.0","135,373.0","136,544.0","142,099.0","152,972.0","144,470.0","178,177.0","171,926.0","177,436.0","179,839.0","180,972.0","189,070.0","179,161.0","185,176.0","184,401.0","195,916.0","175,971.0","191,942.0","190,623.0","184,249.0","191,418.0","184,138.0","189,368.0","197,279.0","199,353.0","203,871.0","197,377.0","212,261.0","215,710.0","209,533.0","217,893.0","220,359.0","222,301.0","220,291.0","224,454.0","232,648.0","220,110.0","206,443.0","214,793.0","220,779.0","195,959.0","196,049.0","194,980.0","216,547.0","174,274.0"
"41","22","        Research and development","B784RX1","32,758.0","30,381.0","32,371.0","30,510.0","33,780.0","36,165.0","36,232.0","31,082.0","31,224.0","36,836.0","34,057.0","35,605.0","30,633.0","31,943.0","32,715.0","33,993.0","34,789.0","28,692.0","31,072.0","34,009.0","31,924.0","31,762.0","27,727.0","33,560.0","32,708.0","33,744.0","33,726.0","35,159.0","37,000.0","41,370.0","38,336.0","48,053.0","39,345.0","54,116.0","43,571.0","50,362.0","51,146.0","54,745.0","53,052.0","52,916.0","53,864.0","56,972.0","55,050.0","49,870.0","56,801.0","56,374.0","53,610.0","56,642.0","55,099.0","54,039.0","51,268.0","51,781.0","52,113.0","52,993.0","53,006.0","59,619.0","51,701.0","54,058.0","53,124.0","51,546.0","50,847.0","50,328.0","49,843.0","46,836.0","45,635.0","44,934.0","49,390.0","39,381.0","41,128.0","43,316.0","42,980.0","38,765.0"
"42","23","        Installation support","B911RX1","32,826.0","33,588.0","31,574.0","31,655.0","31,941.0","33,164.0","31,878.0","33,414.0","31,046.0","32,046.0","31,296.0","31,199.0","28,360.0","30,744.0","30,801.0","28,756.0","29,117.0","29,622.0","30,138.0","33,408.0","28,415.0","31,873.0","31,507.0","30,111.0","32,282.0","31,376.0","32,354.0","33,190.0","34,707.0","33,564.0","35,443.0","35,885.0","35,408.0","38,224.0","40,881.0","40,961.0","38,544.0","37,056.0","39,086.0","35,426.0","33,875.0","34,271.0","37,545.0","35,632.0","35,096.0","35,991.0","33,949.0","35,973.0","33,225.0","33,569.0","34,657.0","35,062.0","36,490.0","35,214.0","38,599.0","38,507.0","39,192.0","39,866.0","40,107.0","40,520.0","40,132.0","40,760.0","42,605.0","40,147.0","37,553.0","38,932.0","39,340.0","36,938.0","36,807.0","36,137.0","40,989.0","33,189.0"
"43","24","        Weapons support","B912RX1","10,299.0","11,308.0","9,829.0","9,603.0","8,047.0","7,940.0","7,493.0","12,786.0","8,897.0","10,760.0","10,224.0","11,968.0","7,565.0","10,720.0","10,102.0","11,598.0","9,493.0","9,739.0","11,113.0","15,348.0","7,007.0","13,234.0","12,535.0","12,583.0","15,167.0","14,346.0","13,533.0","14,852.0","16,146.0","15,069.0","18,703.0","20,792.0","17,817.0","22,039.0","25,107.0","23,637.0","22,258.0","20,445.0","24,046.0","21,591.0","23,005.0","22,749.0","28,108.0","23,618.0","23,968.0","26,180.0","22,700.0","26,909.0","22,700.0","24,312.0","26,520.0","26,730.0","27,091.0","24,152.0","29,279.0","26,304.0","25,268.0","27,436.0","29,162.0","30,538.0","28,843.0","31,416.0","35,271.0","32,226.0","27,444.0","31,889.0","32,539.0","26,329.0","25,866.0","24,936.0","33,331.0","18,866.0"
"44","25","        Personnel support","B913RX1","18,938.0","22,011.0","19,316.0","19,724.0","20,030.0","19,594.0","18,697.0","24,867.0","20,903.0","23,131.0","21,472.0","22,528.0","17,462.0","23,022.0","22,730.0","22,697.0","23,808.0","23,822.0","26,443.0","31,500.0","21,847.0","29,611.0","27,274.0","24,740.0","31,102.0","28,789.0","29,990.0","32,661.0","34,838.0","34,426.0","38,305.0","38,985.0","36,094.0","41,194.0","45,775.0","47,040.0","50,739.0","50,858.0","55,448.0","52,126.0","53,473.0","52,577.0","59,962.0","57,299.0","59,825.0","62,206.0","56,725.0","57,827.0","56,336.0","59,497.0","64,146.0","66,302.0","69,280.0","67,722.0","75,495.0","73,336.0","73,403.0","75,593.0","76,916.0","78,647.0","78,819.0","80,903.0","83,896.0","79,526.0","75,411.0","80,131.0","81,470.0","76,402.0","77,538.0","77,604.0","87,331.0","72,087.0"
"45","26","        Transportation of material","B786RX1","5,566.0","6,294.0","6,186.0","6,533.0","7,034.0","6,777.0","5,818.0","5,916.0","5,233.0","5,265.0","5,200.0","5,255.0","5,318.0","5,491.0","5,460.0","5,434.0","6,144.0","5,652.0","5,381.0","5,558.0","5,594.0","5,467.0","5,386.0","4,993.0","5,139.0","5,420.0","5,700.0","6,803.0","6,895.0","6,491.0","5,712.0","4,172.0","9,884.0","15,312.0","9,364.0","8,730.0","9,852.0","9,989.0","9,287.0","8,567.0","10,258.0","9,374.0","7,354.0","3,834.0","8,150.0","4,876.0","9,384.0","7,177.0","9,200.0","10,399.0","12,463.0","12,424.0","11,776.0","10,290.0","9,464.0","10,404.0","11,923.0","12,692.0","12,920.0","12,997.0","13,170.0","12,890.0","12,959.0","13,243.0","12,656.0","11,753.0","11,176.0","10,140.0","8,226.0","7,055.0","6,563.0","6,066.0"
"46","27","        Travel of persons","B785RX1","6,120.0","5,658.0","5,503.0","5,596.0","5,696.0","5,617.0","4,718.0","5,994.0","5,520.0","5,504.0","5,514.0","5,377.0","5,342.0","5,398.0","5,461.0","5,622.0","5,821.0","5,888.0","5,888.0","5,980.0","5,850.0","5,833.0","5,830.0","5,542.0","5,526.0","5,619.0","5,872.0","6,370.0","6,027.0","5,877.0","5,632.0","5,148.0","5,995.0","7,375.0","7,282.0","6,881.0","7,369.0","7,964.0","8,135.0","8,524.0","10,708.0","8,423.0","7,885.0","5,756.0","8,128.0","5,118.0","7,818.0","6,861.0","7,593.0","7,608.0","8,334.0","7,151.0","7,225.0","7,071.0","6,857.0","7,654.0","8,224.0","8,424.0","8,342.0","8,315.0","8,741.0","8,486.0","8,497.0","8,473.0","7,962.0","7,646.0","7,384.0","7,239.0","6,994.0","6,477.0","6,284.0","5,819.0"
"47","28","  Less: Own-account investment \4\","W088RX1","2,459.0","2,287.0","2,322.0","2,106.0","2,100.0","2,112.0","2,205.0","2,090.0","2,319.0","2,167.0","1,895.0","1,731.0","1,988.0","2,217.0","1,977.0","1,535.0","1,147.0","2,074.0","1,939.0","1,761.0","1,387.0","1,422.0","1,437.0","1,482.0","1,825.0","1,678.0","1,731.0","2,072.0","2,358.0","2,434.0","2,460.0","2,528.0","2,385.0","2,391.0","2,276.0","2,376.0","2,095.0","2,179.0","2,194.0","2,219.0","2,030.0","2,048.0","2,060.0","2,082.0","1,983.0","1,997.0","2,013.0","2,052.0","1,964.0","1,924.0","1,901.0","1,874.0","1,990.0","2,006.0","2,019.0","2,004.0","2,033.0","2,089.0","2,110.0","2,127.0","2,131.0","2,178.0","2,292.0","2,302.0","2,212.0","2,167.0","2,074.0","2,014.0","1,930.0","1,887.0","1,847.0","1,813.0"
"48","29","        Sales to other sectors","W089RX1","3,742.0","2,546.0","2,326.0","3,427.0","2,842.0","3,394.0","4,203.0","3,643.0","2,396.0","3,134.0","2,667.0","2,538.0","3,018.0","815.0","3,646.0","1,351.0","1,007.0","1,972.0","3,472.0","2,125.0","3,969.0","1,647.0","2,656.0","1,251.0","3,634.0","1,686.0","1,996.0","2,190.0","1,879.0","1,460.0","4,368.0","2,055.0","2,251.0","3,073.0","3,174.0","1,968.0","2,193.0","2,555.0","3,678.0","2,137.0","3,470.0","3,423.0","3,797.0","2,526.0","3,416.0","4,422.0","3,779.0","2,480.0","2,933.0","2,820.0","2,836.0","3,158.0","3,303.0","3,365.0","3,348.0","3,306.0","3,303.0","3,198.0","3,247.0","3,104.0","3,048.0","3,013.0","3,049.0","3,145.0","3,178.0","3,212.0","3,249.0","3,239.0","3,155.0","3,149.0","3,142.0","3,100.0"
"49","30","Gross investment \5\","A788RX1","54,264.0","54,470.0","51,432.0","50,914.0","54,456.0","54,729.0","52,323.0","47,682.0","44,270.0","44,752.0","49,053.0","48,991.0","44,381.0","46,698.0","50,890.0","48,165.0","45,455.0","49,346.0","51,888.0","50,402.0","49,930.0","49,928.0","50,878.0","50,458.0","49,757.0","52,735.0","53,984.0","54,499.0","54,533.0","59,479.0","62,803.0","61,747.0","61,793.0","64,804.0","66,552.0","68,075.0","68,039.0","69,553.0","74,296.0","72,522.0","71,067.0","74,466.0","76,839.0","74,468.0","76,414.0","81,365.0","77,587.0","82,132.0","79,518.0","85,250.0","85,693.0","85,545.0","87,604.0","98,224.0","103,297.0","105,590.0","99,926.0","106,690.0","108,073.0","107,734.0","103,790.0","108,579.0","111,534.0","109,612.0","99,659.0","102,677.0","98,831.0","100,616.0","94,762.0","97,873.0","97,717.0","97,668.0"
"50","31","  Structures","A808RX1","10,437.0","9,901.0","10,128.0","9,795.0","9,623.0","9,570.0","8,945.0","8,680.0","8,529.0","8,551.0","9,163.0","8,492.0","8,037.0","8,432.0","8,549.0","7,212.0","7,643.0","7,447.0","7,043.0","6,474.0","6,559.0","6,701.0","7,393.0","6,815.0","6,247.0","6,867.0","6,362.0","6,618.0","6,468.0","6,845.0","7,298.0","7,279.0","8,103.0","8,337.0","8,823.0","8,575.0","8,285.0","7,737.0","7,965.0","7,236.0","7,758.0","7,343.0","7,673.0","7,034.0","7,110.0","7,457.0","7,196.0","8,037.0","7,961.0","10,076.0","8,978.0","8,141.0","8,698.0","11,018.0","12,515.0","13,739.0","13,735.0","14,206.0","14,930.0","14,541.0","13,566.0","14,345.0","14,739.0","14,177.0","13,041.0","12,157.0","10,534.0","9,045.0","7,765.0","6,732.0","5,761.0","7,015.0"
"51","32","  Equipment and software","A873RX1","44,907.0","45,447.0","42,412.0","42,138.0","45,619.0","45,919.0","44,037.0","39,772.0","36,603.0","37,048.0","40,753.0","41,167.0","37,046.0","38,998.0","42,964.0","41,303.0","38,362.0","42,272.0","45,041.0","44,033.0","43,517.0","43,410.0","43,795.0","43,842.0","43,609.0","46,017.0","47,656.0","47,947.0","48,111.0","52,655.0","55,538.0","54,514.0","53,838.0","56,601.0","57,896.0","59,621.0","59,845.0","61,841.0","66,337.0","65,268.0","63,317.0","67,113.0","69,160.0","67,442.0","69,321.0","73,936.0","70,416.0","74,088.0","71,528.0","74,971.0","76,646.0","77,437.0","78,903.0","87,035.0","90,480.0","91,417.0","85,670.0","91,996.0","92,573.0","92,669.0","89,776.0","93,748.0","96,295.0","94,977.0","86,181.0","90,220.0","88,158.0","91,664.0","87,197.0","91,539.0","92,504.0","90,991.0"
"52","33","    Aircraft","B874RX1","8,596.0","8,045.0","7,061.0","7,905.0","10,069.0","8,933.0","6,912.0","4,845.0","3,892.0","3,254.0","6,402.0","7,838.0","4,040.0","4,646.0","6,382.0","6,461.0","4,756.0","5,349.0","6,989.0","5,327.0","7,610.0","5,803.0","6,914.0","5,806.0","5,976.0","6,085.0","9,461.0","9,014.0","6,916.0","8,951.0","9,517.0","9,820.0","8,880.0","8,599.0","8,030.0","9,434.0","8,307.0","9,681.0","11,644.0","13,478.0","12,315.0","13,462.0","14,116.0","14,187.0","13,170.0","15,356.0","11,821.0","14,591.0","12,375.0","14,244.0","13,186.0","12,529.0","8,714.0","14,197.0","14,289.0","16,016.0","12,439.0","15,517.0","12,773.0","15,490.0","14,708.0","17,372.0","17,609.0","16,026.0","16,699.0","19,554.0","18,701.0","19,738.0","21,880.0","23,820.0","25,439.0","23,018.0"
"53","34","    Missiles","B875RX1","3,805.0","5,490.0","4,922.0","3,485.0","4,097.0","4,043.0","4,066.0","3,649.0","2,825.0","2,769.0","3,061.0","3,082.0","2,993.0","2,654.0","4,562.0","3,000.0","2,878.0","2,863.0","2,935.0","3,303.0","2,506.0","2,538.0","2,190.0","4,053.0","3,771.0","3,737.0","3,259.0","3,398.0","3,748.0","3,539.0","3,279.0","3,582.0","2,978.0","3,022.0","3,724.0","4,864.0","4,026.0","3,645.0","4,468.0","4,434.0","3,180.0","4,505.0","3,480.0","4,879.0","4,674.0","4,647.0","3,339.0","5,251.0","5,173.0","4,254.0","3,809.0","3,660.0","4,340.0","4,561.0","4,396.0","3,723.0","4,205.0","4,602.0","6,274.0","4,722.0","5,709.0","5,314.0","5,250.0","5,154.0","5,057.0","5,152.0","4,632.0","5,077.0","5,503.0","5,596.0","5,515.0","6,808.0"
"54","35","    Ships","B876RX1","10,749.0","10,388.0","9,196.0","8,677.0","8,513.0","8,795.0","7,977.0","7,673.0","6,717.0","7,967.0","7,656.0","6,903.0","7,557.0","7,229.0","7,822.0","8,312.0","8,301.0","8,065.0","7,855.0","8,539.0","7,217.0","8,016.0","7,871.0","8,078.0","8,497.0","8,800.0","8,141.0","8,729.0","9,679.0","10,097.0","10,484.0","10,594.0","9,926.0","11,728.0","11,728.0","10,887.0","11,099.0","9,742.0","11,968.0","9,763.0","9,910.0","9,584.0","10,732.0","9,022.0","9,279.0","10,308.0","9,542.0","9,569.0","8,739.0","8,830.0","8,845.0","9,630.0","8,270.0","8,876.0","9,107.0","9,603.0","9,040.0","9,487.0","9,359.0","10,425.0","8,866.0","9,171.0","9,784.0","10,786.0","8,387.0","8,939.0","8,773.0","10,182.0","8,211.0","9,628.0","8,977.0","10,012.0"
"55","36","    Vehicles","B877RX1","1,149.0","1,009.0","1,153.0","971.0","1,241.0","1,101.0","1,083.0","1,206.0","1,209.0","1,400.0","1,429.0","1,313.0","1,267.0","1,747.0","1,541.0","1,401.0","1,455.0","1,768.0","1,492.0","1,917.0","1,788.0","2,012.0","1,973.0","1,607.0","1,920.0","2,114.0","1,715.0","2,147.0","2,253.0","2,645.0","3,187.0","2,622.0","3,661.0","3,349.0","3,031.0","2,648.0","2,844.0","3,155.0","2,572.0","2,676.0","2,810.0","4,295.0","4,679.0","3,692.0","4,635.0","4,925.0","5,484.0","4,817.0","4,908.0","6,450.0","6,760.0","5,964.0","8,342.0","8,217.0","9,374.0","9,514.0","8,242.0","8,504.0","8,765.0","8,688.0","8,500.0","9,005.0","8,897.0","8,971.0","6,867.0","6,543.0","6,368.0","6,273.0","4,801.0","5,309.0","5,227.0","4,932.0"
"56","37","    Electronics and software","B878RX1","6,893.0","6,360.0","6,824.0","6,470.0","6,634.0","7,261.0","7,432.0","7,176.0","7,443.0","7,480.0","7,563.0","7,436.0","7,726.0","8,076.0","8,009.0","7,925.0","7,676.0","9,069.0","9,293.0","8,848.0","8,845.0","9,183.0","8,829.0","9,258.0","8,915.0","8,937.0","8,836.0","9,002.0","9,146.0","9,360.0","9,666.0","9,381.0","9,893.0","9,813.0","10,651.0","10,312.0","10,454.0","11,746.0","11,414.0","11,659.0","11,526.0","12,362.0","13,489.0","13,196.0","13,621.0","14,014.0","14,952.0","14,956.0","15,760.0","16,426.0","17,547.0","17,363.0","19,744.0","20,921.0","22,041.0","21,799.0","20,582.0","21,739.0","22,358.0","21,947.0","20,966.0","21,436.0","22,278.0","21,921.0","19,257.0","19,833.0","19,864.0","20,279.0","18,284.0","18,823.0","18,806.0","18,440.0"
"57","38","    Other equipment","B879RX1","14,572.0","15,120.0","13,858.0","15,342.0","15,326.0","16,333.0","17,180.0","15,927.0","14,957.0","14,865.0","15,000.0","14,767.0","13,898.0","14,984.0","15,006.0","14,632.0","13,902.0","15,520.0","16,442.0","16,667.0","15,274.0","16,092.0","16,051.0","15,298.0","14,791.0","16,699.0","15,971.0","15,517.0","16,597.0","18,204.0","19,545.0","18,668.0","18,578.0","20,445.0","21,109.0","21,686.0","23,408.0","23,943.0","24,379.0","23,233.0","23,581.0","22,895.0","22,666.0","22,470.0","23,939.0","24,695.0","25,321.0","25,015.0","24,715.0","24,982.0","26,718.0","28,415.0","29,898.0","30,746.0","31,822.0","31,217.0","31,597.0","32,616.0","33,539.0","31,751.0","31,469.0","31,910.0","32,939.0","32,433.0","30,354.0","30,583.0","30,285.0","30,326.0","28,944.0","28,560.0","28,914.0","27,760.0"
"58","39","Residual","A975RX1","-10,400.0","-10,100.0","-9,900.0","-9,600.0","-7,800.0","-6,600.0","-7,700.0","-7,900.0","-8,800.0","-8,100.0","-6,900.0","-5,700.0","-8,400.0","-6,600.0","-4,800.0","-4,600.0","-6,300.0","-4,700.0","-4,200.0","-2,200.0","-3,700.0","-3,100.0","-3,700.0","-3,700.0","-3,900.0","-3,200.0","-2,500.0","-3,100.0","-3,000.0","-2,900.0","-1,200.0","-2,400.0","-3,300.0","-1,200.0","700.0","-100.0","-1,300.0","0.0","-300.0","700.0","0.0","-100.0","-200.0","-200.0","-400.0","-800.0","300.0","-300.0","0.0","-600.0","-800.0","-1,400.0","-1,300.0","-1,700.0","-3,500.0","-2,000.0","-1,600.0","-1,900.0","-2,400.0","-1,900.0","-1,500.0","-2,000.0","-2,900.0","-2,600.0","-900.0","-1,900.0","-2,000.0","-1,900.0","-1,400.0","-2,200.0","-4,200.0","-2,200.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","structures and in software.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
