"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"34","15","    Transportation equipment","A681RC1","19,393.0","19,136.0","18,969.0","18,058.0","16,758.0","16,535.0","17,081.0","14,603.0","17,653.0","18,280.0","18,169.0","19,549.0","20,961.0","21,248.0","21,023.0","24,165.0","25,197.0","26,928.0","27,079.0","27,036.0","26,758.0","26,786.0","27,409.0","24,164.0","23,963.0","23,856.0","25,849.0","27,003.0","28,346.0","29,007.0","30,168.0","32,435.0","36,855.0","38,357.0","39,283.0","42,613.0","43,087.0","48,364.0","48,262.0","49,574.0","54,114.0","52,482.0","55,354.0","52,606.0","51,703.0","45,633.0","48,128.0","48,075.0","50,469.0","49,995.0","51,999.0","49,761.0","49,515.0","46,818.0","43,885.0","47,066.0","47,193.0","49,349.0","54,767.0","62,734.0","60,397.0","64,428.0","66,083.0","66,724.0","66,421.0","68,924.0","70,504.0","69,967.0","67,352.0","70,913.0","72,222.0","71,392.0","65,569.0","71,215.0","69,966.0","65,511.0","71,850.0","72,439.0","71,507.0","75,647.0","68,936.0","68,895.0","69,437.0","64,402.0","68,716.0","65,852.0","73,212.0","72,055.0","72,990.0","70,311.0","72,862.0","69,958.0","66,806.0","78,142.0","72,759.0","81,151.0","80,893.0","92,476.0","85,913.0","98,421.0","105,236.0","102,381.0","105,123.0","118,190.0","124,621.0","112,902.0","111,602.0","115,187.0","113,497.0","118,270.0","130,372.0","130,466.0","130,812.0","134,373.0","143,075.0","133,864.0","135,113.0","140,659.0","148,544.0","164,270.0","167,654.0","173,103.0","181,469.0","175,212.0","174,631.0","177,049.0","170,855.0","160,605.0","154,068.0","154,947.0","151,080.0","156,771.0","150,005.0","142,641.0","138,214.0","135,404.0","122,225.0","130,952.0","136,062.0","142,334.0","141,224.0","156,552.0","167,374.0","179,317.0","174,819.0","181,135.0","188,148.0","182,762.0","203,782.0","195,536.0","195,347.0","198,175.0","199,026.0","188,831.0","186,187.0","186,632.0","183,580.0","161,576.0","138,862.0","103,600.0","73,527.0","74,355.0","76,467.0","79,392.0","101,916.0","117,286.0","135,058.0","138,575.0","149,206.0","155,569.0","170,692.0","183,147.0","193,618.0","200,465.0","193,376.0","199,963.0"
"35","16","    Other equipment \4\","A862RC1","14,433.0","14,264.0","14,300.0","14,608.0","14,910.0","15,310.0","16,064.0","15,982.0","15,827.0","16,326.0","16,546.0","16,347.0","17,483.0","18,370.0","19,326.0","20,626.0","22,351.0","22,924.0","23,046.0","22,155.0","22,385.0","23,251.0","24,560.0","27,038.0","25,723.0","27,164.0","27,477.0","29,089.0","28,784.0","28,978.0","30,342.0","30,376.0","33,924.0","35,415.0","36,730.0","38,953.0","39,271.0","42,789.0","44,076.0","46,826.0","47,091.0","48,022.0","49,561.0","46,974.0","51,399.0","46,436.0","46,389.0","49,078.0","52,073.0","55,283.0","57,476.0","55,938.0","52,233.0","51,309.0","51,869.0","49,200.0","45,724.0","49,369.0","50,930.0","55,555.0","56,518.0","57,668.0","59,033.0","59,387.0","59,895.0","60,356.0","58,861.0","60,479.0","60,523.0","61,235.0","59,625.0","61,265.0","60,835.0","62,779.0","65,753.0","66,439.0","67,780.0","68,033.0","69,477.0","70,782.0","76,284.0","78,879.0","83,236.0","82,402.0","81,254.0","79,718.0","80,372.0","79,551.0","72,096.0","71,135.0","69,996.0","69,979.0","69,986.0","70,003.0","73,309.0","74,523.0","77,980.0","79,412.0","80,334.0","82,895.0","85,121.0","87,333.0","88,882.0","90,935.0","94,106.0","94,255.0","94,342.0","96,185.0","97,747.0","99,312.0","102,626.0","104,192.0","106,911.0","108,814.0","115,508.0","117,226.0","122,718.0","126,653.0","126,783.0","125,472.0","130,246.0","128,543.0","130,002.0","132,735.0","136,703.0","140,387.0","138,504.0","138,790.0","141,576.0","138,044.0","140,820.0","137,528.0","135,947.0","140,510.0","140,839.0","141,127.0","143,328.0","144,142.0","150,296.0","152,053.0","149,885.0","155,152.0","161,041.0","165,622.0","170,874.0","180,115.0","181,505.0","183,279.0","189,998.0","189,991.0","188,223.0","190,963.0","186,975.0","193,875.0","194,428.0","195,839.0","190,129.0","190,957.0","196,200.0","191,656.0","179,519.0","165,213.0","158,343.0","156,916.0","162,356.0","163,817.0","166,670.0","170,884.0","179,791.0","185,201.0","198,220.0","193,719.0","200,138.0","204,933.0","211,329.0","216,119.0"
"36","17","Residential","A011RC1","43,226.0","43,396.0","43,207.0","40,652.0","40,699.0","39,399.0","40,380.0","44,982.0","48,610.0","54,582.0","58,335.0","61,529.0","66,591.0","68,228.0","69,555.0","74,286.0","77,852.0","75,752.0","75,041.0","72,739.0","68,955.0","67,494.0","67,357.0","60,042.0","57,686.0","59,908.0","64,649.0","68,677.0","76,156.0","80,654.0","80,617.0","92,505.0","97,571.0","111,684.0","115,017.0","116,917.0","120,964.0","130,583.0","135,847.0","139,002.0","138,501.0","140,631.0","143,457.0","141,383.0","133,961.0","111,744.0","116,268.0","130,791.0","131,308.0","128,869.0","120,422.0","109,646.0","104,791.0","102,946.0","103,456.0","111,527.0","131,153.0","147,046.0","162,416.0","170,798.0","176,639.0","181,373.0","181,377.0","182,951.0","183,299.0","185,148.0","188,763.0","195,479.0","206,268.0","219,801.0","226,067.0","228,318.0","230,137.0","232,925.0","234,218.0","237,463.0","234,402.0","238,394.0","240,024.0","244,406.0","244,578.0","240,221.0","238,415.0","234,827.0","239,185.0","230,917.0","218,806.0","207,016.0","195,231.0","200,722.0","210,318.0","214,174.0","224,358.0","235,092.0","237,301.0","248,581.0","252,571.0","257,929.0","269,264.0","284,093.0","293,511.0","305,003.0","304,949.0","304,911.0","301,800.0","293,471.0","303,781.0","312,367.0","321,768.0","336,904.0","339,702.0","337,862.0","340,731.0","346,693.0","351,277.0","357,508.0","364,881.0","378,391.0","393,622.0","406,818.0","413,277.0","422,291.0","429,441.0","438,148.0","449,227.0","450,480.0","446,044.0","450,159.0","458,268.0","470,389.0","480,865.0","480,070.0","491,855.0","506,585.0","511,463.0","528,075.0","545,158.0","557,831.0","590,057.0","617,366.0","637,590.0","675,607.0","696,571.0","712,685.0","734,895.0","764,529.0","792,719.0","807,876.0","813,364.0","784,396.0","741,617.0","708,026.0","680,691.0","657,178.0","613,391.0","563,370.0","515,903.0","494,622.0","464,550.0","414,571.0","369,603.0","341,978.0","353,149.0","351,855.0","341,336.0","357,755.0","329,998.0","333,116.0","331,445.0","336,180.0","338,477.0","348,830.0","364,188.0","372,784.0","387,878.0","406,882.0"
"37","18","  Structures","A012RC1","42,277.0","42,390.0","42,182.0","39,592.0","39,623.0","38,303.0","39,251.0","43,799.0","47,400.0","53,322.0","57,051.0","60,171.0","65,136.0","66,736.0","67,986.0","72,658.0","76,141.0","74,021.0","73,302.0","70,964.0","67,101.0","65,569.0","65,428.0","58,226.0","55,847.0","58,024.0","62,704.0","66,669.0","74,112.0","78,557.0","78,464.0","90,311.0","95,489.0","109,360.0","112,501.0","114,250.0","118,366.0","127,863.0","133,096.0","136,135.0","135,555.0","137,516.0","140,176.0","138,057.0","130,608.0","108,462.0","112,883.0","127,307.0","127,725.0","125,309.0","116,766.0","105,984.0","101,189.0","99,258.0","99,746.0","107,771.0","127,174.0","142,930.0","158,086.0","166,343.0","172,060.0","176,649.0","176,633.0","178,138.0","178,403.0","180,148.0","183,698.0","190,216.0","200,882.0","214,361.0","220,512.0","222,704.0","224,488.0","227,231.0","228,309.0","231,495.0","228,490.0","232,328.0","233,948.0","238,215.0","238,395.0","234,046.0","232,342.0","228,663.0","233,012.0","224,863.0","212,858.0","201,159.0","189,474.0","194,875.0","204,542.0","208,560.0","218,506.0","229,209.0","231,378.0","242,555.0","246,586.0","251,860.0","263,101.0","278,025.0","287,470.0","298,799.0","298,703.0","298,494.0","295,423.0","287,204.0","297,442.0","306,040.0","315,518.0","330,527.0","333,407.0","331,462.0","334,449.0","340,441.0","345,011.0","351,230.0","358,439.0","371,759.0","386,840.0","399,912.0","406,235.0","415,063.0","421,998.0","430,648.0","441,528.0","442,688.0","438,247.0","442,284.0","450,352.0","462,490.0","472,893.0","471,921.0","483,603.0","498,307.0","503,294.0","519,838.0","537,015.0","549,514.0","581,393.0","608,566.0","628,625.0","666,504.0","687,390.0","703,274.0","725,284.0","754,732.0","782,865.0","797,785.0","802,954.0","774,167.0","731,371.0","697,804.0","670,376.0","646,944.0","603,141.0","553,148.0","505,912.0","484,585.0","454,791.0","405,346.0","360,644.0","333,266.0","344,453.0","343,132.0","332,552.0","348,829.0","321,235.0","324,336.0","322,663.0","327,281.0","329,368.0","339,563.0","354,799.0","363,490.0","378,544.0","397,470.0"
"38","19","    Permanent site","A943RC1","30,057.0","29,971.0","28,894.0","27,974.0","26,379.0","25,676.0","26,866.0","29,315.0","33,070.0","37,514.0","40,815.0","43,281.0","47,553.0","49,246.0","50,211.0","53,370.0","56,208.0","56,485.0","55,237.0","50,546.0","46,524.0","45,266.0","43,291.0","38,599.0","34,935.0","33,740.0","36,584.0","40,013.0","44,273.0","49,076.0","52,625.0","57,106.0","62,617.0","72,981.0","75,581.0","77,745.0","79,067.0","84,107.0","88,960.0","90,269.0","88,297.0","89,133.0","91,176.0","88,481.0","78,952.0","63,324.0","62,722.0","73,518.0","77,669.0","75,077.0","66,896.0","58,059.0","54,617.0","53,935.0","56,211.0","63,237.0","78,195.0","90,326.0","102,270.0","109,052.0","112,970.0","115,098.0","115,424.0","114,972.0","115,051.0","114,639.0","115,190.0","118,676.0","125,595.0","133,810.0","139,840.0","141,432.0","140,921.0","141,757.0","142,705.0","145,289.0","140,883.0","141,276.0","141,536.0","145,869.0","147,616.0","144,971.0","141,703.0","138,642.0","143,705.0","137,697.0","128,467.0","118,676.0","107,393.0","109,042.0","119,350.0","122,515.0","127,179.0","136,251.0","135,891.0","140,959.0","144,231.0","145,427.0","151,726.0","162,260.0","170,104.0","178,527.0","178,904.0","178,025.0","174,600.0","165,280.0","169,412.0","176,323.0","183,031.0","193,639.0","194,787.0","192,999.0","193,921.0","197,078.0","197,840.0","203,409.0","208,880.0","217,401.0","229,865.0","239,787.0","245,191.0","247,670.0","251,963.0","260,260.0","268,491.0","267,563.0","260,827.0","263,307.0","270,522.0","278,395.0","285,508.0","283,139.0","286,584.0","297,149.0","300,953.0","310,678.0","326,239.0","329,737.0","349,127.0","377,661.0","390,922.0","413,433.0","429,200.0","436,450.0","454,215.0","470,545.0","490,128.0","508,345.0","517,522.0","487,781.0","450,846.0","419,043.0","393,519.0","373,633.0","345,029.0","304,395.0","266,335.0","247,950.0","218,888.0","187,284.0","149,899.0","124,097.0","130,048.0","131,448.0","130,769.0","133,282.0","124,491.0","120,479.0","120,871.0","120,072.0","123,665.0","127,196.0","134,720.0","142,920.0","154,072.0","168,388.0"
"39","20","      Single family","A944RC1","21,027.0","20,222.0","19,228.0","18,307.0","16,966.0","16,501.0","17,447.0","19,250.0","22,045.0","25,332.0","27,148.0","28,699.0","31,379.0","32,164.0","32,967.0","34,882.0","36,900.0","36,877.0","35,111.0","31,836.0","29,693.0","30,499.0","30,303.0","28,305.0","26,427.0","27,337.0","30,819.0","33,973.0","38,248.0","42,788.0","45,574.0","48,830.0","53,733.0","62,844.0","64,986.0","67,293.0","68,238.0","71,509.0","75,122.0","76,206.0","73,719.0","72,587.0","73,249.0","69,472.0","60,089.0","47,081.0","47,562.0","56,952.0","58,957.0","56,624.0","49,904.0","42,376.0","39,020.0","39,001.0","40,749.0","47,078.0","59,397.0","69,142.0","78,542.0","82,974.0","86,156.0","87,861.0","86,039.0","85,524.0","86,000.0","86,186.0","86,755.0","90,459.0","95,723.0","101,612.0","108,682.0","110,508.0","113,243.0","116,294.0","118,597.0","120,730.0","117,767.0","119,560.0","119,608.0","123,437.0","124,977.0","121,852.0","118,919.0","117,968.0","123,683.0","118,177.0","109,297.0","100,387.0","90,074.0","93,769.0","105,338.0","108,528.0","113,921.0","121,201.0","123,422.0","129,361.0","133,663.0","135,112.0","140,489.0","151,228.0","158,422.0","165,220.0","163,771.0","161,822.0","157,431.0","148,221.0","151,001.0","157,407.0","163,097.0","171,961.0","175,289.0","172,814.0","172,004.0","174,162.0","175,454.0","179,096.0","184,636.0","193,720.0","205,023.0","214,257.0","218,791.0","220,683.0","223,627.0","232,247.0","240,565.0","238,886.0","233,298.0","234,403.0","240,987.0","248,587.0","255,075.0","251,695.0","254,363.0","263,992.0","267,843.0","277,358.0","291,450.0","295,288.0","313,658.0","341,904.0","354,101.0","374,454.0","387,704.0","393,969.0","410,213.0","424,145.0","441,410.0","458,272.0","465,619.0","435,166.0","398,697.0","364,506.0","339,827.0","324,087.0","297,982.0","258,844.0","221,280.0","202,112.0","173,993.0","145,719.0","112,085.0","92,919.0","105,032.0","111,304.0","114,677.0","118,761.0","110,431.0","106,406.0","107,377.0","106,053.0","108,212.0","111,073.0","117,053.0","122,341.0","131,911.0","143,783.0"
"40","21","      Multifamily","C292RC1","9,030.0","9,749.0","9,666.0","9,667.0","9,413.0","9,175.0","9,419.0","10,065.0","11,025.0","12,182.0","13,667.0","14,582.0","16,174.0","17,082.0","17,244.0","18,488.0","19,308.0","19,608.0","20,126.0","18,710.0","16,831.0","14,767.0","12,988.0","10,294.0","8,508.0","6,403.0","5,765.0","6,040.0","6,025.0","6,288.0","7,051.0","8,276.0","8,884.0","10,137.0","10,595.0","10,452.0","10,829.0","12,598.0","13,838.0","14,063.0","14,578.0","16,546.0","17,927.0","19,009.0","18,863.0","16,243.0","15,160.0","16,566.0","18,712.0","18,453.0","16,992.0","15,683.0","15,597.0","14,934.0","15,462.0","16,159.0","18,798.0","21,184.0","23,728.0","26,078.0","26,814.0","27,237.0","29,385.0","29,448.0","29,051.0","28,453.0","28,435.0","28,217.0","29,872.0","32,198.0","31,158.0","30,924.0","27,678.0","25,463.0","24,108.0","24,559.0","23,116.0","21,716.0","21,928.0","22,432.0","22,639.0","23,119.0","22,784.0","20,674.0","20,022.0","19,519.0","19,170.0","18,288.0","17,318.0","15,274.0","14,013.0","13,987.0","13,258.0","15,050.0","12,469.0","11,598.0","10,568.0","10,315.0","11,237.0","11,032.0","11,682.0","13,307.0","15,133.0","16,202.0","17,170.0","17,060.0","18,411.0","18,916.0","19,934.0","21,678.0","19,498.0","20,185.0","21,918.0","22,917.0","22,385.0","24,312.0","24,244.0","23,681.0","24,842.0","25,530.0","26,400.0","26,987.0","28,336.0","28,013.0","27,926.0","28,677.0","27,529.0","28,904.0","29,535.0","29,808.0","30,433.0","31,444.0","32,221.0","33,157.0","33,110.0","33,320.0","34,789.0","34,449.0","35,469.0","35,757.0","36,821.0","38,979.0","41,496.0","42,481.0","44,002.0","46,400.0","48,718.0","50,073.0","51,903.0","52,615.0","52,149.0","54,537.0","53,692.0","49,547.0","47,047.0","45,550.0","45,055.0","45,837.0","44,895.0","41,565.0","37,814.0","31,178.0","25,016.0","20,144.0","16,092.0","14,520.0","14,060.0","14,072.0","13,494.0","14,019.0","15,453.0","16,123.0","17,667.0","20,579.0","22,161.0","24,606.0"
"41","22","    Other structures \5\","A863RC1","12,220.0","12,419.0","13,288.0","11,618.0","13,244.0","12,627.0","12,385.0","14,484.0","14,330.0","15,808.0","16,236.0","16,890.0","17,583.0","17,490.0","17,775.0","19,288.0","19,933.0","17,536.0","18,065.0","20,418.0","20,577.0","20,303.0","22,137.0","19,627.0","20,912.0","24,284.0","26,120.0","26,656.0","29,839.0","29,481.0","25,839.0","33,205.0","32,872.0","36,379.0","36,920.0","36,505.0","39,299.0","43,756.0","44,136.0","45,866.0","47,258.0","48,383.0","49,000.0","49,576.0","51,656.0","45,138.0","50,161.0","53,789.0","50,056.0","50,232.0","49,870.0","47,925.0","46,572.0","45,323.0","43,535.0","44,534.0","48,979.0","52,604.0","55,816.0","57,291.0","59,090.0","61,551.0","61,209.0","63,166.0","63,352.0","65,509.0","68,508.0","71,540.0","75,287.0","80,551.0","80,672.0","81,272.0","83,567.0","85,474.0","85,604.0","86,206.0","87,607.0","91,052.0","92,412.0","92,346.0","90,779.0","89,075.0","90,639.0","90,021.0","89,307.0","87,166.0","84,391.0","82,483.0","82,081.0","85,833.0","85,192.0","86,045.0","91,327.0","92,958.0","95,487.0","101,596.0","102,355.0","106,433.0","111,375.0","115,765.0","117,366.0","120,272.0","119,799.0","120,469.0","120,823.0","121,924.0","128,030.0","129,717.0","132,487.0","136,888.0","138,620.0","138,463.0","140,528.0","143,363.0","147,171.0","147,821.0","149,559.0","154,358.0","156,975.0","160,125.0","161,044.0","167,393.0","170,035.0","170,388.0","173,037.0","175,125.0","177,420.0","178,977.0","179,830.0","184,095.0","187,385.0","188,782.0","197,019.0","201,158.0","202,341.0","209,160.0","210,776.0","219,777.0","232,266.0","230,905.0","237,703.0","253,071.0","258,190.0","266,824.0","271,069.0","284,187.0","292,737.0","289,440.0","285,432.0","286,386.0","280,525.0","278,761.0","276,857.0","273,311.0","258,112.0","248,753.0","239,577.0","236,635.0","235,903.0","218,062.0","210,745.0","209,169.0","214,405.0","211,684.0","201,783.0","215,547.0","196,744.0","203,857.0","201,792.0","207,209.0","205,703.0","212,367.0","220,079.0","220,570.0","224,472.0","229,082.0"
"42","23","  Equipment","B013RC1","949.0","1,006.0","1,025.0","1,060.0","1,076.0","1,096.0","1,129.0","1,183.0","1,210.0","1,260.0","1,284.0","1,358.0","1,455.0","1,492.0","1,569.0","1,628.0","1,711.0","1,731.0","1,739.0","1,775.0","1,854.0","1,925.0","1,929.0","1,816.0","1,839.0","1,884.0","1,945.0","2,008.0","2,044.0","2,097.0","2,153.0","2,194.0","2,082.0","2,324.0","2,516.0","2,667.0","2,598.0","2,720.0","2,751.0","2,867.0","2,946.0","3,115.0","3,281.0","3,326.0","3,353.0","3,282.0","3,385.0","3,484.0","3,583.0","3,560.0","3,656.0","3,662.0","3,602.0","3,688.0","3,710.0","3,756.0","3,979.0","4,116.0","4,330.0","4,455.0","4,579.0","4,724.0","4,744.0","4,813.0","4,896.0","5,000.0","5,065.0","5,263.0","5,386.0","5,440.0","5,555.0","5,614.0","5,649.0","5,694.0","5,909.0","5,968.0","5,912.0","6,066.0","6,076.0","6,191.0","6,183.0","6,175.0","6,073.0","6,164.0","6,173.0","6,054.0","5,948.0","5,857.0","5,757.0","5,847.0","5,776.0","5,614.0","5,852.0","5,883.0","5,923.0","6,026.0","5,985.0","6,069.0","6,163.0","6,068.0","6,041.0","6,204.0","6,246.0","6,417.0","6,377.0","6,267.0","6,339.0","6,327.0","6,250.0","6,377.0","6,295.0","6,400.0","6,282.0","6,252.0","6,266.0","6,278.0","6,442.0","6,632.0","6,782.0","6,906.0","7,042.0","7,228.0","7,443.0","7,500.0","7,699.0","7,792.0","7,797.0","7,875.0","7,916.0","7,899.0","7,972.0","8,149.0","8,252.0","8,278.0","8,169.0","8,237.0","8,143.0","8,317.0","8,664.0","8,800.0","8,965.0","9,103.0","9,181.0","9,411.0","9,611.0","9,797.0","9,854.0","10,091.0","10,410.0","10,229.0","10,246.0","10,222.0","10,315.0","10,234.0","10,250.0","10,222.0","9,991.0","10,037.0","9,759.0","9,225.0","8,959.0","8,712.0","8,696.0","8,723.0","8,784.0","8,926.0","8,763.0","8,780.0","8,782.0","8,899.0","9,109.0","9,267.0","9,389.0","9,294.0","9,334.0","9,412.0"
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","24","  Private fixed investment in structures","A349RC1","78,071.0","79,061.0","81,112.0","78,989.0","79,114.0","78,615.0","79,828.0","84,567.0","88,904.0","95,658.0","100,170.0","103,928.0","110,917.0","113,343.0","115,300.0","121,648.0","127,468.0","128,081.0","130,133.0","128,678.0","126,085.0","126,902.0","126,845.0","121,440.0","117,529.0","118,433.0","123,979.0","128,703.0","138,211.0","143,614.0","145,147.0","158,132.0","165,221.0","182,991.0","188,910.0","192,790.0","198,384.0","218,122.0","231,655.0","241,633.0","243,434.0","250,360.0","261,990.0","266,325.0","263,165.0","240,761.0","248,652.0","271,363.0","277,742.0","286,319.0","286,509.0","294,469.0","287,811.0","281,708.0","272,672.0","276,028.0","285,755.0","292,432.0","310,734.0","322,987.0","337,795.0","352,456.0","359,161.0","363,657.0","373,278.0","375,384.0","375,908.0","385,967.0","392,554.0","388,865.0","389,533.0","393,615.0","391,409.0","396,807.0","405,894.0","414,223.0","407,104.0","416,479.0","417,400.0","423,158.0","427,900.0","423,611.0","430,081.0","426,719.0","437,149.0","429,435.0","418,374.0","398,602.0","384,375.0","384,763.0","382,027.0","380,711.0","388,437.0","399,849.0","404,425.0","419,226.0","420,267.0","426,943.0","440,562.0","460,405.0","463,686.0","486,170.0","488,131.0","492,555.0","496,774.0","493,944.0","507,961.0","516,512.0","529,924.0","550,433.0","558,863.0","570,026.0","577,461.0","583,507.0","600,087.0","611,141.0","619,164.0","649,478.0","666,952.0","681,872.0","689,052.0","696,277.0","704,956.0","719,437.0","739,357.0","755,680.0","766,471.0","775,817.0","779,360.0","797,743.0","815,472.0","783,905.0","781,441.0","783,116.0","777,906.0","793,583.0","811,261.0","832,101.0","865,453.0","895,137.0","919,451.0","967,414.0","999,822.0","1,025,712.0","1,063,703.0","1,101,259.0","1,135,209.0","1,167,511.0","1,199,733.0","1,202,731.0","1,179,004.0","1,159,512.0","1,149,882.0","1,159,279.0","1,148,670.0","1,115,315.0","1,076,771.0","1,074,194.0","1,049,532.0","995,352.0","891,181.0","800,380.0","765,480.0","728,730.0","695,283.0","725,423.0","698,301.0","713,340.0","685,086.0","724,293.0","751,167.0","777,719.0","809,482.0","822,415.0","838,654.0","877,336.0"
"45","25","  Private fixed investment in equipment and software","A327RC1","66,155.0","67,376.0","69,032.0","69,290.0","69,734.0","70,213.0","71,156.0","68,309.0","70,098.0","72,291.0","72,994.0","75,601.0","79,019.0","81,196.0","83,346.0","89,239.0","94,497.0","99,758.0","101,883.0","103,946.0","105,464.0","107,996.0","113,015.0","113,961.0","111,155.0","112,292.0","115,220.0","118,588.0","121,888.0","125,500.0","130,582.0","136,299.0","146,536.0","152,448.0","158,581.0","168,585.0","172,934.0","188,505.0","194,747.0","202,665.0","213,829.0","215,208.0","223,747.0","224,649.0","232,116.0","221,929.0","228,681.0","235,669.0","246,630.0","253,362.0","262,300.0","262,957.0","260,166.0","253,258.0","250,200.0","246,738.0","245,898.0","257,470.0","271,159.0","293,763.0","298,903.0","313,333.0","322,954.0","332,618.0","330,510.0","338,285.0","335,008.0","343,095.0","340,918.0","348,452.0","349,991.0","355,869.0","345,565.0","354,281.0","362,572.0","360,461.0","373,473.0","384,244.0","390,120.0","400,384.0","407,986.0","418,517.0","430,280.0","423,929.0","428,911.0","419,343.0","426,548.0","427,323.0","419,063.0","417,325.0","422,386.0","422,497.0","421,562.0","442,356.0","451,905.0","466,072.0","475,097.0","491,271.0","496,194.0","519,381.0","534,624.0","539,336.0","551,537.0","577,977.0","602,699.0","604,991.0","606,982.0","621,689.0","633,262.0","646,937.0","669,810.0","678,443.0","693,344.0","713,114.0","746,806.0","745,182.0","770,706.0","784,723.0","793,330.0","822,033.0","844,953.0","873,399.0","898,977.0","895,717.0","933,407.0","964,854.0","968,000.0","967,073.0","952,593.0","913,280.0","885,038.0","873,453.0","859,910.0","851,782.0","854,193.0","837,783.0","831,555.0","849,545.0","875,418.0","892,653.0","882,767.0","912,607.0","940,707.0","966,109.0","976,402.0","998,165.0","1,020,440.0","1,026,629.0","1,070,873.0","1,076,938.0","1,085,322.0","1,094,609.0","1,110,447.0","1,122,846.0","1,125,372.0","1,132,632.0","1,128,424.0","1,109,477.0","1,080,932.0","1,000,137.0","921,368.0","897,602.0","900,607.0","908,482.0","931,890.0","957,544.0","985,515.0","1,008,579.0","1,037,173.0","1,059,881.0","1,106,677.0","1,131,249.0","1,150,169.0","1,164,506.0","1,159,234.0","1,195,030.0"
