"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"54","34","  Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,027,188.0","1,038,628.0","1,023,175.0","1,054,955.0","1,097,855.0"
"55","35","    Imputations (135+142)","A2094C1","13,407.0","15,231.0","16,747.0","18,061.0","19,499.0","20,840.0","22,898.0","25,285.0","27,900.0","28,508.0","29,332.0","31,924.0","35,350.0","38,613.0","41,321.0","44,477.0","47,301.0","50,172.0","54,834.0","58,429.0","63,224.0","67,162.0","72,039.0","74,526.0","74,520.0","78,119.0","78,245.0","80,814.0","83,744.0","85,520.0","88,574.0","91,458.0","96,636.0","104,303.0","110,606.0","117,831.0","125,354.0","133,141.0","141,792.0","145,575.0","153,123.0","153,946.0","156,290.0"
"56","36","    Excluding imputations (34-35)","A2095C1","70,449.0","76,182.0","83,746.0","89,867.0","97,721.0","104,062.0","112,394.0","121,103.0","131,764.0","142,390.0","150,769.0","168,406.0","200,294.0","202,320.0","221,960.0","245,296.0","260,832.0","273,201.0","292,711.0","316,035.0","335,643.0","357,828.0","385,052.0","408,850.0","428,605.0","467,129.0","479,658.0","499,940.0","527,871.0","553,953.0","585,011.0","617,098.0","631,054.0","658,488.0","696,196.0","745,571.0","804,822.0","853,668.0","885,396.0","893,053.0","870,052.0","901,009.0","941,565.0"
"57","37","  Less: Subsidies","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,575.0","52,917.0","59,672.0","56,981.0","61,647.0"
"58","38","    Imputations (136)","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","105.0","99.0","131.0","223.0","253.0","288.0","270.0","276.0","180.0","172.0","159.0","181.0","208.0","216.0","298.0","309.0","500.0","261.0","265.0","309.0","338.0","463.0","417.0","533.0","256.0","582.0","1,387.0","4,041.0","2,083.0","7,940.0","3,588.0","1,982.0","1,512.0","965.0"
"59","39","    Excluding imputations (37-38)","A2096C1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","6,979.0","8,831.0","8,432.0","9,669.0","11,250.0","14,764.0","21,016.0","20,795.0","21,084.0","24,715.0","30,110.0","29,343.0","27,247.0","26,785.0","27,272.0","29,790.0","36,372.0","32,023.0","34,551.0","34,969.0","33,501.0","36,030.0","44,746.0","45,423.0","58,189.0","41,134.0","48,475.0","44,999.0","56,872.0","49,269.0","46,635.0","49,329.0","57,690.0","55,469.0","60,682.0"
"60","40","  Net operating surplus","W271RC1","225,458.0","219,305.0","243,324.0","275,354.0","310,242.0","314,086.0","351,028.0","392,300.0","443,989.0","508,776.0","546,416.0","560,566.0","652,923.0","669,155.0","756,119.0","910,647.0","970,991.0","995,932.0","1,078,129.0","1,198,959.0","1,270,550.0","1,298,565.0","1,317,313.0","1,400,278.0","1,486,676.0","1,641,907.0","1,770,313.0","1,959,010.0","2,134,699.0","2,227,359.0","2,342,635.0","2,444,890.0","2,479,791.0","2,521,612.0","2,625,443.0","2,926,266.0","3,235,953.0","3,539,747.0","3,437,544.0","3,375,118.0","3,218,373.0","3,626,992.0","3,767,551.0"
"61","41","    Imputations (138+139+167+179+183)","W517RC1","42,445.0","46,114.0","50,606.0","55,216.0","59,988.0","67,378.0","77,775.0","81,742.0","89,275.0","103,694.0","116,531.0","130,634.0","145,530.0","163,280.0","199,247.0","213,473.0","244,633.0","273,291.0","287,230.0","304,929.0","316,296.0","341,664.0","369,054.0","402,754.0","425,592.0","451,353.0","473,679.0","505,050.0","541,004.0","575,656.0","623,726.0","666,571.0","697,217.0","715,421.0","708,309.0","743,530.0","787,185.0","817,235.0","869,926.0","958,102.0","942,856.0","962,613.0","971,566.0"
"62","42","    Excluding imputations (40-41)","W518RC1","183,013.0","173,191.0","192,718.0","220,138.0","250,254.0","246,708.0","273,253.0","310,558.0","354,714.0","405,082.0","429,885.0","429,932.0","507,393.0","505,875.0","556,872.0","697,174.0","726,358.0","722,641.0","790,899.0","894,030.0","954,254.0","956,901.0","948,259.0","997,524.0","1,061,084.0","1,190,554.0","1,296,634.0","1,453,960.0","1,593,695.0","1,651,703.0","1,718,909.0","1,778,319.0","1,782,574.0","1,806,191.0","1,917,134.0","2,182,736.0","2,448,768.0","2,722,512.0","2,567,618.0","2,417,016.0","2,275,517.0","2,664,379.0","2,795,985.0"
"63","43","    Net interest and miscellaneous payments","W272RC1","33,217.0","39,861.0","44,155.0","48,876.0","57,501.0","72,693.0","83,207.0","85,201.0","99,828.0","116,216.0","141,475.0","183,014.0","228,923.0","267,007.0","283,111.0","327,128.0","352,829.0","387,161.0","395,650.0","418,060.0","474,019.0","483,577.0","462,036.0","428,697.0","407,025.0","412,103.0","417,514.0","437,243.0","487,252.0","560,208.0","569,873.0","642,452.0","656,926.0","609,565.0","595,487.0","569,295.0","678,932.0","830,051.0","952,123.0","1,096,802.0","841,905.0","753,026.0","706,394.0"
"64","44","      Imputations (183)","A2104C1","26,849.0","30,532.0","33,904.0","38,374.0","43,411.0","50,827.0","61,905.0","66,196.0","76,123.0","89,586.0","102,363.0","114,859.0","127,563.0","148,344.0","185,116.0","200,083.0","233,679.0","265,036.0","276,674.0","287,759.0","298,310.0","320,066.0","341,302.0","359,997.0","356,260.0","357,445.0","373,375.0","393,504.0","421,272.0","443,768.0","474,510.0","512,007.0","531,487.0","553,843.0","555,342.0","594,528.0","653,796.0","719,537.0","790,689.0","824,239.0","747,606.0","721,821.0","689,046.0"
"65","45","      Excluding imputations (43-44)","A2105C1","6,368.0","9,329.0","10,251.0","10,502.0","14,090.0","21,866.0","21,302.0","19,005.0","23,705.0","26,630.0","39,112.0","68,155.0","101,360.0","118,663.0","97,995.0","127,045.0","119,150.0","122,125.0","118,976.0","130,301.0","175,709.0","163,511.0","120,734.0","68,700.0","50,765.0","54,658.0","44,139.0","43,739.0","65,980.0","116,440.0","95,363.0","130,445.0","125,439.0","55,722.0","40,145.0","-25,233.0","25,136.0","110,514.0","161,434.0","272,563.0","94,299.0","31,205.0","17,348.0"
"66","46","    Business current transfer payments (net)","B029RC1","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","103,326.0","122,993.0","133,371.0","140,009.0","132,622.0"
"67","47","      Imputations(138)","W536RC1","-27.0","-19.0","71.0","173.0","104.0","-286.0","-221.0","136.0","423.0","501.0","-70.0","-324.0","187.0","39.0","-120.0","-144.0","-297.0","953.0","1,567.0","669.0","-899.0","-756.0","-568.0","-1,433.0","1,530.0","1,772.0","1,662.0","-668.0","4,552.0","1,767.0","2,006.0","829.0","-991.0","2,594.0","4,356.0","5,773.0","11,252.0","10,675.0","8,915.0","3,180.0","5,663.0","3,863.0","-2,030.0"
"68","48","      Excluding imputations (46-47)","W530RC1","4,968.0","4,538.0","4,253.0","4,757.0","5,866.0","7,419.0","9,629.0","9,384.0","8,042.0","10,314.0","13,398.0","15,056.0","17,725.0","20,573.0","22,721.0","30,434.0","35,502.0","35,897.0","32,494.0","32,952.0","40,078.0","40,868.0","40,504.0","42,106.0","38,962.0","40,154.0","44,176.0","54,427.0","46,734.0","63,432.0","66,945.0","86,134.0","102,249.0","79,772.0","71,789.0","75,913.0","84,624.0","72,284.0","94,411.0","119,813.0","127,708.0","136,146.0","134,652.0"
"69","49","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,097,887.0","979,406.0","1,103,365.0","1,157,328.0"
"70","50","      Imputations(167+179)","A2101C1","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,055.0","3,570.0","3,309.0","3,099.0","2,885.0","2,928.0","2,399.0","3,253.0","3,013.0","3,380.0","2,754.0","2,988.0","3,062.0","2,849.0","3,226.0","2,777.0","2,816.0","3,022.0","3,091.0","3,693.0","4,283.0","3,638.0","2,241.0","643.0","135.0","776.0","689.0"
"71","51","      Excluding imputations (49-50)","A2102C1","76,756.0","77,715.0","83,819.0","95,025.0","112,266.0","112,104.0","118,125.0","130,111.0","143,228.0","164,418.0","177,860.0","171,126.0","179,558.0","172,914.0","187,794.0","230,085.0","243,048.0","258,993.0","290,938.0","331,740.0","348,691.0","362,216.0","364,882.0","411,668.0","446,603.0","481,725.0","513,271.0","580,695.0","625,171.0","684,682.0","743,576.0","814,681.0","867,909.0","887,270.0","927,555.0","1,030,063.0","1,065,499.0","1,129,323.0","1,088,121.0","1,097,244.0","979,271.0","1,102,589.0","1,156,639.0"
"72","52","    Rental income of persons with capital consumption adjustment","A048RC1","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","143,746.0","231,617.0","289,721.0","349,196.0","409,685.0"
"73","53","      Imputations (139)","B1156C1","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","68,081.0","130,040.0","189,452.0","236,153.0","283,861.0"
"74","54","      Excluding imputations (52-53)","A2103C1","6,025.0","6,235.0","6,416.0","7,485.0","8,792.0","8,590.0","8,759.0","8,804.0","9,697.0","10,363.0","11,655.0","14,736.0","20,737.0","25,072.0","26,770.0","29,480.0","33,655.0","30,095.0","28,504.0","26,830.0","26,414.0","30,378.0","35,660.0","43,682.0","49,300.0","54,158.0","58,679.0","61,214.0","64,430.0","64,196.0","64,172.0","64,317.0","68,466.0","62,776.0","58,643.0","58,847.0","60,356.0","63,135.0","75,665.0","101,577.0","100,269.0","113,043.0","125,824.0"
"75","55","  Consumption of fixed capital","A262RC1","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,767,511.0","1,854,077.0","1,866,319.0","1,873,441.0","1,936,778.0"
"76","56","    Imputations (140+144+181)","A2092C1","34,647.0","37,252.0","39,910.0","42,341.0","46,073.0","52,654.0","58,807.0","63,384.0","69,422.0","77,330.0","86,676.0","98,637.0","110,780.0","120,507.0","126,666.0","134,616.0","142,852.0","153,028.0","164,231.0","175,773.0","188,235.0","201,349.0","212,748.0","221,471.0","233,538.0","245,142.0","257,626.0","266,428.0","277,032.0","288,933.0","306,372.0","326,673.0","344,754.0","359,923.0","380,196.0","412,271.0","450,193.0","488,908.0","524,686.0","550,183.0","559,129.0","569,078.0","588,650.0"
"77","57","    Excluding imputations (55-56)","A2093C1","64,544.0","71,061.0","77,863.0","84,810.0","94,709.0","111,032.0","131,572.0","144,786.0","162,354.0","184,084.0","212,225.0","245,448.0","282,562.0","313,035.0","324,439.0","339,731.0","362,591.0","385,447.0","406,863.0","435,241.0","463,217.0","489,853.0","511,612.0","522,880.0","544,477.0","574,025.0","611,834.0","646,089.0","686,773.0","731,614.0","788,018.0","857,651.0","911,467.0","945,056.0","973,856.0","1,020,494.0","1,091,182.0","1,171,769.0","1,242,825.0","1,303,894.0","1,307,190.0","1,304,363.0","1,348,128.0"
"78",NA,"          Personal income, outlays, and saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","58","Personal income","A065RC1","778,327.0","838,579.0","903,097.0","992,638.0","1,110,545.0","1,222,744.0","1,334,861.0","1,474,655.0","1,632,503.0","1,836,727.0","2,059,527.0","2,301,516.0","2,582,276.0","2,766,817.0","2,952,169.0","3,268,868.0","3,496,687.0","3,696,026.0","3,924,366.0","4,231,243.0","4,557,472.0","4,846,723.0","5,031,501.0","5,347,262.0","5,568,148.0","5,874,816.0","6,200,911.0","6,591,578.0","7,000,742.0","7,525,376.0","7,910,833.0","8,559,433.0","8,883,292.0","9,060,097.0","9,378,125.0","9,937,237.0","10,485,882.0","11,268,077.0","11,912,258.0","12,460,157.0","11,866,995.0","12,321,887.0","12,947,274.0"
"80","59","  Imputations (139-136+147+160-164+167+171+172+173+174+179)","A2106C1","37,993.0","42,094.0","45,787.0","49,448.0","52,283.0","58,969.0","70,719.0","75,589.0","81,872.0","94,659.0","102,313.0","112,398.0","123,943.0","139,753.0","172,668.0","178,189.0","198,974.0","210,042.0","225,792.0","248,662.0","264,374.0","295,322.0","331,767.0","386,393.0","429,406.0","466,408.0","466,849.0","493,848.0","512,814.0","560,029.0","620,578.0","672,580.0","718,290.0","741,401.0","761,131.0","804,433.0","820,513.0","798,299.0","822,768.0","929,225.0","971,886.0","1,035,516.0","1,105,107.0"
"81","60","  Excluding imputations (58-59)","A2107C1","740,334.0","796,485.0","857,310.0","943,190.0","1,058,262.0","1,163,775.0","1,264,142.0","1,399,066.0","1,550,631.0","1,742,068.0","1,957,214.0","2,189,118.0","2,458,333.0","2,627,064.0","2,779,501.0","3,090,679.0","3,297,713.0","3,485,984.0","3,698,574.0","3,982,581.0","4,293,098.0","4,551,401.0","4,699,734.0","4,960,869.0","5,138,742.0","5,408,408.0","5,734,062.0","6,097,730.0","6,487,928.0","6,965,347.0","7,290,255.0","7,886,853.0","8,165,002.0","8,318,696.0","8,616,994.0","9,132,804.0","9,665,369.0","10,469,778.0","11,089,490.0","11,530,932.0","10,895,109.0","11,286,371.0","11,842,167.0"
"82","61","  Compensation of employees, received","W209RC1","577,611.0","617,218.0","658,329.0","725,134.0","811,281.0","890,729.0","949,045.0","1,059,242.0","1,180,425.0","1,335,185.0","1,498,471.0","1,647,612.0","1,819,605.0","1,919,646.0","2,035,978.0","2,245,226.0","2,411,978.0","2,557,654.0","2,735,638.0","2,954,156.0","3,131,317.0","3,326,207.0","3,438,380.0","3,647,184.0","3,790,648.0","3,980,915.0","4,178,809.0","4,387,716.0","4,668,553.0","5,023,947.0","5,348,788.0","5,788,849.0","5,979,318.0","6,110,816.0","6,367,589.0","6,708,407.0","7,060,041.0","7,475,746.0","7,862,151.0","8,073,313.0","7,794,358.0","7,970,008.0","8,295,232.0"
"83","62","    Imputations (170)","A2099C1","15,217.0","17,619.0","19,315.0","21,900.0","24,123.0","27,829.0","33,460.0","40,652.0","47,634.0","55,638.0","63,154.0","72,670.0","84,273.0","95,848.0","104,998.0","113,809.0","124,164.0","132,008.0","140,970.0","158,022.0","175,128.0","194,572.0","210,855.0","235,747.0","255,090.0","266,853.0","264,039.0","267,333.0","271,473.0","292,469.0","324,384.0","361,614.0","392,229.0","418,646.0","457,531.0","492,537.0","529,055.0","543,100.0","564,865.0","580,537.0","592,289.0","600,803.0","627,628.0"
"84","63","    Excluding imputations (61-62)","W519RC1","562,394.0","599,599.0","639,014.0","703,234.0","787,158.0","862,900.0","915,585.0","1,018,590.0","1,132,791.0","1,279,547.0","1,435,317.0","1,574,942.0","1,735,332.0","1,823,798.0","1,930,980.0","2,131,417.0","2,287,814.0","2,425,646.0","2,594,668.0","2,796,134.0","2,956,189.0","3,131,635.0","3,227,525.0","3,411,437.0","3,535,558.0","3,714,062.0","3,914,770.0","4,120,383.0","4,397,080.0","4,731,478.0","5,024,404.0","5,427,235.0","5,587,089.0","5,692,170.0","5,910,058.0","6,215,870.0","6,530,986.0","6,932,646.0","7,297,286.0","7,492,776.0","7,202,069.0","7,369,205.0","7,667,604.0"
"85","64","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,097,887.0","979,406.0","1,103,365.0","1,157,328.0"
"86","65","    Imputations (167+179)","A2101C1","752.0","762.0","864.0","1,011.0","1,361.0","1,379.0","1,483.0","2,129.0","2,801.0","3,086.0","3,250.0","2,341.0","2,058.0","1,919.0","2,856.0","2,984.0","3,055.0","3,570.0","3,309.0","3,099.0","2,885.0","2,928.0","2,399.0","3,253.0","3,013.0","3,380.0","2,754.0","2,988.0","3,062.0","2,849.0","3,226.0","2,777.0","2,816.0","3,022.0","3,091.0","3,693.0","4,283.0","3,638.0","2,241.0","643.0","135.0","776.0","689.0"
"87","66","    Excluding imputations (64-65)","A2102C1","76,756.0","77,715.0","83,819.0","95,025.0","112,266.0","112,104.0","118,125.0","130,111.0","143,228.0","164,418.0","177,860.0","171,126.0","179,558.0","172,914.0","187,794.0","230,085.0","243,048.0","258,993.0","290,938.0","331,740.0","348,691.0","362,216.0","364,882.0","411,668.0","446,603.0","481,725.0","513,271.0","580,695.0","625,171.0","684,682.0","743,576.0","814,681.0","867,909.0","887,270.0","927,555.0","1,030,063.0","1,065,499.0","1,129,323.0","1,088,121.0","1,097,244.0","979,271.0","1,102,589.0","1,156,639.0"
"88","67","  Rental income of persons with capital consumption adjustment","A048RC1","20,896.0","21,074.0","22,183.0","23,143.0","23,904.0","24,048.0","23,367.0","22,085.0","19,625.0","20,884.0","22,643.0","28,494.0","36,459.0","38,050.0","38,165.0","40,030.0","41,851.0","33,827.0","34,184.0","40,232.0","42,414.0","49,804.0","61,581.0","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0","143,746.0","231,617.0","289,721.0","349,196.0","409,685.0"
"89","68","    Imputations (139)","B1156C1","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","68,081.0","130,040.0","189,452.0","236,153.0","283,861.0"
"90","69","    Excluding imputations (67-68)","A2103C1","6,025.0","6,235.0","6,416.0","7,485.0","8,792.0","8,590.0","8,759.0","8,804.0","9,697.0","10,363.0","11,655.0","14,736.0","20,737.0","25,072.0","26,770.0","29,480.0","33,655.0","30,095.0","28,504.0","26,830.0","26,414.0","30,378.0","35,660.0","43,682.0","49,300.0","54,158.0","58,679.0","61,214.0","64,430.0","64,196.0","64,172.0","64,317.0","68,466.0","62,776.0","58,643.0","58,847.0","60,356.0","63,135.0","75,665.0","101,577.0","100,269.0","113,043.0","125,824.0"
"91","70","  Personal interest income","A064RC1","59,896.0","69,199.0","75,945.0","82,774.0","94,783.0","113,184.0","129,251.0","139,477.0","160,583.0","184,048.0","217,303.0","274,687.0","348,298.0","410,790.0","446,299.0","517,238.0","555,831.0","588,423.0","603,648.0","637,297.0","716,996.0","751,945.0","748,233.0","722,160.0","698,109.0","712,700.0","751,922.0","784,372.0","835,771.0","919,345.0","910,889.0","984,168.0","976,472.0","911,857.0","889,775.0","860,199.0","986,974.0","1,127,482.0","1,265,145.0","1,381,997.0","1,093,275.0","1,016,593.0","1,008,802.0"
"92","71","    Imputations (147+160-164)","W520RC1","7,567.0","9,484.0","10,661.0","11,774.0","12,470.0","15,216.0","22,522.0","21,040.0","23,024.0","26,717.0","26,358.0","25,244.0","23,716.0","30,789.0","55,427.0","52,854.0","65,736.0","72,997.0","78,227.0","76,800.0","73,209.0","81,599.0","96,165.0","110,937.0","110,984.0","111,403.0","107,510.0","117,518.0","129,349.0","140,667.0","152,412.0","160,833.0","163,370.0","167,856.0","159,782.0","174,565.0","178,003.0","175,241.0","200,532.0","226,967.0","198,444.0","206,636.0","202,400.0"
"93","72","    Excluding imputations (70-71)","W521RC1","52,329.0","59,715.0","65,284.0","71,000.0","82,313.0","97,968.0","106,729.0","118,437.0","137,559.0","157,331.0","190,945.0","249,443.0","324,582.0","380,001.0","390,872.0","464,384.0","490,095.0","515,426.0","525,421.0","560,497.0","643,787.0","670,346.0","652,068.0","611,223.0","587,125.0","601,297.0","644,412.0","666,854.0","706,422.0","778,678.0","758,477.0","823,335.0","813,102.0","744,001.0","729,993.0","685,634.0","808,971.0","952,241.0","1,064,613.0","1,155,030.0","894,831.0","809,957.0","806,402.0"
"94","73","  Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,212.0","209,638.0","235,312.0","279,471.0","318,369.0","354,832.0","383,741.0","400,132.0","424,898.0","450,966.0","467,612.0","496,459.0","542,602.0","594,907.0","665,867.0","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,012.0","1,188,105.0","1,282,143.0","1,341,748.0","1,415,516.0","1,508,578.0","1,605,003.0","1,718,459.0","1,879,235.0","2,140,129.0","2,284,290.0","2,319,243.0"
"95","74","    Imputations (-136)","A2111C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-121.0","-105.0","-99.0","-131.0","-223.0","-253.0","-288.0","-270.0","-276.0","-180.0","-172.0","-159.0","-181.0","-208.0","-216.0","-298.0","-309.0","-500.0","-261.0","-265.0","-309.0","-338.0","-463.0","-417.0","-533.0","-256.0","-582.0","-1,387.0","-4,041.0","-2,083.0","-7,940.0","-3,588.0","-1,982.0","-1,512.0","-965.0"
"96","75","    Excluding imputations (73-74)","A2112C1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","183,974.0","194,333.0","209,743.0","235,411.0","279,602.0","318,592.0","355,085.0","384,029.0","400,402.0","425,174.0","451,146.0","467,784.0","496,618.0","542,783.0","595,115.0","666,083.0","746,064.0","791,076.0","826,895.0","879,208.0","924,341.0","949,505.0","978,255.0","1,022,047.0","1,083,429.0","1,188,638.0","1,282,399.0","1,342,330.0","1,416,903.0","1,512,619.0","1,607,086.0","1,726,399.0","1,882,823.0","2,142,111.0","2,285,802.0","2,320,208.0"
"97","76","  Less: Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,453.0","778,917.0","827,308.0","872,717.0","921,829.0","959,483.0","987,291.0","963,138.0","983,253.0","919,331.0"
"98","77","    Imputations (175)","A1676C1","411.0","605.0","828.0","899.0","781.0","910.0","1,354.0","1,516.0","1,393.0","1,201.0","1,311.0","1,491.0","1,578.0","1,528.0","1,719.0","1,739.0","1,901.0","2,075.0","2,223.0","2,501.0","2,667.0","2,994.0","3,359.0","4,183.0","4,161.0","3,484.0","3,081.0","2,953.0","2,879.0","2,890.0","2,965.0","3,185.0","3,497.0","3,829.0","4,211.0","4,511.0","4,641.0","4,982.0","5,011.0","5,374.0","6,452.0","7,340.0","8,506.0"
"99","78","    Excluding imputations (76-77)","W531RC1","43,716.0","45,754.0","50,348.0","58,305.0","74,715.0","84,271.0","87,956.0","99,818.0","111,701.0","130,059.0","151,438.0","164,697.0","194,123.0","207,366.0","224,234.0","255,731.0","279,469.0","301,363.0","320,890.0","358,981.0","382,564.0","407,114.0","426,823.0","450,768.0","473,264.0","504,696.0","529,719.0","552,125.0","584,362.0","621,761.0","658,320.0","702,655.0","729,699.0","747,624.0","774,706.0","822,797.0","868,076.0","916,847.0","954,472.0","981,917.0","956,686.0","975,913.0","910,825.0"
"100","79","Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0","1,488,657.0","1,435,653.0","1,144,566.0","1,194,835.0","1,397,977.0"
