"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"39","30","  Net domestic product","A362RC1",211.6,214.1,217.4,226.7,232.4,239,245.1,246.2,240.7,237,238.5,236,246.1,255.1,271.8,282.1,296.5,303.2,309.2,313,315.8,316.2,321.9,334.1,340.5,343.5,342.2,336.6,335.5,335.6,339.9,348.1,360.9,368.7,376.3,381.8,382.8,387.5,391.5,399.4,407.5,408.7,415.1,409.6,401.7,405.1,418.1,430.7,440.7,453.2,453.7,457.3,470.8,469.8,472.3,466.6,470.5,481.1,491.1,503.6,516.5,523.1,529.2,531.7,540.2,548.2,560.3,569.1,584.5,593,603.7,607.9,626.8,638.1,653.9,674.8,696.7,704.2,715.9,728.1,737.4,740.3,753.2,767.1,792.2,814.7,828,842.8,865.2,878.1
"40","31","  Net domestic income","W256RC1",210.8,211.6,215,223.4,231.6,240.3,245.4,247.2,240.1,235.8,236.2,232.8,242.4,253.8,271.2,282.2,294,299.2,304.2,310.1,312.3,314,319.7,331,337.1,340,338.9,330.9,332.5,332.8,336.3,345,356.9,367,373.9,380.4,383.8,389.3,393.4,401.9,408,410,414.2,408.9,403.4,404.8,415.3,428.4,440.1,454.7,451.4,456.7,470.5,470.8,471.9,470,471.7,481.5,490.8,504.6,515.4,521.6,527.6,534.4,541.3,550.9,559.4,569.4,581.4,591.3,602.5,610.8,628.3,639.1,650.5,669.6,689.1,698.8,710.1,722.3,728.4,735.4,750.2,766,786.4,807,825.3,841.7,858.6,874.8
"41","32","  Net national factor income \3\","X032RC1",193.7,194.4,197.5,205,213.5,221.5,226.5,228.3,220.8,215.8,215.8,212.2,221.8,232.4,248.1,260.3,270.2,276.7,281.1,286.4,287.4,288.3,293.6,303.8,309.3,311.7,310.5,302.2,304.5,305.3,308.5,316.7,327.8,336.8,342.6,348.7,351.9,357,360.5,367.7,373.9,375.7,379.1,373.3,367.9,369.1,379.3,391.5,401.4,415.3,410.8,415.5,428,427.9,428.5,426.5,428.3,437.7,446.4,459,468.8,475,479.9,486.8,492,500.6,508.1,517.6,529.3,538,547.9,554.4,571.5,582.3,593.3,611,631.6,640.3,651.1,662.4,667.5,672.7,686.1,700,717.6,736.3,752.5,767.4,782.9,796.6
"42","33","  Net domestic purchases","W367RC1",200.7,202.8,205.6,217.4,225.1,233.8,240.1,241.7,234.2,230.7,233.3,233,243.9,253.5,272.6,282.3,296.3,301.2,305.5,308.8,312.1,314.3,321.9,335.2,341.2,344.7,342.8,336.9,335.8,335.3,339.4,346.9,359.8,368.8,375.6,381.6,382.4,385.6,389,394.9,402.7,404.6,411.1,406.2,400.6,404.7,417.2,431,440.3,453.2,453.1,456.7,468.1,465.6,468.1,460.8,464.7,475.6,487.1,499.2,512.5,517.3,525.3,528.9,536.3,541.6,556.4,563.7,577.3,585.9,597.3,600.9,622.2,630.6,649,669.3,692.3,699,713.7,724.5,732.8,735.8,750.3,764.9,791.1,812.8,826.7,841.7,865.1,876.9
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
