"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"42","35","      Gross output of general government","W128RL1",9.6,-1.9,-10.2,102.5,57,-5,74.6,-14.8,12.1,10.6,-9.2,-26.6,-14.6,-24.6,50.4,-8.7,48.2,-7,26.8,18,-19.2,-16.3,16.9,28.2,-3,3.4,-16.4,1.2,-2.1,42.6,-12.8,-0.8,20.4,9.3,6,4.1,0.7,5.1,0.4,4.9,-0.4,4.5,8.5,-1.5,5.2,2.9,0.5,4.9,4.6,2.6,4,0.7,-4.5,4.1,-3.3,5.7,3.7,-1.1,-4.1,8.2,7.4,1.8,5,-2,0.8,-1.6,-2.2,2.1,-0.3,1,6.2,3.6,5.7,3.6,1.4,0.9,1.4
"43","36","        Value added","W129RL1",17.2,-7.1,-2.9,72.1,58.8,8.3,97.2,-17.8,15.3,0.5,-6.1,-28.2,-46.1,8.2,-33.3,32.7,97.4,18,11,-3.7,9.5,-6.5,-1.9,-7,-4.2,0.7,1.8,2.2,2.8,0.1,6.9,2.4,5.4,6.3,3.4,3.4,5.4,5.6,2.9,1.3,1.5,2.9,2.6,0.4,4.5,1.8,4.6,2.3,2.8,0.5,3.2,-1.7,-0.8,2.3,1.3,1.4,-0.1,2.6,3.2,1.5,5.1,0.8,2.2,0.5,-1.9,-2.8,-1.4,0.3,1.9,1.4,3.6,0.7,2.1,2.4,-0.5,0.3,0.3
"44","37","          Compensation of general government employees","W130RL1",19.4,-9,-4.2,78.8,60.6,6,103,-19.4,15.3,-0.2,-7.4,-33.1,-59.8,9.1,-55.8,70.5,154.8,22,13.1,-4.8,11.1,-8,-2.4,-8.3,-5.1,1.1,2.4,2.7,3.2,0.3,8,2.6,5.3,5.8,2.3,1.9,4,4.9,2.4,0.9,1.3,3.3,2.9,0.2,5,1.8,5,2.2,2.6,-0.1,2.7,-2.9,-1.9,1.4,0.1,0.2,-1.5,1.8,2.5,0.6,5,-0.3,1.8,-0.1,-2.8,-4,-2.7,-0.6,1.2,0.2,3.1,-0.1,1.9,2.5,-1,-0.2,-0.2
"45","38","          Consumption of general government fixed capital \2\","B546RL1",1.5,9.2,7.5,14,33.7,45.2,28.8,15.5,14.4,11.4,9.8,16.7,16.1,6.9,3.4,3.4,3.4,1.5,2,1.5,1.5,1.7,0.2,-0.3,-0.1,-0.9,-1.1,-0.7,0.2,-0.9,-0.6,1.3,6.1,10.2,11.7,14.2,14,9.6,5.9,3.6,2.3,1,0.6,1.1,1.6,2,2.4,3,4.6,5.3,6.2,6.2,5.7,7.2,8.4,7.9,7.1,6.6,6.1,5.8,5.9,5.7,4.3,3.5,2.7,3,4.5,4.9,5.3,7.1,6,3.9,3.1,2,1.8,2.7,3
"46","39","        Intermediate goods and services purchased \3\","W131RL1",-1.3,7.5,-23.4,184.7,53.9,-27.1,19.5,-2.2,1.2,48.3,-16.6,-22.6,47.6,-45.9,188.6,-25.8,11.3,-38.3,66.5,55.1,-49.5,-40.4,92.5,100.6,-1.8,5.9,-34.2,-0.3,-10.3,129.5,-31.6,-5.8,46.2,13,9.1,5,-4.8,4.4,-2.9,10,-3,7,17.5,-4.2,6.1,4.6,-5.3,8.9,7.2,5.5,5.1,4,-9.3,6.6,-9.5,12.2,9.1,-5.8,-14.9,21,11,3.6,9.4,-5.8,5.4,0.3,-3.4,5,-4,0.2,10.9,8.7,11.4,5.4,4.3,1.7,2.9
"47","40","          Durable goods","A543RL1",21.5,-17.1,-19.8,867.7,130.5,45.4,-25.9,-10,10.9,-1.4,4,98.7,-35.6,-7.4,-37.9,78.4,-21.1,10.1,-26.5,-15,1.5,-0.9,-7.7,-8.5,13.2,-17.4,2.1,-8.1,-21.9,-24.3,20.4,81.2,61.8,39,29.7,27.7,3.9,-12.3,-20.2,-12.8,-20.1,-4.2,7.4,-21.1,-12.9,6.9,7.3,15.3,26,20.9,16.7,-11.1,-14.2,52.3,8.5,2.2,0.9,11.7,4.5,10,14,3,8.2,-2.6,0.3,2.8,11.4,5.9,0.1,-0.2,8.3,12.5,15.8,-0.5,13.1,11.8,4.1
"48","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RL1",6.6,-28.2,-67.3,745.3,86.4,-39.3,45.6,22,-6,-4.3,-21.8,-30.3,27.6,9.1,25,90.7,71.3,-76.7,91.8,14.5,-55,75.4,-37.6,-0.2,-2.9,15.5,55.2,38.2,-55.4,175.1,-21,16.7,-0.6,11.5,7.4,0.6,17.1,8,-19.7,25.7,2.5,-4.8,12.4,-13.7,10,-24.3,26.5,14.4,16.9,0.1,-1.3,65.8,-28.7,4.7,4.5,-12.3,-11.7,13.9,-1.6,-11.2,6.6,-14.8,22.5,-0.1,-2.9,-2.1,-3.8,7.8,-1.7,-20.1,8.9,18.6,21.9,9.7,12.6,2.2,-1.9
"51","44","          Services","A544RL1",-4.7,24,-10.5,96.1,25.5,-35,25.1,-15.4,5.1,18,-14.3,-19.5,22.2,106.5,-4.8,43.6,-8,-56.5,41.6,-7.6,-5.4,-26.8,70.4,0.3,7.9,3.9,9.6,-1.9,-7.9,31,17.3,18.3,16.5,25.6,14.6,3.3,8.6,-7.7,-11.7,-2.3,13.7,9,18.4,0.4,1.1,5.3,-10.2,5.8,7.5,7,-0.6,-9,-3.8,5,1,4.6,0,10.2,-0.5,1.4,13.3,2.8,9.3,-7.6,7.5,0,-3.7,4.1,-4.9,3.7,9.9,7.3,10.9,5.3,3.7,0.8,3.2
"52","45","      Less: Own-account investment \4\","W136RL1",9.6,21,20.6,2652.6,5.8,77.5,-26.1,-18.1,-13.7,7.1,0,-13.5,-21.3,-41.1,-56.2,44,-84.5,-0.5,78.1,26,19.3,89.9,45.2,3.1,-14.9,-18.3,-1.9,10.8,8.3,41.6,-6.9,5.7,-1.6,-10.2,-4.2,2.4,7.3,8.4,-12.1,-8.8,1.6,7.5,3.8,-11,-9.6,-5.8,-6.4,-12.5,13.3,11.7,11.3,-3.3,4.9,6,8.8,11,0.1,9.6,4.9,8.6,9,1.1,0.5,-3,-6.6,0.2,-5.1,-4.4,2.8,-10.5,-19.2,20,-13.8,-7.1,0,4.3,0.6
"53","46","            Sales to other sectors","W137RL1",14.3,-50,-43.8,0,78,-25,16.7,49.9,14.3,117.1,20.9,7.4,78.4,393,227.1,136,15.8,-51.7,-53.2,-48.6,100.5,-33.8,-9,-7.8,43.2,151.3,-62.4,96.8,-28.2,8.7,-28.1,-0.2,3.1,41.6,-14.6,-11.3,3.3,19.2,20.4,6.5,-4.8,-1.2,38,-6.4,1.6,-4.7,20.5,25.1,11.1,14.5,-13.3,-12.7,-9.4,11.8,1.4,3,5.8,6.5,7.7,0.9,-8.4,16.7,-17.5,-19.4,6.8,-6,-0.3,-34.7,35.2,-29.5,50,-36.5,-12.4,10.7,11.1,48.1,-20.2
"54","47","State and local consumption expenditures \1\","A991RL1",6.5,5.8,1.5,-1.9,2.5,6.1,-18.7,8.4,0.5,6.2,5.8,3.6,2.4,-0.9,-2,2.3,3.1,6.9,1,8.9,6.2,-0.3,1.4,3.4,4.2,6.6,3.6,5.3,7.8,4.1,5.7,5.5,2.9,4.9,6.6,6.6,6.1,4.6,6.5,6.3,6,4.9,3.8,3.5,4.6,5,1.4,1.9,2,0.7,-0.2,-0.4,1.5,1.1,1.9,5.2,6.4,1.2,3.4,3,3.3,2.1,2.4,2,2.5,2.3,1.8,2.7,3.8,3.9,1.9,2.6,3,0,1,0.9,1.8
"55","48","      Gross output of general government","W138RL1",7.8,6.2,0.9,1.6,12.6,1.7,4,-2.1,10.8,0.6,-1.3,-0.9,-5.6,-7.1,-2.7,2.3,2.9,7.9,1.5,9.7,6.4,-0.3,1.7,3.2,4.4,6.8,3.8,5.3,8.1,4.8,5.3,5.6,3.7,5.5,6.7,7,6.4,5.1,6.8,6.1,5.8,5.3,4.1,3.5,4,4.4,1.7,1.9,2.4,1.3,0.1,0.2,1.7,1.4,1.6,5,5.9,1.3,3.2,3,3.1,2.3,2.7,2.5,2.7,2.5,1.8,2.9,3.9,3.6,2.6,3.5,3,-0.1,1,1,1.9
"56","49","        Value added","W139RL1",4,3.4,-0.5,0.7,6.1,4.8,-5.3,3,4.1,1.9,1.2,0.8,-1.3,-2.5,-2.3,2.1,5.2,6.5,2.6,6.6,3.5,2.6,3.3,4.4,4.4,4.6,6.3,5.5,6.1,4.1,5.3,5.2,3.7,5.2,6,6.1,5.9,4.2,6,4.6,4.4,4.1,3.5,3.5,3.6,3,1.3,1.5,2.3,1.8,1.4,-0.1,0.6,-0.4,0.6,2.9,2.9,1.9,3.4,3.1,3,1.3,1.7,1.4,1.7,2,1.6,2,2.1,1.8,2.1,2.4,1.9,0.6,0.5,1,1.1
"57","50","          Compensation of general government employees","B251RL1",3.6,2.9,-1.3,0.4,6.8,5.4,-6.7,2.9,4.1,1.3,0.7,0.7,-1.6,-2.7,-2.4,2.9,6.5,7.7,2.7,7.2,3.3,2.4,3.2,4.4,4.3,4.5,6.4,5.4,6.1,3.9,5.2,5.1,3.4,5.2,6,6.1,5.9,3.9,6,4.5,4.4,4.1,3.4,3.5,3.6,3,1.1,1.4,2.3,1.7,1.2,-0.3,0.5,-0.7,0.3,2.8,2.8,1.7,3.3,2.9,2.7,0.9,1.4,1.1,1.5,1.8,1.3,1.7,1.7,1.4,1.8,2.1,1.6,0.3,0.2,0.8,0.9
"58","51","          Consumption of general government fixed capital \2\","B986RL1",6.8,6.5,5.4,3.1,1.9,1.7,2.6,3.4,4,4.8,3.9,1.6,-0.1,-1.5,-1.8,-1.7,-1,0.8,2.2,3.4,4.2,4.2,4,4.2,5.1,5.6,5.5,5.8,6.1,5.9,5.6,5.5,5.7,5.8,6.2,6.3,6.4,6.4,5.9,5.5,4.8,4.1,3.6,3.5,3.5,3.3,2.8,2.3,2.1,2.4,2.6,2.1,1.8,1.9,2.6,3.5,4,3.9,4.1,4.9,5.4,4.9,4.3,3.9,3.6,3.7,3.7,4.3,4.8,4.9,4.8,4.5,4.3,3,2.7,2.6,3.2
"59","52","        Intermediate goods and services purchased \3\","W140RL1",18.6,13.6,4.5,3.9,28.4,-4.3,23.7,-10.4,23.3,-1.4,-5.7,-4,-13.1,-16.2,-3.5,2.9,-2.9,11.5,-1.3,18.4,14.3,-7.4,-2.5,-0.1,4.4,13.9,-3.9,4.7,15.1,7.2,5.2,7,3.8,6.6,9.3,10,8.1,8,9.7,11.1,10.1,9.3,6.1,3.5,5.2,8.1,2.8,3,2.5,-0.1,-3.3,0.7,4.4,6.3,4.3,10.3,13.3,-0.2,2.7,3,3.2,4.7,5.1,4.9,4.8,3.7,2.4,4.9,7.8,7.4,3.5,5.5,5.1,-1.3,2,1,3.3
"60","53","          Durable goods","B989RL1",-8.3,12.1,-8.7,8.6,41.8,-12.2,111.3,-14.6,34.5,-5.4,-22.9,-21.7,-39.4,-58.7,-22.3,10.7,53.1,48.2,30,7.4,1.7,5.7,8.8,4.4,10.4,-2.4,11,21.7,0.7,12.5,5.5,6,7,6.5,6.9,12.2,7.8,5.2,16,14.3,13.1,15.6,11.3,7.9,5.1,2.6,4.4,3.6,2.5,2.2,-1,3.7,3.4,4.6,5.9,5.1,8,3.6,2.8,4.6,2.5,3.6,3,3.1,4.5,6.7,2.8,7,7.4,5.7,5.1,5.8,1.4,-1.5,2.4,1.7,2.1
"61","54","          Nondurable goods","B337RL1",20.7,16.6,9.6,3.1,24.6,-9,26.3,-12.9,26.4,-2.2,-5.5,-4.1,-13.5,-15.9,-3.7,-0.5,-11.4,10.8,-4.7,26.8,12.6,-14.2,-0.4,-1.3,2.9,16.4,-7.1,2.3,22.3,21.8,5.1,6.4,3.6,5.2,7.2,7.2,4.6,5.2,8.2,9.1,10.7,10,3.7,1.4,2.3,9.5,8.5,6.6,2.6,-0.8,-4.3,-0.4,2.4,5,5.3,6.9,9,3.1,3.1,4,3.2,4.8,4.6,4.5,5.9,4.5,2.7,4.6,7.7,7.5,4.5,6.5,4.7,-1.6,2.6,1.3,3
"62","55","          Services","A988RL1",19.9,10.2,0,4.2,31.6,2.5,11.3,-6.3,17.6,0.6,-2.1,-0.9,-9.2,-13.3,-2.6,6.3,4.3,10.5,-0.1,11.8,16.9,-1.8,-5.2,0.5,5.1,13.5,-2.7,4.9,11.5,-3.6,5.3,7.6,3.7,7.8,11.2,12,10.7,10.2,10.1,12.1,9.4,8.2,6.9,4.2,7.1,7.9,-1.2,0.4,2.5,0.2,-2.7,1.3,6,7.3,3.5,12.9,16.1,-2.1,2.5,2.3,3.3,4.8,5.6,5.3,4.4,3.1,2.2,4.9,7.9,7.5,2.9,4.9,5.5,-1.2,1.6,0.9,3.5
"63","56","      Less: Own-account investment \4\","W144RL1",12.2,-9.1,-34.5,235.9,230.5,-25.8,231.5,-27.7,46.3,-13.6,-23.7,-20.4,-51.4,-85.1,-73.7,14.9,83.9,66.9,25.8,33,5.4,11.4,18,-5.1,4.5,-1.1,11.9,1.2,7.1,35.5,-6.3,4.7,6.2,12.5,-1.3,2.8,5.5,-3,5.4,0.7,1.1,0.1,-2.5,-2.9,6.4,-5.7,-11.6,-8.8,7.7,15.6,4.2,-4.5,0.7,-0.7,11,8,7.1,2.2,4.6,11.7,4.7,4.5,-0.9,-0.6,1,1.4,1.2,9.4,1.9,4.4,5.7,9.1,-0.3,-3,0,1.8,5
"64","57","            Sales to other sectors","W145RL1",22.2,14.5,3.2,2,5.8,1.5,-17.1,4.3,7.8,6.7,7.1,3.6,0.8,-1.1,-0.3,1.5,-2.2,13.1,3.4,14.4,8.8,-2.1,2.4,3.7,6.3,10.4,3.6,6.2,11.2,5.6,3.9,6.8,11.1,9.9,9.5,11.3,9.1,10.1,9.7,4.7,4.7,9.2,7.2,4.4,-0.1,1,5.7,3.1,4.7,4.6,1.6,4.4,3,3.5,-0.2,3.4,3.3,1.6,1.9,2.8,1.9,3.3,4.5,4.8,3.5,3.7,1.9,3.4,4.5,2.4,5.1,6.8,3.3,-0.2,0.9,1.5,2.1
"65","58","              Tuition and related educational charges","B1065L1",17.4,10.8,-6.2,-7.4,-2.6,-0.1,-2.8,-1.2,1.4,-1.4,0,-2.5,-2.1,-7.8,-3.7,2.7,-5.3,9.6,20,13.8,-2.2,-0.7,5.7,8,8.3,12.3,13.5,15.2,13.6,7.6,10.6,9.5,13.1,14.2,17,16.1,13.3,11.5,12.5,10,16.5,12.6,6.2,7.9,-0.3,0.1,3.2,4.1,5.4,2.8,3.3,2.2,-0.2,3.2,-0.1,-0.1,0.8,0.7,3.1,3,2.2,1.6,1.9,-1.2,0.1,0.4,0.3,2.3,3,3.4,4.1,6.6,1,0.2,-2.1,-0.1,2.4
"66","59","              Health and hospital charges","B1066L1",25.1,11.8,-3.8,-10.5,-5.5,-6.2,-2.5,-1.6,1.9,-2,-0.7,-3.3,-6.3,-4.2,-5,-0.2,-12.3,-5,17.5,12.1,-4.4,0.9,2.1,4.7,10.2,11.9,14.3,13.6,25.9,4.9,-7.3,1.9,17.1,3.7,8,14.2,14.3,13.4,16.8,3.5,1.8,16.5,14.6,11,3.1,2.8,6.3,1.9,7,8.4,0.9,6.3,3,2.5,-2.4,2.3,2.6,0.1,0,0.8,1,4.2,5.8,5.9,4,4.5,-0.4,2.4,5.6,0.8,4.6,8.9,4.8,-1.6,0.7,0.8,1.5
"67","60","              Other sales","W146RL1",21.8,18.2,12.9,14.1,14.3,5.3,-25.7,8.7,12.1,12.5,11.8,7.1,3.6,0.6,1.4,1.8,1,18.6,-1.9,15.1,14.2,-3,2.1,2.8,5,9.7,-1.1,2.2,4.8,5.5,8.5,8.6,7.9,12,8.5,8.7,5.5,7.9,4.6,3.8,2.2,2.7,2,-2.9,-3,-0.3,6.3,4,1.8,0.9,1.6,3.1,4.8,5.3,3.3,7.3,5.8,4.6,4,5.8,2.9,2.9,4.1,7,4.9,4.6,6.9,5.7,3.8,4.3,6.4,3.8,2.3,1.7,3.5,4,2.8
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
