"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"59","49","  Imputed interest received","A2074C1",3.5,3.7,3.8,3.9,4.3,4.6,5.1,5.9,6.2,7,7.8,8.3,8.6,9.5,10.5,11.1,11.7,12.1,13.5,14.1,15.2,16.9,18.2,22.7,27.2,30.8,33.1,34.3,40.7,57.4,54.5,60.3,67.2,65.6,73.4,78.8,106.3,147.3,147.7,175.6,198.7,207.9,209.4,210,234.9,266.5,284.4,288.9,283.9,302.4,322.4,365.9,384.2,413.5,454.7,469.8,484.6,NA
"60","50","    Domestic business \1\","A2075C1",0.9,0.9,1,1,1,1.1,1.3,1.4,1.4,1.6,1.8,1.9,1.9,2.2,2.4,2.5,2.5,2.6,2.8,2.8,3.1,3.6,3.9,5.2,6.6,7.7,8.1,7.5,8.9,15.1,12.7,13.3,14.2,13.6,15,16.2,28.1,34.5,29.8,32.2,37.2,33.3,31.2,24.4,30.6,38.6,38.5,34.8,36.3,36.4,42.7,47.8,48.8,52.7,50,66,78,NA
"61","51","      Corporate business","A2076C1",0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.4,1.6,1.8,1.8,1.9,1.9,2.1,2.1,2.3,2.7,3,4,5.2,6.1,6.3,6,7.1,12.1,10.4,11,11.4,10.6,11.4,12.1,19.3,23.5,20.6,23.1,27.8,24.2,22.4,15.7,21.7,30.3,29.6,25.8,27,26.8,31.7,35.4,35.5,38.8,36.1,49.3,59.5,NA
"62","52","        Financial","B1143C1",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1.3,1.7,1.9,1.8,1.8,2.2,3.3,3,3.2,3.6,3.8,4.4,5,7.2,8.2,7.1,6.2,7.6,7.6,7.4,7.7,8,9.2,8.7,9.4,10.1,10.2,10.5,11.5,13,14.9,16,19.8,22,NA
"63","53","        Nonfinancial","B1144C1",0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.9,2.1,2.8,3.5,4.2,4.5,4.2,5,8.9,7.4,7.8,7.8,6.8,7,7.1,12.1,15.3,13.5,16.9,20.2,16.6,15,7.9,13.7,21.1,20.9,16.3,16.8,16.6,21.2,23.8,22.5,23.9,20,29.5,37.5,NA
"64","54","      Sole proprietorships and partnerships","A2077C1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.1,1.4,1.6,1.8,1.5,1.7,2.9,2.2,2.2,2.7,2.9,3.5,4,8.7,10.8,9.1,8.9,9.2,8.8,8.5,8.5,8.7,8.1,8.7,8.8,9,9.3,10.7,12.1,12.9,13.5,13.5,16.3,18,NA
"65","55","        Farm","B1146C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.6,0.6,0.6,0.5,0.5,0.5,1.1,1.1,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.8,0.6,0.7,0.7,NA
"66","56","        Nonfarm","B1145C1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.9,1.1,1.2,1.3,1.1,1.3,2.1,1.6,1.7,2.1,2.4,2.9,3.4,7.6,9.7,8.3,8.2,8.6,8.3,8.1,8,8.3,7.7,8.3,8.4,8.5,8.8,10,11.3,12,12.8,12.9,15.6,17.2,NA
"67","57","      Other private business","B2078C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,NA
"68","58","    Households and nonprofit institutions","W314RC1",2.1,2.5,2.4,2.5,2.9,3,3.3,3.9,4.2,4.8,5.4,5.7,6,6.5,7.2,7.8,8.3,8.6,9.6,10.2,11,12.1,12.9,15.7,18.2,20.2,22,23.9,28.4,37.5,37.6,42.5,49.3,49.2,56.3,61.2,74.4,105.9,111.9,134.1,151,165.5,170,178.2,195.1,215.7,232.8,241.9,235.7,255.1,267.6,305.3,322,346.3,389.3,387.8,387.3,NA
"69","59","      Households","W315RC1",2.1,2.5,2.4,2.5,2.9,3,3.3,3.9,4.2,4.8,5.4,5.7,6,6.5,7.2,7.8,8.3,8.5,9.6,10.2,11,12.1,12.9,15.7,18.2,20.2,22,23.8,28.3,37.5,37.6,42.4,49.2,49.1,56.2,61.1,74.2,105.6,111.5,133.6,150.1,164.5,169.1,177.2,194.2,214.8,231.8,240.8,234.4,253.9,266.4,304.1,320.8,345.1,388.1,386.6,386,NA
"70","60","        Owner-occupied housing","W316RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1,1.1,1.1,1.1,1.1,1.2,1.3,NA
"71","61","        Persons","A1147C1",2.1,2.4,2.4,2.5,2.8,3,3.3,3.9,4.2,4.8,5.3,5.7,6,6.5,7.2,7.7,8.2,8.5,9.5,10.2,11,12,12.9,15.7,18.1,20.1,21.9,23.7,28.2,37.4,37.4,42.2,49,48.9,55.9,60.8,73.9,105.3,111.1,133.1,149.6,163.9,168.5,176.5,193.5,214.1,231,239.9,233.5,253,265.4,303,319.7,344,386.9,385.4,384.7,NA
"72","62","          From banks credit agencies, and investment companies","B1611C1",1,1.1,1.1,1.1,1.2,1.2,1.3,1.8,1.9,2.3,2.6,2.6,2.5,2.8,3.1,3.2,3.4,3.2,3.8,4,4.4,4.9,5.2,7.2,9,10.1,11.1,11.8,14.4,21.6,19.9,21.5,25,24.3,22.9,21,27.7,51.7,48.4,60.2,66.1,69.9,67.9,63.6,71.2,85.5,100,99.5,100.7,97.5,106.6,118,129.3,143.6,151.4,167.3,184.4,NA
"73","63","          From life insurance carriers","B1612C1",1.1,1.3,1.3,1.4,1.6,1.7,1.8,2,2.2,2.4,2.7,3,3.3,3.5,3.9,4.3,4.7,5.1,5.5,5.9,6.3,6.8,7.2,8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,19.2,22.2,22.5,30.6,37,43,49.8,58.3,67.5,76.8,86.3,92,103.7,112.4,118.2,120.3,128.9,121.2,144.4,147.5,173.6,178.6,189,223.7,205.7,187.9,NA
"74","64","          From property and casualty insurance companies","W356RC1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.7,0.7,0.8,0.9,1,1.3,1.5,1.8,2.1,2.4,2.8,3.1,3.8,4.4,5.4,6.7,7.8,8.5,9.2,10,10.4,10.6,11.5,11.5,11,11.3,11.4,11.7,11.4,11.8,12.4,12.4,NA
"75","65","      Nonprofit institutions","W317RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.9,0.9,1,0.9,0.9,1,1.1,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.4,NA
"76","66","    Government","A2079C1",0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.8,1,1.1,1.4,1.9,2.3,2.4,2.3,2.5,3.3,3.1,3.3,2.6,1.8,1.3,0.9,2.4,3.4,2.8,4.8,5.5,4.6,4.2,3.9,4.5,6.1,5.7,4.8,4.5,4.3,4.7,5.1,5,6.6,6.5,6.1,7.2,NA
"77","67","      Federal","B1148C1",0.3,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.8,1.1,1.3,1.3,1.2,1.4,1.7,1.7,1.2,0.8,0.5,0.4,0.9,0.8,0.5,1.2,1.9,1.4,1.3,1.4,1.6,2.7,2,1.5,1.3,1,1,1.1,0.8,2.1,2.1,0.7,1.1,NA
"78","68","      State and local","B1149C1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8,1,1.2,1.2,1.1,1.2,1.9,1.4,1.6,1.4,1,0.8,0.5,1.5,2.6,2.3,3.6,3.6,3.2,2.9,2.5,2.9,3.4,3.7,3.3,3.3,3.3,3.7,4,4.2,4.5,4.4,5.4,6.1,NA
"79","69","    Rest of the world","W357RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,5,4.6,4.1,3.5,4.6,6,7.4,7.3,7.4,6.6,7.4,7.7,8.4,7.9,9,9.9,12.1,NA
"80",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","70","  Imputed interest paid","W358RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8,-7.1,-5.5,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.4,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-26.1,-38.6,-49.1,-60.8,-68.9,-59.2,-45.9,-45.6,-59.7,-71.4,-82.1,-77,-79.4,-83.2,-86.7,-104.6,-78.4,-71.1,NA
"82","71","    Domestic business \1\","W296RC1",-0.4,-0.5,-0.7,-0.7,-0.8,-1,-1.1,-1.2,-1.2,-1.3,-1.5,-1.6,-1.7,-1.9,-2,-2.1,-2.2,-2.3,-2.5,-2.8,-3.4,-3.6,-4.3,-4.6,-4.4,-3.5,-3.9,-7,-8.6,-2.3,-6.6,-8.4,-12.7,-19.3,-24.5,-30.6,-22.7,-9.6,-19.7,-14.5,-17.8,-27.8,-35.3,-41.8,-35.8,-27.1,-25.9,-33.2,-39.9,-45,-42,-44.1,-47.3,-49.3,-60.7,-47,-40.6,NA
"83","72","      Corporate business","W297RC1",-0.3,-0.4,-0.6,-0.6,-0.7,-0.9,-0.9,-1,-1,-1.1,-1.3,-1.4,-1.4,-1.5,-1.7,-1.7,-1.8,-1.9,-2,-2.4,-2.8,-3,-3.6,-3.8,-3.7,-3,-3.3,-5.8,-6.9,-1.8,-5,-6.4,-9.6,-14.4,-18.2,-23.2,-17.7,-7.7,-15.9,-11.7,-14.6,-23.3,-29.6,-34.8,-29.6,-22.2,-21.2,-27.2,-32.7,-36.7,-34,-35.2,-37.7,-39.1,-48,-37.1,-31.7,NA
"84","73","        Financial","W298RC1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5,-0.6,-1.1,-1.2,-0.3,-0.7,-0.9,-1.3,-2,-2.2,-2.9,-2,-0.9,-1.8,-1.4,-1.9,-2.3,-2.5,-3,-2.8,-2.4,-3.1,-4,-4.2,-4.3,-4.1,-4.7,-5.8,-5.7,-6.6,-5.5,-5.1,NA
"85","74","        Nonfinancial","W300RC1",-0.3,-0.4,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8,-0.8,-0.8,-1,-1.1,-1.1,-1.2,-1.3,-1.4,-1.5,-1.5,-1.6,-1.9,-2.3,-2.5,-3,-3.2,-3.1,-2.5,-2.7,-4.7,-5.6,-1.5,-4.4,-5.5,-8.2,-12.4,-16,-20.3,-15.7,-6.8,-14.1,-10.4,-12.7,-21,-27.1,-31.7,-26.8,-19.7,-18.1,-23.2,-28.5,-32.4,-29.8,-30.5,-31.8,-33.4,-41.4,-31.6,-26.6,NA
"86","75","      Sole proprietorships and partnerships","W301RC1",0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.5,-0.4,-0.5,-0.9,-1.4,-0.4,-1.3,-1.6,-2.5,-4.1,-5.2,-6.3,-4.2,-1.6,-3.2,-2.3,-2.7,-3.6,-4.4,-5.3,-4.6,-3.6,-3.5,-4.4,-5.3,-6,-5.9,-6.8,-7.4,-7.9,-9.7,-7.6,-6.6,NA
"87","76","        Farm","W302RC1",0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.4,-0.5,-0.1,-0.5,-0.6,-0.9,-1.2,-1.5,-1.8,-1.3,-0.5,-1.1,-0.7,-0.7,-0.8,-0.9,-1,-0.9,-0.7,-0.7,-0.9,-1.1,-1.2,-1.1,-1.1,-1.1,-1.1,-1.2,-0.9,-0.8,NA
"88","77","        Nonfarm","W303RC1",0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.5,-0.9,-0.3,-0.8,-1,-1.7,-2.8,-3.6,-4.5,-2.9,-1.1,-2.2,-1.6,-2,-2.8,-3.5,-4.3,-3.7,-2.9,-2.8,-3.5,-4.2,-4.8,-4.8,-5.7,-6.3,-6.8,-8.5,-6.6,-5.8,NA
"89","78","      Other private business","W304RC1",0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.3,-0.3,-0.1,-0.3,-0.4,-0.6,-0.9,-1,-1.2,-0.8,-0.3,-0.6,-0.5,-0.6,-0.9,-1.3,-1.7,-1.6,-1.3,-1.3,-1.6,-1.9,-2.2,-2.1,-2.1,-2.2,-2.3,-3,-2.4,-2.3,NA
"90","79","        Rental income of persons and proprietors' income","W359RC1",0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.3,-0.3,-0.1,-0.3,-0.4,-0.6,-0.9,-1,-1.2,-0.8,-0.3,-0.6,-0.5,-0.6,-0.9,-1.3,-1.7,-1.6,-1.3,-1.3,-1.6,-1.9,-2.2,-2.1,-2.1,-2.2,-2.3,-3,-2.4,-2.3,NA
"91","80","    Households and nonprofit institutions","W305RC1",-0.1,-0.2,-0.3,-0.3,-0.4,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9,-1,-1,-1.1,-1.2,-1.3,-1.4,-1.5,-1.6,-1.8,-2,-2.1,-2.5,-2.6,-2.4,-1.9,-2.3,-3.9,-4.6,-1.3,-4.1,-5.5,-8.6,-13.2,-16.5,-19.3,-13.3,-5.5,-11,-8.3,-10.4,-14.9,-18.9,-23.4,-20.4,-16.5,-16,-21.3,-27,-32.5,-31.3,-31.8,-31.7,-31.3,-38.6,-29.8,-28.1,NA
"92","81","      Households","W306RC1",-0.1,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6,-0.7,-0.8,-0.9,-1,-1,-1.1,-1.2,-1.3,-1.3,-1.4,-1.5,-1.7,-2,-2.1,-2.4,-2.5,-2.3,-1.9,-2.2,-3.8,-4.5,-1.2,-4,-5.4,-8.4,-12.9,-16,-18.7,-12.9,-5.3,-10.5,-8,-9.9,-14.1,-17.9,-22.2,-19.3,-15.5,-15.2,-20.2,-25.8,-31.2,-30,-30.6,-30.4,-29.9,-36.8,-28.4,-26.7,NA
"93","82","        Owner-occupied housing","W307RC1",-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.7,-0.6,-0.7,-1.2,-1.4,-0.4,-1.2,-1.7,-2.8,-4.5,-5.9,-7.1,-5,-2,-3.9,-2.8,-3.4,-5.1,-6.9,-9,-8.6,-7.4,-7.6,-10.3,-12.9,-15.5,-14.8,-15.5,-16.1,-16.3,-21,-16.3,-15.9,NA
"94","83","        Persons","W308RC1",-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.9,-0.9,-1,-1.2,-1.4,-1.4,-1.7,-1.7,-1.6,-1.3,-1.5,-2.6,-3,-0.8,-2.7,-3.6,-5.6,-8.3,-10.1,-11.6,-7.9,-3.3,-6.7,-5.2,-6.5,-9.1,-11,-13.1,-10.7,-8.2,-7.6,-10,-12.9,-15.7,-15.3,-15,-14.3,-13.6,-15.8,-12,-10.8,NA
"95","84","      Nonprofit institutions","W309RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.5,-0.2,-0.4,-0.3,-0.5,-0.8,-1,-1.3,-1.1,-0.9,-0.9,-1.1,-1.2,-1.3,-1.2,-1.3,-1.3,-1.4,-1.8,-1.5,-1.4,NA
"96","85","    Government","W310RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-9.8,-5.7,-6,-3,-2.5,-1.9,-3.1,-4.6,-3.7,-3.6,-2.8,-2.3,-2.8,-4.7,-3.5,-0.2,-1.1,NA
"97","86","      Federal","W311RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"98","87","      State and local","W312RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-9.8,-5.7,-6,-3,-2.5,-1.9,-3.1,-4.6,-3.7,-3.6,-2.8,-2.3,-2.8,-4.7,-3.5,-0.2,-1.1,NA
"99","88","    Rest of the world","W313RC1",0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.1,-0.5,-0.7,-1.2,-2.1,-2.7,-3.6,-1.4,-0.5,-0.9,-0.5,-0.5,-0.7,-0.7,-0.7,-0.5,-0.4,-0.5,-0.6,-0.7,-0.9,-1.1,-1.2,-1.4,-1.4,-1.8,-1.4,-1.2,NA
"100","89","  Imputed interest received","W360RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8,-7.1,-5.6,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.5,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-26.1,-38.6,-49.1,-60.8,-68.9,-59.2,-45.9,-45.6,-59.7,-71.4,-82.1,-77,-79.4,-83.2,-86.7,-104.6,-78.4,-71.1,NA
"101","90","    Domestic corporate business, financial","W361RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8,-7.1,-5.6,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.5,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-26.1,-38.6,-49.1,-60.8,-68.9,-59.2,-45.9,-45.6,-59.7,-71.4,-82.1,-77,-79.4,-83.2,-86.7,-104.6,-78.4,-71.1,NA
"102","91","      Banks, credit agencies, and investment companies","W362RC1",-0.6,-0.8,-1,-1.1,-1.3,-1.6,-1.7,-1.9,-2,-2.1,-2.5,-2.7,-2.8,-3.1,-3.4,-3.4,-3.7,-3.9,-4.2,-4.8,-5.6,-5.9,-7,-7.8,-7.1,-5.6,-6.4,-11.2,-13.6,-3.7,-11.2,-14.6,-22.5,-34.6,-43.6,-53.6,-37.4,-15.6,-31.6,-26.1,-38.6,-49.1,-60.8,-68.9,-59.2,-45.9,-45.6,-59.7,-71.4,-82.1,-77,-79.4,-83.2,-86.7,-104.6,-78.4,-71.1,NA
"103",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","92","  Net interest (93+97+98+99)","B060RC1",1.8,2.3,2.4,2.7,3,3.4,3.8,4.5,5.3,5.9,6.5,7.7,9.2,9.3,10.2,12,13.7,14.7,16.9,19.1,21.7,24.7,26.2,31.8,38.1,42.6,46.6,53.7,69,79.7,83.5,98.9,112.6,135.4,176.4,225.5,263.8,277.6,318.3,332.5,358.1,358.7,378.9,425.9,435.4,410.9,381.1,358.5,359.2,360.1,367.6,406.4,478.7,486.8,547.6,555,570.3,NA
"105","93","    Domestic business (2+44+71-26-50-90)","A1626C1",0.8,1.1,1,1.1,1.2,1.3,1.5,1.8,2.2,2.4,2.5,3,3.7,3.2,3.4,4.3,5,5.3,6.5,7.6,9.5,11.6,12.1,17.2,22.2,24,25.7,31,42.3,47.8,45.6,53.5,61.6,75.5,103.1,135.1,155.6,156.7,185.1,194.3,213.5,213.3,226,266,259.9,230.9,196.6,183.1,191,181.5,188.9,223.5,287.5,283.7,339.3,341.7,348.1,NA
"106","94","      Corporate (3+44+72-27-51-90)","W499RC1",0,0.2,-0.1,-0.2,-0.3,-0.4,-0.5,-0.3,-0.1,-0.1,-0.3,-0.2,0.2,-0.5,-0.5,0,0.2,-0.1,0.3,0.7,1.7,3.2,3,6.8,10.2,10.2,10,11.5,18.9,21.5,16.7,21.2,25.1,31.5,50.5,71,82.7,78.9,90,88.1,98.3,100.6,102.2,123.1,118.6,94.4,72,64.8,67.6,59.4,61.4,86.2,134.8,133.7,166.7,158.6,156.1,NA
"107","95","      Sole proprietorships and partnerships (8+75-30-54)","B1649C1",0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.3,1.3,1.4,1.5,1.7,2,2.5,2.9,3.5,3.8,4.2,5.1,6,7.2,8.4,11.2,14,15.5,17.1,19.3,22.1,28.1,34.5,44,50.8,54.1,68.6,76.2,81.3,76.6,85.1,101.3,98.1,92.3,82.9,80.2,86.6,84.7,89.6,98.1,111.9,106.3,124.4,130.7,137.2,NA
"108","96","      Other private business (11+78-31-57)","B1657C1",0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,3.1,3.4,3.7,4,4.3,4.6,4.9,5.3,5.9,6.6,7.3,8.3,9.4,10.9,11.8,13.1,14.4,16,18.1,20.2,22.1,23.8,26.4,30,33.9,36.1,38.6,41.6,43.3,44.1,41.7,38,36.8,37.4,37.9,39.2,40.8,43.7,48.2,52.4,54.9,NA
"109","97","    Owner-occupied housing (16+82-60)","W318RC1",0.9,1.1,1.3,1.4,1.6,1.9,2.2,2.5,2.9,3.3,3.9,4.6,5.2,5.9,6.6,7.2,8.1,8.8,9.8,10.7,11.5,12.2,13.1,14.5,15.9,18.2,21,24,27.5,32.1,36.1,42.6,50.3,60.2,71.5,83.3,99.3,112.7,125.6,142,155.9,165.4,175.7,189.1,203.7,212,213.1,203.3,202.4,218.1,226.9,241.3,252.6,269.7,294.7,318.4,334.7,NA
"110","98","    Nonprofit institutions (18+84)","B1131C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.4,1.4,1.5,1.9,2.3,3,3.7,4.8,5.9,7.7,7.5,8.6,8.7,9.7,10.4,10.8,11.4,11.9,13.8,12.7,13.4,14.5,15.2,15.6,15.9,15.8,16.1,14.2,NA
"111","99","    Rest of the world (22+48+88-38-69)","A1627C1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0,0.2,0.1,0.1,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.4,-0.5,-0.7,-0.3,-1,-2.3,-1.9,-1.6,0.3,1.2,-1.2,-2.6,-1.2,3.4,4.1,2.2,-0.1,-11.3,-19.9,-28.8,-32.5,-39.6,-39,-43.4,-40.5,-41.7,-46.9,-52.9,-62.7,-73.6,-77.1,-82.5,-102.2,-121.3,-126.6,NA
"112","100","  Net interest paid by government (19+85-35-66)","A085RC1",4.2,4.3,4.4,4.5,4.7,4.8,4.9,5,5.2,5.3,5.8,6.3,6.1,7.3,8,7.7,8.4,9,9.7,10.1,11,11.7,13.3,14.1,15.9,16.8,18.1,21.3,23.1,25.9,32.1,34.7,39.5,45.7,54.7,73.4,87.5,99.5,121.9,133.8,135.4,152.5,163.8,186.1,203.7,222.3,230.5,233.8,244.8,270.5,275.1,278.4,280.1,260.9,258.7,239.6,217.3,NA
