"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"36","17","        Proprietors' income","B1619C1","384.0","390.0","397.0","405.0","415.0","422.0","427.0","428.0","442.0","454.0","464.0","472.0","476.0","482.0","489.0","497.0","505.0","516.0","529.0","546.0","563.0","586.0","612.0","643.0","677.0","708.0","734.0","757.0","776.0","797.0","822.0","849.0","879.0","908.0","935.0","962.0","985.0","1,010.0","1,037.0","1,064.0","1,092.0","1,125.0","1,162.0","1,205.0","1,252.0","1,295.0","1,333.0","1,368.0","1,399.0","1,428.0","1,453.0","1,476.0","1,496.0","1,510.0","1,519.0","1,523.0","1,522.0","1,517.0","1,510.0","1,499.0","1,486.0","1,481.0","1,485.0","1,496.0","1,517.0","1,541.0","1,569.0","1,601.0","1,638.0","1,668.0","1,691.0","1,707.0","1,718.0","1,731.0","1,744.0","1,759.0","1,775.0","1,792.0","1,809.0","1,828.0","1,845.0","1,863.0","1,881.0","1,899.0","1,918.0","1,933.0","1,945.0","1,952.0","1,956.0","1,962.0","1,968.0","1,974.0","1,982.0","1,988.0","1,992.0","1,994.0","2,020.0","2,043.0","2,062.0","2,079.0","2,090.0","2,101.0","2,112.0","2,121.0","2,130.0","2,137.0","2,141.0","2,144.0","2,143.0","2,145.0","2,148.0","2,152.0","2,159.0","2,164.0","2,169.0","2,172.0","2,175.0","2,178.0","2,183.0","2,188.0","2,195.0","2,211.0","2,235.0","2,267.0","2,308.0","2,345.0","2,380.0","2,411.0","2,439.0","2,464.0","2,487.0","2,506.0","2,524.0","2,537.0","2,545.0","2,550.0","2,549.0","2,544.0","2,537.0","2,526.0","2,512.0","2,507.0","2,510.0","2,523.0","2,544.0","2,574.0","2,612.0","2,658.0","2,700.0","2,739.0","2,774.0","2,807.0","2,502.0","2,289.0","2,171.0","2,158.0","2,303.0","2,419.0","2,510.0","2,544.0","2,499.0","2,445.0","2,390.0","2,366.0","2,362.0","2,383.0","2,396.0","2,408.0","2,419.0","2,438.0"
"37","18","  Households and institutions","W279RC1","12,087.0","12,404.0","12,712.0","13,009.0","13,296.0","13,511.0","13,655.0","13,726.0","14,256.0","14,736.0","15,167.0","15,549.0","15,882.0","16,280.0","16,745.0","17,273.0","17,869.0","18,499.0","19,163.0","19,861.0","20,596.0","21,347.0","22,114.0","22,899.0","23,699.0","24,419.0","25,060.0","25,618.0","26,098.0","26,687.0","27,384.0","28,191.0","29,107.0","30,108.0","31,193.0","32,364.0","33,620.0","34,893.0","36,183.0","37,488.0","38,814.0","40,198.0","41,644.0","43,148.0","44,715.0","46,215.0","47,650.0","49,020.0","50,322.0","51,538.0","52,666.0","53,706.0","54,661.0","55,481.0","56,170.0","56,724.0","57,147.0","57,708.0","58,406.0","59,243.0","60,218.0","61,127.0","61,969.0","62,746.0","63,456.0","64,276.0","65,206.0","66,246.0","67,396.0","68,570.0","69,766.0","70,984.0","72,226.0","73,490.0","74,780.0","76,092.0","77,429.0","78,794.0","80,187.0","81,606.0","83,054.0","84,494.0","85,928.0","87,356.0","88,777.0","90,074.0","91,248.0","92,297.0","93,222.0","94,240.0","95,348.0","96,550.0","97,842.0","98,812.0","99,457.0","99,781.0","102,258.0","104,433.0","106,305.0","107,876.0","109,143.0","110,606.0","112,265.0","114,118.0","116,170.0","117,989.0","119,574.0","120,927.0","122,045.0","123,353.0","124,847.0","126,531.0","128,400.0","130,284.0","132,182.0","134,094.0","136,019.0","138,176.0","140,563.0","143,182.0","146,032.0","148,917.0","151,839.0","154,796.0","157,788.0","160,876.0","164,059.0","167,337.0","170,712.0","173,798.0","176,595.0","179,103.0","181,325.0","183,894.0","186,812.0","190,077.0","193,692.0","197,860.0","202,583.0","207,861.0","213,690.0","219,410.0","225,020.0","230,520.0","235,910.0","241,736.0","247,998.0","254,696.0","260,704.0","266,068.0","270,785.0","274,859.0","280,257.0","283,703.0","287,345.0","290,603.0","291,749.0","294,525.0","296,161.0","296,045.0","295,438.0","292,058.0","289,912.0","292,636.0","294,000.0","293,184.0","295,414.0","298,351.0","300,402.0","302,516.0"
"38","19","    Owner-occupied housing","B2607C1","9,123.0","9,358.0","9,578.0","9,781.0","9,969.0","10,110.0","10,205.0","10,252.0","10,647.0","10,999.0","11,309.0","11,577.0","11,801.0","12,080.0","12,414.0","12,801.0","13,243.0","13,702.0","14,177.0","14,670.0","15,179.0","15,691.0","16,206.0","16,724.0","17,245.0","17,724.0","18,162.0","18,557.0","18,912.0","19,360.0","19,901.0","20,535.0","21,264.0","22,056.0","22,912.0","23,832.0","24,816.0","25,811.0","26,818.0","27,835.0","28,866.0","29,935.0","31,045.0","32,194.0","33,383.0","34,515.0","35,591.0","36,611.0","37,573.0","38,460.0","39,272.0","40,007.0","40,670.0","41,231.0","41,693.0","42,054.0","42,315.0","42,693.0","43,187.0","43,797.0","44,523.0","45,196.0","45,814.0","46,379.0","46,889.0","47,493.0","48,190.0","48,980.0","49,864.0","50,758.0","51,661.0","52,573.0","53,496.0","54,435.0","55,393.0","56,368.0","57,361.0","58,360.0","59,366.0","60,377.0","61,395.0","62,391.0","63,365.0","64,317.0","65,248.0","66,073.0","66,794.0","67,409.0","67,919.0","68,496.0","69,139.0","69,850.0","70,627.0","71,210.0","71,598.0","71,793.0","73,591.0","75,202.0","76,625.0","77,862.0","78,911.0","80,108.0","81,454.0","82,947.0","84,590.0","86,060.0","87,357.0","88,481.0","89,431.0","90,516.0","91,734.0","93,087.0","94,572.0","95,995.0","97,356.0","98,653.0","99,887.0","101,333.0","102,990.0","104,858.0","106,939.0","109,010.0","111,074.0","113,129.0","115,176.0","117,343.0","119,629.0","122,036.0","124,563.0","126,824.0","128,818.0","130,547.0","132,010.0","133,780.0","135,857.0","138,241.0","140,932.0","144,124.0","147,818.0","152,014.0","156,710.0","161,286.0","165,742.0","170,078.0","174,293.0","178,828.0","183,684.0","188,859.0","193,577.0","197,708.0","201,250.0","204,205.0","206,087.0","206,987.0","208,642.0","210,352.0","209,675.0","210,205.0","209,814.0","208,174.0","207,031.0","203,916.0","202,202.0","204,395.0","205,349.0","203,843.0","205,139.0","206,773.0","207,674.0","208,506.0"
"39","20","    Nonprofit institutions serving households","B1621C1","2,964.0","3,046.0","3,134.0","3,228.0","3,327.0","3,401.0","3,450.0","3,474.0","3,609.0","3,737.0","3,858.0","3,972.0","4,081.0","4,200.0","4,331.0","4,472.0","4,626.0","4,797.0","4,986.0","5,191.0","5,417.0","5,656.0","5,908.0","6,175.0","6,454.0","6,695.0","6,898.0","7,061.0","7,186.0","7,327.0","7,483.0","7,656.0","7,843.0","8,052.0","8,281.0","8,532.0","8,804.0","9,082.0","9,365.0","9,653.0","9,948.0","10,263.0","10,599.0","10,954.0","11,332.0","11,700.0","12,059.0","12,409.0","12,749.0","13,078.0","13,394.0","13,699.0","13,991.0","14,250.0","14,477.0","14,670.0","14,832.0","15,015.0","15,219.0","15,446.0","15,695.0","15,931.0","16,155.0","16,367.0","16,567.0","16,783.0","17,016.0","17,266.0","17,532.0","17,812.0","18,105.0","18,411.0","18,730.0","19,055.0","19,387.0","19,724.0","20,068.0","20,434.0","20,821.0","21,229.0","21,659.0","22,103.0","22,563.0","23,039.0","23,529.0","24,001.0","24,454.0","24,888.0","25,303.0","25,744.0","26,209.0","26,700.0","27,215.0","27,602.0","27,859.0","27,988.0","28,667.0","29,231.0","29,680.0","30,014.0","30,232.0","30,498.0","30,811.0","31,171.0","31,580.0","31,929.0","32,217.0","32,446.0","32,614.0","32,837.0","33,113.0","33,444.0","33,828.0","34,289.0","34,826.0","35,441.0","36,132.0","36,843.0","37,573.0","38,324.0","39,093.0","39,907.0","40,765.0","41,667.0","42,612.0","43,533.0","44,430.0","45,301.0","46,149.0","46,974.0","47,777.0","48,556.0","49,315.0","50,114.0","50,955.0","51,836.0","52,760.0","53,736.0","54,765.0","55,847.0","56,980.0","58,124.0","59,278.0","60,442.0","61,617.0","62,908.0","64,314.0","65,837.0","67,127.0","68,360.0","69,535.0","70,654.0","74,170.0","76,716.0","78,703.0","80,251.0","82,074.0","84,320.0","86,347.0","87,871.0","88,407.0","88,142.0","87,710.0","88,241.0","88,651.0","89,341.0","90,275.0","91,578.0","92,728.0","94,010.0"
"40","21","Government","A264RC1","24,058.0","24,548.0","24,860.0","25,341.0","25,831.0","26,362.0","26,862.0","27,391.0","27,865.0","28,180.0","28,384.0","28,550.0","29,001.0","29,159.0","29,546.0","30,048.0","30,467.0","31,033.0","31,591.0","32,199.0","33,316.0","34,928.0","36,872.0","38,287.0","39,070.0","39,543.0","40,167.0","40,936.0","41,700.0","42,332.0","42,910.0","43,564.0","44,591.0","45,288.0","45,825.0","46,807.0","47,857.0","48,955.0","50,072.0","50,924.0","51,965.0","53,549.0","55,299.0","56,947.0","58,603.0","60,815.0","62,771.0","64,990.0","67,201.0","69,213.0","71,090.0","72,872.0","74,749.0","76,602.0","78,073.0","78,991.0","79,927.0","80,839.0","82,300.0","83,280.0","84,772.0","86,201.0","87,495.0","89,057.0","90,512.0","91,671.0","93,396.0","95,097.0","96,323.0","98,469.0","100,431.0","102,425.0","104,375.0","105,710.0","107,421.0","108,925.0","111,013.0","112,909.0","114,770.0","116,907.0","118,782.0","120,739.0","122,855.0","125,016.0","127,353.0","129,542.0","131,959.0","134,294.0","136,384.0","138,111.0","139,945.0","141,272.0","142,134.0","143,769.0","145,013.0","146,889.0","149,305.0","150,964.0","152,407.0","153,848.0","155,426.0","157,300.0","158,988.0","161,143.0","162,815.0","164,239.0","165,385.0","166,926.0","167,890.0","168,538.0","169,629.0","170,603.0","172,179.0","173,583.0","174,474.0","176,146.0","176,718.0","177,990.0","179,676.0","181,533.0","183,513.0","186,030.0","188,175.0","190,891.0","193,903.0","196,457.0","198,884.0","200,740.0","202,268.0","204,008.0","205,423.0","206,811.0","208,439.0","210,099.0","211,718.0","213,527.0","215,710.0","217,307.0","218,924.0","220,535.0","223,845.0","228,860.0","234,607.0","240,251.0","243,806.0","248,059.0","253,096.0","257,299.0","260,569.0","267,128.0","272,022.0","277,439.0","284,348.0","289,049.0","293,385.0","298,482.0","302,448.0","308,133.0","314,075.0","319,992.0","322,593.0","323,161.0","323,571.0","325,615.0","328,999.0","332,499.0","335,533.0","339,106.0","343,813.0","349,413.0"
"41","22","  General government","A265RC1","21,948.0","22,380.0","22,636.0","23,042.0","23,471.0","23,928.0","24,353.0","24,810.0","25,211.0","25,439.0","25,556.0","25,631.0","25,995.0","26,089.0","26,395.0","26,814.0","27,128.0","27,582.0","28,032.0","28,528.0","29,465.0","30,833.0","32,445.0","33,616.0","34,192.0","34,534.0","35,037.0","35,678.0","36,348.0","36,846.0","37,335.0","37,884.0","38,797.0","39,370.0","39,729.0","40,588.0","41,512.0","42,400.0","43,301.0","43,965.0","44,802.0","46,132.0","47,584.0","48,924.0","50,293.0","52,212.0","53,813.0","55,718.0","57,634.0","59,366.0","60,936.0","62,530.0","64,249.0","65,828.0","67,039.0","67,828.0","68,626.0","69,399.0","70,716.0","71,592.0","72,917.0","74,130.0","75,214.0","76,592.0","77,821.0","78,825.0","80,414.0","81,897.0","82,917.0","84,808.0","86,553.0","88,290.0","90,086.0","91,213.0","92,673.0","93,985.0","95,844.0","97,421.0","98,987.0","100,859.0","102,517.0","104,159.0","105,940.0","107,882.0","109,960.0","111,799.0","113,877.0","116,033.0","117,918.0","119,393.0","120,944.0","122,123.0","122,832.0","124,138.0","125,071.0","126,619.0","128,638.0","129,919.0","131,196.0","132,292.0","133,456.0","135,046.0","136,456.0","138,351.0","139,690.0","140,792.0","141,609.0","142,801.0","143,557.0","144,020.0","144,887.0","145,633.0","146,682.0","147,760.0","148,389.0","149,730.0","150,045.0","151,097.0","152,462.0","153,930.0","155,520.0","157,612.0","159,373.0","161,518.0","163,988.0","165,964.0","167,948.0","169,376.0","170,601.0","172,043.0","173,149.0","174,194.0","175,382.0","176,628.0","177,854.0","179,311.0","181,025.0","182,182.0","183,377.0","184,440.0","187,022.0","190,953.0","195,584.0","200,120.0","203,135.0","206,565.0","210,749.0","214,310.0","217,430.0","222,843.0","226,975.0","231,470.0","237,476.0","241,395.0","244,885.0","249,118.0","252,218.0","257,101.0","262,103.0","267,058.0","269,287.0","269,998.0","270,489.0","272,213.0","274,840.0","277,478.0","279,625.0","282,476.0","286,433.0","290,971.0"
"42","23","    Federal","B995RC1","14,864.0","15,028.0","15,140.0","15,280.0","15,468.0","15,636.0","15,792.0","15,916.0","16,092.0","16,112.0","16,076.0","15,940.0","16,116.0","16,060.0","16,136.0","16,284.0","16,308.0","16,444.0","16,580.0","16,636.0","16,824.0","17,196.0","17,828.0","18,268.0","18,464.0","18,668.0","19,056.0","19,512.0","19,968.0","20,276.0","20,676.0","21,068.0","21,652.0","21,980.0","22,080.0","22,648.0","23,260.0","23,752.0","24,240.0","24,480.0","24,768.0","25,428.0","26,176.0","26,772.0","27,320.0","28,360.0","29,012.0","29,988.0","30,972.0","31,872.0","32,748.0","33,572.0","34,628.0","35,616.0","36,412.0","36,968.0","37,616.0","38,340.0","39,528.0","40,236.0","41,340.0","42,288.0","43,064.0","44,140.0","44,888.0","45,436.0","46,504.0","47,416.0","47,876.0","49,052.0","50,068.0","50,956.0","52,104.0","52,540.0","53,336.0","54,068.0","55,228.0","56,272.0","57,200.0","58,408.0","59,336.0","60,180.0","61,196.0","62,260.0","63,388.0","64,316.0","65,352.0","66,672.0","67,816.0","68,504.0","69,464.0","70,112.0","70,404.0","71,028.0","71,448.0","72,312.0","73,460.0","73,968.0","74,568.0","74,988.0","75,292.0","76,096.0","76,448.0","77,408.0","77,612.0","77,756.0","77,740.0","78,036.0","77,952.0","77,828.0","77,848.0","77,820.0","77,916.0","77,984.0","77,844.0","77,996.0","77,636.0","77,924.0","78,048.0","78,368.0","78,888.0","79,524.0","80,080.0","80,716.0","81,680.0","81,892.0","82,412.0","82,572.0","82,512.0","82,884.0","83,024.0","82,940.0","83,072.0","83,192.0","83,464.0","84,108.0","84,476.0","84,960.0","85,404.0","85,772.0","86,876.0","88,352.0","89,636.0","91,140.0","92,716.0","93,628.0","94,716.0","96,120.0","97,832.0","99,940.0","101,672.0","102,556.0","104,248.0","105,696.0","106,844.0","108,488.0","110,236.0","112,680.0","114,748.0","116,112.0","116,568.0","117,424.0","118,464.0","119,768.0","121,268.0","122,652.0","123,736.0","125,504.0","127,728.0","129,844.0"
"43","24","    State and local","B986RC1","7,084.0","7,352.0","7,496.0","7,762.0","8,003.0","8,292.0","8,561.0","8,894.0","9,119.0","9,327.0","9,480.0","9,691.0","9,879.0","10,029.0","10,259.0","10,530.0","10,820.0","11,138.0","11,452.0","11,892.0","12,641.0","13,637.0","14,617.0","15,348.0","15,728.0","15,866.0","15,981.0","16,166.0","16,380.0","16,570.0","16,659.0","16,816.0","17,145.0","17,390.0","17,649.0","17,940.0","18,252.0","18,648.0","19,061.0","19,485.0","20,034.0","20,704.0","21,408.0","22,152.0","22,973.0","23,852.0","24,801.0","25,730.0","26,662.0","27,494.0","28,188.0","28,958.0","29,621.0","30,212.0","30,627.0","30,860.0","31,010.0","31,059.0","31,188.0","31,356.0","31,577.0","31,842.0","32,150.0","32,452.0","32,933.0","33,389.0","33,910.0","34,481.0","35,041.0","35,756.0","36,485.0","37,334.0","37,982.0","38,673.0","39,337.0","39,917.0","40,616.0","41,149.0","41,787.0","42,451.0","43,181.0","43,979.0","44,744.0","45,622.0","46,572.0","47,483.0","48,525.0","49,361.0","50,102.0","50,889.0","51,480.0","52,011.0","52,428.0","53,110.0","53,623.0","54,307.0","55,178.0","55,951.0","56,628.0","57,304.0","58,164.0","58,950.0","60,008.0","60,943.0","62,078.0","63,036.0","63,869.0","64,765.0","65,605.0","66,192.0","67,039.0","67,813.0","68,766.0","69,776.0","70,545.0","71,734.0","72,409.0","73,173.0","74,414.0","75,562.0","76,632.0","78,088.0","79,293.0","80,802.0","82,308.0","84,072.0","85,536.0","86,804.0","88,089.0","89,159.0","90,125.0","91,254.0","92,310.0","93,436.0","94,390.0","95,203.0","96,549.0","97,222.0","97,973.0","98,668.0","100,146.0","102,601.0","105,948.0","108,980.0","110,419.0","112,937.0","116,033.0","118,190.0","119,598.0","122,903.0","125,303.0","128,914.0","133,228.0","135,699.0","138,041.0","140,630.0","141,982.0","144,421.0","147,355.0","150,946.0","152,719.0","152,574.0","152,025.0","152,445.0","153,572.0","154,826.0","155,889.0","156,972.0","158,705.0","161,127.0"
"44","25","  Government enterprises","A266RC1","2,110.0","2,168.0","2,224.0","2,299.0","2,360.0","2,434.0","2,509.0","2,581.0","2,654.0","2,741.0","2,828.0","2,919.0","3,006.0","3,070.0","3,151.0","3,234.0","3,339.0","3,451.0","3,559.0","3,671.0","3,851.0","4,095.0","4,427.0","4,671.0","4,878.0","5,009.0","5,130.0","5,258.0","5,352.0","5,486.0","5,575.0","5,680.0","5,794.0","5,918.0","6,096.0","6,219.0","6,345.0","6,555.0","6,771.0","6,959.0","7,163.0","7,417.0","7,715.0","8,023.0","8,310.0","8,603.0","8,958.0","9,272.0","9,567.0","9,847.0","10,154.0","10,342.0","10,500.0","10,774.0","11,034.0","11,163.0","11,301.0","11,440.0","11,584.0","11,688.0","11,855.0","12,071.0","12,281.0","12,465.0","12,691.0","12,846.0","12,982.0","13,200.0","13,406.0","13,661.0","13,878.0","14,135.0","14,289.0","14,497.0","14,748.0","14,940.0","15,169.0","15,488.0","15,783.0","16,048.0","16,265.0","16,580.0","16,915.0","17,134.0","17,393.0","17,743.0","18,082.0","18,261.0","18,466.0","18,718.0","19,001.0","19,149.0","19,302.0","19,631.0","19,942.0","20,270.0","20,667.0","21,045.0","21,211.0","21,556.0","21,970.0","22,254.0","22,532.0","22,792.0","23,125.0","23,447.0","23,776.0","24,125.0","24,333.0","24,518.0","24,742.0","24,970.0","25,497.0","25,823.0","26,085.0","26,416.0","26,673.0","26,893.0","27,214.0","27,603.0","27,993.0","28,418.0","28,802.0","29,373.0","29,915.0","30,493.0","30,936.0","31,364.0","31,667.0","31,965.0","32,274.0","32,617.0","33,057.0","33,471.0","33,864.0","34,216.0","34,685.0","35,125.0","35,547.0","36,095.0","36,823.0","37,907.0","39,023.0","40,131.0","40,671.0","41,494.0","42,347.0","42,989.0","43,139.0","44,285.0","45,047.0","45,969.0","46,872.0","47,654.0","48,500.0","49,364.0","50,230.0","51,032.0","51,972.0","52,934.0","53,306.0","53,163.0","53,082.0","53,402.0","54,159.0","55,021.0","55,908.0","56,630.0","57,380.0","58,442.0"
"45","26","    Federal","B833RC1","296.0","304.0","308.0","324.0","332.0","344.0","360.0","368.0","380.0","392.0","412.0","420.0","440.0","448.0","472.0","484.0","504.0","528.0","548.0","568.0","600.0","624.0","668.0","712.0","752.0","776.0","800.0","828.0","844.0","872.0","892.0","908.0","928.0","948.0","968.0","992.0","1,008.0","1,028.0","1,056.0","1,080.0","1,116.0","1,144.0","1,180.0","1,228.0","1,268.0","1,308.0","1,348.0","1,388.0","1,432.0","1,480.0","1,540.0","1,580.0","1,624.0","1,656.0","1,684.0","1,716.0","1,740.0","1,760.0","1,752.0","1,764.0","1,800.0","1,820.0","1,852.0","1,892.0","1,928.0","1,960.0","1,980.0","2,020.0","2,036.0","2,052.0","2,084.0","2,128.0","2,132.0","2,144.0","2,168.0","2,208.0","2,236.0","2,292.0","2,332.0","2,408.0","2,480.0","2,540.0","2,596.0","2,652.0","2,724.0","2,776.0","2,836.0","2,924.0","2,992.0","3,044.0","3,100.0","3,156.0","3,204.0","3,264.0","3,320.0","3,400.0","3,496.0","3,568.0","3,624.0","3,668.0","3,724.0","3,764.0","3,796.0","3,820.0","3,856.0","3,888.0","3,932.0","3,988.0","4,028.0","4,048.0","4,084.0","4,128.0","4,512.0","4,560.0","4,624.0","4,676.0","4,712.0","4,788.0","4,872.0","4,960.0","5,076.0","5,200.0","5,292.0","5,400.0","5,512.0","5,596.0","5,684.0","5,744.0","5,748.0","5,768.0","5,752.0","5,756.0","5,728.0","5,688.0","5,680.0","5,676.0","5,692.0","5,700.0","5,684.0","5,668.0","5,716.0","5,784.0","5,844.0","5,924.0","6,048.0","6,096.0","6,168.0","6,252.0","5,936.0","6,024.0","6,108.0","6,176.0","6,252.0","6,304.0","6,352.0","6,408.0","6,432.0","6,472.0","6,520.0","6,612.0","6,640.0","6,656.0","6,608.0","6,644.0","6,672.0","6,724.0","6,780.0","6,824.0","6,872.0","6,952.0"
"46","27","    State and local","B846RC1","1,814.0","1,864.0","1,916.0","1,975.0","2,028.0","2,090.0","2,149.0","2,213.0","2,274.0","2,349.0","2,416.0","2,499.0","2,566.0","2,622.0","2,679.0","2,750.0","2,835.0","2,923.0","3,011.0","3,103.0","3,251.0","3,471.0","3,759.0","3,959.0","4,126.0","4,233.0","4,330.0","4,430.0","4,508.0","4,614.0","4,683.0","4,772.0","4,866.0","4,970.0","5,128.0","5,227.0","5,337.0","5,527.0","5,715.0","5,879.0","6,047.0","6,273.0","6,535.0","6,795.0","7,042.0","7,295.0","7,610.0","7,884.0","8,135.0","8,367.0","8,614.0","8,762.0","8,876.0","9,118.0","9,350.0","9,447.0","9,561.0","9,680.0","9,832.0","9,924.0","10,055.0","10,251.0","10,429.0","10,573.0","10,763.0","10,886.0","11,002.0","11,180.0","11,370.0","11,609.0","11,794.0","12,007.0","12,157.0","12,353.0","12,580.0","12,732.0","12,933.0","13,196.0","13,451.0","13,640.0","13,785.0","14,040.0","14,319.0","14,482.0","14,669.0","14,967.0","15,246.0","15,337.0","15,474.0","15,674.0","15,901.0","15,993.0","16,098.0","16,367.0","16,622.0","16,870.0","17,171.0","17,477.0","17,587.0","17,888.0","18,246.0","18,490.0","18,736.0","18,972.0","19,269.0","19,559.0","19,844.0","20,137.0","20,305.0","20,470.0","20,658.0","20,842.0","20,985.0","21,263.0","21,461.0","21,740.0","21,961.0","22,105.0","22,342.0","22,643.0","22,917.0","23,218.0","23,510.0","23,973.0","24,403.0","24,897.0","25,252.0","25,620.0","25,919.0","26,197.0","26,522.0","26,861.0","27,329.0","27,783.0","28,184.0","28,540.0","28,993.0","29,425.0","29,863.0","30,427.0","31,107.0","32,123.0","33,179.0","34,207.0","34,623.0","35,398.0","36,179.0","36,737.0","37,203.0","38,261.0","38,939.0","39,793.0","40,620.0","41,350.0","42,148.0","42,956.0","43,798.0","44,560.0","45,452.0","46,322.0","46,666.0","46,507.0","46,474.0","46,758.0","47,487.0","48,297.0","49,128.0","49,806.0","50,508.0","51,490.0"
"47",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","  Nonfarm business","B1667C1","56,963.0","58,485.0","60,135.0","61,930.0","63,843.0","65,306.0","66,302.0","66,829.0","69,109.0","71,164.0","72,978.0","74,555.0","75,889.0","77,431.0","79,220.0","81,241.0","83,515.0","86,130.0","89,080.0","92,367.0","96,057.0","100,273.0","105,036.0","110,174.0","115,735.0","120,398.0","124,231.0","127,247.0","129,412.0","132,147.0","135,371.0","139,143.0","143,457.0","147,914.0","152,554.0","157,274.0","162,122.0","167,494.0","173,306.0","179,524.0","186,193.0","193,131.0","200,326.0","207,748.0","215,365.0","223,390.0","231,879.0","240,729.0","249,964.0","258,953.0","267,735.0","276,166.0","284,336.0","290,933.0","295,830.0","298,908.0","300,305.0","302,326.0","304,976.0","308,206.0","312,125.0","316,664.0","321,765.0","327,410.0","333,672.0","339,774.0","345,771.0","351,762.0","357,655.0","363,323.0","368,677.0","373,793.0","378,536.0","384,050.0","390,322.0","397,250.0","404,936.0","412,465.0","419,723.0","426,708.0","433,393.0","440,166.0","446,947.0","453,600.0","460,279.0","466,797.0","473,051.0","478,892.0","484,507.0","489,456.0","493,718.0","497,129.0","499,831.0","502,071.0","503,658.0","504,625.0","512,938.0","520,757.0","527,891.0","534,729.0","541,161.0","548,460.0","556,754.0","566,025.0","576,371.0","586,008.0","594,956.0","603,226.0","610,659.0","618,777.0","627,642.0","637,217.0","647,799.0","658,220.0","668,619.0","679,127.0","689,603.0","700,764.0","712,755.0","725,537.0","739,044.0","753,919.0","770,083.0","787,764.0","806,746.0","824,389.0","840,524.0","855,265.0","868,510.0","880,308.0","890,675.0","899,634.0","907,250.0","914,398.0","921,083.0","927,285.0","933,164.0","940,247.0","948,549.0","958,212.0","969,292.0","982,067.0","996,216.0","1,011,697.0","1,027,951.0","1,046,640.0","1,067,511.0","1,090,319.0","1,109,165.0","1,128,184.0","1,145,995.0","1,163,142.0","1,183,840.0","1,199,825.0","1,212,931.0","1,226,908.0","1,240,782.0","1,258,852.0","1,278,975.0","1,290,659.0","1,287,076.0","1,272,737.0","1,260,009.0","1,258,398.0","1,255,967.0","1,262,210.0","1,268,766.0","1,280,510.0","1,292,065.0","1,310,087.0"
