"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"67","48","    Federal","A926RC1","1,264.0","448.0","-1,885.0","-1,155.0","-706.0","-1,944.0","-1,629.0","-2,889.0","579.0","-944.0","-1,669.0","148.0","3,048.0","-6,582.0","-9,334.0","-19,399.0","-20,222.0","4,289.0","14,083.0","11,174.0","953.0","11,351.0","15,739.0","10,530.0","9,392.0","6,551.0","14,329.0","16,728.0","12,992.0","4,410.0","13,476.0","17,699.0","13,422.0","13,887.0","17,378.0","13,227.0","15,861.0","15,348.0","4,541.0","12,240.0","23,942.0"
"68","49","    State and local","A925RC1","2,250.0","2,086.0","1,683.0","1,296.0","1,089.0","2,063.0","1,977.0","3,204.0","2,989.0","2,971.0","3,053.0","3,027.0","3,120.0","2,920.0","2,951.0","2,999.0","2,990.0","3,016.0","3,253.0","3,320.0","3,588.0","3,441.0","5,133.0","5,725.0","6,326.0","6,119.0","6,588.0","7,945.0","8,046.0","6,892.0","8,018.0","8,723.0","8,963.0","10,251.0","11,067.0","12,133.0","12,771.0","14,636.0","14,511.0","15,809.0","17,294.0"
"69","50","  Net domestic investment","W171RC1","9,646.0","4,476.0","123.0","-4,271.0","-3,737.0","-1,422.0","1,665.0","4,685.0","6,969.0","2,037.0","4,573.0","8,335.0","17,860.0","25,301.0","28,701.0","24,902.0","13,847.0","11,543.0","12,908.0","26,655.0","17,382.0","33,920.0","43,993.0","40,049.0","41,791.0","35,735.0","47,226.0","47,831.0","43,991.0","37,715.0","52,422.0","50,574.0","51,307.0","60,864.0","64,064.0","70,317.0","83,077.0","94,638.0","88,641.0","94,398.0","100,521.0"
"70","51","    Private","A557RC1","7,772.0","2,258.0","-1,954.0","-5,601.0","-4,756.0","-3,006.0","-12.0","1,785.0","4,499.0","-765.0","1,521.0","5,495.0","9,095.0","290.0","-4,136.0","-2,858.0","-201.0","18,834.0","18,902.0","29,248.0","16,367.0","32,036.0","34,999.0","27,284.0","28,232.0","24,349.0","37,979.0","37,685.0","33,209.0","25,099.0","37,573.0","37,308.0","35,529.0","44,053.0","47,878.0","53,760.0","66,381.0","74,824.0","67,040.0","73,757.0","81,954.0"
"71","52","      Domestic business","W790RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","19,130.0","18,268.0","25,407.0","27,549.0","32,144.0","44,139.0","54,400.0","47,044.0","50,661.0","57,611.0"
"72","53","      Households and institutions","W791RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,178.0","17,261.0","18,646.0","20,329.0","21,616.0","22,242.0","20,424.0","19,996.0","23,096.0","24,343.0"
"73","54","    Government","A889RC1","1,874.0","2,218.0","2,077.0","1,330.0","1,019.0","1,584.0","1,677.0","2,900.0","2,470.0","2,802.0","3,052.0","2,840.0","8,765.0","25,011.0","32,837.0","27,760.0","14,048.0","-7,291.0","-5,994.0","-2,593.0","1,015.0","1,884.0","8,994.0","12,765.0","13,559.0","11,386.0","9,247.0","10,146.0","10,782.0","12,616.0","14,849.0","13,266.0","15,778.0","16,811.0","16,186.0","16,557.0","16,696.0","19,814.0","21,601.0","20,641.0","18,567.0"
"74","55","      Federal","A890RC1","-27.0","58.0","144.0","201.0","414.0","664.0","905.0","915.0","876.0","840.0","715.0","1,156.0","7,736.0","24,887.0","33,455.0","28,484.0","14,638.0","-7,341.0","-7,011.0","-4,522.0","-2,197.0","-1,849.0","4,590.0","8,180.0","8,480.0","5,081.0","2,293.0","2,429.0","2,116.0","3,095.0","5,166.0","3,768.0","5,409.0","5,953.0","4,036.0","3,315.0","2,090.0","3,574.0","3,814.0","1,291.0","-420.0"
"75","56","      State and local","A893RC1","1,901.0","2,160.0","1,933.0","1,129.0","605.0","920.0","772.0","1,985.0","1,594.0","1,962.0","2,337.0","1,684.0","1,029.0","124.0","-618.0","-724.0","-590.0","50.0","1,017.0","1,929.0","3,212.0","3,733.0","4,405.0","4,586.0","5,080.0","6,306.0","6,955.0","7,717.0","8,666.0","9,521.0","9,682.0","9,498.0","10,368.0","10,858.0","12,150.0","13,242.0","14,605.0","16,240.0","17,787.0","19,349.0","18,987.0"
"76","57","  Gross saving as a percentage of gross national income","W206RC1","18.6","16.3","10.9","5.6","5.8","9.7","13.0","13.9","17.5","13.7","14.9","18.4","23.5","24.4","22.4","18.3","13.6","17.3","19.2","21.4","17.1","20.6","22.2","20.7","19.9","19.3","21.2","22.5","21.5","19.4","20.8","21.0","20.8","21.2","21.4","21.5","21.9","21.5","20.5","20.0","20.1"
"77","58","  Net saving as a percentage of gross national income","W207RC1","9.3","6.0","-0.6","-7.5","-7.4","-2.1","2.5","4.1","7.8","2.9","4.7","8.7","14.8","16.0","14.1","9.4","3.9","6.9","8.2","10.9","6.2","10.4","12.2","10.6","9.7","8.6","10.9","11.8","10.5","8.0","10.0","10.3","10.2","10.9","11.2","11.5","12.1","11.7","10.5","10.1","10.0"
"78","59","  Disaster losses \2\","W771RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"79","60","    Private","W772RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"80","61","      Domestic business","W773RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"81","62","      Households and institutions","W774RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"82","63","    Government","W775RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"83","64","      Federal","W776RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"84","65","      State and local","W777RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
