"","Table 2#5#3# Real Personal Consumption Expenditures by Type of E","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"42","35","  Stationery and writing supplies (n.d.)","BSTYRA3",6.335,6.05,5.487,3.941,4.444,5.42,6.501,7.101,7.334,7.139,8.265,8.685,10.336,10.644,12.791,14.375,17.137,17.513,16.161,15.816,16.882,16.634,16.364,17.58,19.224,20.185,20.755,20.785,21.551,22.932,25.565,26.46,25.929,27.656,29.433,31.211,32.346,37.266,36.204,38.755,43.828,43.13,39.198,42.94,44.924,39.979,39.121,40.188,42.571,49.396,52.129,53.964,55.939,56.05,57.841,63.042,65.749,68.833,75.272,81.475,87.857,90.429,92.214,93.841,95.1,96.733,93.977,91.128,89.05,90.921,95.816,100,96.423,96.277,98.801,104.423,108.434
"43","36","  Household utilities","A535RA3",13.44,13.776,13.353,13.06,13.224,13.811,14.315,15.28,15.61,15.288,16.274,17.441,18.11,18.94,19.442,19.867,21.103,23.169,25.053,26.212,25.585,28.088,29.671,30.578,31.379,33.246,35.405,37.251,38.394,39.957,41.012,42.199,43.148,45.292,47.71,50.046,52.401,54.67,56.64,58.18,60.222,61.689,62.717,67.082,69.937,67.496,69.827,73.09,75.034,77.276,77.144,75.14,71.881,71.627,73.515,74.424,76.737,77.102,79.551,83.116,84.78,83.098,84.655,84.167,88.325,90.465,92.082,94.913,94.303,95.746,97.395,100,98.759,101.106,102.611,103.142,104.613
"44","37","    Electricity (s.)","BELCRA3",2.061,2.28,2.421,2.452,2.416,2.586,2.769,2.98,3.212,3.448,3.674,3.981,4.248,4.505,4.636,5.002,5.336,6.178,6.936,7.782,8.687,9.871,10.955,12.022,13.125,14.309,15.376,16.68,17.885,18.887,20.057,21.219,22.251,23.717,24.946,26.477,27.898,29.739,31.558,33.895,36.182,38.617,40.316,43.024,45.661,46.777,49.906,52.247,57.015,59.771,60.883,63.581,63.163,63.617,67.571,68.125,70.445,71.142,74.452,77.606,78.706,79.266,81.553,80.144,84.86,86.773,88.095,89.687,89.569,95.709,96.53,100,97.744,102.224,103.304,106.194,110.891
"45","38","    Gas (s.)","BNGSRA3",12.506,13.195,13.341,13.195,12.39,12.448,12.713,13.107,13.561,13.239,13.487,14.468,14.685,15.941,16.763,17.316,18.531,20.178,22.944,24.679,25.497,29.004,33.084,35.419,37.205,41.353,44.741,49.052,51.405,54.195,57.111,59.981,63.283,67.979,70.834,73.849,76.724,79.736,83.614,86.208,90.373,91.576,92.359,96.201,93.157,91.876,94.859,96.037,92.841,96.042,94.528,94.164,90.59,92.733,90.008,90.212,91.404,86.405,87.043,93.252,96.904,89.49,92.93,95.507,99.032,98.815,98.649,106.989,104.481,94.445,96.056,100,99.692,98.286,101.952,100.913,99.84
"46","39","    Water and other sanitary services (s.)","BWATRA3",11.257,11.966,11.966,11.595,12.293,13.561,13.351,13.986,14.197,14.026,14.877,15.203,15.759,16.247,16.541,16.82,16.969,18.089,18.692,19.331,20.076,20.581,21.312,21.711,22.227,22.555,22.613,23.5,23.288,22.387,24.362,26.746,28.014,29.843,32.653,34.084,35.559,35.936,36.164,37.479,40.075,42.572,43.311,47.068,49.42,51.649,52.245,51.676,51.782,52.39,55.87,58.419,58.1,57.711,59.839,63.893,68.406,72.651,75.765,77.66,80.558,80.873,79.706,78.208,81.955,85.653,88.861,91.75,93.773,95.216,98.428,100,100.969,102.077,103.281,102.386,102.789
"47","40","    Fuel oil and coal (n.d.)","B171RA3",169.715,165.821,150.486,144.027,151.501,156.564,162.428,175.678,173.918,161.382,174.839,188.227,194.016,199.405,203.139,201.089,214.767,230.996,243.298,244.478,215.671,231.757,231.241,224.728,217.19,221.423,235.317,235.791,233.795,242.691,231.845,222.035,211.377,210.891,221.303,229.973,240.756,247.751,247.861,234.688,222.384,206.904,199.85,219.748,238.575,188.26,184.752,207.526,200.876,199.313,185.199,143.173,120.134,111.45,111.609,111.153,112.489,116.652,115.124,119.422,116.531,105.816,104.79,107.255,109.637,114.914,118.175,116.468,107.038,101.32,103.68,100,95.771,98.148,97.415,92.479,86.762
"48","41","  Telephone and telegraph (s.)","BTELRA3",1.273,1.281,1.226,1.064,0.968,0.997,1.069,1.163,1.251,1.251,1.331,1.419,1.595,1.795,2.051,2.205,2.395,2.595,2.73,2.961,3.133,3.266,3.574,3.845,4.117,4.347,4.825,5.201,5.571,5.772,6.064,6.441,6.864,7.266,7.852,8.446,9.344,10.319,11.145,12.115,13.307,14.3,14.919,15.909,17.642,18.593,20.554,22.183,23.853,26.121,28.25,29.774,30.416,31.38,32.525,32.755,35.067,36.44,39.323,41.702,44.573,46.635,48.747,53.988,56.861,60.391,63.531,69.16,77.079,83.117,91.428,100,104.759,104.912,106.709,111.639,115.193
"49","42","  Domestic service (s.)","BDMSRA3",198.313,185.016,164.466,141.027,133.94,151.741,158.754,168.997,178.51,162.768,174.579,183.161,173.001,176.249,146.185,139.514,137.935,127.176,136.026,133.718,133.322,145.18,142.854,131.347,128.958,121.622,144.053,150.651,147.652,151.113,147.483,148.473,144.249,143.216,141.343,139.849,135.311,129.875,130.366,123.998,117.352,109.873,104.936,101.666,98.908,85.934,80.621,83.617,86.169,87.076,77.244,68.417,63.347,63.516,63.142,71.263,69.01,72.287,71.201,75.094,79.624,82.509,76.681,82.587,85.969,88.863,92.503,90.232,93.518,105.592,96.77,100,93.656,89.617,96.532,100.143,98.325
"50","43","  Other (s.) \10\","BOPORA3",10.023,10.119,10.098,8.965,8.281,8.557,8.975,9.865,10.394,10.977,11.406,11.539,12.429,13.637,15.152,17.086,18.713,18.868,18.787,19.312,18.907,20.055,20.966,21.458,22.68,22.913,24.25,25.518,26.375,26.951,28.474,29.674,30.214,31.163,30.982,32.868,34.964,37.412,39.483,40.105,41.67,41.801,40.713,43.046,45.287,45.229,44.217,44.761,47.778,50.425,54.728,55.936,55.186,52.414,54.903,60.213,62.786,65.249,67.786,68.414,72.214,74.024,69.507,70.106,72.302,79.034,82.662,84.809,88.417,94.4,98.511,100,96.576,93.091,91.189,95.386,96.64
"51","44","Medical care","A536RA3",4.445,4.329,4.197,3.898,3.672,3.901,3.976,4.248,4.463,4.422,4.686,4.855,5.226,5.617,5.942,6.334,6.499,7.397,7.699,8.352,8.684,9.256,9.85,10.302,10.782,11.33,11.812,12.66,13.422,14.214,15.229,15.964,16.834,18.414,19.601,21.541,22.534,23.707,24.643,26.694,28.642,30.466,32.29,34.593,37.079,38.475,40.231,41.986,43.85,46.068,48.209,49.981,52.324,53.05,55.313,57.126,59.489,62.017,65.22,68.581,70.642,74.355,76.502,79.737,81.096,82.335,84.447,86.483,89.116,92.728,95.598,100,105.03,111.072,115.814,119.65,123.798
"52","45","  Drug preparations and sundries (n.d.) \11\","BDRGRA3",1.944,1.838,1.704,1.538,1.545,1.761,1.832,1.966,2.139,2.2,2.34,2.431,2.743,3.131,3.723,3.906,4.117,4.507,4.306,4.539,4.739,5.174,5.75,5.94,6.128,6.153,6.658,7.335,7.973,8.271,8.944,9.864,11.033,12.229,13.041,13.547,14.126,14.769,15.777,17.431,18.887,21.29,22.293,24.189,26.039,27.533,27.708,28.588,29.131,31.422,34.379,36.091,37.195,37.386,39.18,41.134,42.4,44.132,46.077,48.127,50.571,53.172,54.108,54.466,56.165,58.553,62.338,66.544,72.486,81.522,91.065,100,108.745,115.38,123.123,128.841,132.363
"53","46","  Ophthalmic products and orthopedic appliances (d.)","BOPTRA3",3.648,3.739,3.297,2.75,2.841,3.823,4.038,4.337,5.085,4.837,5.234,5.618,6.827,7.705,8.869,9.408,9.74,10.819,10.527,10.897,11.112,11.795,12.64,13.277,14.012,13.96,13.687,14.922,14.766,14.395,13.757,13.097,12.823,15.402,16.13,17.207,18.343,19.926,17.803,20.017,22.208,24.084,23.004,25.299,26.931,27.244,28.096,28.128,28.234,29.221,30.631,30.074,29.61,30.399,33.44,38.72,43.752,49.348,54.35,63.875,67.927,78.41,69.335,69.03,69.294,73.915,73.927,81.07,89.098,93.887,96.932,100,90.946,95.329,97.096,99.28,103.573
"54","47","  Physicians (s.) \12\","BPHYRA3",9.064,8.54,8.172,7.664,7.12,7.582,7.692,8.451,8.658,8.15,8.538,8.693,8.944,9.275,8.88,10.086,10.211,12.852,14.299,15.831,15.899,16.493,17.189,17.763,18.48,19.896,19.753,20.766,21.793,23.603,24.636,25.073,25.249,26.95,28.068,32.177,32.569,32.558,33.744,34.768,36.771,38.627,39.632,41.694,44.778,45.286,46.653,46.019,48.369,49.285,51.342,54.155,57.639,57.788,60.504,63.183,66.433,68.503,74.287,78.713,79.594,82.225,83.623,86.265,83.75,82.97,84.5,86.524,88.903,92.357,94.824,100,105.421,113.907,121.643,127.763,133.364
"55","48","  Dentists (s.)","BDENRA3",16.079,15.024,14.314,12.994,11.596,12.074,11.522,12.426,12.7,12.4,13.588,14.182,15.369,15.853,15.828,15.586,16.173,19.007,18.019,19.849,19.488,20.159,20.485,21.957,23.328,25.558,26.866,28.134,29.557,30.584,30.662,31.268,32.43,33.863,33.479,37.932,38.975,39.781,42.737,44.508,48.337,51.558,51.088,53.926,60.989,62.459,64.078,67.69,70.012,72.225,72.191,72.12,77.303,77.308,78.701,79.479,81.895,83.255,86.175,85.725,86.219,86.523,84.709,87.729,87.724,89.406,91.689,92.3,93.994,95.809,97.087,100,103.811,107.338,106.636,109.204,110.334
"56","49","  Other professional services (s.) \13\","BOPSRA3",2.741,2.499,2.337,2.064,1.851,1.867,1.847,1.967,1.978,1.832,1.92,1.921,1.923,2.015,1.934,2.154,2.296,2.792,3.064,3.379,3.375,3.49,3.577,3.614,3.732,3.924,3.894,4.1,4.373,4.795,6.488,7.346,8.222,9.788,11.228,12.97,14.396,14.697,11.795,12.412,11.791,11.747,11.637,12.521,14.512,15.225,16.48,18.141,19.194,20.05,21.23,21.53,23.777,23.686,27.535,30.848,33.599,36.654,40.576,45.393,49.869,58.7,64.471,71.553,77.897,82.129,88.046,91.952,93.53,96.246,97.296,100,105.163,110.23,115.859,121.68,127.079
"57","50","  Hospitals and nursing homes \14\","BPHORA3",3.709,4.104,4.337,4.329,4.122,4.037,4.142,4.2,4.328,4.543,4.703,4.87,4.933,5.256,5.561,5.697,5.774,6.147,6.18,6.558,7.002,7.47,7.625,8.216,8.677,9.251,9.87,10.627,11.291,12.274,13.406,14.04,14.92,16.408,17.851,19.292,20.432,22.686,25.112,28.186,31.062,32.99,37.07,40.016,42.08,44.013,46.694,49.639,51.987,55.257,57.268,59.327,61.811,63.525,65.797,66.498,68.039,70.731,72.453,75.215,77.041,80.067,82.76,85.879,87.413,88.382,89.957,91.505,93.993,95.848,97.269,100,104.443,109.67,112.21,113.792,117.1
"58","51","    Hospitals","A2601A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.917,16.063,16.784,18.312,19.592,20.535,21.948,24.083,26.414,29.424,31.952,33.806,37.842,40.926,42.912,45.027,47.896,51.108,53.47,56.794,59.063,61.19,64.05,66.384,68.053,68.2,69.535,72.054,74.193,76.328,77.877,80.126,83.02,86.105,87.534,88.372,89.219,90.358,92.357,94.678,96.726,100,105.265,111.338,114.183,116.285,119.716
"59","52","      Nonprofit (s.)","B2602A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.212,15.791,16.591,17.87,19.25,20.096,21.209,23.074,25.106,27.669,30.358,32.345,35.902,38.401,39.975,42.215,45.266,48.324,50.923,54.088,55.65,58.021,60.733,63.137,65.027,65.481,66.453,68.87,71.453,74.274,76.793,80.36,84,88.083,89.554,89.328,88.961,89.722,91.761,94.223,97.112,100,103.266,107.846,111.187,113.636,117.013
"60","53","      Proprietary (s.)","B2603A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.496,17.527,18.439,19.863,21.445,22.237,23.518,25.587,27.979,30.68,33.723,35.905,39.92,42.6,44.538,47.056,50.525,53.849,56.445,60.607,64.1,66.9,69.613,72.723,73.867,76.58,81.252,86.53,89.713,91.535,91.006,90.141,89.353,87.183,83.587,84.481,88.95,95.482,99.393,97.696,97.22,100,111.388,126.892,132.63,132.904,138.301
"61","54","      Government (s.)","B2604A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.334,15.944,16.175,18.85,19.459,20.89,23.693,27.033,30.628,35.745,37.164,38.159,44.264,50.138,53.979,55.227,56.835,60.578,61.627,65.135,69.958,70.553,74.054,75.629,76.596,74.2,75.289,76.804,76.708,76.431,75.522,74.809,77.114,79.709,83.539,87.536,90.169,89.715,90.631,94.549,95.281,100,108.453,114.501,114.335,116.284,118.896
"62","55","    Nursing homes (s.)","B2605A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.368,5.83,7.287,8.575,10.594,13.881,13.944,16.573,19.277,22.49,26.594,28.738,32.845,35.164,37.454,38.629,40.503,42.316,44.537,47.493,48.421,50.146,51.016,50.043,54.926,58.088,60.546,64.009,63.784,69.463,72.611,79.372,81.07,84.347,86.403,88.031,93.244,96.793,101.628,101.28,99.772,100,100.718,102.133,103.297,102.516,105.267
"63","56","  Health insurance","BHINRA3",3.027,3.028,3.187,2.835,2.445,2.487,2.719,2.932,3.305,3.429,3.759,4.062,4.953,5.449,6.098,6.709,6.639,6.797,8.401,9.529,11.321,13.162,16.439,16.588,17.47,17.531,19.245,21.044,22.652,22.36,23.224,24.269,25.065,26.516,27.756,29.701,31.181,32.696,32.832,35.615,37.252,39.22,39.584,42.142,44.457,46.61,49.1,52.068,54.769,57.752,62.956,65.724,64.661,64.277,62.056,63.682,68.735,71.609,76.862,80.445,81.249,83.456,85.45,90.702,92.927,91.803,87.776,84.022,82.891,88.965,92.627,100,104.118,111.137,117.691,122.506,128.819
"64","57","    Medical care and hospitalization (s.) \15\","BMINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.374,0.364,0.438,0.449,0.568,0.71,0.843,0.897,0.89,0.979,0.906,20.442,20.994,21.67,22.914,23.922,25.608,26.984,27.681,27.183,28.24,30.143,31.588,32.546,34.68,36.778,39.031,43.928,46.187,47.263,48.912,51.993,55.716,58.6,59.925,60.268,61.587,65.159,67.407,71.666,74.352,75.342,77.163,79.585,83.957,86.003,85.775,83.075,80.575,79.988,87.847,91.882,100,102.92,109.338,115.727,120.945,128.004
"65","58","    Income loss (s.) \16\","BIINRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.009,16.598,17.775,17.893,18.54,24.72,26.192,26.015,23.779,27.84,30.018,39.27,40.381,41.659,44.012,45.982,49.229,51.931,53.209,52.295,62.264,64.092,69.809,68.263,70.889,70.551,72.268,69.056,68.895,67.304,68.713,78.46,78.48,64.425,55.209,43.27,44.401,48.138,43.144,43.063,42.027,42.551,42.568,39.869,46.716,59.283,55.892,57.346,61.27,73.748,85.359,93.657,100,105.801,112.594,119.395,126.267,133.519
"66","59","    Workers' compensation (s.) \17\","BPWCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.807,1.822,1.768,1.88,2.025,2.117,2.098,2.237,2.42,2.77,2.853,18.972,20.864,21.604,22.909,24.166,25.827,26.765,30.075,32.175,34.188,34.935,35.78,35.823,39.157,43.739,45.749,47.261,54.221,64.083,72.43,79.887,81.174,75.957,75.963,72.438,75.338,87.091,97.947,109.983,119.912,119.928,125.335,127.723,136.005,133.871,127.883,114.543,102.87,97.402,94.695,96.108,100,110.069,120.504,127.962,129.587,130.387
"67","60","Personal business","B479RA3",12.801,11.78,11.33,10.917,11.71,11.134,11.93,12.184,12.486,12.112,12.32,12.333,12.338,11.928,12.399,12.006,12.03,12.551,12.882,13.041,12.995,13.734,14.024,13.92,14.309,14.941,15.579,15.807,16.332,16.986,17.394,17.967,19.03,18.974,19.651,20.805,22.252,23.216,24.25,25.292,25.669,26.669,27.641,28.792,30.211,30.616,33.16,35.407,37.395,39.176,39.489,39.584,39.352,42.099,48.186,48.741,53.926,55.502,57.344,57.789,59.926,61.215,64.74,66.574,70.674,70.976,71.779,74.63,79.085,84.2,91.878,100,98.845,97.688,98.023,103.989,107.527
"68","61","  Brokerage charges and investment counseling (s.)","BBRORA3",15.853,10.514,7.451,6.066,9.498,4.78,5.864,6.418,5.912,4.154,3.602,3.012,2.487,1.941,2.831,2.78,3.699,3.37,2.786,2.776,2.442,3.704,3.204,2.65,2.482,3.161,3.151,2.655,2.583,2.921,3.772,3.253,4.414,3.487,3.28,3.662,4.518,4.912,6.069,5.825,4.648,3.584,3.798,3.736,3.044,2.485,2.848,3.345,3.308,3.298,3.523,3.966,3.62,4.34,6.656,6.874,8.195,10.277,12.533,10.717,12.099,12.215,14.175,16.675,21.289,23.965,27.945,33.98,41.09,52.813,73.468,100,85.926,87.401,85.407,93.763,96.572
"69","62","  Bank service charges, trust services, and safe deposit box rental (s.)","BBNKRA3",5.378,4.282,3.905,3.23,3.474,4.008,4.076,4.282,4.267,3.933,4.126,4.179,4.441,4.647,5.256,5.818,6.298,6.277,5.93,6.102,6.267,7.335,7.937,8.283,8.823,9.413,10.038,9.853,10.178,10.384,10.838,11.214,11.511,11.887,12.096,13.133,14.56,16.056,17.363,18.243,19.768,20.684,21.678,23.517,26.343,29.417,28.485,29.6,31.979,34.027,36.669,40.649,44.884,48.458,47.485,50.414,55.028,60.539,66.392,68.927,70.577,71.456,74.178,76.695,78.295,76.144,75.863,76.65,77.213,84.611,95.922,100,104.703,112.678,119.062,124.932,135.741
"70","63","  Services furnished without payment by financial intermediaries except life insurance carriers (s.)","BIMPRA3",8.994,8.781,8.394,7.904,7.397,7.134,7.41,7.756,7.991,7.834,7.949,8.104,8.208,8.318,8.314,7.899,7.998,9.434,9.684,9.773,9.69,9.983,10.192,10.628,11.253,11.794,12.356,12.565,12.703,13.159,13.16,13.986,14.419,14.636,15.585,16.551,16.947,17.306,18.138,19.78,21.34,23.826,26.071,27.889,30.189,30.729,36.157,37.42,40.508,41.746,41.147,38.688,37.027,41.998,58.354,56.82,65.069,65.113,67.168,64.31,65.589,69.195,73.317,76.11,78.418,79.674,77.571,81.367,85.608,89.918,95.052,100,105.354,104.344,101.95,109.852,112.206
"71","64","  Expense of handling life insurance and pension plans (s.) \18\","BLIFRA3",17.847,18.962,20.032,22.028,23.352,22.88,25.148,24.401,24.301,24.594,25.216,24.976,24.37,22.233,21.929,21.299,20.452,20.575,23.708,23.976,23.885,24.956,25.396,25.244,25.779,26.475,28.468,31.246,32.721,33.538,31.323,33.863,34.358,34.795,36.112,39.047,42.302,42.209,41.124,42.97,44.1,46.377,45.322,46.946,50.693,52.592,56.211,63.855,66.697,71.406,74.641,78.934,80.975,85.832,83.423,85.938,91.481,88.044,81.538,88.47,91.788,89.706,99.99,95.16,104.406,98.981,100.95,96.984,101.269,96.926,95.098,100,93.806,82.767,80.96,88.138,92.602
"72","65","  Legal services (s.)","BGALRA3",24.272,23.699,25.642,23.011,23.73,25.684,26.541,26.49,27.259,27.113,28.338,28.692,29.556,29.882,28.933,27.302,26.445,28.911,28.242,30.5,31.637,31.586,32.819,31.761,31.963,33.591,33.934,32.044,33.999,36.559,39.759,39.647,44.009,45.788,49.001,49.273,50.632,55.479,55.578,56.325,57.238,61.046,62.255,62.428,65.806,67.256,65.372,67.364,69.532,74.58,72.623,72.052,75.007,73.432,70.875,73.619,79.127,82.525,86.469,93.508,96.013,97.477,94.219,96.465,95.465,94.266,92.096,94.909,97.045,99.226,100.543,100,101.077,100.1,105.036,105.232,105.541
"73","66","  Funeral and burial expenses (s.)","BFUNRA3",74.839,71.83,70.41,69.537,68.339,71.531,71.179,76.181,74.292,70.293,70.762,72.338,71.244,70.332,74.553,71.793,71.28,70.947,73.555,73.454,73.172,73.796,77.521,78.074,79.705,77.893,80.51,82.604,86.127,86.681,87.187,89.851,89.274,92.07,94.785,94.48,96.965,99.874,100.353,105.524,105.613,106.195,107.075,109.312,109.17,106.915,104.443,111.36,114.706,117.652,113.243,113.475,106.667,98.501,92.926,94.685,99.541,97.874,96.708,103.796,104.559,107.033,107.035,111.053,111.034,107.196,107.812,105.592,102.588,105.166,103.163,100,100.874,97.355,100.603,94.559,93.939
"74","67","  Other (s.) \19\","BPBORA3",6.417,5.794,5.384,3.96,4.446,6.417,7.339,7.734,11.936,13.162,13.993,14.626,16.17,16.125,18.576,17.943,17.213,17.71,16.778,16.109,16.125,16.337,17.158,16.657,17.31,17.654,18.034,18.956,20.06,20.754,21.886,23.21,23.479,24.458,24.872,26.575,28.592,30.794,33.178,35.49,38.753,39.452,39.276,42.19,44.574,44.909,46.515,49.498,52.596,55.521,55.616,53.788,52.514,52.704,53.667,54.679,57.594,59.54,60.534,65.45,69.53,73.164,74.162,75.65,79.253,82.346,83.84,85.923,90.241,94.915,99.126,100,100.832,103.709,107.497,112.107,115.075
"75","68","Transportation","A537RA3",7.252,6.033,5.372,4.394,4.598,5.114,5.869,6.735,7.049,6.06,7.018,7.942,8.925,5.271,5.144,5.397,6.234,10.573,12.281,13.146,14.857,17.051,16.3,15.886,17.936,17.625,21.152,20.067,20.797,19.286,21.38,22.37,21.493,23.714,25.564,26.978,29.7,30.857,31.209,34.666,36.437,35.564,39.375,43.109,45.887,41.695,42.289,46.829,50.406,52.173,50.804,46.42,46.682,47.17,51.867,57.422,62.526,66.161,66.05,69.227,69.812,69.15,64.326,68.09,71.199,75.369,76.703,80.512,85.238,91.313,97.437,100,102.181,104.388,106.08,107.762,108.066
"76","69","  User-operated transportation","A538RA3",6.113,4.976,4.437,3.537,3.828,4.332,5.109,5.906,6.169,5.175,6.152,7.074,7.983,3.619,2.822,2.943,3.809,8.309,10.245,11.241,13.275,15.73,14.978,14.563,16.75,16.571,20.311,19.17,19.965,18.506,20.687,21.727,20.854,23.184,25.118,26.529,29.302,30.405,30.609,34.065,35.702,34.802,38.814,42.548,45.326,40.582,41.306,45.896,49.476,51.282,49.662,45.411,46.142,46.64,51.444,57.115,62.45,65.955,65.706,68.992,69.623,68.858,63.755,67.821,71.106,75.128,76.361,80.031,84.897,91.113,97.439,100,102.761,105.093,106.571,108.019,108.324
"77","70","    New autos (d.)","A136RA3",13.573,8.822,6.397,3.73,5.096,6.368,9.604,12.171,12.344,7.18,10.123,13.216,14.613,0.61,0.614,0.201,0.191,8.846,15.515,17.613,24.777,32.915,26.387,22.349,30.887,29.685,41.85,33.23,34.237,25.527,33.145,35.718,30.785,38.408,44.339,47.156,56.352,56.541,53.33,63.5,64.034,54.427,67.116,75.827,81.354,61.34,61.131,74.882,82.764,84.066,79.242,69.226,71.439,72.331,87.373,99.404,107.833,118.657,105.832,110.107,103.821,98.92,77.007,81.266,83.459,85.212,79.329,77.772,78.231,84.007,94.115,100,100.145,99.818,97.154,98.182,103.256
"78","71","    Net purchases of used autos (d.)","B137RA3",18.308,15.433,11.163,7.939,8.615,10.24,13.955,18.446,19.492,14.798,17.456,19.019,20.214,20.355,17.983,16.784,15.917,11.427,19.068,28.017,36.874,42.758,45.54,50.26,43.521,37.369,42.965,45.16,49.898,52.545,45.961,44.974,43.51,42.158,43.506,43.047,46.433,46.104,49.284,49.469,51.851,48.805,49.014,51.647,52.005,49.525,48.251,54.261,54.103,54.66,53.659,51.233,50.342,48.073,48.459,60.36,68.695,67.223,68.503,69.26,69.093,69.914,73.893,78.838,79.746,88.171,87.065,90.356,94.609,101.132,101.746,100,96.786,95.746,92.809,92.401,94.308
"79","72","    Other motor vehicles (d.)","BOAURA3",0.439,0.323,0.239,0.139,0.179,0.278,0.351,0.456,0.461,0.307,0.428,0.446,0.587,0,0,0,0,0.956,1.172,1.289,0.987,1.161,1.254,0.916,0.894,0.835,1.263,1.28,1.17,0.982,1.165,1.185,1.011,1.437,1.748,2.015,2.567,3.104,3.255,4.517,5.333,5.041,6.721,9.533,11.665,10.007,11.041,16.253,20.209,22.625,18.282,12.121,12.121,14.063,19.704,25.312,33.024,36.64,38.648,42.42,46.36,45.939,41.966,48.031,52.937,56.935,57.628,63.593,72.006,84.797,95.86,100,112.873,126.727,136.26,139.41,135.333
"80","73","    Tires, tubes, accessories, and other parts (d.)","BTBARA3",3.259,2.827,2.738,2.156,1.884,2.262,2.386,2.594,2.655,2.489,3.067,3.547,4.439,1.744,2.047,2.346,3.402,7.091,6.814,6.343,5.88,7.27,6.276,6.813,6.184,5.699,6.823,7.385,8.335,8.934,10.098,10.87,11.567,12.692,13.315,14.301,14.684,15.699,16.284,18.11,20.547,22.093,24.981,27.834,31.766,31.792,31.543,32.546,34.54,36.951,38.147,37.665,39.142,39.881,44.735,48.52,50.676,51.599,52.431,56.787,57.118,59.666,58.296,59.984,65.554,72.397,75.775,80.91,84.595,89.302,96.219,100,97.703,98.382,100.876,104.858,110.684
"81","74","    Repair, greasing, washing, parking, storage, rental, and leasing (s.)","BREPRA3",4.021,3.344,2.906,2.527,2.882,3.167,3.14,3.571,3.718,3.54,4.094,4.459,5.095,3.604,3.35,4.115,5.622,9.698,10.305,10.925,11.53,11.927,12.735,13.165,14.159,14.136,15.182,15.854,16.538,16.925,17.931,18.796,19.369,20.344,21.495,22.685,23.712,25.059,26.106,27.323,28.681,30.268,31.747,33.046,32.91,32.003,33.137,34.53,37.33,38.338,39.463,37.817,37.899,36.506,39.745,45.262,51.572,52.541,54.964,58.899,60.158,59.602,55.418,59.286,63.378,69.606,75.668,82.042,89.093,92.095,96.684,100,99.69,95.504,94.292,94.259,94.417
"82","75","    Gasoline and oil (n.d.)","B170RA3",8.224,8.303,8.646,7.967,7.981,8.506,9.021,9.747,10.49,10.793,11.501,12.191,13.599,10.25,6.503,6.708,8.837,16.039,17.066,18.153,19.739,20.469,22.25,24.085,25.415,26.223,28.505,30.229,31.393,32.884,34.573,35.757,36.126,37.658,38.815,40.94,42.874,45.549,47.029,50.304,53.686,57.009,59.77,62.206,65.44,62.217,64.07,66.633,68.675,70.258,69.315,65.358,66.349,67.176,68.676,70.833,72.225,75.734,77.762,79.81,81.515,80.75,79.862,83.093,85.204,86.338,87.935,89.888,92.666,96.941,100.351,100,101.481,103.572,104.268,105.861,105.824
