"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"105","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",61221,61802,62730,63889,64796,64615,65130,64964,65219,65977,66411,67546,68737,69664,70419,71864,72911,73874,74335,74918,75632,76670,76629,78037,78851,79246,79775,80903,81838,82758,83673,83963,84835,86836,87537,88621,90017,91125,92021,92125,92316,94008,95673,98487,99981,101248,102390,103413,104844,106291,107218,108684,110071,111100,112445,113070,113833,114812,117258,118495,118458,120284,121537,122665,123846,125082,126665,127545,128787,130287,131380,133561,134100,134348,135951,136491,137860,138350,138071,139841,139995,141618,142200,142692,145305,144882,145786,147047,148047,148461,149410,149679,151156,152214,152438,154159,154365,156888,157157,158484,158617,159749,161527,162671,164864,165897,167054,169174,170050,171239,171341,172415,173035,174026,173938,175359,176898,178087,179483,180381,181273,183530,185742,186856,188810,190957,192578,194186,195207,196952,198870,199025,201755,203146,206054,207289,209839,210599,214217,216446,216698,217864,220215,222586,225168,225474,226836,229298,229915,231546,233790,235149,236725,239597,241504,243413,246889,247725,250467,252493,255165,258628,261583,263026,263775,266013,267771,269381,269910,273216,273712,277911,278444,281628,283288,285897,287879,291062,293144,297085,298306,298642,302123,304128,305565,307445,309789,312105,314217,315100,315555,318496,320247,324203,323411,325208,326626,328617,331610,331173,331725,332800,334145,334407,334650,336398,337593,338247,341022,340051,342894,344232,346353,347009,349431,349889
"106",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","25","  PCE excluding food and energy \4\","DPCCRC0",946796,965394,976445,981627,988637,992913,1006890,1013069,1021346,1033472,1047075,1055778,1049411,1068644,1089215,1108353,1119655,1132345,1133757,1151034,1152913,1166496,1175303,1186495,1186385,1193954,1209701,1214402,1229329,1235045,1248927,1267547,1278766,1284054,1295562,1301591,1327221,1321329,1315835,1307722,1313005,1328193,1354778,1366061,1383544,1415363,1424108,1441936,1454624,1472065,1484211,1485492,1488682,1501189,1513589,1537937,1535618,1528483,1537648,1545339,1551381,1575847,1581721,1584405,1607154,1604685,1625686,1638002,1660660,1677447,1700796,1718289,1735043,1739106,1754574,1773639,1794002,1818262,1841106,1852038,1870159,1893876,1903130,1915388,1947140,1947765,1955273,1980027,1997213,2016405,2020656,2036384,2053370,2054984,2086062,2107418,2127243,2147092,2162833,2169416,2203665,2195409,2218064,2251440,2289719,2257221,2268717,2290589,2317539,2314118,2326173,2354746,2374869,2374308,2398388,2430145,2496312,2458055,2452412,2524020,2463562,2521296,2530235,2550977,2555366,2578553,2601603,2635949,2636480,2638280,2654048,2681189,2711466,2723058,2753081,2757265,2783675,2802103,2819718,2837769,2853768,2882047,2901441,2932712,2957026,2936311,2953689,2988872,2990449,3008767,3028517,3061666,3062078,3072998,3080089,3097068,3169050,3151270,3176925,3194576,3203636,3227380,3244639,3252419,3261644,3259777,3260965,3253388,3239939,3284289,3324341,3319279,3326354,3342270,3367237,3375091,3391030,3390473,3411104,3441335,3498604,3522395,3525129,3534482,3564189,3584865,3608383,3628309,3652006,3681057,3686884,3726406,3743754,3732015,3733169,3780387,3807625,3819408,3845903,3852272,3876857,3895569,3920908,3930283,3944308,3988952,4007966,4028681,4024094,4049787,4075318,4108581,4124203,4158406,4174377,4183104
"108","26","  Energy goods and services \5\","DNRGRC0",96110,94198,90934,93049,92041,94067,96292,96765,97404,99356,96631,100363,99496,102466,102089,101939,104141,102316,102399,103534,104129,105706,107020,109236,111712,118857,114373,119252,120336,124133,126323,133792,137446,140181,139541,142325,144393,153351,163352,158081,155802,159432,159413,159795,158711,160931,160840,166721,171150,168287,175045,172314,177527,184700,178380,176025,178629,180512,178080,184423,186583,183915,182295,179510,173963,180696,181326,179902,180767,182263,185967,176980,178514,174163,182574,184993,183942,187124,190367,195864,190703,189781,187334,202814,195081,178468,196392,196417,195970,194517,190921,191909,194477,192323,199515,191098,202685,202657,194343,195675,198320,198156,198768,198996,199244,196138,197133,212368,198463,195889,185979,173906,175947,181409,177697,167880,172657,170052,172650,170307,172723,178832,181926,182842,187926,187973,189256,189441,186344,192397,186653,187919,194843,188580,190526,189708,190485,196180,197313,199653,191697,200519,195344,194072,187952,211481,203396,211454,214085,210359,208262,209168,207068,209738,209696,229057,203007,214587,212333,214044,212508,213407,213741,229521,236399,243547,239854,242678,236963,221239,220766,221830,234243,227011,227683,223367,226474,221596,228656,222909,220896,214489,230772,231865,229572,228827,232359,227994,239354,234920,244988,240391,227491,248288,245151,238167,235280,241218,239412,245092,245993,247632,241570,247964,249350,248792,240001,239789,242780,253947,246026,252319,246772,247768,242148,246877
"109","27","  Market-based PCE \6\","DPCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2648568,2712257,2724710,2746854,2756234,2781676,2802142,2836018,2832207,2838201,2846312,2876671,2907937,2912825,2952932,2953366,2980657,3004118,3021343,3045140,3049273,3086836,3103166,3130501,3149248,3154542,3164814,3204063,3214232,3227354,3246028,3280891,3281222,3292274,3302760,3341158,3383398,3380074,3405778,3418889,3423196,3448706,3465228,3489248,3509187,3510503,3512350,3502432,3479924,3499085,3544750,3539979,3567118,3571825,3594733,3594647,3609837,3602118,3627814,3640545,3702065,3711512,3723860,3738124,3758490,3773979,3798257,3813958,3842894,3870478,3882017,3912791,3912540,3928265,3919979,3954975,3980688,3993254,4018053,4024804,4052728,4072884,4084296,4104666,4109816,4154161,4172698,4191685,4188725,4229838,4238250,4276001,4286633,4318107,4331187,4344789
"110","28","  Market-based PCE excluding food and energy \6\","DPCXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2156422,2210883,2221419,2240849,2245755,2269676,2289745,2320824,2321222,2320691,2334787,2362511,2384738,2393633,2424607,2426559,2449927,2467837,2479974,2497383,2510683,2537227,2556228,2585485,2605097,2585967,2603475,2634162,2637520,2654116,2672918,2705338,2703899,2712924,2720206,2734654,2802760,2783480,2806142,2817843,2822751,2842177,2859592,2865487,2873534,2873406,2874424,2865339,2845440,2880593,2918890,2915841,2924501,2938442,2961426,2966055,2980830,2979698,2997282,3022488,3076539,3095043,3093294,3103841,3127329,3144150,3162307,3181019,3199236,3227287,3229885,3265400,3279864,3270230,3266557,3307883,3332752,3341003,3365360,3367650,3390395,3408149,3423389,3435493,3439714,3481477,3507084,3523654,3517814,3543357,3561337,3588149,3602078,3632456,3650693,3658324
"111",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","29","      Personal consumption expenditures","DPCERC0",1218472,1234745,1241774,1250848,1260758,1267392,1284359,1289653,1298599,1315527,1331257,1340515,1334310,1360173,1382740,1401616,1417286,1431219,1432277,1452473,1458453,1472550,1486239,1502104,1507894,1523244,1536607,1543947,1564367,1581286,1591820,1621370,1639841,1647720,1663444,1672433,1703150,1707019,1713696,1700651,1705398,1724077,1752198,1768742,1785216,1821556,1831396,1856822,1876232,1891048,1909925,1911085,1920213,1940558,1947866,1971973,1970437,1968341,1974467,1991865,1999278,2023133,2026102,2028782,2047510,2051740,2076585,2085210,2110306,2132096,2156194,2168991,2181766,2184704,2210250,2233525,2252827,2282774,2311150,2327114,2341331,2364139,2372890,2400458,2426428,2410832,2439182,2465463,2482728,2504195,2503532,2521423,2543310,2541244,2581631,2593038,2627311,2647996,2655013,2666231,2702348,2693681,2717790,2753324,2796436,2759393,2775836,2815969,2830535,2823512,2827662,2840982,2865144,2871416,2893078,2912186,2986643,2948575,2945383,3015779,2956508,3023451,3034292,3057741,3066592,3091291,3114733,3151869,3148186,3156504,3166287,3196067,3235392,3242980,3282137,3284807,3315141,3339120,3361824,3386262,3393091,3432390,3449107,3478448,3501880,3505579,3515713,3559455,3567839,3582677,3602295,3637883,3640061,3653002,3663294,3704223,3750379,3748543,3777228,3796279,3804729,3834549,3850907,3876805,3897916,3897486,3899498,3891084,3875028,3903389,3950811,3944029,3969583,3976264,4001153,4004292,4020645,4013497,4042239,4059990,4124724,4139454,4156281,4169347,4195930,4215270,4244905,4261818,4296231,4324812,4339577,4374354,4376985,4390605,4387143,4428028,4456109,4472203,4499138,4509966,4539727,4560839,4582347,4599984,4614936,4662158,4674101,4697230,4695520,4736781,4752741,4796939,4809262,4844558,4855369,4870064
"113","30","Household consumption expenditures \7\","DPHCRC0",1197236,1213684,1220840,1229879,1239931,1245985,1262771,1267680,1276389,1292596,1308123,1317286,1310771,1336774,1359199,1377760,1393335,1406700,1407519,1427822,1433534,1447085,1460861,1476398,1481209,1496296,1509415,1516515,1536904,1553443,1564205,1593784,1612221,1619289,1634473,1642638,1673206,1676956,1683376,1669959,1674201,1692055,1720042,1736341,1752673,1788254,1797495,1822703,1842164,1856259,1875134,1876029,1884760,1904236,1911511,1935181,1933538,1930608,1936075,1953347,1960446,1984069,1987097,1989520,2008119,2011713,2036192,2044601,2069556,2090883,2115088,2127572,2139665,2143067,2169015,2191683,2210817,2240114,2268122,2283938,2297806,2319917,2328291,2355597,2381055,2365637,2393811,2418572,2435643,2457004,2455563,2473619,2494430,2492168,2531881,2542525,2578235,2598771,2606042,2617052,2652578,2643323,2667474,2702286,2745492,2708071,2724149,2763705,2777727,2769876,2773524,2785897,2809407,2815649,2837421,2856195,2930232,2892498,2888308,2959752,2899735,2966092,2977298,3000833,3009020,3033305,3056001,3092431,3088461,3097021,3105534,3135407,3172552,3179034,3218325,3220034,3248890,3272728,3294297,3318497,3324164,3362449,3379624,3408964,3432056,3436829,3446329,3488051,3497046,3511332,3529614,3565537,3566980,3579026,3589918,3630596,3676355,3673371,3700884,3718843,3726415,3755083,3770135,3794929,3814935,3814605,3816297,3808187,3792627,3820937,3868125,3860977,3886119,3892187,3916749,3919440,3935494,3928070,3956023,3973222,4037133,4050302,4066303,4078303,4104555,4123242,4152053,4167586,4201462,4229604,4244453,4279585,4283235,4297445,4293866,4334493,4362313,4378153,4404639,4414872,4444272,4464988,4486159,4503181,4517328,4563850,4575012,4597406,4594642,4634776,4649589,4692811,4704311,4738779,4748872,4763845
"114","31","  Food and beverages purchased for off-premises consumption","DFXARC0",175566,175152,174395,176172,180079,180412,181177,179819,179849,182700,187551,184374,185402,189062,191436,191324,193491,196558,196121,197904,201410,200348,203916,206372,209797,210433,212534,210292,214702,222108,216570,220031,223628,223485,228341,228516,231537,232338,234509,234847,236591,236452,238008,242887,242961,245261,246448,248165,250458,250696,250669,253278,254003,254670,255896,258010,256190,259347,258739,262103,261315,263371,262086,264867,266393,266360,269573,267305,268879,272385,269430,273723,268209,271435,273102,274893,274884,277388,279677,279213,280469,280482,282427,282256,284207,284599,287517,289018,289546,293274,291955,293130,295463,293937,296054,294522,297383,298247,297837,301141,300363,300116,300957,302888,307473,306034,309987,313011,314534,313505,315510,312330,314328,315699,316993,314162,317673,320468,320321,321452,320224,323323,322131,323921,323300,324766,323873,326479,325361,325827,325587,326959,329083,331341,338530,337834,340981,340837,344793,348840,347627,349824,352322,351664,356902,357786,358628,359130,363305,363551,365517,367050,370915,370266,373509,378098,378323,382686,387970,387660,388585,393762,392527,394865,399873,394162,398679,395018,398126,397861,405704,402920,408986,406983,406233,405834,403140,401428,402479,395746,405225,402571,400380,403001,402169,401578,404164,405515,404871,408835,407705,407558,405741,410302,408823,409474,413203,411576,413823,412602,416877,417638,419869,421738,421278,424414,426134,428760,428646,433047,431396,436039,438287,438384,438845,440084
"115","32","  Clothing, footwear, and related services","DCAFRC0",78976,81717,81340,82514,82160,82349,84619,84745,85109,88163,89870,89990,87928,89866,91711,93114,94465,95599,94483,95573,97659,97080,98260,99923,98296,97271,100470,99261,100512,100716,102614,104744,103841,104544,105933,105075,107148,105956,104778,105591,106576,107159,108284,110826,110274,113239,112615,113568,115565,117403,117405,118918,116832,119600,120120,120641,121247,120817,120054,121102,120210,123771,121991,120979,121519,119755,124115,122641,122478,123806,123976,126796,126213,125996,127734,129484,131471,133950,133828,134486,135071,137116,139540,139858,143190,141555,139120,142389,144480,148654,143367,143369,146403,145822,148930,148808,148090,151519,151462,153027,154125,152011,153778,155953,156819,156810,160011,157993,160078,160566,162830,163779,165349,165278,165259,168026,167271,167999,165911,169070,167251,175606,174490,174200,174679,176547,177838,178501,178267,178512,178689,181862,181801,180265,184682,183026,185687,185643,188061,188476,191622,195965,195807,196909,201740,194036,194856,200563,199905,200992,200933,202141,204618,204592,205836,206406,206393,206171,208952,205497,207288,209583,209448,206982,206881,205596,205579,205141,204198,208408,210404,213356,211581,209853,213193,214443,210211,209397,210930,209263,215658,220148,216071,218343,220524,222994,222444,225927,227798,228138,227771,230476,232684,225840,223274,228271,230602,230457,231965,231451,232895,233994,235415,234571,233552,236332,240716,238863,235769,238188,238725,241560,239742,244103,244112,244576
"116","33","  Housing, utilities, and fuels","DHUFRC0",221550,221971,219469,221638,222537,226867,229723,232014,234264,237559,235919,240751,242727,248313,248726,250804,253679,254515,254730,257062,260322,262588,265350,268742,272368,278122,273990,278992,281640,284568,286200,291962,295445,300519,302403,304364,304528,312361,319010,315194,318775,327755,329247,332386,334150,339260,343260,348392,348059,346208,352995,354844,364101,372281,371103,372491,376188,381636,380860,388953,393432,392100,394021,395034,393344,398857,400463,402407,405959,411335,414656,412707,413907,417745,422219,430807,426585,430731,435828,443494,441972,443415,445771,461962,455032,447036,464066,465952,468696,469234,472725,477594,481931,482068,490891,487593,502064,503936,496645,498694,507161,510088,514439,518061,523048,523116,527170,543517,530465,536002,535818,539287,541558,547222,550569,547615,555806,555905,562361,559267,561849,566021,570287,573797,578691,582320,585345,589779,588734,600306,595545,601197,611900,609989,612919,612739,618008,624749,629646,634914,630296,642364,640258,643111,637847,660449,654425,656759,660145,659193,664241,670554,674154,679124,684624,706372,679321,687600,694624,700800,703192,708610,711003,721658,726428,724599,722461,729080,733650,728201,735538,739035,750819,746840,751958,750607,756002,754991,766927,759230,761727,760788,777235,780814,778879,780439,783847,782421,792601,793687,805727,801803,796472,815641,815595,814228,812526,826938,827819,835248,840464,842861,840451,854149,860153,864878,864758,865479,874388,888159,879014,886806,888341,891998,892282,894195
"117","34","  Furnishings, household equipment, and routine household maintenance","DFHHRC0",79439,82015,83173,83213,82576,82721,84609,84598,84643,86004,87231,88013,86129,88165,89179,91733,93332,94152,94081,95026,96366,96803,98167,100002,99283,99505,101291,100983,102463,104244,104945,107298,107633,107777,108474,108006,108898,109696,108050,107677,108489,108430,110299,110468,111338,114363,115873,115258,116460,117378,117600,117981,117642,119082,118950,119318,119538,118309,118423,118730,116917,118942,118955,119920,120156,120395,121982,120794,121485,123198,123420,126308,126103,125854,128463,128051,129685,131250,133319,134142,135643,137296,138907,139330,143261,141545,141829,144990,146308,149222,146399,147608,150821,150002,151728,151519,150830,153074,153026,154022,154726,153855,154784,157371,158126,159819,160804,161475,163524,163769,165188,165343,167184,167583,169944,171068,171731,172815,172102,173644,172561,176544,174992,175871,176156,176212,177887,178354,178368,178273,178549,178936,179985,180480,184251,184412,185056,186218,186922,186556,188257,190719,192063,193807,197662,193427,193031,196155,196887,197680,197500,198964,199075,198671,200810,199859,202625,203372,203540,201677,200793,200401,200460,199469,200218,198855,198359,196935,195833,197700,199932,200723,201400,198846,200099,199646,199033,198742,198394,198960,205077,206453,205041,205889,207209,208948,209855,211175,211768,213077,212913,215377,217414,216532,214772,218863,221392,221197,223653,223167,224934,225694,227153,227915,225418,230467,234305,234887,235639,238584,238903,242397,243730,245791,245765,247514
"118","35","  Health","DHLTRC0",123929,125144,126868,128255,131243,131950,133307,133996,134283,135297,136326,138321,140123,142130,143991,145816,146985,148746,150010,151369,152905,155355,156409,158591,160897,161383,162612,164714,167049,168749,171408,172410,173535,177145,178404,180204,184259,184568,186030,187350,188437,190947,194254,198229,203880,205978,208896,212848,213615,217952,220977,223132,225606,228045,231099,233790,235347,236131,239805,240808,241567,244102,245901,248105,250303,252850,255963,258456,260899,263651,266703,270561,273264,275582,278742,280532,283757,285722,288454,291900,293334,296315,298711,299285,305433,305574,307002,310184,312010,313716,315944,316609,320313,322569,324682,327806,328780,333413,335333,338164,339702,342502,346478,349667,353230,356006,358388,362218,364166,366792,368549,370586,372992,376121,378258,381532,385124,388690,392260,395449,397743,402795,407627,410210,414333,419220,422887,426718,429780,432957,436821,437437,445192,449508,456587,459571,464703,468259,474362,478924,481647,485314,490264,494331,499743,501967,504074,508353,510736,514101,519439,522650,527550,534250,540010,544926,553802,557969,563050,569202,575817,582200,589552,594596,597107,603189,608060,610145,612478,619211,621005,627372,628775,634794,639006,644997,648964,655207,660302,668377,674582,677788,684957,691002,694887,698854,703772,708752,713537,716571,717334,723280,726220,732601,731061,733220,736883,740013,745270,745507,747693,750959,754364,756383,759720,763997,767235,770072,775866,776137,781273,784738,789038,792710,797354,800609
"119","36","  Transportation","DTRNRC0",160053,162818,167478,166224,166241,166988,167436,169430,170825,170838,173200,175974,167812,171498,177500,184258,186608,187989,186080,192630,183897,191603,191574,192247,193097,198358,200111,197984,200376,196193,207157,213412,221442,216804,217641,222905,234978,230597,229666,220064,211857,217537,227873,225918,224735,232148,228400,234062,246793,255705,260191,247636,246079,247848,248072,263384,257326,244946,245818,244895,251344,256972,254049,245796,256199,247517,251468,252735,262791,255469,270261,265814,264363,256311,264060,270567,280556,289685,293869,292905,291784,302002,299075,313932,320380,308414,313469,318386,323698,324447,321371,317890,320596,321854,336126,334683,343052,340387,351883,345783,363040,351733,358315,368790,395485,352363,352879,365274,374623,355275,341639,349951,359118,349491,353934,365097,413571,357287,342584,388390,331102,356189,362573,370088,369256,379996,384181,403250,399835,381241,385959,395933,405076,401178,400071,398141,403564,407465,401782,403772,400539,405678,411314,418521,421249,417534,420889,441391,429857,431525,434622,450584,429447,427271,416656,418987,465864,439775,436930,439919,430931,433364,434265,440706,449844,453291,448607,441676,409511,410723,429467,408917,410273,417177,423062,417465,428026,415196,418068,431401,435685,438074,435348,432883,445897,453520,456266,453364,461149,465623,461053,476560,471459,468594,467062,481126,484320,480916,486147,483419,487530,501094,506041,506285,512870,521075,514812,529566,509003,516982,524535,535640,533431,544036,548679,548148
"120","37","  Communication","DCMCRC0",23362,23342,23762,23993,23954,24126,24119,24295,24726,25110,25452,25408,25659,25691,26306,26409,26635,26989,26812,27832,27867,27792,28304,27867,28381,28355,28886,29081,29204,29400,29416,29968,29917,30384,30494,29613,31077,31017,31369,31575,31794,29297,31967,32064,32428,33018,32761,33188,33535,33841,34298,35163,35180,35749,35899,36212,37006,37726,38159,38785,38725,38925,39426,40263,40133,41213,41046,41703,42355,42800,43162,42921,43955,44013,44072,44617,44847,45283,44901,44590,45091,45946,45556,45185,47086,48066,49127,48280,48679,48354,48010,48856,47367,49006,48494,49734,49657,49704,49605,51847,52721,51882,53629,56150,55128,56129,54572,56229,56223,54781,56588,56675,57259,56023,57400,57171,58020,58469,54889,58770,58025,57361,59493,59238,59514,59721,60729,61265,60971,61113,60662,61725,61665,61392,62979,62185,62265,62234,62589,64532,64382,64304,63975,65164,64152,64035,68167,64953,67597,67793,67455,68269,67620,69896,68389,68990,69688,67994,69888,69328,70496,70429,70359,72563,69787,71802,69982,68796,70163,71111,71597,72308,73096,73873,74528,75142,75622,75823,76336,76847,77935,78386,79145,79755,80660,81166,81969,82620,82923,83160,83064,82927,82803,82645,83248,83805,84738,85437,86374,87266,87853,87825,88119,89092,89499,91479,92128,91772,92304,93036,93570,94285,94919,95171,95369,95620
"121","38","  Recreation","DRRLRC0",88385,90243,91665,92994,93929,93303,95110,96524,97738,98257,99988,100868,99050,101702,103667,102764,105177,106268,107156,107529,107661,109721,111148,113506,112248,115096,115721,116858,117763,119998,118331,121301,121766,122243,123241,121788,123814,125465,122785,122869,123666,123944,126300,126996,130246,133437,134506,135254,136099,136115,137565,139830,139893,141539,144335,144779,143830,144447,145048,146144,145758,146997,148728,148168,149531,151622,152749,152564,153666,154548,155659,157264,160031,159676,162416,163938,167703,168719,170625,170760,173692,175896,178528,179934,183599,183613,183650,186212,187422,190433,189208,192606,193683,194434,196006,198800,200486,203923,203643,205455,205767,204336,204956,207540,210614,212226,213682,213328,216010,216488,218828,217294,220157,222106,225231,227570,231979,234083,234872,240160,235495,242731,240350,245363,245919,246499,249768,250625,249056,251073,252787,254487,257056,260711,266448,267815,270458,272575,274610,275883,278608,283271,283966,289141,288283,285337,286795,290024,293840,297582,296958,299748,301947,300433,302956,305008,308701,311025,312602,314049,313068,312954,315431,315568,318087,318364,320380,316725,316747,322135,325152,322425,325869,326181,328072,327576,330421,329758,329688,331242,338339,338886,337183,340433,341614,343460,347722,348361,350705,355381,356507,363504,368363,364092,366184,372141,376785,374010,379918,381885,386786,387356,390027,393533,392259,397621,404290,405741,409080,413908,416546,419067,421112,427767,429495,431067
"122","39","  Education","DEDURC0",18109,18047,18179,18291,18353,18551,18918,18891,19237,19468,19780,19886,19915,20286,20075,20467,20695,20800,20952,21143,21391,21365,21562,21877,22061,22083,22339,22559,22565,22511,22856,23111,23100,23488,23826,23928,23932,24292,24285,24558,24906,25111,25516,26201,26102,26680,26763,26973,26998,27206,27379,27644,27702,27960,28295,28423,28637,29312,29649,29895,29736,29998,30190,30457,30676,30873,30948,31114,31331,31950,32093,32249,32748,33110,33271,33594,33970,34241,34515,34733,34992,35400,35737,35876,36269,36285,36703,37072,37297,37764,37726,37860,38383,38755,38889,39384,39495,39872,40083,40350,40620,40936,41489,41888,41836,42189,42651,42652,42971,43285,43478,43694,44025,44274,44538,44813,45185,45516,45852,46197,46273,47340,47560,47973,48356,48697,49362,49643,49488,49814,50356,50612,51585,51973,52484,52867,53441,54135,54906,55544,55895,56303,56785,57308,57831,58178,58735,59566,60010,60348,60802,61416,61823,62206,62764,63174,63576,64175,64505,64891,65256,65630,66337,66872,67099,67521,67700,67930,68208,68603,69112,69427,69812,70144,70560,70965,71905,72144,72789,73065,73920,74369,74872,75297,75622,76275,76919,77543,77859,78070,78096,78460,78982,79207,79535,79805,80319,80606,81231,81783,82324,82703,83056,83483,83743,84201,84644,84892,85502,86101,86617,87261,87605,88030,88526,89241
