"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"63","51","        Hardware and plumbing and heating equipment wholesalers","I42170",111,19,-98,-265,-428,-231,-32,666,49,-13,-242,-285,-544,-209,61,232,-58,-149,-243,-362,147,98,-195,-442,-464,-284,-42,422,174,-185,-587,-970,392,-281,-540,-1482,-1322,-691,-113,594,-51,-662,-525,-689,-1294,-1154,-796,-324,666,-193,-1005,-152,-65,-39,-618,-998,-339,-394,-262,-86,-264,-180,-24
"64","52","        Machinery, equipment, and supplies wholesalers","I42180",2002,1107,-481,-2256,1229,754,10,-3693,-1366,-790,-435,1778,-1856,-1002,292,1266,-4046,-1497,629,3341,2185,1336,-1301,-2892,-1875,-1005,-56,1256,1764,-465,-2377,-4682,-1587,-2597,-2205,-2007,-4288,-3304,-1954,-998,-3011,-2679,-1864,-1270,-2341,-3313,-4126,-4461,-3232,-624,1601,980,2229,102,-1205,-2151,1620,-1566,-3432,-4029,-1668,-1732,-960
"65","53","        Miscellaneous durable goods wholesalers","I42190",72,-507,172,187,1567,1218,817,2,745,270,-1103,-2203,-1975,-1215,844,1469,483,191,-30,-36,543,-157,-847,-810,525,402,-75,-2928,-1086,190,-1248,-2528,-90,661,423,-3570,789,-2113,-3759,-2454,-2340,-1443,-453,-1867,-2564,-3540,307,6625,784,-1610,-2065,-401,-1738,-569,165,-4509,-1057,-1428,-2663,-1201,284,1312,1476
"66","54","      Nondurable goods industries","I42WN0",-1143,4891,1796,-1181,3410,2515,1448,-821,-470,-1221,-888,-3632,-7588,-2389,-1346,-2956,-2365,-1181,638,6651,630,-1908,-9563,-2023,-8664,-1189,-2673,-3963,-3350,-1257,-130,-6758,-2099,-3685,-8269,-3975,-218,-3357,-3855,-12477,-16657,-5559,-5896,-28446,-34961,-20679,-4628,35018,16942,-8366,-1897,-10380,-4186,4175,-12245,-41887,-41509,-14890,-2579,-6465,-3436,13116,-20344
"67","55","        Paper and paper products wholesalers","I42210",104,24,-157,85,-76,280,122,34,-99,-374,-325,41,-872,-851,-101,116,72,305,348,67,263,217,-134,-74,13,513,30,-588,817,-166,-990,-733,-390,-183,236,-288,606,-417,-1112,-865,-69,-82,-140,-265,-529,-418,-900,-365,1180,728,14,-451,25,-876,-670,-448,-265,-99,40,-4,40,-8,100
"68","56","        Drugs and druggists' sundries wholesalers","I42220",81,394,-68,-667,-2655,-1814,-189,201,-1466,-952,395,1555,800,719,-1112,-1026,51,-76,-68,465,3410,1821,-1722,-4542,-4226,-2036,650,3986,-3620,-963,250,3149,1521,63,-1488,-1868,-739,-398,-194,247,592,-18,-1938,-3652,-4504,-2085,299,2250,-666,-873,-836,-877,-1195,-1003,-764,-479,702,1171,-479,-2859,-636,-848,-688
"69","57","        Apparel, piece goods, and notions wholesalers","I42230",-432,-246,18,225,729,185,-280,-666,1371,-165,-321,-633,-1227,-251,570,968,-143,-2192,-330,2477,669,171,-138,-67,263,-189,105,-483,-143,282,396,-676,-130,-1017,266,1025,1235,219,-688,-789,-1185,-613,-20,779,210,-21,-266,-482,-598,1,197,584,361,26,-373,-666,-3428,-2170,-384,1062,-272,120,364
"70","58","        Grocery and related products wholesalers","I42240",278,367,-23,-6,-921,-161,-228,698,-537,-754,279,877,-284,-133,132,-179,-611,-334,-173,-101,-219,1890,-82,-457,-887,-632,-1277,-1605,73,-1785,-285,-1071,-198,190,283,-1672,1142,120,-1992,-106,-3222,6,-350,-999,-210,-804,-2270,-775,1882,1054,1201,-4105,-2567,804,-72,-1736,-4569,-58,-1462,513,628,420,-880
"71","59","        Farm product raw material wholesalers","I42250",272,931,1478,-32,4416,2900,1173,-1997,1331,1523,1204,458,-1642,195,1057,-2098,316,519,-967,652,-2208,-2980,-5208,3804,593,-561,-346,-3610,-814,2602,4383,-247,-254,-65,828,491,714,-133,-2310,-9503,-8906,-1441,-1011,-10573,-15769,-4973,2610,11187,2482,-1780,3165,-195,4011,1889,-4113,-23463,-19011,-7985,-1040,1824,1028,420,-11092
"72","60","        Chemical and allied products wholesalers","I42260",112,87,-57,-14,358,231,90,-83,581,510,-158,-1193,-581,-401,-210,100,-305,168,565,343,583,-351,-316,-461,-982,-251,106,-94,151,67,-1219,-2106,-1286,-961,-521,-308,-1321,-437,-76,255,104,-692,-584,-1445,-2591,-2425,-1191,2827,3698,464,-1002,-1304,-1689,-485,144,-266,-2296,-2642,-545,1408,316,-776,1768
"73","61","        Petroleum amd petroleum products wholesalers","I42270",1206,1428,-363,169,1430,1081,1253,764,-1478,-2929,-1662,-115,-2542,-436,-1016,-842,2002,732,1037,2197,-2115,-1676,-1055,-226,-2801,2587,-1713,-2004,-152,79,-2215,-4619,-2932,-1418,-6412,1641,-1260,-2244,2403,-819,-1910,-640,-864,-10703,-8206,-5935,1698,18959,5231,-8293,-5108,-2170,-3328,4047,-5911,-11249,-9923,-1576,2588,-7304,-4196,14656,-7968
"74","62","        Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-106,305,208,-612,-468,-403,-365,756,-80,-22,-92,-13,-228,-330,-195,-46,4,-55,-40,-269,-106,-109,-97,-184,-538,-71,-76,504,388,-175,-611,-99,-497,-34,34,37,-88,-35,154,17,-470,-453,-130,357,-176,-204,-101,-374,-115,-113,190,-742,350,362,185,-1276,5,61,40,-654,-88,-80,-216
"75","63","        Miscellaneous nondurable goods wholesalers","I42290",-2658,1602,761,-329,596,215,-127,-528,-93,1941,-208,-4609,-1013,-900,-472,52,-3752,-249,267,822,352,-891,-811,182,-101,-550,-152,-70,-50,-1198,161,-357,2066,-261,-1495,-3034,-506,-33,-40,-913,-1592,-1628,-860,-1944,-3186,-3814,-4507,1793,3849,445,282,-1120,-155,-589,-670,-2303,-2724,-1592,-1337,-450,-256,-788,-1732
"76","64","    Nonmerchant wholesale industries","I42N0",1812,1592,1212,716,1884,544,1088,1528,808,164,-920,-1132,-3744,52,-1724,-664,-712,-48,1028,1676,2928,424,-2192,-6144,-1620,-852,888,-4080,-4864,-6392,-3480,-2164,-6320,-4308,-1944,-1864,-5824,-6460,-6992,-5664,-4180,-3004,-4020,-8772,-3696,-11268,-4644,21352,980,-3160,-3516,-7580,-968,-652,92,-3952,-13488,-9540,-5164,-2084,-2668,2476,560
"77","65","      Durable goods industries","I42ND0",1344,1280,1276,812,1052,92,728,1080,612,536,-264,-204,-1940,924,-664,556,-152,60,184,380,1628,564,324,-1392,504,676,1348,-2308,-3072,-3484,-1124,88,-2604,-1216,720,600,-2252,-2828,-2828,-1652,-1508,-936,-740,-772,256,-4496,-1664,7348,2304,1232,864,-628,-336,-1420,564,-1140,-3440,-2484,-1052,556,-1044,724,1436
"78","66","      Nondurable goods industries","I42NN0",468,312,-64,-96,832,452,360,448,196,-372,-656,-928,-1804,-872,-1060,-1220,-560,-108,844,1296,1300,-140,-2516,-4752,-2124,-1528,-460,-1772,-1792,-2908,-2356,-2252,-3716,-3092,-2664,-2464,-3572,-3632,-4164,-4012,-2672,-2068,-3280,-8000,-3952,-6772,-2980,14004,-1324,-4392,-4380,-6952,-632,768,-472,-2812,-10048,-7056,-4112,-2640,-1624,1752,-876
"79","67","Retail trade industries","I440",6776,3530,4206,996,1994,596,3849,3115,3459,1556,-6688,-10337,1936,-2966,-1288,-6084,-26,-239,2728,5874,3778,1246,-588,2219,-899,3293,-1548,-447,3444,-6685,-7065,-13374,-9830,-4683,-7152,-431,-7987,-8125,-864,-1103,-8503,-7033,-5616,-11517,-19765,-16518,-10949,14519,6796,454,-4560,-13200,-7598,-5015,-9211,-11127,-14184,-15013,-14291,-5489,-7236,-4300,-10052
"80","68","  Motor vehicle and parts dealers","I4410",-271,493,2271,1103,2041,883,-323,-1229,1217,-230,-1969,-3130,18,-1436,-794,-2052,-980,-708,1377,2143,1642,2008,1036,482,184,110,2750,3891,2266,-2032,-2298,-3844,-2687,-1039,-2049,1479,-254,-3488,-1137,-213,1354,401,-2799,-2171,-2354,-1494,-1555,1523,2733,1536,-1516,-1801,-2203,-1355,-2674,317,-840,-4556,-4755,1533,1044,-2720,-2796
"81","69","  Furniture, furnishings, electronics, and appliance stores","I44230",1438,965,1688,1445,1456,602,1546,809,1012,746,-41,-17,131,298,460,751,2044,1017,752,-101,-603,35,1174,2178,2226,930,-366,-334,2147,1076,-150,-1477,1569,861,390,-948,-581,-494,937,1719,-420,-48,587,1058,-3180,-961,628,2383,1420,34,-415,-799,290,522,606,432,656,202,-202,-328,-428,-148,-312
"82","70","  Building material and garden equipment and supplies dealers","I4440",482,-248,-411,-143,-160,185,402,-263,764,-5,-905,-362,-574,-1446,420,1124,19,225,-267,-89,-658,-363,-467,-145,501,42,-953,-1338,-198,-2528,-2701,-2520,-1878,-841,162,-2631,-5639,-2849,196,1431,-999,-1426,-1031,-1404,-1343,-3341,-5338,-1352,966,2992,1243,-1902,-34,-1387,-246,-826,-1768,-1706,-993,-429,-1452,-740,-108
"83","71","  Food and beverage stores","I4450",339,208,-135,93,-700,-292,155,771,-87,536,-694,-1094,381,-430,362,-508,-1616,-699,-318,-193,1023,988,-200,-219,-1824,-1317,-550,115,-447,-1222,7,-813,-174,-435,77,-1425,-105,-340,-435,480,-1349,22,13,-1523,-1400,-1445,-2020,-103,644,-517,-416,-611,-1609,-186,-557,-955,-3391,-579,-606,376,96,-280,-1192
"84","72","  Clothing and clothing accessories stores","I4480",566,-375,-452,-667,171,-573,85,976,-760,333,729,-36,2095,-257,-116,-1181,-393,-517,-270,888,1860,550,-661,-1021,-1375,-367,-242,109,-320,-194,-222,-403,-1946,-729,-176,1522,254,18,-1044,-1720,-2464,-2090,-1217,-821,-965,-1867,-2141,-1586,731,292,-342,-2465,522,-89,-963,-2751,-2211,-3611,-4004,-3450,-2608,-1300,-276
"85","73","  General merchandise stores","I4520",2425,241,91,-2533,-1809,-282,205,1162,1050,1440,-451,-1547,607,820,161,-4,-1075,118,1103,514,1578,-835,-812,253,831,909,-169,-1454,355,-439,60,-76,-1498,-608,80,1290,1289,649,-897,-2477,-2030,-1110,-162,722,-4818,-1943,1550,2163,-17,-389,-202,-1835,-2095,-2006,-2393,-3970,-1152,-2226,-2419,-1847,-868,-512,-1128
"86","74","    Department stores","I45210",1768,472,344,-2236,-1656,54,474,1339,854,896,-144,-558,615,962,188,12,147,51,158,188,1451,-886,-736,343,-253,-15,-14,382,79,50,83,-1,-759,-332,59,624,1157,430,-613,-1378,-547,-341,-12,292,-1629,-743,435,1032,-196,-48,-41,49,169,-153,-785,-1960,-438,-709,-639,-423,-260,-112,-28
"87","75","    Other general merchandise stores","I45290",656,-231,-253,-296,-154,-336,-269,-177,196,544,-307,-989,-8,-142,-27,-16,-1221,67,945,325,128,50,-76,-90,1084,924,-156,-1836,277,-490,-23,-75,-739,-276,21,666,131,219,-284,-1099,-1483,-769,-150,430,-3189,-1200,1115,1130,179,-341,-162,-1884,-2265,-1854,-1608,-2010,-715,-1518,-1780,-1424,-608,-400,-1100
"88","76","  Other retail stores","I44X0",1798,2246,1153,1699,996,73,1778,889,263,-1264,-3357,-4149,-721,-516,-1780,-4215,1976,325,352,2711,-1065,-1137,-656,690,-1442,2985,-2017,-1435,-359,-1345,-1760,-4241,-3217,-1893,-5636,282,-2951,-1621,1515,-323,-2594,-2784,-1005,-7377,-5705,-5467,-2074,11493,320,-3494,-2912,-3788,-2468,-513,-2985,-3373,-5478,-2538,-1312,-1344,-3020,1400,-4240
"89","77","Other industries","IOTH0",638,1194,277,-351,1414,787,408,273,813,-841,-1274,-737,-4095,-1234,642,873,-1277,-1010,1101,2745,1199,60,493,128,-1130,569,-613,432,-127,-257,-563,-2286,-2301,-1695,-4385,-200,-2064,-3836,-1944,-901,-3817,-2249,-1997,-6217,-6744,-5765,-3874,6127,2421,-1348,-222,-2847,-1415,518,-1870,-5786,-6875,-2608,-2413,-3161,-3576,780,-2692
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
