"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"217","209","        Admissions to specified spectator amusements","DADMRX0",39952,40007,40681,41362,40447,41722,41068,42259,43810,42268,42331,41910,40352,41798,42140,43494,43230,42137,45467,41720,41212,41646,42657,44408,45570,43930,41353,42913,42609,43167,43479,43482,37391,42204,44281,43417,44448,43377,44901,44171,45219,44167,43496,44143,45079,45632,46573,46036,45533,45971,44777,45757,46968,46274,45946,47774,47372,48237,47234,48197,46585,47155,49428,48750,47627,49425,48916,48965,48169,48906,49254,47973,48526,49253,49724,47909,48645,48872,49177,49430,51123,50254,52049,51572,51732,51631,51339,53332,52079,52394,53716,53291,53897,54680,54611,54988,54717,55081,57062,55767,57251,55132,56879,58660,57135,55939,55384,57913,57859,56863,55363,54190,56666,57209,56672,53098,54484,56259,55311,54942,56915,56513,53816,56093,55333,55629,54184,54695,55058,55484,55638,56868,56412,54863,55435,54246,52196,54569,55427,56670,58005,59397,59917,58225,56534,56668,56456,59080,59434,59179,59880,60192,60006,58962,59337,58605,57852,59331,60752,59944,59984,58580,57940,55896,57232,58147,60123,58486,57833,56555,58884,57033,59275,59156,58278,58080,58241,58243,60681,61425,61928,61244,61077,60178,57852,57684,56589,62074,59767,62723,60270,58856,60434,58139,55784,59039,58387,59555,57971,58860,60876,62686,62464,67833,65492,64650,64945
"218","210","          Motion picture theaters","DMOVRX0",10532,10053,10216,11120,10563,11755,11406,12547,13943,11889,11427,10358,10213,11304,11240,12179,12293,11071,13680,10771,10464,10730,11063,13338,13901,12290,9691,11126,10619,11309,12030,12276,10733,10859,12723,11800,12907,11720,12774,11925,12994,11616,10926,10935,11742,12235,12361,12034,11371,11660,10394,11265,12343,11548,11089,12700,12153,12817,11675,12418,10668,11032,13048,12194,10872,12350,11553,11444,10662,11518,11867,10486,10757,11235,11492,9539,10133,10290,10583,10655,11975,10598,12004,11308,11392,11134,10607,12233,10701,10706,11716,10963,11175,11519,11066,11085,10510,10598,12311,10838,12136,9917,11542,13223,11660,10445,9930,12537,12658,11828,10477,9430,12002,12633,12171,8663,10097,11910,10994,10655,12651,12290,9651,12003,11305,11655,10257,10778,11112,11478,11689,13100,12893,11691,12714,12079,9991,11754,11401,11395,11441,11506,11655,10545,10069,10687,10227,11860,11620,11173,12063,12400,12068,10715,10929,10182,10912,12967,14051,11983,11668,10807,11638,10319,11647,11814,13330,11508,10956,9842,12416,10849,13357,13418,12664,12374,12217,11681,13370,13118,12386,11522,12250,13298,11807,11399,8953,13657,11005,14178,12164,11504,14204,12585,10525,13323,12284,13289,10822,11168,12947,12929,11431,16288,13859,12965,13245
"219","211","          Live entertainment, excluding sports","DLIGRX0",12823,13395,13918,13692,13369,13408,13110,13093,13155,13675,14139,14744,13314,13548,13884,14195,13788,13929,14509,13782,13592,13750,14410,13854,14451,14505,14630,14714,14921,14766,14332,14062,13407,14072,14142,14101,14067,14129,14498,14558,14440,14710,14667,15214,15242,15213,15926,15654,15874,16038,16148,16205,16280,16379,16497,16620,16747,16880,17020,17166,17319,17479,17647,17827,18014,18205,18403,18608,18817,19031,19246,19461,19679,19871,20042,20194,20332,20453,20560,20633,20675,20685,20737,20838,20985,21174,21402,21674,21938,22198,22452,22727,23026,23345,23615,23838,24011,24165,24302,24424,24529,24619,24694,24752,24792,24811,24808,24781,24728,24691,24670,24663,24664,24668,24678,24698,24726,24761,24786,24801,24808,24831,24872,24931,24993,25056,25121,25256,25463,25741,25766,25536,25129,24952,25003,25284,25504,25660,25755,26005,26412,26975,27169,26997,26788,26722,26800,27026,27213,27359,27470,27687,28015,28448,28676,28705,27560,27044,27157,27898,28048,27607,26556,26132,26329,27147,27581,27634,27302,27143,27159,27350,27227,26794,26044,25530,25255,25215,25696,26702,28237,28983,28940,28108,27719,27776,28279,28374,28061,27338,26773,26364,26111,25946,25871,26427,26803,27001,26954,26930,26929,27652,28143,28399,28416,28430,28445
"220","212","          Spectator sports","DSPERX0",16774,16729,16695,16675,16667,16672,16688,16717,16757,16808,16871,16939,17024,17096,17158,17214,17258,17293,17320,17336,17343,17338,17322,17294,17255,17224,17203,17194,17192,17202,17222,17252,13241,17418,17524,17650,17582,17660,17736,17814,17895,17977,18059,18142,18227,18310,18395,18477,18426,18397,18395,18420,18443,18471,18499,18531,18566,18606,18647,18687,18727,18758,18780,18798,18849,18929,19043,18992,18777,18395,18156,18064,18121,18164,18200,18229,18216,18158,18055,18162,18482,19014,19340,19468,19393,19362,19373,19432,19481,19525,19561,19622,19710,19823,19945,20080,20223,20345,20445,20528,20589,20632,20655,20675,20692,20704,20673,20596,20472,20349,20229,20109,20002,19907,19824,19744,19667,19593,19533,19487,19457,19392,19294,19160,19035,18917,18806,18661,18482,18265,18183,18233,18389,18219,17722,16894,16706,17163,18272,19267,20147,20912,21090,20682,19677,19259,19430,20194,20602,20651,20347,20103,19922,19800,19734,19723,19381,19322,19549,20061,20266,20162,19742,19441,19258,19192,19221,19348,19574,19564,19321,18845,18723,18967,19572,20163,20741,21303,21585,21581,21292,20737,19912,18820,18362,18538,19353,20069,20689,21211,21297,20948,20155,19626,19364,19351,19346,19350,20155,20699,20977,22047,22762,23124,23138,23149,23161
"221","213","        Museums and libraries","DMUSRX0",4683,4677,4688,4690,4648,4631,4660,4701,4708,4756,4813,4875,4948,5024,5059,5110,5171,5159,5151,5115,5096,5086,5077,5065,5051,5055,5086,5072,5159,5205,5317,5314,5318,5341,5356,5490,5586,5764,5837,5881,5997,6017,6056,6079,6151,6156,6155,6173,6200,6203,6223,6243,6156,6153,6152,6150,6147,6198,6213,6220,6207,6192,6210,6190,6309,6390,6499,6589,6627,6633,6660,6711,6768,6904,7070,7147,7099,7055,7059,7101,7165,7240,7295,7302,7261,7213,7165,7136,7096,7027,6994,6950,6882,6798,6732,6638,6562,6551,6505,6425,6378,6383,6362,6402,6339,6271,6237,6252,6247,6280,6295,6366,6383,6410,6384,6329,6310,6303,6255,6240,6202,6148,6116,6250,6197,6046,6027,5949,5997,5986,5939,5962,6027,6048,6070,6036,5987,5923,5926,5962,6043,6108,6147,6150,6158,6190,6230,6305,6252,6258,6238,6190,6200,6222,6282,6233,6253,6349,6296,6143,6047,5942,6031,6139,6154,6087,6119,6119,6161,6270,6383,6557,6585,6586,6552,6548,6612,6680,6636,6630,6582,6604,6651,6677,6734,6732,6677,6715,6789,6855,6899,6833,6788,6725,6656,6744,6779,6825,6731,6684,6668,6693,6602,6479,6497,6549,6451
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX0",82254,82730,83181,83537,83901,84359,84808,85328,85817,86341,85891,86185,86701,87048,87415,87609,87856,87972,88007,88227,88479,88680,88803,89343,89822,90299,89566,88801,87978,87838,87642,87974,90624,88627,88774,88352,87292,86621,86497,86335,86270,85915,85590,85983,86105,85975,86081,86220,86117,85993,85860,85843,86094,86462,86747,87141,87529,88071,88732,89053,89565,90121,90378,90922,91086,90894,90525,90547,90679,90890,90985,90916,90563,90154,89718,89145,88758,88699,88642,88667,88636,88708,88690,88480,88034,88088,88573,89503,89769,89691,88714,88610,89180,90661,91044,91412,91760,92158,92606,93111,93390,93440,93259,93234,93366,93658,93915,94134,94315,94438,94502,94506,94626,94859,95209,95198,94812,94044,93581,93427,93591,93582,93398,93036,92873,92914,93162,93457,93803,94198,94362,94288,94235,94319,94541,94901,95108,95160,95055,95097,95287,95628,95934,96204,96057,95954,95898,95893,96122,96589,97297,97439,97011,95998,95501,95533,95827,96214,96701,97289,97607,97652,97419,97628,98288,99404,99960,99947,99357,98869,98485,98209,98149,98315,98706,98872,98813,98521,98495,98738,99256,99436,99273,98763,98592,98764,99286,99606,99721,99628,99580,99577,99494,99459,99472,99616,101948,102047,101675,101456,101389,102555,103359,103795,103867,103925,103987
"223","215","        Cable and satellite television and radio services","DCTVRX0",52332,52698,53051,53295,53550,53923,54293,54749,55181,55664,55072,55330,55845,56186,56555,56740,57000,57119,57165,57428,57742,58017,58217,58887,59505,60125,59430,58706,57917,57869,57760,58221,58680,59118,59405,59089,58180,57540,57466,57328,57270,56882,56497,56863,56926,56714,56735,56785,56659,56499,56312,56227,56411,56698,56889,57186,57467,57901,58447,58633,59008,59471,59670,60202,60386,60250,59976,60142,60463,60905,61275,61522,61521,61439,61297,60978,60822,60978,61110,61298,61401,61582,61645,61479,61044,61105,61594,62519,62767,62657,61633,61488,62017,63463,63782,64058,64291,64599,64984,65446,65704,65753,65591,65610,65813,66203,66582,66950,67305,67606,67850,68038,68347,68777,69331,69533,69375,68851,68625,68703,69089,69290,69302,69122,69133,69337,69738,70187,70683,71228,71508,71520,71413,71452,71637,71971,72171,72235,72161,72248,72496,72910,73283,73615,73745,73906,74097,74319,74735,75349,76163,76418,76104,75211,74812,74916,74927,75082,75384,75835,76056,76041,75788,75944,76519,77520,78029,78038,77539,77112,76759,76481,76423,76588,76980,77163,77136,76893,76888,77126,77609,77773,77612,77121,76942,77080,77539,77827,77940,77878,77848,77852,77775,77741,77752,77878,80168,80255,79891,79673,79601,80749,81538,81963,82028,82081,82138
"224","216","        Photo processing","DFDVRX0",7034,7040,7043,7043,7040,7034,7025,7013,6997,6977,6954,6927,6896,6864,6832,6802,6771,6740,6710,6680,6650,6620,6589,6558,6527,6496,6468,6443,6420,6399,6380,6364,6349,6337,6325,6316,6310,6299,6286,6280,6269,6260,6248,6236,6226,6216,6202,6186,6153,6118,6083,6049,6014,5982,5950,5918,5885,5853,5820,5785,5751,5710,5662,5610,5552,5487,5416,5339,5255,5166,5069,4966,4857,4746,4636,4525,4415,4305,4194,4083,3972,3860,3748,3635,3522,3421,3330,3250,3182,3126,3081,3047,3026,3015,3017,3030,3055,3074,3088,3098,3103,3103,3098,3088,3074,3054,3029,2999,2963,2928,2894,2860,2827,2795,2764,2733,2703,2673,2644,2615,2588,2561,2536,2512,2490,2469,2449,2432,2415,2400,2387,2374,2372,2372,2376,2383,2393,2407,2425,2446,2470,2498,2530,2564,2564,2565,2568,2573,2580,2589,2600,2613,2628,2645,2664,2685,2794,2892,2980,3056,3122,3178,3222,3256,3280,3292,3293,3282,3261,3243,3228,3218,3211,3209,3210,3216,3225,3238,3255,3275,3300,3322,3343,3361,3379,3394,3407,3419,3429,3437,3444,3448,3453,3458,3463,3469,3474,3480,3485,3491,3497,3503,3509,3515,3521,3526,3531
"225","217","        Photo studios","DPICRX0",7565,7539,7516,7498,7484,7472,7465,7461,7460,7462,7467,7474,7484,7492,7499,7507,7513,7518,7523,7526,7529,7531,7531,7530,7527,7520,7509,7494,7474,7450,7423,7392,7358,7316,7271,7223,7171,7125,7083,7051,7022,6999,6985,6976,6974,6980,6987,7000,6986,6972,6961,6952,6946,6945,6946,6950,6956,6964,6973,6984,6998,7011,7024,7039,7055,7071,7087,7105,7123,7141,7159,7177,7195,7210,7222,7234,7243,7249,7254,7256,7256,7254,7247,7239,7228,7220,7216,7215,7218,7226,7237,7251,7270,7292,7318,7347,7380,7409,7435,7460,7481,7501,7518,7533,7545,7554,7561,7564,7564,7559,7549,7534,7515,7491,7463,7430,7392,7349,7301,7247,7189,7134,7083,7036,6994,6956,6922,6892,6867,6847,6830,6816,6833,6848,6860,6870,6877,6882,6886,6887,6886,6883,6877,6868,6849,6830,6811,6793,6776,6758,6742,6726,6712,6697,6682,6667,6684,6699,6714,6729,6744,6758,6772,6787,6801,6815,6828,6840,6851,6856,6856,6851,6840,6825,6804,6777,6745,6707,6664,6614,6558,6507,6461,6419,6383,6352,6326,6305,6290,6279,6273,6272,6266,6260,6255,6249,6244,6239,6234,6229,6225,6220,6216,6211,6206,6200,6194
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRX0",5537,5576,5618,5667,5722,5779,5843,5912,5984,6062,6145,6230,6322,6407,6486,6559,6618,6675,6719,6754,6778,6796,6803,6799,6787,6778,6776,6774,6777,6784,6796,6812,6836,6866,6899,6942,6989,7031,7067,7093,7119,7138,7159,7169,7171,7163,7148,7127,7064,7017,6987,6974,6970,6975,6989,7013,7046,7090,7145,7212,7290,7355,7407,7447,7474,7488,7488,7475,7450,7412,7360,7294,7215,7150,7100,7068,7044,7028,7021,7025,7040,7065,7105,7160,7230,7295,7355,7410,7461,7509,7553,7584,7603,7609,7625,7652,7688,7720,7747,7772,7795,7815,7833,7845,7852,7852,7849,7844,7835,7826,7817,7808,7794,7774,7748,7713,7667,7610,7564,7527,7502,7480,7462,7449,7434,7419,7402,7377,7342,7298,7279,7284,7334,7385,7438,7493,7540,7578,7608,7634,7655,7672,7706,7760,7671,7584,7499,7419,7366,7341,7345,7327,7287,7226,7172,7127,7287,7408,7491,7536,7553,7542,7502,7509,7560,7656,7695,7677,7601,7560,7554,7584,7610,7636,7659,7668,7663,7643,7655,7697,7769,7822,7855,7868,7903,7960,8038,8081,8086,8055,8032,8018,8013,8011,8012,8029,8042,8051,8045,8044,8046,8045,8047,8050,8055,8059,8063
"227","219","        Video media rental","DVIDRX0",9371,9471,9558,9636,9706,9764,9809,9844,9867,9879,9876,9861,9832,9802,9772,9740,9711,9683,9655,9628,9601,9568,9538,9508,9476,9440,9401,9359,9314,9264,9210,9154,11165,9035,8947,8839,8654,8594,8560,8537,8537,8553,8590,8643,8713,8794,8902,9019,9161,9296,9427,9554,9677,9798,9916,10029,10137,10241,10339,10431,10517,10581,10624,10646,10647,10625,10581,10515,10427,10318,10184,10028,9849,9686,9540,9414,9305,9213,9140,9083,9045,9026,9022,9039,9073,9106,9137,9168,9197,9226,9255,9282,9308,9333,9355,9378,9398,9405,9399,9382,9352,9310,9256,9190,9111,9019,8914,8795,8662,8531,8402,8275,8150,8027,7907,7789,7673,7558,7445,7333,7224,7119,7017,6919,6826,6737,6652,6571,6494,6421,6353,6287,6277,6256,6223,6179,6122,6054,5975,5884,5781,5666,5539,5400,5233,5076,4931,4798,4676,4567,4470,4385,4313,4253,4207,4174,4179,4183,4186,4188,4189,4189,4188,4187,4184,4181,4176,4170,4162,4155,4147,4141,4133,4127,4121,4115,4109,4103,4098,4092,4086,4081,4076,4072,4069,4067,4065,4065,4065,4066,4067,4069,4069,4070,4071,4072,4073,4074,4075,4077,4078,4080,4081,4083,4084,4084,4085
"228","220","      Gambling (91)","DGAMRX0",74821,76186,77328,78840,78426,79041,80751,81150,83754,83276,85558,84003,82164,83691,85615,84822,83760,83997,85270,85036,84665,85136,85015,80827,85825,83106,86610,84362,86059,83507,84847,85711,82967,83752,84554,86458,86078,87164,85520,89156,87630,85441,88429,88681,90017,90166,88826,92766,91161,88439,91736,92384,94294,95350,96245,96810,96646,97612,97897,98163,99900,102769,101809,101983,101774,101688,101980,103572,103772,103684,102691,102352,102401,105316,107252,106498,107809,108083,108567,106354,101881,106389,106732,104778,111984,109686,110478,110284,110023,107830,109651,111113,111018,111682,117062,115846,113345,112939,114546,112420,113543,113406,116764,113048,112989,115490,112101,114808,110496,113597,111618,111750,110492,111625,109737,110726,105904,106506,108101,106999,108364,106083,105618,105575,106732,103992,104809,104755,103768,102568,105221,102634,104371,105494,103124,104486,103404,101341,103454,106257,103984,104829,102994,102421,103823,103309,105733,104828,104189,106930,104857,102160,104331,105462,105097,106748,109674,108307,102607,104139,104504,109153,110155,105850,108802,106234,103819,108028,105962,110793,108074,107565,107167,105593,107149,109593,108011,109070,113371,112788,106257,109923,110891,109251,111691,112379,111418,114951,110205,113089,113958,116881,119310,114715,114879,118043,119666,113847,117336,114444,116516,117009,119422,121008,120460,122556,121654
"229","221","        Casino gambling","DCASRX0",50090,51478,52649,54190,53810,54463,56215,56661,59319,58900,61249,59768,58009,59611,61602,60865,59855,60133,61437,61229,60875,61356,61239,57047,62035,59299,62775,60488,62136,59525,60795,61578,58741,59426,60118,61904,61389,62361,60602,64135,62520,60236,63149,63330,64607,64702,63314,67235,65704,63036,66364,67017,68932,69984,70874,71430,71253,72201,72467,72714,74430,77280,76301,76452,76218,76110,76380,77948,78123,78010,76996,76638,76671,79572,81492,80715,82001,82249,82703,80461,75959,80438,80741,78728,85861,83492,84217,83957,83636,81388,83160,84577,84438,85063,90418,89184,86680,86284,87913,85817,86982,86899,90321,86681,86708,89308,86030,88863,84691,87922,86063,86307,85143,86358,84538,85578,80794,81421,83034,81946,83317,81044,80585,80549,81708,78965,79776,79713,78715,77504,80146,77550,79231,80327,77960,79354,78285,76217,78305,81072,78751,79535,77696,77172,78598,78072,80446,79450,78706,81329,79121,76320,78416,79505,79078,80645,83660,82297,76507,77860,78048,82519,83345,78937,81859,79339,76909,81037,78825,83589,80881,80458,80115,78555,80091,82472,80781,81690,85870,85199,78608,82255,83244,81665,84176,84945,84076,87620,82802,85535,86302,89173,91579,86959,87092,90125,91648,85760,89169,86210,88228,88594,90910,92430,91843,93905,92968
"230","222","        Lotteries","DLOTRX0",18963,18928,18888,18847,18802,18753,18701,18645,18583,18517,18443,18364,18280,18204,18138,18085,18039,18006,17983,17970,17968,17974,17990,18015,18049,18088,18133,18186,18244,18309,18381,18460,18546,18637,18734,18836,18949,19048,19144,19233,19309,19390,19457,19519,19571,19620,19663,19684,19728,19765,19798,19830,19859,19894,19926,19956,19981,20002,20020,20032,20039,20049,20062,20083,20109,20137,20170,20208,20249,20296,20343,20393,20448,20498,20552,20609,20669,20729,20790,20853,20918,20983,21045,21111,21176,21240,21301,21362,21421,21481,21540,21597,21655,21709,21761,21813,21861,21895,21915,21925,21921,21906,21880,21841,21789,21723,21643,21549,21440,21340,21251,21172,21105,21048,21004,20971,20949,20937,20935,20942,20960,20975,20989,21001,21012,21022,21031,21038,21046,21051,21053,21051,21068,21083,21095,21104,21112,21118,21123,21127,21131,21132,21128,21122,21186,21246,21306,21366,21426,21485,21545,21606,21667,21726,21783,21839,21923,22001,22078,22152,22223,22293,22361,22428,22493,22555,22612,22665,22714,22762,22811,22861,22909,22960,23012,23064,23118,23171,23224,23274,23323,23369,23412,23453,23491,23527,23560,23592,23622,23647,23668,23685,23717,23749,23782,23815,23848,23882,23918,23954,23991,24029,24065,24100,24135,24167,24200
"231","223","        Pari-mutuel net receipts","DPARRX0",5770,5782,5794,5805,5816,5826,5836,5846,5854,5861,5867,5872,5876,5877,5876,5873,5867,5859,5850,5838,5824,5807,5788,5766,5741,5720,5703,5690,5680,5675,5673,5675,5681,5690,5703,5719,5740,5757,5775,5790,5802,5815,5825,5834,5840,5845,5850,5848,5731,5639,5575,5538,5503,5473,5445,5425,5413,5409,5411,5418,5431,5441,5446,5448,5447,5441,5431,5417,5400,5379,5352,5320,5283,5246,5209,5174,5140,5106,5074,5040,5005,4968,4946,4939,4947,4954,4960,4966,4966,4961,4951,4939,4925,4910,4884,4849,4803,4760,4718,4678,4639,4600,4562,4526,4492,4459,4427,4396,4366,4335,4304,4272,4244,4218,4196,4177,4161,4148,4132,4111,4086,4064,4044,4025,4012,4005,4003,4004,4007,4013,4022,4033,4072,4085,4070,4029,4007,4006,4025,4058,4103,4162,4170,4126,4039,3991,3981,4012,4057,4117,4190,4234,4248,4231,4236,4264,4091,4010,4022,4127,4233,4340,4449,4485,4450,4340,4299,4326,4423,4441,4383,4246,4144,4078,4047,4058,4112,4209,4277,4316,4326,4299,4235,4134,4025,3907,3781,3739,3781,3907,3988,4023,4013,4007,4005,4103,4169,4204,4249,4280,4297,4386,4447,4478,4481,4483,4485
"232","224","      Other recreational services (81, 94, and part of 92)","DOTRRX0",33444,33624,33956,34053,34091,33833,34290,34475,34621,35011,35256,35303,35223,35019,35275,35268,35348,35365,35243,35382,35355,35100,35269,35145,34960,34847,34756,34526,34605,34897,34764,34516,34290,34140,33934,33954,34790,34978,35027,34955,34866,34742,34383,34473,34524,34771,34922,34834,34874,34783,34951,34958,35187,35458,35683,35842,35908,36074,36385,36546,36426,36478,36519,36840,36955,37047,37088,37125,37388,37634,38056,38068,38298,38283,38424,38516,38642,38706,38768,38943,38988,39145,39086,39113,38986,39179,39349,39742,40019,40274,40528,40808,41039,41425,41645,41932,42273,42520,42611,42454,42479,42580,42753,42662,42838,42781,42952,43013,43171,43163,43374,43710,43712,43546,43188,42519,42138,41619,41392,40996,40590,39995,39572,39243,39111,38977,39002,39139,39259,39496,39687,40063,40384,40469,40641,40575,40908,40915,40666,40832,40851,40931,40961,40746,40532,40288,40231,40381,40457,40531,40807,40977,41206,41215,41296,41311,41331,41665,41889,42397,42485,42623,42615,42696,42605,42165,42013,42288,42698,43043,42977,42968,42947,43200,43477,43822,43888,43956,44212,44435,44849,44954,45459,45739,46106,46051,46390,46670,47063,47327,47458,47308,46879,46609,46646,46692,46879,47062,47456,47419,47553,47541,47444,47513,47744,47842,47938
"233","225","        Veterinary and other services for pets","DVETRX0",21594,21706,21767,21750,21811,21821,21943,22138,22311,22360,22436,22475,22456,22040,22184,22232,22214,22227,22240,22264,22349,22286,22342,22236,22129,22076,22189,22082,22164,22199,22150,21987,21796,21789,21759,21807,22259,22315,22330,22349,22172,22129,21888,21957,22047,22434,22573,22486,22481,22401,22514,22490,22680,22929,23126,23328,23427,23619,23932,24051,23836,23812,23784,24060,24152,24258,24348,24356,24528,24608,24930,24880,25116,25096,25235,25318,25473,25600,25762,25963,25946,25967,25891,26031,26138,26456,26631,26916,27090,27250,27420,27553,27569,27683,27722,27927,28288,28557,28672,28535,28563,28643,28772,28657,28840,28811,28912,28799,28683,28493,28621,28973,29022,28940,28701,28196,28028,27770,27813,27691,27564,27209,26987,26819,26794,26711,26731,26825,26865,26984,27051,27297,27488,27425,27428,27176,27389,27349,27124,27280,27261,27273,27278,27083,27025,26810,26653,26572,26506,26525,26828,26963,27089,26940,26940,26956,27016,27365,27589,28070,28099,28130,27973,28055,28123,28008,27934,28034,28023,28161,28112,28327,28429,28692,28875,29163,29221,29320,29481,29491,29565,29450,29827,30096,30404,30267,30463,30574,30765,30806,30887,30866,30742,30671,30793,30648,30695,30796,31255,31272,31417,31452,31387,31459,31663,31745,31824
"234","226","        Package tours","DHOLRX0",8787,8805,8997,9034,8953,8643,8889,8831,8751,8985,9068,8998,8858,8926,8969,8854,8876,8818,8639,8692,8551,8325,8395,8334,8224,8132,7924,7765,7732,7929,7803,7665,7568,7386,7170,7094,7426,7502,7486,7356,7383,7270,7112,7109,7055,6934,6940,6918,7000,7024,7120,7179,7255,7317,7375,7366,7357,7357,7383,7435,7513,7583,7646,7703,7727,7715,7669,7688,7772,7920,8016,8060,8051,8043,8039,8040,8010,7946,7849,7826,7877,8002,8011,7908,7689,7580,7579,7689,7788,7878,7956,8093,8288,8540,8703,8777,8759,8738,8713,8687,8685,8707,8755,8782,8786,8769,8851,9033,9314,9511,9623,9650,9646,9611,9545,9439,9293,9107,8920,8733,8547,8388,8259,8158,8103,8092,8127,8189,8279,8395,8508,8616,8693,8793,8917,9065,9146,9160,9106,9086,9101,9149,9157,9127,8961,8929,9032,9270,9416,9468,9426,9455,9555,9724,9806,9801,9736,9689,9663,9657,9702,9797,9943,9924,9738,9384,9291,9461,9895,10098,10068,9808,9657,9620,9694,9724,9710,9650,9722,9926,10262,10480,10580,10561,10592,10673,10803,10966,11163,11392,11436,11293,10962,10744,10637,10842,10982,11055,10950,10883,10853,10791,10751,10734,10741,10746,10752
"235","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERX0",3348,3391,3435,3481,3530,3581,3633,3687,3744,3802,3861,3923,3986,4045,4102,4156,4207,4255,4300,4342,4380,4414,4445,4472,4495,4520,4546,4575,4606,4639,4675,4712,4752,4793,4836,4881,4929,4971,5011,5052,5085,5116,5143,5167,5189,5209,5223,5237,5201,5168,5137,5108,5083,5062,5044,5028,5015,5004,4996,4990,4986,4982,4981,4982,4984,4988,4993,5000,5009,5019,5029,5042,5055,5066,5077,5088,5098,5107,5115,5122,5128,5133,5136,5139,5140,5142,5144,5148,5152,5157,5163,5170,5178,5187,5195,5206,5216,5223,5228,5232,5233,5231,5228,5223,5216,5206,5193,5178,5161,5137,5107,5071,5030,4983,4929,4870,4805,4733,4655,4570,4479,4398,4327,4265,4215,4174,4144,4125,4115,4116,4128,4149,4203,4253,4299,4342,4381,4416,4448,4476,4501,4522,4538,4551,4558,4565,4570,4576,4582,4587,4592,4597,4602,4606,4609,4613,4634,4653,4673,4691,4709,4726,4743,4760,4776,4791,4805,4818,4830,4843,4857,4872,4888,4906,4925,4946,4967,4990,5014,5038,5063,5086,5107,5127,5145,5161,5175,5188,5199,5209,5216,5221,5230,5239,5248,5258,5267,5277,5287,5297,5308,5318,5328,5338,5348,5357,5367
"236","228","    Food services and accommodations","DFSARX0",502851,507146,505176,507965,508124,508215,507977,508335,514100,520815,523033,522594,525994,529117,536903,534848,534910,536240,536330,534046,541197,539290,537758,529166,543800,538255,535987,532535,534769,534752,533860,538759,520521,525749,527047,537800,537555,540292,536156,543523,540142,542408,542467,543234,543302,540676,544171,546678,546841,545010,551435,552142,559501,562368,565049,571527,565745,573253,575244,571088,576713,579081,582462,579858,580005,580885,585885,582701,588040,589325,589019,596511,593507,599532,591967,603348,601814,605625,605815,606841,610731,609198,616657,616186,629295,619048,620906,620421,619615,618902,617022,623489,629269,627445,629278,641307,630870,624809,633746,628083,632083,633593,629803,633945,631886,635866,634047,642368,634128,627028,625818,632884,633734,630703,627857,627820,623144,620647,615357,614186,610983,607431,598993,601014,600284,598282,600021,599180,595463,594347,596681,601323,596868,605357,607027,608236,606673,608184,609857,612224,611887,614939,617569,616450,616838,624898,624631,620406,624032,625317,622462,625284,631508,630733,629760,627255,635028,636736,637177,639945,638698,639840,642420,641376,644330,642646,647687,651620,653654,650386,652062,646650,647090,645922,647608,647652,650068,656384,662065,658062,651831,656932,662443,665504,668109,670027,671519,674474,677762,682701,681026,690603,687493,687383,693078,697690,702068,704460,703950,702572,707178,708869,709190,718504,709628,718154,714389
