"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"85","66","      Equipment","Y074RC1","311.0","379.0","412.0","591.0","583.0","793.0","783.0","813.0","812.0","938.0","846.0","855.0","847.0","1,113.0","797.0","973.0","1,219.0","1,019.0","891.0","1,573.0","1,859.0","1,812.0","2,127.0","3,126.0","2,935.0","1,219.0","1,885.0","2,451.0","2,300.0"
"86","67","      Intellectual property products","Y075RC1","41.0","67.0","75.0","85.0","106.0","135.0","164.0","175.0","189.0","221.0","277.0","344.0","427.0","455.0","482.0","542.0","557.0","582.0","579.0","648.0","792.0","910.0","1,091.0","1,252.0","1,390.0","1,382.0","1,300.0","1,304.0","1,308.0"
"87","68","    State and local","A886RC1","6,859.0","7,026.0","7,138.0","7,665.0","8,546.0","10,641.0","11,681.0","12,742.0","12,891.0","16,167.0","18,492.0","22,008.0","22,984.0","22,885.0","22,665.0","24,176.0","26,911.0","29,025.0","30,564.0","31,278.0","31,896.0","35,200.0","36,633.0","37,747.0","37,671.0","36,952.0","38,370.0","40,498.0","42,864.0"
"88","69","      Structures","B887RC1","6,498.0","6,637.0","6,677.0","6,968.0","7,806.0","9,852.0","10,727.0","11,792.0","11,994.0","15,079.0","17,134.0","20,284.0","21,136.0","20,732.0","19,969.0","20,970.0","23,505.0","25,255.0","26,741.0","27,792.0","27,771.0","30,547.0","32,078.0","32,715.0","32,211.0","31,036.0","32,070.0","34,918.0","37,453.0"
"89","70","      Equipment","Y077RC1","351.0","382.0","452.0","691.0","734.0","775.0","939.0","934.0","878.0","1,068.0","1,331.0","1,689.0","1,806.0","2,105.0","2,636.0","3,134.0","3,322.0","3,679.0","3,723.0","3,367.0","3,958.0","4,461.0","4,338.0","4,784.0","5,201.0","5,659.0","6,044.0","5,315.0","5,108.0"
"90","71","      Intellectual property products","Y078RC1","10.0","7.0","9.0","6.0","6.0","14.0","15.0","16.0","19.0","20.0","27.0","35.0","42.0","48.0","60.0","72.0","84.0","91.0","100.0","119.0","167.0","192.0","217.0","248.0","259.0","257.0","256.0","265.0","303.0"
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","included in that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
